time,Golden State,pts.away,score,pts.home,Minnesota
9:19.0,M. Speights makes 2-pt shot at rim,2,36-37,,
8:55.0,,,36-37,,Turnover by K. Towns (lost ball; steal by H. Barnes)
8:44.0,Shooting foul by T. Jones (drawn by L. Barbosa),,36-37,,
8:44.0,L. Barbosa makes free throw 1 of 2,1,37-37,,
8:44.0,A. Varejao enters the game for M. Speights,,37-37,,
8:44.0,,,37-37,,G. Dieng enters the game for A. Wiggins
8:44.0,,,37-37,,Z. LaVine enters the game for K. Towns
8:44.0,L. Barbosa misses free throw 2 of 2,,37-37,,
8:43.0,,,37-37,,Defensive rebound by Team
8:32.0,,,37-39,2,S. Muhammad makes 2-pt shot from 7 ft (assist by T. Prince)
8:13.0,L. Barbosa makes 2-pt shot from 1 ft,2,39-39,,
7:53.0,,,39-41,2,Z. LaVine makes 2-pt shot from 22 ft (assist by T. Prince)
7:40.0,S. Livingston makes 2-pt shot from 14 ft (assist by A. Varejao),2,41-41,,
7:21.0,,,41-43,2,S. Muhammad makes 2-pt shot from 6 ft
7:04.0,L. Barbosa misses 2-pt shot from 16 ft,,41-43,,
7:04.0,Offensive rebound by Team,,41-43,,
7:04.0,,,41-43,,Personal foul by G. Dieng
7:04.0,I. Clark enters the game for S. Livingston,,41-43,,
7:04.0,,,41-43,,G. Smith enters the game for G. Dieng
6:58.0,L. Barbosa makes 2-pt shot from 3 ft (assist by I. Clark),2,43-43,,
6:52.0,,,43-43,,Minnesota full timeout
6:52.0,K. Thompson enters the game for L. Barbosa,,43-43,,
6:42.0,,,43-43,,Z. LaVine misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by B. Rush,,43-43,,
6:25.0,H. Barnes misses 2-pt shot from 12 ft,,43-43,,
6:23.0,,,43-43,,Defensive rebound by S. Muhammad
6:17.0,,,43-43,,S. Muhammad misses 2-pt shot from 2 ft
6:16.0,,,43-43,,Offensive rebound by G. Smith
6:02.0,,,43-43,,T. Jones misses 3-pt shot from 25 ft
6:01.0,,,43-43,,Offensive rebound by T. Prince
5:55.0,,,43-46,3,Z. LaVine makes 3-pt shot from 25 ft (assist by T. Prince)
5:29.0,A. Varejao makes 2-pt shot from 10 ft,2,45-46,,
5:07.0,,,45-46,,Shooting foul by B. Rush (drawn by T. Prince)
5:07.0,,,45-47,1,T. Prince makes free throw 1 of 2
5:07.0,,,45-47,,R. Rubio enters the game for T. Jones
5:07.0,S. Curry enters the game for I. Clark,,45-47,,
5:07.0,D. Green enters the game for B. Rush,,45-47,,
5:07.0,,,45-48,1,T. Prince makes free throw 2 of 2
4:48.0,Turnover by D. Green (traveling),,45-48,,
4:37.0,,,45-48,,G. Smith misses 2-pt shot from 4 ft (block by S. Curry)
4:36.0,,,45-48,,Offensive rebound by Team
4:28.0,,,45-50,2,Z. LaVine makes 2-pt shot from 15 ft (assist by R. Rubio)
4:16.0,H. Barnes misses 3-pt shot from 23 ft,,45-50,,
4:14.0,Offensive rebound by S. Curry,,45-50,,
4:12.0,Turnover by S. Curry (lost ball; steal by R. Rubio),,45-50,,
4:07.0,,,45-52,2,T. Prince makes 2-pt shot at rim (assist by R. Rubio)
4:07.0,Golden State full timeout,,45-52,,
4:07.0,J. McAdoo enters the game for A. Varejao,,45-52,,
4:07.0,B. Rush enters the game for H. Barnes,,45-52,,
3:58.0,,,45-52,,Personal foul by T. Prince
3:50.0,,,45-52,,Personal foul by G. Smith
3:42.0,D. Green misses 2-pt shot from 2 ft,,45-52,,
3:41.0,Offensive rebound by J. McAdoo,,45-52,,
3:41.0,J. McAdoo makes 2-pt shot at rim,2,47-52,,
3:24.0,,,47-52,,S. Muhammad misses 2-pt shot from 21 ft
3:23.0,Defensive rebound by B. Rush,,47-52,,
3:15.0,Shooting foul by S. Muhammad (drawn by D. Green),,47-52,,
3:15.0,D. Green misses free throw 1 of 2,,47-52,,
3:15.0,Offensive rebound by Team,,47-52,,
3:15.0,,,47-52,,A. Wiggins enters the game for S. Muhammad
3:15.0,,,47-52,,K. Towns enters the game for G. Smith
3:15.0,D. Green makes free throw 2 of 2,1,48-52,,
3:05.0,,,48-52,,Shooting foul by S. Curry (drawn by R. Rubio)
3:05.0,,,48-53,1,R. Rubio makes free throw 1 of 2
3:05.0,,,48-54,1,R. Rubio makes free throw 2 of 2
2:53.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,51-54,,
2:36.0,,,51-54,,Turnover by K. Towns (lost ball; steal by S. Curry)
2:27.0,S. Curry makes 2-pt shot from 1 ft,2,53-54,,
2:19.0,,,53-54,,Shooting foul by S. Curry (drawn by A. Wiggins)
2:19.0,,,53-54,,Minnesota full timeout
2:19.0,Violation by Team (jump ball),,53-54,,
2:19.0,,,53-55,1,A. Wiggins makes free throw 1 of 2
2:19.0,,,53-55,,A. Wiggins misses free throw 2 of 2
2:18.0,Defensive rebound by J. McAdoo,,53-55,,
2:05.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,55-55,,
1:49.0,,,55-55,,R. Rubio misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by J. McAdoo,,55-55,,
1:26.0,B. Rush misses 2-pt shot from 21 ft,,55-55,,
1:25.0,Offensive rebound by J. McAdoo,,55-55,,
1:10.0,S. Curry makes 2-pt shot from 1 ft,2,57-55,,
0:59.0,,,57-55,,Turnover by R. Rubio (lost ball; steal by S. Curry)
0:53.0,B. Rush makes 2-pt shot from 1 ft (assist by K. Thompson),2,59-55,,
0:36.0,,,59-55,,Shooting foul by D. Green (drawn by K. Towns)
0:36.0,,,59-55,,K. Towns misses free throw 1 of 2
0:36.0,,,59-55,,Offensive rebound by Team
0:36.0,,,59-56,1,K. Towns makes free throw 2 of 2
0:20.0,J. McAdoo misses 2-pt shot from 5 ft (block by K. Towns),,59-56,,
0:19.0,,,59-56,,Defensive rebound by A. Wiggins
0:17.0,,,59-58,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
0:01.0,S. Curry misses 3-pt shot from 29 ft,,59-58,,
0:01.0,Offensive rebound by D. Green,,59-58,,
0:01.0,D. Green makes 2-pt shot from 1 ft,2,61-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,Turnover by S. Curry (lost ball; steal by R. Rubio),,61-58,,
11:49.0,,,61-58,,Shooting foul by J. McAdoo (drawn by Z. LaVine)
11:49.0,,,61-58,,Z. LaVine misses free throw 1 of 2
11:49.0,,,61-58,,Offensive rebound by Team
11:49.0,,,61-59,1,Z. LaVine makes free throw 2 of 2
11:36.0,Turnover by D. Green (lost ball; steal by G. Dieng),,61-59,,
11:23.0,,,61-59,,Turnover by G. Dieng (lost ball; steal by D. Green)
11:18.0,Offensive charge foul by D. Green,,61-59,,
11:18.0,Turnover by D. Green (offensive foul),,61-59,,
11:03.0,,,61-59,,A. Wiggins misses 2-pt shot from 10 ft
11:02.0,Defensive rebound by H. Barnes,,61-59,,
10:56.0,Turnover by S. Curry (lost ball; steal by G. Dieng),,61-59,,
10:53.0,,,61-61,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
10:53.0,Golden State full timeout,,61-61,,
10:31.0,S. Curry misses 2-pt shot from 18 ft,,61-61,,
10:30.0,Offensive rebound by J. McAdoo,,61-61,,
10:30.0,J. McAdoo misses 2-pt shot from 1 ft,,61-61,,
10:27.0,,,61-61,,Defensive rebound by G. Dieng
10:19.0,,,61-61,,R. Rubio misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by H. Barnes,,61-61,,
10:12.0,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes),3,64-61,,
9:52.0,,,64-63,2,A. Wiggins makes 2-pt shot from 2 ft
9:41.0,J. McAdoo misses 2-pt shot from 15 ft,,64-63,,
9:40.0,,,64-63,,Defensive rebound by G. Dieng
9:30.0,,,64-63,,K. Towns misses 2-pt shot from 4 ft (block by D. Green)
9:28.0,Defensive rebound by H. Barnes,,64-63,,
9:24.0,H. Barnes misses 2-pt shot from 2 ft,,64-63,,
9:23.0,,,64-63,,Defensive rebound by R. Rubio
9:19.0,,,64-65,2,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio)
9:08.0,K. Thompson misses 2-pt shot from 9 ft,,64-65,,
9:07.0,,,64-65,,Defensive rebound by K. Towns
9:01.0,,,64-65,,Shooting foul by J. McAdoo (drawn by G. Dieng)
9:01.0,,,64-66,1,G. Dieng makes free throw 1 of 2
9:01.0,,,64-67,1,G. Dieng makes free throw 2 of 2
8:41.0,K. Thompson misses 2-pt shot from 10 ft,,64-67,,
8:40.0,,,64-67,,Defensive rebound by R. Rubio
8:33.0,,,64-67,,A. Wiggins misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by S. Curry,,64-67,,
8:31.0,,,64-67,,Personal foul by R. Rubio
8:27.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,67-67,,
8:01.0,,,67-67,,K. Towns misses 2-pt shot from 9 ft
8:00.0,Defensive rebound by S. Curry,,67-67,,
7:50.0,K. Thompson misses 2-pt shot from 12 ft,,67-67,,
7:49.0,,,67-67,,Defensive rebound by R. Rubio
7:44.0,,,67-70,3,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio)
7:24.0,K. Thompson misses 2-pt shot from 10 ft,,67-70,,
7:22.0,Offensive rebound by J. McAdoo,,67-70,,
7:16.0,J. McAdoo misses 2-pt shot from 1 ft (block by G. Dieng),,67-70,,
7:15.0,,,67-70,,Defensive rebound by R. Rubio
7:12.0,,,67-72,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
7:05.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,70-72,,
7:04.0,,,70-72,,Minnesota full timeout
7:04.0,B. Rush enters the game for J. McAdoo,,70-72,,
6:52.0,,,70-72,,A. Wiggins misses 2-pt shot from 14 ft (block by D. Green)
6:50.0,Defensive rebound by B. Rush,,70-72,,
6:43.0,S. Curry makes 3-pt shot from 26 ft,3,73-72,,
6:24.0,,,73-72,,R. Rubio misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by K. Thompson,,73-72,,
6:19.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,75-72,,
6:00.0,,,75-72,,Turnover by Z. LaVine (lost ball; steal by K. Thompson)
5:58.0,Turnover by K. Thompson (traveling),,75-72,,
5:41.0,,,75-75,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
5:19.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,77-75,,
5:10.0,,,77-75,,Shooting foul by K. Thompson (drawn by R. Rubio)
5:10.0,,,77-76,1,R. Rubio makes free throw 1 of 2
5:10.0,L. Barbosa enters the game for K. Thompson,,77-76,,
5:10.0,,,77-77,1,R. Rubio makes free throw 2 of 2
4:56.0,D. Green makes 2-pt shot at rim (assist by H. Barnes),2,79-77,,
4:35.0,,,79-79,2,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine)
4:14.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,81-79,,
3:58.0,,,81-81,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
3:46.0,Turnover by S. Curry (lost ball; steal by Z. LaVine),,81-81,,
3:46.0,Personal foul by D. Green,,81-81,,
3:46.0,S. Livingston enters the game for H. Barnes,,81-81,,
3:36.0,,,81-81,,G. Dieng misses 2-pt shot from 2 ft
3:35.0,,,81-81,,Offensive rebound by G. Dieng
3:34.0,,,81-81,,Shooting foul by S. Livingston (drawn by G. Dieng)
3:34.0,,,81-82,1,G. Dieng makes free throw 1 of 2
3:34.0,,,81-83,1,G. Dieng makes free throw 2 of 2
3:19.0,B. Rush misses 3-pt shot from 24 ft,,81-83,,
3:18.0,Offensive rebound by Team,,81-83,,
3:10.0,B. Rush misses 3-pt shot from 24 ft,,81-83,,
3:09.0,Offensive rebound by D. Green,,81-83,,
3:05.0,L. Barbosa misses 3-pt shot from 25 ft,,81-83,,
3:04.0,,,81-83,,Defensive rebound by G. Dieng
2:50.0,,,81-85,2,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine)
2:45.0,Turnover by B. Rush (lost ball),,81-85,,
2:45.0,,,81-85,,T. Jones enters the game for R. Rubio
2:36.0,,,81-85,,Turnover by Z. LaVine (lost ball; steal by B. Rush)
2:29.0,Turnover by S. Curry (traveling),,81-85,,
2:29.0,M. Speights enters the game for B. Rush,,81-85,,
2:14.0,,,81-87,2,A. Wiggins makes 2-pt shot from 19 ft (assist by G. Dieng)
1:56.0,S. Curry misses 3-pt shot from 27 ft,,81-87,,
1:55.0,,,81-87,,Defensive rebound by G. Dieng
1:44.0,,,81-87,,Shooting foul by M. Speights (drawn by Z. LaVine)
1:44.0,,,81-88,1,Z. LaVine makes free throw 1 of 2
1:44.0,,,81-88,,T. Prince enters the game for A. Wiggins
1:44.0,I. Clark enters the game for S. Curry,,81-88,,
1:44.0,,,81-89,1,Z. LaVine makes free throw 2 of 2
1:28.0,S. Livingston makes 2-pt shot at rim (assist by M. Speights),2,83-89,,
1:13.0,,,83-89,,G. Dieng misses 2-pt shot at rim (block by M. Speights)
1:12.0,Defensive rebound by L. Barbosa,,83-89,,
1:09.0,Shooting foul by Z. LaVine (drawn by D. Green),,83-89,,
1:09.0,D. Green makes free throw 1 of 2,1,84-89,,
1:09.0,,,84-89,,S. Muhammad enters the game for Z. LaVine
1:09.0,D. Green misses free throw 2 of 2,,84-89,,
1:09.0,,,84-89,,Defensive rebound by K. Towns
0:53.0,,,84-89,,G. Dieng misses 2-pt shot from 18 ft
0:51.0,Defensive rebound by Team,,84-89,,
0:51.0,,,84-89,,Loose ball foul by K. Towns
0:51.0,I. Clark misses free throw 1 of 2,,84-89,,
0:51.0,Offensive rebound by Team,,84-89,,
0:51.0,,,84-89,,G. Smith enters the game for G. Dieng
0:51.0,I. Clark makes free throw 2 of 2,1,85-89,,
0:40.0,,,85-89,,T. Jones misses 2-pt shot from 11 ft (block by I. Clark)
0:39.0,Defensive rebound by I. Clark,,85-89,,
0:33.0,S. Livingston makes 2-pt shot from 1 ft (assist by L. Barbosa),2,87-89,,
0:32.0,,,87-89,,Turnover by G. Smith (lost ball; steal by S. Livingston)
0:24.0,D. Green makes 2-pt shot from 1 ft,2,89-89,,
0:02.0,,,89-89,,K. Towns misses 2-pt shot from 6 ft
0:02.0,Defensive rebound by D. Green,,89-89,,
0:00.0,L. Barbosa misses 3-pt shot from 38 ft,,89-89,,
0:00.0,Offensive rebound by Team,,89-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,89-89,,A. Wiggins misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by H. Barnes,,89-89,,
11:21.0,S. Livingston misses 2-pt shot from 6 ft (block by A. Wiggins),,89-89,,
11:20.0,Offensive rebound by Team,,89-89,,
11:20.0,Turnover by Team (shot clock),,89-89,,
11:08.0,,,89-89,,A. Wiggins misses 2-pt shot from 19 ft
11:06.0,,,89-89,,Offensive rebound by S. Muhammad
10:54.0,,,89-89,,G. Smith misses 2-pt shot from 3 ft
10:53.0,Defensive rebound by M. Speights,,89-89,,
10:50.0,Turnover by L. Barbosa (lost ball; steal by A. Wiggins),,89-89,,
10:42.0,,,89-91,2,A. Wiggins makes 2-pt shot from 15 ft (assist by S. Muhammad)
10:28.0,Turnover by I. Clark (traveling),,89-91,,
10:15.0,,,89-91,,A. Wiggins misses 2-pt shot from 15 ft
10:15.0,,,89-91,,Offensive rebound by G. Smith
10:09.0,,,89-91,,S. Muhammad misses 2-pt shot from 11 ft
10:08.0,,,89-91,,Offensive rebound by G. Smith
9:57.0,,,89-91,,Turnover by T. Jones (lost ball; steal by S. Livingston)
9:51.0,L. Barbosa makes 2-pt shot from 1 ft (assist by I. Clark),2,91-91,,
9:36.0,,,91-91,,G. Smith misses 2-pt shot from 2 ft (block by S. Livingston)
9:35.0,,,91-91,,Offensive rebound by Team
9:29.0,,,91-91,,Shooting foul by M. Speights (drawn by A. Wiggins)
9:29.0,,,91-92,1,A. Wiggins makes free throw 1 of 2
9:29.0,Golden State full timeout,,91-92,,
9:29.0,,,91-93,1,A. Wiggins makes free throw 2 of 2
9:10.0,M. Speights misses 2-pt shot from 20 ft,,91-93,,
9:08.0,,,91-93,,Defensive rebound by T. Prince
8:57.0,,,91-93,,A. Wiggins misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by I. Clark,,91-93,,
8:41.0,I. Clark misses 3-pt shot from 25 ft,,91-93,,
8:40.0,,,91-93,,Defensive rebound by A. Wiggins
8:26.0,,,91-93,,Turnover by A. Wiggins (lost ball; steal by S. Livingston)
8:21.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston),2,93-93,,
8:01.0,,,93-93,,G. Smith misses 2-pt shot from 3 ft (block by M. Speights)
7:59.0,Defensive rebound by H. Barnes,,93-93,,
7:49.0,Turnover by I. Clark (traveling),,93-93,,
7:49.0,,,93-93,,R. Rubio enters the game for T. Jones
7:49.0,,,93-93,,K. Towns enters the game for G. Smith
7:49.0,A. Varejao enters the game for M. Speights,,93-93,,
7:49.0,K. Thompson enters the game for I. Clark,,93-93,,
7:38.0,,,93-95,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
7:27.0,Offensive foul by A. Varejao,,93-95,,
7:27.0,Turnover by A. Varejao (offensive foul),,93-95,,
7:27.0,,,93-95,,Z. LaVine enters the game for S. Muhammad
7:27.0,S. Curry enters the game for L. Barbosa,,93-95,,
7:27.0,D. Green enters the game for H. Barnes,,93-95,,
7:15.0,,,93-97,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
6:57.0,Shooting foul by K. Towns (drawn by A. Varejao),,93-97,,
6:57.0,A. Varejao misses free throw 1 of 2,,93-97,,
6:57.0,Offensive rebound by Team,,93-97,,
6:57.0,B. Rush enters the game for S. Livingston,,93-97,,
6:57.0,A. Varejao makes free throw 2 of 2,1,94-97,,
6:37.0,,,94-97,,R. Rubio misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by S. Curry,,94-97,,
6:27.0,A. Varejao makes 2-pt shot from 1 ft (assist by S. Curry),2,96-97,,
6:21.0,,,96-97,,Minnesota full timeout
6:21.0,,,96-97,,G. Dieng enters the game for T. Prince
6:10.0,,,96-99,2,A. Wiggins makes 2-pt shot from 9 ft (assist by R. Rubio)
5:57.0,,,96-99,,Personal foul by R. Rubio
5:54.0,Turnover by D. Green (lost ball; steal by R. Rubio),,96-99,,
5:47.0,,,96-99,,Turnover by R. Rubio (bad pass)
5:33.0,,,96-99,,Personal foul by R. Rubio
5:27.0,Shooting foul by A. Wiggins (drawn by D. Green),,96-99,,
5:27.0,D. Green misses free throw 1 of 2,,96-99,,
5:27.0,Offensive rebound by Team,,96-99,,
5:27.0,D. Green makes free throw 2 of 2,1,97-99,,
5:08.0,,,97-99,,A. Wiggins misses 3-pt shot from 25 ft
5:07.0,,,97-99,,Offensive rebound by G. Dieng
4:47.0,,,97-99,,Z. LaVine misses 2-pt shot from 20 ft
4:45.0,Defensive rebound by K. Thompson,,97-99,,
4:30.0,,,97-99,,Personal foul by K. Towns
4:30.0,S. Curry makes free throw 1 of 2,1,98-99,,
4:30.0,S. Curry makes free throw 2 of 2,1,99-99,,
