time,Sacramento,pts.away,score,pts.home,Indiana
9:32.0,K. Koufos misses 2-pt shot at rim,,37-29,,
9:32.0,,,37-29,,Defensive rebound by J. Hill
9:14.0,,,37-29,,R. Stuckey misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by D. Cousins,,37-29,,
9:00.0,D. Cousins misses 2-pt shot from 11 ft,,37-29,,
9:00.0,,,37-29,,Defensive rebound by Team
8:43.0,,,37-31,2,J. Hill makes 2-pt shot from 2 ft
8:29.0,D. Collison makes 2-pt shot from 19 ft,2,39-31,,
8:16.0,,,39-33,2,R. Stuckey makes 2-pt shot from 1 ft
8:07.0,D. Cousins makes 2-pt shot from 3 ft,2,41-33,,
8:07.0,Shooting foul by J. Hill (drawn by D. Cousins),,41-33,,
8:07.0,D. Cousins makes free throw 1 of 1,1,42-33,,
7:48.0,,,42-33,,Turnover by R. Stuckey (bad pass; steal by O. Casspi)
7:35.0,K. Koufos misses 2-pt shot from 4 ft,,42-33,,
7:34.0,,,42-33,,Defensive rebound by R. Stuckey
7:16.0,,,42-35,2,L. Allen makes 2-pt shot from 3 ft (assist by G. Hill)
7:02.0,D. Cousins misses 2-pt shot from 2 ft (block by J. Hill),,42-35,,
7:02.0,Offensive rebound by D. Cousins,,42-35,,
7:02.0,Shooting foul by L. Allen (drawn by D. Cousins),,42-35,,
7:02.0,D. Cousins misses free throw 1 of 2,,42-35,,
7:02.0,Offensive rebound by Team,,42-35,,
7:02.0,,,42-35,,P. George enters the game for C. Budinger
7:02.0,D. Cousins makes free throw 2 of 2,1,43-35,,
6:48.0,,,43-37,2,L. Allen makes 2-pt shot at rim (assist by G. Hill)
6:35.0,D. Cousins misses 2-pt shot at rim,,43-37,,
6:35.0,,,43-37,,Defensive rebound by J. Hill
6:24.0,,,43-37,,R. Stuckey misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by M. Belinelli,,43-37,,
6:18.0,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli),3,46-37,,
6:02.0,,,46-37,,P. George misses 3-pt shot from 28 ft
6:01.0,Defensive rebound by D. Cousins,,46-37,,
5:53.0,D. Collison makes 2-pt shot at rim,2,48-37,,
5:53.0,,,48-37,,Indiana full timeout
5:53.0,Official timeout,,48-37,,
5:53.0,,,48-37,,M. Ellis enters the game for R. Stuckey
5:38.0,,,48-37,,L. Allen misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by O. Casspi,,48-37,,
5:20.0,M. Belinelli misses 3-pt shot from 26 ft,,48-37,,
5:19.0,,,48-37,,Defensive rebound by J. Hill
5:10.0,,,48-37,,P. George misses 2-pt shot from 8 ft
5:09.0,,,48-37,,Offensive rebound by L. Allen
5:07.0,,,48-39,2,L. Allen makes 2-pt shot from 2 ft
4:47.0,K. Koufos misses 2-pt shot from 8 ft,,48-39,,
4:46.0,,,48-39,,Defensive rebound by L. Allen
4:45.0,Personal foul by K. Koufos (drawn by L. Allen),,48-39,,
4:45.0,R. Gay enters the game for K. Koufos,,48-39,,
4:45.0,,,48-39,,C. Miles enters the game for L. Allen
4:31.0,,,48-42,3,M. Ellis makes 3-pt shot from 25 ft
4:14.0,D. Cousins makes 2-pt shot from 5 ft (assist by D. Collison),2,50-42,,
4:07.0,Shooting block foul by D. Cousins (drawn by M. Ellis),,50-42,,
4:07.0,,,50-43,1,M. Ellis makes free throw 1 of 2
4:07.0,R. Rondo enters the game for M. Belinelli,,50-43,,
4:07.0,,,50-43,,I. Mahinmi enters the game for J. Hill
4:07.0,,,50-43,,M. Ellis misses free throw 2 of 2
4:07.0,Defensive rebound by O. Casspi,,50-43,,
3:50.0,Shooting foul by C. Miles (drawn by D. Cousins),,50-43,,
3:50.0,D. Cousins makes free throw 1 of 2,1,51-43,,
3:50.0,D. Cousins makes free throw 2 of 2,1,52-43,,
3:34.0,,,52-43,,M. Ellis misses 2-pt shot from 18 ft (block by D. Cousins)
3:33.0,Defensive rebound by R. Rondo,,52-43,,
3:30.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-43,,
3:13.0,,,54-43,,P. George misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by D. Cousins,,54-43,,
3:02.0,D. Collison makes 2-pt shot at rim (assist by R. Gay),2,56-43,,
2:41.0,,,56-43,,C. Miles misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by D. Cousins,,56-43,,
2:39.0,Turnover by D. Cousins (bad pass; steal by M. Ellis),,56-43,,
2:34.0,,,56-45,2,C. Miles makes 2-pt shot from 1 ft (assist by M. Ellis)
2:28.0,R. Rondo makes 2-pt shot from 2 ft,2,58-45,,
2:12.0,,,58-47,2,M. Ellis makes 2-pt shot from 1 ft
2:04.0,R. Gay misses 2-pt shot at rim,,58-47,,
2:04.0,,,58-47,,Defensive rebound by I. Mahinmi
1:57.0,,,58-47,,G. Hill misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by D. Collison,,58-47,,
1:56.0,Technical foul by Team,,58-47,,
1:56.0,Sacramento full timeout,,58-47,,
1:56.0,B. McLemore enters the game for D. Collison,,58-47,,
1:56.0,,,58-48,1,G. Hill makes technical free throw
1:44.0,O. Casspi misses 3-pt shot from 28 ft,,58-48,,
1:43.0,,,58-48,,Defensive rebound by I. Mahinmi
1:35.0,,,58-48,,C. Miles misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by D. Cousins,,58-48,,
1:29.0,Shooting foul by I. Mahinmi (drawn by O. Casspi),,58-48,,
1:29.0,O. Casspi makes free throw 1 of 2,1,59-48,,
1:29.0,O. Casspi misses free throw 2 of 2,,59-48,,
1:29.0,Offensive rebound by D. Cousins,,59-48,,
1:29.0,D. Cousins makes 2-pt shot at rim,2,61-48,,
1:29.0,Shooting foul by I. Mahinmi (drawn by O. Casspi),,61-48,,
1:29.0,D. Cousins makes free throw 1 of 1,1,62-48,,
1:16.0,,,62-48,,Shooting foul by D. Cousins (drawn by I. Mahinmi)
1:16.0,,,62-49,1,I. Mahinmi makes free throw 1 of 2
1:16.0,,,62-49,,I. Mahinmi misses free throw 2 of 2
1:15.0,Defensive rebound by D. Cousins,,62-49,,
1:05.0,R. Rondo misses 2-pt shot at rim (block by I. Mahinmi),,62-49,,
1:04.0,,,62-49,,Defensive rebound by P. George
1:00.0,,,62-49,,P. George misses 2-pt shot at rim (block by D. Cousins)
1:00.0,,,62-49,,Offensive rebound by Team
1:00.0,,,62-49,,R. Stuckey enters the game for G. Hill
1:00.0,K. Koufos enters the game for D. Cousins,,62-49,,
0:52.0,,,62-49,,C. Miles misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by R. Rondo,,62-49,,
0:43.0,R. Gay misses 3-pt shot from 24 ft,,62-49,,
0:42.0,Offensive rebound by Team,,62-49,,
0:31.0,R. Gay misses 2-pt shot from 6 ft,,62-49,,
0:30.0,Offensive rebound by R. Gay,,62-49,,
0:29.0,R. Gay makes 2-pt shot at rim,2,64-49,,
0:09.0,,,64-49,,M. Ellis misses 2-pt shot from 10 ft
0:07.0,Defensive rebound by B. McLemore,,64-49,,
0:01.0,B. McLemore misses 3-pt shot from 24 ft,,64-49,,
0:00.0,Offensive rebound by Team,,64-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,64-49,,Personal foul by M. Ellis (drawn by D. Cousins)
11:40.0,O. Casspi misses 2-pt shot from 5 ft,,64-49,,
11:40.0,,,64-49,,Defensive rebound by P. George
11:24.0,,,64-52,3,M. Ellis makes 3-pt shot from 23 ft (assist by P. George)
11:10.0,D. Cousins misses 2-pt shot from 20 ft,,64-52,,
11:10.0,,,64-52,,Defensive rebound by P. George
11:03.0,,,64-54,2,P. George makes 2-pt shot from 18 ft
10:50.0,Turnover by R. Rondo (bad pass; steal by G. Hill),,64-54,,
10:46.0,,,64-56,2,M. Ellis makes 2-pt shot at rim (assist by G. Hill)
10:45.0,Sacramento full timeout,,64-56,,
10:27.0,R. Gay makes 2-pt shot from 7 ft,2,66-56,,
10:17.0,,,66-58,2,P. George makes 2-pt shot from 1 ft
10:03.0,Shooting foul by I. Mahinmi (drawn by D. Cousins),,66-58,,
10:03.0,D. Cousins makes 2-pt shot from 5 ft,2,68-58,,
10:03.0,D. Cousins makes free throw 1 of 1,1,69-58,,
9:48.0,,,69-60,2,P. George makes 2-pt shot from 16 ft
9:25.0,Turnover by O. Casspi (bad pass; steal by I. Mahinmi),,69-60,,
9:18.0,,,69-63,3,G. Hill makes 3-pt shot from 22 ft (assist by C. Miles)
9:02.0,Turnover by D. Cousins (bad pass),,69-63,,
8:46.0,,,69-63,,P. George misses 2-pt shot from 4 ft
8:45.0,,,69-63,,Offensive rebound by I. Mahinmi
8:45.0,,,69-63,,Shooting foul by O. Casspi (drawn by I. Mahinmi)
8:45.0,,,69-64,1,I. Mahinmi makes free throw 1 of 2
8:45.0,,,69-65,1,I. Mahinmi makes free throw 2 of 2
8:22.0,D. Cousins misses 2-pt shot from 17 ft,,69-65,,
8:21.0,,,69-65,,Defensive rebound by P. George
8:11.0,,,69-65,,P. George misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by O. Casspi,,69-65,,
8:03.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,71-65,,
7:42.0,,,71-68,3,C. Miles makes 3-pt shot from 22 ft (assist by M. Ellis)
7:32.0,Turnover by R. Rondo (bad pass; steal by P. George),,71-68,,
7:28.0,,,71-68,,P. George misses 2-pt shot at rim
7:27.0,,,71-68,,Offensive rebound by M. Ellis
7:24.0,,,71-70,2,M. Ellis makes 2-pt shot at rim
7:24.0,Sacramento full timeout,,71-70,,
7:12.0,R. Rondo misses 2-pt shot from 1 ft,,71-70,,
7:12.0,Offensive rebound by D. Cousins,,71-70,,
7:09.0,D. Cousins makes 2-pt shot at rim,2,73-70,,
7:03.0,,,73-70,,Indiana full timeout
7:03.0,D. Collison enters the game for B. McLemore,,73-70,,
6:43.0,,,73-70,,M. Ellis misses 3-pt shot from 22 ft
6:43.0,Defensive rebound by O. Casspi,,73-70,,
6:34.0,D. Collison makes 2-pt shot from 15 ft (assist by R. Rondo),2,75-70,,
6:24.0,,,75-70,,P. George misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by O. Casspi,,75-70,,
6:17.0,Turnover by R. Rondo (bad pass; steal by P. George),,75-70,,
6:06.0,,,75-70,,Shooting foul by O. Casspi (drawn by G. Hill)
6:06.0,,,75-72,2,G. Hill makes 2-pt shot from 15 ft
6:06.0,,,75-73,1,G. Hill makes free throw 1 of 1
5:42.0,D. Cousins misses 2-pt shot from 1 ft,,75-73,,
5:42.0,,,75-73,,Defensive rebound by P. George
5:25.0,,,75-73,,G. Hill misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by D. Cousins,,75-73,,
5:05.0,Turnover by R. Rondo (bad pass; steal by G. Hill),,75-73,,
5:03.0,Personal foul by O. Casspi (drawn by C. Miles),,75-73,,
4:55.0,,,75-73,,C. Miles misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by D. Collison,,75-73,,
4:45.0,Shooting foul by P. George (drawn by R. Gay),,75-73,,
4:45.0,R. Gay misses free throw 1 of 2,,75-73,,
4:45.0,Offensive rebound by Team,,75-73,,
4:45.0,R. Gay makes free throw 2 of 2,1,76-73,,
4:26.0,,,76-73,,M. Ellis misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by R. Rondo,,76-73,,
4:13.0,D. Collison misses 3-pt shot from 23 ft,,76-73,,
4:12.0,,,76-73,,Defensive rebound by G. Hill
3:56.0,,,76-73,,G. Hill misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by R. Rondo,,76-73,,
3:49.0,D. Collison makes 2-pt shot at rim (assist by R. Rondo),2,78-73,,
3:33.0,,,78-75,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
3:21.0,R. Gay misses 3-pt shot from 23 ft,,78-75,,
3:19.0,,,78-75,,Defensive rebound by P. George
3:06.0,,,78-75,,Turnover by P. George (dbl dribble)
3:06.0,,,78-75,,R. Stuckey enters the game for G. Hill
3:06.0,,,78-75,,J. Hill enters the game for I. Mahinmi
3:06.0,K. Koufos enters the game for D. Cousins,,78-75,,
3:06.0,M. Belinelli enters the game for O. Casspi,,78-75,,
2:47.0,R. Gay misses 3-pt shot from 25 ft,,78-75,,
2:46.0,,,78-75,,Defensive rebound by R. Stuckey
2:41.0,Shooting block foul by M. Belinelli (drawn by C. Miles),,78-75,,
2:41.0,,,78-75,,C. Miles misses free throw 1 of 2
2:41.0,,,78-75,,Offensive rebound by Team
2:41.0,,,78-75,,C. Miles misses free throw 2 of 2
2:39.0,,,78-75,,Offensive rebound by Team
2:39.0,,,78-75,,C. Budinger enters the game for C. Miles
2:25.0,,,78-75,,Turnover by P. George (lost ball; steal by R. Gay)
2:19.0,M. Belinelli misses 3-pt shot from 26 ft,,78-75,,
2:19.0,,,78-75,,Defensive rebound by J. Hill
2:11.0,,,78-77,2,M. Ellis makes 2-pt shot at rim
2:00.0,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo),2,80-77,,
1:52.0,,,80-77,,Offensive charge foul by M. Ellis
1:52.0,,,80-77,,Turnover by M. Ellis (offensive foul)
1:32.0,R. Gay makes 2-pt shot from 15 ft (assist by M. Belinelli),2,82-77,,
1:07.0,,,82-79,2,J. Hill makes 2-pt shot from 16 ft
0:49.0,Turnover by D. Collison (bad pass; steal by C. Budinger),,82-79,,
0:41.0,,,82-81,2,J. Hill makes 2-pt shot at rim (assist by P. George)
0:31.0,R. Rondo makes 2-pt shot from 22 ft,2,84-81,,
0:16.0,Shooting block foul by K. Koufos (drawn by P. George),,84-81,,
0:16.0,,,84-82,1,P. George makes free throw 1 of 2
0:16.0,,,84-82,,P. George misses free throw 2 of 2
0:16.0,Defensive rebound by K. Koufos,,84-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-82,,P. George misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by O. Casspi,,84-82,,
11:29.0,O. Casspi misses 3-pt shot from 25 ft,,84-82,,
11:29.0,,,84-82,,Defensive rebound by G. Hill
11:13.0,,,84-82,,R. Stuckey misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by D. Collison,,84-82,,
11:04.0,S. Curry misses 3-pt shot from 22 ft,,84-82,,
11:03.0,,,84-82,,Defensive rebound by J. Hill
10:51.0,,,84-82,,R. Stuckey misses 2-pt shot from 8 ft
10:51.0,Defensive rebound by K. Koufos,,84-82,,
10:43.0,D. Collison makes 2-pt shot at rim,2,86-82,,
10:18.0,,,86-84,2,J. Hill makes 2-pt shot from 7 ft
10:06.0,M. Belinelli makes 2-pt shot from 20 ft (assist by D. Collison),2,88-84,,
9:41.0,,,88-84,,C. Budinger misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by D. Collison,,88-84,,
9:34.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,90-84,,
9:14.0,,,90-86,2,J. Hill makes 2-pt shot from 5 ft
8:57.0,O. Casspi makes 3-pt shot from 27 ft (assist by M. Belinelli),3,93-86,,
8:41.0,,,93-88,2,G. Hill makes 2-pt shot at rim (assist by P. George)
8:23.0,O. Casspi makes 2-pt shot at rim,2,95-88,,
8:22.0,,,95-88,,Indiana full timeout
8:22.0,D. Cousins enters the game for K. Koufos,,95-88,,
8:22.0,,,95-88,,C. Miles enters the game for P. George
8:01.0,,,95-88,,G. Hill misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by D. Cousins,,95-88,,
7:57.0,,,95-88,,Personal foul by R. Stuckey (drawn by D. Collison)
7:49.0,D. Collison misses 2-pt shot at rim,,95-88,,
7:47.0,,,95-88,,Defensive rebound by R. Stuckey
7:30.0,,,95-88,,Turnover by R. Stuckey (lost ball; steal by S. Curry)
7:25.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,97-88,,
7:25.0,,,97-88,,Indiana full timeout
7:25.0,R. Rondo enters the game for S. Curry,,97-88,,
7:25.0,,,97-88,,P. George enters the game for R. Stuckey
7:25.0,,,97-88,,M. Ellis enters the game for J. Hill
7:25.0,,,97-88,,I. Mahinmi enters the game for C. Budinger
7:14.0,,,97-90,2,P. George makes 2-pt shot from 17 ft (assist by C. Miles)
6:53.0,D. Collison misses 2-pt shot at rim,,97-90,,
6:52.0,,,97-90,,Defensive rebound by P. George
6:42.0,,,97-90,,M. Ellis misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by D. Cousins,,97-90,,
6:27.0,O. Casspi misses 3-pt shot from 26 ft,,97-90,,
6:25.0,,,97-90,,Defensive rebound by P. George
6:16.0,,,97-93,3,C. Miles makes 3-pt shot from 22 ft (assist by G. Hill)
5:56.0,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo),2,99-93,,
5:46.0,,,99-93,,G. Hill misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by Team,,99-93,,
5:45.0,Official timeout,,99-93,,
5:45.0,R. Gay enters the game for M. Belinelli,,99-93,,
5:31.0,Turnover by D. Cousins (bad pass; steal by C. Miles),,99-93,,
5:29.0,Personal take foul by O. Casspi (drawn by M. Ellis),,99-93,,
5:16.0,,,99-93,,Shooting foul by R. Rondo (drawn by P. George)
5:16.0,,,99-93,,P. George misses free throw 1 of 2
5:16.0,,,99-93,,Offensive rebound by Team
5:16.0,,,99-93,,P. George misses free throw 2 of 2
5:16.0,Defensive rebound by R. Gay,,99-93,,
4:51.0,R. Gay misses 3-pt shot from 25 ft,,99-93,,
4:50.0,,,99-93,,Defensive rebound by I. Mahinmi
4:30.0,,,99-95,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
4:12.0,R. Gay makes 2-pt shot from 20 ft (assist by R. Rondo),2,101-95,,
3:59.0,,,101-97,2,C. Miles makes 2-pt shot from 14 ft
3:44.0,Turnover by R. Rondo (bad pass; steal by P. George),,101-97,,
3:32.0,,,101-100,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis)
3:14.0,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins),3,104-100,,
3:02.0,,,104-102,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
2:39.0,R. Gay misses 3-pt shot from 22 ft,,104-102,,
2:37.0,,,104-102,,Defensive rebound by C. Miles
2:32.0,Shooting block foul by D. Collison (drawn by M. Ellis),,104-102,,
2:32.0,Sacramento full timeout,,104-102,,
2:32.0,,,104-102,,M. Ellis misses free throw 1 of 2
2:32.0,,,104-102,,Offensive rebound by Team
2:32.0,,,104-103,1,M. Ellis makes free throw 2 of 2
2:18.0,Turnover by R. Rondo (bad pass; steal by P. George),,104-103,,
2:06.0,,,104-106,3,M. Ellis makes 3-pt shot from 23 ft
1:40.0,,,104-106,,Personal foul by I. Mahinmi (drawn by D. Cousins)
1:33.0,R. Gay makes 2-pt shot from 21 ft,2,106-106,,
1:15.0,,,106-106,,C. Miles misses 3-pt shot from 22 ft
