time,Indiana,pts.away,score,pts.home,Memphis
7:42.0,,,4-11,2,M. Gasol makes 2-pt shot from 9 ft
7:30.0,C. Miles misses 3-pt shot from 24 ft,,4-11,,
7:28.0,,,4-11,,Defensive rebound by J. Green
7:17.0,,,4-11,,M. Conley misses 2-pt shot from 11 ft
7:16.0,,,4-11,,Offensive rebound by M. Gasol
7:16.0,,,4-11,,M. Gasol misses 2-pt shot at rim
7:16.0,Defensive rebound by Team,,4-11,,
6:53.0,P. George makes 2-pt shot from 1 ft,2,6-11,,
6:33.0,,,6-11,,J. Green misses 3-pt shot from 22 ft
6:32.0,Defensive rebound by G. Hill,,6-11,,
6:09.0,C. Miles misses 3-pt shot from 25 ft,,6-11,,
6:08.0,,,6-11,,Defensive rebound by M. Barnes
5:52.0,,,6-11,,Turnover by C. Lee (lost ball; steal by P. George)
5:50.0,,,6-11,,Personal foul by C. Lee (drawn by P. George)
5:50.0,,,6-11,,Memphis full timeout
5:50.0,,,6-11,,V. Carter enters the game for M. Barnes
5:41.0,P. George makes 2-pt shot from 19 ft (assist by I. Mahinmi),2,8-11,,
5:23.0,,,8-13,2,M. Conley makes 2-pt shot from 16 ft (assist by M. Gasol)
5:06.0,C. Miles misses 2-pt shot from 7 ft,,8-13,,
5:03.0,Offensive rebound by C. Miles,,8-13,,
5:03.0,C. Miles misses 2-pt shot from 1 ft,,8-13,,
5:01.0,,,8-13,,Defensive rebound by M. Gasol
4:52.0,,,8-13,,M. Gasol misses 2-pt shot from 15 ft
4:50.0,Defensive rebound by G. Hill,,8-13,,
4:37.0,M. Ellis misses 2-pt shot from 18 ft,,8-13,,
4:35.0,,,8-13,,Defensive rebound by M. Gasol
4:18.0,,,8-15,2,M. Gasol makes 2-pt shot from 12 ft (assist by V. Carter)
4:01.0,Turnover by G. Hill (bad pass),,8-15,,
4:01.0,J. Hill enters the game for I. Mahinmi,,8-15,,
4:01.0,R. Stuckey enters the game for G. Hill,,8-15,,
3:48.0,,,8-17,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley)
3:48.0,Indiana full timeout,,8-17,,
3:48.0,,,8-17,,M. Chalmers enters the game for J. Green
3:48.0,,,8-17,,Z. Randolph enters the game for M. Conley
3:48.0,L. Allen enters the game for C. Miles,,8-17,,
3:37.0,J. Hill misses 2-pt shot from 18 ft,,8-17,,
3:35.0,,,8-17,,Defensive rebound by C. Lee
3:19.0,,,8-17,,Z. Randolph misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by J. Hill,,8-17,,
3:05.0,Shooting foul by Z. Randolph (drawn by P. George),,8-17,,
3:05.0,P. George makes free throw 1 of 2,1,9-17,,
3:05.0,P. George makes free throw 2 of 2,1,10-17,,
2:53.0,,,10-19,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Chalmers)
2:38.0,R. Stuckey misses 3-pt shot from 24 ft,,10-19,,
2:36.0,Offensive rebound by J. Hill,,10-19,,
2:32.0,P. George misses 3-pt shot from 26 ft,,10-19,,
2:30.0,,,10-19,,Defensive rebound by C. Lee
2:20.0,,,10-19,,C. Lee misses 2-pt shot from 21 ft (block by R. Stuckey)
2:19.0,Defensive rebound by P. George,,10-19,,
2:04.0,R. Stuckey makes 2-pt shot from 17 ft,2,12-19,,
1:42.0,,,12-21,2,V. Carter makes 2-pt shot from 1 ft
1:33.0,Shooting foul by M. Gasol (drawn by P. George),,12-21,,
1:33.0,P. George makes free throw 1 of 2,1,13-21,,
1:33.0,,,13-21,,J. Green enters the game for M. Gasol
1:33.0,P. George makes free throw 2 of 2,1,14-21,,
1:19.0,,,14-21,,M. Chalmers misses 2-pt shot from 21 ft
1:17.0,Defensive rebound by R. Stuckey,,14-21,,
0:57.0,M. Ellis misses 3-pt shot from 29 ft,,14-21,,
0:53.0,,,14-21,,Defensive rebound by J. Green
0:44.0,,,14-21,,Turnover by M. Chalmers (bad pass; steal by J. Hill)
0:41.0,M. Ellis makes 2-pt shot at rim (assist by R. Stuckey),2,16-21,,
0:24.0,,,16-21,,C. Lee misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by J. Hill,,16-21,,
0:00.0,P. George misses 3-pt shot from 27 ft,,16-21,,
0:00.0,,,16-21,,Defensive rebound by M. Chalmers
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,16-21,,Personal foul by M. Chalmers (drawn by G. Hill)
11:32.0,J. Hill makes 2-pt shot from 6 ft,2,18-21,,
11:15.0,,,18-21,,J. Green misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by L. Allen,,18-21,,
11:08.0,R. Stuckey misses 2-pt shot from 3 ft (block by V. Carter),,18-21,,
11:06.0,Offensive rebound by J. Hill,,18-21,,
11:03.0,C. Budinger misses 3-pt shot from 25 ft,,18-21,,
11:01.0,,,18-21,,Defensive rebound by Z. Randolph
10:49.0,,,18-23,2,Z. Randolph makes 2-pt shot from 5 ft
10:29.0,R. Stuckey makes 3-pt shot from 26 ft (assist by C. Budinger),3,21-23,,
10:15.0,,,21-25,2,J. Green makes 2-pt shot from 21 ft (assist by M. Chalmers)
10:01.0,G. Hill makes 2-pt shot from 1 ft (assist by J. Hill),2,23-25,,
9:39.0,,,23-25,,Shooting foul by C. Budinger (drawn by M. Chalmers)
9:39.0,,,23-26,1,M. Chalmers makes free throw 1 of 2
9:39.0,,,23-27,1,M. Chalmers makes free throw 2 of 2
9:24.0,Shooting foul by M. Barnes (drawn by R. Stuckey),,23-27,,
9:24.0,R. Stuckey makes free throw 1 of 2,1,24-27,,
9:24.0,,,24-27,,M. Conley enters the game for V. Carter
9:24.0,R. Stuckey misses free throw 2 of 2,,24-27,,
9:23.0,,,24-27,,Defensive rebound by J. Green
9:10.0,,,24-29,2,Z. Randolph makes 2-pt shot from 9 ft (assist by M. Conley)
8:53.0,J. Hill misses 2-pt shot from 3 ft,,24-29,,
8:50.0,,,24-29,,Defensive rebound by Z. Randolph
8:47.0,,,24-32,3,M. Barnes makes 3-pt shot from 23 ft (assist by M. Chalmers)
8:47.0,Indiana full timeout,,24-32,,
8:28.0,C. Budinger misses 2-pt shot from 6 ft (block by J. Green),,24-32,,
8:26.0,,,24-32,,Defensive rebound by M. Chalmers
8:20.0,,,24-32,,M. Chalmers misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by L. Allen,,24-32,,
8:11.0,G. Hill makes 2-pt shot from 12 ft,2,26-32,,
7:42.0,,,26-32,,Turnover by M. Chalmers (bad pass; steal by J. Hill)
7:37.0,Shooting foul by M. Chalmers (drawn by R. Stuckey),,26-32,,
7:37.0,R. Stuckey makes free throw 1 of 2,1,27-32,,
7:37.0,,,27-32,,M. Gasol enters the game for J. Green
7:37.0,,,27-32,,J. Green enters the game for M. Chalmers
7:37.0,R. Stuckey makes free throw 2 of 2,1,28-32,,
7:25.0,Personal foul by J. Hill (drawn by M. Gasol),,28-32,,
7:17.0,,,28-32,,M. Conley misses 3-pt shot from 24 ft
7:17.0,,,28-32,,Offensive rebound by Team
7:17.0,Loose ball foul by L. Allen (drawn by Z. Randolph),,28-32,,
7:07.0,,,28-32,,J. Green misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by L. Allen,,28-32,,
6:56.0,,,28-32,,Personal foul by J. Green (drawn by G. Hill)
6:46.0,C. Budinger makes 2-pt shot at rim (assist by G. Hill),2,30-32,,
6:19.0,,,30-34,2,Z. Randolph makes 2-pt shot from 21 ft
6:01.0,Turnover by R. Stuckey (bad pass; steal by M. Barnes),,30-34,,
5:47.0,,,30-36,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
5:47.0,Indiana full timeout,,30-36,,
5:47.0,Official timeout,,30-36,,
5:47.0,I. Mahinmi enters the game for G. Hill,,30-36,,
5:47.0,M. Ellis enters the game for J. Hill,,30-36,,
5:33.0,R. Stuckey makes 2-pt shot from 10 ft,2,32-36,,
5:16.0,Personal foul by R. Stuckey (drawn by M. Barnes),,32-36,,
5:04.0,,,32-36,,M. Conley misses 2-pt shot from 19 ft
5:03.0,,,32-36,,Offensive rebound by Team
5:03.0,P. George enters the game for C. Budinger,,32-36,,
5:03.0,C. Miles enters the game for L. Allen,,32-36,,
4:52.0,,,32-38,2,M. Gasol makes 2-pt shot from 7 ft
4:29.0,Offensive foul by R. Stuckey,,32-38,,
4:29.0,Turnover by R. Stuckey (offensive foul),,32-38,,
4:29.0,,,32-38,,C. Lee enters the game for Z. Randolph
4:29.0,G. Hill enters the game for R. Stuckey,,32-38,,
4:15.0,,,32-38,,C. Lee misses 3-pt shot from 22 ft
4:13.0,Defensive rebound by P. George,,32-38,,
4:09.0,P. George misses 2-pt shot from 10 ft,,32-38,,
4:05.0,,,32-38,,Defensive rebound by M. Barnes
3:52.0,,,32-38,,M. Gasol misses 2-pt shot from 6 ft
3:50.0,Defensive rebound by C. Miles,,32-38,,
3:41.0,Shooting foul by M. Barnes (drawn by I. Mahinmi),,32-38,,
3:41.0,I. Mahinmi makes free throw 1 of 2,1,33-38,,
3:41.0,I. Mahinmi makes free throw 2 of 2,1,34-38,,
3:27.0,,,34-38,,M. Barnes misses 3-pt shot from 24 ft
3:25.0,,,34-38,,Offensive rebound by J. Green
3:20.0,,,34-38,,Turnover by C. Lee (bad pass; steal by P. George)
3:13.0,G. Hill misses 3-pt shot from 24 ft,,34-38,,
3:11.0,,,34-38,,Defensive rebound by M. Gasol
3:08.0,Personal foul by C. Miles (drawn by M. Conley),,34-38,,
3:08.0,,,34-38,,M. Conley misses free throw 1 of 2
3:08.0,,,34-38,,Offensive rebound by Team
3:08.0,,,34-39,1,M. Conley makes free throw 2 of 2
2:52.0,P. George makes 3-pt shot from 24 ft,3,37-39,,
2:35.0,Personal foul by G. Hill (drawn by M. Conley),,37-39,,
2:35.0,,,37-39,,Memphis full timeout
2:35.0,,,37-40,1,M. Conley makes free throw 1 of 2
2:35.0,,,37-41,1,M. Conley makes free throw 2 of 2
2:20.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,39-41,,
2:04.0,Personal foul by I. Mahinmi (drawn by M. Gasol),,39-41,,
2:04.0,,,39-41,,M. Gasol misses free throw 1 of 2
2:04.0,,,39-41,,Offensive rebound by Team
2:04.0,,,39-42,1,M. Gasol makes free throw 2 of 2
1:53.0,I. Mahinmi makes 2-pt shot from 8 ft (assist by G. Hill),2,41-42,,
1:32.0,,,41-42,,M. Conley misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by I. Mahinmi,,41-42,,
1:13.0,Turnover by I. Mahinmi (bad pass; steal by M. Gasol),,41-42,,
1:04.0,,,41-42,,M. Barnes misses 2-pt shot at rim
1:03.0,,,41-42,,Offensive rebound by M. Barnes
1:03.0,,,41-42,,M. Barnes misses 2-pt shot at rim
1:00.0,Defensive rebound by I. Mahinmi,,41-42,,
0:55.0,G. Hill misses 2-pt shot from 2 ft,,41-42,,
0:51.0,,,41-42,,Defensive rebound by M. Gasol
0:47.0,,,41-42,,Shooting foul by I. Mahinmi (drawn by M. Conley)
0:47.0,,,41-43,1,M. Conley makes free throw 1 of 2
0:47.0,J. Hill enters the game for I. Mahinmi,,41-43,,
0:47.0,,,41-44,1,M. Conley makes free throw 2 of 2
0:30.0,P. George misses 3-pt shot from 29 ft,,41-44,,
0:29.0,Offensive rebound by G. Hill,,41-44,,
0:06.0,P. George misses 2-pt shot from 13 ft,,41-44,,
0:05.0,Offensive rebound by J. Hill,,41-44,,
0:04.0,J. Hill makes 2-pt shot at rim,2,43-44,,
0:00.0,,,43-44,,J. Green misses 3-pt shot from 46 ft
0:00.0,,,43-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,P. George misses 2-pt shot from 2 ft,,43-44,,
11:41.0,,,43-44,,Defensive rebound by M. Gasol
11:19.0,,,43-44,,Turnover by Team (shot clock)
11:04.0,M. Ellis misses 2-pt shot from 11 ft,,43-44,,
11:03.0,,,43-44,,Defensive rebound by C. Lee
10:51.0,,,43-46,2,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol)
10:41.0,P. George makes 3-pt shot from 23 ft,3,46-46,,
10:22.0,,,46-46,,Turnover by M. Conley (bad pass; steal by G. Hill)
10:13.0,G. Hill makes 2-pt shot from 4 ft,2,48-46,,
9:52.0,,,48-46,,M. Conley misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by I. Mahinmi,,48-46,,
9:43.0,Turnover by P. George (lost ball; steal by M. Conley),,48-46,,
9:37.0,,,48-46,,M. Barnes misses 2-pt shot from 1 ft
9:33.0,,,48-46,,Offensive rebound by M. Barnes
9:31.0,,,48-46,,M. Barnes misses 2-pt shot at rim
9:30.0,,,48-46,,Offensive rebound by M. Barnes
9:29.0,,,48-49,3,M. Barnes makes 3-pt shot from 23 ft
9:18.0,,,48-49,,Personal foul by M. Conley (drawn by M. Ellis)
9:10.0,C. Miles misses 2-pt shot from 20 ft,,48-49,,
9:09.0,,,48-49,,Defensive rebound by J. Green
8:55.0,Personal foul by I. Mahinmi (drawn by M. Gasol),,48-49,,
8:45.0,,,48-49,,Turnover by C. Lee (bad pass; steal by I. Mahinmi)
8:39.0,Turnover by P. George (bad pass),,48-49,,
8:27.0,,,48-51,2,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol)
8:23.0,Turnover by I. Mahinmi (offensive foul),,48-51,,
8:23.0,Offensive foul by I. Mahinmi,,48-51,,
8:23.0,J. Hill enters the game for I. Mahinmi,,48-51,,
8:23.0,,,48-51,,V. Carter enters the game for J. Green
8:10.0,,,48-54,3,V. Carter makes 3-pt shot from 23 ft (assist by M. Barnes)
7:56.0,,,48-54,,Personal foul by M. Gasol (drawn by J. Hill)
7:51.0,M. Ellis misses 3-pt shot from 25 ft,,48-54,,
7:50.0,,,48-54,,Defensive rebound by M. Conley
7:36.0,,,48-54,,Turnover by M. Barnes (bad pass; steal by M. Ellis)
7:29.0,C. Miles misses 2-pt shot from 5 ft,,48-54,,
7:26.0,,,48-54,,Defensive rebound by M. Conley
7:18.0,,,48-54,,M. Conley misses 3-pt shot from 25 ft
7:16.0,,,48-54,,Offensive rebound by M. Barnes
7:12.0,,,48-54,,M. Barnes misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by P. George,,48-54,,
7:08.0,Shooting foul by M. Gasol (drawn by G. Hill),,48-54,,
7:08.0,G. Hill misses free throw 1 of 2,,48-54,,
7:08.0,Offensive rebound by Team,,48-54,,
7:08.0,L. Allen enters the game for C. Miles,,48-54,,
7:08.0,G. Hill misses free throw 2 of 2,,48-54,,
7:06.0,,,48-54,,Defensive rebound by M. Gasol
6:45.0,,,48-56,2,M. Gasol makes 2-pt shot from 8 ft
6:40.0,Indiana full timeout,,48-56,,
6:19.0,Turnover by P. George (bad pass; steal by M. Gasol),,48-56,,
6:14.0,,,48-58,2,M. Conley makes 2-pt shot at rim
5:52.0,M. Ellis makes 2-pt shot from 5 ft,2,50-58,,
5:26.0,,,50-58,,M. Gasol misses 2-pt shot from 9 ft
5:22.0,Defensive rebound by J. Hill,,50-58,,
5:16.0,M. Ellis misses 3-pt shot from 25 ft,,50-58,,
5:15.0,,,50-58,,Defensive rebound by Team
5:07.0,,,50-58,,Shooting foul by J. Hill (drawn by M. Conley)
5:07.0,,,50-59,1,M. Conley makes free throw 1 of 2
5:07.0,R. Stuckey enters the game for G. Hill,,50-59,,
5:07.0,,,50-60,1,M. Conley makes free throw 2 of 2
4:51.0,M. Ellis misses 3-pt shot from 24 ft,,50-60,,
4:49.0,,,50-60,,Defensive rebound by V. Carter
4:42.0,,,50-60,,M. Conley misses 2-pt shot from 2 ft (block by M. Ellis)
4:42.0,,,50-60,,Offensive rebound by Team
4:38.0,,,50-62,2,V. Carter makes 2-pt shot at rim (assist by M. Barnes)
4:24.0,P. George misses 2-pt shot from 15 ft (block by M. Barnes),,50-62,,
4:24.0,Offensive rebound by P. George,,50-62,,
4:22.0,Jump ball: M. Conley vs. P. George (C. Lee gains possession),,,,Jump ball: M. Conley vs. P. George (C. Lee gains possession)
4:22.0,Turnover by P. George (lost ball; steal by M. Conley),,50-62,,
4:14.0,,,50-62,,M. Barnes misses 3-pt shot from 22 ft
4:13.0,Defensive rebound by L. Allen,,50-62,,
4:06.0,P. George misses 3-pt shot from 25 ft,,50-62,,
3:59.0,Offensive rebound by P. George,,50-62,,
3:58.0,P. George misses 3-pt shot from 25 ft,,50-62,,
3:56.0,,,50-62,,Defensive rebound by M. Barnes
3:53.0,,,50-62,,Turnover by M. Barnes (bad pass; steal by M. Ellis)
3:48.0,M. Ellis makes 2-pt shot from 1 ft,2,52-62,,
3:44.0,,,52-62,,Memphis full timeout
3:44.0,,,52-62,,Z. Randolph enters the game for M. Barnes
3:44.0,,,52-62,,M. Chalmers enters the game for M. Conley
3:29.0,,,52-64,2,M. Chalmers makes 2-pt shot from 16 ft (assist by M. Gasol)
3:13.0,J. Hill makes 2-pt shot at rim (assist by R. Stuckey),2,54-64,,
2:47.0,,,54-64,,C. Lee misses 2-pt shot from 18 ft
2:45.0,Defensive rebound by J. Hill,,54-64,,
2:38.0,R. Stuckey misses 3-pt shot from 22 ft,,54-64,,
2:36.0,Offensive rebound by Team,,54-64,,
2:36.0,,,54-64,,J. Green enters the game for C. Lee
2:25.0,L. Allen makes 2-pt shot from 18 ft (assist by P. George),2,56-64,,
2:04.0,,,56-64,,V. Carter misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by L. Allen,,56-64,,
1:57.0,M. Ellis makes 2-pt shot from 10 ft,2,58-64,,
1:57.0,Shooting foul by M. Chalmers (drawn by M. Ellis),,58-64,,
1:57.0,M. Ellis makes free throw 1 of 1,1,59-64,,
1:46.0,Personal foul by J. Hill (drawn by M. Gasol),,59-64,,
1:35.0,,,59-64,,M. Gasol misses 2-pt shot at rim
1:32.0,Defensive rebound by J. Hill,,59-64,,
1:25.0,J. Hill makes 2-pt shot from 20 ft (assist by P. George),2,61-64,,
1:08.0,,,61-66,2,M. Chalmers makes 2-pt shot from 1 ft (assist by V. Carter)
0:55.0,P. George makes 3-pt shot from 25 ft (assist by L. Allen),3,64-66,,
0:40.0,,,64-66,,Shooting foul by J. Hill (drawn by M. Chalmers)
0:40.0,,,64-67,1,M. Chalmers makes free throw 1 of 2
0:40.0,C. Miles enters the game for J. Hill,,64-67,,
0:40.0,,,64-67,,M. Barnes enters the game for Z. Randolph
0:40.0,,,64-68,1,M. Chalmers makes free throw 2 of 2
0:31.0,P. George makes 2-pt shot from 12 ft,2,66-68,,
0:10.0,,,66-70,2,J. Green makes 2-pt shot from 9 ft
0:00.0,P. George misses 3-pt shot from 24 ft,,66-70,,
0:00.0,,,66-70,,Defensive rebound by M. Chalmers
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,66-72,2,M. Chalmers makes 2-pt shot from 1 ft
11:23.0,C. Miles misses 3-pt shot from 27 ft,,66-72,,
11:21.0,,,66-72,,Defensive rebound by J. Green
11:03.0,,,66-72,,M. Gasol misses 2-pt shot from 9 ft
11:01.0,,,66-72,,Offensive rebound by M. Barnes
11:01.0,,,66-72,,M. Barnes misses 2-pt shot at rim
10:58.0,Defensive rebound by R. Stuckey,,66-72,,
10:48.0,Turnover by C. Miles (bad pass; steal by V. Carter),,66-72,,
10:33.0,,,66-72,,Shooting foul by L. Allen (drawn by M. Chalmers)
10:33.0,,,66-73,1,M. Chalmers makes free throw 1 of 2
10:33.0,I. Mahinmi enters the game for L. Allen,,66-73,,
10:33.0,,,66-73,,M. Chalmers misses free throw 2 of 2
10:32.0,Defensive rebound by P. George,,66-73,,
10:28.0,Shooting foul by M. Chalmers (drawn by G. Hill),,66-73,,
10:28.0,G. Hill makes free throw 1 of 2,1,67-73,,
10:28.0,G. Hill makes free throw 2 of 2,1,68-73,,
10:23.0,Personal foul by G. Hill (drawn by M. Chalmers),,68-73,,
10:13.0,,,68-73,,J. Green misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by G. Hill,,68-73,,
10:05.0,C. Miles misses 3-pt shot from 28 ft,,68-73,,
10:02.0,,,68-73,,Defensive rebound by M. Gasol
9:53.0,,,68-73,,Shooting foul by C. Miles (drawn by M. Chalmers)
9:53.0,,,68-74,1,M. Chalmers makes free throw 1 of 2
9:53.0,L. Allen enters the game for C. Miles,,68-74,,
9:53.0,,,68-74,,J. Green enters the game for M. Gasol
9:53.0,,,68-74,,M. Chalmers misses free throw 2 of 2
9:52.0,Defensive rebound by G. Hill,,68-74,,
9:38.0,G. Hill misses 3-pt shot from 27 ft,,68-74,,
9:37.0,,,68-74,,Defensive rebound by M. Barnes
9:30.0,Personal foul by G. Hill (drawn by V. Carter),,68-74,,
9:21.0,,,68-74,,J. Green misses 2-pt shot at rim
9:16.0,Defensive rebound by L. Allen,,68-74,,
9:08.0,P. George misses 2-pt shot from 12 ft,,68-74,,
9:07.0,,,68-74,,Defensive rebound by J. Green
8:51.0,,,68-76,2,J. Green makes 2-pt shot from 7 ft
8:51.0,,,68-76,,Shooting foul by I. Mahinmi (drawn by J. Green)
8:51.0,Official timeout,,68-76,,
8:51.0,J. Hill enters the game for I. Mahinmi,,68-76,,
8:51.0,,,68-77,1,J. Green makes free throw 1 of 1
8:36.0,Shooting foul by M. Barnes (drawn by P. George),,68-77,,
8:36.0,P. George makes free throw 1 of 2,1,69-77,,
8:36.0,P. George misses free throw 2 of 2,,69-77,,
8:34.0,,,69-77,,Defensive rebound by J. Green
8:20.0,,,69-79,2,M. Barnes makes 2-pt shot at rim
8:15.0,Turnover by P. George (bad pass),,69-79,,
8:02.0,,,69-79,,J. Green misses 2-pt shot from 17 ft
8:02.0,,,69-79,,Offensive rebound by Team
8:02.0,Loose ball foul by R. Stuckey (drawn by V. Carter),,69-79,,
8:02.0,,,69-80,1,V. Carter makes free throw 1 of 2
8:02.0,M. Ellis enters the game for G. Hill,,69-80,,
8:02.0,,,69-81,1,V. Carter makes free throw 2 of 2
7:52.0,,,69-81,,Personal foul by J. Green (drawn by R. Stuckey)
7:43.0,M. Ellis makes 2-pt shot from 2 ft,2,71-81,,
7:43.0,Shooting foul by V. Carter (drawn by M. Ellis),,71-81,,
7:43.0,M. Ellis misses free throw 1 of 1,,71-81,,
7:42.0,,,71-81,,Defensive rebound by J. Green
7:26.0,,,71-81,,V. Carter misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by Team,,71-81,,
7:24.0,,,71-81,,M. Gasol enters the game for J. Green
7:24.0,,,71-81,,M. Conley enters the game for M. Chalmers
7:10.0,J. Hill misses 2-pt shot from 18 ft,,71-81,,
7:09.0,Offensive rebound by L. Allen,,71-81,,
7:05.0,P. George makes 2-pt shot from 17 ft (assist by L. Allen),2,73-81,,
6:43.0,,,73-81,,M. Conley misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by J. Hill,,73-81,,
6:29.0,Turnover by R. Stuckey (lost ball; steal by M. Conley),,73-81,,
6:25.0,,,73-83,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
6:25.0,Indiana full timeout,,73-83,,
6:25.0,,,73-83,,C. Lee enters the game for V. Carter
6:13.0,P. George misses 3-pt shot from 24 ft,,73-83,,
6:12.0,Offensive rebound by M. Ellis,,73-83,,
6:08.0,P. George misses 3-pt shot from 23 ft,,73-83,,
6:06.0,Offensive rebound by J. Hill,,73-83,,
6:06.0,J. Hill misses 2-pt shot from 1 ft,,73-83,,
6:02.0,Offensive rebound by J. Hill,,73-83,,
6:02.0,J. Hill makes 2-pt shot from 3 ft,2,75-83,,
5:40.0,,,75-86,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
5:25.0,J. Hill misses 2-pt shot from 19 ft,,75-86,,
5:24.0,,,75-86,,Defensive rebound by M. Conley
5:03.0,,,75-88,2,M. Gasol makes 2-pt shot from 2 ft
4:52.0,,,75-88,,Def 3 sec tech foul by M. Conley
4:52.0,R. Stuckey makes technical free throw,1,76-88,,
4:45.0,Shooting foul by M. Barnes (drawn by P. George),,76-88,,
4:45.0,P. George makes free throw 1 of 2,1,77-88,,
4:45.0,P. George makes free throw 2 of 2,1,78-88,,
4:33.0,,,78-88,,J. Green misses 2-pt shot from 1 ft
4:30.0,,,78-88,,Offensive rebound by M. Gasol
4:30.0,,,78-88,,M. Gasol misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by J. Hill,,78-88,,
4:27.0,Shooting foul by J. Green (drawn by P. George),,78-88,,
4:27.0,P. George makes free throw 1 of 2,1,79-88,,
4:27.0,C. Miles enters the game for L. Allen,,79-88,,
4:27.0,P. George makes free throw 2 of 2,1,80-88,,
4:08.0,,,80-90,2,M. Gasol makes 2-pt shot from 10 ft (assist by M. Conley)
3:52.0,Turnover by P. George (bad pass; steal by M. Conley),,80-90,,
3:26.0,,,80-92,2,M. Conley makes 2-pt shot at rim
3:13.0,R. Stuckey misses 2-pt shot from 8 ft (block by C. Lee),,80-92,,
3:10.0,,,80-92,,Defensive rebound by J. Green
2:54.0,,,80-94,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
2:54.0,Indiana full timeout,,80-94,,
2:54.0,,,80-94,,Memphis full timeout
2:42.0,M. Ellis makes 2-pt shot from 11 ft,2,82-94,,
2:25.0,,,82-94,,Offensive foul by M. Barnes
2:25.0,,,82-94,,Turnover by M. Barnes (offensive foul)
2:17.0,Turnover by C. Miles (lost ball; steal by M. Barnes),,82-94,,
1:57.0,,,82-94,,M. Conley misses 2-pt shot from 9 ft
