time,Portland,pts.away,score,pts.home,Houston
6:16.0,,,17-11,,J. Smith misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by M. Plumlee,,17-11,,
6:07.0,A. Aminu misses 3-pt shot from 23 ft,,17-11,,
6:06.0,,,17-11,,Defensive rebound by J. Harden
5:51.0,Shooting block foul by M. Plumlee (drawn by J. Harden),,17-11,,
5:51.0,,,17-12,1,J. Harden makes free throw 1 of 2
5:51.0,M. Leonard enters the game for M. Plumlee,,17-12,,
5:51.0,E. Davis enters the game for A. Aminu,,17-12,,
5:51.0,,,17-13,1,J. Harden makes free throw 2 of 2
5:39.0,M. Harkless misses 3-pt shot from 22 ft,,17-13,,
5:39.0,Offensive rebound by M. Leonard,,17-13,,
5:32.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Leonard),3,20-13,,
5:25.0,,,20-13,,J. Harden misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by M. Leonard,,20-13,,
5:12.0,D. Lillard misses 3-pt shot from 26 ft,,20-13,,
5:11.0,,,20-13,,Defensive rebound by J. Harden
5:06.0,,,20-15,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
4:49.0,Turnover by D. Lillard (back court),,20-15,,
4:49.0,,,20-15,,Technical foul by P. Beverley
4:49.0,D. Lillard makes technical free throw,1,21-15,,
4:49.0,G. Henderson enters the game for C. McCollum,,21-15,,
4:38.0,,,21-18,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
4:22.0,D. Lillard makes 2-pt shot from 2 ft,2,23-18,,
4:06.0,,,23-18,,J. Harden misses 2-pt shot from 18 ft
4:05.0,Defensive rebound by E. Davis,,23-18,,
3:58.0,,,23-18,,Personal foul by P. Beverley (drawn by D. Lillard)
3:58.0,,,23-18,,C. Capela enters the game for D. Howard
3:58.0,,,23-18,,T. Lawson enters the game for P. Beverley
3:52.0,D. Lillard misses 3-pt shot from 25 ft,,23-18,,
3:51.0,,,23-18,,Defensive rebound by J. Smith
3:41.0,,,23-20,2,J. Harden makes 2-pt shot from 1 ft
3:22.0,D. Lillard misses 2-pt shot from 4 ft,,23-20,,
3:21.0,,,23-20,,Defensive rebound by C. Capela
3:08.0,,,23-20,,J. Smith misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by D. Lillard,,23-20,,
3:01.0,,,23-20,,Personal block foul by C. Capela (drawn by D. Lillard)
3:01.0,,,23-20,,C. Brewer enters the game for T. Ariza
3:01.0,Portland full timeout,,23-20,,
3:01.0,T. Frazier enters the game for M. Harkless,,23-20,,
2:48.0,M. Leonard misses 3-pt shot from 24 ft,,23-20,,
2:48.0,,,23-20,,Defensive rebound by C. Capela
2:36.0,,,23-20,,Turnover by J. Smith (lost ball; steal by G. Henderson)
2:27.0,D. Lillard misses 2-pt shot from 11 ft,,23-20,,
2:27.0,Offensive rebound by M. Leonard,,23-20,,
2:27.0,Shooting foul by J. Harden (drawn by M. Leonard),,23-20,,
2:27.0,M. Leonard makes free throw 1 of 2,1,24-20,,
2:27.0,M. Leonard misses free throw 2 of 2,,24-20,,
2:27.0,,,24-20,,Defensive rebound by J. Harden
2:06.0,,,24-20,,J. Harden misses 2-pt shot from 14 ft
2:05.0,Defensive rebound by M. Leonard,,24-20,,
1:49.0,G. Henderson makes 3-pt shot from 23 ft (assist by D. Lillard),3,27-20,,
1:30.0,,,27-20,,J. Harden misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by E. Davis,,27-20,,
1:22.0,,,27-20,,Personal foul by T. Lawson (drawn by T. Frazier)
1:10.0,M. Leonard makes 2-pt shot from 17 ft (assist by T. Frazier),2,29-20,,
0:52.0,Personal foul by D. Lillard (drawn by C. Brewer),,29-20,,
0:42.0,,,29-20,,J. Smith misses 3-pt shot from 25 ft
0:40.0,Jump ball: T. Frazier vs. T. Lawson (J. Smith gains possession),,,,Jump ball: T. Frazier vs. T. Lawson (J. Smith gains possession)
0:40.0,,,29-20,,Offensive rebound by Team
0:33.0,,,29-23,3,J. Harden makes 3-pt shot from 25 ft
0:15.0,D. Lillard misses 2-pt shot from 2 ft,,29-23,,
0:15.0,,,29-23,,Defensive rebound by Team
0:15.0,,,29-23,,T. Ariza enters the game for J. Smith
0:15.0,M. Harkless enters the game for D. Lillard,,29-23,,
0:01.0,,,29-23,,T. Lawson misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. Frazier,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,E. Davis misses 2-pt shot from 9 ft,,29-23,,
11:45.0,Offensive rebound by E. Davis,,29-23,,
11:37.0,E. Davis makes 2-pt shot from 2 ft (assist by M. Leonard),2,31-23,,
11:37.0,Shooting foul by J. Terry (drawn by E. Davis),,31-23,,
11:37.0,E. Davis makes free throw 1 of 1,1,32-23,,
11:14.0,,,32-23,,D. Howard misses 2-pt shot from 9 ft
11:13.0,Defensive rebound by E. Davis,,32-23,,
10:59.0,G. Henderson makes 2-pt shot from 16 ft (assist by M. Leonard),2,34-23,,
10:59.0,Shooting foul by J. Terry (drawn by G. Henderson),,34-23,,
10:59.0,G. Henderson makes free throw 1 of 1,1,35-23,,
10:49.0,Personal foul by C. McCollum (drawn by J. Terry),,35-23,,
10:40.0,,,35-23,,Turnover by T. Lawson (bad pass)
10:26.0,G. Henderson makes 2-pt shot from 17 ft,2,37-23,,
10:25.0,,,37-23,,Houston full timeout
10:25.0,,,37-23,,M. Thornton enters the game for C. Brewer
10:04.0,,,37-25,2,D. Howard makes 2-pt shot from 8 ft (assist by J. Terry)
9:49.0,C. McCollum misses 2-pt shot from 18 ft,,37-25,,
9:48.0,Offensive rebound by C. McCollum,,37-25,,
9:39.0,Turnover by M. Leonard (lost ball; steal by T. Ariza),,37-25,,
9:23.0,,,37-25,,T. Ariza misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by C. McCollum,,37-25,,
9:16.0,C. McCollum makes 2-pt shot from 4 ft,2,39-25,,
9:16.0,Shooting foul by D. Howard (drawn by C. McCollum),,39-25,,
9:16.0,C. McCollum makes free throw 1 of 1,1,40-25,,
9:02.0,,,40-25,,J. Terry misses 2-pt shot from 20 ft
9:01.0,Defensive rebound by E. Davis,,40-25,,
8:44.0,T. Frazier makes 2-pt shot from 19 ft,2,42-25,,
8:18.0,Personal foul by M. Leonard (drawn by D. Howard),,42-25,,
8:18.0,,,42-25,,P. Beverley enters the game for T. Lawson
8:18.0,,,42-25,,J. Harden enters the game for J. Terry
8:06.0,,,42-27,2,D. Howard makes 2-pt shot from 7 ft (assist by J. Harden)
7:51.0,C. McCollum misses 3-pt shot from 26 ft,,42-27,,
7:50.0,Offensive rebound by M. Leonard,,42-27,,
7:48.0,Turnover by M. Leonard (bad pass; steal by J. Harden),,42-27,,
7:46.0,Shooting block foul by T. Frazier (drawn by J. Harden),,42-27,,
7:46.0,,,42-27,,J. Harden misses free throw 1 of 2
7:46.0,,,42-27,,Offensive rebound by Team
7:46.0,M. Plumlee enters the game for M. Leonard,,42-27,,
7:46.0,A. Aminu enters the game for E. Davis,,42-27,,
7:46.0,,,42-28,1,J. Harden makes free throw 2 of 2
7:22.0,M. Plumlee misses 2-pt shot from 7 ft,,42-28,,
7:21.0,Offensive rebound by G. Henderson,,42-28,,
7:21.0,Shooting foul by T. Ariza (drawn by G. Henderson),,42-28,,
7:21.0,G. Henderson makes free throw 1 of 2,1,43-28,,
7:21.0,G. Henderson makes free throw 2 of 2,1,44-28,,
7:07.0,,,44-28,,M. Thornton misses 3-pt shot from 24 ft
7:06.0,,,44-28,,Offensive rebound by D. Howard
7:02.0,,,44-30,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
6:43.0,G. Henderson misses 3-pt shot from 25 ft,,44-30,,
6:43.0,Offensive rebound by T. Frazier,,44-30,,
6:43.0,T. Frazier misses 2-pt shot at rim,,44-30,,
6:41.0,Offensive rebound by A. Aminu,,44-30,,
6:27.0,,,44-30,,Personal foul by P. Beverley (drawn by T. Frazier)
6:27.0,T. Frazier misses free throw 1 of 2,,44-30,,
6:27.0,Offensive rebound by Team,,44-30,,
6:27.0,,,44-30,,J. Smith enters the game for M. Thornton
6:27.0,T. Frazier misses free throw 2 of 2,,44-30,,
6:27.0,,,44-30,,Defensive rebound by D. Howard
6:05.0,,,44-30,,T. Ariza misses 3-pt shot from 22 ft
6:05.0,,,44-30,,Offensive rebound by J. Smith
6:00.0,,,44-30,,J. Harden misses 3-pt shot from 24 ft
5:57.0,,,44-30,,Offensive rebound by T. Ariza
5:57.0,,,44-30,,T. Ariza misses 2-pt shot from 1 ft (block by M. Plumlee)
5:57.0,,,44-30,,Offensive rebound by T. Ariza
5:57.0,,,44-30,,T. Ariza misses 2-pt shot from 1 ft
5:57.0,,,44-30,,Offensive rebound by T. Ariza
5:54.0,,,44-30,,Turnover by T. Ariza (lost ball)
5:54.0,Official timeout,,44-30,,
5:54.0,M. Harkless enters the game for T. Frazier,,44-30,,
5:39.0,Turnover by C. McCollum (bad pass; steal by D. Howard),,44-30,,
5:25.0,D. Lillard enters the game for G. Henderson,,44-30,,
5:14.0,,,44-30,,J. Smith misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by D. Lillard,,44-30,,
5:09.0,M. Harkless misses 2-pt shot from 4 ft (block by P. Beverley),,44-30,,
5:09.0,Offensive rebound by Team,,44-30,,
4:55.0,A. Aminu misses 3-pt shot from 23 ft,,44-30,,
4:55.0,,,44-30,,Defensive rebound by P. Beverley
4:48.0,,,44-30,,Turnover by J. Harden (lost ball; steal by A. Aminu)
4:48.0,,,44-30,,Clear path foul by J. Smith
4:48.0,A. Aminu misses clear path free throw 1 of 2,,44-30,,
4:48.0,Offensive rebound by Team,,44-30,,
4:48.0,A. Aminu misses clear path free throw 2 of 2,,44-30,,
4:48.0,Offensive rebound by Team,,44-30,,
4:37.0,Turnover by M. Plumlee (bad pass; steal by J. Harden),,44-30,,
4:15.0,,,44-30,,D. Howard misses 2-pt shot from 5 ft
4:14.0,Defensive rebound by M. Plumlee,,44-30,,
4:01.0,M. Harkless misses 3-pt shot from 23 ft,,44-30,,
3:59.0,Offensive rebound by A. Aminu,,44-30,,
3:56.0,M. Harkless misses 2-pt shot from 3 ft,,44-30,,
3:55.0,,,44-30,,Defensive rebound by D. Howard
3:50.0,,,44-30,,J. Harden misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by Team,,44-30,,
3:36.0,A. Aminu misses 3-pt shot from 25 ft,,44-30,,
3:35.0,,,44-30,,Defensive rebound by D. Howard
3:28.0,,,44-30,,Turnover by J. Harden (bad pass; steal by M. Harkless)
3:23.0,Shooting foul by J. Harden (drawn by D. Lillard),,44-30,,
3:23.0,D. Lillard makes free throw 1 of 2,1,45-30,,
3:23.0,,,45-30,,C. Brewer enters the game for J. Smith
3:23.0,D. Lillard makes free throw 2 of 2,1,46-30,,
3:02.0,,,46-30,,P. Beverley misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by A. Aminu,,46-30,,
2:45.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,49-30,,
2:34.0,,,49-30,,Shooting foul by M. Harkless (drawn by J. Harden)
2:34.0,Portland full timeout,,49-30,,
2:34.0,,,49-30,,J. Harden misses free throw 1 of 3
2:34.0,,,49-30,,Offensive rebound by Team
2:34.0,,,49-31,1,J. Harden makes free throw 2 of 3
2:34.0,,,49-32,1,J. Harden makes free throw 3 of 3
2:15.0,A. Aminu misses 2-pt shot from 6 ft,,49-32,,
2:14.0,,,49-32,,Defensive rebound by J. Harden
2:12.0,,,49-32,,Turnover by J. Harden (bad pass; steal by C. McCollum)
2:09.0,,,49-32,,Personal foul by T. Ariza (drawn by C. McCollum)
2:09.0,C. McCollum misses free throw 1 of 2,,49-32,,
2:09.0,Offensive rebound by Team,,49-32,,
2:09.0,C. McCollum makes free throw 2 of 2,1,50-32,,
2:01.0,,,50-34,2,P. Beverley makes 2-pt shot from 3 ft
2:01.0,,,50-34,,Shooting foul by D. Lillard (drawn by P. Beverley)
2:01.0,,,50-34,,P. Beverley misses free throw 1 of 1
2:00.0,Defensive rebound by M. Harkless,,50-34,,
1:47.0,D. Lillard misses 3-pt shot from 24 ft,,50-34,,
1:46.0,,,50-34,,Defensive rebound by D. Howard
1:46.0,Personal foul by M. Plumlee (drawn by D. Howard),,50-34,,
1:46.0,,,50-34,,D. Howard misses free throw 1 of 2
1:46.0,,,50-34,,Offensive rebound by Team
1:46.0,M. Leonard enters the game for M. Plumlee,,50-34,,
1:46.0,,,50-34,,D. Howard misses free throw 2 of 2
1:45.0,Defensive rebound by C. McCollum,,50-34,,
1:19.0,D. Lillard misses 2-pt shot from 17 ft,,50-34,,
1:18.0,,,50-34,,Defensive rebound by D. Howard
1:13.0,,,50-34,,J. Harden misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by M. Leonard,,50-34,,
1:07.0,A. Aminu misses 2-pt shot at rim,,50-34,,
1:05.0,Offensive rebound by M. Harkless,,50-34,,
1:04.0,M. Harkless makes 2-pt shot from 4 ft,2,52-34,,
1:00.0,,,52-34,,Technical foul by T. Ariza
1:00.0,D. Lillard makes technical free throw,1,53-34,,
0:47.0,,,53-34,,Turnover by J. Harden (lost ball; steal by M. Leonard)
0:40.0,M. Harkless makes 2-pt shot from 2 ft,2,55-34,,
0:21.0,,,55-34,,C. Brewer misses 2-pt shot from 4 ft
0:19.0,,,55-34,,Offensive rebound by D. Howard
0:19.0,,,55-34,,Shooting foul by M. Leonard (drawn by D. Howard)
0:19.0,,,55-35,1,D. Howard makes free throw 1 of 2
0:19.0,E. Davis enters the game for C. McCollum,,55-35,,
0:19.0,,,55-36,1,D. Howard makes free throw 2 of 2
0:19.0,Portland full timeout,,55-36,,
0:19.0,C. McCollum enters the game for E. Davis,,55-36,,
0:01.0,Turnover by A. Aminu (lost ball; steal by T. Ariza),,55-36,,
0:00.0,,,55-36,,P. Beverley misses 3-pt shot from 25 ft
0:00.0,,,55-36,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,M. Plumlee misses 2-pt shot from 17 ft,,55-36,,
11:32.0,,,55-36,,Defensive rebound by J. Harden
11:23.0,,,55-36,,P. Beverley misses 3-pt shot from 25 ft
11:23.0,,,55-36,,Offensive rebound by Team
11:15.0,,,55-36,,Offensive charge foul by P. Beverley
11:15.0,,,55-36,,Turnover by P. Beverley (offensive foul)
11:02.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,57-36,,
10:49.0,Personal foul by C. McCollum (drawn by C. Brewer),,57-36,,
10:37.0,,,57-36,,Turnover by P. Beverley (bad pass)
10:18.0,C. McCollum makes 2-pt shot from 7 ft (assist by M. Plumlee),2,59-36,,
10:03.0,,,59-36,,Turnover by T. Ariza (bad pass; steal by D. Lillard)
9:59.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Harkless),2,61-36,,
9:59.0,,,61-36,,Houston full timeout
9:59.0,,,61-36,,M. Harrell enters the game for C. Brewer
9:44.0,,,61-38,2,J. Harden makes 2-pt shot from 15 ft
9:24.0,M. Harkless misses 2-pt shot from 5 ft,,61-38,,
9:23.0,,,61-38,,Defensive rebound by T. Ariza
9:09.0,,,61-38,,Shooting foul by M. Harkless (drawn by J. Harden)
9:09.0,,,61-39,1,J. Harden makes free throw 1 of 2
9:09.0,,,61-40,1,J. Harden makes free throw 2 of 2
8:55.0,,,61-40,,Personal foul by D. Howard (drawn by D. Lillard)
8:50.0,Turnover by C. McCollum (bad pass; steal by D. Howard),,61-40,,
8:41.0,,,61-40,,T. Ariza misses 2-pt shot from 14 ft
8:40.0,Defensive rebound by M. Plumlee,,61-40,,
8:31.0,D. Lillard makes 3-pt shot from 27 ft,3,64-40,,
8:16.0,,,64-40,,Turnover by J. Harden (bad pass; steal by M. Plumlee)
8:07.0,Shooting foul by M. Harrell (drawn by M. Plumlee),,64-40,,
8:07.0,M. Plumlee makes free throw 1 of 2,1,65-40,,
8:07.0,M. Plumlee makes free throw 2 of 2,1,66-40,,
7:57.0,,,66-40,,J. Harden misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by M. Plumlee,,66-40,,
7:47.0,Turnover by M. Plumlee (traveling),,66-40,,
7:36.0,,,66-40,,Offensive foul by D. Howard
7:36.0,,,66-40,,Turnover by D. Howard (offensive foul)
7:21.0,M. Harkless misses 2-pt shot from 1 ft,,66-40,,
7:20.0,,,66-40,,Defensive rebound by D. Howard
7:11.0,,,66-40,,D. Howard misses 2-pt shot from 2 ft (block by A. Aminu)
7:10.0,Defensive rebound by M. Harkless,,66-40,,
7:04.0,D. Lillard misses 3-pt shot from 26 ft,,66-40,,
7:03.0,Offensive rebound by D. Lillard,,66-40,,
6:58.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,69-40,,
6:58.0,,,69-40,,Houston full timeout
6:58.0,,,69-40,,C. Brewer enters the game for D. Howard
6:58.0,,,69-40,,C. Capela enters the game for P. Beverley
6:51.0,,,69-40,,Shooting foul by M. Harkless (drawn by J. Harden)
6:51.0,,,69-41,1,J. Harden makes free throw 1 of 2
6:51.0,,,69-42,1,J. Harden makes free throw 2 of 2
6:30.0,Turnover by C. McCollum (step out of bounds),,69-42,,
6:16.0,,,69-42,,M. Harrell misses 2-pt shot at rim (block by M. Plumlee)
6:15.0,Defensive rebound by C. McCollum,,69-42,,
6:02.0,M. Plumlee misses 2-pt shot from 3 ft,,69-42,,
6:01.0,Offensive rebound by M. Plumlee,,69-42,,
5:57.0,A. Aminu misses 3-pt shot from 24 ft,,69-42,,
5:57.0,,,69-42,,Defensive rebound by J. Harden
5:50.0,,,69-42,,C. Brewer misses 3-pt shot from 23 ft
5:49.0,,,69-42,,Offensive rebound by C. Capela
5:44.0,,,69-42,,J. Harden misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by M. Plumlee,,69-42,,
5:24.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard),3,72-42,,
5:16.0,,,72-42,,T. Ariza misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by M. Plumlee,,72-42,,
5:01.0,D. Lillard makes 2-pt shot from 3 ft,2,74-42,,
4:49.0,,,74-42,,Turnover by M. Harrell (bad pass; steal by M. Harkless)
4:46.0,Turnover by C. McCollum (lost ball; steal by T. Ariza),,74-42,,
4:39.0,,,74-42,,C. Brewer misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by M. Plumlee,,74-42,,
4:22.0,D. Lillard misses 3-pt shot from 26 ft,,74-42,,
4:21.0,,,74-42,,Defensive rebound by M. Harrell
4:15.0,,,74-45,3,J. Harden makes 3-pt shot from 26 ft
3:57.0,D. Lillard misses 2-pt shot from 4 ft (block by J. Harden),,74-45,,
3:55.0,Offensive rebound by M. Harkless,,74-45,,
3:50.0,A. Aminu misses 2-pt shot from 14 ft,,74-45,,
3:49.0,,,74-45,,Defensive rebound by C. Capela
3:42.0,,,74-48,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Brewer)
3:42.0,Portland full timeout,,74-48,,
3:42.0,,,74-48,,M. Thornton enters the game for C. Brewer
3:42.0,,,74-48,,P. Beverley enters the game for T. Ariza
3:42.0,,,74-48,,D. Howard enters the game for M. Harrell
3:42.0,M. Leonard enters the game for A. Aminu,,74-48,,
3:42.0,G. Henderson enters the game for M. Plumlee,,74-48,,
3:42.0,E. Davis enters the game for C. McCollum,,74-48,,
3:22.0,G. Henderson misses 3-pt shot from 23 ft,,74-48,,
3:22.0,,,74-48,,Defensive rebound by J. Harden
3:16.0,,,74-48,,J. Harden misses 2-pt shot from 21 ft
3:15.0,Defensive rebound by G. Henderson,,74-48,,
3:06.0,,,74-48,,Personal foul by C. Capela (drawn by M. Leonard)
3:06.0,T. Frazier enters the game for M. Harkless,,74-48,,
2:52.0,M. Leonard misses 3-pt shot from 27 ft,,74-48,,
2:51.0,Offensive rebound by E. Davis,,74-48,,
2:35.0,M. Leonard misses 3-pt shot from 25 ft,,74-48,,
2:35.0,,,74-48,,Defensive rebound by D. Howard
2:29.0,,,74-48,,Shooting foul by G. Henderson (drawn by J. Harden)
2:29.0,,,74-49,1,J. Harden makes free throw 1 of 2
2:29.0,,,74-50,1,J. Harden makes free throw 2 of 2
2:07.0,E. Davis misses 2-pt shot from 6 ft (block by C. Capela),,74-50,,
2:07.0,,,74-50,,Defensive rebound by Team
2:07.0,Loose ball foul by M. Leonard (drawn by J. Harden),,74-50,,
2:07.0,,,74-51,1,J. Harden makes free throw 1 of 2
2:07.0,C. McCollum enters the game for D. Lillard,,74-51,,
2:07.0,,,74-51,,J. Harden misses free throw 2 of 2
2:05.0,Defensive rebound by Team,,74-51,,
1:47.0,Turnover by M. Leonard (bad pass),,74-51,,
1:37.0,,,74-53,2,P. Beverley makes 2-pt shot from 16 ft
1:10.0,Turnover by G. Henderson (bad pass),,74-53,,
1:10.0,A. Aminu enters the game for M. Leonard,,74-53,,
1:00.0,,,74-53,,P. Beverley misses 2-pt shot from 3 ft (block by G. Henderson)
1:00.0,Defensive rebound by A. Aminu,,74-53,,
0:53.0,Turnover by Team (turnover),,74-53,,
0:38.0,,,74-53,,Turnover by D. Howard (offensive goaltending)
0:32.0,C. McCollum misses 3-pt shot from 26 ft,,74-53,,
0:31.0,,,74-53,,Defensive rebound by D. Howard
0:10.0,,,74-53,,P. Beverley misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by C. McCollum,,74-53,,
0:01.0,E. Davis misses 2-pt shot from 4 ft (block by C. Capela),,74-53,,
0:01.0,,,74-53,,Defensive rebound by C. Capela
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-53,,Turnover by J. Harden (lost ball; steal by G. Henderson)
11:41.0,Shooting foul by C. Capela (drawn by G. Henderson),,74-53,,
11:41.0,G. Henderson makes free throw 1 of 2,1,75-53,,
11:41.0,G. Henderson makes free throw 2 of 2,1,76-53,,
11:29.0,,,76-53,,M. Thornton misses 3-pt shot from 24 ft
11:29.0,,,76-53,,Offensive rebound by C. Capela
11:18.0,,,76-55,2,M. Thornton makes 2-pt shot from 2 ft
10:58.0,C. McCollum makes 2-pt shot from 10 ft,2,78-55,,
10:44.0,,,78-55,,P. Beverley misses 3-pt shot from 23 ft
10:44.0,Jump ball: E. Davis vs. D. Howard (A. Aminu gains possession),,,,Jump ball: E. Davis vs. D. Howard (A. Aminu gains possession)
10:44.0,Offensive rebound by Team,,78-55,,
10:27.0,Turnover by T. Frazier (bad pass; steal by M. Thornton),,78-55,,
10:11.0,,,78-55,,M. Thornton misses 2-pt shot from 6 ft (block by C. McCollum)
10:10.0,Defensive rebound by G. Henderson,,78-55,,
9:50.0,E. Davis misses 2-pt shot from 2 ft,,78-55,,
9:49.0,Offensive rebound by A. Aminu,,78-55,,
9:49.0,A. Aminu makes 2-pt shot at rim,2,80-55,,
9:37.0,,,80-55,,Turnover by J. Harden (bad pass; steal by E. Davis)
9:19.0,G. Henderson makes 2-pt shot from 19 ft (assist by C. McCollum),2,82-55,,
9:10.0,,,82-55,,Shooting foul by G. Henderson (drawn by J. Harden)
9:10.0,,,82-56,1,J. Harden makes free throw 1 of 3
9:10.0,,,82-57,1,J. Harden makes free throw 2 of 3
9:10.0,,,82-57,,T. Lawson enters the game for P. Beverley
9:10.0,,,82-57,,C. Brewer enters the game for M. Thornton
9:10.0,D. Lillard enters the game for C. McCollum,,82-57,,
9:10.0,,,82-58,1,J. Harden makes free throw 3 of 3
8:56.0,G. Henderson makes 2-pt shot from 19 ft (assist by D. Lillard),2,84-58,,
8:45.0,Personal foul by E. Davis (drawn by D. Howard),,84-58,,
8:45.0,Official timeout,,84-58,,
8:45.0,,,84-58,,T. Ariza enters the game for J. Harden
8:45.0,,,84-58,,M. Harrell enters the game for C. Capela
8:45.0,M. Harkless enters the game for T. Frazier,,84-58,,
8:29.0,,,84-58,,T. Lawson misses 3-pt shot from 23 ft
8:28.0,,,84-58,,Offensive rebound by M. Harrell
8:28.0,,,84-60,2,M. Harrell makes 2-pt shot from 1 ft
8:14.0,Turnover by A. Aminu (bad pass),,84-60,,
8:00.0,,,84-60,,C. Brewer misses 2-pt shot from 5 ft
7:59.0,,,84-60,,Offensive rebound by M. Harrell
7:48.0,,,84-60,,Shooting foul by E. Davis (drawn by D. Howard)
7:48.0,,,84-61,1,D. Howard makes free throw 1 of 2
7:48.0,,,84-62,1,D. Howard makes free throw 2 of 2
7:32.0,A. Aminu misses 3-pt shot from 24 ft,,84-62,,
7:31.0,,,84-62,,Defensive rebound by D. Howard
7:27.0,,,84-64,2,C. Brewer makes 2-pt shot from 1 ft
7:27.0,,,84-64,,Shooting foul by M. Harkless (drawn by C. Brewer)
