time,Dallas,pts.away,score,pts.home,Portland
7:59.0,C. Villanueva makes free throw 1 of 1,1,37-41,,
7:41.0,,,37-41,,C. McCollum misses 2-pt shot from 14 ft
7:40.0,,,37-41,,Offensive rebound by E. Davis
7:37.0,,,37-43,2,E. Davis makes 2-pt shot from 1 ft
7:14.0,W. Matthews misses 3-pt shot from 24 ft,,37-43,,
7:13.0,,,37-43,,Defensive rebound by E. Davis
7:04.0,,,37-43,,C. McCollum misses 2-pt shot at rim
7:04.0,Defensive rebound by W. Matthews,,37-43,,
6:49.0,W. Matthews makes 3-pt shot from 24 ft,3,40-43,,
6:18.0,,,40-43,,M. Harkless misses 2-pt shot from 2 ft
6:17.0,Defensive rebound by C. Villanueva,,40-43,,
6:04.0,W. Matthews misses 2-pt shot from 17 ft,,40-43,,
6:03.0,,,40-43,,Defensive rebound by B. Roberts
5:56.0,,,40-43,,B. Roberts misses 2-pt shot from 21 ft
5:55.0,Defensive rebound by W. Matthews,,40-43,,
5:46.0,Turnover by S. Mejri (traveling),,40-43,,
5:46.0,D. Nowitzki enters the game for C. Villanueva,,40-43,,
5:29.0,,,40-45,2,G. Henderson makes 2-pt shot from 17 ft (assist by B. Roberts)
5:14.0,Turnover by D. Nowitzki (lost ball; steal by B. Roberts),,40-45,,
5:13.0,Personal foul by D. Williams,,40-45,,
5:13.0,,,40-45,,A. Aminu enters the game for C. McCollum
5:13.0,,,40-45,,D. Lillard enters the game for G. Henderson
5:13.0,D. Harris enters the game for J. Barea,,40-45,,
5:07.0,Personal foul by D. Williams,,40-45,,
5:03.0,,,40-45,,Offensive foul by E. Davis
5:03.0,,,40-45,,Turnover by E. Davis (offensive foul)
5:03.0,,,40-45,,M. Plumlee enters the game for E. Davis
4:52.0,,,40-45,,Violation by M. Plumlee (kicked ball)
4:46.0,D. Nowitzki misses 3-pt shot from 26 ft,,40-45,,
4:45.0,,,40-45,,Defensive rebound by M. Harkless
4:36.0,,,40-45,,D. Lillard misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by D. Nowitzki,,40-45,,
4:18.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,43-45,,
3:55.0,,,43-45,,A. Aminu misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by S. Mejri,,43-45,,
3:44.0,D. Williams makes 2-pt shot from 6 ft,2,45-45,,
3:43.0,,,45-45,,Portland full timeout
3:43.0,,,45-45,,C. McCollum enters the game for B. Roberts
3:31.0,,,45-47,2,D. Lillard makes 2-pt shot from 3 ft
3:18.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Williams),2,47-47,,
3:02.0,,,47-49,2,A. Aminu makes 2-pt shot from 4 ft
3:02.0,Violation by S. Mejri (def goaltending),,47-49,,
2:50.0,W. Matthews makes 2-pt shot from 13 ft (assist by D. Williams),2,49-49,,
2:39.0,,,49-49,,D. Lillard misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by D. Nowitzki,,49-49,,
2:17.0,W. Matthews misses 3-pt shot from 24 ft,,49-49,,
2:16.0,,,49-49,,Defensive rebound by A. Aminu
2:08.0,,,49-49,,C. McCollum misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by S. Mejri,,49-49,,
1:53.0,,,49-49,,Personal foul by C. McCollum
1:53.0,,,49-49,,Technical foul by C. McCollum
1:53.0,Technical foul by D. Williams,,49-49,,
1:49.0,S. Mejri makes 2-pt shot from 1 ft,2,51-49,,
1:35.0,,,51-49,,Shooting foul by D. Harris (drawn by A. Aminu)
1:35.0,Technical foul by S. Mejri,,51-49,,
1:35.0,,,51-50,1,D. Lillard makes technical free throw
1:35.0,,,51-51,1,A. Aminu makes free throw 1 of 2
1:35.0,,,51-52,1,A. Aminu makes free throw 2 of 2
1:24.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Williams),2,53-52,,
1:07.0,,,53-54,2,D. Lillard makes 2-pt shot from 3 ft (assist by M. Plumlee)
0:59.0,D. Williams misses 3-pt shot from 24 ft,,53-54,,
0:59.0,,,53-54,,Defensive rebound by M. Harkless
0:47.0,,,53-57,3,D. Lillard makes 3-pt shot from 24 ft
0:47.0,Dallas full timeout,,53-57,,
0:35.0,D. Nowitzki misses 2-pt shot from 9 ft,,53-57,,
0:34.0,,,53-57,,Defensive rebound by D. Lillard
0:24.0,,,53-57,,D. Lillard misses 2-pt shot from 2 ft
0:23.0,Defensive rebound by S. Mejri,,53-57,,
0:20.0,Turnover by S. Mejri (lost ball; steal by D. Lillard),,53-57,,
0:15.0,,,53-57,,Portland full timeout
0:15.0,R. Felton enters the game for D. Nowitzki,,53-57,,
0:15.0,,,53-57,,A. Crabbe enters the game for A. Aminu
0:15.0,,,53-57,,B. Roberts enters the game for M. Harkless
0:15.0,,,53-57,,A. Aminu enters the game for M. Plumlee
0:05.0,,,53-57,,D. Lillard misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by S. Mejri,,53-57,,
0:00.0,R. Felton misses 3-pt shot from 43 ft,,53-57,,
0:00.0,Offensive rebound by Team,,53-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,D. Nowitzki misses 2-pt shot from 20 ft,,53-57,,
11:33.0,,,53-57,,Defensive rebound by M. Harkless
11:25.0,,,53-59,2,D. Lillard makes 2-pt shot from 19 ft
11:05.0,W. Matthews misses 3-pt shot from 24 ft,,53-59,,
11:05.0,,,53-59,,Defensive rebound by M. Plumlee
10:55.0,,,53-62,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
10:27.0,D. Williams makes 2-pt shot from 18 ft,2,55-62,,
10:13.0,,,55-62,,Turnover by D. Lillard (lost ball; steal by R. Felton)
10:09.0,R. Felton makes 2-pt shot from 1 ft,2,57-62,,
9:49.0,,,57-62,,A. Aminu misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by D. Nowitzki,,57-62,,
9:26.0,S. Mejri misses 2-pt shot from 2 ft (block by M. Harkless),,57-62,,
9:24.0,Offensive rebound by S. Mejri,,57-62,,
9:21.0,S. Mejri makes 2-pt shot from 1 ft,2,59-62,,
9:05.0,Shooting block foul by S. Mejri (drawn by M. Harkless),,59-62,,
9:05.0,,,59-63,1,M. Harkless makes free throw 1 of 2
9:05.0,,,59-64,1,M. Harkless makes free throw 2 of 2
8:51.0,D. Williams misses 2-pt shot from 14 ft,,59-64,,
8:50.0,Offensive rebound by S. Mejri,,59-64,,
8:48.0,Turnover by S. Mejri (lost ball; steal by M. Plumlee),,59-64,,
8:41.0,,,59-64,,M. Harkless misses 3-pt shot from 22 ft
8:40.0,Defensive rebound by D. Williams,,59-64,,
8:30.0,S. Mejri misses 2-pt shot from 1 ft (block by M. Plumlee),,59-64,,
8:29.0,,,59-64,,Defensive rebound by M. Plumlee
8:17.0,,,59-66,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
8:17.0,Dallas full timeout,,59-66,,
8:06.0,S. Mejri misses 2-pt shot from 1 ft (block by D. Lillard),,59-66,,
8:05.0,,,59-66,,Defensive rebound by M. Plumlee
7:59.0,,,59-66,,M. Plumlee misses 2-pt shot from 5 ft
7:58.0,,,59-66,,Offensive rebound by M. Plumlee
7:53.0,,,59-66,,D. Lillard misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by S. Mejri,,59-66,,
7:36.0,W. Matthews makes 2-pt shot from 4 ft,2,61-66,,
7:16.0,,,61-66,,M. Harkless misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by D. Nowitzki,,61-66,,
7:00.0,D. Nowitzki misses 2-pt shot from 12 ft,,61-66,,
7:00.0,,,61-66,,Defensive rebound by A. Aminu
6:49.0,,,61-66,,M. Harkless misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by R. Felton,,61-66,,
6:33.0,W. Matthews misses 2-pt shot from 7 ft,,61-66,,
6:32.0,,,61-66,,Defensive rebound by A. Aminu
6:19.0,,,61-68,2,M. Plumlee makes 2-pt shot at rim
6:00.0,S. Mejri misses 2-pt shot at rim,,61-68,,
6:00.0,,,61-68,,Defensive rebound by Team
5:45.0,,,61-68,,Turnover by D. Lillard (lost ball; steal by S. Mejri)
5:35.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Nowitzki),3,64-68,,
5:15.0,,,64-70,2,C. McCollum makes 2-pt shot from 9 ft (assist by D. Lillard)
5:01.0,R. Felton misses 2-pt shot from 2 ft,,64-70,,
5:01.0,,,64-70,,Defensive rebound by A. Aminu
4:52.0,,,64-73,3,D. Lillard makes 3-pt shot from 24 ft
4:52.0,Dallas full timeout,,64-73,,
4:52.0,D. Harris enters the game for D. Nowitzki,,64-73,,
4:52.0,D. Lee enters the game for S. Mejri,,64-73,,
4:52.0,,,64-73,,G. Henderson enters the game for C. McCollum
4:52.0,,,64-73,,A. Crabbe enters the game for M. Harkless
4:52.0,,,64-73,,M. Harkless enters the game for A. Aminu
4:42.0,W. Matthews misses 3-pt shot from 23 ft,,64-73,,
4:42.0,,,64-73,,Defensive rebound by A. Crabbe
4:25.0,,,64-73,,Turnover by M. Plumlee (lost ball; steal by D. Williams)
4:10.0,R. Felton misses 2-pt shot from 4 ft,,64-73,,
4:10.0,Offensive rebound by D. Lee,,64-73,,
4:06.0,D. Lee misses 2-pt shot from 2 ft,,64-73,,
4:06.0,,,64-73,,Defensive rebound by M. Plumlee
3:54.0,,,64-73,,M. Plumlee misses 2-pt shot from 1 ft
3:53.0,,,64-73,,Offensive rebound by M. Harkless
3:53.0,,,64-75,2,M. Harkless makes 2-pt shot at rim
3:52.0,Dallas full timeout,,64-75,,
3:52.0,,,64-75,,E. Davis enters the game for M. Plumlee
3:52.0,J. Barea enters the game for R. Felton,,64-75,,
3:36.0,Turnover by D. Lee (lost ball; steal by E. Davis),,64-75,,
3:29.0,Technical foul by Team,,64-75,,
3:29.0,,,64-76,1,D. Lillard makes technical free throw
3:29.0,,,64-76,,B. Roberts enters the game for M. Harkless
3:19.0,,,64-76,,Turnover by D. Lillard (lost ball; steal by D. Harris)
3:07.0,J. Barea makes 2-pt shot from 14 ft,2,66-76,,
2:46.0,,,66-78,2,G. Henderson makes 2-pt shot from 8 ft
2:33.0,D. Lee makes 2-pt shot from 1 ft (assist by D. Williams),2,68-78,,
2:17.0,,,68-78,,G. Henderson misses 3-pt shot from 22 ft
2:16.0,Defensive rebound by D. Harris,,68-78,,
2:08.0,D. Harris makes 3-pt shot from 25 ft (assist by D. Williams),3,71-78,,
1:43.0,,,71-80,2,D. Lillard makes 2-pt shot from 3 ft
1:31.0,Turnover by D. Williams (traveling),,71-80,,
1:31.0,,,71-80,,C. McCollum enters the game for D. Lillard
1:15.0,,,71-83,3,A. Crabbe makes 3-pt shot from 23 ft (assist by E. Davis)
0:59.0,D. Harris makes 2-pt shot from 1 ft,2,73-83,,
0:35.0,,,73-83,,Turnover by Team (shot clock)
0:29.0,D. Williams misses 2-pt shot from 14 ft,,73-83,,
0:28.0,,,73-83,,Defensive rebound by E. Davis
0:10.0,,,73-83,,C. McCollum misses 2-pt shot from 16 ft
0:09.0,Defensive rebound by D. Lee,,73-83,,
0:00.0,D. Harris misses 3-pt shot from 30 ft,,73-83,,
0:00.0,Offensive rebound by Team,,73-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-83,,G. Henderson misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by D. Harris,,73-83,,
11:29.0,D. Harris misses 2-pt shot from 1 ft (block by A. Crabbe),,73-83,,
11:28.0,,,73-83,,Defensive rebound by E. Davis
11:21.0,,,73-83,,A. Aminu misses 3-pt shot from 24 ft
11:20.0,,,73-83,,Offensive rebound by E. Davis
11:17.0,,,73-85,2,G. Henderson makes 2-pt shot at rim (assist by E. Davis)
10:55.0,D. Harris misses 3-pt shot from 24 ft,,73-85,,
10:53.0,Offensive rebound by Team,,73-85,,
10:36.0,J. Barea misses 3-pt shot from 24 ft,,73-85,,
10:35.0,,,73-85,,Defensive rebound by A. Aminu
10:29.0,,,73-85,,Shooting foul by J. Barea (drawn by C. McCollum)
10:29.0,,,73-85,,C. McCollum misses free throw 1 of 2
10:29.0,,,73-85,,Offensive rebound by Team
10:29.0,C. Villanueva enters the game for D. Harris,,73-85,,
10:29.0,,,73-86,1,C. McCollum makes free throw 2 of 2
10:19.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,76-86,,
9:57.0,,,76-86,,Turnover by E. Davis (lost ball)
9:57.0,,,76-86,,D. Lillard enters the game for A. Crabbe
9:51.0,J. Barea misses 2-pt shot from 7 ft,,76-86,,
9:50.0,,,76-86,,Defensive rebound by C. McCollum
9:44.0,,,76-88,2,C. McCollum makes 2-pt shot from 14 ft
9:22.0,J. Barea misses 3-pt shot from 25 ft,,76-88,,
9:20.0,,,76-88,,Defensive rebound by A. Aminu
9:05.0,,,76-88,,D. Lillard misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by D. Nowitzki,,76-88,,
8:51.0,Turnover by D. Nowitzki (lost ball),,76-88,,
8:51.0,Official timeout,,76-88,,
8:51.0,D. Williams enters the game for W. Matthews,,76-88,,
8:41.0,,,76-88,,Turnover by D. Lillard (lost ball; steal by J. Barea)
8:37.0,J. Barea makes 2-pt shot at rim,2,78-88,,
8:28.0,,,78-88,,Offensive foul by G. Henderson
8:28.0,,,78-88,,Turnover by G. Henderson (offensive foul)
8:17.0,D. Williams misses 3-pt shot from 25 ft,,78-88,,
8:17.0,,,78-88,,Defensive rebound by D. Lillard
8:11.0,Personal foul by C. Villanueva,,78-88,,
8:11.0,Technical foul by J. Barea,,78-88,,
8:11.0,,,78-89,1,D. Lillard makes technical free throw
8:05.0,,,78-91,2,C. McCollum makes 2-pt shot at rim
7:49.0,R. Felton misses 2-pt shot at rim,,78-91,,
7:49.0,,,78-91,,Defensive rebound by G. Henderson
7:45.0,,,78-93,2,A. Aminu makes 2-pt shot at rim (assist by G. Henderson)
7:45.0,Dallas full timeout,,78-93,,
7:45.0,W. Matthews enters the game for R. Felton,,78-93,,
7:45.0,S. Mejri enters the game for C. Villanueva,,78-93,,
7:29.0,D. Nowitzki misses 3-pt shot from 24 ft,,78-93,,
7:29.0,,,78-93,,Defensive rebound by D. Lillard
7:18.0,,,78-93,,A. Aminu misses 3-pt shot from 24 ft
7:18.0,,,78-93,,Offensive rebound by G. Henderson
7:14.0,,,78-93,,G. Henderson misses 2-pt shot at rim (block by S. Mejri)
7:13.0,Defensive rebound by D. Williams,,78-93,,
7:09.0,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea),2,80-93,,
6:59.0,Personal foul by D. Williams,,80-93,,
6:59.0,,,80-93,,M. Plumlee enters the game for E. Davis
6:43.0,,,80-96,3,D. Lillard makes 3-pt shot from 23 ft
6:28.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by S. Mejri),2,82-96,,
6:16.0,Violation by S. Mejri (kicked ball),,82-96,,
6:12.0,,,82-96,,G. Henderson misses 2-pt shot from 19 ft
6:11.0,Defensive rebound by D. Nowitzki,,82-96,,
6:00.0,J. Barea misses 2-pt shot from 2 ft (block by A. Aminu),,82-96,,
5:59.0,,,82-96,,Defensive rebound by A. Aminu
5:40.0,,,82-96,,C. McCollum misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by S. Mejri,,82-96,,
5:29.0,Turnover by D. Williams (lost ball; steal by A. Aminu),,82-96,,
5:27.0,,,82-96,,Shooting foul by D. Williams (drawn by A. Aminu)
5:27.0,,,82-96,,A. Aminu misses free throw 1 of 2
5:27.0,,,82-96,,Offensive rebound by Team
5:27.0,,,82-97,1,A. Aminu makes free throw 2 of 2
5:12.0,S. Mejri makes 2-pt shot from 2 ft,2,84-97,,
4:45.0,,,84-97,,A. Aminu misses 3-pt shot from 22 ft
4:44.0,Defensive rebound by D. Nowitzki,,84-97,,
4:43.0,,,84-97,,Personal foul by A. Aminu
4:37.0,J. Barea makes 2-pt shot from 6 ft,2,86-97,,
4:36.0,,,86-97,,Portland full timeout
4:36.0,,,86-97,,A. Crabbe enters the game for G. Henderson
4:13.0,,,86-99,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
4:02.0,J. Barea misses 2-pt shot from 5 ft,,86-99,,
4:01.0,Offensive rebound by J. Barea,,86-99,,
3:59.0,D. Williams misses 3-pt shot from 24 ft,,86-99,,
3:58.0,,,86-99,,Defensive rebound by Team
