time,Houston,pts.away,score,pts.home,New York
1:27.0,,,18-23,,Personal take foul by D. Williams (drawn by J. Terry)
1:27.0,J. Terry misses free throw 1 of 2,,18-23,,
1:27.0,Offensive rebound by Team,,18-23,,
1:27.0,J. Terry makes free throw 2 of 2,1,19-23,,
1:04.0,,,19-25,2,D. Williams makes 2-pt shot from 16 ft
0:44.0,D. Howard makes 2-pt shot from 2 ft,2,21-25,,
0:41.0,,,21-25,,Turnover by K. Seraphin (bad pass; steal by J. Terry)
0:36.0,M. Thornton misses 3-pt shot from 25 ft,,21-25,,
0:35.0,Offensive rebound by K. McDaniels,,21-25,,
0:32.0,K. McDaniels misses 2-pt shot from 2 ft,,21-25,,
0:31.0,,,21-25,,Defensive rebound by Team
0:14.0,,,21-25,,L. Galloway misses 2-pt shot from 2 ft
0:14.0,Defensive rebound by D. Howard,,21-25,,
0:00.0,M. Thornton misses 2-pt shot from 9 ft,,21-25,,
0:00.0,Offensive rebound by Team,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-27,2,K. Seraphin makes 2-pt shot from 5 ft (assist by J. Grant)
11:17.0,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley),2,23-27,,
10:58.0,,,23-27,,Turnover by K. Seraphin (bad pass; steal by P. Beverley)
10:40.0,D. Howard misses 2-pt shot from 4 ft,,23-27,,
10:40.0,,,23-27,,Defensive rebound by J. Grant
10:33.0,,,23-29,2,J. Grant makes 2-pt shot from 1 ft
10:15.0,K. McDaniels misses 2-pt shot from 2 ft,,23-29,,
10:14.0,,,23-29,,Defensive rebound by K. Seraphin
10:08.0,Personal foul by K. McDaniels (drawn by J. Grant),,23-29,,
10:08.0,,,23-29,,K. O'Quinn enters the game for K. Seraphin
10:08.0,T. Jones enters the game for D. Howard,,23-29,,
10:08.0,T. Ariza enters the game for K. McDaniels,,23-29,,
9:57.0,,,23-29,,D. Williams misses 2-pt shot from 10 ft
9:56.0,Defensive rebound by T. Ariza,,23-29,,
9:45.0,M. Thornton misses 3-pt shot from 23 ft,,23-29,,
9:44.0,Offensive rebound by T. Ariza,,23-29,,
9:38.0,T. Jones misses 2-pt shot from 1 ft,,23-29,,
9:37.0,,,23-29,,Defensive rebound by D. Williams
9:36.0,Personal foul by P. Beverley (drawn by D. Williams),,23-29,,
9:36.0,J. Harden enters the game for M. Thornton,,23-29,,
9:14.0,,,23-29,,C. Early misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by Team,,23-29,,
8:51.0,T. Jones makes 3-pt shot from 26 ft (assist by J. Harden),3,26-29,,
8:42.0,,,26-31,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
8:42.0,,,26-31,,Shooting foul by T. Jones (drawn by D. Williams)
8:42.0,Official timeout,,26-31,,
8:42.0,,,26-31,,L. Thomas enters the game for C. Early
8:42.0,,,26-32,1,D. Williams makes free throw 1 of 1
8:25.0,J. Harden misses 2-pt shot from 9 ft,,26-32,,
8:24.0,,,26-32,,Defensive rebound by L. Thomas
8:04.0,,,26-32,,Turnover by J. Grant (bad pass; steal by P. Beverley)
7:58.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,28-32,,
7:39.0,,,28-34,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
7:29.0,Offensive foul by P. Beverley,,28-34,,
7:29.0,Turnover by P. Beverley (offensive foul),,28-34,,
7:29.0,,,28-34,,K. Porzingis enters the game for D. Williams
7:29.0,,,28-34,,A. Afflalo enters the game for J. Grant
7:28.0,D. Howard enters the game for C. Capela,,28-34,,
7:07.0,,,28-34,,K. Porzingis misses 2-pt shot from 9 ft (block by T. Jones)
7:06.0,Defensive rebound by Team,,28-34,,
6:56.0,Shooting foul by K. O'Quinn (drawn by J. Harden),,28-34,,
6:56.0,J. Harden makes free throw 1 of 2,1,29-34,,
6:56.0,J. Harden makes free throw 2 of 2,1,30-34,,
6:37.0,,,30-34,,Shooting foul by P. Beverley (drawn by K. O'Quinn)
6:37.0,,,30-35,1,K. O'Quinn makes free throw 1 of 2
6:37.0,J. Terry enters the game for P. Beverley,,30-35,,
6:37.0,,,30-35,,K. O'Quinn misses free throw 2 of 2
6:36.0,Defensive rebound by D. Howard,,30-35,,
6:25.0,J. Terry misses 3-pt shot from 23 ft,,30-35,,
6:24.0,Offensive rebound by T. Jones,,30-35,,
6:24.0,Shooting foul by L. Galloway (drawn by T. Jones),,30-35,,
6:24.0,T. Jones makes free throw 1 of 2,1,31-35,,
6:24.0,,,31-35,,R. Lopez enters the game for K. O'Quinn
6:24.0,,,31-35,,J. Calderon enters the game for L. Galloway
6:24.0,T. Jones makes free throw 2 of 2,1,32-35,,
6:13.0,Personal foul by J. Harden (drawn by L. Thomas),,32-35,,
6:13.0,,,32-36,1,L. Thomas makes free throw 1 of 2
6:13.0,,,32-37,1,L. Thomas makes free throw 2 of 2
5:57.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,34-37,,
5:43.0,,,34-39,2,J. Calderon makes 2-pt shot from 15 ft (assist by R. Lopez)
5:25.0,J. Harden misses 3-pt shot from 24 ft,,34-39,,
5:24.0,,,34-39,,Defensive rebound by J. Calderon
5:20.0,,,34-39,,Turnover by J. Calderon (bad pass)
5:20.0,,,34-39,,New York full timeout
5:01.0,T. Jones misses 2-pt shot from 2 ft (block by K. Porzingis),,34-39,,
5:00.0,,,34-39,,Defensive rebound by R. Lopez
4:47.0,,,34-41,2,A. Afflalo makes 2-pt shot from 16 ft
4:25.0,Shooting foul by L. Thomas (drawn by J. Harden),,34-41,,
4:25.0,J. Harden makes free throw 1 of 3,1,35-41,,
4:25.0,J. Harden makes free throw 2 of 3,1,36-41,,
4:25.0,C. Capela enters the game for D. Howard,,36-41,,
4:25.0,J. Harden misses free throw 3 of 3,,36-41,,
4:24.0,,,36-41,,Defensive rebound by K. Porzingis
4:13.0,,,36-41,,Turnover by L. Thomas (bad pass; steal by T. Ariza)
3:59.0,J. Harden misses 2-pt shot from 11 ft,,36-41,,
3:58.0,,,36-41,,Defensive rebound by K. Porzingis
3:46.0,,,36-41,,R. Lopez misses 2-pt shot at rim
3:46.0,,,36-41,,Offensive rebound by K. Porzingis
3:46.0,,,36-43,2,K. Porzingis makes 2-pt shot from 1 ft
3:31.0,T. Ariza misses 2-pt shot from 3 ft (block by R. Lopez),,36-43,,
3:30.0,,,36-43,,Defensive rebound by A. Afflalo
3:27.0,,,36-45,2,L. Thomas makes 2-pt shot at rim
3:25.0,Houston full timeout,,36-45,,
3:04.0,Turnover by J. Harden (bad pass; steal by J. Calderon),,36-45,,
2:54.0,,,36-47,2,L. Thomas makes 2-pt shot from 1 ft
2:35.0,Shooting foul by K. Porzingis (drawn by T. Jones),,36-47,,
2:35.0,T. Jones makes free throw 1 of 2,1,37-47,,
2:35.0,,,37-47,,K. Seraphin enters the game for R. Lopez
2:35.0,,,37-47,,L. Galloway enters the game for L. Thomas
2:35.0,T. Jones misses free throw 2 of 2,,37-47,,
2:34.0,,,37-47,,Defensive rebound by K. Seraphin
2:20.0,,,37-49,2,K. Porzingis makes 2-pt shot from 15 ft (assist by A. Afflalo)
2:03.0,J. Terry misses 3-pt shot from 23 ft,,37-49,,
2:02.0,Offensive rebound by C. Capela,,37-49,,
1:59.0,Turnover by C. Capela (bad pass; steal by K. Porzingis),,37-49,,
1:50.0,,,37-49,,L. Galloway misses 2-pt shot from 12 ft
1:50.0,,,37-49,,Offensive rebound by A. Afflalo
1:37.0,Personal foul by T. Ariza (drawn by K. Porzingis),,37-49,,
1:37.0,,,37-50,1,K. Porzingis makes free throw 1 of 2
1:37.0,,,37-51,1,K. Porzingis makes free throw 2 of 2
1:22.0,J. Harden misses 2-pt shot from 20 ft,,37-51,,
1:22.0,,,37-51,,Defensive rebound by K. Porzingis
1:11.0,,,37-51,,Turnover by L. Galloway (bad pass; steal by J. Terry)
1:06.0,,,37-51,,D. Williams enters the game for K. Porzingis
0:58.0,J. Harden makes 2-pt shot from 19 ft,2,39-51,,
0:46.0,,,39-54,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. Galloway)
0:31.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,41-54,,
0:24.0,,,41-54,,New York full timeout
0:11.0,,,41-54,,Turnover by J. Calderon (bad pass; steal by C. Capela)
0:01.0,T. Ariza misses 3-pt shot from 24 ft,,41-54,,
0:00.0,Offensive rebound by J. Harden,,41-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Personal foul by J. Harden (drawn by A. Afflalo),,41-54,,
11:31.0,,,41-54,,K. Porzingis misses 2-pt shot from 10 ft
11:29.0,Defensive rebound by J. Harden,,41-54,,
11:26.0,P. Beverley makes 2-pt shot from 3 ft,2,43-54,,
11:26.0,Shooting foul by J. Calderon (drawn by P. Beverley),,43-54,,
11:26.0,P. Beverley makes free throw 1 of 1,1,44-54,,
11:08.0,,,44-54,,A. Afflalo misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by C. Capela,,44-54,,
10:58.0,D. Howard misses 2-pt shot from 5 ft,,44-54,,
10:56.0,,,44-54,,Defensive rebound by J. Calderon
10:49.0,,,44-54,,J. Calderon misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by J. Harden,,44-54,,
10:39.0,J. Harden misses 2-pt shot from 9 ft,,44-54,,
10:39.0,Offensive rebound by J. Harden,,44-54,,
10:31.0,P. Beverley misses 2-pt shot from 7 ft,,44-54,,
10:30.0,Offensive rebound by D. Howard,,44-54,,
10:30.0,D. Howard makes 2-pt shot at rim,2,46-54,,
10:08.0,,,46-56,2,A. Afflalo makes 2-pt shot from 7 ft
9:59.0,Shooting foul by J. Calderon (drawn by C. Capela),,46-56,,
9:59.0,C. Capela misses free throw 1 of 2,,46-56,,
9:59.0,Offensive rebound by Team,,46-56,,
9:59.0,C. Capela misses free throw 2 of 2,,46-56,,
9:58.0,Offensive rebound by T. Ariza,,46-56,,
9:38.0,C. Capela misses 2-pt shot at rim,,46-56,,
9:37.0,Offensive rebound by C. Capela,,46-56,,
9:37.0,C. Capela makes 2-pt shot at rim,2,48-56,,
9:37.0,,,48-56,,New York full timeout
9:13.0,,,48-56,,A. Afflalo misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by P. Beverley,,48-56,,
9:02.0,J. Harden makes 2-pt shot from 19 ft,2,50-56,,
8:47.0,,,50-56,,Shooting foul by C. Capela (drawn by K. Porzingis)
8:47.0,,,50-57,1,K. Porzingis makes free throw 1 of 2
8:47.0,,,50-58,1,K. Porzingis makes free throw 2 of 2
8:26.0,Shooting foul by R. Lopez (drawn by D. Howard),,50-58,,
8:26.0,D. Howard misses free throw 1 of 2,,50-58,,
8:26.0,Offensive rebound by Team,,50-58,,
8:26.0,D. Howard makes free throw 2 of 2,1,51-58,,
8:02.0,,,51-60,2,A. Afflalo makes 2-pt shot from 1 ft
7:47.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,53-60,,
7:46.0,,,53-60,,Turnover by R. Lopez (bad pass)
7:41.0,J. Harden misses 3-pt shot from 24 ft,,53-60,,
7:40.0,,,53-60,,Defensive rebound by K. Porzingis
7:16.0,,,53-60,,K. Porzingis misses 3-pt shot from 25 ft
7:15.0,,,53-60,,Offensive rebound by Team
7:15.0,,,53-60,,Turnover by Team (shot clock)
6:58.0,Shooting foul by K. Porzingis (drawn by C. Capela),,53-60,,
6:58.0,C. Capela makes free throw 1 of 2,1,54-60,,
6:58.0,C. Capela makes free throw 2 of 2,1,55-60,,
6:43.0,,,55-62,2,A. Afflalo makes 2-pt shot from 19 ft
6:32.0,,,55-62,,Personal block foul by J. Calderon (drawn by P. Beverley)
6:32.0,P. Beverley makes free throw 1 of 2,1,56-62,,
6:32.0,T. Jones enters the game for C. Capela,,56-62,,
6:32.0,P. Beverley makes free throw 2 of 2,1,57-62,,
6:07.0,,,57-62,,Turnover by Team (shot clock)
5:54.0,T. Jones misses 3-pt shot from 22 ft,,57-62,,
5:54.0,,,57-62,,Defensive rebound by R. Lopez
5:47.0,,,57-62,,A. Afflalo misses 2-pt shot from 3 ft
5:45.0,,,57-62,,Offensive rebound by K. Porzingis
5:45.0,,,57-64,2,K. Porzingis makes 2-pt shot at rim
5:26.0,D. Howard misses 2-pt shot from 1 ft,,57-64,,
5:26.0,,,57-64,,Defensive rebound by K. Porzingis
5:12.0,,,57-64,,J. Calderon misses 3-pt shot from 24 ft
5:11.0,,,57-64,,Offensive rebound by L. Thomas
5:11.0,,,57-66,2,L. Thomas makes 2-pt shot at rim
5:09.0,Houston full timeout,,57-66,,
5:09.0,C. Brewer enters the game for T. Ariza,,57-66,,
5:09.0,J. Terry enters the game for P. Beverley,,57-66,,
4:52.0,J. Harden makes 2-pt shot from 9 ft,2,59-66,,
4:38.0,,,59-66,,Turnover by K. Porzingis (bad pass; steal by J. Harden)
4:33.0,J. Harden makes 2-pt shot from 1 ft,2,61-66,,
4:22.0,Personal foul by T. Jones (drawn by K. Porzingis),,61-66,,
4:22.0,C. Capela enters the game for D. Howard,,61-66,,
4:22.0,,,61-66,,K. Seraphin enters the game for R. Lopez
4:08.0,,,61-66,,Turnover by K. Seraphin (offensive goaltending)
3:49.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,64-66,,
3:33.0,,,64-69,3,A. Afflalo makes 3-pt shot from 23 ft
3:11.0,T. Jones misses 3-pt shot from 25 ft,,64-69,,
3:10.0,,,64-69,,Defensive rebound by K. Seraphin
2:54.0,,,64-71,2,K. Seraphin makes 2-pt shot from 1 ft
2:39.0,J. Harden makes 2-pt shot from 1 ft,2,66-71,,
2:26.0,,,66-71,,Turnover by L. Thomas (lost ball; steal by C. Capela)
2:21.0,C. Brewer makes 2-pt shot at rim,2,68-71,,
1:57.0,,,68-73,2,K. Seraphin makes 2-pt shot from 13 ft (assist by J. Calderon)
1:31.0,J. Harden misses 2-pt shot from 19 ft,,68-73,,
1:30.0,,,68-73,,Defensive rebound by K. Porzingis
1:18.0,,,68-75,2,K. Porzingis makes 2-pt shot at rim (assist by K. Seraphin)
0:53.0,J. Harden misses 2-pt shot from 13 ft,,68-75,,
0:53.0,,,68-75,,Defensive rebound by A. Afflalo
0:31.0,,,68-77,2,L. Thomas makes 2-pt shot from 9 ft (assist by A. Afflalo)
0:11.0,Shooting foul by J. Calderon (drawn by J. Harden),,68-77,,
0:11.0,J. Harden misses free throw 1 of 2,,68-77,,
0:11.0,Offensive rebound by Team,,68-77,,
0:11.0,,,68-77,,D. Williams enters the game for K. Porzingis
0:11.0,,,68-77,,L. Galloway enters the game for J. Calderon
0:11.0,J. Harden makes free throw 2 of 2,1,69-77,,
0:04.0,Personal foul by J. Terry (drawn by L. Galloway),,69-77,,
0:04.0,T. Ariza enters the game for J. Terry,,69-77,,
0:04.0,,,69-77,,K. Porzingis enters the game for L. Thomas
0:01.0,,,69-77,,A. Afflalo misses 2-pt shot from 4 ft
0:00.0,,,69-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,69-77,,Violation by K. Porzingis (def goaltending)
11:44.0,D. Howard makes 2-pt shot from 2 ft,2,71-77,,
11:28.0,,,71-79,2,K. Porzingis makes 2-pt shot from 17 ft (assist by L. Galloway)
11:13.0,Turnover by C. Brewer (lost ball),,71-79,,
10:59.0,,,71-79,,L. Galloway misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by D. Howard,,71-79,,
10:49.0,D. Howard misses 2-pt shot at rim,,71-79,,
10:49.0,Offensive rebound by C. Capela,,71-79,,
10:48.0,C. Capela misses 2-pt shot at rim (block by K. Seraphin),,71-79,,
10:46.0,,,71-79,,Defensive rebound by D. Williams
10:36.0,,,71-79,,Turnover by K. Porzingis (bad pass; steal by C. Capela)
10:30.0,Turnover by C. Brewer (lost ball; steal by L. Galloway),,71-79,,
10:26.0,Personal foul by C. Capela (drawn by K. Seraphin),,71-79,,
10:26.0,T. Ariza enters the game for C. Capela,,71-79,,
10:26.0,P. Beverley enters the game for C. Brewer,,71-79,,
10:19.0,,,71-81,2,K. Seraphin makes 2-pt shot from 10 ft
10:05.0,M. Thornton makes 2-pt shot from 20 ft,2,73-81,,
9:54.0,,,73-81,,Shooting foul by J. Terry (drawn by D. Williams)
9:54.0,,,73-82,1,D. Williams makes free throw 1 of 2
9:54.0,,,73-83,1,D. Williams makes free throw 2 of 2
9:40.0,T. Ariza makes 2-pt shot from 18 ft,2,75-83,,
9:24.0,,,75-85,2,J. Grant makes 2-pt shot from 7 ft
9:10.0,Turnover by M. Thornton (lost ball; steal by K. Seraphin),,75-85,,
9:06.0,,,75-85,,Turnover by K. Seraphin (lost ball)
9:06.0,J. Harden enters the game for J. Terry,,75-85,,
8:50.0,D. Howard misses 2-pt shot from 4 ft,,75-85,,
8:49.0,,,75-85,,Defensive rebound by D. Williams
8:42.0,,,75-88,3,J. Grant makes 3-pt shot from 24 ft (assist by D. Williams)
8:42.0,Houston full timeout,,75-88,,
8:42.0,,,75-88,,L. Thomas enters the game for K. Porzingis
8:23.0,D. Howard misses 2-pt shot from 1 ft (block by K. Seraphin),,75-88,,
8:22.0,Offensive rebound by Team,,75-88,,
8:20.0,Shooting foul by L. Galloway (drawn by M. Thornton),,75-88,,
8:20.0,M. Thornton makes free throw 1 of 2,1,76-88,,
8:20.0,C. Capela enters the game for D. Howard,,76-88,,
8:20.0,M. Thornton makes free throw 2 of 2,1,77-88,,
8:05.0,,,77-91,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Grant)
7:48.0,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley),2,79-91,,
7:48.0,Shooting foul by D. Williams (drawn by C. Capela),,79-91,,
7:48.0,C. Capela makes free throw 1 of 1,1,80-91,,
7:40.0,Personal foul by P. Beverley (drawn by J. Grant),,80-91,,
7:28.0,,,80-91,,L. Thomas misses 2-pt shot from 15 ft
7:28.0,Defensive rebound by J. Harden,,80-91,,
7:21.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,83-91,,
6:52.0,,,83-91,,L. Galloway misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by C. Capela,,83-91,,
6:35.0,,,83-91,,A. Afflalo enters the game for J. Grant
6:35.0,Houston full timeout,,83-91,,
6:33.0,,,83-91,,Violation by L. Galloway (def goaltending)
6:33.0,P. Beverley makes 2-pt shot at rim,2,85-91,,
6:17.0,,,85-91,,Turnover by D. Williams (bad pass; steal by P. Beverley)
6:08.0,Shooting foul by K. Seraphin (drawn by J. Harden),,85-91,,
6:08.0,J. Harden misses free throw 1 of 2,,85-91,,
6:08.0,Offensive rebound by Team,,85-91,,
6:08.0,,,85-91,,J. Calderon enters the game for D. Williams
6:08.0,J. Harden misses free throw 2 of 2,,85-91,,
6:07.0,,,85-91,,Defensive rebound by L. Thomas
5:42.0,,,85-91,,L. Galloway misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by T. Ariza,,85-91,,
5:36.0,J. Harden misses 2-pt shot from 1 ft,,85-91,,
5:35.0,Offensive rebound by C. Capela,,85-91,,
5:35.0,C. Capela makes 2-pt shot at rim,2,87-91,,
5:32.0,,,87-91,,Turnover by K. Seraphin (bad pass; steal by M. Thornton)
5:29.0,M. Thornton makes 2-pt shot at rim,2,89-91,,
5:29.0,,,89-91,,New York full timeout
5:29.0,,,89-91,,K. Porzingis enters the game for K. Seraphin
5:08.0,,,89-93,2,A. Afflalo makes 2-pt shot from 9 ft
4:48.0,Turnover by J. Harden (bad pass; steal by A. Afflalo),,89-93,,
4:36.0,,,89-95,2,K. Porzingis makes 2-pt shot from 3 ft (assist by J. Calderon)
4:13.0,M. Thornton makes 2-pt shot from 19 ft,2,91-95,,
3:57.0,,,91-95,,L. Thomas misses 2-pt shot from 1 ft (block by C. Capela)
3:56.0,,,91-95,,Offensive rebound by Team
3:51.0,,,91-97,2,L. Thomas makes 2-pt shot from 18 ft (assist by A. Afflalo)
3:33.0,J. Harden makes 2-pt shot from 11 ft,2,93-97,,
3:10.0,,,93-97,,L. Thomas misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by T. Ariza,,93-97,,
3:04.0,J. Harden makes 2-pt shot from 3 ft,2,95-97,,
3:04.0,Shooting foul by A. Afflalo (drawn by J. Harden),,95-97,,
3:04.0,D. Howard enters the game for C. Capela,,95-97,,
3:04.0,,,95-97,,K. Seraphin enters the game for L. Galloway
3:04.0,J. Harden makes free throw 1 of 1,1,96-97,,
2:43.0,,,96-99,2,K. Seraphin makes 2-pt shot from 11 ft (assist by A. Afflalo)
2:20.0,T. Ariza makes 2-pt shot from 18 ft,2,98-99,,
2:15.0,,,98-99,,New York full timeout
1:56.0,,,98-99,,Turnover by J. Calderon (bad pass; steal by P. Beverley)
1:49.0,J. Harden misses 2-pt shot from 3 ft (block by K. Seraphin),,98-99,,
1:47.0,Offensive rebound by J. Harden,,98-99,,
1:44.0,T. Ariza misses 3-pt shot from 23 ft,,98-99,,
1:43.0,,,98-99,,Defensive rebound by J. Calderon
1:27.0,,,98-101,2,A. Afflalo makes 2-pt shot from 18 ft
