time,Boston,pts.away,score,pts.home,Portland
5:07.0,,,14-13,1,M. Plumlee makes free throw 1 of 2
5:07.0,,,14-13,,A. Crabbe enters the game for C. McCollum
5:07.0,E. Turner enters the game for J. Sullinger,,14-13,,
5:07.0,M. Smart enters the game for J. Crowder,,14-13,,
5:07.0,,,14-14,1,M. Plumlee makes free throw 2 of 2
4:50.0,A. Johnson makes 2-pt shot from 22 ft (assist by E. Turner),2,16-14,,
4:34.0,,,16-14,,D. Lillard misses 2-pt shot at rim (block by A. Johnson)
4:33.0,Defensive rebound by A. Johnson,,16-14,,
4:32.0,Turnover by A. Johnson (lost ball; steal by A. Aminu),,16-14,,
4:25.0,,,16-14,,M. Harkless misses 2-pt shot from 1 ft
4:25.0,,,16-14,,Offensive rebound by M. Harkless
4:25.0,,,16-14,,M. Harkless misses 2-pt shot from 1 ft
4:23.0,,,16-14,,Offensive rebound by M. Harkless
4:23.0,,,16-16,2,M. Harkless makes 2-pt shot at rim
4:14.0,Offensive foul by A. Johnson,,16-16,,
4:14.0,Turnover by A. Johnson (offensive foul),,16-16,,
4:14.0,,,16-16,,G. Henderson enters the game for A. Aminu
4:14.0,,,16-16,,E. Davis enters the game for M. Plumlee
4:03.0,,,16-16,,G. Henderson misses 2-pt shot from 6 ft
4:03.0,Defensive rebound by M. Smart,,16-16,,
3:54.0,A. Johnson makes 3-pt shot from 23 ft (assist by M. Smart),3,19-16,,
3:36.0,Personal foul by I. Thomas,,19-16,,
3:36.0,K. Olynyk enters the game for A. Johnson,,19-16,,
3:30.0,,,19-19,3,G. Henderson makes 3-pt shot from 24 ft (assist by D. Lillard)
3:18.0,Shooting foul by G. Henderson (drawn by K. Olynyk),,19-19,,
3:18.0,K. Olynyk misses free throw 1 of 2,,19-19,,
3:18.0,Offensive rebound by Team,,19-19,,
3:18.0,A. Johnson enters the game for I. Thomas,,19-19,,
3:18.0,K. Olynyk misses free throw 2 of 2,,19-19,,
3:17.0,,,19-19,,Defensive rebound by M. Harkless
3:04.0,,,19-22,3,M. Harkless makes 3-pt shot from 24 ft (assist by G. Henderson)
2:44.0,A. Bradley misses 2-pt shot at rim (block by E. Davis),,19-22,,
2:43.0,Offensive rebound by A. Bradley,,19-22,,
2:41.0,Turnover by A. Bradley (lost ball; steal by E. Davis),,19-22,,
2:30.0,,,19-22,,Turnover by D. Lillard (lost ball; steal by E. Turner)
2:27.0,Turnover by E. Turner (lost ball; steal by M. Harkless),,19-22,,
2:21.0,,,19-25,3,A. Crabbe makes 3-pt shot from 22 ft (assist by M. Harkless)
2:08.0,K. Olynyk makes 3-pt shot from 26 ft (assist by E. Turner),3,22-25,,
1:50.0,,,22-25,,Shooting foul by K. Olynyk (drawn by M. Harkless)
1:50.0,,,22-25,,Portland full timeout
1:50.0,J. Jerebko enters the game for A. Johnson,,22-25,,
1:50.0,,,22-25,,M. Harkless misses free throw 1 of 2
1:50.0,,,22-25,,Offensive rebound by Team
1:50.0,,,22-26,1,M. Harkless makes free throw 2 of 2
1:35.0,Shooting foul by M. Harkless (drawn by E. Turner),,22-26,,
1:35.0,E. Turner makes free throw 1 of 2,1,23-26,,
1:35.0,,,23-26,,N. Vonleh enters the game for M. Harkless
1:35.0,E. Turner makes free throw 2 of 2,1,24-26,,
1:17.0,,,24-28,2,D. Lillard makes 2-pt shot from 17 ft (assist by G. Henderson)
1:00.0,A. Bradley misses 2-pt shot from 11 ft,,24-28,,
1:00.0,Offensive rebound by A. Bradley,,24-28,,
0:57.0,K. Olynyk makes 3-pt shot from 25 ft (assist by A. Bradley),3,27-28,,
0:44.0,,,27-28,,Turnover by G. Henderson (lost ball; steal by M. Smart)
0:39.0,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart),2,29-28,,
0:30.0,,,29-28,,Turnover by D. Lillard (lost ball; steal by A. Bradley)
0:27.0,Shooting foul by A. Crabbe (drawn by E. Turner),,29-28,,
0:27.0,E. Turner makes free throw 1 of 2,1,30-28,,
0:27.0,E. Turner makes free throw 2 of 2,1,31-28,,
0:10.0,,,31-28,,Shooting foul by A. Bradley (drawn by D. Lillard)
0:10.0,,,31-29,1,D. Lillard makes free throw 1 of 2
0:10.0,I. Thomas enters the game for M. Smart,,31-29,,
0:10.0,,,31-30,1,D. Lillard makes free throw 2 of 2
0:05.0,Shooting foul by D. Lillard (drawn by I. Thomas),,31-30,,
0:05.0,I. Thomas misses free throw 1 of 2,,31-30,,
0:05.0,Offensive rebound by Team,,31-30,,
0:05.0,M. Smart enters the game for K. Olynyk,,31-30,,
0:05.0,I. Thomas misses free throw 2 of 2,,31-30,,
0:04.0,,,31-30,,Defensive rebound by E. Davis
0:02.0,,,31-30,,Turnover by E. Davis (lost ball; steal by E. Turner)
0:00.0,M. Smart misses 3-pt shot from 25 ft,,31-30,,
0:00.0,Offensive rebound by Team,,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by E. Turner (lost ball; steal by C. McCollum),,31-30,,
11:37.0,,,31-30,,C. McCollum misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by J. Jerebko,,31-30,,
11:25.0,E. Turner makes 2-pt shot from 7 ft,2,33-30,,
11:06.0,,,33-30,,Turnover by C. McCollum (lost ball; steal by E. Turner)
11:06.0,Jump ball: J. Jerebko vs. C. McCollum (J. Crowder gains possession),,,,Jump ball: J. Jerebko vs. C. McCollum (J. Crowder gains possession)
10:54.0,Shooting foul by E. Davis (drawn by E. Turner),,33-30,,
10:54.0,E. Turner makes free throw 1 of 2,1,34-30,,
10:54.0,E. Turner makes free throw 2 of 2,1,35-30,,
10:30.0,,,35-30,,C. McCollum misses 2-pt shot from 5 ft (block by E. Turner)
10:30.0,,,35-30,,Offensive rebound by Team
10:30.0,,,35-30,,Turnover by Team (shot clock)
10:16.0,M. Smart misses 2-pt shot from 2 ft (block by N. Vonleh),,35-30,,
10:15.0,Offensive rebound by J. Jerebko,,35-30,,
10:08.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,38-30,,
10:07.0,,,38-30,,Portland full timeout
9:46.0,,,38-33,3,N. Vonleh makes 3-pt shot from 23 ft (assist by C. McCollum)
9:17.0,M. Smart makes 2-pt shot from 2 ft (assist by E. Turner),2,40-33,,
8:57.0,,,40-33,,E. Davis misses 2-pt shot from 1 ft
8:57.0,,,40-33,,Offensive rebound by E. Davis
8:57.0,,,40-35,2,E. Davis makes 2-pt shot from 1 ft
8:40.0,M. Smart misses 2-pt shot from 21 ft,,40-35,,
8:40.0,,,40-35,,Defensive rebound by N. Vonleh
8:28.0,,,40-37,2,N. Vonleh makes 2-pt shot at rim (assist by E. Davis)
8:11.0,J. Jerebko misses 3-pt shot from 25 ft,,40-37,,
8:10.0,,,40-37,,Defensive rebound by G. Henderson
8:03.0,,,40-37,,C. McCollum misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by M. Smart,,40-37,,
7:54.0,K. Olynyk misses 2-pt shot from 2 ft (block by E. Davis),,40-37,,
7:53.0,,,40-37,,Defensive rebound by N. Vonleh
7:41.0,,,40-37,,G. Henderson misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by J. Crowder,,40-37,,
7:29.0,K. Olynyk misses 3-pt shot from 27 ft,,40-37,,
7:28.0,,,40-37,,Defensive rebound by N. Vonleh
7:19.0,,,40-39,2,C. McCollum makes 2-pt shot from 14 ft
7:19.0,Boston full timeout,,40-39,,
7:19.0,I. Thomas enters the game for M. Smart,,40-39,,
7:19.0,J. Sullinger enters the game for K. Olynyk,,40-39,,
7:19.0,,,40-39,,M. Plumlee enters the game for E. Davis
7:05.0,Shooting foul by G. Henderson (drawn by J. Crowder),,40-39,,
7:05.0,J. Crowder misses free throw 1 of 3,,40-39,,
7:05.0,Offensive rebound by Team,,40-39,,
7:05.0,J. Crowder misses free throw 2 of 3,,40-39,,
7:05.0,Offensive rebound by Team,,40-39,,
7:05.0,J. Crowder makes free throw 3 of 3,1,41-39,,
6:43.0,,,41-41,2,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee)
6:21.0,E. Turner makes 2-pt shot from 8 ft,2,43-41,,
6:11.0,,,43-41,,A. Crabbe misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by J. Sullinger,,43-41,,
5:58.0,Turnover by J. Sullinger (lost ball; steal by N. Vonleh),,43-41,,
5:49.0,,,43-41,,C. McCollum misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by J. Sullinger,,43-41,,
5:38.0,,,43-41,,Personal foul by N. Vonleh
5:38.0,,,43-41,,D. Lillard enters the game for C. McCollum
5:29.0,J. Jerebko misses 3-pt shot from 24 ft,,43-41,,
5:26.0,Offensive rebound by J. Crowder,,43-41,,
5:26.0,J. Crowder makes 2-pt shot at rim,2,45-41,,
5:04.0,,,45-41,,D. Lillard misses 2-pt shot from 21 ft
5:04.0,Defensive rebound by J. Jerebko,,45-41,,
5:00.0,Shooting foul by A. Crabbe (drawn by I. Thomas),,45-41,,
5:00.0,I. Thomas makes free throw 1 of 2,1,46-41,,
5:00.0,A. Johnson enters the game for E. Turner,,46-41,,
5:00.0,A. Bradley enters the game for J. Jerebko,,46-41,,
5:00.0,I. Thomas makes free throw 2 of 2,1,47-41,,
4:41.0,,,47-41,,G. Henderson misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by I. Thomas,,47-41,,
4:29.0,,,47-41,,Personal foul by M. Plumlee
4:29.0,J. Sullinger makes free throw 1 of 2,1,48-41,,
4:29.0,,,48-41,,A. Aminu enters the game for N. Vonleh
4:29.0,J. Sullinger makes free throw 2 of 2,1,49-41,,
4:17.0,,,49-41,,D. Lillard misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by I. Thomas,,49-41,,
4:10.0,I. Thomas misses 2-pt shot from 4 ft,,49-41,,
4:10.0,Offensive rebound by I. Thomas,,49-41,,
4:07.0,J. Crowder misses 3-pt shot from 24 ft,,49-41,,
4:05.0,Offensive rebound by J. Sullinger,,49-41,,
4:01.0,I. Thomas makes 3-pt shot from 23 ft (assist by J. Sullinger),3,52-41,,
4:01.0,,,52-41,,Portland full timeout
4:01.0,,,52-41,,M. Harkless enters the game for G. Henderson
4:01.0,,,52-41,,C. McCollum enters the game for A. Crabbe
4:01.0,M. Smart enters the game for J. Crowder,,52-41,,
3:48.0,,,52-44,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
3:30.0,I. Thomas misses 3-pt shot from 24 ft,,52-44,,
3:30.0,,,52-44,,Defensive rebound by M. Harkless
3:19.0,,,52-46,2,M. Plumlee makes 2-pt shot from 7 ft (assist by C. McCollum)
2:59.0,J. Sullinger makes 2-pt shot from 19 ft (assist by A. Bradley),2,54-46,,
2:44.0,,,54-46,,C. McCollum misses 2-pt shot from 3 ft (block by M. Smart)
2:44.0,,,54-46,,Offensive rebound by Team
2:44.0,Official timeout,,54-46,,
2:40.0,,,54-46,,Turnover by A. Aminu (lost ball; steal by I. Thomas)
2:22.0,A. Bradley misses 2-pt shot from 21 ft (block by C. McCollum),,54-46,,
2:21.0,,,54-46,,Defensive rebound by C. McCollum
2:05.0,,,54-46,,D. Lillard misses 3-pt shot from 25 ft
2:05.0,,,54-46,,Offensive rebound by C. McCollum
2:01.0,,,54-48,2,C. McCollum makes 2-pt shot from 14 ft
1:37.0,A. Johnson makes 2-pt shot from 8 ft,2,56-48,,
1:28.0,Personal foul by A. Johnson,,56-48,,
1:28.0,K. Olynyk enters the game for A. Johnson,,56-48,,
1:21.0,,,56-50,2,A. Aminu makes 2-pt shot from 1 ft (assist by M. Plumlee)
1:10.0,I. Thomas misses 2-pt shot from 7 ft,,56-50,,
1:08.0,,,56-50,,Defensive rebound by M. Harkless
0:56.0,,,56-50,,Shooting foul by M. Smart (drawn by M. Harkless)
0:56.0,,,56-51,1,M. Harkless makes free throw 1 of 2
0:56.0,E. Turner enters the game for M. Smart,,56-51,,
0:56.0,J. Crowder enters the game for J. Sullinger,,56-51,,
0:56.0,,,56-52,1,M. Harkless makes free throw 2 of 2
0:42.0,E. Turner makes 2-pt shot from 15 ft,2,58-52,,
0:33.0,,,58-52,,M. Harkless misses 3-pt shot from 23 ft
0:31.0,,,58-52,,Offensive rebound by M. Harkless
0:31.0,Personal foul by E. Turner,,58-52,,
0:31.0,,,58-52,,M. Harkless misses free throw 1 of 2
0:31.0,,,58-52,,Offensive rebound by Team
0:31.0,,,58-53,1,M. Harkless makes free throw 2 of 2
0:16.0,E. Turner misses 2-pt shot from 14 ft,,58-53,,
0:14.0,,,58-53,,Defensive rebound by A. Aminu
0:11.0,,,58-53,,Shooting foul by E. Turner (drawn by M. Plumlee)
0:11.0,,,58-53,,M. Plumlee misses free throw 1 of 2
0:11.0,,,58-53,,Offensive rebound by Team
0:11.0,,,58-54,1,M. Plumlee makes free throw 2 of 2
0:11.0,Boston full timeout,,58-54,,
0:11.0,J. Sullinger enters the game for E. Turner,,58-54,,
0:01.0,I. Thomas misses 2-pt shot from 2 ft,,58-54,,
0:00.0,,,58-54,,Defensive rebound by M. Harkless
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,A. Bradley makes 2-pt shot from 22 ft (assist by J. Sullinger),2,60-54,,
11:27.0,,,60-54,,Turnover by D. Lillard (back court)
11:12.0,A. Bradley makes 2-pt shot from 16 ft,2,62-54,,
11:01.0,Personal foul by A. Bradley,,62-54,,
10:57.0,Personal block foul by J. Crowder,,62-54,,
10:47.0,,,62-54,,A. Aminu misses 3-pt shot from 22 ft
10:47.0,,,62-54,,Offensive rebound by M. Plumlee
10:42.0,,,62-56,2,A. Aminu makes 2-pt shot from 16 ft
10:29.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Sullinger),2,64-56,,
10:11.0,,,64-58,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
9:56.0,J. Sullinger misses 2-pt shot from 20 ft,,64-58,,
9:55.0,Offensive rebound by I. Thomas,,64-58,,
9:52.0,I. Thomas misses 2-pt shot from 17 ft,,64-58,,
9:50.0,Offensive rebound by J. Sullinger,,64-58,,
9:49.0,J. Sullinger misses 2-pt shot from 1 ft,,64-58,,
9:48.0,Offensive rebound by J. Sullinger,,64-58,,
9:48.0,J. Sullinger makes 2-pt shot from 1 ft,2,66-58,,
9:29.0,,,66-58,,M. Plumlee misses 2-pt shot from 1 ft
9:28.0,Defensive rebound by J. Sullinger,,66-58,,
9:26.0,Shooting foul by C. McCollum (drawn by A. Bradley),,66-58,,
9:26.0,A. Bradley makes free throw 1 of 2,1,67-58,,
9:26.0,A. Bradley makes free throw 2 of 2,1,68-58,,
9:12.0,,,68-61,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
8:52.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,71-61,,
8:40.0,,,71-61,,D. Lillard misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by J. Crowder,,71-61,,
8:24.0,A. Bradley misses 2-pt shot from 19 ft,,71-61,,
8:23.0,,,71-61,,Defensive rebound by A. Aminu
8:23.0,Personal foul by J. Sullinger,,71-61,,
8:13.0,Personal foul by J. Sullinger,,71-61,,
8:07.0,,,71-61,,Turnover by C. McCollum (bad pass)
7:55.0,I. Thomas misses 2-pt shot from 7 ft (block by D. Lillard),,71-61,,
7:55.0,Jump ball: D. Lillard vs. I. Thomas (J. Crowder gains possession),,,,Jump ball: D. Lillard vs. I. Thomas (J. Crowder gains possession)
7:55.0,Offensive rebound by Team,,71-61,,
7:44.0,J. Crowder misses 3-pt shot from 24 ft,,71-61,,
7:42.0,,,71-61,,Defensive rebound by C. McCollum
7:36.0,,,71-61,,C. McCollum misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by I. Thomas,,71-61,,
7:31.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,73-61,,
7:11.0,,,73-64,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
6:58.0,I. Thomas misses 3-pt shot from 23 ft,,73-64,,
6:57.0,,,73-64,,Defensive rebound by M. Harkless
6:47.0,,,73-64,,A. Aminu misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by J. Sullinger,,73-64,,
6:32.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Sullinger),2,75-64,,
6:32.0,,,75-64,,Portland full timeout
6:11.0,,,75-66,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
5:48.0,J. Sullinger misses 2-pt shot from 19 ft,,75-66,,
5:47.0,,,75-66,,Defensive rebound by A. Aminu
5:35.0,,,75-66,,A. Aminu misses 2-pt shot from 3 ft
5:34.0,Defensive rebound by J. Sullinger,,75-66,,
5:31.0,Turnover by I. Thomas (step out of bounds),,75-66,,
5:31.0,E. Turner enters the game for J. Crowder,,75-66,,
5:31.0,M. Smart enters the game for J. Sullinger,,75-66,,
5:20.0,,,75-66,,D. Lillard misses 2-pt shot from 1 ft
5:19.0,,,75-66,,Offensive rebound by D. Lillard
5:19.0,,,75-66,,D. Lillard misses 2-pt shot from 1 ft
5:17.0,,,75-66,,Offensive rebound by M. Harkless
5:15.0,,,75-66,,M. Harkless misses 2-pt shot from 9 ft
5:14.0,Defensive rebound by A. Johnson,,75-66,,
5:05.0,Shooting foul by M. Harkless (drawn by A. Bradley),,75-66,,
5:05.0,A. Bradley makes free throw 1 of 2,1,76-66,,
5:05.0,,,76-66,,A. Crabbe enters the game for C. McCollum
5:05.0,,,76-66,,E. Davis enters the game for M. Plumlee
5:05.0,A. Bradley makes free throw 2 of 2,1,77-66,,
4:52.0,Shooting block foul by A. Bradley (drawn by D. Lillard),,77-66,,
4:52.0,,,77-66,,D. Lillard misses free throw 1 of 2
4:52.0,,,77-66,,Offensive rebound by Team
4:52.0,,,77-66,,G. Henderson enters the game for M. Harkless
4:52.0,,,77-67,1,D. Lillard makes free throw 2 of 2
4:37.0,I. Thomas misses 2-pt shot from 12 ft,,77-67,,
4:37.0,,,77-67,,Defensive rebound by A. Aminu
4:23.0,,,77-67,,D. Lillard misses 3-pt shot from 28 ft
4:22.0,Defensive rebound by A. Bradley,,77-67,,
4:13.0,E. Turner misses 2-pt shot from 20 ft,,77-67,,
4:12.0,Offensive rebound by A. Johnson,,77-67,,
4:01.0,I. Thomas misses 2-pt shot from 2 ft,,77-67,,
4:00.0,,,77-67,,Defensive rebound by E. Davis
3:52.0,,,77-67,,Shooting foul by E. Turner (drawn by A. Crabbe)
3:52.0,,,77-68,1,A. Crabbe makes free throw 1 of 2
3:52.0,K. Olynyk enters the game for A. Johnson,,77-68,,
3:52.0,,,77-69,1,A. Crabbe makes free throw 2 of 2
3:33.0,A. Bradley makes 2-pt shot from 2 ft,2,79-69,,
3:08.0,,,79-69,,A. Aminu misses 3-pt shot from 22 ft
3:07.0,Defensive rebound by Team,,79-69,,
2:56.0,I. Thomas misses 2-pt shot from 2 ft (block by A. Aminu),,79-69,,
2:55.0,,,79-69,,Defensive rebound by G. Henderson
2:50.0,,,79-71,2,A. Aminu makes 2-pt shot at rim (assist by G. Henderson)
2:50.0,,,79-71,,Shooting foul by M. Smart (drawn by A. Aminu)
2:50.0,Boston full timeout,,79-71,,
2:50.0,J. Crowder enters the game for I. Thomas,,79-71,,
2:50.0,,,79-71,,A. Aminu misses free throw 1 of 1
2:49.0,,,79-71,,Offensive rebound by G. Henderson
2:45.0,,,79-71,,Turnover by A. Crabbe (lost ball; steal by J. Crowder)
2:41.0,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner),2,81-71,,
2:21.0,,,81-74,3,D. Lillard makes 3-pt shot from 25 ft (assist by G. Henderson)
2:05.0,A. Bradley misses 2-pt shot from 1 ft,,81-74,,
2:04.0,,,81-74,,Defensive rebound by A. Crabbe
1:54.0,,,81-76,2,G. Henderson makes 2-pt shot from 2 ft (assist by A. Aminu)
1:30.0,E. Turner misses 2-pt shot from 4 ft (block by A. Aminu),,81-76,,
1:29.0,,,81-76,,Defensive rebound by A. Aminu
1:24.0,,,81-79,3,A. Crabbe makes 3-pt shot from 24 ft (assist by G. Henderson)
1:01.0,Turnover by J. Crowder (lost ball; steal by E. Davis),,81-79,,
0:55.0,,,81-79,,A. Crabbe misses 3-pt shot from 23 ft
0:55.0,,,81-79,,Offensive rebound by E. Davis
0:55.0,,,81-81,2,E. Davis makes 2-pt shot at rim
0:54.0,Boston full timeout,,81-81,,
0:54.0,J. Jerebko enters the game for A. Bradley,,81-81,,
0:47.0,,,81-81,,Violation by E. Davis (def goaltending)
0:47.0,M. Smart makes 2-pt shot from 1 ft (assist by K. Olynyk),2,83-81,,
0:35.0,,,83-81,,D. Lillard misses 2-pt shot from 2 ft (block by K. Olynyk)
0:34.0,Defensive rebound by M. Smart,,83-81,,
0:27.0,J. Crowder misses 3-pt shot from 22 ft,,83-81,,
0:26.0,,,83-81,,Defensive rebound by E. Davis
0:01.0,,,83-81,,G. Henderson misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by E. Turner,,83-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,83-84,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
11:28.0,M. Smart misses 2-pt shot from 2 ft,,83-84,,
11:27.0,,,83-84,,Defensive rebound by E. Davis
11:17.0,,,83-84,,A. Crabbe misses 3-pt shot from 24 ft
11:17.0,,,83-84,,Offensive rebound by G. Henderson
11:12.0,,,83-87,3,A. Aminu makes 3-pt shot from 24 ft (assist by A. Crabbe)
10:45.0,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart),2,85-87,,
10:24.0,,,85-89,2,G. Henderson makes 2-pt shot from 15 ft
10:06.0,Shooting foul by A. Aminu (drawn by J. Jerebko),,85-89,,
10:06.0,J. Jerebko makes free throw 1 of 2,1,86-89,,
10:06.0,J. Jerebko makes free throw 2 of 2,1,87-89,,
9:57.0,,,87-91,2,G. Henderson makes 2-pt shot from 22 ft
9:37.0,J. Jerebko misses 2-pt shot from 23 ft,,87-91,,
9:37.0,,,87-91,,Defensive rebound by G. Henderson
9:29.0,,,87-93,2,G. Henderson makes 2-pt shot from 22 ft
9:28.0,Boston full timeout,,87-93,,
9:28.0,J. Sullinger enters the game for J. Jerebko,,87-93,,
9:13.0,J. Sullinger makes 2-pt shot from 3 ft,2,89-93,,
8:52.0,,,89-93,,C. McCollum misses 2-pt shot from 4 ft
8:52.0,,,89-93,,Offensive rebound by C. McCollum
8:48.0,,,89-96,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
8:32.0,Offensive foul by M. Smart,,89-96,,
8:32.0,Turnover by M. Smart (offensive foul),,89-96,,
8:32.0,I. Thomas enters the game for K. Olynyk,,89-96,,
8:10.0,,,89-98,2,G. Henderson makes 2-pt shot from 15 ft
8:05.0,Turnover by I. Thomas (lost ball; steal by E. Davis),,89-98,,
8:02.0,,,89-98,,Shooting foul by J. Sullinger (drawn by G. Henderson)
8:02.0,,,89-99,1,G. Henderson makes free throw 1 of 2
8:02.0,,,89-100,1,G. Henderson makes free throw 2 of 2
7:44.0,Turnover by I. Thomas (lost ball; steal by G. Henderson),,89-100,,
7:35.0,,,89-102,2,C. McCollum makes 2-pt shot from 2 ft
7:17.0,E. Turner misses 2-pt shot from 9 ft,,89-102,,
7:17.0,,,89-102,,Defensive rebound by E. Davis
7:06.0,,,89-102,,A. Aminu misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by J. Sullinger,,89-102,,
6:54.0,,,89-102,,Shooting block foul by E. Davis (drawn by M. Smart)
6:54.0,M. Smart makes free throw 1 of 2,1,90-102,,
6:54.0,A. Johnson enters the game for J. Sullinger,,90-102,,
6:54.0,A. Bradley enters the game for J. Crowder,,90-102,,
6:54.0,M. Smart makes free throw 2 of 2,1,91-102,,
