time,Chicago,pts.away,score,pts.home,Brooklyn
2:07.0,,,28-14,2,B. Bogdanovic makes 2-pt shot from 10 ft (assist by B. Lopez)
2:07.0,,,28-14,,Shooting foul by D. McDermott (drawn by B. Bogdanovic)
2:07.0,Chicago full timeout,,28-14,,
2:07.0,T. Gibson enters the game for N. Mirotic,,28-14,,
2:07.0,,,28-15,1,B. Bogdanovic makes free throw 1 of 1
1:53.0,Turnover by J. Butler (bad pass; steal by R. Hollis-Jefferson),,28-15,,
1:39.0,,,28-17,2,A. Bargnani makes 2-pt shot from 2 ft (assist by B. Lopez)
1:27.0,Turnover by D. McDermott (lost ball; steal by D. Sloan),,28-17,,
1:21.0,,,28-17,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by J. Noah)
1:20.0,Defensive rebound by J. Noah,,28-17,,
1:10.0,J. Noah misses 2-pt shot at rim,,28-17,,
1:09.0,Offensive rebound by T. Gibson,,28-17,,
1:08.0,T. Gibson misses 2-pt shot from 2 ft (block by A. Bargnani),,28-17,,
1:07.0,,,28-17,,Defensive rebound by A. Bargnani
1:04.0,,,28-17,,Shooting foul by A. Brooks (drawn by D. Sloan)
1:04.0,,,28-18,1,D. Sloan makes free throw 1 of 2
1:04.0,E. Moore enters the game for J. Butler,,28-18,,
1:04.0,,,28-18,,T. Robinson enters the game for B. Lopez
1:04.0,,,28-19,1,D. Sloan makes free throw 2 of 2
0:51.0,D. McDermott misses 2-pt shot from 10 ft,,28-19,,
0:49.0,,,28-19,,Defensive rebound by T. Robinson
0:41.0,,,28-19,,D. Sloan misses 2-pt shot from 2 ft
0:39.0,Defensive rebound by J. Noah,,28-19,,
0:31.0,A. Brooks misses 3-pt shot from 24 ft,,28-19,,
0:30.0,Offensive rebound by J. Noah,,28-19,,
0:09.0,A. Brooks makes 2-pt shot from 18 ft,2,30-19,,
0:03.0,,,30-19,,Turnover by B. Bogdanovic (lost ball)
0:01.0,A. Brooks misses 3-pt shot from 28 ft,,30-19,,
0:00.0,Offensive rebound by Team,,30-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,A. Brooks makes 3-pt shot from 26 ft (assist by D. McDermott),3,33-19,,
11:26.0,,,33-19,,Turnover by R. Hollis-Jefferson (step out of bounds)
11:10.0,E. Moore makes 2-pt shot from 2 ft (assist by A. Brooks),2,35-19,,
11:00.0,Personal foul by A. Brooks (drawn by D. Sloan),,35-19,,
11:00.0,,,35-19,,S. Larkin enters the game for D. Sloan
10:52.0,,,35-21,2,A. Bargnani makes 2-pt shot from 17 ft (assist by T. Robinson)
10:41.0,D. McDermott misses 3-pt shot from 24 ft,,35-21,,
10:40.0,,,35-21,,Defensive rebound by T. Robinson
10:27.0,,,35-23,2,B. Bogdanovic makes 2-pt shot from 9 ft (assist by S. Larkin)
10:14.0,Turnover by D. McDermott (bad pass; steal by T. Robinson),,35-23,,
10:10.0,,,35-25,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
10:01.0,Chicago full timeout,,35-25,,
10:01.0,D. Rose enters the game for A. Brooks,,35-25,,
10:01.0,P. Gasol enters the game for J. Noah,,35-25,,
10:01.0,T. Snell enters the game for D. McDermott,,35-25,,
9:52.0,D. Rose makes 2-pt shot from 1 ft,2,37-25,,
9:34.0,,,37-27,2,A. Bargnani makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
9:22.0,P. Gasol makes 2-pt shot from 5 ft,2,39-27,,
9:09.0,,,39-29,2,R. Hollis-Jefferson makes 2-pt shot from 18 ft (assist by T. Robinson)
8:50.0,Offensive foul by P. Gasol,,39-29,,
8:50.0,Turnover by P. Gasol (offensive foul),,39-29,,
8:50.0,Personal foul by T. Snell (drawn by B. Bogdanovic),,39-29,,
8:36.0,Personal foul by T. Snell (drawn by B. Bogdanovic),,39-29,,
8:36.0,,,39-29,,T. Young enters the game for A. Bargnani
8:29.0,,,39-31,2,T. Young makes 2-pt shot from 17 ft (assist by S. Larkin)
8:16.0,E. Moore makes 2-pt shot from 5 ft,2,41-31,,
8:04.0,,,41-31,,T. Young misses 2-pt shot from 6 ft
8:03.0,,,41-31,,Offensive rebound by T. Young
8:02.0,,,41-33,2,T. Young makes 2-pt shot from 2 ft
7:53.0,,,41-33,,J. Johnson enters the game for B. Bogdanovic
7:53.0,J. Butler enters the game for E. Moore,,41-33,,
7:49.0,T. Snell makes 3-pt shot from 22 ft (assist by D. Rose),3,44-33,,
7:30.0,,,44-35,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
7:18.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,46-35,,
6:58.0,,,46-35,,T. Robinson misses 2-pt shot from 13 ft
6:57.0,Defensive rebound by P. Gasol,,46-35,,
6:52.0,,,46-35,,Personal foul by T. Young (drawn by T. Gibson)
6:44.0,Turnover by T. Gibson (lost ball; steal by T. Young),,46-35,,
6:41.0,,,46-35,,S. Larkin misses 3-pt shot from 23 ft
6:39.0,,,46-35,,Offensive rebound by T. Robinson
6:38.0,,,46-37,2,T. Robinson makes 2-pt shot from 1 ft
6:21.0,Turnover by D. Rose (lost ball; steal by S. Larkin),,46-37,,
6:17.0,,,46-37,,Shooting foul by T. Snell (drawn by T. Robinson)
6:17.0,,,46-38,1,T. Robinson makes free throw 1 of 2
6:17.0,D. McDermott enters the game for T. Snell,,46-38,,
6:17.0,,,46-39,1,T. Robinson makes free throw 2 of 2
5:56.0,P. Gasol makes 2-pt shot from 7 ft,2,48-39,,
5:36.0,,,48-41,2,S. Larkin makes 2-pt shot from 1 ft
5:17.0,T. Gibson misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,48-41,,
5:15.0,,,48-41,,Defensive rebound by R. Hollis-Jefferson
