time,Cleveland,pts.away,score,pts.home,Utah
5:15.0,R. Jefferson makes 2-pt shot from 11 ft,2,15-14,,
5:00.0,,,15-17,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
4:34.0,K. Irving misses 3-pt shot from 24 ft,,15-17,,
4:33.0,,,15-17,,Defensive rebound by R. Gobert
4:24.0,,,15-19,2,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack)
4:10.0,J. Smith misses 2-pt shot from 2 ft,,15-19,,
4:07.0,Offensive rebound by T. Mozgov,,15-19,,
4:07.0,T. Mozgov makes 2-pt shot at rim,2,17-19,,
4:01.0,,,17-19,,Turnover by S. Mack (lost ball; steal by K. Irving)
3:55.0,,,17-19,,Personal foul by S. Mack
3:55.0,,,17-19,,T. Booker enters the game for D. Favors
3:55.0,T. Thompson enters the game for T. Mozgov,,17-19,,
3:55.0,,,17-19,,C. Johnson enters the game for J. Ingles
3:55.0,I. Shumpert enters the game for J. Smith,,17-19,,
3:49.0,K. Irving makes 2-pt shot from 21 ft,2,19-19,,
3:30.0,,,19-21,2,R. Gobert makes 2-pt shot at rim (assist by S. Mack)
2:59.0,K. Irving misses 2-pt shot from 21 ft,,19-21,,
2:58.0,,,19-21,,Defensive rebound by S. Mack
2:55.0,Personal block foul by K. Irving,,19-21,,
2:55.0,,,19-21,,Utah full timeout
2:55.0,M. Dellavedova enters the game for K. Irving,,19-21,,
2:55.0,L. James enters the game for K. Love,,19-21,,
2:55.0,,,19-21,,R. Neto enters the game for S. Mack
2:39.0,,,19-23,2,R. Hood makes 2-pt shot from 5 ft
2:20.0,M. Dellavedova misses 3-pt shot from 24 ft,,19-23,,
2:20.0,,,19-23,,Defensive rebound by R. Gobert
2:06.0,,,19-23,,C. Johnson misses 2-pt shot from 10 ft
2:06.0,Defensive rebound by L. James,,19-23,,
1:56.0,L. James makes 2-pt shot from 1 ft,2,21-23,,
1:34.0,,,21-26,3,R. Neto makes 3-pt shot from 24 ft
1:02.0,T. Thompson makes 2-pt shot from 4 ft,2,23-26,,
0:52.0,,,23-26,,R. Hood misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by T. Thompson,,23-26,,
0:35.0,R. Jefferson misses 3-pt shot from 23 ft,,23-26,,
0:34.0,,,23-26,,Defensive rebound by T. Booker
0:12.0,,,23-28,2,R. Hood makes 2-pt shot from 11 ft
0:01.0,L. James makes 3-pt shot from 24 ft,3,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,26-28,,R. Neto misses 2-pt shot from 13 ft
11:38.0,,,26-28,,Offensive rebound by T. Booker
11:31.0,,,26-28,,Shooting foul by C. Frye (drawn by D. Favors)
11:31.0,,,26-29,1,D. Favors makes free throw 1 of 2
11:31.0,,,26-30,1,D. Favors makes free throw 2 of 2
11:18.0,,,26-30,,Personal foul by T. Booker
11:07.0,C. Frye misses 2-pt shot from 3 ft (block by D. Favors),,26-30,,
11:06.0,,,26-30,,Defensive rebound by T. Booker
11:04.0,,,26-30,,Turnover by T. Booker (lost ball; steal by I. Shumpert)
11:00.0,C. Frye makes 2-pt shot at rim (assist by I. Shumpert),2,28-30,,
11:00.0,Technical foul by C. Frye,,28-30,,
11:00.0,,,28-30,,D. Favors misses technical free throw
10:37.0,,,28-30,,Offensive rebound by D. Favors
10:37.0,,,28-30,,D. Favors misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by L. James,,28-30,,
10:30.0,L. James makes 2-pt shot from 18 ft,2,30-30,,
10:15.0,,,30-30,,C. Johnson misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by C. Frye,,30-30,,
10:02.0,L. James misses 2-pt shot from 19 ft,,30-30,,
10:01.0,,,30-30,,Defensive rebound by R. Neto
9:49.0,,,30-32,2,D. Favors makes 2-pt shot from 8 ft (assist by J. Ingles)
9:38.0,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,33-32,,
9:15.0,Personal foul by M. Dellavedova,,33-32,,
9:15.0,,,33-32,,T. Burke enters the game for R. Neto
9:15.0,,,33-32,,S. Mack enters the game for C. Johnson
8:59.0,,,33-32,,J. Ingles misses 3-pt shot from 22 ft
8:59.0,Defensive rebound by I. Shumpert,,33-32,,
8:43.0,L. James misses 2-pt shot from 1 ft,,33-32,,
8:42.0,Offensive rebound by L. James,,33-32,,
8:42.0,L. James misses 2-pt shot from 1 ft (block by D. Favors),,33-32,,
8:41.0,Offensive rebound by L. James,,33-32,,
8:40.0,L. James misses 2-pt shot from 2 ft,,33-32,,
8:39.0,,,33-32,,Defensive rebound by J. Ingles
8:24.0,,,33-32,,S. Mack misses 2-pt shot from 3 ft
8:23.0,Defensive rebound by T. Thompson,,33-32,,
8:12.0,I. Shumpert misses 3-pt shot from 23 ft,,33-32,,
8:12.0,,,33-32,,Defensive rebound by T. Booker
7:53.0,,,33-34,2,S. Mack makes 2-pt shot from 8 ft
7:52.0,Cleveland full timeout,,33-34,,
7:52.0,K. Irving enters the game for M. Dellavedova,,33-34,,
7:52.0,,,33-34,,T. Lyles enters the game for T. Booker
7:39.0,C. Frye misses 3-pt shot from 24 ft,,33-34,,
7:39.0,,,33-34,,Defensive rebound by S. Mack
7:27.0,,,33-34,,T. Lyles misses 3-pt shot from 24 ft
7:26.0,,,33-34,,Offensive rebound by D. Favors
7:13.0,,,33-34,,Turnover by D. Favors (step out of bounds)
6:47.0,K. Irving misses 2-pt shot from 16 ft,,33-34,,
6:47.0,,,33-34,,Defensive rebound by D. Favors
6:39.0,,,33-34,,Turnover by S. Mack (lost ball)
6:21.0,K. Irving makes 2-pt shot from 3 ft,2,35-34,,
6:16.0,,,35-34,,Utah full timeout
6:16.0,K. Love enters the game for C. Frye,,35-34,,
6:16.0,J. Smith enters the game for I. Shumpert,,35-34,,
6:16.0,,,35-34,,R. Gobert enters the game for D. Favors
6:16.0,,,35-34,,R. Hood enters the game for T. Burke
6:10.0,Personal foul by T. Thompson,,35-34,,
5:57.0,,,35-34,,R. Hood misses 2-pt shot from 17 ft
5:57.0,Defensive rebound by Team,,35-34,,
5:57.0,,,35-34,,Loose ball foul by T. Lyles
5:35.0,K. Love misses 3-pt shot from 22 ft,,35-34,,
5:33.0,Offensive rebound by L. James,,35-34,,
5:29.0,J. Smith misses 3-pt shot from 24 ft,,35-34,,
5:28.0,,,35-34,,Defensive rebound by S. Mack
5:22.0,Personal foul by K. Irving,,35-34,,
5:22.0,R. Jefferson enters the game for L. James,,35-34,,
5:12.0,,,35-36,2,R. Hood makes 2-pt shot from 14 ft
4:59.0,K. Irving misses 2-pt shot from 18 ft,,35-36,,
4:58.0,,,35-36,,Defensive rebound by R. Gobert
4:44.0,,,35-38,2,T. Lyles makes 2-pt shot at rim
4:22.0,,,35-38,,Personal foul by T. Lyles
4:22.0,,,35-38,,C. Johnson enters the game for J. Ingles
4:13.0,Turnover by K. Love (lost ball; steal by T. Lyles),,35-38,,
4:04.0,,,35-40,2,R. Hood makes 2-pt shot from 3 ft (assist by S. Mack)
3:57.0,Cleveland full timeout,,35-40,,
3:57.0,,,35-40,,J. Ingles enters the game for R. Hood
3:44.0,K. Irving misses 2-pt shot from 23 ft,,35-40,,
3:43.0,,,35-40,,Defensive rebound by J. Ingles
3:24.0,,,35-40,,S. Mack misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by K. Love,,35-40,,
3:14.0,K. Irving misses 2-pt shot from 2 ft,,35-40,,
3:14.0,Offensive rebound by T. Thompson,,35-40,,
3:07.0,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Love),3,38-40,,
3:06.0,,,38-40,,Utah full timeout
3:06.0,T. Mozgov enters the game for T. Thompson,,38-40,,
3:06.0,,,38-40,,D. Favors enters the game for T. Lyles
3:06.0,,,38-40,,R. Hood enters the game for J. Ingles
2:51.0,,,38-43,3,R. Hood makes 3-pt shot from 23 ft
2:27.0,J. Smith makes 2-pt shot from 6 ft (assist by K. Irving),2,40-43,,
2:07.0,Personal foul by R. Jefferson,,40-43,,
2:07.0,,,40-43,,Utah full timeout
2:07.0,M. Dellavedova enters the game for R. Jefferson,,40-43,,
2:07.0,L. James enters the game for K. Irving,,40-43,,
2:07.0,,,40-43,,J. Ingles enters the game for C. Johnson
2:07.0,,,40-44,1,D. Favors makes free throw 1 of 2
2:07.0,,,40-45,1,D. Favors makes free throw 2 of 2
1:45.0,L. James misses 2-pt shot from 7 ft,,40-45,,
1:44.0,,,40-45,,Defensive rebound by J. Ingles
1:26.0,,,40-45,,J. Ingles misses 3-pt shot from 23 ft
1:26.0,Defensive rebound by L. James,,40-45,,
1:07.0,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,42-45,,
0:52.0,,,42-45,,Turnover by R. Gobert (lost ball; steal by T. Mozgov)
0:49.0,Turnover by J. Smith (bad pass),,42-45,,
0:30.0,,,42-48,3,S. Mack makes 3-pt shot from 23 ft (assist by R. Hood)
0:13.0,M. Dellavedova makes 2-pt shot from 12 ft,2,44-48,,
0:01.0,,,44-48,,S. Mack misses 2-pt shot from 19 ft
0:00.0,,,44-48,,Offensive rebound by R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,44-48,,D. Favors misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by K. Love,,44-48,,
11:40.0,,,44-48,,Personal foul by D. Favors
11:16.0,J. Smith misses 2-pt shot from 22 ft,,44-48,,
11:15.0,Offensive rebound by K. Irving,,44-48,,
11:04.0,Turnover by K. Love (lost ball; steal by D. Favors),,44-48,,
11:03.0,,,44-48,,Turnover by S. Mack (lost ball)
10:55.0,K. Irving misses 3-pt shot from 24 ft,,44-48,,
10:54.0,,,44-48,,Defensive rebound by S. Mack
10:46.0,,,44-50,2,S. Mack makes 2-pt shot from 2 ft
10:25.0,Turnover by L. James (lost ball; steal by S. Mack),,44-50,,
10:17.0,,,44-50,,R. Gobert misses 2-pt shot from 2 ft
10:16.0,,,44-50,,Offensive rebound by R. Hood
10:07.0,,,44-53,3,R. Hood makes 3-pt shot from 24 ft (assist by J. Ingles)
10:07.0,Cleveland full timeout,,44-53,,
9:54.0,K. Irving misses 3-pt shot from 24 ft,,44-53,,
9:53.0,,,44-53,,Defensive rebound by R. Gobert
9:31.0,,,44-53,,D. Favors misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by J. Smith,,44-53,,
9:22.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,47-53,,
9:08.0,,,47-53,,Turnover by D. Favors (lost ball; steal by J. Smith)
9:02.0,J. Smith misses 3-pt shot from 24 ft,,47-53,,
9:00.0,Offensive rebound by T. Mozgov,,47-53,,
8:51.0,Shooting foul by R. Hood (drawn by T. Mozgov),,47-53,,
8:51.0,T. Mozgov misses free throw 1 of 2,,47-53,,
8:51.0,Offensive rebound by Team,,47-53,,
8:51.0,T. Mozgov makes free throw 2 of 2,1,48-53,,
8:30.0,,,48-53,,Turnover by D. Favors (traveling)
8:11.0,K. Love makes 2-pt shot from 13 ft (assist by L. James),2,50-53,,
7:53.0,,,50-56,3,J. Ingles makes 3-pt shot from 23 ft (assist by S. Mack)
7:32.0,Turnover by K. Love (offensive goaltending),,50-56,,
7:09.0,,,50-56,,S. Mack misses 2-pt shot from 20 ft (block by K. Irving)
7:09.0,,,50-56,,Offensive rebound by Team
7:08.0,,,50-56,,R. Gobert misses 2-pt shot from 21 ft
7:08.0,,,50-56,,Offensive rebound by Team
7:08.0,,,50-56,,Turnover by Team (shot clock)
7:03.0,Offensive foul by T. Mozgov,,50-56,,
7:03.0,Turnover by T. Mozgov (offensive foul),,50-56,,
7:03.0,,,50-56,,T. Booker enters the game for D. Favors
7:03.0,,,50-56,,C. Johnson enters the game for J. Ingles
7:03.0,C. Frye enters the game for T. Mozgov,,50-56,,
6:43.0,,,50-56,,Turnover by R. Hood (lost ball; steal by L. James)
6:34.0,K. Love misses 3-pt shot from 24 ft,,50-56,,
6:33.0,Offensive rebound by L. James,,50-56,,
6:28.0,K. Irving misses 2-pt shot from 13 ft,,50-56,,
6:28.0,,,50-56,,Defensive rebound by S. Mack
6:16.0,,,50-56,,C. Johnson misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by K. Irving,,50-56,,
6:09.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,52-56,,
5:45.0,,,52-58,2,S. Mack makes 2-pt shot from 1 ft
5:23.0,J. Smith misses 3-pt shot from 23 ft (block by T. Booker),,52-58,,
5:21.0,,,52-58,,Defensive rebound by R. Gobert
5:09.0,,,52-58,,R. Hood misses 2-pt shot from 7 ft
5:09.0,,,52-58,,Offensive rebound by Team
5:09.0,M. Dellavedova enters the game for K. Irving,,52-58,,
5:09.0,,,52-58,,R. Neto enters the game for S. Mack
5:07.0,Personal foul by C. Frye,,52-58,,
4:54.0,,,52-61,3,R. Hood makes 3-pt shot from 25 ft
4:37.0,K. Love makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,54-61,,
4:15.0,,,54-61,,C. Johnson misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by C. Frye,,54-61,,
4:04.0,K. Love makes 3-pt shot from 24 ft (assist by C. Frye),3,57-61,,
3:47.0,Personal foul by J. Smith,,57-61,,
3:47.0,Technical foul by J. Smith,,57-61,,
3:47.0,,,57-62,1,R. Hood makes technical free throw
3:47.0,I. Shumpert enters the game for J. Smith,,57-62,,
3:47.0,,,57-62,,D. Favors enters the game for R. Gobert
3:37.0,,,57-62,,D. Favors misses 2-pt shot from 16 ft
3:36.0,Defensive rebound by M. Dellavedova,,57-62,,
3:12.0,C. Frye makes 2-pt shot from 7 ft (assist by I. Shumpert),2,59-62,,
3:07.0,,,59-62,,Utah full timeout
2:57.0,,,59-64,2,R. Neto makes 2-pt shot from 9 ft
2:29.0,K. Love misses 2-pt shot from 6 ft,,59-64,,
2:28.0,,,59-64,,Defensive rebound by C. Johnson
2:14.0,,,59-64,,D. Favors misses 2-pt shot from 5 ft (block by C. Frye)
2:13.0,Defensive rebound by K. Love,,59-64,,
2:13.0,,,59-64,,Personal foul by R. Neto
2:01.0,,,59-64,,Personal foul by C. Johnson
1:45.0,L. James misses 2-pt shot from 14 ft,,59-64,,
1:45.0,,,59-64,,Defensive rebound by T. Booker
1:36.0,,,59-64,,R. Hood misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by L. James,,59-64,,
1:31.0,Shooting foul by C. Johnson (drawn by L. James),,59-64,,
1:31.0,L. James misses free throw 1 of 2,,59-64,,
1:31.0,Offensive rebound by Team,,59-64,,
1:31.0,,,59-64,,J. Ingles enters the game for R. Hood
1:31.0,L. James makes free throw 2 of 2,1,60-64,,
1:12.0,,,60-64,,D. Favors misses 2-pt shot from 4 ft (block by C. Frye)
1:11.0,Defensive rebound by K. Love,,60-64,,
1:04.0,M. Dellavedova misses 3-pt shot from 23 ft,,60-64,,
1:02.0,Offensive rebound by Team,,60-64,,
0:50.0,C. Frye makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,63-64,,
0:39.0,,,63-64,,J. Ingles misses 2-pt shot from 21 ft
0:38.0,Defensive rebound by C. Frye,,63-64,,
0:32.0,L. James makes 3-pt shot from 24 ft (assist by C. Frye),3,66-64,,
0:16.0,,,66-66,2,D. Favors makes 2-pt shot at rim (assist by R. Neto)
0:01.0,L. James misses 3-pt shot from 24 ft,,66-66,,
0:01.0,,,66-66,,Defensive rebound by R. Neto
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Dellavedova makes 3-pt shot from 24 ft,3,69-66,,
11:15.0,,,69-66,,S. Mack misses 2-pt shot from 10 ft
11:14.0,Defensive rebound by M. Dellavedova,,69-66,,
11:08.0,K. Irving misses 3-pt shot from 24 ft,,69-66,,
11:07.0,,,69-66,,Defensive rebound by J. Ingles
10:47.0,Personal foul by C. Frye,,69-66,,
10:38.0,,,69-68,2,D. Favors makes 2-pt shot from 1 ft (assist by S. Mack)
10:14.0,M. Dellavedova misses 3-pt shot from 23 ft,,69-68,,
10:14.0,,,69-68,,Defensive rebound by Team
9:51.0,,,69-70,2,R. Neto makes 2-pt shot from 21 ft
9:38.0,C. Frye misses 3-pt shot from 22 ft,,69-70,,
9:38.0,Offensive rebound by Team,,69-70,,
9:38.0,,,69-70,,Loose ball foul by S. Mack
9:38.0,,,69-70,,R. Gobert enters the game for D. Favors
9:22.0,K. Irving makes 2-pt shot from 17 ft,2,71-70,,
8:57.0,,,71-73,3,T. Lyles makes 3-pt shot from 23 ft (assist by R. Neto)
8:32.0,K. Irving misses 2-pt shot from 18 ft,,71-73,,
8:31.0,,,71-73,,Defensive rebound by S. Mack
8:18.0,,,71-73,,T. Lyles misses 2-pt shot from 5 ft
8:18.0,Defensive rebound by C. Frye,,71-73,,
8:01.0,I. Shumpert misses 2-pt shot from 3 ft,,71-73,,
8:01.0,,,71-73,,Defensive rebound by Team
8:01.0,Loose ball foul by T. Thompson,,71-73,,
8:01.0,,,71-73,,Utah full timeout
7:48.0,,,71-76,3,T. Lyles makes 3-pt shot from 24 ft (assist by S. Mack)
7:25.0,M. Dellavedova misses 3-pt shot from 23 ft,,71-76,,
7:25.0,,,71-76,,Defensive rebound by R. Gobert
7:11.0,,,71-79,3,S. Mack makes 3-pt shot from 25 ft (assist by R. Neto)
6:54.0,K. Irving misses 3-pt shot from 24 ft,,71-79,,
6:54.0,Offensive rebound by Team,,71-79,,
6:54.0,,,71-79,,Loose ball foul by R. Gobert
6:54.0,J. Smith enters the game for I. Shumpert,,71-79,,
6:54.0,L. James enters the game for C. Frye,,71-79,,
6:54.0,K. Love enters the game for M. Dellavedova,,71-79,,
6:47.0,K. Irving makes 2-pt shot from 2 ft,2,73-79,,
6:30.0,,,73-81,2,T. Lyles makes 2-pt shot from 17 ft (assist by S. Mack)
6:19.0,K. Love misses 3-pt shot from 24 ft,,73-81,,
6:19.0,Offensive rebound by Team,,73-81,,
6:04.0,L. James misses 3-pt shot from 25 ft,,73-81,,
6:00.0,Offensive rebound by L. James,,73-81,,
5:57.0,,,73-81,,Utah full timeout
5:57.0,,,73-81,,R. Hood enters the game for R. Neto
5:45.0,J. Smith misses 3-pt shot from 24 ft,,73-81,,
5:44.0,,,73-81,,Defensive rebound by R. Gobert
5:30.0,,,73-81,,T. Lyles misses 3-pt shot from 24 ft
5:29.0,,,73-81,,Offensive rebound by T. Lyles
5:13.0,,,73-83,2,T. Lyles makes 2-pt shot from 9 ft (assist by S. Mack)
4:59.0,J. Smith misses 3-pt shot from 24 ft,,73-83,,
4:59.0,,,73-83,,Defensive rebound by Team
4:59.0,Loose ball foul by T. Thompson,,73-83,,
4:59.0,C. Frye enters the game for T. Thompson,,73-83,,
4:38.0,,,73-86,3,J. Ingles makes 3-pt shot from 23 ft (assist by S. Mack)
4:12.0,K. Irving makes 2-pt shot from 2 ft,2,75-86,,
3:57.0,,,75-86,,Flagrant foul type 1 by T. Lyles
3:57.0,,,75-86,,Turnover by T. Lyles (offensive foul)
3:57.0,Technical foul by C. Frye,,75-86,,
3:57.0,S. Kaun enters the game for C. Frye,,75-86,,
3:57.0,,,75-87,1,R. Hood makes technical free throw
3:57.0,S. Kaun misses flagrant free throw 1 of 2,,75-87,,
3:57.0,Offensive rebound by Team,,75-87,,
3:57.0,S. Kaun makes flagrant free throw 2 of 2,1,76-87,,
3:57.0,Cleveland full timeout,,76-87,,
3:57.0,M. Dellavedova enters the game for S. Kaun,,76-87,,
3:57.0,,,76-87,,T. Booker enters the game for T. Lyles
3:57.0,,,76-87,,D. Favors enters the game for R. Gobert
3:42.0,K. Irving makes 2-pt shot from 15 ft,2,78-87,,
3:21.0,Shooting block foul by K. Love (drawn by R. Hood),,78-87,,
3:21.0,,,78-88,1,R. Hood makes free throw 1 of 2
3:21.0,,,78-89,1,R. Hood makes free throw 2 of 2
3:02.0,Turnover by L. James (lost ball),,78-89,,
2:45.0,,,78-89,,Offensive foul by R. Hood
2:45.0,,,78-89,,Turnover by R. Hood (offensive foul)
2:30.0,K. Irving misses 3-pt shot from 24 ft,,78-89,,
2:28.0,Offensive rebound by K. Irving,,78-89,,
2:24.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,81-89,,
2:05.0,,,81-89,,Shooting foul by J. Smith (drawn by D. Favors)
2:05.0,,,81-90,1,D. Favors makes free throw 1 of 2
2:05.0,,,81-90,,D. Favors misses free throw 2 of 2
2:05.0,Defensive rebound by K. Love,,81-90,,
1:57.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,83-90,,
1:35.0,,,83-90,,J. Ingles misses 3-pt shot from 23 ft
1:34.0,,,83-90,,Offensive rebound by T. Booker
1:15.0,,,83-90,,R. Hood misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by L. James,,83-90,,
1:09.0,,,83-90,,Personal foul by J. Ingles
1:09.0,Cleveland full timeout,,83-90,,
1:03.0,L. James misses 3-pt shot from 24 ft,,83-90,,
1:02.0,,,83-90,,Defensive rebound by R. Hood
1:02.0,Loose ball foul by K. Love,,83-90,,
1:02.0,,,83-91,1,R. Hood makes free throw 1 of 2
1:02.0,,,83-92,1,R. Hood makes free throw 2 of 2
1:02.0,Cleveland full timeout,,83-92,,
0:53.0,J. Smith misses 3-pt shot from 24 ft,,83-92,,
0:52.0,,,83-92,,Defensive rebound by D. Favors
0:30.0,,,83-94,2,D. Favors makes 2-pt shot from 17 ft (assist by S. Mack)
0:18.0,J. Smith misses 3-pt shot from 25 ft,,83-94,,
0:17.0,Offensive rebound by K. Love,,83-94,,
0:12.0,K. Irving misses 3-pt shot from 28 ft,,83-94,,
0:11.0,Offensive rebound by L. James,,83-94,,
0:11.0,L. James makes 2-pt shot from 2 ft,2,85-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
