time,Minnesota,pts.away,score,pts.home,Philadelphia
4:15.0,,,15-16,,Turnover by J. Okafor (lost ball; steal by R. Rubio)
4:12.0,Minnesota full timeout,,15-16,,
4:12.0,,,15-16,,R. Holmes enters the game for J. Okafor
3:57.0,S. Muhammad makes 2-pt shot from 9 ft,2,17-16,,
3:53.0,,,17-16,,Turnover by I. Smith (bad pass; steal by G. Dieng)
3:45.0,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio),2,19-16,,
3:24.0,,,19-16,,I. Smith misses 2-pt shot from 9 ft
3:20.0,,,19-16,,Offensive rebound by Team
3:20.0,Z. LaVine enters the game for R. Rubio,,19-16,,
3:20.0,,,19-16,,T. McConnell enters the game for I. Smith
3:20.0,Jump ball: N. Noel vs. K. Towns (T. McConnell gains possession),,,,Jump ball: N. Noel vs. K. Towns (T. McConnell gains possession)
3:15.0,,,19-16,,T. McConnell misses 3-pt shot from 42 ft
3:14.0,,,19-16,,Offensive rebound by Team
3:14.0,,,19-16,,Turnover by Team (shot clock)
3:04.0,K. Towns misses 2-pt shot from 20 ft,,19-16,,
3:03.0,,,19-16,,Defensive rebound by J. Sampson
2:57.0,,,19-16,,H. Thompson misses 3-pt shot from 26 ft
2:54.0,,,19-16,,Offensive rebound by N. Noel
2:49.0,Personal foul by K. Towns (drawn by N. Noel),,19-16,,
2:49.0,,,19-16,,C. Landry enters the game for N. Noel
2:49.0,A. Payne enters the game for K. Towns,,19-16,,
2:35.0,,,19-18,2,C. Landry makes 2-pt shot from 20 ft (assist by T. McConnell)
2:15.0,,,19-18,,Def 3 sec tech foul by H. Thompson
2:15.0,S. Muhammad misses technical free throw,,19-18,,
2:15.0,Offensive rebound by Team,,19-18,,
2:14.0,Turnover by T. Prince (bad pass; steal by T. McConnell),,19-18,,
2:10.0,,,19-20,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
1:47.0,Shooting foul by J. Sampson (drawn by S. Muhammad),,19-20,,
1:47.0,S. Muhammad makes free throw 1 of 2,1,20-20,,
1:47.0,T. Jones enters the game for Z. LaVine,,20-20,,
1:47.0,,,20-20,,R. Covington enters the game for J. Sampson
1:47.0,S. Muhammad makes free throw 2 of 2,1,21-20,,
1:36.0,,,21-22,2,R. Holmes makes 2-pt shot from 1 ft
1:36.0,,,21-22,,Shooting foul by G. Dieng (drawn by R. Holmes)
1:36.0,,,21-23,1,R. Holmes makes free throw 1 of 1
1:16.0,T. Jones makes 2-pt shot from 8 ft (assist by T. Prince),2,23-23,,
0:55.0,,,23-23,,T. McConnell misses 3-pt shot from 24 ft
0:54.0,,,23-23,,Offensive rebound by C. Landry
0:51.0,,,23-25,2,C. Landry makes 2-pt shot from 1 ft
0:39.0,Turnover by T. Jones (bad pass; steal by T. McConnell),,23-25,,
0:35.0,,,23-27,2,R. Holmes makes 2-pt shot at rim (assist by R. Covington)
0:17.0,T. Prince makes 2-pt shot from 8 ft (assist by A. Payne),2,25-27,,
0:00.0,,,25-29,2,H. Thompson makes 2-pt shot from 1 ft (assist by T. McConnell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,T. Prince misses 2-pt shot from 17 ft,,25-29,,
11:38.0,,,25-29,,Defensive rebound by T. McConnell
11:25.0,,,25-29,,R. Holmes misses 2-pt shot from 7 ft (block by G. Dieng)
11:24.0,,,25-29,,Offensive rebound by Team
11:24.0,Z. LaVine enters the game for T. Prince,,25-29,,
11:24.0,,,25-31,2,C. Landry makes 2-pt shot from 16 ft
11:02.0,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine),2,27-31,,
10:49.0,,,27-33,2,R. Holmes makes 2-pt shot from 15 ft
10:33.0,Turnover by A. Miller (lost ball; steal by R. Holmes),,27-33,,
10:29.0,,,27-33,,Offensive foul by R. Holmes
10:29.0,,,27-33,,Turnover by R. Holmes (offensive foul)
10:16.0,Z. LaVine makes 2-pt shot from 18 ft (assist by G. Dieng),2,29-33,,
10:04.0,,,29-33,,C. Landry misses 2-pt shot from 3 ft (block by G. Dieng)
10:02.0,,,29-33,,Offensive rebound by T. McConnell
9:57.0,,,29-33,,H. Thompson misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by Team,,29-33,,
9:54.0,,,29-33,,Personal foul by R. Holmes (drawn by A. Miller)
9:45.0,Z. LaVine misses 2-pt shot from 17 ft,,29-33,,
9:44.0,,,29-33,,Defensive rebound by R. Covington
9:41.0,Loose ball foul by A. Payne (drawn by R. Covington),,29-33,,
9:41.0,,,29-33,,J. Grant enters the game for C. Landry
9:30.0,,,29-33,,H. Thompson misses 2-pt shot from 10 ft
9:28.0,Defensive rebound by A. Miller,,29-33,,
9:22.0,Z. LaVine makes 2-pt shot at rim (assist by A. Miller),2,31-33,,
9:18.0,,,31-33,,Philadelphia full timeout
9:18.0,,,31-33,,J. Okafor enters the game for R. Holmes
9:05.0,,,31-33,,Turnover by R. Covington (lost ball; steal by S. Muhammad)
8:44.0,A. Miller makes 2-pt shot at rim,2,33-33,,
8:28.0,,,33-33,,T. McConnell misses 3-pt shot from 25 ft
8:27.0,,,33-33,,Offensive rebound by J. Okafor
8:21.0,,,33-33,,R. Covington misses 3-pt shot from 25 ft
8:19.0,,,33-33,,Offensive rebound by H. Thompson
8:18.0,,,33-35,2,H. Thompson makes 2-pt shot from 2 ft
8:18.0,,,33-35,,Shooting foul by Z. LaVine (drawn by H. Thompson)
8:18.0,N. Bjelica enters the game for A. Payne,,33-35,,
8:18.0,,,33-35,,H. Thompson misses free throw 1 of 1
8:18.0,Defensive rebound by Z. LaVine,,33-35,,
8:06.0,Shooting foul by R. Covington (drawn by Z. LaVine),,33-35,,
8:06.0,Z. LaVine makes free throw 1 of 2,1,34-35,,
8:06.0,Z. LaVine misses free throw 2 of 2,,34-35,,
8:06.0,Offensive rebound by G. Dieng,,34-35,,
8:04.0,,,34-35,,N. Noel enters the game for H. Thompson
8:04.0,G. Dieng misses 2-pt shot from 4 ft (block by J. Okafor),,34-35,,
8:04.0,Jump ball: G. Dieng vs. J. Okafor (J. Grant gains possession),,,,Jump ball: G. Dieng vs. J. Okafor (J. Grant gains possession)
7:47.0,,,34-35,,Offensive rebound by Team
7:47.0,,,34-35,,Turnover by J. Grant (bad pass)
7:35.0,N. Bjelica misses 3-pt shot from 26 ft,,34-35,,
7:33.0,Offensive rebound by S. Muhammad,,34-35,,
7:32.0,S. Muhammad makes 2-pt shot at rim,2,36-35,,
7:32.0,,,36-35,,Philadelphia full timeout
7:17.0,Def 3 sec tech foul by N. Bjelica,,36-35,,
7:17.0,,,36-35,,R. Covington misses technical free throw
7:17.0,,,36-35,,Offensive rebound by Team
7:17.0,,,36-35,,N. Stauskas enters the game for R. Covington
7:09.0,,,36-37,2,T. McConnell makes 2-pt shot at rim (assist by N. Noel)
6:55.0,N. Bjelica makes 2-pt shot at rim (assist by Z. LaVine),2,38-37,,
6:45.0,,,38-37,,J. Okafor misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by Team,,38-37,,
6:44.0,,,38-37,,Personal foul by N. Noel (drawn by Z. LaVine)
6:44.0,,,38-37,,I. Smith enters the game for T. McConnell
6:44.0,Z. LaVine misses 2-pt shot from 18 ft,,38-37,,
6:43.0,,,38-37,,Defensive rebound by J. Grant
6:17.0,,,38-37,,Offensive charge foul by J. Okafor
6:17.0,,,38-37,,Turnover by J. Okafor (offensive foul)
6:17.0,R. Rubio enters the game for A. Miller,,38-37,,
6:17.0,Turnover by S. Muhammad (illegal screen),,38-37,,
5:54.0,,,38-37,,J. Okafor misses 2-pt shot from 2 ft
5:54.0,,,38-37,,Offensive rebound by Team
5:54.0,Official timeout,,38-37,,
5:46.0,Personal foul by N. Bjelica (drawn by N. Noel),,38-37,,
5:36.0,,,38-37,,J. Grant misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by G. Dieng,,38-37,,
5:18.0,Turnover by Z. LaVine (bad pass; steal by J. Okafor),,38-37,,
5:14.0,,,38-39,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:04.0,R. Rubio misses 2-pt shot from 13 ft,,38-39,,
5:03.0,,,38-39,,Defensive rebound by N. Noel
4:44.0,,,38-39,,Turnover by N. Stauskas (bad pass; steal by Z. LaVine)
4:41.0,,,38-39,,Personal foul by N. Noel (drawn by Z. LaVine)
4:36.0,Z. LaVine misses 2-pt shot from 2 ft,,38-39,,
4:33.0,Offensive rebound by G. Dieng,,38-39,,
4:25.0,R. Rubio misses 2-pt shot from 18 ft,,38-39,,
4:24.0,,,38-39,,Defensive rebound by N. Noel
4:16.0,,,38-39,,N. Stauskas misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by N. Bjelica,,38-39,,
4:02.0,N. Bjelica makes 3-pt shot from 22 ft (assist by R. Rubio),3,41-39,,
3:48.0,,,41-41,2,I. Smith makes 2-pt shot from 16 ft (assist by J. Okafor)
3:30.0,G. Dieng makes 2-pt shot from 13 ft (assist by R. Rubio),2,43-41,,
3:10.0,,,43-41,,H. Thompson enters the game for J. Okafor
3:04.0,,,43-41,,I. Smith misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by G. Dieng,,43-41,,
2:56.0,Shooting foul by H. Thompson (drawn by R. Rubio),,43-41,,
2:56.0,Minnesota full timeout,,43-41,,
2:56.0,R. Rubio makes free throw 1 of 2,1,44-41,,
2:56.0,,,44-41,,Violation by Team (delay of game)
2:56.0,R. Rubio misses free throw 2 of 2,,44-41,,
2:56.0,,,44-41,,Defensive rebound by I. Smith
2:38.0,,,44-41,,Turnover by J. Grant (traveling)
2:26.0,G. Dieng misses 2-pt shot at rim (block by N. Noel),,44-41,,
2:25.0,Offensive rebound by Team,,44-41,,
2:12.0,R. Rubio misses 3-pt shot from 27 ft,,44-41,,
2:10.0,Offensive rebound by G. Dieng,,44-41,,
2:09.0,G. Dieng makes 2-pt shot from 2 ft,2,46-41,,
1:56.0,,,46-41,,Turnover by N. Noel (lost ball; steal by R. Rubio)
1:47.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,48-41,,
1:22.0,,,48-43,2,I. Smith makes 2-pt shot from 16 ft
1:02.0,Turnover by R. Rubio (bad pass; steal by I. Smith),,48-43,,
0:53.0,,,48-43,,Turnover by J. Grant (traveling)
0:53.0,,,48-43,,J. Sampson enters the game for J. Grant
0:41.0,Z. LaVine misses 2-pt shot from 18 ft,,48-43,,
0:38.0,,,48-43,,Defensive rebound by J. Sampson
0:35.0,,,48-43,,Shooting foul by Z. LaVine (drawn by I. Smith)
0:35.0,,,48-44,1,I. Smith makes free throw 1 of 2
0:35.0,,,48-45,1,I. Smith makes free throw 2 of 2
0:17.0,Z. LaVine misses 2-pt shot from 2 ft (block by J. Sampson),,48-45,,
0:17.0,Offensive rebound by Team,,48-45,,
0:13.0,G. Dieng makes 2-pt shot at rim (assist by N. Bjelica),2,50-45,,
0:11.0,,,50-45,,Turnover by N. Noel (bad pass; steal by Z. LaVine)
0:07.0,Turnover by S. Muhammad (lost ball; steal by N. Stauskas),,50-45,,
0:02.0,,,50-47,2,J. Sampson makes 2-pt shot at rim (assist by N. Stauskas)
0:02.0,Turnover by N. Bjelica (bad pass; steal by I. Smith),,50-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,A. Wiggins misses 2-pt shot from 15 ft,,50-47,,
11:47.0,,,50-47,,Defensive rebound by N. Noel
11:26.0,,,50-50,3,N. Stauskas makes 3-pt shot from 26 ft (assist by I. Smith)
11:08.0,K. Towns misses 2-pt shot from 16 ft,,50-50,,
11:06.0,,,50-50,,Defensive rebound by I. Smith
11:05.0,Personal foul by K. Garnett (drawn by N. Noel),,50-50,,
10:52.0,,,50-50,,Turnover by I. Smith (bad pass; steal by T. Prince)
10:43.0,,,50-50,,Personal foul by J. Grant (drawn by K. Garnett)
10:37.0,,,50-50,,Personal block foul by J. Grant (drawn by A. Wiggins)
10:37.0,,,50-50,,J. Sampson enters the game for J. Grant
10:25.0,Shooting foul by J. Sampson (drawn by A. Wiggins),,50-50,,
10:25.0,A. Wiggins misses free throw 1 of 2,,50-50,,
10:25.0,Offensive rebound by Team,,50-50,,
10:25.0,A. Wiggins makes free throw 2 of 2,1,51-50,,
10:25.0,,,51-50,,Technical foul by J. Sampson (drawn by A. Wiggins)
10:25.0,Technical foul by K. Garnett,,51-50,,
10:11.0,,,51-50,,Shooting foul by K. Towns (drawn by J. Sampson)
10:11.0,,,51-51,1,J. Sampson makes free throw 1 of 2
10:11.0,,,51-52,1,J. Sampson makes free throw 2 of 2
10:00.0,A. Wiggins makes 2-pt shot from 12 ft (assist by R. Rubio),2,53-52,,
9:45.0,,,53-52,,Turnover by N. Noel (bad pass; steal by R. Rubio)
9:41.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,55-52,,
9:38.0,,,55-52,,Philadelphia full timeout
9:22.0,,,55-54,2,J. Okafor makes 2-pt shot from 11 ft (assist by I. Smith)
8:54.0,T. Prince makes 2-pt shot from 14 ft,2,57-54,,
8:41.0,,,57-56,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas)
8:27.0,R. Rubio misses 2-pt shot from 8 ft,,57-56,,
8:26.0,,,57-56,,Defensive rebound by N. Noel
8:08.0,,,57-58,2,J. Okafor makes 2-pt shot from 2 ft
8:08.0,,,57-58,,Shooting foul by K. Towns (drawn by J. Okafor)
8:08.0,G. Dieng enters the game for K. Towns,,57-58,,
8:08.0,,,57-58,,J. Okafor misses free throw 1 of 1
8:08.0,Defensive rebound by G. Dieng,,57-58,,
7:48.0,A. Wiggins makes 2-pt shot from 13 ft,2,59-58,,
7:41.0,,,59-58,,J. Sampson misses 2-pt shot from 3 ft
7:39.0,,,59-58,,Offensive rebound by J. Okafor
7:39.0,,,59-58,,J. Okafor misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by A. Wiggins,,59-58,,
7:29.0,K. Garnett misses 2-pt shot from 15 ft,,59-58,,
7:28.0,,,59-58,,Defensive rebound by I. Smith
7:19.0,,,59-58,,I. Smith misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by K. Garnett,,59-58,,
7:07.0,K. Garnett makes 2-pt shot from 1 ft (assist by R. Rubio),2,61-58,,
7:07.0,Shooting foul by J. Okafor (drawn by K. Garnett),,61-58,,
7:07.0,K. Garnett makes free throw 1 of 1,1,62-58,,
6:57.0,,,62-58,,Turnover by I. Smith (lost ball; steal by G. Dieng)
6:43.0,T. Prince misses 2-pt shot from 19 ft,,62-58,,
6:42.0,,,62-58,,Defensive rebound by J. Okafor
6:25.0,Personal foul by G. Dieng (drawn by J. Okafor),,62-58,,
6:25.0,N. Bjelica enters the game for K. Garnett,,62-58,,
6:25.0,,,62-58,,H. Thompson enters the game for J. Sampson
6:15.0,,,62-60,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
5:55.0,A. Wiggins misses 2-pt shot from 19 ft,,62-60,,
5:53.0,,,62-60,,Defensive rebound by N. Noel
5:48.0,,,62-60,,H. Thompson misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by T. Prince,,62-60,,
5:32.0,R. Rubio makes 2-pt shot at rim,2,64-60,,
5:26.0,,,64-62,2,H. Thompson makes 2-pt shot from 2 ft (assist by I. Smith)
5:14.0,Minnesota full timeout,,64-62,,
5:14.0,S. Muhammad enters the game for A. Wiggins,,64-62,,
5:14.0,,,64-62,,C. Landry enters the game for J. Okafor
5:04.0,Turnover by G. Dieng (traveling),,64-62,,
4:52.0,,,64-64,2,I. Smith makes 2-pt shot from 1 ft
4:36.0,Shooting foul by N. Noel (drawn by G. Dieng),,64-64,,
4:36.0,G. Dieng makes free throw 1 of 2,1,65-64,,
4:36.0,G. Dieng makes free throw 2 of 2,1,66-64,,
4:27.0,Def 3 sec tech foul by N. Bjelica,,66-64,,
4:27.0,,,66-65,1,I. Smith makes technical free throw
4:27.0,Z. LaVine enters the game for T. Prince,,66-65,,
4:27.0,,,66-65,,I. Canaan enters the game for N. Stauskas
4:18.0,,,66-68,3,I. Canaan makes 3-pt shot from 26 ft (assist by I. Smith)
4:00.0,G. Dieng makes 2-pt shot from 15 ft (assist by S. Muhammad),2,68-68,,
3:48.0,,,68-68,,I. Canaan misses 3-pt shot from 22 ft
3:47.0,Defensive rebound by G. Dieng,,68-68,,
3:39.0,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio),2,70-68,,
3:39.0,Shooting foul by I. Smith (drawn by S. Muhammad),,70-68,,
3:39.0,,,70-68,,T. McConnell enters the game for I. Smith
3:39.0,S. Muhammad makes free throw 1 of 1,1,71-68,,
3:32.0,,,71-68,,H. Thompson misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by G. Dieng,,71-68,,
3:18.0,S. Muhammad misses 2-pt shot at rim,,71-68,,
3:17.0,Offensive rebound by S. Muhammad,,71-68,,
3:17.0,S. Muhammad makes 2-pt shot at rim,2,73-68,,
3:03.0,,,73-68,,Shooting foul by N. Bjelica (drawn by I. Canaan)
3:03.0,,,73-69,1,I. Canaan makes free throw 1 of 2
3:03.0,,,73-69,,R. Holmes enters the game for N. Noel
3:03.0,,,73-69,,I. Canaan misses free throw 2 of 2
3:03.0,Defensive rebound by N. Bjelica,,73-69,,
2:49.0,R. Rubio misses 3-pt shot from 25 ft,,73-69,,
2:48.0,,,73-69,,Defensive rebound by H. Thompson
2:30.0,,,73-71,2,C. Landry makes 2-pt shot from 15 ft (assist by I. Canaan)
2:14.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,75-71,,
1:51.0,,,75-71,,Shooting foul by R. Rubio (drawn by R. Holmes)
1:51.0,,,75-72,1,R. Holmes makes free throw 1 of 2
1:51.0,A. Miller enters the game for R. Rubio,,75-72,,
1:51.0,,,75-73,1,R. Holmes makes free throw 2 of 2
1:30.0,A. Miller makes 2-pt shot from 2 ft (assist by N. Bjelica),2,77-73,,
1:18.0,,,77-75,2,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell)
1:02.0,Turnover by Z. LaVine (bad pass; steal by T. McConnell),,77-75,,
0:52.0,,,77-78,3,T. McConnell makes 3-pt shot from 24 ft (assist by C. Landry)
0:35.0,G. Dieng makes 2-pt shot from 17 ft,2,79-78,,
0:11.0,,,79-80,2,I. Canaan makes 2-pt shot from 15 ft (assist by T. McConnell)
0:04.0,Z. LaVine misses 2-pt shot from 16 ft (block by C. Landry),,79-80,,
0:02.0,,,79-80,,Defensive rebound by T. McConnell
0:00.0,,,79-80,,T. McConnell misses 3-pt shot from 51 ft
0:00.0,,,79-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,79-83,3,H. Thompson makes 3-pt shot from 26 ft (assist by I. Canaan)
11:32.0,,,79-83,,Personal foul by H. Thompson (drawn by S. Muhammad)
11:32.0,K. Towns enters the game for G. Dieng,,79-83,,
11:28.0,S. Muhammad misses 2-pt shot from 10 ft (block by H. Thompson),,79-83,,
11:27.0,Offensive rebound by Team,,79-83,,
11:27.0,A. Wiggins enters the game for Z. LaVine,,79-83,,
11:18.0,A. Miller makes 2-pt shot from 18 ft,2,81-83,,
10:59.0,,,81-85,2,C. Landry makes 2-pt shot from 18 ft (assist by T. McConnell)
10:33.0,Shooting foul by R. Holmes (drawn by A. Miller),,81-85,,
10:33.0,A. Miller makes free throw 1 of 2,1,82-85,,
10:33.0,A. Miller makes free throw 2 of 2,1,83-85,,
10:25.0,,,83-85,,R. Holmes misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by K. Towns,,83-85,,
10:12.0,K. Towns makes 2-pt shot at rim (assist by N. Bjelica),2,85-85,,
9:59.0,,,85-87,2,R. Holmes makes 2-pt shot from 2 ft (assist by H. Thompson)
9:39.0,K. Towns makes 2-pt shot from 17 ft (assist by A. Miller),2,87-87,,
9:28.0,,,87-89,2,T. McConnell makes 2-pt shot from 7 ft
9:11.0,,,87-89,,Personal foul by I. Canaan (drawn by S. Muhammad)
9:11.0,,,87-89,,J. Grant enters the game for H. Thompson
9:04.0,,,87-89,,Def 3 sec tech foul by R. Holmes
9:04.0,A. Miller makes technical free throw,1,88-89,,
8:59.0,A. Wiggins misses 2-pt shot from 13 ft,,88-89,,
8:58.0,,,88-89,,Defensive rebound by C. Landry
8:38.0,,,88-91,2,T. McConnell makes 2-pt shot from 15 ft
8:25.0,Turnover by A. Wiggins (bad pass; steal by T. McConnell),,88-91,,
8:19.0,,,88-91,,I. Canaan misses 3-pt shot from 27 ft
8:17.0,,,88-91,,Offensive rebound by R. Holmes
8:17.0,,,88-93,2,R. Holmes makes 2-pt shot at rim
8:15.0,Minnesota full timeout,,88-93,,
8:15.0,R. Rubio enters the game for A. Miller,,88-93,,
8:15.0,A. Wiggins misses 2-pt shot from 10 ft (block by J. Grant),,88-93,,
8:10.0,,,88-93,,Defensive rebound by T. McConnell
8:07.0,,,88-93,,Turnover by R. Holmes (lost ball; steal by A. Wiggins)
7:44.0,A. Wiggins misses 2-pt shot from 3 ft,,88-93,,
7:42.0,Offensive rebound by S. Muhammad,,88-93,,
7:41.0,S. Muhammad makes 2-pt shot from 1 ft,2,90-93,,
7:29.0,,,90-93,,I. Canaan misses 3-pt shot from 25 ft
7:28.0,,,90-93,,Offensive rebound by C. Landry
7:26.0,,,90-93,,C. Landry misses 2-pt shot from 2 ft
7:25.0,,,90-93,,Offensive rebound by Team
7:25.0,Loose ball foul by N. Bjelica (drawn by R. Holmes),,90-93,,
7:10.0,,,90-93,,I. Canaan misses 2-pt shot from 2 ft
7:08.0,,,90-93,,Offensive rebound by C. Landry
7:06.0,,,90-95,2,C. Landry makes 2-pt shot from 1 ft
6:47.0,K. Towns misses 2-pt shot from 2 ft (block by R. Holmes),,90-95,,
6:45.0,,,90-95,,Defensive rebound by J. Grant
6:35.0,,,90-95,,Philadelphia full timeout
6:35.0,K. Garnett enters the game for N. Bjelica,,90-95,,
6:35.0,,,90-95,,N. Stauskas enters the game for I. Canaan
6:35.0,,,90-95,,I. Smith enters the game for T. McConnell
6:22.0,,,90-97,2,C. Landry makes 2-pt shot from 18 ft (assist by I. Smith)
6:01.0,,,90-97,,Violation by R. Holmes (def goaltending)
6:01.0,A. Wiggins makes 2-pt shot from 3 ft,2,92-97,,
5:29.0,,,92-97,,R. Holmes misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by A. Wiggins,,92-97,,
5:24.0,Offensive foul by K. Garnett,,92-97,,
5:24.0,Turnover by K. Garnett (offensive foul),,92-97,,
5:14.0,,,92-97,,C. Landry misses 2-pt shot from 21 ft
5:13.0,Defensive rebound by K. Towns,,92-97,,
4:51.0,Offensive charge foul by A. Wiggins,,92-97,,
4:51.0,Turnover by A. Wiggins (offensive foul),,92-97,,
4:51.0,,,92-97,,N. Noel enters the game for R. Holmes
4:42.0,Jump ball: J. Grant vs. A. Wiggins (N. Stauskas gains possession),,,,Jump ball: J. Grant vs. A. Wiggins (N. Stauskas gains possession)
4:37.0,,,92-99,2,I. Smith makes 2-pt shot from 13 ft (assist by J. Grant)
4:29.0,R. Rubio misses 2-pt shot from 2 ft (block by N. Noel),,92-99,,
4:27.0,,,92-99,,Defensive rebound by I. Smith
4:11.0,,,92-99,,N. Noel misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by K. Towns,,92-99,,
4:06.0,S. Muhammad misses 2-pt shot from 1 ft (block by J. Grant),,92-99,,
4:03.0,,,92-99,,Defensive rebound by N. Stauskas
