time,Milwaukee,pts.away,score,pts.home,Charlotte
4:43.0,J. Bayless enters the game for G. Antetokounmpo,,14-20,,
4:43.0,,,14-20,,F. Kaminsky enters the game for P. Hairston
4:26.0,,,14-20,,Personal foul by C. Zeller (drawn by K. Middleton)
4:26.0,,,14-20,,J. Lin enters the game for M. Williams
4:20.0,Turnover by J. Parker (offensive goaltending),,14-20,,
4:04.0,,,14-22,2,J. Lin makes 2-pt shot from 2 ft (assist by N. Batum)
3:41.0,J. Henson makes 2-pt shot from 6 ft (assist by M. Carter-Williams),2,16-22,,
3:29.0,,,16-22,,C. Zeller misses 2-pt shot from 1 ft (block by J. Henson)
3:29.0,,,16-22,,Offensive rebound by Team
3:23.0,,,16-24,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by C. Zeller)
3:19.0,Turnover by J. Parker (bad pass),,16-24,,
3:06.0,,,16-24,,F. Kaminsky misses 2-pt shot from 2 ft
3:05.0,Defensive rebound by J. Henson,,16-24,,
2:56.0,Turnover by J. Parker (bad pass; steal by F. Kaminsky),,16-24,,
2:46.0,,,16-24,,K. Walker misses 3-pt shot from 23 ft
2:45.0,Defensive rebound by K. Middleton,,16-24,,
2:34.0,M. Carter-Williams misses 3-pt shot from 24 ft,,16-24,,
2:33.0,,,16-24,,Defensive rebound by F. Kaminsky
2:24.0,,,16-26,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
2:11.0,,,16-26,,Personal foul by C. Zeller (drawn by K. Middleton)
2:11.0,R. Vaughn enters the game for M. Carter-Williams,,16-26,,
2:11.0,,,16-26,,B. Roberts enters the game for K. Walker
2:11.0,,,16-26,,S. Hawes enters the game for C. Zeller
2:01.0,J. Bayless misses 2-pt shot from 6 ft,,16-26,,
2:00.0,,,16-26,,Defensive rebound by S. Hawes
1:41.0,,,16-26,,F. Kaminsky misses 2-pt shot from 21 ft (block by J. Henson)
1:39.0,,,16-26,,Offensive rebound by S. Hawes
1:38.0,,,16-26,,Turnover by Team (shot clock)
1:30.0,K. Middleton misses 2-pt shot from 18 ft,,16-26,,
1:28.0,,,16-26,,Defensive rebound by S. Hawes
1:15.0,,,16-26,,N. Batum misses 2-pt shot from 14 ft
1:14.0,Defensive rebound by J. Henson,,16-26,,
1:09.0,Shooting foul by B. Roberts (drawn by J. Parker),,16-26,,
1:09.0,J. Parker makes free throw 1 of 2,1,17-26,,
1:09.0,J. Parker misses free throw 2 of 2,,17-26,,
1:08.0,,,17-26,,Defensive rebound by F. Kaminsky
0:57.0,,,17-29,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum)
0:46.0,K. Middleton makes 2-pt shot from 11 ft,2,19-29,,
0:39.0,,,19-29,,S. Hawes misses 3-pt shot from 25 ft
0:36.0,,,19-29,,Offensive rebound by N. Batum
0:32.0,,,19-29,,B. Roberts misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by R. Vaughn,,19-29,,
0:13.0,K. Middleton misses 3-pt shot from 25 ft,,19-29,,
0:12.0,Offensive rebound by J. Bayless,,19-29,,
0:01.0,R. Vaughn misses 3-pt shot from 23 ft,,19-29,,
0:00.0,,,19-29,,Defensive rebound by N. Batum
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Bayless makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,22-29,,
11:30.0,,,22-29,,S. Hawes misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by G. Antetokounmpo,,22-29,,
11:18.0,J. Henson misses 2-pt shot from 6 ft,,22-29,,
11:16.0,,,22-29,,Defensive rebound by F. Kaminsky
10:59.0,,,22-29,,P. Hairston misses 2-pt shot from 1 ft (block by J. Henson)
10:57.0,Defensive rebound by J. Henson,,22-29,,
10:49.0,J. O'Bryant makes 2-pt shot from 20 ft (assist by J. Bayless),2,24-29,,
10:31.0,,,24-31,2,S. Hawes makes 2-pt shot at rim (assist by B. Roberts)
10:09.0,R. Vaughn makes 3-pt shot from 24 ft (assist by J. Bayless),3,27-31,,
9:57.0,,,27-31,,J. Lin misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by G. Antetokounmpo,,27-31,,
9:45.0,,,27-31,,Personal foul by F. Kaminsky (drawn by J. O'Bryant)
9:45.0,G. Monroe enters the game for J. Henson,,27-31,,
9:43.0,Turnover by J. O'Bryant (bad pass; steal by J. Lin),,27-31,,
9:38.0,,,27-31,,J. Lin misses 2-pt shot from 1 ft (block by J. O'Bryant)
9:38.0,,,27-31,,Offensive rebound by Team
9:29.0,,,27-31,,F. Kaminsky misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by J. Bayless,,27-31,,
9:17.0,R. Vaughn makes 3-pt shot from 25 ft (assist by J. Bayless),3,30-31,,
9:06.0,,,30-31,,Charlotte full timeout
8:58.0,,,30-31,,F. Kaminsky misses 2-pt shot from 8 ft
8:56.0,Defensive rebound by J. O'Bryant,,30-31,,
8:44.0,J. O'Bryant misses 2-pt shot from 5 ft,,30-31,,
8:42.0,,,30-31,,Defensive rebound by S. Hawes
8:32.0,,,30-31,,J. Lin misses 2-pt shot from 1 ft
8:31.0,Defensive rebound by G. Monroe,,30-31,,
8:22.0,Turnover by G. Antetokounmpo (lost ball),,30-31,,
8:03.0,,,30-33,2,S. Hawes makes 2-pt shot from 17 ft (assist by P. Hairston)
7:49.0,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by J. Bayless),2,32-33,,
7:31.0,,,32-35,2,P. Hairston makes 2-pt shot from 17 ft (assist by S. Hawes)
7:20.0,Shooting foul by B. Roberts (drawn by R. Vaughn),,32-35,,
7:20.0,R. Vaughn makes free throw 1 of 2,1,33-35,,
7:20.0,R. Vaughn makes free throw 2 of 2,1,34-35,,
7:07.0,,,34-35,,P. Hairston misses 3-pt shot from 28 ft
7:06.0,Defensive rebound by G. Monroe,,34-35,,
6:54.0,J. O'Bryant misses 2-pt shot from 19 ft,,34-35,,
6:53.0,,,34-35,,Defensive rebound by B. Roberts
6:45.0,,,34-35,,P. Hairston misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by G. Antetokounmpo,,34-35,,
6:25.0,J. Bayless misses 3-pt shot from 25 ft,,34-35,,
6:23.0,,,34-35,,Defensive rebound by Team
6:23.0,Loose ball foul by G. Monroe (drawn by J. Lin),,34-35,,
6:23.0,,,34-35,,K. Walker enters the game for B. Roberts
6:23.0,,,34-35,,N. Batum enters the game for P. Hairston
6:09.0,,,34-35,,J. Lin misses 2-pt shot from 1 ft
6:08.0,,,34-35,,Offensive rebound by S. Hawes
6:08.0,,,34-37,2,S. Hawes makes 2-pt shot at rim
5:47.0,G. Monroe makes 2-pt shot from 6 ft (assist by J. Bayless),2,36-37,,
5:29.0,,,36-37,,F. Kaminsky misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by R. Vaughn,,36-37,,
5:13.0,Turnover by G. Monroe (bad pass; steal by J. Lin),,36-37,,
5:07.0,,,36-39,2,J. Lin makes 2-pt shot from 1 ft
5:05.0,Milwaukee full timeout,,36-39,,
5:05.0,,,36-39,,C. Zeller enters the game for F. Kaminsky
5:05.0,,,36-39,,M. Williams enters the game for S. Hawes
5:05.0,M. Carter-Williams enters the game for J. Bayless,,36-39,,
5:05.0,J. Parker enters the game for J. O'Bryant,,36-39,,
4:53.0,G. Antetokounmpo makes 2-pt shot at rim,2,38-39,,
4:38.0,,,38-39,,N. Batum misses 2-pt shot from 6 ft (block by G. Antetokounmpo)
4:36.0,Defensive rebound by G. Antetokounmpo,,38-39,,
4:33.0,Offensive foul by G. Monroe,,38-39,,
4:33.0,Turnover by G. Monroe (offensive foul),,38-39,,
4:18.0,,,38-41,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
4:06.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by M. Williams),,38-41,,
4:06.0,Offensive rebound by Team,,38-41,,
4:06.0,K. Middleton enters the game for R. Vaughn,,38-41,,
3:52.0,M. Carter-Williams misses 2-pt shot from 1 ft,,38-41,,
3:50.0,Offensive rebound by G. Monroe,,38-41,,
3:50.0,G. Monroe makes 2-pt shot from 1 ft,2,40-41,,
3:40.0,,,40-41,,N. Batum misses 3-pt shot from 27 ft
3:39.0,Defensive rebound by M. Carter-Williams,,40-41,,
3:32.0,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams),2,42-41,,
3:18.0,,,42-43,2,J. Lin makes 2-pt shot at rim (assist by N. Batum)
3:10.0,J. Parker makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,44-43,,
3:03.0,,,44-43,,Charlotte full timeout
3:03.0,J. Henson enters the game for G. Monroe,,44-43,,
2:55.0,,,44-43,,N. Batum misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by J. Henson,,44-43,,
2:39.0,,,44-43,,Personal foul by N. Batum (drawn by G. Antetokounmpo)
2:39.0,Official timeout,,44-43,,
2:31.0,K. Middleton makes 2-pt shot from 16 ft,2,46-43,,
2:16.0,Personal foul by M. Carter-Williams (drawn by C. Zeller),,46-43,,
2:07.0,,,46-43,,Turnover by N. Batum (bad pass; steal by J. Henson)
1:52.0,K. Middleton makes 2-pt shot from 16 ft,2,48-43,,
1:26.0,,,48-43,,Shooting foul by K. Middleton (drawn by J. Lin)
1:26.0,,,48-44,1,J. Lin makes free throw 1 of 2
1:26.0,J. Bayless enters the game for M. Carter-Williams,,48-44,,
1:26.0,,,48-45,1,J. Lin makes free throw 2 of 2
1:21.0,,,48-45,,Personal foul by J. Lin (drawn by K. Middleton)
1:06.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,48-45,,
1:06.0,Offensive rebound by Team,,48-45,,
1:06.0,,,48-45,,S. Hawes enters the game for C. Zeller
0:53.0,K. Middleton makes 2-pt shot from 17 ft (assist by J. Bayless),2,50-45,,
0:34.0,,,50-45,,J. Lin misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by J. Parker,,50-45,,
0:29.0,K. Middleton makes 2-pt shot at rim (assist by J. Parker),2,52-45,,
0:06.0,,,52-48,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lin)
0:01.0,K. Middleton misses 2-pt shot from 19 ft,,52-48,,
0:00.0,Offensive rebound by Team,,52-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by P. Hairston (drawn by G. Antetokounmpo),,52-48,,
11:42.0,G. Antetokounmpo makes free throw 1 of 2,1,53-48,,
11:42.0,G. Antetokounmpo makes free throw 2 of 2,1,54-48,,
11:20.0,,,54-50,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
11:05.0,M. Carter-Williams misses 2-pt shot from 2 ft,,54-50,,
11:03.0,Offensive rebound by G. Monroe,,54-50,,
11:03.0,G. Monroe makes 2-pt shot from 1 ft,2,56-50,,
10:44.0,,,56-52,2,P. Hairston makes 2-pt shot from 1 ft (assist by K. Walker)
10:33.0,Shooting foul by K. Walker (drawn by M. Carter-Williams),,56-52,,
10:33.0,M. Carter-Williams makes free throw 1 of 2,1,57-52,,
10:33.0,M. Carter-Williams makes free throw 2 of 2,1,58-52,,
10:12.0,,,58-54,2,K. Walker makes 2-pt shot at rim (assist by M. Williams)
9:56.0,Turnover by G. Monroe (3 sec),,58-54,,
9:44.0,,,58-54,,Shooting foul by G. Monroe (drawn by C. Zeller)
9:44.0,,,58-55,1,C. Zeller makes free throw 1 of 2
9:44.0,,,58-56,1,C. Zeller makes free throw 2 of 2
9:31.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,60-56,,
9:13.0,,,60-56,,M. Williams misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by G. Antetokounmpo,,60-56,,
9:04.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,60-56,,
9:02.0,Offensive rebound by G. Monroe,,60-56,,
9:02.0,G. Monroe makes 2-pt shot at rim,2,62-56,,
8:44.0,,,62-58,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
8:19.0,M. Carter-Williams misses 2-pt shot from 1 ft,,62-58,,
8:18.0,,,62-58,,Defensive rebound by P. Hairston
8:17.0,Personal foul by M. Carter-Williams (drawn by C. Zeller),,62-58,,
8:12.0,,,62-58,,N. Batum misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by G. Antetokounmpo,,62-58,,
7:58.0,Shooting foul by C. Zeller (drawn by G. Monroe),,62-58,,
7:58.0,G. Monroe misses free throw 1 of 2,,62-58,,
7:58.0,Offensive rebound by Team,,62-58,,
7:58.0,G. Monroe makes free throw 2 of 2,1,63-58,,
7:34.0,,,63-58,,M. Williams misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by G. Monroe,,63-58,,
7:20.0,Shooting foul by P. Hairston (drawn by G. Monroe),,63-58,,
7:20.0,G. Monroe makes free throw 1 of 2,1,64-58,,
7:20.0,G. Monroe makes free throw 2 of 2,1,65-58,,
7:06.0,,,65-58,,N. Batum misses 2-pt shot from 1 ft
7:05.0,,,65-58,,Offensive rebound by C. Zeller
7:05.0,,,65-60,2,C. Zeller makes 2-pt shot at rim
6:50.0,M. Carter-Williams makes 3-pt shot from 23 ft (assist by J. Parker),3,68-60,,
6:37.0,,,68-63,3,P. Hairston makes 3-pt shot from 25 ft (assist by N. Batum)
6:12.0,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by J. Parker),2,70-63,,
5:57.0,,,70-63,,Shooting foul by G. Antetokounmpo (drawn by N. Batum)
5:57.0,,,70-63,,Charlotte full timeout
5:57.0,J. Henson enters the game for G. Monroe,,70-63,,
5:57.0,,,70-63,,F. Kaminsky enters the game for M. Williams
5:57.0,,,70-63,,N. Batum misses free throw 1 of 2
5:57.0,,,70-63,,Offensive rebound by Team
5:57.0,,,70-64,1,N. Batum makes free throw 2 of 2
5:37.0,J. Parker makes 2-pt shot from 14 ft,2,72-64,,
5:24.0,,,72-64,,P. Hairston misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by G. Antetokounmpo,,72-64,,
5:22.0,,,72-64,,Personal foul by C. Zeller (drawn by G. Antetokounmpo)
5:22.0,G. Antetokounmpo makes free throw 1 of 2,1,73-64,,
5:22.0,,,73-64,,S. Hawes enters the game for C. Zeller
5:22.0,G. Antetokounmpo makes free throw 2 of 2,1,74-64,,
4:59.0,,,74-64,,S. Hawes misses 2-pt shot from 18 ft
4:58.0,Defensive rebound by G. Antetokounmpo,,74-64,,
4:43.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,74-64,,
4:40.0,Offensive rebound by J. Parker,,74-64,,
4:40.0,J. Parker misses 2-pt shot from 1 ft,,74-64,,
4:39.0,,,74-64,,Defensive rebound by S. Hawes
4:24.0,,,74-64,,Shooting foul by M. Carter-Williams (drawn by P. Hairston)
4:24.0,,,74-64,,P. Hairston misses free throw 1 of 2
4:24.0,,,74-64,,Offensive rebound by Team
4:24.0,J. Bayless enters the game for M. Carter-Williams,,74-64,,
4:24.0,,,74-65,1,P. Hairston makes free throw 2 of 2
4:13.0,K. Middleton makes 2-pt shot from 17 ft,2,76-65,,
4:00.0,,,76-65,,Turnover by N. Batum (bad pass)
3:52.0,J. Henson makes 2-pt shot at rim (assist by J. Parker),2,78-65,,
3:52.0,,,78-65,,Charlotte full timeout
3:52.0,J. O'Bryant enters the game for G. Antetokounmpo,,78-65,,
3:52.0,,,78-65,,M. Williams enters the game for P. Hairston
3:40.0,,,78-65,,Turnover by M. Williams (bad pass; steal by J. Parker)
3:17.0,J. Henson misses 2-pt shot from 2 ft,,78-65,,
3:16.0,,,78-65,,Defensive rebound by M. Williams
3:07.0,,,78-67,2,M. Williams makes 2-pt shot from 21 ft (assist by N. Batum)
2:48.0,Shooting foul by S. Hawes (drawn by K. Middleton),,78-67,,
2:48.0,K. Middleton makes free throw 1 of 2,1,79-67,,
2:48.0,R. Vaughn enters the game for J. Parker,,79-67,,
2:48.0,K. Middleton makes free throw 2 of 2,1,80-67,,
2:30.0,,,80-67,,F. Kaminsky misses 3-pt shot from 25 ft
2:30.0,,,80-67,,Offensive rebound by Team
2:30.0,Loose ball foul by R. Vaughn (drawn by S. Hawes),,80-67,,
2:30.0,,,80-68,1,S. Hawes makes free throw 1 of 2
2:30.0,,,80-68,,J. Lin enters the game for K. Walker
2:30.0,,,80-68,,S. Hawes misses free throw 2 of 2
2:28.0,Defensive rebound by J. Henson,,80-68,,
2:14.0,J. O'Bryant misses 2-pt shot from 15 ft,,80-68,,
2:13.0,,,80-68,,Defensive rebound by M. Williams
1:49.0,,,80-68,,J. Lin misses 3-pt shot from 27 ft
1:48.0,,,80-68,,Offensive rebound by M. Williams
1:48.0,,,80-68,,Turnover by Team (shot clock)
1:34.0,Shooting foul by J. Lin (drawn by J. O'Bryant),,80-68,,
1:34.0,J. O'Bryant makes free throw 1 of 2,1,81-68,,
1:34.0,J. O'Bryant makes free throw 2 of 2,1,82-68,,
1:20.0,,,82-68,,Turnover by Team (back court)
1:12.0,,,82-68,,Personal foul by N. Batum (drawn by J. Henson)
1:12.0,J. Henson makes free throw 1 of 2,1,83-68,,
1:12.0,J. Henson makes free throw 2 of 2,1,84-68,,
0:59.0,,,84-68,,M. Williams misses 2-pt shot from 6 ft
0:57.0,,,84-68,,Offensive rebound by M. Williams
0:53.0,,,84-68,,M. Williams misses 3-pt shot from 22 ft
0:51.0,Defensive rebound by K. Middleton,,84-68,,
0:42.0,Shooting foul by S. Hawes (drawn by J. Henson),,84-68,,
0:42.0,J. Henson misses free throw 1 of 2,,84-68,,
0:42.0,Offensive rebound by Team,,84-68,,
0:42.0,J. Henson misses free throw 2 of 2,,84-68,,
0:41.0,,,84-68,,Defensive rebound by S. Hawes
0:30.0,Personal foul by J. Bayless (drawn by J. Lin),,84-68,,
0:30.0,,,84-69,1,J. Lin makes free throw 1 of 2
0:30.0,,,84-69,,J. Lin misses free throw 2 of 2
0:30.0,Defensive rebound by J. Henson,,84-69,,
0:11.0,Turnover by K. Middleton (bad pass; steal by J. Lin),,84-69,,
0:07.0,,,84-71,2,J. Lin makes 2-pt shot at rim
0:00.0,J. Bayless misses 2-pt shot from 2 ft,,84-71,,
0:00.0,Offensive rebound by Team,,84-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,84-73,2,J. Lin makes 2-pt shot from 19 ft (assist by S. Hawes)
11:32.0,Turnover by J. Bayless (bad pass; steal by K. Walker),,84-73,,
11:26.0,,,84-75,2,J. Lin makes 2-pt shot at rim (assist by K. Walker)
11:02.0,J. O'Bryant misses 2-pt shot from 5 ft,,84-75,,
11:01.0,,,84-75,,Defensive rebound by F. Kaminsky
10:48.0,,,84-75,,K. Walker misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by J. Henson,,84-75,,
10:33.0,J. Bayless misses 3-pt shot from 25 ft,,84-75,,
10:32.0,,,84-75,,Defensive rebound by S. Hawes
10:14.0,,,84-78,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by K. Walker)
10:14.0,Milwaukee full timeout,,84-78,,
10:14.0,G. Monroe enters the game for J. Henson,,84-78,,
10:14.0,K. Middleton enters the game for R. Vaughn,,84-78,,
9:58.0,K. Middleton makes 2-pt shot from 2 ft,2,86-78,,
9:43.0,,,86-78,,J. Lin misses 2-pt shot from 6 ft (block by J. Bayless)
9:41.0,Defensive rebound by G. Monroe,,86-78,,
9:32.0,,,86-78,,Violation by F. Kaminsky (def goaltending)
9:32.0,K. Middleton makes 2-pt shot from 3 ft,2,88-78,,
9:10.0,,,88-78,,S. Hawes misses 2-pt shot from 6 ft
9:07.0,Defensive rebound by G. Antetokounmpo,,88-78,,
9:02.0,,,88-78,,Personal foul by J. Lin (drawn by K. Middleton)
9:02.0,,,88-78,,N. Batum enters the game for J. Lin
8:52.0,K. Middleton makes 2-pt shot from 11 ft,2,90-78,,
8:33.0,,,90-78,,P. Hairston misses 3-pt shot from 26 ft
8:31.0,,,90-78,,Offensive rebound by S. Hawes
8:27.0,,,90-80,2,K. Walker makes 2-pt shot from 12 ft (assist by S. Hawes)
8:07.0,K. Middleton misses 2-pt shot from 11 ft (block by N. Batum),,90-80,,
8:05.0,,,90-80,,Defensive rebound by P. Hairston
7:54.0,Shooting block foul by J. O'Bryant (drawn by P. Hairston),,90-80,,
7:54.0,,,90-81,1,P. Hairston makes free throw 1 of 2
7:54.0,M. Carter-Williams enters the game for J. Bayless,,90-81,,
7:54.0,,,90-81,,P. Hairston misses free throw 2 of 2
7:52.0,Defensive rebound by G. Monroe,,90-81,,
7:34.0,G. Monroe makes 2-pt shot from 7 ft,2,92-81,,
7:17.0,,,92-81,,Turnover by P. Hairston (lost ball)
7:05.0,G. Monroe misses 2-pt shot from 2 ft,,92-81,,
7:04.0,,,92-81,,Defensive rebound by F. Kaminsky
6:54.0,,,92-81,,N. Batum misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by G. Antetokounmpo,,92-81,,
6:32.0,K. Middleton makes 2-pt shot from 19 ft,2,94-81,,
6:32.0,,,94-81,,Charlotte full timeout
6:32.0,J. Parker enters the game for J. O'Bryant,,94-81,,
6:32.0,,,94-81,,M. Williams enters the game for P. Hairston
6:32.0,,,94-81,,C. Zeller enters the game for S. Hawes
6:13.0,,,94-81,,F. Kaminsky misses 3-pt shot from 25 ft
6:11.0,,,94-81,,Offensive rebound by M. Williams
6:08.0,,,94-81,,K. Walker misses 3-pt shot from 25 ft (block by M. Carter-Williams)
6:06.0,,,94-81,,Offensive rebound by N. Batum
6:04.0,,,94-81,,M. Williams misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by G. Monroe,,94-81,,
5:52.0,J. Parker makes 2-pt shot from 19 ft (assist by K. Middleton),2,96-81,,
5:35.0,,,96-81,,C. Zeller misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by M. Carter-Williams,,96-81,,
5:18.0,Shooting foul by C. Zeller (drawn by G. Monroe),,96-81,,
5:18.0,G. Monroe makes free throw 1 of 2,1,97-81,,
5:18.0,G. Monroe makes free throw 2 of 2,1,98-81,,
5:05.0,,,98-81,,N. Batum misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by K. Middleton,,98-81,,
4:48.0,Shooting foul by F. Kaminsky (drawn by G. Antetokounmpo),,98-81,,
4:48.0,G. Antetokounmpo makes free throw 1 of 2,1,99-81,,
4:48.0,G. Antetokounmpo makes free throw 2 of 2,1,100-81,,
4:32.0,,,100-81,,K. Walker misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by M. Carter-Williams,,100-81,,
4:16.0,G. Monroe makes 2-pt shot from 1 ft,2,102-81,,
3:56.0,,,102-81,,K. Walker misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by M. Carter-Williams,,102-81,,
3:50.0,,,102-81,,Personal foul by K. Walker (drawn by M. Carter-Williams)
3:50.0,,,102-81,,B. Roberts enters the game for M. Williams
3:50.0,,,102-81,,A. Harrison enters the game for C. Zeller
3:50.0,,,102-81,,T. Daniels enters the game for N. Batum
3:50.0,,,102-81,,T. Hansbrough enters the game for K. Walker
3:39.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,102-81,,
3:39.0,,,102-81,,Defensive rebound by Team
3:23.0,,,102-83,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by B. Roberts)
3:03.0,J. Parker misses 2-pt shot from 15 ft,,102-83,,
3:01.0,,,102-83,,Defensive rebound by T. Daniels
2:52.0,,,102-85,2,B. Roberts makes 2-pt shot from 19 ft
2:43.0,Milwaukee full timeout,,102-85,,
2:43.0,Official timeout,,102-85,,
2:43.0,C. Copeland enters the game for G. Antetokounmpo,,102-85,,
2:43.0,R. Vaughn enters the game for J. Parker,,102-85,,
2:43.0,M. Plumlee enters the game for G. Monroe,,102-85,,
