time,San Antonio,pts.away,score,pts.home,Oklahoma City
5:42.0,T. Duncan enters the game for L. Aldridge,,49-75,,
5:42.0,,,49-76,1,K. Durant makes free throw 2 of 2
5:30.0,P. Mills makes 2-pt shot at rim,2,51-76,,
5:25.0,,,51-76,,Turnover by R. Westbrook (lost ball; steal by K. Leonard)
5:19.0,K. Leonard makes 2-pt shot from 3 ft,2,53-76,,
5:03.0,,,53-78,2,K. Durant makes 2-pt shot from 8 ft (assist by R. Westbrook)
4:51.0,T. Duncan makes 2-pt shot from 4 ft (assist by P. Mills),2,55-78,,
4:29.0,,,55-78,,R. Westbrook misses 3-pt shot from 25 ft
4:28.0,,,55-78,,Offensive rebound by S. Ibaka
4:26.0,,,55-78,,S. Ibaka misses 2-pt shot from 13 ft
4:25.0,,,55-78,,Offensive rebound by S. Adams
4:25.0,,,55-80,2,S. Adams makes 2-pt shot at rim
4:22.0,San Antonio full timeout,,55-80,,
4:22.0,,,55-80,,E. Kanter enters the game for K. Durant
4:22.0,,,55-80,,D. Waiters enters the game for S. Adams
4:09.0,T. Duncan makes 2-pt shot from 6 ft (assist by P. Mills),2,57-80,,
3:51.0,,,57-82,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
3:41.0,Turnover by P. Mills (lost ball; steal by R. Westbrook),,57-82,,
3:32.0,,,57-82,,A. Roberson misses 2-pt shot from 4 ft
3:30.0,,,57-82,,Offensive rebound by E. Kanter
3:30.0,,,57-82,,E. Kanter misses 2-pt shot from 1 ft
3:29.0,,,57-82,,Offensive rebound by R. Westbrook
3:29.0,,,57-84,2,R. Westbrook makes 2-pt shot from 1 ft
3:22.0,K. Leonard makes 2-pt shot from 7 ft,2,59-84,,
2:59.0,,,59-86,2,E. Kanter makes 2-pt shot from 11 ft (assist by R. Westbrook)
2:48.0,K. Leonard misses 2-pt shot at rim,,59-86,,
2:47.0,Offensive rebound by K. Leonard,,59-86,,
2:44.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,62-86,,
2:24.0,,,62-89,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
2:02.0,K. Leonard misses 2-pt shot from 17 ft,,62-89,,
2:01.0,,,62-89,,Defensive rebound by S. Ibaka
1:54.0,,,62-89,,R. Westbrook misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by K. Leonard,,62-89,,
1:40.0,D. Green misses 2-pt shot from 14 ft,,62-89,,
1:39.0,,,62-89,,Defensive rebound by E. Kanter
1:18.0,,,62-89,,D. Waiters misses 2-pt shot from 19 ft
1:18.0,,,62-89,,Offensive rebound by D. Waiters
1:15.0,,,62-89,,Turnover by Team (shot clock)
1:15.0,M. Ginobili enters the game for K. Leonard,,62-89,,
1:15.0,K. Martin enters the game for D. Green,,62-89,,
1:15.0,,,62-89,,R. Foye enters the game for S. Ibaka
1:15.0,,,62-89,,S. Adams enters the game for R. Westbrook
1:02.0,Shooting foul by E. Kanter (drawn by T. Duncan),,62-89,,
1:02.0,T. Duncan misses free throw 1 of 2,,62-89,,
1:02.0,Offensive rebound by Team,,62-89,,
1:02.0,,,62-89,,K. Durant enters the game for A. Roberson
1:02.0,T. Duncan makes free throw 2 of 2,1,63-89,,
0:47.0,,,63-89,,Shooting foul by T. Duncan (drawn by K. Durant)
0:47.0,,,63-90,1,K. Durant makes free throw 1 of 2
0:47.0,,,63-91,1,K. Durant makes free throw 2 of 2
0:37.0,K. Martin misses 2-pt shot from 1 ft,,63-91,,
0:36.0,Offensive rebound by T. Duncan,,63-91,,
0:36.0,T. Duncan misses 2-pt shot from 2 ft,,63-91,,
0:35.0,,,63-91,,Defensive rebound by D. Waiters
0:13.0,,,63-91,,R. Foye misses 3-pt shot from 22 ft
0:12.0,Defensive rebound by T. Duncan,,63-91,,
0:00.0,K. Anderson makes 2-pt shot from 8 ft,2,65-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Ginobili misses 2-pt shot from 9 ft,,65-91,,
11:45.0,,,65-91,,Defensive rebound by S. Adams
11:28.0,,,65-91,,K. Durant misses 2-pt shot from 5 ft
11:28.0,Defensive rebound by M. Ginobili,,65-91,,
11:13.0,Turnover by T. Duncan (lost ball; steal by S. Adams),,65-91,,
10:54.0,,,65-91,,E. Kanter misses 2-pt shot from 5 ft
10:54.0,,,65-91,,Offensive rebound by E. Kanter
10:36.0,,,65-91,,Turnover by D. Waiters (bad pass)
10:21.0,K. Anderson misses 2-pt shot from 6 ft,,65-91,,
10:20.0,,,65-91,,Defensive rebound by K. Durant
10:11.0,,,65-91,,Oklahoma City full timeout
10:00.0,,,65-91,,D. Waiters misses 2-pt shot from 1 ft (block by T. Duncan)
9:58.0,Defensive rebound by T. Duncan,,65-91,,
9:46.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,68-91,,
9:31.0,,,68-93,2,K. Durant makes 2-pt shot from 14 ft
9:18.0,Shooting foul by S. Adams (drawn by T. Duncan),,68-93,,
9:18.0,T. Duncan makes free throw 1 of 2,1,69-93,,
9:18.0,A. Miller enters the game for P. Mills,,69-93,,
9:18.0,,,69-93,,R. Westbrook enters the game for D. Waiters
9:18.0,T. Duncan makes free throw 2 of 2,1,70-93,,
9:07.0,,,70-93,,Shooting foul by M. Ginobili (drawn by E. Kanter)
9:07.0,,,70-93,,E. Kanter misses free throw 1 of 2
9:07.0,,,70-93,,Offensive rebound by Team
9:07.0,K. Leonard enters the game for K. Anderson,,70-93,,
9:07.0,,,70-94,1,E. Kanter makes free throw 2 of 2
8:54.0,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili),3,73-94,,
8:42.0,Personal foul by K. Leonard,,73-94,,
8:31.0,,,73-94,,K. Durant misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by A. Miller,,73-94,,
8:17.0,L. Aldridge makes 2-pt shot from 3 ft,2,75-94,,
8:00.0,,,75-94,,E. Kanter misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by L. Aldridge,,75-94,,
7:49.0,T. Duncan makes 2-pt shot from 4 ft (assist by A. Miller),2,77-94,,
7:49.0,,,77-94,,Oklahoma City full timeout
7:49.0,,,77-94,,S. Ibaka enters the game for E. Kanter
7:49.0,,,77-94,,A. Roberson enters the game for R. Foye
7:38.0,,,77-94,,K. Durant misses 2-pt shot from 17 ft
7:33.0,Defensive rebound by K. Leonard,,77-94,,
7:20.0,D. Green enters the game for M. Ginobili,,77-94,,
7:10.0,K. Leonard misses 2-pt shot from 16 ft,,77-94,,
7:09.0,Offensive rebound by A. Miller,,77-94,,
7:08.0,A. Miller makes 2-pt shot at rim,2,79-94,,
6:56.0,,,79-94,,R. Westbrook misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by K. Leonard,,79-94,,
6:50.0,Turnover by K. Leonard (lost ball; steal by R. Westbrook),,79-94,,
6:45.0,,,79-96,2,K. Durant makes 2-pt shot from 4 ft (assist by S. Ibaka)
6:45.0,,,79-96,,Shooting foul by A. Miller (drawn by K. Durant)
6:45.0,,,79-96,,E. Kanter enters the game for S. Adams
6:45.0,,,79-97,1,K. Durant makes free throw 1 of 1
6:33.0,Shooting foul by A. Roberson (drawn by K. Leonard),,79-97,,
6:33.0,K. Leonard misses free throw 1 of 2,,79-97,,
6:33.0,Offensive rebound by Team,,79-97,,
6:33.0,K. Leonard makes free throw 2 of 2,1,80-97,,
6:09.0,,,80-97,,A. Roberson misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by T. Duncan,,80-97,,
5:54.0,K. Leonard makes 2-pt shot from 2 ft,2,82-97,,
5:33.0,,,82-97,,R. Westbrook misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by L. Aldridge,,82-97,,
5:23.0,T. Duncan makes 2-pt shot from 2 ft (assist by A. Miller),2,84-97,,
