time,San Antonio,pts.away,score,pts.home,Philadelphia
1:20.0,D. Green makes 3-pt shot from 23 ft (assist by P. Mills),3,26-15,,
1:09.0,,,26-15,,Turnover by N. Stauskas (lost ball; steal by D. West)
1:05.0,J. Simmons makes 2-pt shot at rim (assist by D. Green),2,28-15,,
0:59.0,,,28-17,2,T. McConnell makes 2-pt shot from 13 ft
0:41.0,B. Diaw makes 3-pt shot from 26 ft (assist by D. West),3,31-17,,
0:31.0,,,31-17,,N. Stauskas misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by P. Mills,,31-17,,
0:27.0,K. Anderson enters the game for D. Green,,31-17,,
0:08.0,,,31-17,,Personal foul by R. Holmes (drawn by J. Simmons)
0:08.0,J. Simmons makes free throw 1 of 2,1,32-17,,
0:08.0,,,32-17,,R. Covington enters the game for R. Holmes
0:08.0,J. Simmons makes free throw 2 of 2,1,33-17,,
0:01.0,,,33-17,,T. McConnell misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by D. West,,33-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,33-19,2,N. Noel makes 2-pt shot at rim (assist by I. Canaan)
11:14.0,D. West makes 2-pt shot from 12 ft (assist by J. Simmons),2,35-19,,
11:00.0,,,35-19,,T. McConnell misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by B. Diaw,,35-19,,
10:40.0,D. West makes 2-pt shot from 4 ft,2,37-19,,
10:24.0,Personal foul by K. Anderson (drawn by H. Thompson),,37-19,,
10:24.0,,,37-19,,T. Wroten enters the game for T. McConnell
10:24.0,,,37-19,,Philadelphia full timeout
10:24.0,M. Bonner enters the game for B. Diaw,,37-19,,
10:13.0,,,37-19,,N. Noel misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by D. West,,37-19,,
10:10.0,Shooting foul by H. Thompson (drawn by J. Simmons),,37-19,,
10:10.0,J. Simmons makes free throw 1 of 2,1,38-19,,
10:10.0,J. Simmons misses free throw 2 of 2,,38-19,,
10:07.0,,,38-19,,Defensive rebound by R. Covington
10:01.0,Personal foul by J. Simmons (drawn by T. Wroten),,38-19,,
10:01.0,,,38-19,,J. Okafor enters the game for H. Thompson
9:50.0,,,38-19,,T. Wroten misses 2-pt shot from 1 ft
9:49.0,Defensive rebound by Team,,38-19,,
9:32.0,P. Mills misses 3-pt shot from 26 ft,,38-19,,
9:30.0,,,38-19,,Defensive rebound by R. Covington
9:12.0,,,38-19,,Turnover by N. Noel (back court)
8:55.0,M. Bonner makes 2-pt shot from 13 ft (assist by J. Simmons),2,40-19,,
8:42.0,,,40-19,,Turnover by R. Covington (traveling)
8:30.0,D. West makes 2-pt shot from 15 ft (assist by P. Mills),2,42-19,,
8:29.0,,,42-19,,Philadelphia full timeout
8:29.0,T. Parker enters the game for P. Mills,,42-19,,
8:29.0,R. Butler enters the game for K. Anderson,,42-19,,
8:12.0,,,42-19,,J. Okafor misses 2-pt shot from 14 ft
8:10.0,Defensive rebound by J. Simmons,,42-19,,
7:53.0,J. Simmons misses 2-pt shot from 5 ft (block by N. Noel),,42-19,,
7:51.0,Offensive rebound by J. Simmons,,42-19,,
7:51.0,J. Simmons misses 2-pt shot from 1 ft,,42-19,,
7:49.0,Offensive rebound by D. West,,42-19,,
7:45.0,Turnover by J. Simmons (traveling),,42-19,,
7:36.0,,,42-19,,Shooting foul by D. West (drawn by T. Wroten)
7:36.0,,,42-20,1,T. Wroten makes free throw 1 of 2
7:36.0,D. Green enters the game for J. Simmons,,42-20,,
7:36.0,L. Aldridge enters the game for D. West,,42-20,,
7:36.0,,,42-21,1,T. Wroten makes free throw 2 of 2
7:19.0,M. Bonner misses 3-pt shot from 27 ft,,42-21,,
7:18.0,,,42-21,,Defensive rebound by J. Okafor
7:06.0,,,42-21,,J. Okafor misses 2-pt shot from 2 ft
7:04.0,Defensive rebound by D. Green,,42-21,,
6:52.0,D. Green misses 3-pt shot from 25 ft,,42-21,,
6:51.0,,,42-21,,Defensive rebound by N. Noel
6:38.0,,,42-21,,I. Canaan misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by T. Parker,,42-21,,
6:30.0,R. Butler makes 3-pt shot from 23 ft (assist by M. Bonner),3,45-21,,
6:11.0,,,45-23,2,N. Noel makes 2-pt shot at rim (assist by T. Wroten)
5:53.0,M. Bonner makes 2-pt shot at rim (assist by L. Aldridge),2,47-23,,
5:30.0,,,47-23,,I. Canaan misses 2-pt shot from 13 ft
5:28.0,Defensive rebound by T. Parker,,47-23,,
5:16.0,L. Aldridge makes 2-pt shot from 7 ft,2,49-23,,
4:57.0,,,49-23,,R. Covington misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by T. Parker,,49-23,,
4:47.0,L. Aldridge makes 2-pt shot at rim (assist by R. Butler),2,51-23,,
4:46.0,,,51-23,,Philadelphia full timeout
4:46.0,R. McCallum enters the game for D. Green,,51-23,,
4:46.0,,,51-23,,N. Stauskas enters the game for N. Noel
4:46.0,,,51-23,,R. Holmes enters the game for J. Okafor
4:46.0,,,51-23,,J. Grant enters the game for T. Wroten
4:32.0,,,51-25,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Canaan)
4:11.0,T. Parker makes 2-pt shot from 18 ft,2,53-25,,
3:57.0,,,53-25,,R. Holmes misses 2-pt shot from 2 ft
3:55.0,,,53-25,,Offensive rebound by R. Holmes
3:55.0,,,53-27,2,R. Holmes makes 2-pt shot from 1 ft
3:40.0,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker),2,55-27,,
3:26.0,,,55-27,,R. Holmes misses 2-pt shot from 4 ft
3:24.0,Defensive rebound by L. Aldridge,,55-27,,
3:10.0,T. Parker makes 2-pt shot from 9 ft,2,57-27,,
2:47.0,,,57-29,2,N. Stauskas makes 2-pt shot from 12 ft (assist by I. Canaan)
2:22.0,,,57-29,,Personal foul by R. Holmes (drawn by L. Aldridge)
2:22.0,Official timeout,,57-29,,
2:22.0,D. West enters the game for M. Bonner,,57-29,,
2:10.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. West),2,59-29,,
1:53.0,,,59-29,,I. Canaan misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by T. Parker,,59-29,,
1:34.0,T. Parker misses 2-pt shot from 13 ft,,59-29,,
1:32.0,Offensive rebound by D. West,,59-29,,
1:22.0,L. Aldridge makes 2-pt shot from 2 ft,2,61-29,,
1:04.0,,,61-29,,R. Holmes misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by R. Butler,,61-29,,
0:40.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,63-29,,
0:34.0,,,63-29,,I. Canaan misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by L. Aldridge,,63-29,,
0:09.0,R. Butler misses 3-pt shot from 24 ft,,63-29,,
0:08.0,,,63-29,,Defensive rebound by R. Covington
0:03.0,,,63-29,,Turnover by R. Covington (lost ball; steal by D. West)
0:03.0,,,63-29,,Personal foul by R. Covington (drawn by T. Parker)
0:00.0,R. Butler makes 2-pt shot from 13 ft (assist by D. West),2,65-29,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by L. Aldridge (drawn by J. Okafor),,65-29,,
11:33.0,,,65-31,2,N. Noel makes 2-pt shot from 2 ft (assist by I. Canaan)
11:18.0,Shooting foul by N. Noel (drawn by L. Aldridge),,65-31,,
11:18.0,L. Aldridge makes free throw 1 of 2,1,66-31,,
11:18.0,L. Aldridge makes free throw 2 of 2,1,67-31,,
10:59.0,,,67-31,,Shooting foul by L. Aldridge (drawn by J. Okafor)
10:59.0,,,67-32,1,J. Okafor makes free throw 1 of 2
10:59.0,,,67-32,,J. Okafor misses free throw 2 of 2
10:58.0,,,67-32,,Offensive rebound by J. Grant
10:54.0,,,67-34,2,J. Grant makes 2-pt shot from 1 ft
10:38.0,,,67-34,,Personal foul by R. Covington (drawn by M. Bonner)
10:26.0,K. Anderson makes 2-pt shot at rim (assist by P. Mills),2,69-34,,
10:12.0,,,69-36,2,J. Okafor makes 2-pt shot from 9 ft
10:10.0,,,69-36,,Violation by Team (delay of game)
9:54.0,P. Mills makes 2-pt shot from 18 ft,2,71-36,,
9:34.0,,,71-38,2,N. Noel makes 2-pt shot at rim (assist by I. Canaan)
9:14.0,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Mills),2,73-38,,
8:58.0,,,73-38,,Shooting foul by K. Anderson (drawn by J. Grant)
8:58.0,,,73-39,1,J. Grant makes free throw 1 of 2
8:58.0,J. Simmons enters the game for K. Anderson,,73-39,,
8:58.0,,,73-39,,J. Grant misses free throw 2 of 2
8:57.0,Defensive rebound by J. Simmons,,73-39,,
8:36.0,J. Simmons misses 2-pt shot from 5 ft,,73-39,,
8:34.0,Offensive rebound by J. Simmons,,73-39,,
8:34.0,J. Simmons misses 2-pt shot from 3 ft,,73-39,,
8:32.0,,,73-39,,Defensive rebound by N. Noel
8:27.0,,,73-39,,Offensive charge foul by J. Grant
8:27.0,,,73-39,,Turnover by J. Grant (offensive foul)
8:11.0,L. Aldridge makes 2-pt shot from 14 ft,2,75-39,,
7:53.0,,,75-39,,J. Grant misses 3-pt shot from 23 ft
7:51.0,,,75-39,,Offensive rebound by N. Noel
7:45.0,,,75-39,,I. Canaan misses 3-pt shot from 27 ft
7:45.0,Defensive rebound by Team,,75-39,,
7:45.0,San Antonio full timeout,,75-39,,
7:45.0,R. McCallum enters the game for L. Aldridge,,75-39,,
7:45.0,R. Butler enters the game for D. Green,,75-39,,
7:45.0,B. Marjanovic enters the game for P. Mills,,75-39,,
7:32.0,Turnover by B. Marjanovic (traveling),,75-39,,
7:32.0,,,75-39,,T. Wroten enters the game for I. Canaan
7:32.0,,,75-39,,H. Thompson enters the game for N. Noel
7:21.0,Personal foul by J. Simmons (drawn by H. Thompson),,75-39,,
7:14.0,,,75-39,,T. Wroten misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by R. McCallum,,75-39,,
6:56.0,R. McCallum makes 2-pt shot from 15 ft (assist by B. Marjanovic),2,77-39,,
6:34.0,,,77-39,,J. Okafor misses 2-pt shot from 3 ft
6:32.0,Defensive rebound by B. Marjanovic,,77-39,,
6:27.0,Shooting foul by T. Wroten (drawn by R. McCallum),,77-39,,
6:27.0,R. McCallum makes free throw 1 of 2,1,78-39,,
6:27.0,R. McCallum makes free throw 2 of 2,1,79-39,,
6:11.0,,,79-41,2,J. Okafor makes 2-pt shot from 2 ft (assist by R. Covington)
5:53.0,J. Simmons misses 2-pt shot from 18 ft,,79-41,,
5:51.0,,,79-41,,Defensive rebound by J. Grant
5:43.0,,,79-44,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. Wroten)
5:30.0,,,79-44,,Personal foul by T. Wroten (drawn by R. McCallum)
5:30.0,,,79-44,,N. Stauskas enters the game for R. Covington
5:30.0,,,79-44,,N. Noel enters the game for J. Okafor
5:19.0,J. Simmons misses 2-pt shot from 8 ft,,79-44,,
5:17.0,,,79-44,,Defensive rebound by N. Stauskas
5:10.0,,,79-44,,Shooting foul by B. Marjanovic (drawn by T. Wroten)
5:10.0,,,79-44,,T. Wroten misses free throw 1 of 2
5:10.0,,,79-44,,Offensive rebound by Team
5:10.0,,,79-44,,T. Wroten misses free throw 2 of 2
5:09.0,Defensive rebound by M. Bonner,,79-44,,
4:55.0,Turnover by R. McCallum (bad pass; steal by N. Noel),,79-44,,
4:50.0,,,79-47,3,N. Stauskas makes 3-pt shot from 26 ft (assist by N. Noel)
4:30.0,R. Butler makes 2-pt shot from 7 ft,2,81-47,,
4:15.0,,,81-47,,Shooting foul by B. Marjanovic (drawn by N. Noel)
4:15.0,,,81-47,,N. Noel misses free throw 1 of 2
4:15.0,,,81-47,,Offensive rebound by Team
4:15.0,,,81-47,,J. Sampson enters the game for J. Grant
4:15.0,B. Diaw enters the game for M. Bonner,,81-47,,
4:15.0,,,81-48,1,N. Noel makes free throw 2 of 2
4:03.0,B. Marjanovic makes 2-pt shot from 10 ft,2,83-48,,
3:54.0,,,83-48,,Turnover by T. Wroten (bad pass; steal by B. Marjanovic)
3:35.0,B. Marjanovic misses 2-pt shot from 15 ft,,83-48,,
3:33.0,Offensive rebound by B. Diaw,,83-48,,
3:23.0,B. Marjanovic makes 2-pt shot at rim (assist by B. Diaw),2,85-48,,
3:23.0,Shooting foul by J. Sampson (drawn by B. Marjanovic),,85-48,,
3:23.0,B. Marjanovic makes free throw 1 of 1,1,86-48,,
3:23.0,,,86-48,,Philadelphia full timeout
3:23.0,,,86-48,,T. McConnell enters the game for T. Wroten
3:13.0,,,86-50,2,N. Stauskas makes 2-pt shot from 13 ft
2:53.0,Turnover by B. Marjanovic (lost ball; steal by N. Noel),,86-50,,
2:49.0,,,86-50,,Shooting foul by R. Butler (drawn by J. Sampson)
2:49.0,,,86-50,,J. Sampson misses free throw 1 of 2
2:49.0,,,86-50,,Offensive rebound by Team
2:49.0,K. Anderson enters the game for J. Simmons,,86-50,,
2:49.0,,,86-50,,J. Sampson misses free throw 2 of 2
2:48.0,,,86-50,,Offensive rebound by N. Noel
2:36.0,,,86-50,,N. Stauskas misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by R. McCallum,,86-50,,
2:16.0,B. Diaw makes 2-pt shot from 6 ft (assist by R. McCallum),2,88-50,,
1:58.0,,,88-50,,H. Thompson misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by K. Anderson,,88-50,,
1:49.0,,,88-50,,Personal foul by N. Noel (drawn by K. Anderson)
1:49.0,K. Anderson makes free throw 1 of 2,1,89-50,,
1:49.0,K. Anderson misses free throw 2 of 2,,89-50,,
1:48.0,,,89-50,,Defensive rebound by T. McConnell
1:35.0,,,89-50,,N. Noel misses 2-pt shot from 5 ft
1:33.0,Defensive rebound by R. Butler,,89-50,,
1:25.0,B. Marjanovic makes 2-pt shot from 4 ft,2,91-50,,
1:25.0,Shooting foul by N. Noel (drawn by B. Marjanovic),,91-50,,
1:25.0,B. Marjanovic makes free throw 1 of 1,1,92-50,,
1:05.0,,,92-52,2,N. Noel makes 2-pt shot from 14 ft
0:43.0,K. Anderson makes 2-pt shot from 2 ft (assist by B. Diaw),2,94-52,,
0:43.0,Shooting foul by J. Sampson (drawn by K. Anderson),,94-52,,
0:43.0,K. Anderson makes free throw 1 of 1,1,95-52,,
0:37.0,,,95-52,,H. Thompson misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by R. McCallum,,95-52,,
0:12.0,Shooting foul by N. Stauskas (drawn by K. Anderson),,95-52,,
0:12.0,K. Anderson misses free throw 1 of 2,,95-52,,
0:12.0,Offensive rebound by Team,,95-52,,
0:12.0,K. Anderson makes free throw 2 of 2,1,96-52,,
0:03.0,,,96-52,,H. Thompson misses 2-pt shot from 10 ft
0:01.0,,,96-52,,Offensive rebound by Team
0:01.0,,,96-52,,H. Thompson misses 2-pt shot from 10 ft
0:00.0,,,96-52,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,R. Butler misses 2-pt shot from 13 ft,,96-52,,
11:41.0,,,96-52,,Defensive rebound by J. Okafor
11:20.0,,,96-52,,R. Covington misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by Team,,96-52,,
11:19.0,Turnover by B. Diaw (inbound),,96-52,,
11:11.0,,,96-52,,J. Okafor misses 2-pt shot from 12 ft
11:08.0,,,96-52,,Offensive rebound by R. Covington
11:08.0,,,96-54,2,R. Covington makes 2-pt shot from 2 ft
10:53.0,B. Marjanovic makes 2-pt shot from 16 ft (assist by R. McCallum),2,98-54,,
10:36.0,,,98-54,,R. Holmes misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by R. McCallum,,98-54,,
10:26.0,B. Marjanovic makes 2-pt shot from 4 ft (assist by B. Diaw),2,100-54,,
10:14.0,,,100-56,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
9:59.0,B. Marjanovic misses 2-pt shot from 10 ft,,100-56,,
9:57.0,,,100-56,,Defensive rebound by T. McConnell
9:46.0,,,100-56,,Shooting foul by B. Marjanovic (drawn by J. Okafor)
9:46.0,,,100-57,1,J. Okafor makes free throw 1 of 2
9:46.0,M. Bonner enters the game for B. Diaw,,100-57,,
9:46.0,J. Simmons enters the game for R. Butler,,100-57,,
9:46.0,,,100-57,,J. Okafor misses free throw 2 of 2
9:45.0,,,100-57,,Offensive rebound by Team
9:24.0,,,100-59,2,J. Okafor makes 2-pt shot from 4 ft
9:00.0,J. Simmons misses 2-pt shot from 16 ft,,100-59,,
8:58.0,Offensive rebound by B. Marjanovic,,100-59,,
8:40.0,J. Simmons makes 2-pt shot from 2 ft (assist by M. Bonner),2,102-59,,
8:25.0,,,102-59,,Shooting foul by B. Marjanovic (drawn by J. Okafor)
8:25.0,Official timeout,,102-59,,
8:25.0,Violation by Team (delay of game),,102-59,,
8:25.0,,,102-60,1,J. Okafor makes free throw 1 of 2
8:25.0,R. Butler enters the game for B. Marjanovic,,102-60,,
8:25.0,,,102-61,1,J. Okafor makes free throw 2 of 2
8:02.0,J. Simmons misses 2-pt shot from 12 ft,,102-61,,
8:01.0,,,102-61,,Defensive rebound by J. Okafor
7:50.0,,,102-61,,Turnover by R. Holmes (traveling)
7:50.0,,,102-61,,N. Stauskas enters the game for I. Canaan
7:50.0,,,102-61,,J. Sampson enters the game for R. Covington
7:29.0,K. Anderson misses 2-pt shot from 12 ft,,102-61,,
7:25.0,,,102-61,,Defensive rebound by R. Holmes
7:13.0,,,102-61,,T. McConnell misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by R. Butler,,102-61,,
7:02.0,M. Bonner makes 2-pt shot from 15 ft (assist by R. McCallum),2,104-61,,
7:00.0,,,104-61,,Philadelphia full timeout
7:00.0,,,104-61,,I. Canaan enters the game for T. McConnell
6:49.0,,,104-61,,Turnover by J. Okafor (lost ball)
6:34.0,J. Simmons makes 2-pt shot from 3 ft (assist by M. Bonner),2,106-61,,
6:08.0,,,106-61,,N. Stauskas misses 2-pt shot from 2 ft (block by R. Butler)
6:08.0,,,106-61,,Offensive rebound by Team
6:05.0,,,106-61,,N. Stauskas misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by R. McCallum,,106-61,,
5:53.0,Shooting foul by N. Stauskas (drawn by R. McCallum),,106-61,,
5:53.0,R. McCallum makes free throw 1 of 2,1,107-61,,
5:53.0,B. Marjanovic enters the game for M. Bonner,,107-61,,
5:53.0,R. McCallum makes free throw 2 of 2,1,108-61,,
5:45.0,,,108-61,,N. Stauskas misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by K. Anderson,,108-61,,
5:32.0,Shooting foul by J. Sampson (drawn by J. Simmons),,108-61,,
5:32.0,J. Simmons makes free throw 1 of 2,1,109-61,,
5:32.0,,,109-61,,H. Thompson enters the game for I. Canaan
5:32.0,J. Simmons misses free throw 2 of 2,,109-61,,
5:31.0,,,109-61,,Defensive rebound by R. Holmes
5:10.0,,,109-61,,J. Okafor misses 2-pt shot from 7 ft
5:08.0,Defensive rebound by R. Butler,,109-61,,
4:54.0,,,109-61,,Personal foul by N. Stauskas (drawn by J. Simmons)
4:40.0,R. Butler misses 2-pt shot from 15 ft,,109-61,,
4:38.0,,,109-61,,Defensive rebound by J. Sampson
4:33.0,,,109-63,2,J. Sampson makes 2-pt shot from 2 ft
4:33.0,,,109-63,,Shooting foul by J. Simmons (drawn by J. Sampson)
4:33.0,,,109-64,1,J. Sampson makes free throw 1 of 1
4:16.0,K. Anderson misses 2-pt shot from 2 ft,,109-64,,
4:14.0,Offensive rebound by B. Marjanovic,,109-64,,
4:14.0,B. Marjanovic makes 2-pt shot at rim,2,111-64,,
4:01.0,,,111-64,,Offensive foul by R. Holmes
4:01.0,,,111-64,,Turnover by R. Holmes (offensive foul)
3:43.0,B. Marjanovic makes 2-pt shot from 11 ft (assist by K. Anderson),2,113-64,,
3:27.0,,,113-64,,J. Sampson misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by R. Butler,,113-64,,
3:08.0,J. Simmons misses 2-pt shot from 2 ft,,113-64,,
3:06.0,,,113-64,,Defensive rebound by H. Thompson
2:47.0,,,113-64,,J. Okafor misses 2-pt shot from 1 ft
2:45.0,,,113-64,,Offensive rebound by Team
2:45.0,San Antonio full timeout,,113-64,,
2:38.0,,,113-64,,J. Okafor misses 2-pt shot from 5 ft
2:36.0,Defensive rebound by B. Marjanovic,,113-64,,
2:15.0,R. McCallum misses 3-pt shot from 26 ft,,113-64,,
2:13.0,,,113-64,,Defensive rebound by J. Okafor
1:56.0,,,113-64,,H. Thompson misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by K. Anderson,,113-64,,
1:36.0,Shooting foul by N. Stauskas (drawn by J. Simmons),,113-64,,
1:36.0,J. Simmons makes free throw 1 of 2,1,114-64,,
1:36.0,J. Simmons makes free throw 2 of 2,1,115-64,,
1:15.0,,,115-64,,Shooting foul by J. Simmons (drawn by N. Stauskas)
1:15.0,,,115-65,1,N. Stauskas makes free throw 1 of 2
1:15.0,,,115-66,1,N. Stauskas makes free throw 2 of 2
0:55.0,J. Simmons makes 2-pt shot from 2 ft (assist by R. Butler),2,117-66,,
0:45.0,,,117-68,2,J. Sampson makes 2-pt shot from 2 ft (assist by J. Okafor)
0:21.0,B. Marjanovic makes 2-pt shot from 19 ft,2,119-68,,
0:05.0,,,119-68,,Turnover by J. Sampson (bad pass; steal by B. Marjanovic)
