time,San Antonio,pts.away,score,pts.home,Brooklyn
3:52.0,,,96-69,,Defensive rebound by B. Bogdanovic
3:43.0,,,96-69,,B. Bogdanovic misses 2-pt shot from 2 ft
3:42.0,,,96-69,,Offensive rebound by T. Robinson
3:41.0,,,96-71,2,T. Robinson makes 2-pt shot from 1 ft
3:14.0,D. West makes 2-pt shot from 16 ft,2,98-71,,
2:55.0,,,98-73,2,A. Bargnani makes 2-pt shot from 18 ft (assist by S. Larkin)
2:38.0,M. Bonner misses 2-pt shot from 2 ft,,98-73,,
2:37.0,Offensive rebound by B. Marjanovic,,98-73,,
2:36.0,B. Marjanovic makes 2-pt shot at rim,2,100-73,,
2:14.0,,,100-73,,Turnover by S. Larkin (bad pass; steal by D. Green)
2:10.0,D. West makes 2-pt shot from 2 ft (assist by D. Green),2,102-73,,
2:10.0,,,102-73,,Brooklyn full timeout
2:10.0,J. Simmons enters the game for D. Green,,102-73,,
1:58.0,,,102-75,2,T. Robinson makes 2-pt shot from 1 ft (assist by S. Larkin)
1:52.0,Turnover by K. Anderson (bad pass),,102-75,,
1:39.0,,,102-75,,T. Robinson misses 2-pt shot from 16 ft
1:38.0,Defensive rebound by B. Marjanovic,,102-75,,
1:34.0,Offensive charge foul by B. Marjanovic,,102-75,,
1:34.0,Turnover by B. Marjanovic (offensive foul),,102-75,,
1:14.0,,,102-75,,A. Bargnani misses 2-pt shot from 19 ft
1:13.0,,,102-75,,Offensive rebound by S. Larkin
1:05.0,,,102-77,2,T. Robinson makes 2-pt shot from 1 ft (assist by M. Brown)
0:49.0,B. Marjanovic makes 2-pt shot at rim (assist by K. Anderson),2,104-77,,
0:40.0,,,104-79,2,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin)
