time,Indiana,pts.away,score,pts.home,Milwaukee
7:39.0,,,5-6,,Defensive rebound by Team
7:39.0,Loose ball foul by I. Mahinmi (drawn by M. Plumlee),,5-6,,
7:28.0,,,5-6,,J. Parker misses 2-pt shot at rim (block by M. Turner)
7:26.0,Defensive rebound by P. George,,5-6,,
7:12.0,Turnover by M. Turner (lost ball),,5-6,,
7:12.0,J. Hill enters the game for I. Mahinmi,,5-6,,
7:03.0,,,5-8,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:03.0,Indiana full timeout,,5-8,,
6:51.0,Turnover by P. George (bad pass),,5-8,,
6:43.0,,,5-8,,Turnover by J. Parker (lost ball)
6:43.0,Jump ball: M. Plumlee vs. M. Turner (P. George gains possession),,,,Jump ball: M. Plumlee vs. M. Turner (P. George gains possession)
6:26.0,G. Hill misses 3-pt shot from 24 ft,,5-8,,
6:24.0,,,5-8,,Defensive rebound by M. Plumlee
6:18.0,,,5-8,,O. Mayo misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by P. George,,5-8,,
6:09.0,,,5-8,,Personal foul by G. Antetokounmpo (drawn by M. Turner)
6:09.0,,,5-8,,J. Bayless enters the game for O. Mayo
6:09.0,,,5-8,,G. Monroe enters the game for M. Plumlee
5:59.0,M. Ellis misses 2-pt shot from 21 ft,,5-8,,
5:58.0,Offensive rebound by J. Hill,,5-8,,
5:48.0,P. George misses 2-pt shot from 16 ft,,5-8,,
5:45.0,,,5-8,,Defensive rebound by G. Monroe
5:36.0,,,5-8,,G. Antetokounmpo misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by G. Hill,,5-8,,
5:20.0,P. George makes 3-pt shot from 23 ft (assist by J. Hill),3,8-8,,
5:05.0,Violation by G. Hill (kicked ball),,8-8,,
4:56.0,,,8-8,,Shooting foul by J. Hill (drawn by J. Parker)
4:56.0,,,8-9,1,J. Parker makes free throw 1 of 2
4:56.0,,,8-9,,O. Mayo enters the game for G. Antetokounmpo
4:56.0,,,8-10,1,J. Parker makes free throw 2 of 2
4:34.0,P. George misses 2-pt shot at rim,,8-10,,
4:32.0,,,8-10,,Defensive rebound by G. Monroe
4:19.0,,,8-10,,J. Bayless misses 3-pt shot from 24 ft
4:17.0,,,8-10,,Offensive rebound by Team
4:15.0,,,8-10,,Turnover by J. Parker (back court)
3:54.0,J. Hill makes 2-pt shot from 9 ft (assist by M. Ellis),2,10-10,,
3:34.0,,,10-10,,G. Monroe misses 2-pt shot from 8 ft
3:32.0,Defensive rebound by P. George,,10-10,,
3:17.0,P. George misses 2-pt shot from 20 ft,,10-10,,
3:15.0,,,10-10,,Defensive rebound by J. Parker
3:07.0,,,10-12,2,J. Parker makes 2-pt shot from 13 ft (assist by J. Bayless)
2:50.0,,,10-12,,Personal foul by J. Bayless (drawn by J. Hill)
2:50.0,,,10-12,,Milwaukee full timeout
2:50.0,R. Stuckey enters the game for G. Hill,,10-12,,
2:35.0,Turnover by Team (shot clock),,10-12,,
2:27.0,,,10-12,,Turnover by K. Middleton (bad pass; steal by M. Turner)
2:19.0,J. Hill makes 2-pt shot from 1 ft (assist by M. Ellis),2,12-12,,
1:54.0,,,12-15,3,O. Mayo makes 3-pt shot from 24 ft (assist by K. Middleton)
1:39.0,J. Hill misses 2-pt shot from 5 ft,,12-15,,
1:36.0,Offensive rebound by P. George,,12-15,,
1:36.0,M. Turner makes 2-pt shot from 2 ft,2,14-15,,
1:26.0,,,14-17,2,K. Middleton makes 2-pt shot from 12 ft
1:12.0,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis),2,16-17,,
1:12.0,Shooting foul by J. Parker (drawn by M. Turner),,16-17,,
1:12.0,M. Turner makes free throw 1 of 1,1,17-17,,
1:01.0,,,17-17,,J. Bayless misses 3-pt shot from 24 ft
1:00.0,,,17-17,,Offensive rebound by K. Middleton
0:48.0,,,17-19,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
0:48.0,,,17-19,,Shooting foul by J. Hill (drawn by G. Monroe)
0:48.0,L. Allen enters the game for M. Turner,,17-19,,
0:48.0,,,17-20,1,G. Monroe makes free throw 1 of 1
0:38.0,P. George makes 3-pt shot from 25 ft (assist by R. Stuckey),3,20-20,,
0:32.0,,,20-22,2,K. Middleton makes 2-pt shot from 20 ft
0:15.0,J. Hill makes 2-pt shot from 1 ft (assist by P. George),2,22-22,,
0:00.0,,,22-22,,Turnover by G. Monroe (bad pass)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,22-22,,Personal foul by R. Vaughn (drawn by C. Budinger)
11:48.0,C. Budinger misses 2-pt shot from 5 ft,,22-22,,
11:45.0,Offensive rebound by L. Allen,,22-22,,
11:45.0,L. Allen misses 2-pt shot from 1 ft,,22-22,,
11:44.0,,,22-22,,Defensive rebound by R. Vaughn
11:28.0,,,22-22,,G. Monroe misses 2-pt shot from 6 ft
11:26.0,Defensive rebound by J. Hill,,22-22,,
11:04.0,J. Hill makes 2-pt shot from 13 ft,2,24-22,,
10:46.0,,,24-22,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by G. Hill,,24-22,,
10:30.0,J. Hill makes 2-pt shot from 14 ft (assist by L. Allen),2,26-22,,
10:11.0,,,26-22,,R. Vaughn misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by J. Hill,,26-22,,
9:57.0,G. Hill makes 3-pt shot from 25 ft (assist by L. Allen),3,29-22,,
9:57.0,,,29-22,,Milwaukee full timeout
9:57.0,,,29-22,,M. Plumlee enters the game for G. Monroe
9:42.0,,,29-22,,O. Mayo misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by L. Allen,,29-22,,
9:36.0,G. Hill makes 2-pt shot from 1 ft,2,31-22,,
9:16.0,,,31-24,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:49.0,G. Hill makes 2-pt shot from 21 ft (assist by C. Budinger),2,33-24,,
8:20.0,,,33-24,,J. Bayless misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by L. Allen,,33-24,,
8:00.0,R. Stuckey makes 3-pt shot from 25 ft (assist by G. Hill),3,36-24,,
7:41.0,,,36-26,2,G. Antetokounmpo makes 2-pt shot from 16 ft
7:13.0,Turnover by Team (shot clock),,36-26,,
7:05.0,,,36-28,2,J. Bayless makes 2-pt shot from 1 ft
7:05.0,Indiana full timeout,,36-28,,
7:05.0,S. Hill enters the game for R. Stuckey,,36-28,,
6:48.0,J. Hill misses 2-pt shot from 20 ft,,36-28,,
6:46.0,,,36-28,,Defensive rebound by O. Mayo
6:36.0,,,36-28,,Turnover by G. Antetokounmpo (bad pass; steal by S. Hill)
6:26.0,J. Hill misses 2-pt shot from 10 ft,,36-28,,
6:24.0,Offensive rebound by L. Allen,,36-28,,
6:17.0,C. Budinger misses 3-pt shot from 23 ft,,36-28,,
6:17.0,,,36-28,,Defensive rebound by M. Plumlee
6:17.0,Violation by J. Hill (kicked ball),,36-28,,
6:02.0,,,36-28,,J. Bayless misses 2-pt shot from 10 ft
6:01.0,Defensive rebound by J. Hill,,36-28,,
5:58.0,Shooting foul by R. Vaughn (drawn by C. Budinger),,36-28,,
5:58.0,C. Budinger makes free throw 1 of 2,1,37-28,,
5:58.0,M. Ellis enters the game for G. Hill,,37-28,,
5:58.0,,,37-28,,K. Middleton enters the game for M. Plumlee
5:58.0,,,37-28,,J. Parker enters the game for O. Mayo
5:58.0,,,37-28,,G. Monroe enters the game for R. Vaughn
5:58.0,C. Budinger misses free throw 2 of 2,,37-28,,
5:57.0,Offensive rebound by C. Budinger,,37-28,,
5:55.0,C. Budinger misses 2-pt shot from 3 ft,,37-28,,
5:53.0,Offensive rebound by C. Budinger,,37-28,,
5:50.0,Turnover by C. Budinger (lost ball; steal by G. Monroe),,37-28,,
5:47.0,,,37-30,2,K. Middleton makes 2-pt shot at rim
5:47.0,,,37-30,,Shooting foul by M. Ellis (drawn by K. Middleton)
5:47.0,,,37-31,1,K. Middleton makes free throw 1 of 1
5:30.0,J. Hill misses 2-pt shot from 17 ft,,37-31,,
5:28.0,,,37-31,,Defensive rebound by G. Antetokounmpo
5:21.0,Personal foul by L. Allen (drawn by G. Monroe),,37-31,,
5:21.0,I. Mahinmi enters the game for J. Hill,,37-31,,
5:08.0,,,37-31,,G. Monroe misses 2-pt shot from 2 ft (block by I. Mahinmi)
5:07.0,,,37-31,,Offensive rebound by G. Monroe
5:05.0,,,37-31,,Turnover by Team (shot clock)
4:56.0,M. Ellis misses 2-pt shot from 20 ft,,37-31,,
4:54.0,,,37-31,,Defensive rebound by G. Antetokounmpo
4:48.0,,,37-33,2,G. Antetokounmpo makes 2-pt shot at rim
4:26.0,L. Allen makes 2-pt shot at rim (assist by C. Budinger),2,39-33,,
4:11.0,,,39-35,2,J. Parker makes 2-pt shot from 22 ft (assist by J. Bayless)
3:51.0,I. Mahinmi makes 2-pt shot from 2 ft,2,41-35,,
3:31.0,,,41-37,2,J. Parker makes 2-pt shot from 2 ft (assist by J. Bayless)
3:18.0,S. Hill misses 3-pt shot from 24 ft,,41-37,,
3:15.0,Offensive rebound by L. Allen,,41-37,,
3:13.0,L. Allen makes 2-pt shot from 1 ft,2,43-37,,
2:59.0,,,43-37,,G. Antetokounmpo misses 2-pt shot at rim
2:57.0,Defensive rebound by S. Hill,,43-37,,
2:53.0,C. Budinger makes 2-pt shot from 2 ft (assist by S. Hill),2,45-37,,
2:53.0,,,45-37,,Milwaukee full timeout
2:53.0,Official timeout,,45-37,,
2:53.0,P. George enters the game for L. Allen,,45-37,,
2:53.0,M. Turner enters the game for C. Budinger,,45-37,,
2:29.0,,,45-37,,J. Bayless misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by I. Mahinmi,,45-37,,
2:17.0,Offensive foul by M. Turner,,45-37,,
2:17.0,Turnover by M. Turner (offensive foul),,45-37,,
1:59.0,,,45-39,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
1:33.0,I. Mahinmi misses 2-pt shot at rim,,45-39,,
1:32.0,Offensive rebound by S. Hill,,45-39,,
1:19.0,M. Turner misses 2-pt shot from 19 ft,,45-39,,
1:17.0,,,45-39,,Defensive rebound by J. Parker
1:01.0,,,45-39,,Turnover by K. Middleton (bad pass; steal by S. Hill)
0:56.0,P. George makes 3-pt shot from 24 ft (assist by S. Hill),3,48-39,,
0:38.0,,,48-39,,J. Bayless misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by S. Hill,,48-39,,
0:24.0,Shooting foul by J. Bayless (drawn by P. George),,48-39,,
0:24.0,P. George makes free throw 1 of 2,1,49-39,,
0:24.0,L. Allen enters the game for I. Mahinmi,,49-39,,
0:24.0,P. George misses free throw 2 of 2,,49-39,,
0:24.0,,,49-39,,Defensive rebound by G. Monroe
0:02.0,,,49-39,,Turnover by J. Parker (bad pass; steal by M. Ellis)
0:00.0,M. Ellis misses 3-pt shot from 66 ft,,49-39,,
0:00.0,Offensive rebound by Team,,49-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Turner makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,52-39,,
11:24.0,,,52-39,,G. Antetokounmpo misses 2-pt shot from 19 ft
11:22.0,Defensive rebound by I. Mahinmi,,52-39,,
11:13.0,Turnover by P. George (bad pass; steal by G. Antetokounmpo),,52-39,,
11:07.0,,,52-39,,J. Parker misses 2-pt shot from 2 ft (block by M. Turner)
11:03.0,Defensive rebound by I. Mahinmi,,52-39,,
10:47.0,Turnover by M. Ellis (bad pass; steal by O. Mayo),,52-39,,
10:30.0,,,52-39,,K. Middleton misses 2-pt shot from 18 ft
10:29.0,Defensive rebound by M. Ellis,,52-39,,
10:10.0,Turnover by M. Turner (lost ball),,52-39,,
9:53.0,,,52-39,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by M. Ellis,,52-39,,
9:45.0,M. Ellis makes 2-pt shot from 2 ft,2,54-39,,
9:25.0,,,54-39,,Shooting foul by I. Mahinmi (drawn by K. Middleton)
9:25.0,,,54-40,1,K. Middleton makes free throw 1 of 2
9:25.0,,,54-40,,K. Middleton misses free throw 2 of 2
9:24.0,Defensive rebound by I. Mahinmi,,54-40,,
9:03.0,M. Turner misses 2-pt shot from 18 ft,,54-40,,
9:02.0,,,54-40,,Defensive rebound by K. Middleton
8:56.0,,,54-40,,K. Middleton misses 2-pt shot from 2 ft
8:53.0,,,54-40,,Offensive rebound by M. Plumlee
8:53.0,,,54-42,2,M. Plumlee makes 2-pt shot from 2 ft
8:33.0,Turnover by P. George (lost ball),,54-42,,
8:19.0,,,54-42,,K. Middleton misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by M. Turner,,54-42,,
8:09.0,,,54-42,,Personal foul by M. Plumlee (drawn by I. Mahinmi)
7:59.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Turner),2,56-42,,
7:59.0,Shooting foul by O. Mayo (drawn by I. Mahinmi),,56-42,,
7:59.0,I. Mahinmi makes free throw 1 of 1,1,57-42,,
7:42.0,,,57-42,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by I. Mahinmi,,57-42,,
7:28.0,M. Ellis makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,60-42,,
7:27.0,,,60-42,,Milwaukee full timeout
7:27.0,,,60-42,,G. Monroe enters the game for M. Plumlee
7:17.0,,,60-42,,J. Parker misses 2-pt shot from 8 ft
7:16.0,Defensive rebound by I. Mahinmi,,60-42,,
6:50.0,M. Turner misses 2-pt shot from 20 ft,,60-42,,
6:49.0,,,60-42,,Defensive rebound by G. Monroe
6:42.0,Personal foul by M. Ellis (drawn by O. Mayo),,60-42,,
6:28.0,,,60-42,,G. Monroe misses 2-pt shot from 8 ft
6:27.0,Defensive rebound by P. George,,60-42,,
6:14.0,P. George misses 3-pt shot from 24 ft,,60-42,,
6:13.0,,,60-42,,Defensive rebound by O. Mayo
6:05.0,,,60-42,,Shooting foul by M. Turner (drawn by G. Antetokounmpo)
6:05.0,,,60-43,1,G. Antetokounmpo makes free throw 1 of 2
6:05.0,,,60-44,1,G. Antetokounmpo makes free throw 2 of 2
5:54.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,63-44,,
5:38.0,,,63-46,2,J. Parker makes 2-pt shot from 4 ft
5:17.0,P. George misses 2-pt shot from 18 ft,,63-46,,
5:15.0,,,63-46,,Defensive rebound by O. Mayo
5:10.0,,,63-46,,K. Middleton misses 2-pt shot from 2 ft (block by I. Mahinmi)
5:05.0,,,63-46,,Offensive rebound by J. Parker
5:00.0,,,63-48,2,J. Parker makes 2-pt shot from 1 ft
4:50.0,Turnover by P. George (lost ball; steal by J. Parker),,63-48,,
4:46.0,,,63-50,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
4:46.0,Indiana full timeout,,63-50,,
4:37.0,M. Turner misses 2-pt shot at rim,,63-50,,
4:34.0,,,63-50,,Defensive rebound by G. Monroe
4:15.0,,,63-52,2,G. Antetokounmpo makes 2-pt shot from 2 ft
3:54.0,P. George misses 3-pt shot from 25 ft,,63-52,,
3:53.0,,,63-52,,Defensive rebound by K. Middleton
3:46.0,,,63-52,,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo)
3:46.0,,,63-53,1,G. Antetokounmpo makes free throw 1 of 2
3:46.0,R. Stuckey enters the game for G. Hill,,63-53,,
3:46.0,J. Hill enters the game for I. Mahinmi,,63-53,,
3:46.0,,,63-54,1,G. Antetokounmpo makes free throw 2 of 2
3:22.0,P. George misses 2-pt shot from 16 ft,,63-54,,
3:21.0,,,63-54,,Defensive rebound by K. Middleton
3:15.0,,,63-56,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
2:55.0,J. Hill makes 2-pt shot from 4 ft (assist by P. George),2,65-56,,
2:36.0,,,65-56,,K. Middleton misses 2-pt shot from 17 ft
2:34.0,,,65-56,,Offensive rebound by J. Parker
2:22.0,,,65-56,,O. Mayo misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by J. Hill,,65-56,,
2:12.0,M. Turner makes 2-pt shot from 13 ft (assist by P. George),2,67-56,,
1:54.0,,,67-56,,G. Antetokounmpo misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by M. Turner,,67-56,,
1:39.0,P. George misses 3-pt shot from 24 ft,,67-56,,
1:37.0,Offensive rebound by M. Turner,,67-56,,
1:37.0,Shooting foul by K. Middleton (drawn by M. Turner),,67-56,,
1:37.0,M. Turner makes free throw 1 of 2,1,68-56,,
1:37.0,,,68-56,,J. Bayless enters the game for G. Antetokounmpo
1:37.0,M. Turner makes free throw 2 of 2,1,69-56,,
1:27.0,,,69-59,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Bayless)
1:16.0,Turnover by P. George (bad pass; steal by J. Parker),,69-59,,
1:16.0,Loose ball foul by P. George (drawn by K. Middleton),,69-59,,
1:16.0,,,69-60,1,K. Middleton makes free throw 1 of 2
1:16.0,L. Allen enters the game for M. Turner,,69-60,,
1:16.0,,,69-61,1,K. Middleton makes free throw 2 of 2
0:53.0,L. Allen makes 2-pt shot from 6 ft (assist by R. Stuckey),2,71-61,,
0:46.0,,,71-61,,K. Middleton misses 3-pt shot from 22 ft
0:45.0,Defensive rebound by J. Hill,,71-61,,
0:33.0,,,71-61,,Personal foul by J. Parker (drawn by L. Allen)
0:33.0,L. Allen makes free throw 1 of 2,1,72-61,,
0:33.0,L. Allen makes free throw 2 of 2,1,73-61,,
0:14.0,,,73-61,,Shooting foul by P. George (drawn by G. Monroe)
0:14.0,,,73-62,1,G. Monroe makes free throw 1 of 2
0:14.0,,,73-63,1,G. Monroe makes free throw 2 of 2
0:01.0,M. Ellis misses 2-pt shot from 13 ft,,73-63,,
0:00.0,,,73-63,,Defensive rebound by G. Monroe
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,73-63,,Offensive foul by O. Mayo
11:50.0,,,73-63,,Turnover by O. Mayo (offensive foul)
11:33.0,Shooting foul by G. Monroe (drawn by J. Hill),,73-63,,
11:33.0,J. Hill makes free throw 1 of 2,1,74-63,,
11:33.0,J. Hill misses free throw 2 of 2,,74-63,,
11:31.0,,,74-63,,Defensive rebound by G. Antetokounmpo
11:18.0,,,74-65,2,G. Monroe makes 2-pt shot from 6 ft
10:56.0,J. Hill makes 2-pt shot from 10 ft (assist by G. Hill),2,76-65,,
10:45.0,Personal foul by L. Allen (drawn by G. Monroe),,76-65,,
10:33.0,,,76-65,,Shooting foul by J. Hill (drawn by G. Monroe)
10:33.0,,,76-66,1,G. Monroe makes free throw 1 of 2
10:33.0,,,76-67,1,G. Monroe makes free throw 2 of 2
10:19.0,Shooting foul by O. Mayo (drawn by J. Hill),,76-67,,
10:19.0,J. Hill makes free throw 1 of 2,1,77-67,,
10:19.0,J. Hill makes free throw 2 of 2,1,78-67,,
10:03.0,,,78-69,2,G. Monroe makes 2-pt shot from 4 ft
9:42.0,R. Stuckey misses 3-pt shot from 23 ft,,78-69,,
9:39.0,Offensive rebound by L. Allen,,78-69,,
9:39.0,L. Allen misses 2-pt shot at rim,,78-69,,
9:38.0,,,78-69,,Defensive rebound by O. Mayo
9:32.0,,,78-71,2,G. Monroe makes 2-pt shot at rim (assist by O. Mayo)
9:12.0,Shooting foul by J. Bayless (drawn by R. Stuckey),,78-71,,
9:12.0,R. Stuckey makes free throw 1 of 2,1,79-71,,
9:12.0,R. Stuckey makes free throw 2 of 2,1,80-71,,
8:58.0,,,80-73,2,G. Monroe makes 2-pt shot from 4 ft (assist by O. Mayo)
8:58.0,,,80-73,,Shooting foul by J. Hill (drawn by G. Monroe)
8:58.0,Official timeout,,80-73,,
8:58.0,I. Mahinmi enters the game for J. Hill,,80-73,,
8:58.0,,,80-74,1,G. Monroe makes free throw 1 of 1
8:54.0,,,80-74,,Personal foul by O. Mayo (drawn by G. Hill)
8:42.0,R. Stuckey makes 2-pt shot from 1 ft,2,82-74,,
8:28.0,,,82-74,,Shooting foul by C. Budinger (drawn by G. Antetokounmpo)
8:28.0,,,82-75,1,G. Antetokounmpo makes free throw 1 of 2
8:28.0,,,82-75,,K. Middleton enters the game for R. Vaughn
8:28.0,,,82-76,1,G. Antetokounmpo makes free throw 2 of 2
8:14.0,R. Stuckey makes 2-pt shot from 10 ft,2,84-76,,
7:56.0,,,84-76,,Turnover by O. Mayo (bad pass; steal by C. Budinger)
7:51.0,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Budinger),2,86-76,,
7:34.0,,,86-79,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
7:11.0,L. Allen misses 2-pt shot from 15 ft (block by G. Antetokounmpo),,86-79,,
7:10.0,,,86-79,,Defensive rebound by O. Mayo
7:03.0,,,86-79,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by R. Stuckey,,86-79,,
6:54.0,Indiana full timeout,,86-79,,
6:54.0,P. George enters the game for C. Budinger,,86-79,,
6:54.0,,,86-79,,J. Parker enters the game for O. Mayo
6:39.0,R. Stuckey misses 3-pt shot from 25 ft,,86-79,,
6:39.0,,,86-79,,Defensive rebound by Team
6:28.0,,,86-79,,Shooting foul by R. Stuckey (drawn by G. Monroe)
6:28.0,,,86-79,,G. Monroe misses free throw 1 of 2
6:28.0,,,86-79,,Offensive rebound by Team
6:28.0,M. Turner enters the game for L. Allen,,86-79,,
6:28.0,M. Ellis enters the game for G. Hill,,86-79,,
6:28.0,,,86-79,,G. Monroe misses free throw 2 of 2
6:27.0,Defensive rebound by P. George,,86-79,,
6:16.0,Shooting foul by J. Bayless (drawn by R. Stuckey),,86-79,,
6:16.0,R. Stuckey misses free throw 1 of 2,,86-79,,
6:16.0,Offensive rebound by Team,,86-79,,
6:16.0,R. Stuckey makes free throw 2 of 2,1,87-79,,
6:10.0,,,87-79,,Shooting foul by P. George (drawn by K. Middleton)
6:10.0,,,87-80,1,K. Middleton makes free throw 1 of 2
6:10.0,,,87-80,,K. Middleton misses free throw 2 of 2
6:09.0,Defensive rebound by P. George,,87-80,,
5:50.0,R. Stuckey makes 3-pt shot from 24 ft (assist by M. Ellis),3,90-80,,
5:31.0,,,90-82,2,J. Bayless makes 2-pt shot from 10 ft
5:22.0,M. Ellis makes 2-pt shot at rim,2,92-82,,
5:03.0,,,92-84,2,J. Parker makes 2-pt shot from 3 ft
4:49.0,Turnover by R. Stuckey (bad pass; steal by K. Middleton),,92-84,,
4:46.0,Personal foul by R. Stuckey (drawn by K. Middleton),,92-84,,
4:46.0,,,92-85,1,K. Middleton makes free throw 1 of 2
4:46.0,,,92-85,,M. Plumlee enters the game for G. Monroe
4:46.0,G. Hill enters the game for R. Stuckey,,92-85,,
4:46.0,,,92-86,1,K. Middleton makes free throw 2 of 2
4:26.0,I. Mahinmi misses 2-pt shot at rim,,92-86,,
4:24.0,,,92-86,,Defensive rebound by J. Bayless
4:14.0,,,92-86,,G. Antetokounmpo misses 2-pt shot at rim (block by I. Mahinmi)
4:11.0,Defensive rebound by P. George,,92-86,,
4:03.0,G. Hill makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,95-86,,
3:43.0,,,95-86,,K. Middleton misses 2-pt shot from 15 ft
3:41.0,Defensive rebound by M. Ellis,,95-86,,
3:35.0,M. Ellis misses 2-pt shot from 17 ft,,95-86,,
3:34.0,Offensive rebound by I. Mahinmi,,95-86,,
3:16.0,G. Hill misses 3-pt shot from 23 ft,,95-86,,
3:15.0,,,95-86,,Defensive rebound by J. Bayless
3:10.0,Shooting block foul by I. Mahinmi (drawn by J. Bayless),,95-86,,
3:10.0,,,95-87,1,J. Bayless makes free throw 1 of 2
3:10.0,J. Hill enters the game for I. Mahinmi,,95-87,,
3:10.0,,,95-88,1,J. Bayless makes free throw 2 of 2
2:46.0,Turnover by P. George (bad pass),,95-88,,
2:46.0,,,95-88,,Milwaukee full timeout
2:45.0,,,95-88,,Turnover by J. Parker (bad pass)
2:32.0,Turnover by P. George (bad pass; steal by M. Plumlee),,95-88,,
2:23.0,,,95-88,,J. Parker misses 2-pt shot at rim
2:21.0,Defensive rebound by M. Turner,,95-88,,
2:12.0,P. George makes 2-pt shot from 2 ft (assist by M. Ellis),2,97-88,,
1:56.0,,,97-88,,K. Middleton misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by J. Hill,,97-88,,
1:36.0,J. Hill makes 2-pt shot from 14 ft (assist by G. Hill),2,99-88,,
1:30.0,,,99-88,,Shooting foul by J. Hill (drawn by J. Bayless)
1:30.0,,,99-89,1,J. Bayless makes free throw 1 of 2
1:30.0,,,99-90,1,J. Bayless makes free throw 2 of 2
1:17.0,P. George misses 2-pt shot from 20 ft,,99-90,,
1:15.0,,,99-90,,Defensive rebound by J. Bayless
1:08.0,,,99-92,2,G. Antetokounmpo makes 2-pt shot from 8 ft
