time,Charlotte,pts.away,score,pts.home,Philadelphia
0:06.0,Defensive rebound by K. Walker,,23-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Lamb misses 2-pt shot from 6 ft,,23-19,,
11:44.0,,,23-19,,Defensive rebound by E. Brand
11:32.0,,,23-19,,E. Brand misses 2-pt shot from 7 ft (block by A. Jefferson)
11:30.0,Defensive rebound by J. Gutierrez,,23-19,,
11:09.0,Turnover by J. Lamb (lost ball; steal by K. Marshall),,23-19,,
11:04.0,,,23-19,,Shooting foul by J. Lamb (drawn by N. Stauskas)
11:04.0,,,23-20,1,N. Stauskas makes free throw 1 of 2
11:04.0,,,23-20,,C. Landry enters the game for E. Brand
11:04.0,,,23-20,,N. Stauskas misses free throw 2 of 2
11:03.0,Defensive rebound by A. Jefferson,,23-20,,
10:50.0,F. Kaminsky misses 2-pt shot from 4 ft (block by K. Marshall),,23-20,,
10:48.0,Offensive rebound by F. Kaminsky,,23-20,,
10:47.0,F. Kaminsky makes 2-pt shot at rim,2,25-20,,
10:30.0,,,25-22,2,K. Marshall makes 2-pt shot from 20 ft (assist by C. Landry)
10:16.0,Turnover by J. Gutierrez (lost ball; steal by T. McConnell),,25-22,,
9:58.0,,,25-22,,K. Marshall misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by A. Jefferson,,25-22,,
9:47.0,,,25-22,,Personal foul by K. Marshall
9:47.0,,,25-22,,R. Covington enters the game for N. Stauskas
9:38.0,A. Jefferson misses 2-pt shot from 2 ft,,25-22,,
9:36.0,Offensive rebound by N. Batum,,25-22,,
9:36.0,N. Batum makes 2-pt shot from 1 ft,2,27-22,,
9:15.0,,,27-22,,C. Landry misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by N. Batum,,27-22,,
9:06.0,N. Batum misses 3-pt shot from 27 ft,,27-22,,
9:04.0,,,27-22,,Defensive rebound by K. Marshall
8:55.0,,,27-22,,R. Covington misses 3-pt shot from 26 ft
8:53.0,,,27-22,,Offensive rebound by Team
8:53.0,Official timeout,,27-22,,
8:53.0,,,27-22,,I. Smith enters the game for T. McConnell
8:44.0,,,27-22,,R. Covington misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by F. Kaminsky,,27-22,,
8:23.0,J. Gutierrez makes 2-pt shot from 2 ft (assist by N. Batum),2,29-22,,
8:03.0,,,29-22,,Turnover by I. Canaan (traveling)
7:50.0,A. Jefferson makes 2-pt shot from 10 ft (assist by N. Batum),2,31-22,,
7:31.0,,,31-22,,Turnover by I. Smith (lost ball; steal by A. Jefferson)
7:25.0,Turnover by J. Gutierrez (lost ball; steal by R. Covington),,31-22,,
7:13.0,,,31-22,,I. Canaan misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by N. Batum,,31-22,,
7:00.0,F. Kaminsky makes 2-pt shot from 4 ft (assist by J. Lamb),2,33-22,,
6:59.0,,,33-22,,Philadelphia full timeout
6:59.0,C. Zeller enters the game for A. Jefferson,,33-22,,
6:59.0,,,33-22,,H. Thompson enters the game for K. Marshall
6:48.0,,,33-25,3,H. Thompson makes 3-pt shot from 26 ft (assist by I. Canaan)
6:33.0,Shooting foul by I. Canaan (drawn by J. Lamb),,33-25,,
6:33.0,J. Lamb misses free throw 1 of 2,,33-25,,
6:33.0,Offensive rebound by Team,,33-25,,
6:33.0,J. Lamb makes free throw 2 of 2,1,34-25,,
6:10.0,,,34-28,3,I. Canaan makes 3-pt shot from 24 ft (assist by C. Landry)
5:49.0,C. Zeller makes 2-pt shot at rim (assist by J. Lamb),2,36-28,,
5:34.0,,,36-28,,C. Landry misses 2-pt shot from 15 ft
5:33.0,Defensive rebound by J. Lamb,,36-28,,
5:25.0,Turnover by N. Batum (back court),,36-28,,
5:25.0,C. Lee enters the game for J. Lamb,,36-28,,
5:25.0,K. Walker enters the game for J. Gutierrez,,36-28,,
5:14.0,,,36-30,2,I. Smith makes 2-pt shot at rim
4:59.0,C. Lee misses 2-pt shot from 2 ft,,36-30,,
4:58.0,,,36-30,,Defensive rebound by H. Thompson
4:52.0,,,36-30,,Turnover by H. Thompson (lost ball; steal by K. Walker)
4:47.0,Turnover by K. Walker (lost ball),,36-30,,
4:33.0,,,36-32,2,C. Landry makes 2-pt shot from 9 ft (assist by R. Covington)
4:19.0,N. Batum makes 2-pt shot from 1 ft,2,38-32,,
4:07.0,,,38-32,,C. Landry misses 2-pt shot from 3 ft (block by C. Lee)
4:04.0,Defensive rebound by F. Kaminsky,,38-32,,
4:02.0,Offensive charge foul by C. Zeller,,38-32,,
4:02.0,Turnover by C. Zeller (offensive foul),,38-32,,
4:02.0,M. Williams enters the game for F. Kaminsky,,38-32,,
3:50.0,,,38-32,,I. Smith misses 2-pt shot from 15 ft
3:49.0,Defensive rebound by C. Zeller,,38-32,,
3:29.0,N. Batum makes 3-pt shot from 23 ft,3,41-32,,
3:09.0,,,41-32,,I. Smith misses 2-pt shot at rim
3:07.0,,,41-32,,Offensive rebound by C. Landry
3:07.0,,,41-34,2,C. Landry makes 2-pt shot from 1 ft
2:47.0,C. Zeller makes 2-pt shot from 15 ft (assist by N. Batum),2,43-34,,
2:43.0,,,43-34,,H. Thompson misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by C. Zeller,,43-34,,
2:37.0,Shooting foul by R. Covington (drawn by C. Zeller),,43-34,,
2:37.0,Charlotte full timeout,,43-34,,
2:37.0,,,43-34,,E. Brand enters the game for R. Covington
2:37.0,,,43-34,,N. Stauskas enters the game for C. Landry
2:37.0,C. Zeller makes free throw 1 of 2,1,44-34,,
2:37.0,,,44-34,,T. McConnell enters the game for I. Canaan
2:37.0,C. Zeller makes free throw 2 of 2,1,45-34,,
2:12.0,,,45-34,,T. McConnell misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by N. Batum,,45-34,,
2:04.0,Turnover by C. Zeller (lost ball),,45-34,,
2:04.0,A. Jefferson enters the game for C. Zeller,,45-34,,
1:49.0,,,45-34,,H. Thompson misses 2-pt shot from 7 ft
1:46.0,Defensive rebound by N. Batum,,45-34,,
1:36.0,A. Jefferson misses 2-pt shot from 11 ft,,45-34,,
1:34.0,,,45-34,,Defensive rebound by E. Brand
1:23.0,,,45-34,,Shooting foul by N. Batum (drawn by N. Stauskas)
1:23.0,,,45-35,1,N. Stauskas makes free throw 1 of 2
1:23.0,,,45-35,,I. Canaan enters the game for H. Thompson
1:23.0,,,45-36,1,N. Stauskas makes free throw 2 of 2
1:11.0,,,45-36,,Personal foul by I. Canaan
1:00.0,N. Batum misses 3-pt shot from 26 ft,,45-36,,
0:58.0,Offensive rebound by M. Williams,,45-36,,
0:58.0,M. Williams makes 2-pt shot at rim,2,47-36,,
0:46.0,,,47-36,,Turnover by I. Smith (lost ball; steal by C. Lee)
0:40.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,49-36,,
0:40.0,,,49-36,,Philadelphia full timeout
0:25.0,,,49-36,,E. Brand misses 2-pt shot from 12 ft
0:24.0,Defensive rebound by M. Williams,,49-36,,
0:04.0,K. Walker misses 3-pt shot from 25 ft,,49-36,,
0:03.0,Offensive rebound by M. Williams,,49-36,,
0:01.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams),3,52-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Williams misses 2-pt shot from 2 ft,,52-36,,
11:42.0,Offensive rebound by N. Batum,,52-36,,
11:42.0,N. Batum makes 2-pt shot from 1 ft,2,54-36,,
11:31.0,,,54-39,3,I. Canaan makes 3-pt shot from 25 ft (assist by C. Landry)
11:13.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,56-39,,
10:56.0,,,56-39,,Turnover by I. Smith (step out of bounds)
10:39.0,Shooting foul by I. Smith (drawn by C. Zeller),,56-39,,
10:39.0,C. Zeller makes free throw 1 of 2,1,57-39,,
10:39.0,C. Zeller makes free throw 2 of 2,1,58-39,,
10:14.0,,,58-41,2,C. Landry makes 2-pt shot at rim (assist by H. Thompson)
9:56.0,C. Lee makes 2-pt shot from 10 ft (assist by N. Batum),2,60-41,,
9:45.0,,,60-44,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
9:21.0,K. Walker misses 2-pt shot from 19 ft,,60-44,,
9:20.0,,,60-44,,Defensive rebound by I. Canaan
9:02.0,,,60-47,3,R. Covington makes 3-pt shot from 25 ft (assist by H. Thompson)
8:44.0,M. Williams misses 2-pt shot from 2 ft (block by I. Smith),,60-47,,
8:42.0,,,60-47,,Defensive rebound by R. Covington
8:35.0,,,60-47,,R. Covington misses 3-pt shot from 25 ft
8:34.0,,,60-47,,Offensive rebound by R. Covington
8:28.0,,,60-50,3,I. Smith makes 3-pt shot from 24 ft (assist by H. Thompson)
8:27.0,Charlotte full timeout,,60-50,,
8:08.0,Shooting foul by R. Covington (drawn by M. Williams),,60-50,,
8:08.0,M. Williams makes free throw 1 of 2,1,61-50,,
8:08.0,,,61-50,,N. Stauskas enters the game for R. Covington
8:08.0,M. Williams makes free throw 2 of 2,1,62-50,,
7:54.0,,,62-50,,I. Canaan misses 3-pt shot from 29 ft
7:53.0,Defensive rebound by M. Williams,,62-50,,
7:46.0,K. Walker misses 2-pt shot from 15 ft (block by I. Smith),,62-50,,
7:45.0,,,62-50,,Defensive rebound by I. Canaan
7:41.0,,,62-50,,Turnover by N. Stauskas (lost ball)
7:31.0,N. Batum makes 2-pt shot from 17 ft,2,64-50,,
7:21.0,,,64-50,,Turnover by C. Landry (lost ball)
7:09.0,N. Batum makes 2-pt shot from 18 ft,2,66-50,,
7:03.0,,,66-50,,Philadelphia full timeout
7:03.0,,,66-50,,C. Wood enters the game for C. Landry
6:52.0,,,66-50,,C. Wood misses 2-pt shot from 5 ft (block by C. Zeller)
6:50.0,,,66-50,,Offensive rebound by H. Thompson
6:43.0,,,66-50,,N. Stauskas misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by M. Williams,,66-50,,
6:33.0,,,66-50,,Personal foul by N. Stauskas
6:25.0,C. Lee misses 2-pt shot from 18 ft,,66-50,,
6:23.0,,,66-50,,Defensive rebound by I. Canaan
6:15.0,,,66-50,,C. Wood misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by N. Batum,,66-50,,
6:08.0,K. Walker misses 3-pt shot from 25 ft,,66-50,,
6:07.0,Offensive rebound by Team,,66-50,,
6:01.0,C. Zeller makes 2-pt shot from 4 ft (assist by C. Lee),2,68-50,,
5:47.0,,,68-53,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
5:30.0,Turnover by C. Lee (traveling),,68-53,,
5:13.0,,,68-53,,N. Stauskas misses 3-pt shot from 29 ft
5:10.0,Defensive rebound by C. Lee,,68-53,,
4:57.0,M. Williams misses 3-pt shot from 23 ft,,68-53,,
4:56.0,,,68-53,,Defensive rebound by N. Stauskas
4:47.0,,,68-53,,H. Thompson misses 2-pt shot from 4 ft
4:46.0,Defensive rebound by C. Zeller,,68-53,,
4:38.0,C. Zeller makes 2-pt shot from 6 ft (assist by N. Batum),2,70-53,,
4:23.0,,,70-53,,H. Thompson misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by C. Zeller,,70-53,,
4:16.0,Turnover by N. Batum (bad pass),,70-53,,
4:16.0,A. Jefferson enters the game for C. Zeller,,70-53,,
4:16.0,J. Lamb enters the game for N. Batum,,70-53,,
4:06.0,,,70-53,,N. Stauskas misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by C. Lee,,70-53,,
3:53.0,M. Williams misses 3-pt shot from 23 ft,,70-53,,
3:52.0,Offensive rebound by A. Jefferson,,70-53,,
3:38.0,Turnover by J. Lamb (lost ball; steal by I. Canaan),,70-53,,
3:33.0,,,70-53,,I. Canaan misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by K. Walker,,70-53,,
3:33.0,,,70-53,,Personal foul by H. Thompson
3:18.0,A. Jefferson misses 2-pt shot from 5 ft,,70-53,,
3:17.0,Offensive rebound by M. Williams,,70-53,,
3:17.0,M. Williams makes 2-pt shot from 1 ft,2,72-53,,
2:58.0,,,72-53,,I. Smith misses 2-pt shot from 6 ft
2:56.0,,,72-53,,Offensive rebound by H. Thompson
2:55.0,,,72-53,,H. Thompson misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by A. Jefferson,,72-53,,
2:39.0,,,72-53,,Personal block foul by I. Canaan
2:39.0,,,72-53,,T. McConnell enters the game for I. Canaan
2:39.0,,,72-53,,K. Marshall enters the game for H. Thompson
2:39.0,F. Kaminsky enters the game for M. Williams,,72-53,,
2:39.0,J. Lamb makes free throw 1 of 2,1,73-53,,
2:39.0,,,73-53,,E. Brand enters the game for C. Wood
2:39.0,J. Lamb makes free throw 2 of 2,1,74-53,,
2:30.0,,,74-55,2,I. Smith makes 2-pt shot from 15 ft
2:10.0,F. Kaminsky misses 2-pt shot from 4 ft,,74-55,,
2:08.0,,,74-55,,Defensive rebound by I. Smith
2:01.0,,,74-57,2,I. Smith makes 2-pt shot from 1 ft
1:41.0,A. Jefferson misses 2-pt shot from 17 ft,,74-57,,
1:39.0,,,74-57,,Defensive rebound by N. Stauskas
1:31.0,,,74-57,,I. Smith misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by C. Lee,,74-57,,
1:13.0,Turnover by C. Lee (lost ball; steal by E. Brand),,74-57,,
1:02.0,,,74-59,2,E. Brand makes 2-pt shot from 16 ft (assist by K. Marshall)
0:43.0,K. Walker makes 3-pt shot from 25 ft,3,77-59,,
0:35.0,,,77-59,,I. Smith misses 2-pt shot from 16 ft
0:33.0,Defensive rebound by J. Lamb,,77-59,,
0:26.0,J. Lamb misses 3-pt shot from 24 ft,,77-59,,
0:25.0,,,77-59,,Defensive rebound by T. McConnell
0:03.0,,,77-62,3,I. Smith makes 3-pt shot from 24 ft
0:00.0,K. Walker misses 3-pt shot from 47 ft,,77-62,,
0:00.0,Offensive rebound by Team,,77-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,77-65,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
11:26.0,N. Batum makes 2-pt shot from 18 ft (assist by J. Gutierrez),2,79-65,,
11:14.0,,,79-65,,R. Covington misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by J. Lamb,,79-65,,
11:03.0,A. Jefferson makes 2-pt shot from 7 ft (assist by J. Lamb),2,81-65,,
10:46.0,,,81-65,,E. Brand misses 2-pt shot from 11 ft
10:44.0,Defensive rebound by J. Lamb,,81-65,,
10:35.0,A. Jefferson makes 2-pt shot at rim (assist by J. Gutierrez),2,83-65,,
10:35.0,Shooting foul by N. Stauskas (drawn by A. Jefferson),,83-65,,
10:35.0,A. Jefferson makes free throw 1 of 1,1,84-65,,
10:22.0,,,84-65,,I. Smith misses 3-pt shot from 24 ft
10:16.0,,,84-65,,Offensive rebound by E. Brand
10:11.0,,,84-67,2,T. McConnell makes 2-pt shot from 3 ft
9:57.0,N. Batum misses 2-pt shot from 18 ft,,84-67,,
9:56.0,,,84-67,,Defensive rebound by T. McConnell
9:49.0,,,84-67,,T. McConnell misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by F. Kaminsky,,84-67,,
9:37.0,F. Kaminsky misses 3-pt shot from 24 ft,,84-67,,
9:36.0,,,84-67,,Defensive rebound by E. Brand
9:20.0,,,84-67,,N. Stauskas misses 2-pt shot from 1 ft (block by J. Lamb)
9:19.0,Defensive rebound by A. Jefferson,,84-67,,
9:08.0,J. Lamb misses 3-pt shot from 26 ft,,84-67,,
9:07.0,,,84-67,,Defensive rebound by Team
9:07.0,,,84-67,,Philadelphia full timeout
8:56.0,,,84-70,3,R. Covington makes 3-pt shot from 26 ft (assist by N. Stauskas)
8:39.0,A. Jefferson misses 2-pt shot from 11 ft,,84-70,,
8:35.0,,,84-70,,Defensive rebound by E. Brand
8:30.0,Violation by A. Jefferson (kicked ball),,84-70,,
8:30.0,M. Williams enters the game for F. Kaminsky,,84-70,,
8:16.0,,,84-70,,T. McConnell misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by A. Jefferson,,84-70,,
8:03.0,Turnover by A. Jefferson (lost ball; steal by R. Covington),,84-70,,
7:58.0,,,84-70,,N. Stauskas misses 2-pt shot from 2 ft
7:54.0,,,84-70,,Offensive rebound by N. Stauskas
7:51.0,,,84-70,,T. McConnell misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by A. Jefferson,,84-70,,
7:32.0,,,84-70,,Personal foul by E. Brand
7:32.0,C. Lee enters the game for J. Lamb,,84-70,,
7:32.0,K. Walker enters the game for J. Gutierrez,,84-70,,
7:32.0,,,84-70,,H. Thompson enters the game for T. McConnell
7:24.0,K. Walker misses 3-pt shot from 25 ft,,84-70,,
7:22.0,,,84-70,,Defensive rebound by H. Thompson
7:13.0,,,84-70,,E. Brand misses 2-pt shot from 2 ft
7:12.0,,,84-70,,Offensive rebound by E. Brand
7:12.0,,,84-72,2,E. Brand makes 2-pt shot from 2 ft
7:12.0,,,84-72,,Shooting foul by A. Jefferson (drawn by E. Brand)
7:12.0,C. Zeller enters the game for A. Jefferson,,84-72,,
7:12.0,,,84-73,1,E. Brand makes free throw 1 of 1
7:00.0,,,84-73,,Personal foul by R. Covington
6:54.0,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker),2,86-73,,
6:32.0,,,86-73,,R. Covington misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by K. Walker,,86-73,,
6:21.0,K. Walker misses 3-pt shot from 24 ft,,86-73,,
6:20.0,,,86-73,,Defensive rebound by R. Covington
6:11.0,,,86-76,3,I. Smith makes 3-pt shot from 26 ft
5:53.0,N. Batum misses 2-pt shot from 11 ft,,86-76,,
5:52.0,,,86-76,,Defensive rebound by H. Thompson
5:35.0,,,86-76,,I. Smith misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by C. Lee,,86-76,,
5:26.0,C. Lee makes 2-pt shot at rim,2,88-76,,
5:07.0,,,88-76,,N. Stauskas misses 2-pt shot from 1 ft (block by C. Zeller)
5:05.0,Defensive rebound by C. Lee,,88-76,,
4:58.0,C. Lee misses 2-pt shot from 14 ft,,88-76,,
4:56.0,,,88-76,,Defensive rebound by R. Covington
4:47.0,,,88-76,,R. Covington misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by C. Zeller,,88-76,,
4:32.0,K. Walker misses 2-pt shot from 6 ft,,88-76,,
4:29.0,,,88-76,,Defensive rebound by H. Thompson
4:20.0,,,88-76,,E. Brand misses 2-pt shot from 10 ft
4:18.0,Defensive rebound by N. Batum,,88-76,,
4:07.0,Turnover by N. Batum (lost ball; steal by H. Thompson),,88-76,,
4:05.0,,,88-76,,Shooting foul by N. Batum (drawn by H. Thompson)
4:05.0,Official timeout,,88-76,,
4:05.0,,,88-76,,C. Landry enters the game for E. Brand
4:05.0,,,88-77,1,H. Thompson makes free throw 1 of 2
4:05.0,,,88-78,1,H. Thompson makes free throw 2 of 2
3:51.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,91-78,,
3:27.0,,,91-78,,I. Smith misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by C. Zeller,,91-78,,
3:06.0,N. Batum misses 2-pt shot from 16 ft (block by H. Thompson),,91-78,,
3:05.0,Offensive rebound by Team,,91-78,,
3:03.0,Shooting foul by H. Thompson (drawn by N. Batum),,91-78,,
3:03.0,N. Batum makes free throw 1 of 2,1,92-78,,
3:03.0,N. Batum makes free throw 2 of 2,1,93-78,,
2:46.0,,,93-78,,C. Landry misses 2-pt shot from 16 ft
2:45.0,Defensive rebound by N. Batum,,93-78,,
2:28.0,C. Lee makes 3-pt shot from 24 ft (assist by K. Walker),3,96-78,,
2:28.0,,,96-78,,Philadelphia full timeout
2:28.0,,,96-78,,C. Wood enters the game for H. Thompson
2:28.0,,,96-78,,K. Marshall enters the game for I. Smith
2:28.0,,,96-78,,T. McConnell enters the game for C. Landry
2:13.0,,,96-78,,C. Wood misses 2-pt shot at rim
2:10.0,Defensive rebound by K. Walker,,96-78,,
2:03.0,Turnover by C. Lee (lost ball; steal by R. Covington),,96-78,,
