time,Milwaukee,pts.away,score,pts.home,San Antonio
4:54.0,,,13-19,,K. Leonard misses 2-pt shot from 7 ft
4:53.0,Defensive rebound by G. Antetokounmpo,,13-19,,
4:45.0,Turnover by K. Middleton (bad pass; steal by M. Ginobili),,13-19,,
4:27.0,,,13-19,,P. Mills misses 2-pt shot from 19 ft
4:26.0,Defensive rebound by J. Parker,,13-19,,
4:09.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,15-19,,
3:56.0,,,15-21,2,B. Diaw makes 2-pt shot from 18 ft (assist by K. Leonard)
3:38.0,J. Parker misses 2-pt shot from 19 ft,,15-21,,
3:36.0,,,15-21,,Defensive rebound by L. Aldridge
3:34.0,,,15-21,,Turnover by L. Aldridge (bad pass)
3:29.0,G. Monroe misses 2-pt shot from 13 ft,,15-21,,
3:27.0,,,15-21,,Defensive rebound by B. Diaw
3:21.0,,,15-21,,K. Leonard misses 2-pt shot from 14 ft
3:20.0,Defensive rebound by M. Carter-Williams,,15-21,,
3:04.0,K. Middleton misses 2-pt shot from 12 ft,,15-21,,
3:02.0,,,15-21,,Defensive rebound by L. Aldridge
2:59.0,,,15-21,,San Antonio full timeout
2:59.0,J. Henson enters the game for G. Monroe,,15-21,,
2:59.0,R. Vaughn enters the game for G. Antetokounmpo,,15-21,,
2:50.0,,,15-23,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Mills)
2:31.0,K. Middleton misses 2-pt shot from 15 ft,,15-23,,
2:29.0,,,15-23,,Defensive rebound by P. Mills
2:20.0,,,15-23,,K. Anderson enters the game for K. Leonard
2:04.0,,,15-23,,P. Mills misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by R. Vaughn,,15-23,,
2:00.0,Offensive foul by R. Vaughn,,15-23,,
2:00.0,Turnover by R. Vaughn (offensive foul),,15-23,,
1:42.0,,,15-23,,L. Aldridge misses 2-pt shot from 19 ft
1:41.0,Defensive rebound by J. Parker,,15-23,,
1:28.0,R. Vaughn makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,18-23,,
1:10.0,,,18-23,,M. Ginobili misses 2-pt shot from 1 ft (block by J. Henson)
1:09.0,,,18-23,,Offensive rebound by Team
1:09.0,,,18-23,,D. West enters the game for L. Aldridge
1:02.0,,,18-23,,B. Diaw misses 2-pt shot at rim
1:01.0,,,18-23,,Offensive rebound by B. Diaw
1:01.0,,,18-25,2,B. Diaw makes 2-pt shot at rim
0:51.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,21-25,,
0:31.0,,,21-27,2,K. Anderson makes 2-pt shot from 6 ft (assist by M. Ginobili)
0:31.0,,,21-27,,Shooting foul by R. Vaughn (drawn by K. Anderson)
0:31.0,,,21-28,1,K. Anderson makes free throw 1 of 1
0:18.0,Turnover by R. Vaughn (step out of bounds),,21-28,,
0:18.0,,,21-28,,J. Simmons enters the game for K. Anderson
0:03.0,,,21-28,,Turnover by B. Diaw (bad pass; steal by J. Parker)
0:00.0,J. Parker misses 3-pt shot from 27 ft,,21-28,,
0:00.0,Offensive rebound by Team,,21-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Carter-Williams misses 2-pt shot from 10 ft,,21-28,,
11:42.0,Offensive rebound by J. Parker,,21-28,,
11:41.0,Shooting foul by B. Diaw (drawn by J. Parker),,21-28,,
11:41.0,J. Parker makes free throw 1 of 2,1,22-28,,
11:41.0,J. Parker makes free throw 2 of 2,1,23-28,,
11:24.0,,,23-30,2,M. Ginobili makes 2-pt shot at rim (assist by B. Diaw)
11:12.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by D. West),,23-30,,
11:11.0,,,23-30,,Defensive rebound by D. West
10:58.0,Personal foul by J. Henson (drawn by B. Diaw),,23-30,,
10:48.0,,,23-30,,M. Ginobili misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by J. Parker,,23-30,,
10:37.0,J. Henson makes 2-pt shot at rim (assist by O. Mayo),2,25-30,,
10:23.0,,,25-33,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
10:03.0,,,25-33,,Personal foul by M. Ginobili (drawn by J. Parker)
10:03.0,,,25-33,,K. Anderson enters the game for J. Simmons
9:54.0,R. Vaughn misses 3-pt shot from 24 ft,,25-33,,
9:52.0,,,25-33,,Defensive rebound by K. Anderson
9:51.0,Personal foul by J. Parker (drawn by B. Diaw),,25-33,,
9:39.0,,,25-33,,Shooting foul by R. Vaughn (drawn by K. Anderson)
9:39.0,,,25-33,,K. Anderson misses free throw 1 of 2
9:39.0,,,25-33,,Offensive rebound by Team
9:39.0,,,25-33,,D. Green enters the game for M. Ginobili
9:39.0,T. Ennis enters the game for R. Vaughn,,25-33,,
9:39.0,,,25-34,1,K. Anderson makes free throw 2 of 2
9:23.0,O. Mayo misses 2-pt shot from 1 ft,,25-34,,
9:22.0,,,25-34,,Defensive rebound by D. West
9:13.0,,,25-34,,D. West misses 2-pt shot from 4 ft (block by J. Henson)
9:12.0,Defensive rebound by O. Mayo,,25-34,,
9:07.0,Shooting foul by K. Anderson (drawn by J. Henson),,25-34,,
9:07.0,J. Henson makes free throw 1 of 2,1,26-34,,
9:07.0,,,26-34,,T. Parker enters the game for P. Mills
9:07.0,J. Henson makes free throw 2 of 2,1,27-34,,
8:50.0,,,27-36,2,D. West makes 2-pt shot at rim (assist by T. Parker)
8:28.0,O. Mayo misses 2-pt shot from 3 ft,,27-36,,
8:27.0,,,27-36,,Defensive rebound by D. West
8:12.0,,,27-36,,B. Diaw misses 2-pt shot from 5 ft
8:11.0,Defensive rebound by T. Ennis,,27-36,,
8:05.0,Turnover by O. Mayo (lost ball; steal by K. Anderson),,27-36,,
7:56.0,,,27-36,,San Antonio full timeout
7:56.0,G. Antetokounmpo enters the game for O. Mayo,,27-36,,
7:50.0,,,27-36,,T. Duncan enters the game for B. Diaw
7:41.0,,,27-36,,D. West misses 2-pt shot from 18 ft
7:40.0,,,27-36,,Offensive rebound by T. Duncan
7:29.0,,,27-36,,D. Green misses 3-pt shot from 23 ft
7:28.0,,,27-36,,Offensive rebound by Team
7:18.0,,,27-38,2,T. Parker makes 2-pt shot from 16 ft
6:56.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,27-38,,
6:54.0,,,27-38,,Defensive rebound by T. Duncan
6:49.0,,,27-38,,D. West misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by J. Henson,,27-38,,
6:43.0,Shooting foul by T. Duncan (drawn by J. Parker),,27-38,,
6:43.0,J. Parker misses free throw 1 of 2,,27-38,,
6:43.0,Offensive rebound by Team,,27-38,,
6:43.0,G. Monroe enters the game for J. Henson,,27-38,,
6:43.0,,,27-38,,L. Aldridge enters the game for D. West
6:43.0,,,27-38,,K. Leonard enters the game for K. Anderson
6:43.0,J. Parker makes free throw 2 of 2,1,28-38,,
6:22.0,,,28-38,,Offensive charge foul by T. Parker
6:22.0,,,28-38,,Turnover by T. Parker (offensive foul)
6:22.0,K. Middleton enters the game for J. Parker,,28-38,,
6:12.0,G. Monroe misses 2-pt shot from 3 ft (block by L. Aldridge),,28-38,,
6:11.0,,,28-38,,Defensive rebound by D. Green
6:08.0,,,28-38,,Shooting foul by T. Ennis (drawn by T. Parker)
6:08.0,,,28-39,1,T. Parker makes free throw 1 of 2
6:08.0,,,28-39,,T. Parker misses free throw 2 of 2
6:07.0,Defensive rebound by G. Antetokounmpo,,28-39,,
5:53.0,M. Carter-Williams misses 2-pt shot from 9 ft,,28-39,,
5:52.0,Offensive rebound by G. Monroe,,28-39,,
5:51.0,Shooting foul by D. Green (drawn by G. Monroe),,28-39,,
5:51.0,Official timeout,,28-39,,
5:51.0,G. Monroe makes free throw 1 of 2,1,29-39,,
5:51.0,G. Monroe makes free throw 2 of 2,1,30-39,,
5:35.0,,,30-39,,D. Green misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by G. Monroe,,30-39,,
5:22.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,30-39,,
5:21.0,,,30-39,,Defensive rebound by T. Parker
5:07.0,,,30-39,,L. Aldridge misses 2-pt shot from 16 ft
5:06.0,,,30-39,,Offensive rebound by K. Leonard
5:03.0,,,30-39,,K. Leonard misses 2-pt shot from 15 ft
5:01.0,Defensive rebound by T. Ennis,,30-39,,
4:53.0,Turnover by G. Antetokounmpo (traveling),,30-39,,
4:28.0,,,30-41,2,K. Leonard makes 2-pt shot at rim
4:15.0,T. Ennis misses 2-pt shot from 16 ft,,30-41,,
4:14.0,,,30-41,,Defensive rebound by L. Aldridge
4:04.0,,,30-41,,T. Parker misses 2-pt shot at rim
4:03.0,Defensive rebound by M. Carter-Williams,,30-41,,
3:58.0,Turnover by T. Ennis (lost ball; steal by D. Green),,30-41,,
3:49.0,,,30-41,,K. Leonard misses 2-pt shot from 12 ft
3:48.0,Defensive rebound by G. Monroe,,30-41,,
3:40.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by L. Aldridge),,30-41,,
3:39.0,Offensive rebound by Team,,30-41,,
3:39.0,J. Parker enters the game for T. Ennis,,30-41,,
3:39.0,,,30-41,,P. Mills enters the game for T. Parker
3:39.0,,,30-41,,M. Ginobili enters the game for D. Green
3:37.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,32-41,,
3:27.0,,,32-43,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
3:05.0,G. Monroe makes 2-pt shot from 11 ft,2,34-43,,
2:53.0,,,34-45,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
2:32.0,G. Monroe misses 2-pt shot from 10 ft,,34-45,,
2:31.0,,,34-45,,Defensive rebound by L. Aldridge
2:17.0,,,34-45,,P. Mills misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by G. Monroe,,34-45,,
1:59.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton),2,36-45,,
1:42.0,,,36-48,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard)
1:25.0,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams),2,38-48,,
1:01.0,,,38-48,,M. Ginobili misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by K. Middleton,,38-48,,
0:51.0,J. Parker misses 2-pt shot from 3 ft,,38-48,,
0:50.0,,,38-48,,Defensive rebound by T. Duncan
0:29.0,,,38-48,,K. Leonard misses 2-pt shot from 11 ft (block by G. Antetokounmpo)
0:27.0,Defensive rebound by Team,,38-48,,
0:27.0,Milwaukee full timeout,,38-48,,
0:03.0,J. Parker misses 2-pt shot from 2 ft,,38-48,,
0:03.0,Offensive rebound by M. Carter-Williams,,38-48,,
0:03.0,Turnover by Team (shot clock),,38-48,,
0:03.0,,,38-48,,San Antonio full timeout
0:02.0,,,38-48,,Turnover by T. Duncan (bad pass; steal by M. Carter-Williams)
0:00.0,M. Carter-Williams misses 3-pt shot from 77 ft,,38-48,,
0:00.0,Offensive rebound by Team,,38-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,38-48,,
11:46.0,,,38-48,,Defensive rebound by Team
11:26.0,,,38-48,,T. Duncan misses 2-pt shot from 7 ft
11:25.0,Defensive rebound by G. Monroe,,38-48,,
11:07.0,K. Middleton makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,40-48,,
10:57.0,,,40-48,,L. Aldridge misses 2-pt shot from 2 ft (block by T. Ennis)
10:55.0,Defensive rebound by T. Ennis,,40-48,,
10:42.0,G. Monroe makes 2-pt shot from 7 ft,2,42-48,,
10:21.0,,,42-50,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker)
10:10.0,G. Antetokounmpo makes 2-pt shot from 17 ft,2,44-50,,
10:00.0,,,44-50,,Turnover by T. Duncan (bad pass)
9:42.0,G. Antetokounmpo misses 2-pt shot from 5 ft (block by L. Aldridge),,44-50,,
9:41.0,,,44-50,,Defensive rebound by D. Green
9:26.0,,,44-50,,T. Parker misses 2-pt shot at rim
9:25.0,,,44-50,,Offensive rebound by T. Duncan
9:25.0,,,44-52,2,T. Duncan makes 2-pt shot at rim
9:14.0,O. Mayo misses 2-pt shot from 4 ft,,44-52,,
9:12.0,Offensive rebound by O. Mayo,,44-52,,
9:07.0,Turnover by O. Mayo (lost ball; steal by T. Parker),,44-52,,
9:00.0,,,44-52,,T. Parker misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
8:59.0,,,44-52,,Offensive rebound by L. Aldridge
8:59.0,,,44-54,2,L. Aldridge makes 2-pt shot at rim
8:40.0,T. Ennis misses 3-pt shot from 25 ft,,44-54,,
8:39.0,,,44-54,,Defensive rebound by T. Duncan
8:29.0,,,44-54,,T. Duncan misses 2-pt shot from 1 ft (block by G. Monroe)
8:28.0,,,44-54,,Offensive rebound by T. Duncan
8:28.0,,,44-56,2,T. Duncan makes 2-pt shot from 1 ft
8:28.0,Milwaukee full timeout,,44-56,,
8:28.0,M. Carter-Williams enters the game for T. Ennis,,44-56,,
8:14.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,44-56,,
8:14.0,G. Antetokounmpo makes free throw 1 of 2,1,45-56,,
8:14.0,G. Antetokounmpo misses free throw 2 of 2,,45-56,,
8:13.0,,,45-56,,Defensive rebound by T. Duncan
7:50.0,,,45-56,,D. Green misses 3-pt shot from 25 ft
7:50.0,,,45-56,,Offensive rebound by Team
7:50.0,Jump ball: G. Antetokounmpo vs. T. Duncan (T. Parker gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Duncan (T. Parker gains possession)
7:40.0,Personal foul by G. Antetokounmpo (drawn by K. Leonard),,45-56,,
7:28.0,,,45-56,,L. Aldridge misses 2-pt shot from 12 ft
7:27.0,Defensive rebound by M. Carter-Williams,,45-56,,
7:19.0,G. Monroe misses 2-pt shot at rim (block by L. Aldridge),,45-56,,
7:18.0,,,45-56,,Defensive rebound by D. Green
7:05.0,,,45-59,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
6:52.0,,,45-59,,Personal foul by D. Green (drawn by K. Middleton)
6:51.0,Turnover by O. Mayo (bad pass; steal by D. Green),,45-59,,
6:41.0,,,45-59,,T. Duncan misses 2-pt shot from 9 ft
6:39.0,,,45-59,,Offensive rebound by L. Aldridge
6:38.0,,,45-59,,L. Aldridge misses 2-pt shot from 1 ft
6:37.0,,,45-59,,Offensive rebound by K. Leonard
6:36.0,,,45-59,,K. Leonard misses 2-pt shot from 2 ft
6:35.0,,,45-59,,Offensive rebound by Team
6:35.0,Loose ball foul by G. Monroe (drawn by L. Aldridge),,45-59,,
6:35.0,,,45-59,,B. Diaw enters the game for T. Duncan
6:35.0,J. Parker enters the game for O. Mayo,,45-59,,
6:22.0,,,45-59,,L. Aldridge misses 2-pt shot from 15 ft
6:20.0,Defensive rebound by J. Parker,,45-59,,
6:07.0,G. Monroe misses 2-pt shot from 10 ft,,45-59,,
6:05.0,,,45-59,,Defensive rebound by D. Green
5:54.0,,,45-59,,J. Simmons enters the game for D. Green
5:47.0,,,45-59,,L. Aldridge misses 2-pt shot from 20 ft
5:46.0,Defensive rebound by K. Middleton,,45-59,,
5:39.0,Turnover by K. Middleton (bad pass; steal by T. Parker),,45-59,,
5:39.0,Loose ball foul by K. Middleton (drawn by T. Parker),,45-59,,
5:39.0,,,45-59,,D. West enters the game for L. Aldridge
5:30.0,,,45-59,,Shooting foul by G. Antetokounmpo (drawn by K. Leonard)
5:30.0,,,45-60,1,K. Leonard makes free throw 1 of 2
5:30.0,,,45-60,,P. Mills enters the game for T. Parker
5:30.0,,,45-61,1,K. Leonard makes free throw 2 of 2
5:15.0,Turnover by G. Monroe (lost ball; steal by D. West),,45-61,,
5:03.0,Personal foul by M. Carter-Williams (drawn by K. Leonard),,45-61,,
5:03.0,,,45-62,1,K. Leonard makes free throw 1 of 2
5:03.0,,,45-63,1,K. Leonard makes free throw 2 of 2
4:54.0,Turnover by M. Carter-Williams (bad pass; steal by D. West),,45-63,,
4:50.0,,,45-65,2,J. Simmons makes 2-pt shot at rim (assist by K. Leonard)
4:50.0,Milwaukee full timeout,,45-65,,
4:30.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by K. Middleton),2,47-65,,
4:14.0,,,47-65,,Turnover by J. Simmons (bad pass; steal by G. Monroe)
4:08.0,M. Carter-Williams misses 2-pt shot from 1 ft,,47-65,,
4:07.0,,,47-65,,Defensive rebound by D. West
4:01.0,,,47-67,2,J. Simmons makes 2-pt shot at rim (assist by P. Mills)
3:48.0,K. Middleton makes 2-pt shot from 9 ft,2,49-67,,
3:33.0,,,49-67,,K. Leonard misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by G. Monroe,,49-67,,
3:17.0,K. Middleton makes 2-pt shot from 2 ft,2,51-67,,
3:17.0,,,51-67,,San Antonio full timeout
3:17.0,,,51-67,,D. Green enters the game for K. Leonard
3:17.0,O. Mayo enters the game for G. Antetokounmpo,,51-67,,
3:04.0,,,51-70,3,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons)
2:49.0,G. Monroe misses 2-pt shot from 1 ft,,51-70,,
2:47.0,,,51-70,,Defensive rebound by J. Simmons
2:35.0,,,51-70,,D. Green misses 3-pt shot from 25 ft
2:34.0,,,51-70,,Offensive rebound by D. West
2:14.0,,,51-70,,P. Mills misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by G. Monroe,,51-70,,
1:56.0,G. Monroe makes 2-pt shot from 5 ft (assist by K. Middleton),2,53-70,,
1:37.0,,,53-72,2,D. Green makes 2-pt shot from 1 ft (assist by D. West)
1:21.0,K. Middleton makes 2-pt shot at rim (assist by O. Mayo),2,55-72,,
1:16.0,,,55-74,2,J. Simmons makes 2-pt shot at rim (assist by P. Mills)
1:16.0,,,55-74,,Shooting foul by O. Mayo (drawn by J. Simmons)
1:16.0,,,55-74,,K. Anderson enters the game for D. Green
1:16.0,,,55-74,,J. Simmons misses free throw 1 of 1
1:16.0,Defensive rebound by O. Mayo,,55-74,,
1:00.0,K. Middleton misses 2-pt shot from 15 ft,,55-74,,
0:58.0,,,55-74,,Defensive rebound by B. Diaw
0:37.0,,,55-76,2,D. West makes 2-pt shot from 10 ft (assist by B. Diaw)
0:24.0,J. Parker misses 2-pt shot from 9 ft,,55-76,,
0:23.0,,,55-76,,Defensive rebound by P. Mills
0:02.0,,,55-76,,P. Mills misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by M. Carter-Williams,,55-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,55-76,,D. West misses 2-pt shot from 2 ft
11:37.0,,,55-76,,Offensive rebound by B. Diaw
11:37.0,,,55-78,2,B. Diaw makes 2-pt shot from 2 ft
11:29.0,M. Carter-Williams makes 2-pt shot from 14 ft,2,57-78,,
11:16.0,,,57-80,2,P. Mills makes 2-pt shot from 18 ft
10:59.0,R. Vaughn misses 2-pt shot from 5 ft (block by K. Anderson),,57-80,,
10:54.0,,,57-80,,Defensive rebound by D. West
10:17.0,,,57-80,,B. Diaw misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by J. Parker,,57-80,,
10:08.0,Offensive foul by J. Parker,,57-80,,
10:08.0,Turnover by J. Parker (offensive foul),,57-80,,
10:08.0,,,57-80,,R. Butler enters the game for B. Diaw
9:46.0,,,57-80,,J. Simmons misses 2-pt shot from 23 ft
9:41.0,Defensive rebound by J. Parker,,57-80,,
9:34.0,M. Carter-Williams misses 2-pt shot from 19 ft,,57-80,,
9:32.0,,,57-80,,Defensive rebound by K. Anderson
9:26.0,Personal foul by J. Henson (drawn by D. West),,57-80,,
9:26.0,T. Ennis enters the game for M. Carter-Williams,,57-80,,
9:09.0,,,57-80,,K. Anderson misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by J. Henson,,57-80,,
8:55.0,O. Mayo misses 2-pt shot from 14 ft,,57-80,,
8:54.0,,,57-80,,Defensive rebound by P. Mills
8:42.0,,,57-83,3,P. Mills makes 3-pt shot from 25 ft (assist by R. Butler)
8:27.0,J. Henson makes 2-pt shot from 6 ft (assist by R. Vaughn),2,59-83,,
8:11.0,,,59-83,,P. Mills misses 3-pt shot from 27 ft
8:09.0,Defensive rebound by R. Vaughn,,59-83,,
8:00.0,Turnover by T. Ennis (bad pass; steal by K. Anderson),,59-83,,
7:45.0,,,59-83,,J. Simmons misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by O. Mayo,,59-83,,
7:32.0,R. Vaughn misses 3-pt shot from 23 ft,,59-83,,
7:31.0,Offensive rebound by R. Vaughn,,59-83,,
7:26.0,R. Vaughn misses 2-pt shot from 3 ft (block by D. West),,59-83,,
7:23.0,,,59-83,,Defensive rebound by D. West
7:05.0,J. Parker misses 2-pt shot from 7 ft,,59-83,,
7:05.0,Defensive rebound by O. Mayo,,59-83,,
7:05.0,,,59-83,,K. Anderson misses 3-pt shot from 24 ft
7:05.0,,,59-83,,Defensive rebound by K. Anderson
7:05.0,,,59-83,,San Antonio full timeout
7:05.0,J. O'Bryant enters the game for O. Mayo,,59-83,,
7:05.0,M. Plumlee enters the game for J. Parker,,59-83,,
7:05.0,C. Copeland enters the game for J. Henson,,59-83,,
7:05.0,,,59-83,,B. Diaw enters the game for D. West
7:05.0,,,59-83,,M. Bonner enters the game for P. Mills
6:57.0,,,59-83,,M. Bonner misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by M. Plumlee,,59-83,,
6:29.0,T. Ennis misses 3-pt shot from 25 ft,,59-83,,
6:27.0,,,59-83,,Defensive rebound by R. Butler
6:23.0,,,59-83,,Shooting foul by M. Plumlee (drawn by B. Diaw)
6:23.0,,,59-83,,B. Diaw misses free throw 1 of 2
6:23.0,,,59-83,,Offensive rebound by Team
6:23.0,,,59-83,,B. Diaw misses free throw 2 of 2
6:19.0,Defensive rebound by J. O'Bryant,,59-83,,
5:57.0,Offensive foul by C. Copeland,,59-83,,
5:57.0,Turnover by C. Copeland (offensive foul),,59-83,,
5:57.0,,,59-83,,Turnover by K. Anderson (bad pass)
5:57.0,Official timeout,,59-83,,
5:40.0,J. O'Bryant misses 2-pt shot from 4 ft,,59-83,,
5:38.0,,,59-83,,Defensive rebound by M. Bonner
5:21.0,,,59-85,2,R. Butler makes 2-pt shot from 2 ft (assist by M. Bonner)
5:08.0,Turnover by M. Plumlee (lost ball; steal by K. Anderson),,59-85,,
4:50.0,,,59-85,,R. Butler misses 2-pt shot from 4 ft
4:48.0,,,59-85,,Offensive rebound by B. Diaw
4:42.0,,,59-88,3,B. Diaw makes 3-pt shot from 24 ft
4:18.0,R. Vaughn misses 2-pt shot from 10 ft,,59-88,,
