time,LA Lakers,pts.away,score,pts.home,Memphis
7:27.0,Defensive rebound by L. Nance,,7-13,,
7:16.0,K. Bryant makes 2-pt shot from 1 ft,2,9-13,,
7:04.0,,,9-13,,Shooting foul by J. Clarkson (drawn by J. Green)
7:04.0,,,9-14,1,J. Green makes free throw 1 of 2
7:04.0,,,9-14,,J. Green misses free throw 2 of 2
7:03.0,Defensive rebound by R. Hibbert,,9-14,,
6:50.0,K. Bryant misses 2-pt shot from 21 ft,,9-14,,
6:49.0,Offensive rebound by Team,,9-14,,
6:39.0,R. Hibbert misses 2-pt shot from 1 ft,,9-14,,
6:37.0,Offensive rebound by L. Nance,,9-14,,
6:37.0,L. Nance makes 2-pt shot at rim,2,11-14,,
6:15.0,,,11-16,2,M. Gasol makes 2-pt shot from 4 ft
6:01.0,Turnover by K. Bryant (bad pass),,11-16,,
6:01.0,,,11-16,,T. Allen enters the game for J. Green
5:46.0,Personal foul by K. Bryant (drawn by M. Gasol),,11-16,,
5:46.0,,,11-16,,Memphis full timeout
5:46.0,D. Russell enters the game for L. Williams,,11-16,,
5:35.0,,,11-18,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
5:19.0,,,11-18,,Personal foul by T. Allen (drawn by K. Bryant)
5:19.0,,,11-18,,Z. Randolph enters the game for M. Barnes
5:10.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,14-18,,
4:55.0,Personal foul by R. Hibbert (drawn by M. Gasol),,14-18,,
4:46.0,,,14-18,,M. Conley misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by L. Nance,,14-18,,
4:30.0,Turnover by K. Bryant (bad pass; steal by M. Conley),,14-18,,
4:20.0,,,14-20,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Gasol)
4:04.0,L. Nance misses 2-pt shot from 20 ft,,14-20,,
4:03.0,,,14-20,,Defensive rebound by M. Conley
3:53.0,,,14-22,2,M. Conley makes 2-pt shot from 16 ft
3:45.0,LA Lakers full timeout,,14-22,,
3:45.0,B. Bass enters the game for L. Nance,,14-22,,
3:45.0,J. Randle enters the game for R. Hibbert,,14-22,,
3:45.0,,,14-22,,M. Chalmers enters the game for M. Conley
3:35.0,B. Bass misses 2-pt shot from 13 ft,,14-22,,
3:35.0,,,14-22,,Defensive rebound by Z. Randolph
3:15.0,,,14-22,,T. Allen misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by J. Randle,,14-22,,
3:05.0,Shooting foul by C. Lee (drawn by J. Clarkson),,14-22,,
3:05.0,J. Clarkson makes free throw 1 of 2,1,15-22,,
3:05.0,J. Clarkson makes free throw 2 of 2,1,16-22,,
2:45.0,,,16-22,,C. Lee misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by K. Bryant,,16-22,,
2:37.0,K. Bryant misses 3-pt shot from 25 ft,,16-22,,
2:36.0,,,16-22,,Defensive rebound by M. Gasol
2:29.0,,,16-24,2,M. Chalmers makes 2-pt shot at rim
2:13.0,J. Randle misses 2-pt shot from 19 ft,,16-24,,
2:12.0,,,16-24,,Defensive rebound by C. Lee
2:01.0,,,16-24,,Turnover by Z. Randolph (lost ball; steal by D. Russell)
1:53.0,D. Russell misses 3-pt shot from 24 ft,,16-24,,
1:51.0,,,16-24,,Defensive rebound by M. Gasol
1:42.0,,,16-24,,M. Chalmers misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by J. Clarkson,,16-24,,
1:36.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,19-24,,
1:19.0,Personal foul by J. Clarkson (drawn by C. Lee),,19-24,,
1:19.0,,,19-25,1,C. Lee makes free throw 1 of 2
1:19.0,,,19-25,,J. Green enters the game for M. Gasol
1:19.0,,,19-26,1,C. Lee makes free throw 2 of 2
1:04.0,K. Bryant misses 3-pt shot from 23 ft,,19-26,,
1:04.0,,,19-26,,Defensive rebound by M. Chalmers
0:58.0,,,19-28,2,M. Chalmers makes 2-pt shot at rim
0:49.0,Turnover by D. Russell (bad pass; steal by Z. Randolph),,19-28,,
0:45.0,,,19-30,2,Z. Randolph makes 2-pt shot at rim (assist by M. Chalmers)
0:37.0,Shooting foul by T. Allen (drawn by K. Bryant),,19-30,,
0:37.0,K. Bryant makes free throw 1 of 2,1,20-30,,
0:37.0,,,20-30,,V. Carter enters the game for T. Allen
0:37.0,K. Bryant makes free throw 2 of 2,1,21-30,,
0:27.0,,,21-30,,C. Lee misses 2-pt shot from 2 ft (block by B. Bass)
0:25.0,Defensive rebound by J. Randle,,21-30,,
0:07.0,K. Bryant makes 2-pt shot at rim,2,23-30,,
0:01.0,,,23-32,2,C. Lee makes 2-pt shot from 18 ft (assist by M. Chalmers)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,J. Randle makes 2-pt shot at rim,2,25-32,,
11:30.0,,,25-32,,J. Green misses 2-pt shot from 1 ft (block by N. Young)
11:27.0,Defensive rebound by J. Randle,,25-32,,
11:23.0,L. Williams misses 3-pt shot from 23 ft,,25-32,,
11:19.0,,,25-32,,Defensive rebound by M. Chalmers
11:15.0,,,25-32,,T. Allen misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by J. Randle,,25-32,,
11:08.0,D. Russell makes 3-pt shot from 25 ft (assist by L. Williams),3,28-32,,
10:53.0,Personal foul by L. Williams,,28-32,,
10:46.0,,,28-32,,Z. Randolph misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by J. Randle,,28-32,,
10:38.0,N. Young misses 2-pt shot from 13 ft,,28-32,,
10:35.0,,,28-32,,Defensive rebound by Z. Randolph
10:30.0,,,28-34,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
10:15.0,L. Williams makes 3-pt shot from 25 ft,3,31-34,,
10:09.0,,,31-34,,Memphis full timeout
9:59.0,,,31-36,2,Z. Randolph makes 2-pt shot from 5 ft (assist by V. Carter)
9:41.0,,,31-36,,Personal foul by V. Carter
9:29.0,J. Randle misses 2-pt shot from 7 ft,,31-36,,
9:28.0,,,31-36,,Defensive rebound by T. Allen
9:14.0,,,31-36,,Turnover by Z. Randolph (back court)
8:49.0,N. Young misses 3-pt shot from 26 ft,,31-36,,
8:49.0,Offensive rebound by J. Randle,,31-36,,
8:49.0,,,31-36,,Personal foul by Z. Randolph (drawn by J. Randle)
8:41.0,Turnover by L. Williams (lost ball),,31-36,,
8:35.0,,,31-36,,Shooting foul by D. Russell (drawn by M. Chalmers)
8:35.0,,,31-37,1,M. Chalmers makes free throw 1 of 2
8:35.0,,,31-37,,J. Green enters the game for T. Allen
8:35.0,,,31-38,1,M. Chalmers makes free throw 2 of 2
8:25.0,L. Williams misses 3-pt shot from 25 ft,,31-38,,
8:25.0,,,31-38,,Defensive rebound by J. Green
8:11.0,,,31-40,2,V. Carter makes 2-pt shot at rim
7:58.0,D. Russell makes 3-pt shot from 24 ft,3,34-40,,
7:45.0,,,34-40,,J. Green misses 2-pt shot from 1 ft (block by B. Bass)
7:42.0,Defensive rebound by J. Randle,,34-40,,
7:36.0,L. Williams misses 2-pt shot at rim (block by J. Green),,34-40,,
7:33.0,Offensive rebound by N. Young,,34-40,,
7:29.0,N. Young makes 3-pt shot from 24 ft,3,37-40,,
7:11.0,,,37-40,,Shooting foul by J. Randle (drawn by Z. Randolph)
7:11.0,,,37-41,1,Z. Randolph makes free throw 1 of 2
7:11.0,,,37-41,,M. Barnes enters the game for V. Carter
7:11.0,,,37-42,1,Z. Randolph makes free throw 2 of 2
6:57.0,L. Williams misses 3-pt shot from 22 ft (block by J. Green),,37-42,,
6:55.0,,,37-42,,Defensive rebound by J. Green
6:49.0,,,37-42,,J. Green misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by N. Young,,37-42,,
6:36.0,D. Russell misses 3-pt shot from 24 ft,,37-42,,
6:35.0,,,37-42,,Defensive rebound by M. Barnes
6:16.0,,,37-44,2,Z. Randolph makes 2-pt shot from 1 ft
5:51.0,Shooting foul by J. Green (drawn by J. Randle),,37-44,,
5:51.0,LA Lakers full timeout,,37-44,,
5:51.0,,,37-44,,M. Gasol enters the game for Z. Randolph
5:51.0,,,37-44,,M. Conley enters the game for M. Chalmers
5:51.0,J. Randle misses free throw 1 of 2,,37-44,,
5:51.0,Offensive rebound by Team,,37-44,,
5:51.0,J. Randle makes free throw 2 of 2,1,38-44,,
5:33.0,J. Clarkson enters the game for D. Russell,,38-44,,
5:33.0,R. Hibbert enters the game for B. Bass,,38-44,,
5:28.0,,,38-46,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
5:07.0,J. Randle misses 2-pt shot from 5 ft,,38-46,,
5:05.0,Offensive rebound by J. Randle,,38-46,,
5:05.0,J. Randle misses 2-pt shot at rim,,38-46,,
5:03.0,,,38-46,,Defensive rebound by J. Green
4:56.0,,,38-46,,Turnover by M. Barnes (bad pass; steal by N. Young)
4:53.0,N. Young misses 2-pt shot at rim (block by J. Green),,38-46,,
4:53.0,Offensive rebound by Team,,38-46,,
4:43.0,J. Clarkson makes 2-pt shot from 20 ft,2,40-46,,
4:23.0,,,40-46,,Shooting foul by R. Hibbert (drawn by M. Conley)
4:23.0,,,40-47,1,M. Conley makes free throw 1 of 2
4:23.0,L. Nance enters the game for J. Randle,,40-47,,
4:23.0,,,40-48,1,M. Conley makes free throw 2 of 2
4:02.0,N. Young misses 3-pt shot from 24 ft,,40-48,,
4:02.0,,,40-48,,Defensive rebound by M. Gasol
3:50.0,,,40-50,2,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley)
3:23.0,Turnover by Team (shot clock),,40-50,,
3:09.0,,,40-50,,M. Gasol misses 2-pt shot from 15 ft
3:09.0,Defensive rebound by L. Nance,,40-50,,
2:57.0,J. Clarkson makes 2-pt shot from 1 ft,2,42-50,,
2:40.0,,,42-52,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
2:25.0,L. Williams misses 2-pt shot from 22 ft,,42-52,,
2:25.0,,,42-52,,Defensive rebound by M. Barnes
2:20.0,,,42-52,,Shooting foul by J. Clarkson (drawn by J. Green)
2:20.0,LA Lakers full timeout,,42-52,,
2:20.0,D. Russell enters the game for J. Clarkson,,42-52,,
2:20.0,,,42-53,1,J. Green makes free throw 1 of 2
2:20.0,,,42-54,1,J. Green makes free throw 2 of 2
2:02.0,N. Young makes 2-pt shot from 14 ft (assist by R. Hibbert),2,44-54,,
1:41.0,,,44-56,2,M. Gasol makes 2-pt shot from 10 ft (assist by J. Green)
1:19.0,Turnover by R. Hibbert (lost ball; steal by M. Gasol),,44-56,,
1:02.0,,,44-59,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
0:47.0,Shooting foul by J. Green (drawn by D. Russell),,44-59,,
0:47.0,D. Russell makes free throw 1 of 2,1,45-59,,
0:47.0,D. Russell makes free throw 2 of 2,1,46-59,,
0:33.0,,,46-59,,M. Conley misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by L. Nance,,46-59,,
0:10.0,L. Nance misses 2-pt shot from 1 ft,,46-59,,
0:08.0,Offensive rebound by L. Nance,,46-59,,
0:08.0,L. Nance misses 2-pt shot from 1 ft,,46-59,,
0:06.0,,,46-59,,Defensive rebound by M. Barnes
0:03.0,,,46-59,,J. Green misses 2-pt shot from 1 ft
0:02.0,,,46-59,,Offensive rebound by J. Green
0:02.0,,,46-59,,J. Green misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by R. Hibbert,,46-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,L. Nance makes 2-pt shot from 20 ft (assist by J. Clarkson),2,48-59,,
11:24.0,,,48-62,3,J. Green makes 3-pt shot from 23 ft (assist by C. Lee)
11:00.0,Turnover by K. Bryant (bad pass; steal by M. Conley),,48-62,,
10:59.0,Personal take foul by K. Bryant (drawn by M. Conley),,48-62,,
10:49.0,,,48-64,2,M. Conley makes 2-pt shot from 9 ft
10:28.0,L. Nance makes 2-pt shot from 19 ft (assist by K. Bryant),2,50-64,,
10:17.0,Personal foul by J. Clarkson (drawn by M. Conley),,50-64,,
10:07.0,,,50-67,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Green)
9:48.0,Shooting foul by M. Barnes (drawn by K. Bryant),,50-67,,
9:48.0,K. Bryant makes free throw 1 of 3,1,51-67,,
9:48.0,K. Bryant makes free throw 2 of 3,1,52-67,,
9:48.0,K. Bryant misses free throw 3 of 3,,52-67,,
9:46.0,,,52-67,,Defensive rebound by M. Barnes
9:32.0,Personal foul by R. Hibbert (drawn by M. Gasol),,52-67,,
9:20.0,,,52-67,,M. Gasol misses 2-pt shot from 17 ft
9:20.0,Defensive rebound by K. Bryant,,52-67,,
9:10.0,J. Clarkson misses 3-pt shot from 25 ft,,52-67,,
9:09.0,Offensive rebound by R. Hibbert,,52-67,,
9:09.0,Shooting foul by M. Gasol (drawn by R. Hibbert),,52-67,,
9:09.0,R. Hibbert makes free throw 1 of 2,1,53-67,,
9:09.0,R. Hibbert makes free throw 2 of 2,1,54-67,,
8:50.0,,,54-69,2,J. Green makes 2-pt shot from 4 ft
8:32.0,K. Bryant misses 3-pt shot from 28 ft,,54-69,,
8:32.0,,,54-69,,Defensive rebound by M. Conley
8:13.0,,,54-71,2,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol)
7:59.0,J. Clarkson makes 2-pt shot from 21 ft,2,56-71,,
7:39.0,,,56-74,3,C. Lee makes 3-pt shot from 23 ft (assist by J. Green)
7:16.0,K. Bryant makes 2-pt shot from 18 ft,2,58-74,,
7:16.0,Shooting foul by M. Barnes (drawn by K. Bryant),,58-74,,
7:16.0,K. Bryant makes free throw 1 of 1,1,59-74,,
6:57.0,Personal foul by R. Hibbert (drawn by M. Gasol),,59-74,,
6:57.0,,,59-75,1,M. Gasol makes free throw 1 of 2
6:57.0,,,59-75,,M. Chalmers enters the game for M. Conley
6:57.0,,,59-76,1,M. Gasol makes free throw 2 of 2
6:45.0,,,59-76,,Personal foul by J. Green (drawn by L. Nance)
6:36.0,K. Bryant misses 2-pt shot from 17 ft,,59-76,,
6:36.0,,,59-76,,Defensive rebound by M. Chalmers
6:31.0,,,59-78,2,M. Barnes makes 2-pt shot at rim (assist by M. Chalmers)
6:20.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,61-78,,
5:52.0,,,61-80,2,M. Gasol makes 2-pt shot from 9 ft (assist by M. Chalmers)
5:35.0,J. Clarkson misses 2-pt shot from 7 ft,,61-80,,
5:34.0,,,61-80,,Defensive rebound by M. Barnes
5:28.0,,,61-80,,Turnover by J. Green (bad pass; steal by L. Nance)
5:17.0,R. Hibbert misses 2-pt shot from 16 ft,,61-80,,
5:16.0,,,61-80,,Defensive rebound by M. Barnes
5:15.0,,,61-80,,Memphis full timeout
5:15.0,,,61-80,,Z. Randolph enters the game for M. Gasol
5:15.0,D. Russell enters the game for J. Clarkson,,61-80,,
4:54.0,,,61-82,2,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Barnes)
4:32.0,L. Nance makes 2-pt shot from 17 ft (assist by D. Russell),2,63-82,,
4:18.0,,,63-84,2,J. Green makes 2-pt shot from 14 ft (assist by M. Chalmers)
4:08.0,,,63-84,,Personal foul by M. Chalmers (drawn by L. Nance)
4:08.0,,,63-84,,T. Allen enters the game for M. Barnes
4:08.0,L. Nance makes free throw 1 of 2,1,64-84,,
4:08.0,L. Nance misses free throw 2 of 2,,64-84,,
4:06.0,Offensive rebound by R. Hibbert,,64-84,,
4:02.0,K. Bryant misses 3-pt shot from 25 ft,,64-84,,
4:02.0,Offensive rebound by L. Nance,,64-84,,
3:56.0,L. Williams misses 3-pt shot from 25 ft,,64-84,,
3:56.0,Offensive rebound by Team,,64-84,,
3:47.0,K. Bryant misses 2-pt shot from 13 ft,,64-84,,
3:46.0,,,64-84,,Defensive rebound by Z. Randolph
3:38.0,,,64-86,2,C. Lee makes 2-pt shot from 18 ft (assist by J. Green)
3:19.0,L. Nance makes 2-pt shot from 1 ft (assist by D. Russell),2,66-86,,
3:09.0,,,66-86,,M. Chalmers misses 2-pt shot from 1 ft
3:07.0,,,66-86,,Offensive rebound by M. Chalmers
3:07.0,,,66-86,,M. Chalmers misses 2-pt shot at rim
3:05.0,Defensive rebound by L. Nance,,66-86,,
3:00.0,D. Russell makes 2-pt shot at rim,2,68-86,,
2:39.0,,,68-88,2,Z. Randolph makes 2-pt shot from 14 ft (assist by C. Lee)
2:27.0,Turnover by D. Russell (bad pass; steal by M. Chalmers),,68-88,,
2:23.0,,,68-88,,M. Chalmers misses 2-pt shot at rim (block by L. Williams)
2:19.0,,,68-88,,Offensive rebound by C. Lee
2:19.0,,,68-90,2,C. Lee makes 2-pt shot from 4 ft
2:03.0,Shooting foul by Z. Randolph (drawn by R. Hibbert),,68-90,,
2:03.0,LA Lakers full timeout,,68-90,,
2:03.0,,,68-90,,J. Green enters the game for J. Green
2:03.0,R. Hibbert makes free throw 1 of 2,1,69-90,,
2:03.0,R. Hibbert makes free throw 2 of 2,1,70-90,,
1:47.0,,,70-90,,Turnover by M. Chalmers (lost ball; steal by L. Nance)
1:43.0,L. Williams makes 2-pt shot at rim (assist by L. Nance),2,72-90,,
1:26.0,,,72-90,,J. Green misses 2-pt shot from 13 ft
1:25.0,Defensive rebound by L. Nance,,72-90,,
1:11.0,K. Bryant misses 3-pt shot from 24 ft,,72-90,,
1:11.0,Offensive rebound by L. Nance,,72-90,,
1:09.0,Turnover by L. Nance (lost ball; steal by C. Lee),,72-90,,
1:04.0,,,72-92,2,T. Allen makes 2-pt shot at rim (assist by C. Lee)
0:41.0,L. Nance makes 2-pt shot from 17 ft (assist by K. Bryant),2,74-92,,
0:25.0,,,74-92,,M. Chalmers misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by Team,,74-92,,
0:03.0,L. Williams misses 3-pt shot from 25 ft,,74-92,,
0:03.0,,,74-92,,Defensive rebound by T. Allen
0:00.0,,,74-92,,T. Allen misses 2-pt shot from 2 ft
0:00.0,,,74-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,74-95,3,M. Chalmers makes 3-pt shot from 25 ft (assist by M. Conley)
11:08.0,Turnover by D. Russell (lost ball; steal by J. Green),,74-95,,
10:52.0,Personal foul by J. Randle (drawn by Z. Randolph),,74-95,,
10:44.0,,,74-97,2,J. Green makes 2-pt shot from 21 ft (assist by M. Chalmers)
10:30.0,,,74-97,,Personal foul by M. Chalmers (drawn by D. Russell)
10:21.0,J. Clarkson misses 2-pt shot from 1 ft,,74-97,,
10:19.0,Offensive rebound by B. Bass,,74-97,,
10:19.0,B. Bass makes 2-pt shot at rim,2,76-97,,
10:05.0,,,76-99,2,M. Conley makes 2-pt shot at rim
9:46.0,D. Russell misses 3-pt shot from 25 ft,,76-99,,
9:46.0,,,76-99,,Defensive rebound by M. Conley
9:35.0,,,76-101,2,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley)
9:33.0,LA Lakers full timeout,,76-101,,
9:17.0,Shooting foul by T. Allen (drawn by N. Young),,76-101,,
9:17.0,N. Young makes free throw 1 of 2,1,77-101,,
9:17.0,N. Young makes free throw 2 of 2,1,78-101,,
9:02.0,,,78-103,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Green)
8:40.0,J. Clarkson makes 2-pt shot from 8 ft (assist by D. Russell),2,80-103,,
8:22.0,,,80-103,,M. Conley misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by J. Randle,,80-103,,
8:14.0,Turnover by J. Clarkson (bad pass; steal by M. Conley),,80-103,,
8:14.0,Clear path foul by D. Russell,,80-103,,
8:14.0,,,80-104,1,M. Conley makes clear path free throw 1 of 2
8:14.0,,,80-105,1,M. Conley makes clear path free throw 2 of 2
8:14.0,,,80-105,,V. Carter enters the game for Z. Randolph
8:03.0,,,80-105,,M. Conley misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by J. Randle,,80-105,,
7:55.0,N. Young misses 3-pt shot from 25 ft,,80-105,,
7:54.0,,,80-105,,Defensive rebound by J. Green
7:33.0,,,80-105,,M. Chalmers misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by B. Bass,,80-105,,
7:18.0,,,80-105,,Personal foul by J. Green (drawn by B. Bass)
7:18.0,A. Brown enters the game for D. Russell,,80-105,,
7:18.0,M. Huertas enters the game for J. Clarkson,,80-105,,
7:08.0,Turnover by J. Randle (lost ball; steal by M. Conley),,80-105,,
6:58.0,,,80-105,,Turnover by T. Allen (lost ball; steal by B. Bass)
6:51.0,,,80-105,,R. Smith enters the game for M. Conley
6:51.0,R. Sacre enters the game for B. Bass,,80-105,,
6:51.0,R. Kelly enters the game for N. Young,,80-105,,
6:37.0,J. Randle makes 3-pt shot from 25 ft (assist by M. Huertas),3,83-105,,
6:16.0,,,83-105,,T. Allen misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by Team,,83-105,,
6:05.0,R. Kelly misses 2-pt shot from 11 ft,,83-105,,
6:03.0,Offensive rebound by R. Kelly,,83-105,,
5:54.0,R. Kelly misses 3-pt shot from 24 ft,,83-105,,
5:54.0,,,83-105,,Defensive rebound by R. Smith
5:49.0,,,83-105,,Shooting foul by M. Huertas (drawn by R. Smith)
5:49.0,,,83-105,,Memphis full timeout
5:49.0,,,83-105,,J. Martin enters the game for T. Allen
5:49.0,,,83-105,,R. Smith misses free throw 1 of 2
5:49.0,,,83-105,,Offensive rebound by Team
5:49.0,,,83-105,,R. Smith misses free throw 2 of 2
5:49.0,Defensive rebound by J. Randle,,83-105,,
5:37.0,Shooting foul by J. Green (drawn by J. Randle),,83-105,,
5:37.0,J. Randle misses free throw 1 of 2,,83-105,,
5:37.0,Offensive rebound by Team,,83-105,,
5:37.0,J. Randle makes free throw 2 of 2,1,84-105,,
5:22.0,,,84-105,,Turnover by J. Green (bad pass)
4:58.0,Turnover by Team (shot clock),,84-105,,
4:42.0,,,84-105,,V. Carter misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by A. Brown,,84-105,,
4:29.0,A. Brown misses 2-pt shot from 6 ft,,84-105,,
4:26.0,Offensive rebound by A. Brown,,84-105,,
4:26.0,A. Brown misses 2-pt shot from 5 ft,,84-105,,
4:24.0,,,84-105,,Defensive rebound by M. Chalmers
4:20.0,,,84-105,,Turnover by M. Chalmers (bad pass; steal by A. Brown)
4:15.0,R. Kelly makes 2-pt shot from 17 ft (assist by A. Brown),2,86-105,,
4:04.0,,,86-105,,V. Carter misses 3-pt shot from 24 ft
4:03.0,,,86-105,,Offensive rebound by J. Green
4:01.0,,,86-105,,Shooting foul by J. Randle (drawn by J. Green)
4:01.0,,,86-105,,J. Green misses free throw 1 of 2
4:01.0,,,86-105,,Offensive rebound by Team
4:01.0,,,86-105,,J. Green misses free throw 2 of 2
4:00.0,Defensive rebound by J. Randle,,86-105,,
3:45.0,M. Huertas misses 2-pt shot from 5 ft,,86-105,,
3:45.0,Offensive rebound by R. Sacre,,86-105,,
3:45.0,Shooting foul by V. Carter (drawn by R. Sacre),,86-105,,
3:45.0,R. Sacre makes free throw 1 of 2,1,87-105,,
3:45.0,R. Sacre misses free throw 2 of 2,,87-105,,
3:43.0,Offensive rebound by R. Sacre,,87-105,,
3:40.0,R. Sacre misses 2-pt shot from 4 ft (block by R. Smith),,87-105,,
3:39.0,,,87-105,,Defensive rebound by R. Smith
3:34.0,,,87-105,,J. Martin misses 2-pt shot from 1 ft (block by R. Sacre)
3:33.0,Defensive rebound by M. Huertas,,87-105,,
3:22.0,J. Randle misses 2-pt shot from 9 ft,,87-105,,
3:20.0,Offensive rebound by J. Randle,,87-105,,
3:19.0,,,87-105,,Violation by J. Green (def goaltending)
3:19.0,J. Randle makes 2-pt shot from 4 ft,2,89-105,,
3:19.0,,,89-105,,Memphis full timeout
3:04.0,,,89-108,3,J. Green makes 3-pt shot from 23 ft (assist by V. Carter)
2:51.0,Turnover by R. Kelly (lost ball; steal by R. Smith),,89-108,,
2:44.0,,,89-108,,Turnover by R. Smith (bad pass)
2:33.0,M. Huertas misses 2-pt shot from 11 ft,,89-108,,
2:32.0,,,89-108,,Defensive rebound by J. Green
2:21.0,,,89-110,2,M. Chalmers makes 2-pt shot from 1 ft
2:02.0,R. Kelly makes 3-pt shot from 24 ft (assist by J. Randle),3,92-110,,
1:50.0,,,92-110,,Turnover by R. Smith (step out of bounds)
1:39.0,R. Kelly misses 3-pt shot from 23 ft,,92-110,,
1:37.0,,,92-110,,Defensive rebound by J. Green
1:21.0,,,92-110,,J. Martin misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by A. Brown,,92-110,,
1:17.0,Turnover by A. Brown (lost ball; steal by R. Smith),,92-110,,
1:15.0,,,92-110,,R. Smith misses 2-pt shot at rim
1:13.0,Defensive rebound by A. Brown,,92-110,,
1:13.0,,,92-110,,Personal foul by J. Martin (drawn by J. Randle)
1:13.0,J. Randle misses free throw 1 of 2,,92-110,,
1:13.0,Offensive rebound by Team,,92-110,,
