time,Memphis,pts.away,score,pts.home,LA Lakers
1:54.0,,,40-46,,J. Clarkson misses 2-pt shot from 19 ft
1:50.0,,,40-46,,Offensive rebound by D. Russell
1:50.0,,,40-46,,D. Russell misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by Z. Randolph,,40-46,,
1:34.0,T. Allen makes 2-pt shot from 8 ft (assist by J. Farmar),2,42-46,,
1:15.0,,,42-46,,Turnover by D. Russell (lost ball; steal by J. Green)
1:10.0,T. Allen makes 2-pt shot from 1 ft (assist by J. Green),2,44-46,,
1:02.0,,,44-46,,LA Lakers full timeout
0:57.0,,,44-48,2,J. Clarkson makes 2-pt shot from 1 ft
0:48.0,J. Farmar makes 3-pt shot from 26 ft,3,47-48,,
0:31.0,,,47-48,,J. Clarkson misses 3-pt shot from 29 ft
0:31.0,,,47-48,,Offensive rebound by Team
0:31.0,Loose ball foul by Z. Randolph,,47-48,,
0:30.0,,,47-48,,Turnover by K. Bryant (lost ball; steal by X. Munford)
0:25.0,,,47-48,,Personal take foul by R. Hibbert
0:25.0,V. Carter enters the game for T. Allen,,47-48,,
0:25.0,Memphis full timeout,,47-48,,
0:17.0,Turnover by X. Munford (dbl dribble),,47-48,,
0:17.0,T. Allen enters the game for V. Carter,,47-48,,
0:07.0,,,47-48,,Turnover by D. Russell (lost ball; steal by J. Farmar)
0:01.0,J. Green misses 3-pt shot from 24 ft,,47-48,,
0:00.0,Offensive rebound by Team,,47-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,T. Allen makes 2-pt shot from 20 ft (assist by R. McCallum),2,49-48,,
11:11.0,,,49-48,,J. Clarkson misses 2-pt shot from 10 ft
11:09.0,,,49-48,,Offensive rebound by J. Clarkson
11:09.0,,,49-48,,J. Clarkson misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by Z. Randolph,,49-48,,
11:02.0,Shooting foul by R. Hibbert (drawn by T. Allen),,49-48,,
11:02.0,T. Allen makes free throw 1 of 2,1,50-48,,
11:02.0,T. Allen makes free throw 2 of 2,1,51-48,,
10:40.0,,,51-48,,K. Bryant misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by T. Allen,,51-48,,
10:33.0,C. Andersen makes 2-pt shot from 1 ft (assist by T. Allen),2,53-48,,
10:19.0,,,53-48,,J. Clarkson misses 2-pt shot from 4 ft
10:16.0,,,53-48,,Offensive rebound by J. Randle
10:16.0,,,53-50,2,J. Randle makes 2-pt shot from 1 ft
10:03.0,C. Andersen makes 2-pt shot from 2 ft (assist by T. Allen),2,55-50,,
9:55.0,Personal foul by M. Barnes,,55-50,,
9:42.0,,,55-50,,D. Russell misses 2-pt shot from 3 ft (block by Z. Randolph)
9:39.0,,,55-50,,Offensive rebound by J. Randle
9:38.0,,,55-52,2,J. Randle makes 2-pt shot at rim
9:21.0,M. Barnes misses 3-pt shot from 25 ft,,55-52,,
9:20.0,,,55-52,,Defensive rebound by J. Randle
9:14.0,,,55-55,3,K. Bryant makes 3-pt shot from 25 ft (assist by J. Randle)
8:54.0,Z. Randolph misses 2-pt shot from 4 ft,,55-55,,
8:52.0,Offensive rebound by Z. Randolph,,55-55,,
8:52.0,Z. Randolph makes 2-pt shot from 2 ft,2,57-55,,
8:41.0,,,57-55,,Turnover by J. Randle (lost ball; steal by Z. Randolph)
8:34.0,M. Barnes makes 2-pt shot at rim (assist by T. Allen),2,59-55,,
8:12.0,,,59-57,2,K. Bryant makes 2-pt shot from 11 ft
8:12.0,,,59-57,,Shooting foul by R. McCallum (drawn by K. Bryant)
8:12.0,,,59-58,1,K. Bryant makes free throw 1 of 1
7:53.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Barnes),2,61-58,,
7:36.0,,,61-58,,K. Bryant misses 2-pt shot from 11 ft
7:34.0,,,61-58,,Offensive rebound by J. Clarkson
7:24.0,,,61-58,,K. Bryant misses 3-pt shot from 25 ft
7:21.0,,,61-58,,Offensive rebound by R. Hibbert
7:17.0,,,61-60,2,K. Bryant makes 2-pt shot from 1 ft (assist by R. Hibbert)
6:55.0,Z. Randolph misses 2-pt shot from 7 ft (block by J. Randle),,61-60,,
6:55.0,,,61-60,,Defensive rebound by Team
6:40.0,,,61-62,2,J. Clarkson makes 2-pt shot from 2 ft
6:34.0,Memphis full timeout,,61-62,,
6:34.0,J. Green enters the game for C. Andersen,,61-62,,
6:34.0,J. Farmar enters the game for R. McCallum,,61-62,,
6:21.0,Z. Randolph makes 2-pt shot from 2 ft,2,63-62,,
6:16.0,Personal take foul by J. Green,,63-62,,
6:08.0,Personal foul by J. Green,,63-62,,
6:08.0,,,63-62,,L. Williams enters the game for D. Russell
5:57.0,,,63-65,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
5:42.0,,,63-65,,Personal foul by R. Hibbert
5:34.0,Offensive foul by Z. Randolph,,63-65,,
5:34.0,Turnover by Z. Randolph (offensive foul),,63-65,,
5:21.0,,,63-67,2,K. Bryant makes 2-pt shot from 10 ft
5:10.0,,,63-67,,Personal foul by K. Bryant
5:01.0,T. Allen makes 2-pt shot from 4 ft (assist by J. Green),2,65-67,,
5:01.0,Shooting foul by J. Clarkson (drawn by T. Allen),,65-67,,
5:01.0,T. Allen misses free throw 1 of 1,,65-67,,
5:00.0,,,65-67,,Defensive rebound by J. Randle
4:46.0,,,65-69,2,J. Clarkson makes 2-pt shot from 8 ft
4:22.0,J. Farmar misses 2-pt shot from 11 ft,,65-69,,
4:19.0,,,65-69,,Defensive rebound by R. Hibbert
4:04.0,,,65-71,2,K. Bryant makes 2-pt shot from 8 ft
3:50.0,T. Allen makes 2-pt shot from 17 ft (assist by Z. Randolph),2,67-71,,
3:42.0,,,67-71,,Offensive foul by K. Bryant
3:42.0,,,67-71,,Turnover by K. Bryant (offensive foul)
3:42.0,,,67-71,,M. World Peace enters the game for K. Bryant
3:42.0,J. Martin enters the game for Z. Randolph,,67-71,,
3:27.0,T. Allen makes 2-pt shot from 8 ft,2,69-71,,
3:16.0,,,69-71,,Shooting foul by J. Green (drawn by L. Williams)
3:16.0,,,69-72,1,L. Williams makes free throw 1 of 2
3:16.0,L. Stephenson enters the game for M. Barnes,,69-72,,
3:16.0,,,69-72,,B. Bass enters the game for J. Randle
3:16.0,,,69-72,,T. Black enters the game for R. Hibbert
3:16.0,,,69-73,1,L. Williams makes free throw 2 of 2
3:02.0,Turnover by T. Allen (bad pass),,69-73,,
3:02.0,Loose ball foul by T. Allen,,69-73,,
3:02.0,,,69-74,1,J. Clarkson makes free throw 1 of 2
3:02.0,,,69-75,1,J. Clarkson makes free throw 2 of 2
2:41.0,Turnover by T. Allen (lost ball; steal by T. Black),,69-75,,
2:36.0,,,69-77,2,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Black)
2:21.0,L. Stephenson misses 2-pt shot from 16 ft,,69-77,,
2:18.0,,,69-77,,Defensive rebound by M. World Peace
2:04.0,,,69-77,,Shooting foul by J. Green (drawn by B. Bass)
2:04.0,,,69-77,,LA Lakers full timeout
2:04.0,V. Carter enters the game for T. Allen,,69-77,,
2:04.0,,,69-77,,M. Huertas enters the game for J. Clarkson
2:04.0,,,69-78,1,B. Bass makes free throw 1 of 2
2:04.0,,,69-79,1,B. Bass makes free throw 2 of 2
1:50.0,J. Green makes 2-pt shot from 2 ft (assist by J. Farmar),2,71-79,,
1:35.0,,,71-79,,Shooting foul by J. Green (drawn by L. Williams)
1:35.0,,,71-80,1,L. Williams makes free throw 1 of 2
1:35.0,,,71-81,1,L. Williams makes free throw 2 of 2
1:18.0,L. Stephenson misses 2-pt shot from 6 ft,,71-81,,
1:15.0,Offensive rebound by L. Stephenson,,71-81,,
1:13.0,L. Stephenson misses 2-pt shot from 1 ft,,71-81,,
1:09.0,,,71-81,,Defensive rebound by T. Black
1:05.0,,,71-81,,Turnover by M. Huertas (lost ball; steal by L. Stephenson)
1:05.0,,,71-81,,Personal take foul by M. World Peace
1:05.0,L. Stephenson makes free throw 1 of 2,1,72-81,,
1:05.0,Z. Randolph enters the game for J. Green,,72-81,,
1:05.0,L. Stephenson makes free throw 2 of 2,1,73-81,,
0:52.0,,,73-81,,M. World Peace misses 3-pt shot from 23 ft
0:51.0,,,73-81,,Offensive rebound by B. Bass
0:40.0,,,73-81,,L. Williams misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by L. Stephenson,,73-81,,
0:34.0,Shooting foul by T. Black (drawn by L. Stephenson),,73-81,,
0:34.0,L. Stephenson makes free throw 1 of 2,1,74-81,,
0:34.0,L. Stephenson makes free throw 2 of 2,1,75-81,,
0:32.0,,,75-81,,Turnover by T. Black (lost ball; steal by L. Stephenson)
0:32.0,L. Stephenson makes 2-pt shot at rim,2,77-81,,
0:32.0,Shooting foul by T. Black (drawn by L. Stephenson),,77-81,,
0:32.0,M. Barnes enters the game for Z. Randolph,,77-81,,
0:32.0,L. Stephenson makes free throw 1 of 1,1,78-81,,
0:13.0,,,78-81,,M. World Peace misses 2-pt shot from 5 ft
0:10.0,Jump ball: T. Black vs. J. Martin (V. Carter gains possession),,,,Jump ball: T. Black vs. J. Martin (V. Carter gains possession)
0:10.0,Defensive rebound by Team,,78-81,,
0:02.0,Turnover by L. Stephenson (lost ball; steal by B. Bass),,78-81,,
0:00.0,,,78-81,,B. Bass misses 3-pt shot from 39 ft
0:00.0,,,78-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:58.0,Personal foul by J. Farmar,,78-81,,
11:44.0,,,78-81,,L. Williams misses 2-pt shot from 14 ft
11:41.0,Defensive rebound by V. Carter,,78-81,,
11:32.0,Shooting foul by M. World Peace (drawn by J. Martin),,78-81,,
11:32.0,J. Martin makes free throw 1 of 2,1,79-81,,
11:32.0,J. Martin misses free throw 2 of 2,,79-81,,
11:31.0,,,79-81,,Defensive rebound by B. Bass
11:14.0,,,79-81,,Shooting foul by Z. Randolph (drawn by M. Huertas)
11:14.0,,,79-82,1,M. Huertas makes free throw 1 of 2
11:14.0,,,79-83,1,M. Huertas makes free throw 2 of 2
11:05.0,Offensive foul by J. Martin,,79-83,,
11:05.0,Turnover by J. Martin (offensive foul),,79-83,,
10:45.0,,,79-83,,Technical foul by M. World Peace
10:45.0,,,79-83,,Technical foul by M. World Peace
10:45.0,,,79-83,,K. Bryant enters the game for M. World Peace
10:45.0,J. Farmar makes technical free throw,1,80-83,,
10:45.0,J. Farmar makes technical free throw,1,81-83,,
10:43.0,Jump ball: K. Bryant vs. V. Carter (J. Farmar gains possession),,,,Jump ball: K. Bryant vs. V. Carter (J. Farmar gains possession)
10:43.0,,,81-83,,Turnover by K. Bryant (lost ball; steal by V. Carter)
10:25.0,J. Farmar misses 2-pt shot from 2 ft,,81-83,,
10:21.0,,,81-83,,Defensive rebound by L. Williams
10:11.0,,,81-83,,K. Bryant misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by V. Carter,,81-83,,
10:01.0,L. Stephenson misses 2-pt shot from 11 ft,,81-83,,
10:00.0,,,81-83,,Defensive rebound by K. Bryant
9:43.0,,,81-83,,L. Williams misses 3-pt shot from 26 ft
9:42.0,,,81-83,,Offensive rebound by T. Black
9:35.0,,,81-85,2,L. Williams makes 2-pt shot from 1 ft (assist by T. Black)
9:24.0,,,81-85,,Personal foul by M. Huertas
9:24.0,,,81-85,,J. Randle enters the game for T. Black
9:09.0,J. Martin makes 2-pt shot from 2 ft,2,83-85,,
9:09.0,Shooting foul by J. Randle (drawn by J. Martin),,83-85,,
9:09.0,J. Martin makes free throw 1 of 1,1,84-85,,
8:55.0,,,84-87,2,K. Bryant makes 2-pt shot from 23 ft
8:43.0,Z. Randolph misses 2-pt shot from 16 ft,,84-87,,
8:40.0,,,84-87,,Defensive rebound by J. Randle
8:34.0,,,84-87,,L. Williams misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by L. Stephenson,,84-87,,
8:15.0,J. Martin misses 2-pt shot from 3 ft (block by J. Randle),,84-87,,
8:15.0,Offensive rebound by V. Carter,,84-87,,
8:15.0,Shooting foul by J. Randle (drawn by V. Carter),,84-87,,
8:15.0,Official timeout,,84-87,,
8:15.0,,,84-87,,J. Clarkson enters the game for M. Huertas
8:15.0,V. Carter makes free throw 1 of 2,1,85-87,,
8:15.0,V. Carter misses free throw 2 of 2,,85-87,,
8:14.0,,,85-87,,Defensive rebound by B. Bass
8:06.0,,,85-87,,Shooting foul by L. Stephenson (drawn by K. Bryant)
8:06.0,,,85-88,1,K. Bryant makes free throw 1 of 3
8:06.0,,,85-89,1,K. Bryant makes free throw 2 of 3
8:06.0,T. Allen enters the game for V. Carter,,85-89,,
8:06.0,,,85-90,1,K. Bryant makes free throw 3 of 3
7:51.0,Turnover by J. Farmar (lost ball; steal by J. Randle),,85-90,,
7:35.0,,,85-92,2,J. Clarkson makes 2-pt shot from 2 ft
7:11.0,L. Stephenson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,87-92,,
6:46.0,,,87-92,,K. Bryant misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by T. Allen,,87-92,,
6:39.0,J. Farmar misses 3-pt shot from 24 ft,,87-92,,
6:36.0,Offensive rebound by L. Stephenson,,87-92,,
6:27.0,,,87-92,,Personal foul by K. Bryant
6:27.0,Z. Randolph makes free throw 1 of 2,1,88-92,,
6:27.0,M. Barnes enters the game for J. Martin,,88-92,,
6:27.0,Z. Randolph misses free throw 2 of 2,,88-92,,
6:25.0,,,88-92,,Defensive rebound by J. Randle
6:06.0,,,88-92,,L. Williams misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by L. Stephenson,,88-92,,
5:48.0,Z. Randolph misses 2-pt shot from 4 ft,,88-92,,
5:44.0,Offensive rebound by Z. Randolph,,88-92,,
5:42.0,Z. Randolph makes 2-pt shot from 8 ft,2,90-92,,
5:25.0,Personal foul by T. Allen,,90-92,,
5:25.0,,,90-92,,LA Lakers full timeout
5:11.0,,,90-94,2,B. Bass makes 2-pt shot from 1 ft
4:55.0,Turnover by L. Stephenson (bad pass),,90-94,,
4:39.0,,,90-94,,B. Bass misses 2-pt shot from 3 ft (block by M. Barnes)
4:38.0,Jump ball: M. Barnes vs. B. Bass,,,,Jump ball: M. Barnes vs. B. Bass
4:38.0,,,90-94,,Offensive rebound by Team
4:31.0,,,90-96,2,J. Randle makes 2-pt shot from 4 ft
4:31.0,,,90-96,,Shooting foul by M. Barnes (drawn by J. Randle)
4:31.0,,,90-97,1,J. Randle makes free throw 1 of 1
4:20.0,Shooting foul by J. Randle (drawn by T. Allen),,90-97,,
4:20.0,T. Allen misses free throw 1 of 2,,90-97,,
4:20.0,Offensive rebound by Team,,90-97,,
4:20.0,J. Green enters the game for L. Stephenson,,90-97,,
4:20.0,,,90-97,,M. Huertas enters the game for K. Bryant
