time,San Antonio,pts.away,score,pts.home,Milwaukee
8:28.0,Defensive rebound by T. Duncan,,4-9,,
8:07.0,D. Green misses 3-pt shot from 23 ft,,4-9,,
8:06.0,Offensive rebound by Team,,4-9,,
7:55.0,T. Duncan misses 2-pt shot from 8 ft,,4-9,,
7:54.0,Offensive rebound by L. Aldridge,,4-9,,
7:53.0,L. Aldridge makes 2-pt shot from 1 ft,2,6-9,,
7:41.0,,,6-9,,Shooting foul by D. Green (drawn by K. Middleton)
7:41.0,,,6-10,1,K. Middleton makes free throw 1 of 2
7:41.0,,,6-11,1,K. Middleton makes free throw 2 of 2
7:23.0,Turnover by P. Mills (bad pass),,6-11,,
7:08.0,,,6-13,2,G. Monroe makes 2-pt shot from 1 ft
7:08.0,San Antonio full timeout,,6-13,,
6:46.0,Turnover by D. Green (step out of bounds),,6-13,,
6:31.0,,,6-15,2,K. Middleton makes 2-pt shot from 16 ft (assist by J. Parker)
6:11.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Duncan),3,9-15,,
5:56.0,,,9-17,2,M. Carter-Williams makes 2-pt shot from 1 ft
5:33.0,K. Leonard makes 2-pt shot from 14 ft (assist by P. Mills),2,11-17,,
5:23.0,,,11-17,,Turnover by K. Middleton (bad pass; steal by D. Green)
5:15.0,T. Duncan makes 2-pt shot at rim (assist by K. Leonard),2,13-17,,
4:54.0,,,13-20,3,M. Carter-Williams makes 3-pt shot from 25 ft (assist by K. Middleton)
4:37.0,D. Green makes 3-pt shot from 24 ft (assist by P. Mills),3,16-20,,
4:19.0,,,16-20,,G. Monroe misses 2-pt shot from 16 ft
4:18.0,Defensive rebound by L. Aldridge,,16-20,,
4:11.0,K. Leonard misses 3-pt shot from 24 ft,,16-20,,
4:09.0,Offensive rebound by L. Aldridge,,16-20,,
4:08.0,L. Aldridge makes 2-pt shot at rim,2,18-20,,
4:00.0,,,18-20,,Milwaukee full timeout
4:00.0,,,18-20,,O. Mayo enters the game for G. Antetokounmpo
4:00.0,,,18-20,,J. Henson enters the game for G. Monroe
4:00.0,R. McCallum enters the game for T. Duncan,,18-20,,
4:00.0,M. Ginobili enters the game for D. Green,,18-20,,
4:00.0,B. Diaw enters the game for P. Mills,,18-20,,
3:48.0,,,18-22,2,J. Parker makes 2-pt shot from 1 ft
3:34.0,K. Leonard makes 2-pt shot from 19 ft (assist by M. Ginobili),2,20-22,,
3:23.0,,,20-22,,M. Carter-Williams misses 2-pt shot from 18 ft
3:22.0,Defensive rebound by L. Aldridge,,20-22,,
3:06.0,Turnover by K. Leonard (bad pass),,20-22,,
3:06.0,D. West enters the game for B. Diaw,,20-22,,
2:53.0,Violation by L. Aldridge (def goaltending),,20-22,,
2:53.0,,,20-24,2,K. Middleton makes 2-pt shot at rim
2:33.0,L. Aldridge makes 2-pt shot from 6 ft (assist by D. West),2,22-24,,
2:17.0,,,22-26,2,J. Henson makes 2-pt shot from 10 ft (assist by J. Parker)
2:08.0,Turnover by L. Aldridge (bad pass),,22-26,,
2:08.0,B. Diaw enters the game for L. Aldridge,,22-26,,
1:53.0,,,22-26,,Turnover by O. Mayo (bad pass; steal by K. Leonard)
1:39.0,D. West misses 2-pt shot from 5 ft,,22-26,,
1:38.0,,,22-26,,Defensive rebound by M. Carter-Williams
1:28.0,,,22-28,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
1:00.0,M. Ginobili makes 3-pt shot from 24 ft (assist by R. McCallum),3,25-28,,
0:51.0,,,25-28,,O. Mayo misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by B. Diaw,,25-28,,
0:33.0,M. Ginobili misses 2-pt shot at rim (block by M. Carter-Williams),,25-28,,
0:33.0,Offensive rebound by Team,,25-28,,
0:33.0,,,25-28,,J. Bayless enters the game for J. Parker
0:33.0,,,25-28,,G. Antetokounmpo enters the game for M. Carter-Williams
0:30.0,D. West makes 2-pt shot from 8 ft (assist by R. McCallum),2,27-28,,
0:12.0,,,27-30,2,K. Middleton makes 2-pt shot from 10 ft (assist by J. Henson)
0:01.0,K. Leonard makes 2-pt shot from 19 ft,2,29-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. West misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,29-30,,
11:40.0,,,29-30,,Defensive rebound by G. Antetokounmpo
11:23.0,,,29-30,,J. Bayless misses 2-pt shot from 2 ft
11:21.0,,,29-30,,Offensive rebound by G. Antetokounmpo
11:21.0,,,29-30,,G. Antetokounmpo misses 2-pt shot from 1 ft
11:20.0,Defensive rebound by K. Anderson,,29-30,,
11:13.0,R. McCallum makes 2-pt shot from 13 ft (assist by K. Anderson),2,31-30,,
10:54.0,,,31-32,2,J. Henson makes 2-pt shot from 14 ft (assist by R. Vaughn)
10:54.0,,,31-32,,Shooting foul by K. Anderson (drawn by J. Henson)
10:54.0,,,31-32,,J. Henson misses free throw 1 of 1
10:53.0,Defensive rebound by D. West,,31-32,,
10:35.0,M. Ginobili misses 2-pt shot from 5 ft,,31-32,,
10:34.0,Offensive rebound by M. Ginobili,,31-32,,
10:32.0,M. Ginobili misses 2-pt shot at rim,,31-32,,
10:30.0,,,31-32,,Defensive rebound by G. Antetokounmpo
10:18.0,,,31-32,,R. Vaughn misses 2-pt shot from 7 ft (block by D. West)
10:16.0,,,31-32,,Offensive rebound by J. Bayless
10:06.0,,,31-35,3,J. Bayless makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
9:52.0,Shooting foul by J. Henson (drawn by B. Diaw),,31-35,,
9:52.0,B. Diaw makes free throw 1 of 2,1,32-35,,
9:52.0,B. Diaw makes free throw 2 of 2,1,33-35,,
9:36.0,,,33-35,,J. Henson misses 2-pt shot from 5 ft
9:34.0,Defensive rebound by R. McCallum,,33-35,,
9:24.0,D. West misses 2-pt shot from 12 ft,,33-35,,
9:23.0,,,33-35,,Defensive rebound by J. Henson
9:03.0,,,33-37,2,R. Vaughn makes 2-pt shot from 8 ft (assist by G. Antetokounmpo)
9:03.0,San Antonio full timeout,,33-37,,
9:03.0,J. Simmons enters the game for K. Anderson,,33-37,,
8:50.0,B. Diaw misses 2-pt shot at rim,,33-37,,
8:48.0,Offensive rebound by B. Diaw,,33-37,,
8:48.0,B. Diaw makes 2-pt shot from 2 ft,2,35-37,,
8:32.0,,,35-37,,Turnover by R. Vaughn (bad pass; steal by M. Ginobili)
8:25.0,D. West misses 2-pt shot from 19 ft,,35-37,,
8:23.0,Offensive rebound by Team,,35-37,,
8:17.0,M. Ginobili makes 2-pt shot from 19 ft,2,37-37,,
8:02.0,,,37-37,,Turnover by J. Bayless (bad pass; steal by D. West)
7:58.0,J. Simmons misses 2-pt shot from 1 ft (block by J. Henson),,37-37,,
7:58.0,,,37-37,,Defensive rebound by Team
7:58.0,L. Aldridge enters the game for D. West,,37-37,,
7:45.0,,,37-37,,J. Bayless misses 2-pt shot from 9 ft
7:44.0,Defensive rebound by M. Ginobili,,37-37,,
7:39.0,,,37-37,,Personal foul by G. Antetokounmpo (drawn by B. Diaw)
7:39.0,,,37-37,,G. Monroe enters the game for J. Henson
7:29.0,R. McCallum misses 3-pt shot from 24 ft (block by J. Bayless),,37-37,,
7:26.0,,,37-37,,Defensive rebound by G. Monroe
7:14.0,,,37-37,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:13.0,Defensive rebound by J. Simmons,,37-37,,
6:54.0,M. Ginobili makes 3-pt shot from 26 ft (assist by R. McCallum),3,40-37,,
6:32.0,,,40-37,,J. Bayless misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by J. Simmons,,40-37,,
6:19.0,L. Aldridge misses 2-pt shot from 14 ft,,40-37,,
6:17.0,,,40-37,,Defensive rebound by G. Monroe
6:11.0,,,40-37,,Turnover by O. Mayo (bad pass; steal by M. Ginobili)
6:09.0,Shooting foul by J. Bayless (drawn by J. Simmons),,40-37,,
6:09.0,J. Simmons misses free throw 1 of 2,,40-37,,
6:09.0,Offensive rebound by Team,,40-37,,
6:09.0,K. Leonard enters the game for M. Ginobili,,40-37,,
6:09.0,,,40-37,,Milwaukee full timeout
6:09.0,T. Duncan enters the game for B. Diaw,,40-37,,
6:09.0,P. Mills enters the game for R. McCallum,,40-37,,
6:09.0,,,40-37,,J. Parker enters the game for G. Antetokounmpo
6:09.0,J. Simmons makes free throw 2 of 2,1,41-37,,
5:55.0,,,41-37,,Turnover by G. Monroe (lost ball; steal by T. Duncan)
5:51.0,Shooting foul by R. Vaughn (drawn by J. Simmons),,41-37,,
5:51.0,J. Simmons makes free throw 1 of 2,1,42-37,,
5:51.0,J. Simmons makes free throw 2 of 2,1,43-37,,
5:39.0,,,43-37,,O. Mayo misses 2-pt shot from 9 ft
5:37.0,Defensive rebound by K. Leonard,,43-37,,
5:28.0,L. Aldridge misses 2-pt shot from 1 ft (block by J. Parker),,43-37,,
5:28.0,Offensive rebound by Team,,43-37,,
5:28.0,,,43-37,,K. Middleton enters the game for R. Vaughn
5:18.0,Jump ball: K. Leonard vs. J. Parker (J. Bayless gains possession),,,,Jump ball: K. Leonard vs. J. Parker (J. Bayless gains possession)
5:18.0,Turnover by K. Leonard (lost ball),,43-37,,
5:16.0,,,43-37,,Shooting foul by P. Mills (drawn by J. Bayless)
5:16.0,,,43-37,,Milwaukee full timeout
5:16.0,,,43-37,,J. O'Bryant enters the game for J. Bayless
5:16.0,,,43-38,1,J. O'Bryant makes free throw 1 of 2
5:16.0,,,43-38,,J. O'Bryant misses free throw 2 of 2
5:15.0,Defensive rebound by J. Simmons,,43-38,,
4:53.0,J. Simmons makes 2-pt shot from 15 ft (assist by P. Mills),2,45-38,,
4:34.0,,,45-38,,G. Monroe misses 2-pt shot from 4 ft
4:32.0,Defensive rebound by L. Aldridge,,45-38,,
4:22.0,J. Simmons makes 2-pt shot from 1 ft (assist by T. Duncan),2,47-38,,
3:53.0,,,47-38,,K. Middleton misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by T. Duncan,,47-38,,
3:40.0,L. Aldridge makes 2-pt shot from 12 ft (assist by P. Mills),2,49-38,,
3:40.0,Shooting foul by J. O'Bryant (drawn by L. Aldridge),,49-38,,
3:40.0,,,49-38,,M. Carter-Williams enters the game for J. O'Bryant
3:40.0,,,49-38,,G. Antetokounmpo enters the game for O. Mayo
3:40.0,L. Aldridge makes free throw 1 of 1,1,50-38,,
3:30.0,,,50-38,,Shooting foul by P. Mills (drawn by J. Parker)
3:30.0,,,50-39,1,J. Parker makes free throw 1 of 2
3:30.0,,,50-40,1,J. Parker makes free throw 2 of 2
3:15.0,Turnover by J. Simmons (bad pass; steal by G. Antetokounmpo),,50-40,,
3:05.0,,,50-40,,Turnover by G. Antetokounmpo (lost ball; steal by T. Duncan)
3:00.0,J. Simmons makes 2-pt shot at rim (assist by P. Mills),2,52-40,,
2:44.0,,,52-40,,Shooting foul by T. Duncan (drawn by G. Monroe)
2:44.0,Official timeout,,52-40,,
2:44.0,M. Ginobili enters the game for J. Simmons,,52-40,,
2:44.0,J. Simmons enters the game for P. Mills,,52-40,,
2:44.0,,,52-40,,G. Monroe misses free throw 1 of 2
2:44.0,,,52-40,,Offensive rebound by Team
2:44.0,,,52-40,,G. Monroe misses free throw 2 of 2
2:43.0,Defensive rebound by K. Leonard,,52-40,,
2:28.0,Offensive foul by T. Duncan,,52-40,,
2:28.0,Turnover by T. Duncan (offensive foul),,52-40,,
2:15.0,,,52-42,2,J. Parker makes 2-pt shot from 14 ft
1:57.0,Turnover by M. Ginobili (bad pass; steal by M. Carter-Williams),,52-42,,
1:47.0,,,52-42,,K. Middleton misses 2-pt shot from 6 ft
1:46.0,,,52-42,,Offensive rebound by G. Monroe
1:46.0,,,52-44,2,G. Monroe makes 2-pt shot at rim
1:23.0,Shooting foul by K. Middleton (drawn by L. Aldridge),,52-44,,
1:23.0,L. Aldridge makes free throw 1 of 2,1,53-44,,
1:23.0,L. Aldridge misses free throw 2 of 2,,53-44,,
1:22.0,,,53-44,,Defensive rebound by J. Parker
1:11.0,,,53-46,2,M. Carter-Williams makes 2-pt shot from 5 ft
0:58.0,M. Ginobili misses 2-pt shot from 1 ft (block by G. Monroe),,53-46,,
0:57.0,Offensive rebound by L. Aldridge,,53-46,,
0:57.0,L. Aldridge makes 2-pt shot from 1 ft,2,55-46,,
0:45.0,,,55-46,,G. Antetokounmpo misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by T. Duncan,,55-46,,
0:38.0,J. Simmons makes 2-pt shot from 1 ft,2,57-46,,
0:38.0,Shooting foul by G. Antetokounmpo (drawn by J. Simmons),,57-46,,
0:38.0,J. Simmons makes free throw 1 of 1,1,58-46,,
0:30.0,,,58-46,,Shooting foul by J. Simmons (drawn by K. Middleton)
0:30.0,,,58-47,1,K. Middleton makes free throw 1 of 3
0:30.0,,,58-48,1,K. Middleton makes free throw 2 of 3
0:30.0,,,58-49,1,K. Middleton makes free throw 3 of 3
0:10.0,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili),2,60-49,,
0:02.0,,,60-49,,G. Antetokounmpo misses 3-pt shot from 25 ft
0:01.0,,,60-49,,Offensive rebound by J. Parker
0:01.0,,,60-49,,J. Parker misses 2-pt shot from 1 ft
0:00.0,,,60-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,L. Aldridge misses 2-pt shot from 14 ft,,60-49,,
11:43.0,,,60-49,,Defensive rebound by M. Carter-Williams
11:29.0,,,60-49,,K. Middleton misses 2-pt shot from 8 ft (block by D. Green)
11:27.0,,,60-49,,Offensive rebound by K. Middleton
11:23.0,,,60-51,2,G. Monroe makes 2-pt shot from 1 ft
11:02.0,T. Duncan misses 2-pt shot from 16 ft,,60-51,,
11:00.0,,,60-51,,Defensive rebound by M. Carter-Williams
10:53.0,,,60-51,,G. Monroe misses 2-pt shot at rim (block by T. Duncan)
10:53.0,Defensive rebound by Team,,60-51,,
10:42.0,,,60-51,,Personal foul by K. Middleton (drawn by K. Leonard)
10:37.0,P. Mills misses 2-pt shot from 18 ft,,60-51,,
10:36.0,Offensive rebound by T. Duncan,,60-51,,
10:35.0,T. Duncan makes 2-pt shot from 3 ft,2,62-51,,
10:17.0,,,62-51,,J. Parker misses 2-pt shot from 2 ft
10:16.0,,,62-51,,Offensive rebound by G. Antetokounmpo
10:16.0,,,62-53,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:01.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,64-53,,
9:43.0,,,64-55,2,M. Carter-Williams makes 2-pt shot from 9 ft
9:39.0,Offensive foul by K. Leonard,,64-55,,
9:39.0,Turnover by K. Leonard (offensive foul),,64-55,,
9:30.0,,,64-55,,J. Parker misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by T. Duncan,,64-55,,
9:17.0,P. Mills makes 3-pt shot from 23 ft (assist by D. Green),3,67-55,,
8:54.0,,,67-55,,J. Parker misses 2-pt shot from 12 ft
8:53.0,,,67-55,,Offensive rebound by G. Monroe
8:52.0,,,67-57,2,G. Monroe makes 2-pt shot from 1 ft
8:52.0,,,67-57,,Shooting foul by T. Duncan (drawn by G. Monroe)
8:52.0,,,67-58,1,G. Monroe makes free throw 1 of 1
8:30.0,T. Duncan misses 2-pt shot from 1 ft,,67-58,,
8:27.0,Offensive rebound by L. Aldridge,,67-58,,
8:27.0,L. Aldridge makes 2-pt shot from 1 ft,2,69-58,,
8:16.0,,,69-58,,J. Parker misses 2-pt shot at rim (block by L. Aldridge)
8:13.0,Defensive rebound by T. Duncan,,69-58,,
8:13.0,,,69-58,,Personal foul by M. Carter-Williams (drawn by K. Leonard)
8:05.0,K. Leonard makes 2-pt shot from 15 ft,2,71-58,,
7:49.0,,,71-58,,M. Carter-Williams misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by L. Aldridge,,71-58,,
7:44.0,,,71-58,,Personal foul by M. Carter-Williams (drawn by P. Mills)
7:38.0,D. Green misses 3-pt shot from 25 ft,,71-58,,
7:37.0,,,71-58,,Defensive rebound by G. Monroe
7:23.0,,,71-58,,G. Monroe misses 2-pt shot from 7 ft (block by K. Leonard)
7:23.0,,,71-58,,Offensive rebound by Team
7:17.0,,,71-58,,M. Carter-Williams misses 2-pt shot from 7 ft
7:16.0,,,71-58,,Offensive rebound by J. Parker
7:16.0,,,71-58,,J. Parker misses 2-pt shot from 1 ft
7:14.0,,,71-58,,Offensive rebound by J. Parker
7:13.0,,,71-58,,Turnover by Team (shot clock)
7:13.0,San Antonio full timeout,,71-58,,
6:53.0,K. Leonard makes 3-pt shot from 25 ft,3,74-58,,
6:42.0,R. McCallum enters the game for P. Mills,,74-58,,
6:35.0,,,74-60,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
6:10.0,T. Duncan misses 2-pt shot from 18 ft,,74-60,,
6:09.0,,,74-60,,Defensive rebound by J. Parker
6:01.0,,,74-62,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by J. Parker)
5:50.0,L. Aldridge misses 2-pt shot from 19 ft,,74-62,,
5:50.0,,,74-62,,Defensive rebound by M. Carter-Williams
5:44.0,,,74-62,,Shooting foul by L. Aldridge (drawn by G. Monroe)
5:44.0,,,74-63,1,G. Monroe makes free throw 1 of 2
5:44.0,,,74-63,,O. Mayo enters the game for G. Antetokounmpo
5:44.0,M. Ginobili enters the game for T. Duncan,,74-63,,
5:44.0,B. Diaw enters the game for D. Green,,74-63,,
5:44.0,,,74-63,,G. Monroe misses free throw 2 of 2
5:43.0,Defensive rebound by B. Diaw,,74-63,,
5:28.0,K. Leonard misses 3-pt shot from 23 ft,,74-63,,
5:26.0,,,74-63,,Defensive rebound by G. Monroe
5:13.0,,,74-63,,K. Middleton misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by L. Aldridge,,74-63,,
5:04.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,76-63,,
4:51.0,,,76-63,,Shooting foul by M. Ginobili (drawn by G. Monroe)
4:51.0,,,76-64,1,G. Monroe makes free throw 1 of 2
4:51.0,,,76-65,1,G. Monroe makes free throw 2 of 2
4:35.0,B. Diaw makes 2-pt shot from 1 ft (assist by L. Aldridge),2,78-65,,
4:27.0,,,78-65,,Milwaukee full timeout
4:27.0,,,78-65,,J. Henson enters the game for G. Monroe
4:27.0,P. Mills enters the game for R. McCallum,,78-65,,
4:12.0,,,78-67,2,M. Carter-Williams makes 2-pt shot at rim (assist by O. Mayo)
3:53.0,L. Aldridge misses 2-pt shot from 9 ft,,78-67,,
3:52.0,,,78-67,,Defensive rebound by J. Henson
3:43.0,,,78-67,,Turnover by K. Middleton (bad pass)
3:26.0,P. Mills makes 3-pt shot from 27 ft (assist by M. Ginobili),3,81-67,,
3:09.0,,,81-69,2,K. Middleton makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
2:47.0,L. Aldridge misses 2-pt shot from 18 ft,,81-69,,
2:46.0,,,81-69,,Defensive rebound by J. Henson
2:37.0,,,81-69,,Turnover by K. Middleton (lost ball; steal by K. Leonard)
2:35.0,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili),2,83-69,,
2:35.0,Shooting foul by M. Carter-Williams (drawn by K. Leonard),,83-69,,
2:35.0,,,83-69,,R. Vaughn enters the game for J. Parker
2:35.0,,,83-69,,G. Antetokounmpo enters the game for M. Carter-Williams
2:35.0,K. Leonard makes free throw 1 of 1,1,84-69,,
2:17.0,,,84-69,,O. Mayo misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by P. Mills,,84-69,,
2:01.0,P. Mills makes 3-pt shot from 22 ft (assist by M. Ginobili),3,87-69,,
1:59.0,,,87-69,,Milwaukee full timeout
1:59.0,J. Simmons enters the game for K. Leonard,,87-69,,
1:47.0,,,87-71,2,K. Middleton makes 2-pt shot from 17 ft
1:36.0,,,87-71,,Personal foul by J. Henson (drawn by P. Mills)
1:36.0,P. Mills makes free throw 1 of 2,1,88-71,,
1:36.0,P. Mills misses free throw 2 of 2,,88-71,,
1:34.0,,,88-71,,Defensive rebound by J. Henson
1:22.0,,,88-73,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
0:58.0,P. Mills misses 3-pt shot from 24 ft,,88-73,,
0:57.0,,,88-73,,Defensive rebound by R. Vaughn
0:44.0,,,88-75,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
0:30.0,M. Ginobili misses 2-pt shot from 5 ft,,88-75,,
0:29.0,Offensive rebound by L. Aldridge,,88-75,,
0:27.0,Shooting foul by J. Henson (drawn by L. Aldridge),,88-75,,
0:27.0,L. Aldridge makes free throw 1 of 2,1,89-75,,
0:27.0,L. Aldridge makes free throw 2 of 2,1,90-75,,
0:06.0,,,90-75,,K. Middleton misses 2-pt shot from 11 ft
0:05.0,Defensive rebound by M. Ginobili,,90-75,,
0:00.0,B. Diaw misses 3-pt shot from 29 ft,,90-75,,
0:00.0,Offensive rebound by Team,,90-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,90-75,,Turnover by J. Henson (back court)
11:40.0,B. Diaw makes 2-pt shot from 5 ft,2,92-75,,
11:23.0,Personal foul by J. Simmons (drawn by M. Carter-Williams),,92-75,,
11:22.0,Personal foul by T. Duncan (drawn by J. Henson),,92-75,,
11:17.0,,,92-75,,Turnover by R. Vaughn (bad pass; steal by B. Diaw)
11:08.0,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw),2,94-75,,
10:49.0,,,94-75,,M. Carter-Williams misses 2-pt shot from 13 ft
10:47.0,Defensive rebound by T. Duncan,,94-75,,
10:45.0,Shooting foul by O. Mayo (drawn by J. Simmons),,94-75,,
10:45.0,J. Simmons makes free throw 1 of 2,1,95-75,,
10:45.0,,,95-75,,J. Parker enters the game for J. Henson
10:45.0,,,95-75,,G. Monroe enters the game for R. Vaughn
10:45.0,J. Simmons makes free throw 2 of 2,1,96-75,,
10:36.0,,,96-77,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
10:36.0,,,96-77,,Shooting foul by B. Diaw (drawn by G. Monroe)
10:36.0,,,96-78,1,G. Monroe makes free throw 1 of 1
10:21.0,J. Simmons makes 2-pt shot at rim (assist by M. Ginobili),2,98-78,,
10:00.0,,,98-78,,O. Mayo misses 2-pt shot from 13 ft
9:58.0,,,98-78,,Offensive rebound by J. Parker
9:57.0,,,98-80,2,J. Parker makes 2-pt shot at rim
9:43.0,Turnover by M. Ginobili (bad pass; steal by G. Monroe),,98-80,,
9:34.0,,,98-80,,J. Parker misses 2-pt shot from 11 ft
9:33.0,Defensive rebound by M. Ginobili,,98-80,,
9:24.0,Turnover by B. Diaw (bad pass; steal by O. Mayo),,98-80,,
9:20.0,,,98-80,,Shooting foul by P. Mills (drawn by M. Carter-Williams)
9:20.0,,,98-81,1,M. Carter-Williams makes free throw 1 of 2
9:20.0,,,98-81,,K. Middleton enters the game for G. Antetokounmpo
9:20.0,,,98-81,,M. Carter-Williams misses free throw 2 of 2
9:19.0,Defensive rebound by B. Diaw,,98-81,,
8:57.0,B. Diaw makes 2-pt shot from 7 ft (assist by T. Duncan),2,100-81,,
8:41.0,,,100-81,,Shooting foul by B. Diaw (drawn by M. Carter-Williams)
8:41.0,Official timeout,,100-81,,
8:41.0,K. Leonard enters the game for M. Ginobili,,100-81,,
8:41.0,,,100-81,,M. Carter-Williams misses free throw 1 of 2
8:41.0,,,100-81,,Offensive rebound by Team
8:41.0,,,100-82,1,M. Carter-Williams makes free throw 2 of 2
8:22.0,Turnover by K. Leonard (bad pass; steal by G. Monroe),,100-82,,
8:13.0,,,100-82,,K. Middleton misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by T. Duncan,,100-82,,
7:57.0,B. Diaw makes 2-pt shot from 1 ft,2,102-82,,
7:40.0,,,102-82,,Turnover by G. Monroe (lost ball)
7:23.0,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw),2,104-82,,
7:23.0,Shooting foul by G. Monroe (drawn by T. Duncan),,104-82,,
7:23.0,D. West enters the game for B. Diaw,,104-82,,
7:23.0,T. Duncan misses free throw 1 of 1,,104-82,,
7:22.0,,,104-82,,Defensive rebound by K. Middleton
7:10.0,,,104-82,,J. Parker misses 2-pt shot from 15 ft
7:09.0,,,104-82,,Offensive rebound by Team
7:03.0,,,104-82,,Shooting foul by T. Duncan (drawn by J. Parker)
7:03.0,,,104-83,1,J. Parker makes free throw 1 of 2
7:03.0,,,104-84,1,J. Parker makes free throw 2 of 2
6:46.0,T. Duncan makes 2-pt shot from 9 ft,2,106-84,,
6:33.0,,,106-86,2,K. Middleton makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
6:12.0,K. Leonard makes 3-pt shot from 25 ft,3,109-86,,
6:01.0,,,109-86,,Shooting foul by J. Simmons (drawn by M. Carter-Williams)
6:01.0,,,109-86,,M. Carter-Williams misses free throw 1 of 2
6:01.0,,,109-86,,Offensive rebound by Team
6:01.0,,,109-86,,R. Vaughn enters the game for O. Mayo
6:01.0,San Antonio full timeout,,109-86,,
6:01.0,,,109-86,,M. Plumlee enters the game for J. Parker
6:01.0,,,109-86,,J. O'Bryant enters the game for G. Monroe
6:01.0,K. Anderson enters the game for K. Leonard,,109-86,,
