time,Utah,pts.away,score,pts.home,Memphis
3:22.0,R. Neto enters the game for S. Mack,,62-61,,
3:22.0,R. Gobert makes free throw 2 of 2,1,63-61,,
3:03.0,,,63-61,,Z. Randolph misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by R. Gobert,,63-61,,
2:40.0,G. Hayward makes 2-pt shot from 5 ft (assist by T. Booker),2,65-61,,
2:23.0,,,65-61,,Turnover by L. Stephenson (lost ball; steal by T. Booker)
2:23.0,,,65-61,,Clear path foul by L. Stephenson
2:23.0,Utah full timeout,,65-61,,
2:23.0,,,65-61,,V. Carter enters the game for M. Barnes
2:23.0,T. Booker makes clear path free throw 1 of 2,1,66-61,,
2:23.0,T. Booker misses clear path free throw 2 of 2,,66-61,,
2:23.0,Offensive rebound by Team,,66-61,,
2:14.0,G. Hayward makes 2-pt shot from 19 ft,2,68-61,,
1:54.0,,,68-61,,Z. Randolph misses 2-pt shot from 4 ft (block by R. Gobert)
1:51.0,,,68-61,,Offensive rebound by V. Carter
1:51.0,,,68-61,,V. Carter misses 2-pt shot at rim
1:48.0,Defensive rebound by R. Gobert,,68-61,,
1:43.0,Turnover by T. Burke (bad pass),,68-61,,
1:43.0,D. Favors enters the game for R. Gobert,,68-61,,
1:30.0,Personal foul by T. Burke (drawn by L. Stephenson),,68-61,,
1:18.0,,,68-63,2,L. Stephenson makes 2-pt shot from 1 ft
0:59.0,Shooting foul by L. Stephenson (drawn by R. Neto),,68-63,,
0:59.0,R. Neto makes free throw 1 of 2,1,69-63,,
0:59.0,R. Neto misses free throw 2 of 2,,69-63,,
0:58.0,,,69-63,,Defensive rebound by V. Carter
0:44.0,,,69-65,2,J. Green makes 2-pt shot from 21 ft (assist by Z. Randolph)
0:32.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,71-65,,
0:12.0,,,71-67,2,L. Stephenson makes 2-pt shot from 1 ft
0:12.0,,,71-67,,Technical foul by L. Stephenson
0:12.0,G. Hayward makes technical free throw,1,72-67,,
0:12.0,,,72-67,,R. Hollins enters the game for Z. Randolph
0:01.0,T. Burke misses 3-pt shot from 26 ft,,72-67,,
0:00.0,,,72-67,,Defensive rebound by L. Stephenson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,R. Hood misses 3-pt shot from 25 ft,,72-67,,
11:41.0,,,72-67,,Defensive rebound by L. Stephenson
11:23.0,,,72-69,2,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Carter)
10:58.0,D. Favors misses 2-pt shot from 12 ft,,72-69,,
10:55.0,,,72-69,,Defensive rebound by J. Green
10:40.0,,,72-71,2,V. Carter makes 2-pt shot from 8 ft
10:13.0,T. Burke misses 2-pt shot from 21 ft,,72-71,,
10:12.0,,,72-71,,Defensive rebound by J. Green
9:58.0,,,72-71,,L. Stephenson misses 2-pt shot at rim
9:58.0,Defensive rebound by Team,,72-71,,
9:58.0,C. Johnson enters the game for T. Burke,,72-71,,
9:37.0,R. Hood misses 2-pt shot from 8 ft,,72-71,,
9:34.0,Offensive rebound by D. Favors,,72-71,,
9:34.0,D. Favors misses 2-pt shot at rim,,72-71,,
9:32.0,Offensive rebound by D. Favors,,72-71,,
9:32.0,D. Favors misses 2-pt shot from 1 ft,,72-71,,
9:31.0,,,72-71,,Defensive rebound by V. Carter
9:25.0,,,72-73,2,M. Chalmers makes 2-pt shot at rim
9:25.0,Utah full timeout,,72-73,,
9:25.0,R. Gobert enters the game for D. Favors,,72-73,,
9:07.0,Turnover by S. Mack (lost ball; steal by M. Chalmers),,72-73,,
9:06.0,Personal take foul by S. Mack (drawn by M. Chalmers),,72-73,,
8:55.0,,,72-73,,L. Stephenson misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by C. Johnson,,72-73,,
8:45.0,Turnover by S. Mack (lost ball; steal by M. Chalmers),,72-73,,
8:37.0,,,72-75,2,L. Stephenson makes 2-pt shot from 1 ft (assist by M. Chalmers)
8:18.0,S. Mack misses 2-pt shot from 10 ft,,72-75,,
8:16.0,,,72-75,,Defensive rebound by M. Chalmers
8:05.0,,,72-75,,J. Green misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by C. Johnson,,72-75,,
7:52.0,R. Hood makes 3-pt shot from 26 ft,3,75-75,,
7:38.0,,,75-75,,Turnover by M. Chalmers (lost ball; steal by S. Mack)
7:35.0,Shooting foul by L. Stephenson (drawn by S. Mack),,75-75,,
7:35.0,S. Mack makes free throw 1 of 2,1,76-75,,
7:35.0,G. Hayward enters the game for C. Johnson,,76-75,,
7:35.0,S. Mack makes free throw 2 of 2,1,77-75,,
7:25.0,,,77-75,,Turnover by M. Chalmers (bad pass; steal by S. Mack)
7:17.0,T. Lyles misses 3-pt shot from 22 ft,,77-75,,
7:15.0,,,77-75,,Defensive rebound by M. Chalmers
7:15.0,,,77-75,,Memphis full timeout
7:15.0,,,77-75,,C. Andersen enters the game for L. Stephenson
7:15.0,,,77-75,,M. Conley enters the game for R. Hollins
7:15.0,T. Burke enters the game for S. Mack,,77-75,,
7:02.0,,,77-78,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
6:43.0,Offensive foul by T. Lyles,,77-78,,
6:43.0,Turnover by T. Lyles (offensive foul),,77-78,,
6:32.0,,,77-78,,M. Conley misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by G. Hayward,,77-78,,
6:15.0,T. Burke misses 3-pt shot from 25 ft,,77-78,,
6:15.0,Offensive rebound by R. Gobert,,77-78,,
6:15.0,,,77-78,,Loose ball foul by M. Chalmers (drawn by R. Gobert)
6:15.0,,,77-78,,Z. Randolph enters the game for J. Green
6:06.0,G. Hayward misses 2-pt shot from 10 ft,,77-78,,
6:04.0,,,77-78,,Defensive rebound by C. Andersen
5:49.0,,,77-78,,Shooting foul by R. Gobert (drawn by Z. Randolph)
5:49.0,,,77-79,1,Z. Randolph makes free throw 1 of 2
5:49.0,T. Booker enters the game for T. Lyles,,77-79,,
5:49.0,,,77-80,1,Z. Randolph makes free throw 2 of 2
5:42.0,Shooting foul by M. Chalmers (drawn by R. Hood),,77-80,,
5:42.0,R. Hood makes free throw 1 of 3,1,78-80,,
5:42.0,R. Hood misses free throw 2 of 3,,78-80,,
5:42.0,Offensive rebound by Team,,78-80,,
5:42.0,,,78-80,,L. Stephenson enters the game for V. Carter
5:42.0,R. Hood makes free throw 3 of 3,1,79-80,,
5:20.0,,,79-82,2,M. Conley makes 2-pt shot from 8 ft
5:00.0,T. Burke misses 3-pt shot from 23 ft,,79-82,,
4:59.0,,,79-82,,Defensive rebound by C. Andersen
4:44.0,,,79-84,2,C. Andersen makes 2-pt shot from 1 ft (assist by M. Chalmers)
4:28.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke),2,81-84,,
4:11.0,,,81-84,,Memphis full timeout
4:11.0,S. Mack enters the game for T. Burke,,81-84,,
4:05.0,,,81-86,2,M. Conley makes 2-pt shot from 9 ft
3:47.0,R. Hood misses 2-pt shot from 1 ft,,81-86,,
3:47.0,,,81-86,,Defensive rebound by Team
3:47.0,Loose ball foul by T. Booker (drawn by C. Andersen),,81-86,,
3:47.0,D. Favors enters the game for T. Booker,,81-86,,
3:26.0,,,81-86,,Z. Randolph misses 2-pt shot at rim (block by R. Gobert)
3:26.0,,,81-86,,Offensive rebound by Team
3:23.0,,,81-89,3,Z. Randolph makes 3-pt shot from 26 ft (assist by M. Chalmers)
3:05.0,,,81-89,,Personal foul by L. Stephenson (drawn by G. Hayward)
2:50.0,G. Hayward misses 2-pt shot from 14 ft,,81-89,,
2:49.0,Offensive rebound by R. Gobert,,81-89,,
2:49.0,Shooting foul by M. Conley (drawn by R. Gobert),,81-89,,
2:49.0,Utah full timeout,,81-89,,
2:49.0,R. Gobert misses free throw 1 of 2,,81-89,,
2:49.0,Offensive rebound by Team,,81-89,,
2:49.0,R. Gobert misses free throw 2 of 2,,81-89,,
2:47.0,,,81-89,,Defensive rebound by C. Andersen
2:27.0,,,81-89,,Z. Randolph misses 2-pt shot from 2 ft (block by R. Gobert)
2:26.0,Defensive rebound by S. Mack,,81-89,,
2:11.0,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack),2,83-89,,
1:45.0,,,83-89,,M. Chalmers misses 2-pt shot from 9 ft
1:45.0,Defensive rebound by R. Gobert,,83-89,,
1:45.0,,,83-89,,Personal foul by C. Andersen (drawn by R. Gobert)
1:45.0,R. Gobert makes free throw 1 of 2,1,84-89,,
1:45.0,,,84-89,,M. Barnes enters the game for L. Stephenson
1:45.0,R. Gobert makes free throw 2 of 2,1,85-89,,
1:30.0,,,85-89,,M. Barnes misses 2-pt shot from 7 ft
1:28.0,Defensive rebound by R. Hood,,85-89,,
1:20.0,Turnover by R. Hood (lost ball; steal by M. Chalmers),,85-89,,
1:15.0,,,85-89,,M. Conley misses 2-pt shot from 1 ft
1:15.0,,,85-89,,Offensive rebound by M. Chalmers
1:15.0,,,85-89,,Shooting foul by R. Hood (drawn by M. Chalmers)
1:15.0,,,85-89,,M. Chalmers misses free throw 1 of 2
1:15.0,,,85-89,,Offensive rebound by Team
1:15.0,,,85-90,1,M. Chalmers makes free throw 2 of 2
1:04.0,D. Favors misses 2-pt shot from 15 ft,,85-90,,
1:02.0,Offensive rebound by R. Gobert,,85-90,,
1:02.0,R. Gobert misses 2-pt shot from 1 ft,,85-90,,
