time,Denver,pts.away,score,pts.home,San Antonio
9:38.0,,,27-27,1,B. Diaw makes free throw 1 of 2
9:38.0,,,27-27,,B. Diaw misses free throw 2 of 2
9:36.0,Defensive rebound by W. Barton,,27-27,,
9:26.0,Turnover by D. Arthur (bad pass; steal by B. Marjanovic),,27-27,,
9:18.0,,,27-27,,Shooting foul by D. Arthur (drawn by B. Marjanovic)
9:18.0,,,27-28,1,B. Marjanovic makes free throw 1 of 2
9:18.0,K. Faried enters the game for D. Arthur,,27-28,,
9:18.0,,,27-29,1,B. Marjanovic makes free throw 2 of 2
8:58.0,Turnover by N. Jokic (traveling),,27-29,,
8:58.0,Official timeout,,27-29,,
8:58.0,,,27-29,,T. Parker enters the game for P. Mills
8:58.0,,,27-29,,D. West enters the game for B. Diaw
8:58.0,,,27-29,,D. Green enters the game for J. Simmons
8:38.0,,,27-29,,K. Anderson misses 2-pt shot from 6 ft
8:37.0,,,27-29,,Offensive rebound by Team
8:28.0,,,27-29,,Shooting foul by N. Jokic (drawn by B. Marjanovic)
8:28.0,,,27-30,1,B. Marjanovic makes free throw 1 of 2
8:28.0,,,27-31,1,B. Marjanovic makes free throw 2 of 2
8:13.0,W. Barton makes 2-pt shot from 8 ft (assist by N. Jokic),2,29-31,,
7:56.0,,,29-31,,D. West misses 2-pt shot from 17 ft
7:54.0,,,29-31,,Offensive rebound by K. Anderson
7:52.0,,,29-33,2,K. Anderson makes 2-pt shot from 3 ft
7:41.0,N. Jokic misses 2-pt shot from 7 ft,,29-33,,
7:39.0,Offensive rebound by N. Jokic,,29-33,,
7:39.0,N. Jokic misses 2-pt shot from 3 ft (block by B. Marjanovic),,29-33,,
7:36.0,,,29-33,,Defensive rebound by K. Anderson
7:33.0,,,29-33,,K. Anderson misses 2-pt shot from 2 ft (block by K. Faried)
7:33.0,,,29-33,,Offensive rebound by Team
7:33.0,J. Lauvergne enters the game for N. Jokic,,29-33,,
7:18.0,,,29-33,,B. Marjanovic misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by M. Miller,,29-33,,
7:09.0,W. Barton misses 2-pt shot from 10 ft,,29-33,,
7:08.0,,,29-33,,Defensive rebound by B. Marjanovic
6:57.0,,,29-35,2,D. Green makes 2-pt shot from 1 ft (assist by D. West)
6:57.0,Denver full timeout,,29-35,,
6:57.0,,,29-35,,L. Aldridge enters the game for B. Marjanovic
6:46.0,R. Foye makes 2-pt shot from 19 ft,2,31-35,,
6:27.0,,,31-37,2,D. West makes 2-pt shot from 5 ft
6:10.0,R. Foye misses 2-pt shot from 7 ft,,31-37,,
6:08.0,,,31-37,,Defensive rebound by K. Anderson
5:55.0,,,31-39,2,L. Aldridge makes 2-pt shot from 6 ft (assist by D. West)
5:31.0,W. Barton misses 3-pt shot from 25 ft,,31-39,,
5:28.0,Offensive rebound by J. Lauvergne,,31-39,,
5:23.0,W. Barton misses 2-pt shot from 4 ft (block by D. West),,31-39,,
5:21.0,,,31-39,,Defensive rebound by Team
5:21.0,,,31-39,,San Antonio full timeout
5:21.0,G. Harris enters the game for M. Miller,,31-39,,
5:21.0,J. Nelson enters the game for R. Foye,,31-39,,
5:10.0,,,31-39,,L. Aldridge misses 2-pt shot from 19 ft
5:09.0,Defensive rebound by J. Nelson,,31-39,,
4:59.0,Turnover by W. Barton (bad pass),,31-39,,
4:37.0,,,31-41,2,T. Parker makes 2-pt shot from 18 ft (assist by D. West)
4:24.0,Turnover by G. Harris (bad pass; steal by T. Parker),,31-41,,
4:21.0,,,31-43,2,T. Parker makes 2-pt shot at rim
4:21.0,Denver full timeout,,31-43,,
4:21.0,,,31-43,,K. Leonard enters the game for K. Anderson
4:03.0,J. Lauvergne makes 2-pt shot from 18 ft (assist by G. Harris),2,33-43,,
3:42.0,,,33-45,2,D. West makes 2-pt shot from 14 ft (assist by K. Leonard)
3:21.0,K. Faried makes 2-pt shot from 6 ft (assist by W. Barton),2,35-45,,
3:03.0,,,35-47,2,T. Parker makes 2-pt shot from 17 ft
2:47.0,J. Lauvergne misses 2-pt shot from 6 ft,,35-47,,
2:45.0,Offensive rebound by Team,,35-47,,
2:45.0,K. Papanikolaou enters the game for W. Barton,,35-47,,
2:32.0,K. Papanikolaou misses 2-pt shot from 3 ft (block by D. Green),,35-47,,
2:31.0,,,35-47,,Defensive rebound by T. Parker
2:19.0,,,35-49,2,T. Parker makes 2-pt shot from 2 ft
2:00.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by K. Papanikolaou),3,38-49,,
1:42.0,,,38-51,2,T. Parker makes 2-pt shot from 1 ft
1:19.0,J. Lauvergne misses 2-pt shot from 1 ft,,38-51,,
1:18.0,,,38-51,,Defensive rebound by L. Aldridge
1:10.0,,,38-51,,T. Parker misses 2-pt shot from 9 ft
1:08.0,Defensive rebound by K. Faried,,38-51,,
1:00.0,Turnover by K. Papanikolaou (bad pass; steal by T. Parker),,38-51,,
0:56.0,,,38-53,2,D. Green makes 2-pt shot from 1 ft (assist by T. Parker)
0:38.0,K. Faried makes 2-pt shot at rim (assist by J. Nelson),2,40-53,,
0:32.0,,,40-53,,T. Parker misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by J. Lauvergne,,40-53,,
0:22.0,J. Nelson makes 2-pt shot from 5 ft,2,42-53,,
0:05.0,,,42-56,3,T. Parker makes 3-pt shot from 23 ft (assist by D. West)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,G. Harris misses 3-pt shot from 22 ft,,42-56,,
11:45.0,,,42-56,,Defensive rebound by L. Aldridge
11:37.0,Personal foul by K. Faried (drawn by D. West),,42-56,,
11:27.0,,,42-56,,D. West misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by K. Faried,,42-56,,
11:11.0,G. Harris misses 2-pt shot from 7 ft,,42-56,,
11:09.0,,,42-56,,Defensive rebound by D. Green
10:54.0,,,42-59,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. West)
10:38.0,J. Nelson misses 3-pt shot from 25 ft,,42-59,,
10:38.0,Offensive rebound by Team,,42-59,,
10:38.0,,,42-59,,Personal foul by D. Green (drawn by J. Lauvergne)
10:24.0,K. Faried misses 2-pt shot from 4 ft (block by L. Aldridge),,42-59,,
10:23.0,,,42-59,,Defensive rebound by L. Aldridge
10:23.0,Personal foul by K. Papanikolaou (drawn by K. Leonard),,42-59,,
10:09.0,,,42-59,,L. Aldridge misses 2-pt shot from 14 ft
10:09.0,Defensive rebound by J. Lauvergne,,42-59,,
9:59.0,G. Harris makes 2-pt shot from 21 ft (assist by J. Lauvergne),2,44-59,,
9:41.0,,,44-59,,T. Parker misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by J. Lauvergne,,44-59,,
9:31.0,J. Lauvergne makes 2-pt shot from 5 ft (assist by J. Nelson),2,46-59,,
9:12.0,,,46-61,2,K. Leonard makes 2-pt shot from 15 ft
9:02.0,J. Lauvergne misses 2-pt shot from 3 ft (block by D. West),,46-61,,
9:02.0,Offensive rebound by Team,,46-61,,
8:55.0,J. Nelson misses 3-pt shot from 25 ft,,46-61,,
8:53.0,Offensive rebound by K. Papanikolaou,,46-61,,
8:42.0,J. Nelson misses 2-pt shot from 2 ft (block by D. West),,46-61,,
8:42.0,Offensive rebound by Team,,46-61,,
8:32.0,K. Faried misses 2-pt shot from 17 ft,,46-61,,
8:31.0,,,46-61,,Defensive rebound by T. Parker
8:13.0,,,46-64,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green)
8:12.0,Denver full timeout,,46-64,,
7:56.0,G. Harris makes 2-pt shot from 1 ft (assist by J. Nelson),2,48-64,,
7:36.0,,,48-64,,L. Aldridge misses 2-pt shot from 2 ft
7:32.0,,,48-64,,Offensive rebound by L. Aldridge
7:32.0,,,48-66,2,L. Aldridge makes 2-pt shot from 2 ft
7:26.0,Turnover by K. Faried (offensive foul),,48-66,,
7:26.0,Offensive foul by K. Faried,,48-66,,
7:10.0,,,48-66,,L. Aldridge misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by J. Lauvergne,,48-66,,
7:00.0,J. Lauvergne misses 3-pt shot from 27 ft,,48-66,,
6:58.0,,,48-66,,Defensive rebound by D. West
6:42.0,,,48-68,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
6:25.0,Turnover by J. Nelson (bad pass; steal by K. Leonard),,48-68,,
6:25.0,Personal foul by J. Nelson (drawn by D. Green),,48-68,,
6:25.0,,,48-68,,P. Mills enters the game for T. Parker
6:25.0,D. Arthur enters the game for K. Faried,,48-68,,
6:24.0,N. Jokic enters the game for J. Lauvergne,,48-68,,
6:02.0,,,48-68,,K. Leonard misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by Team,,48-68,,
6:02.0,,,48-68,,Personal foul by L. Aldridge (drawn by N. Jokic)
6:02.0,W. Barton enters the game for K. Papanikolaou,,48-68,,
5:43.0,Turnover by N. Jokic (lost ball; steal by D. West),,48-68,,
5:25.0,,,48-68,,P. Mills misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by J. Nelson,,48-68,,
5:18.0,W. Barton makes 2-pt shot from 20 ft,2,50-68,,
5:18.0,,,50-68,,San Antonio full timeout
5:18.0,R. Foye enters the game for J. Nelson,,50-68,,
4:56.0,,,50-68,,L. Aldridge misses 2-pt shot from 5 ft
4:55.0,,,50-68,,Offensive rebound by P. Mills
4:49.0,,,50-70,2,P. Mills makes 2-pt shot from 13 ft
4:34.0,W. Barton makes 3-pt shot from 23 ft (assist by N. Jokic),3,53-70,,
4:21.0,,,53-72,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
4:01.0,N. Jokic misses 2-pt shot from 12 ft,,53-72,,
3:59.0,,,53-72,,Defensive rebound by D. West
3:50.0,,,53-72,,Shooting foul by N. Jokic (drawn by K. Leonard)
3:50.0,,,53-73,1,K. Leonard makes free throw 1 of 2
3:50.0,,,53-73,,B. Diaw enters the game for D. West
3:50.0,,,53-73,,J. Simmons enters the game for D. Green
3:50.0,,,53-74,1,K. Leonard makes free throw 2 of 2
3:28.0,R. Foye makes 3-pt shot from 25 ft (assist by G. Harris),3,56-74,,
3:20.0,,,56-74,,Turnover by K. Leonard (offensive foul)
3:20.0,,,56-74,,Offensive foul by K. Leonard
3:20.0,,,56-74,,K. Anderson enters the game for K. Leonard
3:09.0,N. Jokic misses 2-pt shot from 7 ft,,56-74,,
3:08.0,Offensive rebound by N. Jokic,,56-74,,
2:53.0,Turnover by N. Jokic (lost ball; steal by J. Simmons),,56-74,,
2:37.0,,,56-74,,L. Aldridge misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by G. Harris,,56-74,,
2:26.0,N. Jokic makes 2-pt shot from 8 ft (assist by G. Harris),2,58-74,,
1:58.0,,,58-76,2,K. Anderson makes 2-pt shot from 3 ft
1:41.0,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic),3,61-76,,
1:14.0,,,61-76,,K. Anderson misses 2-pt shot from 15 ft (block by N. Jokic)
1:14.0,,,61-76,,Offensive rebound by Team
1:14.0,,,61-76,,Turnover by Team (shot clock)
1:14.0,,,61-76,,R. McCallum enters the game for K. Anderson
0:56.0,N. Jokic makes 2-pt shot from 5 ft (assist by R. Foye),2,63-76,,
0:37.0,,,63-76,,J. Simmons misses 2-pt shot from 16 ft
0:36.0,Defensive rebound by D. Arthur,,63-76,,
0:18.0,W. Barton makes 2-pt shot at rim (assist by N. Jokic),2,65-76,,
0:05.0,,,65-76,,Turnover by J. Simmons (lost ball; steal by W. Barton)
0:02.0,W. Barton misses 2-pt shot from 4 ft (block by L. Aldridge),,65-76,,
0:01.0,Offensive rebound by W. Barton,,65-76,,
0:00.0,W. Barton misses 3-pt shot from 22 ft,,65-76,,
0:00.0,Offensive rebound by Team,,65-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,65-79,3,B. Diaw makes 3-pt shot from 26 ft (assist by K. Leonard)
11:27.0,D. Arthur misses 2-pt shot from 19 ft,,65-79,,
11:25.0,,,65-79,,Defensive rebound by D. Green
11:15.0,,,65-79,,Shooting foul by W. Barton (drawn by K. Leonard)
11:15.0,,,65-80,1,K. Leonard makes free throw 1 of 2
11:15.0,,,65-81,1,K. Leonard makes free throw 2 of 2
11:01.0,R. Foye misses 2-pt shot from 2 ft (block by B. Marjanovic),,65-81,,
11:01.0,Offensive rebound by Team,,65-81,,
10:58.0,D. Arthur makes 2-pt shot from 16 ft (assist by R. Foye),2,67-81,,
10:40.0,,,67-83,2,B. Diaw makes 2-pt shot from 2 ft
10:40.0,,,67-83,,Shooting foul by D. Arthur (drawn by B. Diaw)
10:40.0,,,67-84,1,B. Diaw makes free throw 1 of 1
10:23.0,Turnover by R. Foye (bad pass; steal by B. Diaw),,67-84,,
10:11.0,,,67-84,,D. Green misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by W. Barton,,67-84,,
10:01.0,N. Jokic misses 3-pt shot from 25 ft,,67-84,,
10:00.0,,,67-84,,Defensive rebound by T. Parker
9:46.0,,,67-84,,Turnover by B. Marjanovic (3 sec)
9:28.0,N. Jokic makes 2-pt shot from 2 ft (assist by R. Foye),2,69-84,,
9:07.0,,,69-87,3,B. Diaw makes 3-pt shot from 24 ft (assist by K. Leonard)
9:07.0,Denver full timeout,,69-87,,
8:54.0,N. Jokic makes 2-pt shot at rim (assist by W. Barton),2,71-87,,
8:30.0,,,71-87,,K. Leonard misses 2-pt shot from 2 ft
8:29.0,Defensive rebound by W. Barton,,71-87,,
8:20.0,W. Barton makes 2-pt shot from 1 ft,2,73-87,,
8:06.0,,,73-89,2,B. Marjanovic makes 2-pt shot at rim (assist by K. Leonard)
7:53.0,D. Arthur misses 2-pt shot from 16 ft,,73-89,,
7:51.0,,,73-89,,Defensive rebound by T. Parker
7:36.0,,,73-89,,D. Green misses 2-pt shot from 18 ft
7:35.0,Defensive rebound by R. Foye,,73-89,,
7:24.0,N. Jokic misses 2-pt shot from 4 ft (block by B. Marjanovic),,73-89,,
7:21.0,Offensive rebound by N. Jokic,,73-89,,
7:19.0,N. Jokic misses 2-pt shot from 2 ft,,73-89,,
7:15.0,,,73-89,,Defensive rebound by B. Marjanovic
7:14.0,Personal foul by N. Jokic (drawn by B. Marjanovic),,73-89,,
7:14.0,,,73-89,,K. Anderson enters the game for K. Leonard
7:14.0,,,73-89,,P. Mills enters the game for T. Parker
6:58.0,,,73-89,,Turnover by B. Marjanovic (offensive goaltending)
6:47.0,W. Barton misses 3-pt shot from 26 ft,,73-89,,
6:45.0,,,73-89,,Defensive rebound by P. Mills
6:41.0,Personal foul by D. Arthur (drawn by P. Mills),,73-89,,
6:21.0,,,73-89,,B. Diaw misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by M. Miller,,73-89,,
6:06.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,76-89,,
5:49.0,,,76-89,,D. Green misses 2-pt shot from 12 ft
5:47.0,Defensive rebound by M. Miller,,76-89,,
5:33.0,R. Foye misses 3-pt shot from 24 ft,,76-89,,
5:32.0,,,76-89,,Defensive rebound by B. Marjanovic
5:24.0,Personal foul by N. Jokic (drawn by B. Marjanovic),,76-89,,
5:24.0,Official timeout,,76-89,,
5:24.0,K. Papanikolaou enters the game for M. Miller,,76-89,,
5:24.0,,,76-90,1,B. Marjanovic makes free throw 1 of 2
5:24.0,,,76-91,1,B. Marjanovic makes free throw 2 of 2
5:07.0,W. Barton makes 2-pt shot from 2 ft,2,78-91,,
4:51.0,,,78-91,,P. Mills misses 2-pt shot from 12 ft
4:49.0,,,78-91,,Offensive rebound by D. Green
4:49.0,,,78-93,2,D. Green makes 2-pt shot from 1 ft
4:28.0,K. Papanikolaou misses 2-pt shot from 16 ft,,78-93,,
4:27.0,,,78-93,,Defensive rebound by B. Marjanovic
4:19.0,,,78-93,,Turnover by K. Anderson (traveling)
4:19.0,G. Harris enters the game for D. Arthur,,78-93,,
4:05.0,N. Jokic makes 2-pt shot from 3 ft (assist by R. Foye),2,80-93,,
3:41.0,,,80-95,2,B. Diaw makes 2-pt shot from 3 ft
3:27.0,R. Foye misses 2-pt shot from 2 ft (block by B. Marjanovic),,80-95,,
3:24.0,Offensive rebound by N. Jokic,,80-95,,
3:24.0,N. Jokic makes 2-pt shot from 2 ft,2,82-95,,
3:03.0,,,82-95,,Turnover by P. Mills (bad pass; steal by N. Jokic)
3:03.0,,,82-95,,Personal foul by P. Mills (drawn by N. Jokic)
3:03.0,,,82-95,,M. Bonner enters the game for B. Diaw
3:03.0,,,82-95,,J. Simmons enters the game for D. Green
2:54.0,N. Jokic makes 2-pt shot from 3 ft (assist by R. Foye),2,84-95,,
2:54.0,Shooting foul by B. Marjanovic (drawn by N. Jokic),,84-95,,
2:54.0,,,84-95,,San Antonio full timeout
2:54.0,,,84-95,,K. Leonard enters the game for K. Anderson
2:54.0,,,84-95,,D. West enters the game for B. Marjanovic
2:54.0,,,84-95,,B. Diaw enters the game for M. Bonner
2:54.0,N. Jokic misses free throw 1 of 1,,84-95,,
2:53.0,,,84-95,,Defensive rebound by K. Leonard
2:41.0,,,84-97,2,D. West makes 2-pt shot from 17 ft (assist by P. Mills)
2:23.0,R. Foye makes 2-pt shot from 6 ft,2,86-97,,
2:10.0,,,86-97,,D. West misses 2-pt shot from 18 ft
2:09.0,Defensive rebound by K. Papanikolaou,,86-97,,
1:58.0,R. Foye misses 2-pt shot from 3 ft,,86-97,,
1:55.0,,,86-97,,Defensive rebound by B. Diaw
1:52.0,,,86-99,2,B. Diaw makes 2-pt shot at rim (assist by P. Mills)
1:28.0,G. Harris misses 3-pt shot from 26 ft,,86-99,,
1:25.0,,,86-99,,Defensive rebound by D. West
1:07.0,,,86-99,,P. Mills misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by W. Barton,,86-99,,
0:59.0,W. Barton misses 2-pt shot from 2 ft,,86-99,,
0:58.0,,,86-99,,Defensive rebound by D. West
0:39.0,,,86-101,2,K. Leonard makes 2-pt shot from 6 ft
0:24.0,G. Harris misses 2-pt shot from 11 ft,,86-101,,
0:23.0,,,86-101,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
