time,New York,pts.away,score,pts.home,LA Lakers
3:52.0,C. Anthony makes 2-pt shot from 10 ft,2,33-25,,
3:31.0,,,33-28,3,D. Russell makes 3-pt shot from 23 ft (assist by J. Clarkson)
3:16.0,,,33-28,,Personal foul by K. Bryant
3:16.0,Official timeout,,33-28,,
3:08.0,Shooting foul by K. Bryant (drawn by C. Anthony),,33-28,,
3:08.0,C. Anthony makes free throw 1 of 2,1,34-28,,
3:08.0,C. Anthony makes free throw 2 of 2,1,35-28,,
2:56.0,,,35-28,,J. Clarkson misses 2-pt shot from 17 ft
2:53.0,Defensive rebound by D. Williams,,35-28,,
2:44.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Calderon),2,37-28,,
2:21.0,,,37-30,2,K. Bryant makes 2-pt shot from 10 ft
2:13.0,D. Williams makes 2-pt shot at rim,2,39-30,,
1:57.0,,,39-33,3,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell)
1:42.0,Turnover by R. Lopez (lost ball; steal by J. Clarkson),,39-33,,
1:31.0,,,39-33,,J. Randle misses 2-pt shot from 1 ft (block by D. Williams)
1:30.0,,,39-33,,Offensive rebound by J. Clarkson
1:22.0,,,39-33,,J. Clarkson misses 3-pt shot from 23 ft
1:20.0,,,39-33,,Offensive rebound by J. Randle
1:16.0,,,39-33,,J. Randle misses 2-pt shot at rim
1:15.0,,,39-33,,Offensive rebound by R. Hibbert
1:13.0,,,39-35,2,R. Hibbert makes 2-pt shot at rim
0:59.0,J. Calderon makes 2-pt shot from 8 ft,2,41-35,,
0:44.0,,,41-35,,K. Bryant misses 2-pt shot from 22 ft
0:43.0,Defensive rebound by L. Galloway,,41-35,,
0:26.0,L. Galloway makes 3-pt shot from 24 ft (assist by J. Calderon),3,44-35,,
0:09.0,,,44-35,,D. Russell misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by R. Lopez,,44-35,,
0:01.0,D. Williams makes 2-pt shot at rim (assist by R. Lopez),2,46-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-35,,J. Clarkson misses 2-pt shot from 1 ft
11:45.0,Defensive rebound by C. Anthony,,46-35,,
11:26.0,S. Vujacic misses 3-pt shot from 25 ft,,46-35,,
11:25.0,,,46-35,,Defensive rebound by K. Bryant
11:20.0,,,46-35,,Shooting foul by C. Anthony (drawn by K. Bryant)
11:20.0,,,46-36,1,K. Bryant makes free throw 1 of 2
11:20.0,,,46-37,1,K. Bryant makes free throw 2 of 2
11:04.0,D. Williams misses 3-pt shot from 22 ft,,46-37,,
11:02.0,Offensive rebound by R. Lopez,,46-37,,
11:02.0,,,46-37,,Personal foul by R. Hibbert
10:51.0,D. Williams misses 2-pt shot from 12 ft,,46-37,,
10:49.0,,,46-37,,Defensive rebound by J. Randle
10:45.0,,,46-37,,Turnover by J. Randle (lost ball; steal by S. Vujacic)
10:44.0,Shooting foul by J. Randle (drawn by S. Vujacic),,46-37,,
10:44.0,S. Vujacic makes free throw 1 of 2,1,47-37,,
10:44.0,S. Vujacic makes free throw 2 of 2,1,48-37,,
10:25.0,,,48-37,,J. Clarkson misses 2-pt shot from 5 ft (block by R. Lopez)
10:23.0,Defensive rebound by S. Vujacic,,48-37,,
10:12.0,R. Lopez misses 2-pt shot from 3 ft,,48-37,,
10:10.0,,,48-37,,Defensive rebound by R. Hibbert
10:03.0,,,48-37,,J. Clarkson misses 2-pt shot from 3 ft
10:03.0,,,48-37,,Offensive rebound by Team
10:03.0,Loose ball foul by D. Williams,,48-37,,
9:48.0,,,48-37,,D. Russell misses 2-pt shot from 12 ft
9:47.0,Defensive rebound by D. Williams,,48-37,,
9:40.0,Shooting foul by R. Hibbert (drawn by C. Anthony),,48-37,,
9:40.0,C. Anthony makes free throw 1 of 2,1,49-37,,
9:40.0,C. Anthony makes free throw 2 of 2,1,50-37,,
9:19.0,,,50-37,,Offensive charge foul by J. Randle
9:19.0,,,50-37,,Turnover by J. Randle (offensive foul)
9:03.0,Shooting foul by R. Hibbert (drawn by R. Lopez),,50-37,,
9:03.0,R. Lopez makes 2-pt shot at rim (assist by J. Calderon),2,52-37,,
9:03.0,R. Lopez makes free throw 1 of 1,1,53-37,,
9:03.0,,,53-37,,LA Lakers full timeout
8:52.0,,,53-39,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
8:37.0,Turnover by R. Lopez (lost ball; steal by K. Bryant),,53-39,,
8:30.0,,,53-41,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
8:11.0,C. Anthony misses 3-pt shot from 24 ft,,53-41,,
8:11.0,,,53-41,,Defensive rebound by Team
8:01.0,,,53-41,,Shooting foul by J. Calderon (drawn by J. Randle)
8:01.0,,,53-42,1,J. Randle makes free throw 1 of 2
8:01.0,,,53-43,1,J. Randle makes free throw 2 of 2
7:39.0,J. Calderon makes 2-pt shot from 20 ft (assist by R. Lopez),2,55-43,,
7:25.0,,,55-45,2,R. Hibbert makes 2-pt shot from 8 ft
7:25.0,,,55-45,,Shooting foul by R. Lopez (drawn by R. Hibbert)
7:25.0,A. Afflalo enters the game for D. Williams,,55-45,,
7:25.0,,,55-46,1,R. Hibbert makes free throw 1 of 1
7:12.0,Turnover by J. Calderon (lost ball; steal by J. Clarkson),,55-46,,
7:06.0,,,55-46,,D. Russell misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by J. Calderon,,55-46,,
6:58.0,S. Vujacic misses 3-pt shot from 22 ft,,55-46,,
6:56.0,,,55-46,,Defensive rebound by J. Randle
6:48.0,,,55-46,,J. Clarkson misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by A. Afflalo,,55-46,,
6:46.0,,,55-46,,Personal foul by J. Clarkson
6:46.0,A. Afflalo makes free throw 1 of 2,1,56-46,,
6:46.0,A. Afflalo makes free throw 2 of 2,1,57-46,,
6:34.0,Violation by J. Calderon (kicked ball),,57-46,,
6:34.0,L. Galloway enters the game for S. Vujacic,,57-46,,
6:27.0,,,57-46,,J. Clarkson misses 2-pt shot from 9 ft (block by L. Galloway)
6:25.0,,,57-46,,Offensive rebound by J. Clarkson
6:20.0,,,57-48,2,R. Hibbert makes 2-pt shot from 18 ft
6:00.0,C. Anthony makes 2-pt shot from 16 ft,2,59-48,,
5:49.0,,,59-48,,Turnover by D. Russell (discontinued dribble)
5:49.0,,,59-48,,M. Huertas enters the game for J. Clarkson
5:33.0,A. Afflalo misses 3-pt shot from 23 ft,,59-48,,
5:32.0,,,59-48,,Defensive rebound by R. Hibbert
5:19.0,,,59-48,,K. Bryant misses 2-pt shot from 15 ft
5:17.0,Defensive rebound by J. Calderon,,59-48,,
5:10.0,C. Anthony misses 3-pt shot from 24 ft,,59-48,,
5:09.0,,,59-48,,Defensive rebound by K. Bryant
4:56.0,,,59-48,,Shooting foul by C. Anthony (drawn by J. Randle)
4:56.0,,,59-49,1,J. Randle makes free throw 1 of 2
4:56.0,,,59-49,,B. Bass enters the game for R. Hibbert
4:56.0,,,59-49,,M. World Peace enters the game for K. Bryant
4:56.0,,,59-49,,J. Randle misses free throw 2 of 2
4:55.0,Defensive rebound by R. Lopez,,59-49,,
4:38.0,J. Calderon misses 2-pt shot from 6 ft,,59-49,,
4:37.0,,,59-49,,Defensive rebound by B. Bass
4:28.0,Def 3 sec tech foul by R. Lopez,,59-49,,
4:28.0,,,59-50,1,M. Huertas makes technical free throw
4:28.0,,,59-50,,L. Nance enters the game for J. Randle
4:23.0,,,59-50,,Turnover by M. Huertas (bad pass)
4:07.0,C. Anthony makes 2-pt shot from 14 ft,2,61-50,,
3:55.0,,,61-50,,D. Russell misses 2-pt shot from 2 ft (block by R. Lopez)
3:53.0,Defensive rebound by C. Anthony,,61-50,,
3:38.0,J. Calderon misses 3-pt shot from 24 ft,,61-50,,
3:37.0,,,61-50,,Defensive rebound by M. World Peace
3:26.0,,,61-52,2,B. Bass makes 2-pt shot from 16 ft (assist by D. Russell)
3:02.0,A. Afflalo misses 2-pt shot from 16 ft,,61-52,,
3:01.0,,,61-52,,Defensive rebound by M. World Peace
2:54.0,New York full timeout,,61-52,,
2:54.0,,,61-52,,L. Williams enters the game for D. Russell
2:54.0,K. O'Quinn enters the game for R. Lopez,,61-52,,
2:54.0,J. Grant enters the game for J. Calderon,,61-52,,
2:39.0,,,61-54,2,L. Williams makes 2-pt shot from 1 ft (assist by M. Huertas)
2:18.0,J. Grant misses 3-pt shot from 24 ft,,61-54,,
2:17.0,,,61-54,,Defensive rebound by B. Bass
2:09.0,,,61-54,,L. Williams misses 2-pt shot from 13 ft
2:05.0,,,61-54,,Offensive rebound by L. Nance
2:05.0,,,61-56,2,L. Nance makes 2-pt shot from 1 ft
1:45.0,J. Grant makes 2-pt shot from 18 ft (assist by A. Afflalo),2,63-56,,
1:32.0,,,63-56,,Shooting foul by A. Afflalo (drawn by M. World Peace)
1:32.0,,,63-57,1,M. World Peace makes free throw 1 of 2
1:32.0,D. Williams enters the game for C. Anthony,,63-57,,
1:32.0,,,63-58,1,M. World Peace makes free throw 2 of 2
1:12.0,K. O'Quinn misses 2-pt shot from 17 ft,,63-58,,
1:11.0,,,63-58,,Defensive rebound by L. Nance
0:59.0,,,63-58,,B. Bass misses 2-pt shot from 1 ft (block by K. O'Quinn)
0:57.0,Defensive rebound by J. Grant,,63-58,,
0:49.0,A. Afflalo misses 3-pt shot from 24 ft,,63-58,,
0:48.0,Offensive rebound by J. Grant,,63-58,,
0:35.0,A. Afflalo makes 2-pt shot from 7 ft (assist by J. Grant),2,65-58,,
0:26.0,,,65-60,2,M. Huertas makes 2-pt shot from 17 ft
0:00.0,A. Afflalo misses 2-pt shot from 20 ft,,65-60,,
0:00.0,Offensive rebound by Team,,65-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,65-60,,Personal foul by L. Williams
11:38.0,Shooting foul by M. Huertas (drawn by J. Grant),,65-60,,
11:38.0,J. Grant makes free throw 1 of 2,1,66-60,,
11:38.0,J. Grant makes free throw 2 of 2,1,67-60,,
11:23.0,,,67-60,,Violation by L. Williams (kicked ball)
11:15.0,,,67-60,,L. Nance misses 2-pt shot from 8 ft
11:14.0,,,67-60,,Offensive rebound by L. Nance
11:12.0,,,67-60,,L. Nance misses 2-pt shot at rim
11:10.0,Defensive rebound by D. Williams,,67-60,,
11:08.0,D. Williams misses 2-pt shot at rim (block by L. Nance),,67-60,,
11:08.0,Offensive rebound by Team,,67-60,,
11:06.0,New York full timeout,,67-60,,
10:56.0,J. Grant misses 2-pt shot from 2 ft,,67-60,,
10:55.0,,,67-60,,Defensive rebound by M. World Peace
10:44.0,,,67-60,,L. Williams misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by K. O'Quinn,,67-60,,
10:26.0,L. Galloway misses 3-pt shot from 25 ft,,67-60,,
10:25.0,,,67-60,,Defensive rebound by L. Nance
10:03.0,,,67-62,2,M. Huertas makes 2-pt shot from 7 ft
9:38.0,A. Afflalo misses 2-pt shot from 21 ft,,67-62,,
9:38.0,,,67-62,,Defensive rebound by Team
9:38.0,Loose ball foul by K. O'Quinn,,67-62,,
9:22.0,,,67-62,,Turnover by M. Huertas (lost ball; steal by D. Williams)
9:00.0,Offensive foul by K. O'Quinn,,67-62,,
9:00.0,Turnover by K. O'Quinn (offensive foul),,67-62,,
9:00.0,R. Lopez enters the game for D. Williams,,67-62,,
9:00.0,J. Calderon enters the game for J. Grant,,67-62,,
9:00.0,C. Anthony enters the game for K. O'Quinn,,67-62,,
8:47.0,,,67-62,,M. Huertas misses 2-pt shot from 17 ft
8:45.0,Defensive rebound by L. Galloway,,67-62,,
8:37.0,Shooting foul by B. Bass (drawn by L. Galloway),,67-62,,
8:37.0,Official timeout,,67-62,,
8:37.0,,,67-62,,R. Kelly enters the game for M. World Peace
8:37.0,L. Galloway misses free throw 1 of 2,,67-62,,
8:37.0,Offensive rebound by Team,,67-62,,
8:37.0,L. Galloway makes free throw 2 of 2,1,68-62,,
8:21.0,,,68-64,2,L. Williams makes 2-pt shot from 15 ft
8:07.0,Turnover by L. Galloway (bad pass),,68-64,,
8:03.0,,,68-66,2,B. Bass makes 2-pt shot at rim (assist by L. Williams)
7:29.0,,,68-66,,Violation by M. Huertas (kicked ball)
7:25.0,,,68-66,,Personal foul by R. Kelly
7:17.0,A. Afflalo makes 2-pt shot from 19 ft (assist by J. Calderon),2,70-66,,
6:58.0,,,70-68,2,L. Williams makes 2-pt shot from 3 ft (assist by B. Bass)
6:58.0,Away from play foul by C. Anthony,,70-68,,
6:58.0,,,70-69,1,B. Bass makes free throw 1 of 1
6:41.0,C. Anthony makes 2-pt shot from 1 ft (assist by L. Galloway),2,72-69,,
6:32.0,,,72-69,,B. Bass misses 2-pt shot from 1 ft
6:30.0,Defensive rebound by C. Anthony,,72-69,,
6:19.0,Turnover by R. Lopez (lost ball; steal by L. Williams),,72-69,,
6:14.0,,,72-71,2,B. Bass makes 2-pt shot at rim (assist by L. Williams)
6:14.0,New York full timeout,,72-71,,
5:53.0,C. Anthony makes 2-pt shot from 12 ft,2,74-71,,
5:37.0,,,74-71,,R. Kelly misses 3-pt shot from 23 ft
5:35.0,,,74-71,,Offensive rebound by M. Huertas
5:23.0,,,74-73,2,M. Huertas makes 2-pt shot from 16 ft
5:23.0,,,74-73,,Shooting foul by J. Calderon (drawn by M. Huertas)
5:23.0,,,74-74,1,M. Huertas makes free throw 1 of 1
5:02.0,A. Afflalo makes 2-pt shot from 8 ft,2,76-74,,
4:49.0,,,76-77,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Huertas)
4:24.0,A. Afflalo misses 2-pt shot from 1 ft,,76-77,,
4:23.0,,,76-77,,Defensive rebound by B. Bass
4:10.0,,,76-77,,M. Huertas misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by R. Lopez,,76-77,,
3:50.0,C. Anthony misses 2-pt shot from 15 ft,,76-77,,
3:49.0,,,76-77,,Defensive rebound by M. Huertas
3:32.0,,,76-79,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
3:32.0,,,76-79,,Shooting foul by C. Anthony (drawn by L. Nance)
3:32.0,,,76-79,,K. Bryant enters the game for R. Kelly
3:32.0,S. Vujacic enters the game for L. Galloway,,76-79,,
3:32.0,,,76-79,,L. Nance misses free throw 1 of 1
3:31.0,,,76-79,,Offensive rebound by B. Bass
3:17.0,,,76-81,2,K. Bryant makes 2-pt shot from 9 ft (assist by L. Williams)
3:16.0,New York full timeout,,76-81,,
2:56.0,C. Anthony makes 3-pt shot from 24 ft (assist by A. Afflalo),3,79-81,,
2:40.0,,,79-83,2,L. Williams makes 2-pt shot from 16 ft
2:24.0,R. Lopez makes 2-pt shot from 2 ft (assist by C. Anthony),2,81-83,,
2:00.0,,,81-83,,L. Williams misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by Team,,81-83,,
1:48.0,S. Vujacic misses 3-pt shot from 23 ft,,81-83,,
1:46.0,,,81-83,,Defensive rebound by L. Nance
1:32.0,,,81-85,2,K. Bryant makes 2-pt shot from 13 ft
1:23.0,C. Anthony makes 3-pt shot from 25 ft,3,84-85,,
1:05.0,,,84-85,,K. Bryant misses 2-pt shot from 13 ft
1:04.0,Defensive rebound by C. Anthony,,84-85,,
0:55.0,C. Anthony makes 2-pt shot from 20 ft,2,86-85,,
0:55.0,,,86-85,,LA Lakers full timeout
0:41.0,,,86-87,2,L. Williams makes 2-pt shot from 19 ft
0:29.0,Shooting foul by B. Bass (drawn by R. Lopez),,86-87,,
0:29.0,R. Lopez makes free throw 1 of 2,1,87-87,,
