time,Golden State,pts.away,score,pts.home,Milwaukee
6:55.0,K. Thompson misses 3-pt shot from 25 ft,,7-14,,
6:52.0,,,7-14,,Defensive rebound by O. Mayo
6:50.0,,,7-14,,O. Mayo misses 2-pt shot from 1 ft (block by B. Rush)
6:47.0,,,7-14,,Offensive rebound by G. Monroe
6:45.0,,,7-16,2,G. Monroe makes 2-pt shot from 1 ft
6:30.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut),2,9-16,,
6:16.0,,,9-18,2,K. Middleton makes 2-pt shot from 12 ft
6:01.0,S. Curry makes 2-pt shot from 1 ft,2,11-18,,
5:28.0,,,11-18,,K. Middleton misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by B. Rush,,11-18,,
5:16.0,S. Curry makes 3-pt shot from 22 ft,3,14-18,,
5:01.0,,,14-18,,J. Parker misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by A. Bogut,,14-18,,
4:53.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,16-18,,
4:52.0,,,16-18,,Milwaukee full timeout
4:52.0,A. Iguodala enters the game for K. Thompson,,16-18,,
4:52.0,,,16-18,,M. Carter-Williams enters the game for G. Antetokounmpo
4:40.0,,,16-18,,J. Parker misses 2-pt shot from 15 ft
4:38.0,,,16-18,,Offensive rebound by K. Middleton
4:35.0,,,16-21,3,O. Mayo makes 3-pt shot from 23 ft (assist by K. Middleton)
4:24.0,Turnover by A. Iguodala (bad pass),,16-21,,
4:10.0,,,16-21,,K. Middleton misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by A. Bogut,,16-21,,
4:03.0,D. Green misses 2-pt shot from 1 ft,,16-21,,
4:01.0,,,16-21,,Defensive rebound by J. Parker
3:51.0,,,16-24,3,O. Mayo makes 3-pt shot from 27 ft (assist by M. Carter-Williams)
3:34.0,B. Rush misses 2-pt shot from 15 ft,,16-24,,
3:24.0,,,16-24,,Defensive rebound by J. Parker
3:18.0,,,16-24,,J. Parker misses 2-pt shot from 1 ft (block by D. Green)
3:16.0,Defensive rebound by D. Green,,16-24,,
3:14.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,18-24,,
3:01.0,,,18-26,2,J. Parker makes 2-pt shot from 1 ft (assist by O. Mayo)
2:45.0,S. Curry misses 2-pt shot from 13 ft,,18-26,,
2:44.0,,,18-26,,Defensive rebound by G. Monroe
2:40.0,,,18-28,2,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams)
2:40.0,Golden State full timeout,,18-28,,
2:40.0,S. Livingston enters the game for B. Rush,,18-28,,
2:40.0,,,18-28,,R. Vaughn enters the game for J. Parker
2:40.0,,,18-28,,J. O'Bryant enters the game for O. Mayo
2:18.0,A. Iguodala misses 3-pt shot from 27 ft,,18-28,,
2:17.0,,,18-28,,Defensive rebound by G. Monroe
2:03.0,,,18-30,2,G. Monroe makes 2-pt shot from 5 ft (assist by K. Middleton)
1:42.0,S. Livingston misses 2-pt shot from 10 ft,,18-30,,
1:41.0,,,18-30,,Defensive rebound by K. Middleton
1:37.0,,,18-30,,Turnover by K. Middleton (bad pass; steal by S. Livingston)
1:36.0,,,18-30,,Personal foul by G. Monroe (drawn by S. Livingston)
1:36.0,F. Ezeli enters the game for A. Bogut,,18-30,,
1:36.0,,,18-30,,G. Antetokounmpo enters the game for K. Middleton
1:21.0,S. Curry misses 2-pt shot from 3 ft,,18-30,,
1:18.0,Offensive rebound by F. Ezeli,,18-30,,
1:15.0,S. Curry misses 3-pt shot from 23 ft,,18-30,,
1:15.0,Offensive rebound by F. Ezeli,,18-30,,
1:15.0,F. Ezeli makes 2-pt shot at rim,2,20-30,,
1:15.0,Shooting foul by G. Monroe (drawn by F. Ezeli),,20-30,,
1:15.0,,,20-30,,J. Henson enters the game for G. Monroe
1:15.0,F. Ezeli makes free throw 1 of 1,1,21-30,,
0:58.0,,,21-30,,M. Carter-Williams misses 2-pt shot from 18 ft
0:56.0,Defensive rebound by S. Curry,,21-30,,
0:53.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,23-30,,
0:53.0,Shooting foul by R. Vaughn (drawn by D. Green),,23-30,,
0:53.0,D. Green makes free throw 1 of 1,1,24-30,,
0:43.0,,,24-30,,R. Vaughn misses 2-pt shot from 18 ft
0:41.0,Defensive rebound by F. Ezeli,,24-30,,
0:35.0,S. Curry makes 2-pt shot from 16 ft,2,26-30,,
0:26.0,,,26-30,,Turnover by M. Carter-Williams (offensive foul)
0:26.0,,,26-30,,Offensive foul by M. Carter-Williams
0:08.0,Shooting foul by J. Henson (drawn by D. Green),,26-30,,
0:08.0,D. Green makes free throw 1 of 2,1,27-30,,
0:08.0,L. Barbosa enters the game for S. Curry,,27-30,,
0:08.0,D. Green makes free throw 2 of 2,1,28-30,,
0:02.0,,,28-30,,J. O'Bryant misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by F. Ezeli,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Speights misses 2-pt shot from 1 ft,,28-30,,
11:37.0,,,28-30,,Defensive rebound by R. Vaughn
11:25.0,,,28-30,,J. Henson misses 2-pt shot from 1 ft
11:23.0,Defensive rebound by A. Iguodala,,28-30,,
11:14.0,A. Iguodala misses 3-pt shot from 24 ft,,28-30,,
11:14.0,,,28-30,,Defensive rebound by J. Henson
11:14.0,Personal foul by F. Ezeli (drawn by J. Henson),,28-30,,
10:56.0,,,28-30,,Turnover by G. Antetokounmpo (lost ball; steal by F. Ezeli)
10:51.0,F. Ezeli makes 2-pt shot at rim (assist by A. Iguodala),2,30-30,,
10:34.0,,,30-30,,M. Carter-Williams misses 2-pt shot from 17 ft
10:34.0,Defensive rebound by A. Iguodala,,30-30,,
10:34.0,,,30-30,,Loose ball foul by J. O'Bryant (drawn by A. Iguodala)
10:18.0,Turnover by L. Barbosa (lost ball; steal by M. Carter-Williams),,30-30,,
10:13.0,,,30-30,,J. O'Bryant misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by A. Iguodala,,30-30,,
10:08.0,F. Ezeli makes 2-pt shot from 2 ft (assist by S. Livingston),2,32-30,,
10:08.0,Shooting foul by G. Antetokounmpo (drawn by F. Ezeli),,32-30,,
10:08.0,F. Ezeli makes free throw 1 of 1,1,33-30,,
9:53.0,,,33-32,2,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
9:41.0,S. Livingston misses 2-pt shot from 10 ft,,33-32,,
9:40.0,Offensive rebound by F. Ezeli,,33-32,,
9:30.0,L. Barbosa misses 3-pt shot from 23 ft,,33-32,,
9:28.0,Offensive rebound by M. Speights,,33-32,,
9:17.0,Turnover by Team (shot clock),,33-32,,
8:58.0,,,33-34,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by J. O'Bryant)
8:47.0,Turnover by L. Barbosa (bad pass; steal by M. Carter-Williams),,33-34,,
8:42.0,,,33-36,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
8:34.0,Golden State full timeout,,33-36,,
8:34.0,K. Thompson enters the game for A. Iguodala,,33-36,,
8:26.0,Offensive foul by F. Ezeli,,33-36,,
8:26.0,Turnover by F. Ezeli (offensive foul),,33-36,,
8:12.0,,,33-38,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:58.0,M. Speights makes 2-pt shot at rim (assist by S. Livingston),2,35-38,,
7:38.0,,,35-38,,J. Henson misses 2-pt shot from 6 ft
7:38.0,,,35-38,,Offensive rebound by Team
7:33.0,,,35-38,,Turnover by J. O'Bryant (lost ball; steal by F. Ezeli)
7:11.0,K. Thompson misses 2-pt shot from 6 ft,,35-38,,
7:09.0,Offensive rebound by F. Ezeli,,35-38,,
7:09.0,F. Ezeli misses 2-pt shot from 2 ft,,35-38,,
7:08.0,,,35-38,,Defensive rebound by Team
7:08.0,,,35-38,,J. Parker enters the game for J. O'Bryant
6:52.0,,,35-38,,G. Antetokounmpo misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by M. Speights,,35-38,,
6:37.0,M. Speights misses 2-pt shot from 5 ft,,35-38,,
6:36.0,,,35-38,,Defensive rebound by J. Henson
6:30.0,,,35-38,,Shooting foul by K. Thompson (drawn by G. Antetokounmpo)
6:30.0,,,35-39,1,G. Antetokounmpo makes free throw 1 of 2
6:30.0,D. Green enters the game for M. Speights,,35-39,,
6:30.0,,,35-40,1,G. Antetokounmpo makes free throw 2 of 2
6:15.0,Turnover by D. Green (lost ball; steal by R. Vaughn),,35-40,,
6:10.0,,,35-40,,Turnover by J. Henson (illegal assist)
5:56.0,K. Thompson misses 3-pt shot from 26 ft,,35-40,,
5:55.0,,,35-40,,Defensive rebound by G. Antetokounmpo
5:35.0,,,35-42,2,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by J. Henson)
5:27.0,Shooting foul by J. Henson (drawn by F. Ezeli),,35-42,,
5:27.0,Official timeout,,35-42,,
5:27.0,A. Iguodala enters the game for S. Livingston,,35-42,,
5:27.0,S. Curry enters the game for L. Barbosa,,35-42,,
5:27.0,,,35-42,,G. Monroe enters the game for R. Vaughn
5:27.0,,,35-42,,O. Mayo enters the game for J. Henson
5:27.0,F. Ezeli misses free throw 1 of 2,,35-42,,
5:27.0,Offensive rebound by Team,,35-42,,
5:27.0,F. Ezeli makes free throw 2 of 2,1,36-42,,
5:07.0,,,36-44,2,J. Parker makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
4:51.0,K. Thompson misses 2-pt shot from 16 ft,,36-44,,
4:50.0,,,36-44,,Defensive rebound by G. Antetokounmpo
4:37.0,,,36-46,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
4:21.0,K. Thompson misses 2-pt shot from 18 ft,,36-46,,
4:20.0,,,36-46,,Defensive rebound by G. Antetokounmpo
4:16.0,,,36-48,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:02.0,,,36-48,,Personal foul by M. Carter-Williams (drawn by S. Curry)
4:02.0,A. Bogut enters the game for F. Ezeli,,36-48,,
4:02.0,,,36-48,,K. Middleton enters the game for M. Carter-Williams
3:48.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,38-48,,
3:27.0,,,38-48,,O. Mayo misses 3-pt shot from 24 ft
3:27.0,,,38-48,,Offensive rebound by Team
3:20.0,,,38-48,,J. Parker misses 2-pt shot from 16 ft
3:19.0,,,38-48,,Offensive rebound by G. Monroe
3:18.0,,,38-48,,Shooting foul by A. Iguodala (drawn by G. Monroe)
3:18.0,,,38-49,1,G. Monroe makes free throw 1 of 2
3:18.0,,,38-50,1,G. Monroe makes free throw 2 of 2
3:04.0,S. Curry misses 2-pt shot from 9 ft,,38-50,,
3:03.0,,,38-50,,Defensive rebound by G. Monroe
2:50.0,,,38-50,,G. Monroe misses 2-pt shot from 2 ft (block by A. Bogut)
2:48.0,Defensive rebound by A. Iguodala,,38-50,,
2:45.0,A. Iguodala misses 2-pt shot from 1 ft,,38-50,,
2:43.0,Offensive rebound by D. Green,,38-50,,
2:43.0,D. Green makes 2-pt shot from 1 ft,2,40-50,,
2:32.0,,,40-50,,Offensive foul by J. Parker
2:32.0,,,40-50,,Turnover by J. Parker (offensive foul)
2:32.0,,,40-50,,Milwaukee full timeout
2:14.0,Turnover by K. Thompson (traveling),,40-50,,
2:03.0,,,40-53,3,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
1:44.0,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala),2,42-53,,
1:33.0,Personal foul by S. Curry (drawn by O. Mayo),,42-53,,
1:22.0,,,42-56,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by J. Parker)
1:11.0,S. Curry makes 2-pt shot from 17 ft (assist by A. Bogut),2,44-56,,
0:57.0,,,44-56,,Turnover by G. Antetokounmpo (bad pass; steal by A. Iguodala)
0:42.0,A. Iguodala makes 2-pt shot at rim,2,46-56,,
0:30.0,Personal foul by S. Curry (drawn by G. Monroe),,46-56,,
0:30.0,,,46-56,,G. Monroe misses free throw 1 of 2
0:30.0,,,46-56,,Offensive rebound by Team
0:30.0,,,46-57,1,G. Monroe makes free throw 2 of 2
0:11.0,A. Bogut misses 2-pt shot from 2 ft,,46-57,,
0:10.0,,,46-57,,Defensive rebound by G. Antetokounmpo
0:06.0,,,46-59,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
0:02.0,S. Curry misses 2-pt shot from 1 ft (block by K. Middleton),,46-59,,
0:02.0,Offensive rebound by S. Curry,,46-59,,
0:02.0,Shooting foul by J. Parker (drawn by S. Curry),,46-59,,
0:02.0,S. Curry makes free throw 1 of 2,1,47-59,,
0:02.0,S. Curry makes free throw 2 of 2,1,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by S. Curry (bad pass; steal by O. Mayo),,48-59,,
11:44.0,,,48-61,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
11:44.0,,,48-61,,Shooting foul by B. Rush (drawn by J. Parker)
11:44.0,,,48-61,,J. Parker misses free throw 1 of 1
11:43.0,Defensive rebound by A. Bogut,,48-61,,
11:35.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,50-61,,
11:35.0,Shooting foul by G. Monroe (drawn by D. Green),,50-61,,
11:35.0,D. Green makes free throw 1 of 1,1,51-61,,
11:21.0,,,51-61,,O. Mayo misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by D. Green,,51-61,,
11:11.0,B. Rush makes 3-pt shot from 25 ft (assist by D. Green),3,54-61,,
10:54.0,,,54-61,,Turnover by K. Middleton (lost ball)
10:36.0,K. Thompson misses 3-pt shot from 30 ft,,54-61,,
10:35.0,,,54-61,,Defensive rebound by K. Middleton
10:25.0,,,54-61,,K. Middleton misses 2-pt shot from 12 ft (block by A. Bogut)
10:23.0,Defensive rebound by D. Green,,54-61,,
10:15.0,Turnover by D. Green (bad pass; steal by K. Middleton),,54-61,,
10:12.0,,,54-63,2,J. Parker makes 2-pt shot from 2 ft (assist by K. Middleton)
10:01.0,Flagrant foul type 1 by K. Thompson (drawn by K. Middleton),,54-63,,
10:01.0,Turnover by K. Thompson (offensive foul),,54-63,,
10:01.0,,,54-64,1,O. Mayo makes flagrant free throw 1 of 2
10:01.0,,,54-65,1,O. Mayo makes flagrant free throw 2 of 2
9:43.0,,,54-65,,J. Parker misses 2-pt shot from 2 ft
9:41.0,,,54-65,,Offensive rebound by G. Monroe
9:41.0,,,54-67,2,G. Monroe makes 2-pt shot from 1 ft
9:25.0,B. Rush misses 3-pt shot from 23 ft,,54-67,,
9:25.0,,,54-67,,Defensive rebound by Team
9:25.0,Loose ball foul by D. Green (drawn by G. Antetokounmpo),,54-67,,
9:13.0,,,54-67,,Turnover by G. Antetokounmpo (bad pass)
8:55.0,D. Green misses 2-pt shot at rim,,54-67,,
8:54.0,Offensive rebound by D. Green,,54-67,,
8:54.0,D. Green makes 2-pt shot at rim,2,56-67,,
8:43.0,,,56-67,,G. Monroe misses 2-pt shot at rim (block by A. Bogut)
8:41.0,Defensive rebound by A. Bogut,,56-67,,
8:30.0,K. Thompson misses 2-pt shot from 6 ft,,56-67,,
8:29.0,,,56-67,,Defensive rebound by G. Antetokounmpo
8:21.0,,,56-67,,G. Antetokounmpo misses 2-pt shot at rim (block by A. Bogut)
8:14.0,,,56-67,,Offensive rebound by O. Mayo
7:56.0,,,56-67,,Turnover by G. Monroe (lost ball; steal by B. Rush)
7:53.0,Shooting foul by O. Mayo (drawn by B. Rush),,56-67,,
7:53.0,B. Rush makes free throw 1 of 2,1,57-67,,
7:53.0,B. Rush misses free throw 2 of 2,,57-67,,
7:51.0,,,57-67,,Defensive rebound by J. Parker
7:48.0,,,57-67,,Technical foul by G. Monroe
7:48.0,Technical foul by D. Green,,57-67,,
7:34.0,,,57-67,,K. Middleton misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by A. Bogut,,57-67,,
7:26.0,S. Curry makes 2-pt shot at rim,2,59-67,,
7:26.0,Shooting foul by J. Parker (drawn by S. Curry),,59-67,,
7:26.0,S. Curry makes free throw 1 of 1,1,60-67,,
7:09.0,,,60-67,,K. Middleton misses 2-pt shot from 1 ft
7:07.0,,,60-67,,Offensive rebound by G. Monroe
7:06.0,,,60-69,2,G. Monroe makes 2-pt shot at rim
6:55.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,62-69,,
6:34.0,,,62-69,,K. Middleton misses 2-pt shot from 5 ft
6:32.0,Defensive rebound by D. Green,,62-69,,
6:28.0,Turnover by D. Green (lost ball; steal by K. Middleton),,62-69,,
6:28.0,Personal foul by D. Green (drawn by K. Middleton),,62-69,,
6:19.0,,,62-69,,Shooting foul by B. Rush (drawn by J. Parker)
6:19.0,,,62-70,1,J. Parker makes free throw 1 of 2
6:19.0,,,62-70,,J. Parker misses free throw 2 of 2
6:18.0,Defensive rebound by D. Green,,62-70,,
6:03.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,64-70,,
5:54.0,,,64-70,,Turnover by O. Mayo (bad pass; steal by S. Curry)
5:49.0,S. Curry misses 3-pt shot from 27 ft,,64-70,,
5:47.0,Offensive rebound by S. Curry,,64-70,,
5:44.0,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry),3,67-70,,
5:28.0,,,67-70,,O. Mayo misses 3-pt shot from 25 ft
5:26.0,,,67-70,,Offensive rebound by J. Parker
5:22.0,,,67-70,,O. Mayo misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by A. Bogut,,67-70,,
5:12.0,B. Rush makes 2-pt shot from 1 ft (assist by D. Green),2,69-70,,
5:11.0,,,69-70,,Milwaukee full timeout
5:11.0,A. Iguodala enters the game for K. Thompson,,69-70,,
5:11.0,,,69-70,,M. Carter-Williams enters the game for O. Mayo
4:59.0,,,69-72,2,M. Carter-Williams makes 2-pt shot from 2 ft
4:42.0,,,69-72,,Personal foul by M. Carter-Williams (drawn by S. Curry)
4:31.0,B. Rush misses 2-pt shot from 1 ft,,69-72,,
4:29.0,,,69-72,,Defensive rebound by G. Monroe
4:28.0,Loose ball foul by D. Green (drawn by G. Monroe),,69-72,,
4:28.0,,,69-73,1,G. Monroe makes free throw 1 of 2
4:28.0,F. Ezeli enters the game for A. Bogut,,69-73,,
4:28.0,,,69-74,1,G. Monroe makes free throw 2 of 2
4:14.0,Shooting foul by G. Monroe (drawn by S. Curry),,69-74,,
4:14.0,S. Curry makes free throw 1 of 2,1,70-74,,
4:14.0,,,70-74,,J. Henson enters the game for G. Monroe
4:14.0,S. Livingston enters the game for B. Rush,,70-74,,
4:14.0,S. Curry misses free throw 2 of 2,,70-74,,
4:13.0,Offensive rebound by F. Ezeli,,70-74,,
4:13.0,,,70-74,,Personal foul by J. Henson (drawn by F. Ezeli)
4:13.0,F. Ezeli misses free throw 1 of 2,,70-74,,
4:13.0,Offensive rebound by Team,,70-74,,
4:13.0,F. Ezeli misses free throw 2 of 2,,70-74,,
4:10.0,,,70-74,,Defensive rebound by M. Carter-Williams
3:46.0,,,70-76,2,J. Parker makes 2-pt shot from 20 ft (assist by J. Henson)
3:31.0,Turnover by D. Green (bad pass; steal by J. Parker),,70-76,,
3:27.0,,,70-78,2,J. Parker makes 2-pt shot at rim
3:04.0,,,70-78,,Personal foul by J. Henson (drawn by D. Green)
3:04.0,D. Green misses free throw 1 of 2,,70-78,,
3:04.0,Offensive rebound by Team,,70-78,,
3:04.0,D. Green makes free throw 2 of 2,1,71-78,,
2:42.0,,,71-78,,J. Henson misses 2-pt shot from 3 ft
2:41.0,Defensive rebound by A. Iguodala,,71-78,,
2:37.0,S. Livingston misses 2-pt shot from 8 ft,,71-78,,
2:34.0,Offensive rebound by D. Green,,71-78,,
2:34.0,D. Green misses 2-pt shot from 1 ft,,71-78,,
2:29.0,Offensive rebound by F. Ezeli,,71-78,,
2:29.0,F. Ezeli makes 2-pt shot at rim,2,73-78,,
2:18.0,,,73-78,,G. Antetokounmpo misses 2-pt shot from 11 ft
2:17.0,Defensive rebound by S. Curry,,73-78,,
2:14.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,75-78,,
1:46.0,,,75-78,,J. Henson misses 2-pt shot from 9 ft
1:46.0,,,75-78,,Offensive rebound by Team
1:46.0,,,75-78,,Turnover by Team (shot clock)
1:46.0,Golden State full timeout,,75-78,,
1:46.0,,,75-78,,J. O'Bryant enters the game for G. Antetokounmpo
1:32.0,S. Curry makes 2-pt shot at rim,2,77-78,,
1:13.0,,,77-78,,K. Middleton misses 2-pt shot from 18 ft
1:11.0,Defensive rebound by S. Curry,,77-78,,
1:02.0,S. Curry misses 2-pt shot from 19 ft,,77-78,,
1:00.0,,,77-78,,Defensive rebound by J. Parker
0:51.0,,,77-80,2,M. Carter-Williams makes 2-pt shot from 4 ft
0:36.0,A. Iguodala misses 2-pt shot from 14 ft,,77-80,,
0:35.0,,,77-80,,Defensive rebound by J. Parker
0:22.0,,,77-80,,J. O'Bryant misses 2-pt shot from 4 ft
0:19.0,Defensive rebound by D. Green,,77-80,,
0:14.0,Turnover by D. Green (bad pass; steal by J. Parker),,77-80,,
0:00.0,,,77-80,,J. Henson misses 2-pt shot from 6 ft
0:00.0,,,77-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-80,,M. Carter-Williams misses 2-pt shot from 2 ft (block by J. Thompson)
11:43.0,Defensive rebound by A. Iguodala,,77-80,,
11:42.0,A. Iguodala misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,77-80,,
11:42.0,Offensive rebound by Team,,77-80,,
11:34.0,,,77-80,,Personal foul by J. Henson (drawn by F. Ezeli)
11:34.0,,,77-80,,G. Monroe enters the game for J. Henson
11:17.0,L. Barbosa misses 2-pt shot from 18 ft,,77-80,,
11:16.0,,,77-80,,Defensive rebound by G. Antetokounmpo
11:08.0,,,77-80,,J. O'Bryant misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by A. Iguodala,,77-80,,
11:00.0,A. Iguodala misses 2-pt shot from 19 ft,,77-80,,
11:00.0,Offensive rebound by S. Livingston,,77-80,,
11:00.0,,,77-80,,Personal foul by K. Middleton (drawn by S. Livingston)
10:47.0,S. Livingston misses 2-pt shot from 14 ft,,77-80,,
10:45.0,,,77-80,,Defensive rebound by Team
10:45.0,Loose ball foul by J. Thompson (drawn by G. Antetokounmpo),,77-80,,
10:27.0,,,77-82,2,M. Carter-Williams makes 2-pt shot from 6 ft (assist by J. O'Bryant)
10:16.0,Turnover by F. Ezeli (bad pass; steal by G. Antetokounmpo),,77-82,,
10:12.0,,,77-82,,Offensive foul by G. Antetokounmpo
10:12.0,,,77-82,,Turnover by G. Antetokounmpo (offensive foul)
9:59.0,A. Iguodala misses 3-pt shot from 27 ft,,77-82,,
9:58.0,,,77-82,,Defensive rebound by K. Middleton
9:39.0,,,77-84,2,M. Carter-Williams makes 2-pt shot from 7 ft
9:39.0,,,77-84,,Shooting foul by L. Barbosa (drawn by M. Carter-Williams)
9:39.0,,,77-85,1,M. Carter-Williams makes free throw 1 of 1
9:18.0,F. Ezeli misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,77-85,,
9:14.0,,,77-85,,Defensive rebound by M. Carter-Williams
9:05.0,,,77-85,,G. Monroe misses 2-pt shot from 8 ft
9:03.0,,,77-85,,Offensive rebound by J. O'Bryant
8:58.0,Official timeout,,77-85,,
8:58.0,K. Thompson enters the game for A. Iguodala,,77-85,,
8:42.0,,,77-87,2,G. Monroe makes 2-pt shot from 4 ft (assist by M. Carter-Williams)
8:27.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,79-87,,
8:12.0,,,79-87,,Turnover by G. Monroe (bad pass)
7:53.0,F. Ezeli misses 2-pt shot from 8 ft,,79-87,,
7:52.0,,,79-87,,Defensive rebound by G. Antetokounmpo
7:37.0,,,79-89,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Middleton)
7:20.0,L. Barbosa misses 3-pt shot from 26 ft,,79-89,,
7:18.0,,,79-89,,Defensive rebound by G. Monroe
6:57.0,,,79-91,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
6:57.0,Golden State full timeout,,79-91,,
6:57.0,D. Green enters the game for L. Barbosa,,79-91,,
6:57.0,S. Curry enters the game for J. Thompson,,79-91,,
6:57.0,,,79-91,,O. Mayo enters the game for J. O'Bryant
