time,Miami,pts.away,score,pts.home,Golden State
1:41.0,G. Dragic misses 2-pt shot from 18 ft,,25-23,,
1:41.0,,,25-23,,Defensive rebound by A. Iguodala
1:27.0,,,25-25,2,H. Barnes makes 2-pt shot from 15 ft
1:00.0,J. Richardson misses 3-pt shot from 24 ft,,25-25,,
0:57.0,,,25-25,,Defensive rebound by A. Iguodala
0:52.0,,,25-25,,S. Curry misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by U. Haslem,,25-25,,
0:34.0,,,25-25,,Personal foul by H. Barnes (drawn by L. Deng)
0:20.0,Turnover by Team (shot clock),,25-25,,
0:03.0,,,25-27,2,S. Curry makes 2-pt shot from 7 ft (assist by S. Livingston)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-29,2,S. Livingston makes 2-pt shot at rim
11:24.0,G. Green misses 2-pt shot from 19 ft,,25-29,,
11:24.0,,,25-29,,Defensive rebound by F. Ezeli
11:14.0,,,25-29,,A. Iguodala misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by L. Deng,,25-29,,
11:02.0,G. Green misses 2-pt shot from 17 ft,,25-29,,
11:00.0,,,25-29,,Defensive rebound by F. Ezeli
10:46.0,,,25-31,2,H. Barnes makes 2-pt shot from 6 ft
10:19.0,A. Stoudemire makes 2-pt shot from 8 ft (assist by L. Deng),2,27-31,,
10:03.0,,,27-31,,I. Clark misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by T. Johnson,,27-31,,
9:51.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by G. Green),2,29-31,,
9:34.0,,,29-33,2,H. Barnes makes 2-pt shot from 18 ft (assist by S. Livingston)
9:14.0,A. Stoudemire misses 2-pt shot from 16 ft,,29-33,,
9:13.0,,,29-33,,Defensive rebound by A. Iguodala
9:00.0,,,29-33,,Shooting foul by A. Stoudemire (drawn by F. Ezeli)
9:00.0,,,29-33,,F. Ezeli misses free throw 1 of 2
9:00.0,,,29-33,,Offensive rebound by Team
9:00.0,,,29-34,1,F. Ezeli makes free throw 2 of 2
8:48.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,31-34,,
8:29.0,,,31-34,,Shooting foul by T. Johnson (drawn by H. Barnes)
8:29.0,Official timeout,,31-34,,
8:29.0,,,31-34,,A. Bogut enters the game for F. Ezeli
8:29.0,,,31-35,1,H. Barnes makes free throw 1 of 2
8:29.0,,,31-36,1,H. Barnes makes free throw 2 of 2
8:18.0,T. Johnson misses 2-pt shot from 18 ft,,31-36,,
8:18.0,Offensive rebound by A. Stoudemire,,31-36,,
8:10.0,G. Green misses 2-pt shot from 15 ft,,31-36,,
8:08.0,,,31-36,,Defensive rebound by H. Barnes
7:50.0,,,31-38,2,A. Bogut makes 2-pt shot from 8 ft (assist by I. Clark)
7:38.0,Shooting foul by S. Livingston (drawn by G. Dragic),,31-38,,
7:38.0,G. Dragic makes free throw 1 of 2,1,32-38,,
7:38.0,,,32-38,,K. Thompson enters the game for A. Iguodala
7:38.0,D. Wade enters the game for T. Johnson,,32-38,,
7:38.0,G. Dragic misses free throw 2 of 2,,32-38,,
7:37.0,,,32-38,,Defensive rebound by Team
7:25.0,,,32-38,,I. Clark misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by A. Stoudemire,,32-38,,
7:16.0,,,32-38,,Personal foul by S. Livingston (drawn by D. Wade)
7:16.0,,,32-38,,S. Curry enters the game for I. Clark
7:16.0,,,32-38,,D. Green enters the game for H. Barnes
7:16.0,C. Bosh enters the game for A. Stoudemire,,32-38,,
7:16.0,,,32-38,,Personal foul by A. Bogut (drawn by G. Dragic)
7:03.0,C. Bosh misses 3-pt shot from 23 ft,,32-38,,
7:02.0,,,32-38,,Defensive rebound by D. Green
6:55.0,,,32-40,2,A. Bogut makes 2-pt shot from 2 ft (assist by S. Curry)
6:48.0,Miami full timeout,,32-40,,
6:48.0,,,32-40,,B. Rush enters the game for S. Livingston
6:48.0,T. Johnson enters the game for G. Dragic,,32-40,,
6:40.0,G. Green makes 2-pt shot from 2 ft (assist by T. Johnson),2,34-40,,
6:25.0,,,34-40,,K. Thompson misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by G. Green,,34-40,,
6:06.0,Shooting foul by K. Thompson (drawn by D. Wade),,34-40,,
6:06.0,D. Wade makes free throw 1 of 2,1,35-40,,
6:06.0,D. Wade makes free throw 2 of 2,1,36-40,,
6:06.0,,,36-40,,Turnover by D. Green (bad pass; steal by G. Green)
6:01.0,G. Green misses 2-pt shot from 13 ft,,36-40,,
6:01.0,,,36-40,,Defensive rebound by D. Green
5:54.0,,,36-42,2,D. Green makes 2-pt shot from 1 ft
5:34.0,D. Wade misses 2-pt shot from 13 ft,,36-42,,
5:32.0,,,36-42,,Defensive rebound by A. Bogut
5:31.0,,,36-42,,Turnover by D. Green (lost ball)
5:24.0,T. Johnson makes 2-pt shot from 16 ft,2,38-42,,
5:14.0,,,38-42,,D. Green misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by L. Deng,,38-42,,
5:07.0,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade),2,40-42,,
5:07.0,Shooting foul by A. Bogut (drawn by C. Bosh),,40-42,,
5:07.0,C. Bosh makes free throw 1 of 1,1,41-42,,
4:44.0,,,41-42,,S. Curry misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by C. Bosh,,41-42,,
4:34.0,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade),2,43-42,,
4:34.0,Shooting foul by A. Bogut (drawn by C. Bosh),,43-42,,
4:34.0,,,43-42,,Golden State full timeout
4:34.0,,,43-42,,A. Iguodala enters the game for B. Rush
4:34.0,,,43-42,,H. Barnes enters the game for A. Bogut
4:34.0,C. Bosh misses free throw 1 of 1,,43-42,,
4:33.0,,,43-42,,Defensive rebound by A. Iguodala
4:24.0,,,43-42,,Shooting foul by C. Bosh (drawn by D. Green)
4:24.0,,,43-43,1,D. Green makes free throw 1 of 2
4:24.0,,,43-43,,D. Green misses free throw 2 of 2
4:23.0,Defensive rebound by L. Deng,,43-43,,
4:07.0,G. Green makes 2-pt shot from 18 ft (assist by D. Wade),2,45-43,,
3:57.0,,,45-45,2,S. Curry makes 2-pt shot from 16 ft
3:39.0,,,45-45,,Violation by D. Green (kicked ball)
3:30.0,L. Deng misses 2-pt shot from 18 ft,,45-45,,
3:29.0,,,45-45,,Defensive rebound by K. Thompson
3:24.0,,,45-45,,Shooting foul by L. Deng (drawn by D. Green)
3:24.0,,,45-46,1,D. Green makes free throw 1 of 2
3:24.0,G. Dragic enters the game for T. Johnson,,45-46,,
3:24.0,,,45-47,1,D. Green makes free throw 2 of 2
3:11.0,Shooting foul by D. Green (drawn by D. Wade),,45-47,,
3:11.0,D. Wade makes free throw 1 of 2,1,46-47,,
3:11.0,J. Winslow enters the game for L. Deng,,46-47,,
3:11.0,D. Wade makes free throw 2 of 2,1,47-47,,
2:53.0,,,47-47,,Shooting foul by D. Wade (drawn by A. Iguodala)
2:53.0,,,47-48,1,A. Iguodala makes free throw 1 of 2
2:53.0,,,47-49,1,A. Iguodala makes free throw 2 of 2
2:42.0,J. Winslow makes 2-pt shot at rim (assist by G. Green),2,49-49,,
2:28.0,,,49-49,,S. Curry misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by J. Winslow,,49-49,,
2:16.0,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade),3,52-49,,
2:00.0,,,52-49,,H. Barnes misses 2-pt shot from 15 ft
1:59.0,Defensive rebound by D. Wade,,52-49,,
1:49.0,D. Wade misses 2-pt shot from 17 ft,,52-49,,
1:48.0,Offensive rebound by C. Bosh,,52-49,,
1:36.0,D. Wade makes 2-pt shot from 3 ft,2,54-49,,
1:26.0,,,54-52,3,S. Curry makes 3-pt shot from 27 ft
1:00.0,Turnover by C. Bosh (lost ball; steal by K. Thompson),,54-52,,
0:49.0,,,54-52,,S. Curry misses 2-pt shot from 4 ft
0:48.0,,,54-52,,Offensive rebound by H. Barnes
0:48.0,,,54-52,,Shooting foul by J. Winslow (drawn by H. Barnes)
0:48.0,,,54-53,1,H. Barnes makes free throw 1 of 2
0:48.0,L. Deng enters the game for J. Winslow,,54-53,,
0:48.0,,,54-54,1,H. Barnes makes free throw 2 of 2
0:35.0,C. Bosh misses 3-pt shot from 25 ft,,54-54,,
0:34.0,,,54-54,,Defensive rebound by K. Thompson
0:13.0,,,54-54,,Shooting foul by G. Green (drawn by S. Curry)
0:13.0,,,54-55,1,S. Curry makes free throw 1 of 2
0:13.0,,,54-55,,B. Rush enters the game for K. Thompson
0:13.0,,,54-56,1,S. Curry makes free throw 2 of 2
0:11.0,Miami full timeout,,54-56,,
0:01.0,D. Wade misses 2-pt shot from 17 ft,,54-56,,
0:00.0,Offensive rebound by Team,,54-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,54-56,,K. Thompson misses 2-pt shot from 19 ft
11:48.0,Defensive rebound by C. Bosh,,54-56,,
11:33.0,L. Deng makes 2-pt shot from 18 ft (assist by C. Bosh),2,56-56,,
11:10.0,,,56-56,,D. Green misses 2-pt shot from 10 ft
11:09.0,Defensive rebound by C. Bosh,,56-56,,
10:58.0,L. Deng misses 2-pt shot from 6 ft,,56-56,,
10:58.0,,,56-56,,Defensive rebound by A. Bogut
10:53.0,,,56-56,,Turnover by K. Thompson (step out of bounds)
10:35.0,C. Bosh misses 3-pt shot from 23 ft,,56-56,,
10:35.0,,,56-56,,Defensive rebound by A. Bogut
10:26.0,,,56-56,,Shooting foul by J. Winslow (drawn by D. Green)
10:26.0,,,56-56,,D. Green misses free throw 1 of 2
10:26.0,,,56-56,,Offensive rebound by Team
10:26.0,,,56-57,1,D. Green makes free throw 2 of 2
10:18.0,G. Dragic misses 2-pt shot from 16 ft,,56-57,,
10:18.0,,,56-57,,Defensive rebound by D. Green
10:06.0,,,56-57,,Turnover by K. Thompson (bad pass)
9:49.0,D. Wade misses 2-pt shot from 10 ft,,56-57,,
9:49.0,,,56-57,,Defensive rebound by A. Bogut
9:42.0,,,56-60,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
9:18.0,J. Winslow misses 3-pt shot from 26 ft,,56-60,,
9:17.0,,,56-60,,Defensive rebound by D. Green
9:09.0,,,56-62,2,D. Green makes 2-pt shot from 2 ft
8:53.0,Turnover by G. Dragic (lost ball),,56-62,,
8:48.0,,,56-64,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
8:48.0,Miami full timeout,,56-64,,
8:22.0,G. Dragic makes 3-pt shot from 26 ft (assist by J. Winslow),3,59-64,,
8:12.0,,,59-64,,K. Thompson misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by G. Dragic,,59-64,,
8:04.0,Turnover by C. Bosh (lost ball),,59-64,,
7:46.0,,,59-66,2,S. Curry makes 2-pt shot from 14 ft (assist by D. Green)
7:24.0,C. Bosh misses 2-pt shot from 16 ft,,59-66,,
7:23.0,,,59-66,,Defensive rebound by A. Bogut
7:14.0,,,59-66,,S. Curry misses 3-pt shot from 29 ft
7:13.0,Defensive rebound by L. Deng,,59-66,,
6:54.0,Turnover by G. Dragic (step out of bounds),,59-66,,
6:54.0,G. Green enters the game for J. Winslow,,59-66,,
6:43.0,,,59-68,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:18.0,Turnover by L. Deng (bad pass; steal by K. Thompson),,59-68,,
6:13.0,,,59-68,,Shooting foul by G. Green (drawn by B. Rush)
6:13.0,,,59-69,1,B. Rush makes free throw 1 of 2
6:13.0,,,59-69,,B. Rush misses free throw 2 of 2
6:12.0,Defensive rebound by L. Deng,,59-69,,
5:59.0,L. Deng misses 2-pt shot from 19 ft,,59-69,,
5:58.0,,,59-69,,Defensive rebound by D. Green
5:46.0,,,59-69,,D. Green misses 2-pt shot from 9 ft
5:45.0,,,59-69,,Offensive rebound by A. Bogut
5:43.0,,,59-69,,S. Curry misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by C. Bosh,,59-69,,
5:33.0,,,59-69,,Violation by K. Thompson (kicked ball)
5:33.0,T. Johnson enters the game for G. Dragic,,59-69,,
5:33.0,,,59-69,,A. Iguodala enters the game for B. Rush
5:30.0,T. Johnson makes 2-pt shot from 1 ft (assist by D. Wade),2,61-69,,
5:10.0,,,61-69,,S. Curry misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by D. Wade,,61-69,,
5:02.0,G. Green makes 3-pt shot from 23 ft (assist by D. Wade),3,64-69,,
5:02.0,,,64-69,,Golden State full timeout
4:48.0,,,64-71,2,A. Bogut makes 2-pt shot from 5 ft (assist by D. Green)
4:20.0,D. Wade misses 2-pt shot from 15 ft,,64-71,,
4:19.0,,,64-71,,Defensive rebound by D. Green
4:04.0,,,64-71,,K. Thompson misses 2-pt shot from 10 ft
4:03.0,Defensive rebound by C. Bosh,,64-71,,
3:56.0,,,64-71,,Personal foul by S. Curry (drawn by T. Johnson)
3:56.0,,,64-71,,H. Barnes enters the game for A. Bogut
3:56.0,G. Dragic enters the game for D. Wade,,64-71,,
3:44.0,Turnover by L. Deng (lost ball; steal by S. Curry),,64-71,,
3:43.0,Personal foul by G. Green (drawn by H. Barnes),,64-71,,
3:43.0,J. Winslow enters the game for C. Bosh,,64-71,,
3:43.0,U. Haslem enters the game for L. Deng,,64-71,,
3:33.0,,,64-73,2,A. Iguodala makes 2-pt shot from 2 ft
3:19.0,Turnover by T. Johnson (traveling),,64-73,,
3:11.0,,,64-73,,Shooting foul by U. Haslem (drawn by D. Green)
3:11.0,,,64-73,,D. Green misses free throw 1 of 2
3:11.0,,,64-73,,Offensive rebound by Team
3:11.0,,,64-73,,D. Green misses free throw 2 of 2
3:10.0,Defensive rebound by U. Haslem,,64-73,,
2:54.0,T. Johnson makes 2-pt shot from 1 ft (assist by U. Haslem),2,66-73,,
2:54.0,Shooting foul by A. Iguodala (drawn by T. Johnson),,66-73,,
2:54.0,T. Johnson makes free throw 1 of 1,1,67-73,,
2:43.0,,,67-73,,Turnover by S. Curry (dbl dribble)
2:28.0,G. Dragic misses 3-pt shot from 22 ft,,67-73,,
2:27.0,,,67-73,,Defensive rebound by A. Iguodala
2:23.0,,,67-73,,H. Barnes misses 3-pt shot from 25 ft
2:22.0,,,67-73,,Offensive rebound by K. Thompson
2:18.0,,,67-76,3,K. Thompson makes 3-pt shot from 26 ft
2:06.0,G. Green makes 2-pt shot from 12 ft (assist by G. Dragic),2,69-76,,
2:06.0,Shooting foul by D. Green (drawn by G. Green),,69-76,,
2:06.0,,,69-76,,S. Livingston enters the game for K. Thompson
2:06.0,G. Green makes free throw 1 of 1,1,70-76,,
1:53.0,,,70-76,,S. Curry misses 2-pt shot from 13 ft
1:51.0,,,70-76,,Offensive rebound by D. Green
1:51.0,,,70-76,,D. Green misses 2-pt shot from 1 ft
1:48.0,,,70-76,,Offensive rebound by D. Green
1:48.0,,,70-78,2,D. Green makes 2-pt shot from 2 ft
1:33.0,U. Haslem misses 2-pt shot from 2 ft,,70-78,,
1:32.0,,,70-78,,Defensive rebound by H. Barnes
1:27.0,,,70-80,2,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston)
1:07.0,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic),3,73-80,,
0:49.0,,,73-80,,S. Curry misses 3-pt shot from 22 ft
0:48.0,Defensive rebound by G. Green,,73-80,,
0:29.0,J. Winslow makes 2-pt shot from 18 ft,2,75-80,,
0:10.0,,,75-80,,D. Green misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by G. Dragic,,75-80,,
0:03.0,G. Dragic makes 2-pt shot from 1 ft (assist by T. Johnson),2,77-80,,
0:01.0,,,77-80,,S. Curry misses 3-pt shot from 51 ft
0:00.0,,,77-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Winslow misses 2-pt shot from 1 ft,,77-80,,
11:45.0,,,77-80,,Defensive rebound by H. Barnes
11:30.0,,,77-82,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
11:15.0,,,77-82,,Personal foul by I. Clark (drawn by J. Richardson)
11:10.0,G. Green misses 3-pt shot from 24 ft,,77-82,,
11:08.0,,,77-82,,Defensive rebound by H. Barnes
11:00.0,,,77-84,2,M. Speights makes 2-pt shot from 15 ft (assist by I. Clark)
10:42.0,Turnover by G. Dragic (lost ball),,77-84,,
10:42.0,C. Bosh enters the game for U. Haslem,,77-84,,
10:21.0,,,77-84,,M. Speights misses 2-pt shot from 12 ft
10:21.0,Defensive rebound by G. Dragic,,77-84,,
10:07.0,Shooting foul by H. Barnes (drawn by C. Bosh),,77-84,,
10:07.0,C. Bosh makes free throw 1 of 2,1,78-84,,
10:07.0,T. Johnson enters the game for J. Richardson,,78-84,,
10:07.0,C. Bosh makes free throw 2 of 2,1,79-84,,
9:54.0,,,79-84,,H. Barnes misses 2-pt shot from 13 ft
9:53.0,,,79-84,,Offensive rebound by M. Speights
9:52.0,,,79-86,2,M. Speights makes 2-pt shot from 3 ft
9:34.0,J. Winslow misses 2-pt shot from 17 ft,,79-86,,
9:33.0,,,79-86,,Defensive rebound by S. Livingston
9:10.0,,,79-88,2,H. Barnes makes 2-pt shot from 12 ft
9:09.0,Miami full timeout,,79-88,,
9:09.0,D. Wade enters the game for G. Dragic,,79-88,,
8:55.0,G. Green makes 2-pt shot at rim,2,81-88,,
8:37.0,,,81-90,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
8:19.0,,,81-90,,Personal foul by I. Clark (drawn by T. Johnson)
8:06.0,D. Wade misses 2-pt shot from 15 ft,,81-90,,
8:05.0,,,81-90,,Defensive rebound by S. Livingston
7:57.0,,,81-92,2,I. Clark makes 2-pt shot from 1 ft
7:46.0,Turnover by C. Bosh (lost ball; steal by H. Barnes),,81-92,,
7:42.0,,,81-92,,Turnover by H. Barnes (bad pass)
7:42.0,L. Deng enters the game for J. Winslow,,81-92,,
7:31.0,T. Johnson makes 2-pt shot from 16 ft,2,83-92,,
7:12.0,,,83-92,,S. Livingston misses 2-pt shot from 17 ft
7:12.0,Defensive rebound by T. Johnson,,83-92,,
7:11.0,,,83-92,,Personal foul by M. Speights (drawn by T. Johnson)
7:11.0,,,83-92,,K. Thompson enters the game for I. Clark
6:56.0,D. Wade makes 2-pt shot from 1 ft,2,85-92,,
6:40.0,,,85-95,3,A. Iguodala makes 3-pt shot from 23 ft (assist by K. Thompson)
6:24.0,D. Wade misses 2-pt shot from 7 ft,,85-95,,
6:23.0,,,85-95,,Defensive rebound by H. Barnes
6:18.0,,,85-95,,H. Barnes misses 2-pt shot from 1 ft (block by C. Bosh)
6:18.0,,,85-95,,Offensive rebound by Team
6:18.0,,,85-95,,D. Green enters the game for M. Speights
6:18.0,,,85-95,,S. Curry enters the game for A. Iguodala
6:10.0,,,85-95,,S. Curry misses 2-pt shot from 6 ft (block by D. Wade)
6:08.0,,,85-95,,Offensive rebound by S. Livingston
6:05.0,,,85-95,,H. Barnes misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by C. Bosh,,85-95,,
5:43.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,88-95,,
5:27.0,,,88-95,,Shooting foul by G. Green (drawn by K. Thompson)
5:27.0,Official timeout,,88-95,,
5:27.0,,,88-95,,A. Bogut enters the game for H. Barnes
5:27.0,,,88-96,1,K. Thompson makes free throw 1 of 3
5:27.0,,,88-97,1,K. Thompson makes free throw 2 of 3
5:27.0,,,88-98,1,K. Thompson makes free throw 3 of 3
5:16.0,Turnover by C. Bosh (bad pass; steal by D. Green),,88-98,,
5:10.0,,,88-98,,S. Curry misses 3-pt shot from 26 ft
5:09.0,,,88-98,,Offensive rebound by S. Livingston
4:52.0,,,88-101,3,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston)
4:36.0,G. Dragic enters the game for G. Green,,88-101,,
4:25.0,D. Wade makes 2-pt shot from 2 ft (assist by T. Johnson),2,90-101,,
4:10.0,,,90-101,,Offensive foul by S. Livingston
4:10.0,,,90-101,,Turnover by S. Livingston (offensive foul)
4:10.0,,,90-101,,A. Iguodala enters the game for S. Livingston
3:53.0,L. Deng misses 2-pt shot from 4 ft,,90-101,,
3:51.0,Offensive rebound by C. Bosh,,90-101,,
3:51.0,C. Bosh misses 2-pt shot from 2 ft,,90-101,,
3:49.0,Offensive rebound by L. Deng,,90-101,,
3:49.0,L. Deng makes 2-pt shot at rim,2,92-101,,
3:31.0,,,92-103,2,K. Thompson makes 2-pt shot from 8 ft
3:06.0,L. Deng makes 2-pt shot from 7 ft (assist by C. Bosh),2,94-103,,
2:44.0,,,94-103,,K. Thompson misses 2-pt shot from 10 ft
2:42.0,Defensive rebound by L. Deng,,94-103,,
2:35.0,L. Deng makes 3-pt shot from 25 ft (assist by D. Wade),3,97-103,,
2:34.0,,,97-103,,Golden State full timeout
