time,Memphis,pts.away,score,pts.home,LA Clippers
4:15.0,Personal foul by T. Williams (drawn by B. Griffin),,14-18,,
4:15.0,,,14-19,1,B. Griffin makes free throw 1 of 2
4:15.0,,,14-19,,B. Griffin misses free throw 2 of 2
4:13.0,Defensive rebound by V. Carter,,14-19,,
4:00.0,Z. Randolph makes 2-pt shot from 5 ft (assist by A. Harrison),2,16-19,,
3:50.0,,,16-19,,C. Paul misses 2-pt shot from 3 ft
3:45.0,Defensive rebound by V. Carter,,16-19,,
3:42.0,V. Carter makes 3-pt shot from 27 ft (assist by T. Williams),3,19-19,,
3:23.0,,,19-21,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
3:01.0,Turnover by Z. Randolph (lost ball),,19-21,,
3:01.0,D. Davis enters the game for M. Gasol,,19-21,,
2:51.0,Def 3 sec tech foul by D. Davis,,19-21,,
2:51.0,Memphis full timeout,,19-21,,
2:51.0,,,19-22,1,C. Paul makes technical free throw
2:44.0,,,19-24,2,B. Griffin makes 2-pt shot at rim
2:25.0,A. Harrison makes 3-pt shot from 24 ft,3,22-24,,
2:14.0,,,22-24,,M. Speights enters the game for D. Jordan
2:14.0,,,22-24,,R. Felton enters the game for C. Paul
2:14.0,M. Conley enters the game for T. Williams,,22-24,,
2:06.0,,,22-26,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford)
1:52.0,,,22-26,,Shooting block foul by M. Speights (drawn by Z. Randolph)
1:52.0,Z. Randolph makes free throw 1 of 2,1,23-26,,
1:52.0,Z. Randolph makes free throw 2 of 2,1,24-26,,
1:42.0,,,24-28,2,M. Speights makes 2-pt shot from 21 ft (assist by R. Felton)
1:30.0,,,24-28,,Def 3 sec tech foul by M. Speights
1:30.0,M. Conley misses technical free throw,,24-28,,
1:30.0,Offensive rebound by Team,,24-28,,
1:23.0,D. Davis misses 2-pt shot from 6 ft,,24-28,,
1:21.0,Offensive rebound by D. Davis,,24-28,,
1:18.0,D. Davis misses 2-pt shot from 4 ft,,24-28,,
1:15.0,,,24-28,,Defensive rebound by M. Speights
1:00.0,,,24-28,,J. Crawford misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by Z. Randolph,,24-28,,
0:48.0,Z. Randolph misses 2-pt shot from 4 ft,,24-28,,
0:43.0,,,24-28,,Defensive rebound by B. Griffin
0:38.0,,,24-28,,M. Speights misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by A. Harrison,,24-28,,
0:31.0,Z. Randolph makes 2-pt shot from 10 ft (assist by A. Harrison),2,26-28,,
0:06.0,,,26-28,,R. Felton misses 2-pt shot from 21 ft
0:03.0,Defensive rebound by Z. Randolph,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,V. Carter makes 2-pt shot from 2 ft (assist by Z. Randolph),2,28-28,,
11:12.0,,,28-30,2,B. Bass makes 2-pt shot from 2 ft
11:02.0,V. Carter makes 2-pt shot from 20 ft,2,30-30,,
10:45.0,,,30-30,,A. Rivers misses 2-pt shot at rim
10:42.0,Defensive rebound by M. Conley,,30-30,,
10:31.0,M. Conley makes 2-pt shot from 7 ft,2,32-30,,
10:04.0,,,32-30,,A. Rivers misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by D. Davis,,32-30,,
10:01.0,,,32-30,,Personal foul by M. Speights (drawn by Z. Randolph)
9:42.0,Z. Randolph makes 2-pt shot from 6 ft,2,34-30,,
9:32.0,,,34-30,,Turnover by J. Crawford (bad pass; steal by M. Conley)
9:12.0,M. Conley makes 3-pt shot from 24 ft (assist by V. Carter),3,37-30,,
8:45.0,,,37-30,,A. Rivers misses 2-pt shot from 4 ft
8:45.0,Defensive rebound by Team,,37-30,,
8:45.0,Official timeout,,37-30,,
8:45.0,J. Ennis enters the game for V. Carter,,37-30,,
8:31.0,C. Parsons misses 2-pt shot from 2 ft,,37-30,,
8:30.0,Offensive rebound by Z. Randolph,,37-30,,
8:30.0,Z. Randolph makes 2-pt shot from 1 ft,2,39-30,,
8:13.0,,,39-30,,J. Crawford misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by D. Davis,,39-30,,
8:06.0,M. Conley makes 3-pt shot from 25 ft,3,42-30,,
7:40.0,,,42-32,2,R. Felton makes 2-pt shot from 3 ft (assist by J. Crawford)
7:14.0,C. Parsons misses 2-pt shot from 2 ft (block by A. Rivers),,42-32,,
7:12.0,,,42-32,,Defensive rebound by R. Felton
7:00.0,,,42-32,,Shooting foul by D. Davis (drawn by B. Bass)
7:00.0,,,42-33,1,B. Bass makes free throw 1 of 2
7:00.0,,,42-34,1,B. Bass makes free throw 2 of 2
7:00.0,M. Gasol enters the game for Z. Randolph,,42-33,,
7:00.0,J. Green enters the game for D. Davis,,42-33,,
7:00.0,,,42-33,,C. Paul enters the game for A. Rivers
7:00.0,,,42-33,,D. Jordan enters the game for M. Speights
6:42.0,C. Parsons makes 2-pt shot from 17 ft (assist by M. Gasol),2,44-34,,
6:33.0,,,44-36,2,B. Bass makes 2-pt shot at rim (assist by J. Crawford)
6:20.0,Shooting foul by R. Felton (drawn by M. Conley),,44-36,,
6:20.0,M. Conley makes free throw 1 of 2,1,45-36,,
6:20.0,M. Conley makes free throw 2 of 2,1,46-36,,
6:20.0,,,45-36,,B. Griffin enters the game for J. Crawford
6:20.0,,,45-36,,J. Redick enters the game for R. Felton
6:20.0,,,45-36,,L. Mbah a Moute enters the game for B. Bass
6:04.0,,,46-36,,D. Jordan misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by J. Green,,46-36,,
5:52.0,M. Gasol misses 2-pt shot from 14 ft,,46-36,,
5:48.0,Offensive rebound by J. Green,,46-36,,
5:48.0,J. Green misses 2-pt shot at rim,,46-36,,
5:43.0,Offensive rebound by J. Ennis,,46-36,,
5:37.0,Turnover by J. Ennis (lost ball; steal by J. Redick),,46-36,,
5:31.0,,,46-36,,C. Paul misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by M. Conley,,46-36,,
5:23.0,Turnover by M. Conley (lost ball; steal by L. Mbah a Moute),,46-36,,
5:18.0,,,46-38,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
5:12.0,Memphis full timeout,,46-38,,
5:12.0,A. Harrison enters the game for M. Conley,,46-38,,
4:53.0,A. Harrison makes 2-pt shot from 2 ft,2,48-38,,
4:39.0,,,48-38,,J. Redick misses 3-pt shot from 24 ft
4:38.0,Defensive rebound by M. Gasol,,48-38,,
4:30.0,C. Parsons makes 2-pt shot from 12 ft,2,50-38,,
4:11.0,,,50-38,,Offensive foul by D. Jordan
4:11.0,,,50-38,,Turnover by D. Jordan (offensive foul)
4:11.0,V. Carter enters the game for C. Parsons,,50-38,,
4:01.0,Turnover by A. Harrison (bad pass; steal by C. Paul),,50-38,,
3:53.0,,,50-38,,J. Redick misses 2-pt shot from 2 ft
3:47.0,,,50-38,,Offensive rebound by D. Jordan
3:46.0,,,50-40,2,D. Jordan makes 2-pt shot from 1 ft
3:36.0,Turnover by V. Carter (bad pass; steal by L. Mbah a Moute),,50-40,,
3:34.0,,,50-40,,Shooting foul by V. Carter (drawn by L. Mbah a Moute)
3:34.0,,,50-40,,L. Mbah a Moute misses free throw 1 of 2
3:34.0,,,50-40,,Offensive rebound by Team
3:34.0,,,50-41,1,L. Mbah a Moute makes free throw 2 of 2
3:15.0,J. Ennis misses 3-pt shot from 25 ft,,50-41,,
3:14.0,,,50-41,,Defensive rebound by D. Jordan
2:53.0,,,50-41,,L. Mbah a Moute misses 2-pt shot from 4 ft
2:51.0,,,50-41,,Offensive rebound by Team
2:51.0,,,50-41,,LA Clippers full timeout
2:51.0,Z. Randolph enters the game for J. Green,,50-41,,
2:51.0,M. Conley enters the game for J. Ennis,,50-41,,
2:49.0,Personal foul by A. Harrison (drawn by J. Redick),,50-41,,
2:42.0,Shooting block foul by M. Gasol (drawn by B. Griffin),,50-41,,
2:42.0,,,50-42,1,B. Griffin makes free throw 1 of 2
2:42.0,,,50-43,1,B. Griffin makes free throw 2 of 2
2:25.0,M. Gasol misses 2-pt shot from 7 ft,,50-43,,
2:21.0,Offensive rebound by M. Gasol,,50-43,,
2:20.0,M. Gasol makes 2-pt shot from 3 ft,2,52-43,,
2:04.0,,,52-43,,J. Redick misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by Z. Randolph,,52-43,,
1:52.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley),2,54-43,,
1:37.0,,,54-43,,Turnover by C. Paul (lost ball; steal by V. Carter)
1:31.0,A. Harrison misses 3-pt shot from 27 ft,,54-43,,
1:26.0,,,54-43,,Defensive rebound by C. Paul
1:26.0,,,54-43,,LA Clippers full timeout
1:26.0,,,54-43,,J. Crawford enters the game for L. Mbah a Moute
1:15.0,,,54-43,,J. Redick misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by Z. Randolph,,54-43,,
0:51.0,Z. Randolph misses 2-pt shot from 17 ft,,54-43,,
0:51.0,Offensive rebound by Team,,54-43,,
0:51.0,,,54-43,,Loose ball foul by J. Crawford (drawn by V. Carter)
0:46.0,M. Conley makes 2-pt shot from 3 ft (assist by M. Gasol),2,56-43,,
0:32.0,,,56-45,2,C. Paul makes 2-pt shot from 18 ft
0:17.0,M. Gasol makes 3-pt shot from 27 ft (assist by M. Conley),3,59-45,,
0:02.0,,,59-45,,C. Paul misses 3-pt shot from 28 ft
0:02.0,Defensive rebound by Team,,59-45,,
0:02.0,,,59-45,,Loose ball foul by D. Jordan (drawn by M. Gasol)
0:02.0,M. Gasol makes free throw 1 of 2,1,60-45,,
0:02.0,M. Gasol makes free throw 2 of 2,1,61-45,,
0:02.0,,,60-45,,A. Rivers enters the game for D. Jordan
0:02.0,J. Ennis enters the game for Z. Randolph,,60-45,,
0:01.0,Shooting block foul by V. Carter (drawn by C. Paul),,61-45,,
0:01.0,,,61-45,,C. Paul misses free throw 1 of 3
0:01.0,,,61-45,,Offensive rebound by Team
0:01.0,,,61-45,,C. Paul misses free throw 2 of 3
0:01.0,,,61-45,,Offensive rebound by Team
0:01.0,,,61-46,1,C. Paul makes free throw 3 of 3
0:01.0,Z. Randolph enters the game for J. Ennis,,61-45,,
0:01.0,,,61-45,,D. Jordan enters the game for J. Crawford
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Gasol misses 2-pt shot from 10 ft,,61-46,,
11:41.0,,,61-46,,Defensive rebound by L. Mbah a Moute
11:17.0,,,61-46,,B. Griffin misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by J. Ennis,,61-46,,
11:10.0,,,61-46,,Personal foul by L. Mbah a Moute (drawn by M. Conley)
10:58.0,Turnover by J. Green (bad pass; steal by D. Jordan),,61-46,,
10:55.0,,,61-46,,Shooting foul by A. Harrison (drawn by B. Griffin)
10:55.0,,,61-47,1,B. Griffin makes free throw 1 of 2
10:55.0,,,61-48,1,B. Griffin makes free throw 2 of 2
10:45.0,,,61-48,,Personal foul by D. Jordan (drawn by M. Gasol)
10:39.0,M. Gasol misses 2-pt shot from 16 ft,,61-48,,
10:38.0,,,61-48,,Defensive rebound by L. Mbah a Moute
10:28.0,,,61-48,,C. Paul misses 2-pt shot from 16 ft
10:26.0,Defensive rebound by M. Conley,,61-48,,
10:13.0,M. Conley makes 3-pt shot from 26 ft,3,64-48,,
9:51.0,,,64-48,,J. Redick misses 2-pt shot from 14 ft
9:48.0,Defensive rebound by J. Green,,64-48,,
9:37.0,M. Gasol misses 2-pt shot from 4 ft,,64-48,,
9:35.0,Offensive rebound by J. Green,,64-48,,
9:31.0,Turnover by J. Green (lost ball),,64-48,,
9:31.0,Flagrant foul type 1 by A. Harrison (drawn by L. Mbah a Moute),,64-48,,
9:31.0,Technical foul by J. Green,,64-48,,
9:31.0,,,64-49,1,J. Redick makes technical free throw
9:31.0,,,64-50,1,L. Mbah a Moute makes flagrant free throw 1 of 2
9:31.0,,,64-51,1,L. Mbah a Moute makes flagrant free throw 2 of 2
9:23.0,,,64-53,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
8:55.0,J. Ennis makes 2-pt shot from 4 ft (assist by M. Gasol),2,66-53,,
8:39.0,,,66-56,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
8:21.0,J. Ennis misses 2-pt shot from 2 ft (block by B. Griffin),,66-56,,
8:20.0,,,66-56,,Defensive rebound by B. Griffin
8:08.0,,,66-56,,Shooting foul by J. Green (drawn by L. Mbah a Moute)
8:08.0,,,66-56,,L. Mbah a Moute misses free throw 1 of 2
8:08.0,,,66-56,,Offensive rebound by Team
8:08.0,,,66-57,1,L. Mbah a Moute makes free throw 2 of 2
8:05.0,Memphis full timeout,,66-57,,
7:51.0,Turnover by A. Harrison (lost ball; steal by C. Paul),,66-57,,
7:40.0,,,66-57,,C. Paul misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by J. Ennis,,66-57,,
7:35.0,Turnover by J. Ennis (lost ball; steal by L. Mbah a Moute),,66-57,,
7:29.0,,,66-60,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
7:10.0,M. Gasol makes 2-pt shot from 10 ft (assist by M. Conley),2,68-60,,
6:49.0,,,68-60,,B. Griffin misses 2-pt shot from 4 ft
6:46.0,Defensive rebound by M. Gasol,,68-60,,
6:26.0,Turnover by M. Gasol (bad pass; steal by C. Paul),,68-60,,
6:21.0,,,68-60,,C. Paul misses 2-pt shot from 3 ft (block by A. Harrison)
6:15.0,Defensive rebound by M. Conley,,68-60,,
6:14.0,Turnover by M. Conley (lost ball; steal by C. Paul),,68-60,,
6:09.0,,,68-60,,J. Redick misses 3-pt shot from 27 ft
6:09.0,Defensive rebound by J. Green,,68-60,,
6:08.0,Turnover by M. Conley (lost ball; steal by C. Paul),,68-60,,
6:08.0,Personal foul by M. Conley (drawn by C. Paul),,68-60,,
6:01.0,,,68-60,,B. Griffin misses 2-pt shot from 4 ft
6:00.0,Defensive rebound by M. Gasol,,68-60,,
5:50.0,M. Gasol makes 3-pt shot from 27 ft (assist by M. Conley),3,71-60,,
5:50.0,,,71-60,,LA Clippers full timeout
5:31.0,,,71-60,,B. Griffin misses 2-pt shot from 3 ft
5:27.0,Defensive rebound by J. Green,,71-60,,
5:11.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Gasol),3,74-60,,
4:53.0,,,74-60,,Turnover by L. Mbah a Moute (bad pass; steal by M. Conley)
4:37.0,J. Green makes 2-pt shot from 20 ft (assist by A. Harrison),2,76-60,,
4:22.0,,,76-63,3,J. Redick makes 3-pt shot from 25 ft
4:02.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,79-63,,
3:38.0,,,79-66,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
3:09.0,M. Conley misses 3-pt shot from 29 ft,,79-66,,
3:08.0,,,79-66,,Defensive rebound by D. Jordan
3:02.0,,,79-66,,L. Mbah a Moute misses 3-pt shot from 25 ft
2:59.0,,,79-66,,Offensive rebound by B. Griffin
2:57.0,,,79-68,2,B. Griffin makes 2-pt shot from 4 ft
2:42.0,,,79-68,,Personal foul by C. Paul (drawn by M. Gasol)
2:42.0,Z. Randolph enters the game for M. Gasol,,79-68,,
2:42.0,V. Carter enters the game for M. Conley,,79-68,,
2:42.0,,,79-68,,A. Rivers enters the game for C. Paul
2:42.0,,,79-68,,J. Crawford enters the game for L. Mbah a Moute
2:34.0,Shooting foul by J. Redick (drawn by J. Ennis),,79-68,,
2:34.0,J. Ennis makes free throw 1 of 2,1,80-68,,
2:34.0,J. Ennis makes free throw 2 of 2,1,81-68,,
2:23.0,,,81-68,,J. Redick misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by A. Harrison,,81-68,,
2:06.0,J. Green misses 3-pt shot from 25 ft,,81-68,,
2:04.0,,,81-68,,Defensive rebound by D. Jordan
1:59.0,Personal foul by J. Ennis (drawn by J. Crawford),,81-68,,
1:59.0,,,81-69,1,J. Crawford makes free throw 1 of 2
1:59.0,,,81-70,1,J. Crawford makes free throw 2 of 2
1:59.0,,,81-69,,R. Felton enters the game for J. Redick
1:59.0,,,81-69,,M. Speights enters the game for D. Jordan
1:40.0,Z. Randolph misses 2-pt shot from 4 ft,,81-70,,
1:38.0,,,81-70,,Defensive rebound by R. Felton
1:27.0,,,81-70,,M. Speights misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by J. Green,,81-70,,
1:13.0,V. Carter misses 2-pt shot from 14 ft,,81-70,,
1:10.0,,,81-70,,Defensive rebound by B. Griffin
1:10.0,,,81-70,,Shooting foul by V. Carter (drawn by B. Griffin)
1:10.0,,,81-71,1,B. Griffin makes free throw 1 of 2
1:10.0,,,81-72,1,B. Griffin makes free throw 2 of 2
0:47.0,J. Ennis misses 2-pt shot from 19 ft (block by R. Felton),,81-72,,
0:46.0,Offensive rebound by Team,,81-72,,
0:46.0,Turnover by Team (shot clock),,81-72,,
0:39.0,,,81-74,2,J. Crawford makes 2-pt shot from 3 ft
0:35.0,,,81-74,,Personal block foul by J. Crawford (drawn by J. Ennis)
0:35.0,J. Ennis makes free throw 1 of 2,1,82-74,,
0:35.0,J. Ennis makes free throw 2 of 2,1,83-74,,
0:26.0,,,83-76,2,J. Crawford makes 2-pt shot from 11 ft
0:04.0,A. Harrison misses 2-pt shot from 2 ft,,83-76,,
0:04.0,,,83-76,,Defensive rebound by Team
0:04.0,,,83-76,,C. Paul enters the game for M. Speights
0:04.0,J. Martin enters the game for Z. Randolph,,83-76,,
0:01.0,,,83-76,,B. Griffin misses 3-pt shot from 27 ft
0:00.0,,,83-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,83-76,,J. Crawford misses 3-pt shot from 27 ft
11:43.0,,,83-76,,Offensive rebound by M. Speights
11:42.0,,,83-76,,M. Speights misses 2-pt shot from 2 ft
11:40.0,,,83-76,,Offensive rebound by R. Felton
11:39.0,,,83-78,2,R. Felton makes 2-pt shot at rim
11:13.0,M. Conley misses 3-pt shot from 27 ft,,83-78,,
11:12.0,,,83-78,,Defensive rebound by A. Rivers
11:04.0,,,83-80,2,A. Rivers makes 2-pt shot from 4 ft
10:47.0,Turnover by M. Conley (bad pass; steal by A. Rivers),,83-80,,
10:34.0,,,83-80,,R. Felton misses 2-pt shot from 5 ft
10:34.0,Defensive rebound by V. Carter,,83-80,,
10:34.0,,,83-80,,Personal foul by M. Speights (drawn by V. Carter)
10:17.0,M. Gasol misses 2-pt shot from 17 ft,,83-80,,
10:16.0,Offensive rebound by Z. Randolph,,83-80,,
10:16.0,Z. Randolph misses 2-pt shot from 1 ft,,83-80,,
10:12.0,,,83-80,,Defensive rebound by R. Felton
10:06.0,,,83-82,2,J. Crawford makes 2-pt shot from 18 ft
10:05.0,Memphis full timeout,,83-82,,
9:50.0,V. Carter misses 2-pt shot from 9 ft,,83-82,,
9:47.0,Offensive rebound by M. Gasol,,83-82,,
9:47.0,M. Gasol makes 2-pt shot from 1 ft,2,85-82,,
9:28.0,,,85-84,2,M. Speights makes 2-pt shot from 13 ft (assist by B. Bass)
9:28.0,,,85-84,,Shooting foul by M. Gasol (drawn by M. Speights)
9:28.0,,,85-85,1,M. Speights makes free throw 1 of 1
9:13.0,M. Conley makes 3-pt shot from 27 ft (assist by V. Carter),3,88-85,,
9:03.0,,,88-85,,Turnover by B. Bass (bad pass; steal by T. Williams)
8:53.0,T. Williams makes 2-pt shot from 3 ft (assist by M. Conley),2,90-85,,
8:36.0,,,90-87,2,J. Crawford makes 2-pt shot from 20 ft
8:12.0,Shooting foul by B. Bass (drawn by Z. Randolph),,90-87,,
8:12.0,Z. Randolph makes free throw 1 of 2,1,91-87,,
8:12.0,Z. Randolph makes free throw 2 of 2,1,92-87,,
8:12.0,,,91-87,,D. Jordan enters the game for B. Bass
8:12.0,A. Harrison enters the game for M. Conley,,91-87,,
8:03.0,Personal foul by A. Harrison (drawn by D. Jordan),,92-87,,
7:52.0,,,92-87,,R. Felton misses 2-pt shot from 21 ft
7:49.0,Defensive rebound by A. Harrison,,92-87,,
7:37.0,Z. Randolph makes 2-pt shot from 2 ft,2,94-87,,
7:37.0,,,94-87,,LA Clippers full timeout
7:37.0,,,94-87,,C. Paul enters the game for M. Speights
7:37.0,,,94-87,,B. Griffin enters the game for R. Felton
7:13.0,,,94-90,3,J. Crawford makes 3-pt shot from 26 ft
6:53.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol),3,97-90,,
6:34.0,,,97-90,,J. Crawford misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by Z. Randolph,,97-90,,
6:22.0,,,97-90,,Personal foul by B. Griffin (drawn by Z. Randolph)
6:22.0,,,97-90,,J. Redick enters the game for A. Rivers
6:22.0,J. Ennis enters the game for T. Williams,,97-90,,
6:22.0,M. Conley enters the game for V. Carter,,97-90,,
6:07.0,M. Conley misses 2-pt shot from 2 ft (block by D. Jordan),,97-90,,
6:07.0,Offensive rebound by Team,,97-90,,
6:07.0,Turnover by Team (shot clock),,97-90,,
5:51.0,,,97-92,2,B. Griffin makes 2-pt shot from 2 ft
5:27.0,M. Gasol misses 2-pt shot from 19 ft,,97-92,,
5:24.0,,,97-92,,Defensive rebound by J. Redick
5:16.0,,,97-95,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan)
5:16.0,Memphis full timeout,,97-95,,
5:16.0,J. Green enters the game for Z. Randolph,,97-95,,
5:16.0,V. Carter enters the game for A. Harrison,,97-95,,
5:00.0,V. Carter makes 2-pt shot from 3 ft (assist by M. Gasol),2,99-95,,
4:40.0,,,99-98,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
4:19.0,V. Carter misses 2-pt shot from 2 ft,,99-98,,
4:16.0,,,99-98,,Defensive rebound by B. Griffin
4:00.0,,,99-98,,J. Crawford misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by J. Green,,99-98,,
3:44.0,Turnover by J. Green (bad pass; steal by B. Griffin),,99-98,,
3:40.0,Personal block foul by J. Green (drawn by B. Griffin),,99-98,,
3:40.0,,,99-98,,Technical foul by J. Crawford
