time,Utah,pts.away,score,pts.home,Denver
10:11.0,,,43-54,1,D. Gallinari makes free throw 1 of 2
10:11.0,,,43-55,1,D. Gallinari makes free throw 2 of 2
9:46.0,G. Hill misses 2-pt shot from 22 ft,,43-55,,
9:45.0,,,43-55,,Defensive rebound by G. Harris
9:43.0,Personal foul by R. Gobert (drawn by N. Jokic),,43-55,,
9:29.0,,,43-55,,Shooting foul by R. Gobert (drawn by D. Gallinari)
9:29.0,,,43-56,1,D. Gallinari makes free throw 1 of 2
9:29.0,,,43-57,1,D. Gallinari makes free throw 2 of 2
9:29.0,T. Lyles enters the game for R. Gobert,,43-56,,
9:08.0,Shooting foul by G. Harris (drawn by G. Hill),,43-57,,
9:08.0,G. Hill makes free throw 1 of 2,1,44-57,,
9:08.0,G. Hill makes free throw 2 of 2,1,45-57,,
8:50.0,,,45-59,2,N. Jokic makes 2-pt shot from 10 ft (assist by G. Harris)
8:37.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hill),2,47-59,,
8:26.0,,,47-61,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
8:07.0,T. Lyles misses 3-pt shot from 26 ft,,47-61,,
8:06.0,,,47-61,,Defensive rebound by N. Jokic
8:00.0,,,47-63,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
7:38.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hill),2,49-63,,
7:23.0,,,49-65,2,N. Jokic makes 2-pt shot from 6 ft
7:06.0,Shooting foul by N. Jokic (drawn by D. Favors),,49-65,,
7:06.0,D. Favors makes free throw 1 of 2,1,50-65,,
7:06.0,D. Favors makes free throw 2 of 2,1,51-65,,
7:06.0,S. Mack enters the game for G. Hill,,50-65,,
7:06.0,A. Burks enters the game for J. Ingles,,50-65,,
6:48.0,,,51-65,,N. Jokic misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by A. Burks,,51-65,,
6:34.0,A. Burks makes 2-pt shot from 21 ft,2,53-65,,
6:19.0,,,53-67,2,D. Gallinari makes 2-pt shot from 20 ft (assist by N. Jokic)
6:05.0,D. Favors makes 2-pt shot from 4 ft (assist by S. Mack),2,55-67,,
5:48.0,,,55-70,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson)
5:29.0,D. Favors makes 2-pt shot from 15 ft,2,57-70,,
5:16.0,,,57-73,3,J. Nelson makes 3-pt shot from 23 ft (assist by D. Gallinari)
5:07.0,Utah full timeout,,57-73,,
5:07.0,J. Johnson enters the game for G. Hayward,,57-73,,
4:54.0,D. Favors makes 2-pt shot from 6 ft (assist by J. Johnson),2,59-73,,
4:35.0,,,59-73,,D. Gallinari misses 2-pt shot from 16 ft
4:34.0,Defensive rebound by A. Burks,,59-73,,
4:22.0,,,59-73,,Shooting block foul by J. Nelson (drawn by A. Burks)
4:22.0,A. Burks makes free throw 1 of 2,1,60-73,,
4:22.0,A. Burks misses free throw 2 of 2,,60-73,,
4:22.0,,,60-73,,D. Arthur enters the game for K. Faried
4:20.0,,,60-73,,Defensive rebound by N. Jokic
4:05.0,,,60-73,,G. Harris misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by J. Johnson,,60-73,,
3:53.0,S. Mack misses 2-pt shot from 2 ft,,60-73,,
3:53.0,,,60-73,,Defensive rebound by D. Arthur
3:40.0,,,60-73,,J. Nelson misses 2-pt shot from 1 ft
3:39.0,,,60-73,,Offensive rebound by D. Arthur
3:39.0,,,60-73,,D. Arthur misses 2-pt shot at rim
3:37.0,,,60-73,,Offensive rebound by D. Arthur
3:34.0,,,60-73,,D. Arthur misses 2-pt shot from 6 ft
3:34.0,Defensive rebound by S. Mack,,60-73,,
3:25.0,D. Favors makes 2-pt shot from 16 ft (assist by T. Lyles),2,62-73,,
3:25.0,,,62-73,,Denver full timeout
3:25.0,B. Diaw enters the game for D. Favors,,62-73,,
3:25.0,,,62-73,,W. Barton enters the game for D. Gallinari
3:25.0,,,62-73,,W. Chandler enters the game for G. Harris
