time,Utah,pts.away,score,pts.home,Atlanta
6:19.0,Shooting foul by P. Millsap (drawn by G. Hill),,16-6,,
6:19.0,G. Hill makes free throw 1 of 1,1,17-6,,
6:04.0,,,17-8,2,D. Schroder makes 2-pt shot from 1 ft
5:44.0,T. Lyles misses 2-pt shot from 8 ft,,17-8,,
5:43.0,Offensive rebound by G. Hayward,,17-8,,
5:39.0,G. Hayward makes 2-pt shot from 10 ft,2,19-8,,
5:29.0,,,19-8,,D. Schroder misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by T. Lyles,,19-8,,
5:16.0,,,19-8,,Personal foul by D. Schroder (drawn by G. Hill)
5:16.0,,,19-8,,M. Muscala enters the game for D. Howard
5:16.0,,,19-8,,D. Bembry enters the game for K. Bazemore
5:16.0,A. Burks enters the game for J. Ingles,,19-8,,
5:16.0,D. Exum enters the game for G. Hill,,19-8,,
5:10.0,G. Hayward makes 2-pt shot from 2 ft,2,21-8,,
5:10.0,Shooting foul by M. Muscala (drawn by G. Hayward),,21-8,,
5:10.0,G. Hayward misses free throw 1 of 1,,21-8,,
5:09.0,,,21-8,,Defensive rebound by M. Muscala
4:57.0,,,21-10,2,D. Schroder makes 2-pt shot from 2 ft
4:43.0,G. Hayward makes 2-pt shot from 1 ft,2,23-10,,
4:30.0,,,23-12,2,D. Bembry makes 2-pt shot from 2 ft (assist by D. Schroder)
4:09.0,A. Burks misses 3-pt shot from 26 ft,,23-12,,
4:08.0,,,23-12,,Defensive rebound by P. Millsap
4:01.0,Personal block foul by D. Exum (drawn by D. Schroder),,23-12,,
4:01.0,,,23-13,1,D. Schroder makes free throw 1 of 2
4:01.0,,,23-14,1,D. Schroder makes free throw 2 of 2
4:01.0,,,23-13,,M. Dunleavy enters the game for T. Hardaway
3:51.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,25-14,,
3:32.0,,,25-14,,Turnover by D. Schroder (bad pass)
3:32.0,,,25-14,,M. Delaney enters the game for D. Schroder
3:22.0,,,25-14,,Shooting block foul by M. Dunleavy (drawn by G. Hayward)
3:22.0,G. Hayward makes free throw 1 of 2,1,26-14,,
3:22.0,G. Hayward makes free throw 2 of 2,1,27-14,,
3:01.0,,,27-14,,M. Muscala misses 2-pt shot from 3 ft (block by R. Gobert)
3:01.0,,,27-14,,Offensive rebound by Team
3:01.0,J. Johnson enters the game for G. Hayward,,27-14,,
2:58.0,,,27-14,,D. Bembry misses 2-pt shot from 2 ft (block by R. Gobert)
2:56.0,,,27-14,,Offensive rebound by P. Millsap
2:55.0,,,27-16,2,P. Millsap makes 2-pt shot at rim
2:55.0,Utah full timeout,,27-16,,
2:55.0,D. Favors enters the game for R. Gobert,,27-16,,
2:34.0,J. Johnson misses 2-pt shot from 16 ft,,27-16,,
2:32.0,,,27-16,,Defensive rebound by P. Millsap
2:18.0,,,27-16,,Shooting foul by T. Lyles (drawn by P. Millsap)
2:18.0,,,27-17,1,P. Millsap makes free throw 1 of 2
2:18.0,,,27-17,,P. Millsap misses free throw 2 of 2
2:18.0,G. Hill enters the game for D. Exum,,27-17,,
2:17.0,Defensive rebound by T. Lyles,,27-17,,
1:53.0,G. Hill misses 2-pt shot from 16 ft,,27-17,,
1:52.0,,,27-17,,Defensive rebound by P. Millsap
1:33.0,,,27-17,,P. Millsap misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by A. Burks,,27-17,,
1:18.0,A. Burks makes 2-pt shot from 16 ft,2,29-17,,
1:03.0,,,29-19,2,M. Muscala makes 2-pt shot from 20 ft (assist by M. Dunleavy)
0:46.0,Offensive charge foul by T. Lyles,,29-19,,
0:46.0,Turnover by T. Lyles (offensive foul),,29-19,,
0:32.0,,,29-21,2,M. Delaney makes 2-pt shot from 22 ft
0:08.0,A. Burks misses 3-pt shot from 23 ft,,29-21,,
0:06.0,,,29-21,,Defensive rebound by M. Delaney
0:00.0,,,29-21,,M. Delaney misses 3-pt shot from 26 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,G. Hill misses 3-pt shot from 24 ft,,29-21,,
11:34.0,,,29-21,,Defensive rebound by M. Dunleavy
11:14.0,,,29-21,,M. Muscala misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by J. Ingles,,29-21,,
11:03.0,D. Favors makes 2-pt shot from 18 ft (assist by J. Ingles),2,31-21,,
10:48.0,,,31-21,,M. Delaney misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by B. Diaw,,31-21,,
10:38.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill),3,34-21,,
10:15.0,,,34-21,,D. Bembry misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by D. Favors,,34-21,,
9:57.0,B. Diaw misses 3-pt shot from 24 ft,,34-21,,
9:56.0,Offensive rebound by D. Favors,,34-21,,
9:40.0,J. Johnson misses 2-pt shot from 13 ft,,34-21,,
9:38.0,,,34-21,,Defensive rebound by M. Dunleavy
9:29.0,,,34-21,,D. Bembry misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by J. Johnson,,34-21,,
9:16.0,J. Johnson misses 3-pt shot from 24 ft,,34-21,,
9:15.0,,,34-21,,Defensive rebound by D. Howard
8:56.0,,,34-21,,Offensive foul by M. Delaney
8:56.0,,,34-21,,Turnover by M. Delaney (offensive foul)
8:56.0,Official timeout,,34-21,,
8:56.0,,,34-21,,K. Bazemore enters the game for D. Bembry
8:56.0,,,34-21,,D. Schroder enters the game for M. Muscala
8:33.0,D. Favors makes 2-pt shot at rim (assist by B. Diaw),2,36-21,,
8:11.0,,,36-23,2,D. Schroder makes 2-pt shot from 7 ft
7:53.0,J. Johnson misses 2-pt shot from 11 ft,,36-23,,
7:51.0,Offensive rebound by J. Ingles,,36-23,,
7:48.0,D. Favors misses 2-pt shot from 1 ft (block by D. Howard),,36-23,,
7:47.0,Offensive rebound by D. Favors,,36-23,,
7:47.0,,,36-23,,Personal foul by M. Delaney (drawn by D. Favors)
7:47.0,G. Hayward enters the game for J. Johnson,,36-23,,
7:41.0,B. Diaw makes 2-pt shot from 1 ft,2,38-23,,
7:23.0,,,38-23,,Turnover by D. Schroder (bad pass; steal by D. Favors)
7:18.0,,,38-23,,Personal foul by D. Schroder (drawn by G. Hill)
7:18.0,,,38-23,,T. Hardaway enters the game for M. Dunleavy
7:18.0,,,38-23,,P. Millsap enters the game for M. Delaney
7:18.0,D. Exum enters the game for D. Favors,,38-23,,
7:18.0,R. Gobert enters the game for G. Hill,,38-23,,
7:00.0,B. Diaw misses 2-pt shot from 12 ft,,38-23,,
6:59.0,,,38-23,,Defensive rebound by P. Millsap
6:47.0,,,38-23,,K. Bazemore misses 2-pt shot from 20 ft
6:46.0,Defensive rebound by J. Ingles,,38-23,,
6:39.0,D. Exum misses 2-pt shot from 2 ft,,38-23,,
6:38.0,,,38-23,,Defensive rebound by D. Howard
6:29.0,,,38-23,,Turnover by T. Hardaway (bad pass; steal by R. Gobert)
6:23.0,D. Exum makes 2-pt shot from 1 ft (assist by G. Hayward),2,40-23,,
6:23.0,,,40-23,,Atlanta full timeout
6:23.0,A. Burks enters the game for J. Ingles,,40-23,,
6:12.0,Personal foul by B. Diaw (drawn by P. Millsap),,40-23,,
6:10.0,,,40-23,,T. Hardaway misses 2-pt shot from 1 ft
6:08.0,,,40-23,,Offensive rebound by D. Howard
6:08.0,,,40-25,2,D. Howard makes 2-pt shot at rim
5:53.0,G. Hayward misses 3-pt shot from 23 ft,,40-25,,
5:51.0,,,40-25,,Defensive rebound by T. Hardaway
5:45.0,,,40-25,,Shooting foul by B. Diaw (drawn by P. Millsap)
5:45.0,,,40-26,1,P. Millsap makes free throw 1 of 2
5:45.0,,,40-27,1,P. Millsap makes free throw 2 of 2
5:30.0,Turnover by B. Diaw (bad pass; steal by K. Bazemore),,40-27,,
5:26.0,,,40-27,,Shooting foul by D. Exum (drawn by T. Hardaway)
5:26.0,,,40-27,,T. Hardaway misses free throw 1 of 2
5:26.0,,,40-27,,Offensive rebound by Team
5:26.0,,,40-28,1,T. Hardaway makes free throw 2 of 2
5:11.0,Shooting foul by P. Millsap (drawn by R. Gobert),,40-28,,
5:11.0,R. Gobert misses free throw 1 of 2,,40-28,,
5:11.0,Offensive rebound by Team,,40-28,,
5:11.0,R. Gobert misses free throw 2 of 2,,40-28,,
5:10.0,,,40-28,,Defensive rebound by D. Howard
4:59.0,,,40-30,2,D. Schroder makes 2-pt shot from 6 ft
4:53.0,Shooting foul by D. Howard (drawn by D. Exum),,40-30,,
4:53.0,D. Exum misses free throw 1 of 2,,40-30,,
4:53.0,Offensive rebound by Team,,40-30,,
4:53.0,D. Exum makes free throw 2 of 2,1,41-30,,
4:40.0,,,41-32,2,P. Millsap makes 2-pt shot from 14 ft (assist by K. Bazemore)
4:25.0,A. Burks makes 3-pt shot from 25 ft (assist by R. Gobert),3,44-32,,
4:14.0,,,44-34,2,D. Schroder makes 2-pt shot from 2 ft
4:09.0,Turnover by D. Exum (bad pass),,44-34,,
4:09.0,G. Hill enters the game for D. Exum,,44-34,,
3:52.0,,,44-37,3,P. Millsap makes 3-pt shot from 24 ft (assist by T. Hardaway)
3:50.0,Utah full timeout,,44-37,,
3:50.0,,,44-37,,M. Dunleavy enters the game for D. Schroder
3:50.0,J. Johnson enters the game for B. Diaw,,44-37,,
3:49.0,,,44-37,,Personal take foul by M. Dunleavy (drawn by R. Gobert)
3:49.0,R. Gobert makes free throw 1 of 2,1,45-37,,
3:49.0,R. Gobert makes free throw 2 of 2,1,46-37,,
3:49.0,,,45-37,,D. Schroder enters the game for M. Dunleavy
3:38.0,,,46-39,2,T. Hardaway makes 2-pt shot from 13 ft (assist by D. Schroder)
3:17.0,G. Hayward makes 2-pt shot from 20 ft,2,48-39,,
2:57.0,,,48-39,,P. Millsap misses 2-pt shot from 6 ft
2:55.0,Defensive rebound by G. Hayward,,48-39,,
2:42.0,G. Hill misses 3-pt shot from 25 ft,,48-39,,
2:41.0,,,48-39,,Defensive rebound by D. Schroder
2:35.0,,,48-41,2,D. Schroder makes 2-pt shot from 23 ft
2:08.0,J. Johnson misses 2-pt shot from 17 ft,,48-41,,
2:07.0,,,48-41,,Defensive rebound by T. Hardaway
1:54.0,,,48-41,,Shooting foul by G. Hayward (drawn by D. Howard)
1:54.0,,,48-42,1,D. Howard makes free throw 1 of 2
1:54.0,,,48-42,,D. Howard misses free throw 2 of 2
1:54.0,J. Ingles enters the game for A. Burks,,48-42,,
1:52.0,Defensive rebound by G. Hayward,,48-42,,
1:31.0,Shooting foul by P. Millsap (drawn by R. Gobert),,48-42,,
1:31.0,R. Gobert misses free throw 1 of 2,,48-42,,
1:31.0,Offensive rebound by Team,,48-42,,
1:31.0,R. Gobert makes free throw 2 of 2,1,49-42,,
1:31.0,,,48-42,,M. Muscala enters the game for D. Howard
1:15.0,,,49-44,2,T. Hardaway makes 2-pt shot from 1 ft
0:59.0,G. Hill makes 3-pt shot from 23 ft (assist by J. Johnson),3,52-44,,
0:51.0,Def 3 sec tech foul by R. Gobert,,52-44,,
0:51.0,,,52-45,1,D. Schroder makes technical free throw
0:49.0,Personal foul by G. Hayward (drawn by K. Bazemore),,52-45,,
0:49.0,,,52-46,1,K. Bazemore makes free throw 1 of 2
0:49.0,,,52-47,1,K. Bazemore makes free throw 2 of 2
0:49.0,,,52-46,,M. Delaney enters the game for D. Schroder
0:49.0,,,52-46,,D. Bembry enters the game for P. Millsap
0:40.0,Turnover by J. Johnson (lost ball; steal by K. Bazemore),,52-47,,
0:34.0,,,52-50,3,K. Bazemore makes 3-pt shot from 26 ft
0:34.0,Utah full timeout,,52-50,,
0:26.0,G. Hayward makes 2-pt shot from 2 ft (assist by G. Hill),2,54-50,,
0:20.0,,,54-50,,Atlanta full timeout
0:20.0,D. Exum enters the game for G. Hayward,,54-50,,
0:20.0,,,54-50,,P. Millsap enters the game for D. Bembry
0:20.0,,,54-50,,D. Schroder enters the game for M. Delaney
0:07.0,,,54-50,,D. Schroder misses 2-pt shot from 3 ft
0:06.0,Defensive rebound by D. Exum,,54-50,,
0:02.0,G. Hayward enters the game for D. Exum,,54-50,,
0:02.0,,,54-50,,M. Delaney enters the game for P. Millsap
0:02.0,,,54-50,,D. Bembry enters the game for D. Schroder
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by G. Hill (bad pass; steal by K. Bazemore),,54-50,,
11:33.0,,,54-50,,K. Bazemore misses 2-pt shot from 6 ft (block by R. Gobert)
11:33.0,,,54-50,,Offensive rebound by Team
11:33.0,Loose ball foul by J. Ingles (drawn by D. Howard),,54-50,,
11:25.0,,,54-50,,P. Millsap misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by R. Gobert,,54-50,,
11:02.0,Turnover by J. Ingles (bad pass; steal by T. Hardaway),,54-50,,
10:48.0,,,54-50,,D. Schroder misses 2-pt shot from 2 ft (block by D. Favors)
10:46.0,Defensive rebound by D. Favors,,54-50,,
10:42.0,,,54-50,,Personal foul by T. Hardaway (drawn by G. Hill)
10:37.0,G. Hayward misses 3-pt shot from 25 ft,,54-50,,
10:36.0,,,54-50,,Defensive rebound by D. Howard
10:21.0,,,54-50,,Turnover by P. Millsap (bad pass; steal by D. Favors)
10:19.0,Turnover by D. Favors (lost ball),,54-50,,
10:11.0,,,54-50,,P. Millsap misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by G. Hayward,,54-50,,
10:02.0,G. Hayward misses 2-pt shot from 12 ft,,54-50,,
10:01.0,,,54-50,,Defensive rebound by D. Howard
9:50.0,,,54-50,,T. Hardaway misses 2-pt shot from 20 ft
9:49.0,Defensive rebound by G. Hayward,,54-50,,
9:34.0,G. Hayward makes 2-pt shot from 16 ft,2,56-50,,
9:14.0,,,56-50,,Turnover by T. Hardaway (bad pass; steal by J. Ingles)
9:12.0,Offensive foul by G. Hayward,,56-50,,
9:12.0,Turnover by G. Hayward (offensive foul),,56-50,,
9:02.0,,,56-50,,T. Hardaway misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by D. Favors,,56-50,,
8:50.0,G. Hill misses 2-pt shot from 2 ft (block by D. Howard),,56-50,,
8:49.0,Offensive rebound by G. Hill,,56-50,,
8:39.0,Shooting foul by P. Millsap (drawn by G. Hill),,56-50,,
8:39.0,Utah full timeout,,56-50,,
8:39.0,G. Hill misses free throw 1 of 2,,56-50,,
8:39.0,Offensive rebound by Team,,56-50,,
8:39.0,G. Hill makes free throw 2 of 2,1,57-50,,
8:30.0,,,57-50,,Shooting foul by G. Hill (drawn by D. Schroder)
8:30.0,,,57-51,1,D. Schroder makes free throw 1 of 2
8:30.0,,,57-52,1,D. Schroder makes free throw 2 of 2
8:13.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,59-52,,
7:57.0,,,59-54,2,D. Schroder makes 2-pt shot from 2 ft
7:36.0,Turnover by R. Gobert (lost ball; steal by P. Millsap),,59-54,,
7:28.0,,,59-56,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:04.0,G. Hill makes 2-pt shot from 2 ft,2,61-56,,
6:48.0,,,61-56,,Turnover by K. Bazemore (lost ball; steal by G. Hayward)
6:42.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,63-56,,
6:27.0,,,63-56,,K. Bazemore misses 2-pt shot from 1 ft
6:26.0,,,63-56,,Offensive rebound by D. Howard
6:25.0,,,63-58,2,D. Howard makes 2-pt shot at rim
6:00.0,G. Hayward misses 2-pt shot from 18 ft,,63-58,,
5:58.0,,,63-58,,Defensive rebound by T. Hardaway
5:55.0,,,63-58,,Shooting foul by J. Ingles (drawn by T. Hardaway)
5:55.0,,,63-59,1,T. Hardaway makes free throw 1 of 2
5:55.0,,,63-60,1,T. Hardaway makes free throw 2 of 2
5:55.0,,,63-59,,M. Muscala enters the game for P. Millsap
5:55.0,,,63-59,,D. Bembry enters the game for K. Bazemore
5:55.0,A. Burks enters the game for D. Favors,,63-59,,
5:55.0,B. Diaw enters the game for J. Ingles,,63-59,,
5:42.0,G. Hayward makes 2-pt shot at rim (assist by B. Diaw),2,65-60,,
5:25.0,,,65-62,2,D. Schroder makes 2-pt shot from 15 ft (assist by T. Hardaway)
5:08.0,G. Hill makes 2-pt shot from 12 ft,2,67-62,,
4:56.0,,,67-62,,D. Schroder misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by R. Gobert,,67-62,,
4:46.0,Shooting foul by M. Muscala (drawn by R. Gobert),,67-62,,
4:46.0,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hill),2,69-62,,
4:46.0,R. Gobert makes free throw 1 of 1,1,70-62,,
4:34.0,Personal foul by R. Gobert (drawn by D. Howard),,70-62,,
4:22.0,,,70-62,,D. Bembry misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by G. Hill,,70-62,,
4:15.0,G. Hill makes 2-pt shot from 17 ft,2,72-62,,
4:15.0,Shooting foul by D. Bembry (drawn by G. Hill),,72-62,,
4:15.0,G. Hill makes free throw 1 of 1,1,73-62,,
4:01.0,,,73-62,,Turnover by M. Muscala (lost ball; steal by G. Hill)
3:57.0,G. Hill makes 2-pt shot from 1 ft,2,75-62,,
3:57.0,,,75-62,,Atlanta full timeout
3:57.0,,,75-62,,P. Millsap enters the game for D. Howard
3:57.0,D. Exum enters the game for G. Hill,,75-62,,
3:38.0,,,75-65,3,T. Hardaway makes 3-pt shot from 24 ft (assist by P. Millsap)
3:16.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,78-65,,
3:04.0,,,78-65,,Turnover by D. Schroder (bad pass; steal by G. Hayward)
2:59.0,A. Burks makes 2-pt shot from 1 ft,2,80-65,,
2:50.0,,,80-67,2,D. Bembry makes 2-pt shot from 2 ft (assist by T. Hardaway)
2:23.0,,,80-67,,Violation by P. Millsap (def goaltending)
2:23.0,D. Exum makes 2-pt shot at rim,2,82-67,,
2:17.0,Personal foul by D. Exum (drawn by T. Hardaway),,82-67,,
2:17.0,,,82-68,1,T. Hardaway makes free throw 1 of 2
2:17.0,,,82-69,1,T. Hardaway makes free throw 2 of 2
2:17.0,,,82-68,,M. Delaney enters the game for D. Schroder
2:17.0,D. Favors enters the game for R. Gobert,,82-68,,
2:17.0,J. Johnson enters the game for G. Hayward,,82-68,,
1:55.0,D. Favors makes 2-pt shot from 15 ft,2,84-69,,
1:41.0,,,84-71,2,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Muscala)
1:25.0,D. Favors makes 2-pt shot from 10 ft,2,86-71,,
1:00.0,,,86-71,,P. Millsap misses 2-pt shot from 1 ft (block by D. Favors)
0:59.0,Defensive rebound by D. Exum,,86-71,,
0:46.0,J. Johnson makes 3-pt shot from 25 ft (assist by A. Burks),3,89-71,,
0:31.0,,,89-71,,T. Hardaway misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by D. Favors,,89-71,,
0:05.0,D. Favors makes 2-pt shot from 17 ft (assist by A. Burks),2,91-71,,
0:01.0,,,91-73,2,M. Delaney makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,91-75,2,M. Delaney makes 2-pt shot from 2 ft
11:28.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Johnson),2,93-75,,
11:09.0,,,93-75,,K. Bazemore misses 2-pt shot from 3 ft
11:08.0,Defensive rebound by J. Ingles,,93-75,,
10:51.0,J. Ingles makes 3-pt shot from 24 ft (assist by B. Diaw),3,96-75,,
10:36.0,,,96-78,3,M. Delaney makes 3-pt shot from 25 ft (assist by P. Millsap)
10:16.0,D. Exum misses 3-pt shot from 23 ft,,96-78,,
10:14.0,,,96-78,,Defensive rebound by M. Scott
9:56.0,,,96-78,,Shooting foul by J. Ingles (drawn by M. Delaney)
9:56.0,,,96-79,1,M. Delaney makes free throw 1 of 2
9:56.0,,,96-79,,M. Delaney misses free throw 2 of 2
9:56.0,G. Hill enters the game for D. Exum,,96-79,,
9:54.0,,,96-79,,Offensive rebound by P. Millsap
9:49.0,,,96-79,,M. Dunleavy misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by J. Johnson,,96-79,,
9:34.0,B. Diaw makes 2-pt shot from 2 ft (assist by J. Johnson),2,98-79,,
9:18.0,,,98-82,3,M. Delaney makes 3-pt shot from 25 ft (assist by M. Scott)
8:58.0,,,98-82,,Personal foul by M. Dunleavy (drawn by J. Ingles)
8:58.0,Official timeout,,98-82,,
8:58.0,R. Gobert enters the game for B. Diaw,,98-82,,
8:44.0,J. Johnson misses 2-pt shot from 15 ft,,98-82,,
8:43.0,,,98-82,,Defensive rebound by M. Scott
8:29.0,,,98-84,2,P. Millsap makes 2-pt shot from 3 ft (assist by M. Dunleavy)
8:06.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Johnson),2,100-84,,
7:53.0,,,100-84,,Shooting foul by R. Gobert (drawn by P. Millsap)
7:53.0,,,100-84,,P. Millsap misses free throw 1 of 2
7:53.0,,,100-84,,Offensive rebound by Team
7:53.0,,,100-85,1,P. Millsap makes free throw 2 of 2
7:53.0,G. Hayward enters the game for J. Ingles,,100-84,,
7:42.0,D. Favors makes 2-pt shot from 17 ft (assist by G. Hill),2,102-85,,
7:28.0,,,102-85,,P. Millsap misses 2-pt shot from 6 ft
7:27.0,,,102-85,,Offensive rebound by P. Millsap
7:25.0,,,102-85,,P. Millsap misses 2-pt shot at rim
7:24.0,Defensive rebound by D. Favors,,102-85,,
7:13.0,D. Favors misses 3-pt shot from 24 ft,,102-85,,
7:12.0,,,102-85,,Defensive rebound by M. Delaney
7:07.0,,,102-85,,K. Bazemore misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by G. Hill,,102-85,,
6:44.0,G. Hill misses 3-pt shot from 24 ft,,102-85,,
6:43.0,,,102-85,,Defensive rebound by P. Millsap
6:37.0,Personal foul by J. Johnson (drawn by K. Bazemore),,102-85,,
6:37.0,,,102-85,,D. Schroder enters the game for M. Dunleavy
6:37.0,B. Diaw enters the game for D. Favors,,102-85,,
6:32.0,,,102-85,,Shooting foul by J. Johnson (drawn by K. Bazemore)
6:32.0,,,102-86,1,K. Bazemore makes free throw 1 of 2
6:32.0,,,102-86,,K. Bazemore misses free throw 2 of 2
6:32.0,A. Burks enters the game for J. Johnson,,102-86,,
6:31.0,Defensive rebound by R. Gobert,,102-86,,
6:14.0,G. Hill misses 3-pt shot from 23 ft,,102-86,,
6:12.0,Offensive rebound by R. Gobert,,102-86,,
5:58.0,G. Hayward makes 2-pt shot at rim (assist by G. Hill),2,104-86,,
5:31.0,,,104-86,,D. Schroder misses 3-pt shot from 25 ft
5:28.0,,,104-86,,Offensive rebound by M. Scott
5:23.0,,,104-86,,K. Bazemore misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by G. Hill,,104-86,,
5:05.0,Shooting foul by M. Delaney (drawn by G. Hayward),,104-86,,
5:05.0,,,104-86,,Atlanta full timeout
5:05.0,G. Hayward makes free throw 1 of 2,1,105-86,,
5:05.0,G. Hayward makes free throw 2 of 2,1,106-86,,
5:05.0,,,104-86,,M. Dunleavy enters the game for P. Millsap
5:05.0,,,104-86,,M. Muscala enters the game for K. Bazemore
5:05.0,,,104-86,,T. Hardaway enters the game for M. Delaney
4:49.0,,,106-89,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by M. Muscala)
4:35.0,Turnover by G. Hayward (bad pass; steal by M. Muscala),,106-89,,
4:16.0,,,106-89,,D. Schroder misses 2-pt shot from 2 ft (block by A. Burks)
4:16.0,Defensive rebound by Team,,106-89,,
3:58.0,G. Hill makes 3-pt shot from 24 ft (assist by B. Diaw),3,109-89,,
3:38.0,,,109-89,,Turnover by D. Schroder (bad pass)
3:38.0,,,109-89,,T. Waller-Prince enters the game for T. Hardaway
3:38.0,,,109-89,,L. Patterson enters the game for D. Schroder
3:38.0,,,109-89,,D. Bembry enters the game for M. Dunleavy
3:38.0,J. Johnson enters the game for G. Hayward,,109-89,,
3:38.0,T. Lyles enters the game for B. Diaw,,109-89,,
3:27.0,T. Lyles misses 2-pt shot from 1 ft (block by M. Muscala),,109-89,,
3:27.0,Offensive rebound by Team,,109-89,,
3:27.0,Utah full timeout,,109-89,,
