time,Washington,pts.away,score,pts.home,Oklahoma City
10:38.0,,,22-34,,J. Grant enters the game for J. Lauvergne
10:35.0,Personal foul by J. Smith (drawn by E. Kanter),,22-34,,
10:21.0,,,22-34,,S. Christon misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by M. Morris,,22-34,,
10:10.0,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky),2,24-34,,
9:44.0,,,24-36,2,E. Kanter makes 2-pt shot from 10 ft
9:29.0,M. Thornton makes 2-pt shot from 12 ft,2,26-36,,
9:11.0,,,26-39,3,V. Oladipo makes 3-pt shot from 25 ft (assist by A. Morrow)
8:51.0,M. Thornton misses 2-pt shot from 4 ft,,26-39,,
8:50.0,,,26-39,,Defensive rebound by E. Kanter
8:44.0,,,26-39,,A. Morrow misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by Team,,26-39,,
8:44.0,,,26-39,,Loose ball foul by E. Kanter (drawn by J. Smith)
8:44.0,Official timeout,,26-39,,
8:44.0,,,26-39,,R. Westbrook enters the game for S. Christon
8:44.0,J. Wall enters the game for T. Satoransky,,26-39,,
8:44.0,B. Beal enters the game for K. Oubre,,26-39,,
8:32.0,M. Morris misses 3-pt shot from 25 ft,,26-39,,
8:32.0,,,26-39,,Defensive rebound by R. Westbrook
8:26.0,,,26-41,2,E. Kanter makes 2-pt shot from 6 ft (assist by R. Westbrook)
8:12.0,J. Smith makes 2-pt shot from 12 ft (assist by J. Wall),2,28-41,,
7:59.0,,,28-43,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
7:59.0,,,28-43,,Shooting foul by M. Morris (drawn by E. Kanter)
7:59.0,,,28-44,1,E. Kanter makes free throw 1 of 1
7:59.0,,,28-43,,A. Roberson enters the game for A. Morrow
7:59.0,M. Gortat enters the game for J. Smith,,28-43,,
7:41.0,M. Morris makes 2-pt shot from 1 ft,2,30-44,,
7:21.0,,,30-44,,E. Kanter misses 2-pt shot from 15 ft
7:20.0,,,30-44,,Offensive rebound by J. Grant
7:18.0,,,30-44,,V. Oladipo misses 3-pt shot from 24 ft
7:17.0,,,30-44,,Offensive rebound by Team
7:17.0,Loose ball foul by M. Gortat (drawn by E. Kanter),,30-44,,
7:09.0,,,30-44,,R. Westbrook misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by B. Beal,,30-44,,
7:00.0,B. Beal misses 2-pt shot from 1 ft,,30-44,,
6:59.0,Offensive rebound by J. Wall,,30-44,,
6:59.0,J. Wall makes 2-pt shot from 1 ft,2,32-44,,
6:37.0,,,32-46,2,E. Kanter makes 2-pt shot from 2 ft
6:34.0,Washington full timeout,,32-46,,
6:34.0,,,32-46,,S. Adams enters the game for E. Kanter
6:34.0,O. Porter enters the game for M. Thornton,,32-46,,
6:20.0,,,32-46,,Personal foul by J. Grant (drawn by M. Morris)
6:16.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,35-46,,
6:09.0,,,35-46,,Oklahoma City full timeout
6:09.0,,,35-46,,A. Morrow enters the game for A. Roberson
6:03.0,,,35-46,,A. Morrow misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by M. Morris,,35-46,,
5:54.0,Shooting foul by J. Grant (drawn by M. Gortat),,35-46,,
5:54.0,M. Gortat misses free throw 1 of 2,,35-46,,
5:54.0,Offensive rebound by Team,,35-46,,
5:54.0,M. Gortat misses free throw 2 of 2,,35-46,,
5:54.0,,,35-46,,Defensive rebound by R. Westbrook
5:42.0,,,35-46,,Turnover by V. Oladipo (traveling)
5:27.0,J. Wall makes 2-pt shot from 20 ft,2,37-46,,
5:06.0,,,37-49,3,J. Grant makes 3-pt shot from 22 ft (assist by A. Morrow)
4:52.0,M. Gortat makes 2-pt shot from 5 ft (assist by M. Morris),2,39-49,,
4:41.0,,,39-49,,R. Westbrook misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by M. Gortat,,39-49,,
4:30.0,J. Wall misses 3-pt shot from 22 ft,,39-49,,
4:30.0,,,39-49,,Defensive rebound by S. Adams
4:24.0,,,39-51,2,R. Westbrook makes 2-pt shot from 12 ft
4:12.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,41-51,,
3:58.0,,,41-51,,Shooting foul by M. Morris (drawn by S. Adams)
3:58.0,,,41-51,,S. Adams misses free throw 1 of 2
3:58.0,,,41-51,,Offensive rebound by Team
3:58.0,,,41-52,1,S. Adams makes free throw 2 of 2
3:58.0,,,41-51,,A. Roberson enters the game for A. Morrow
3:58.0,,,41-51,,D. Sabonis enters the game for J. Grant
3:58.0,K. Oubre enters the game for M. Morris,,41-51,,
3:45.0,,,41-52,,Personal foul by R. Westbrook (drawn by B. Beal)
3:38.0,,,41-52,,J. Grant enters the game for D. Sabonis
3:35.0,B. Beal makes 2-pt shot from 14 ft (assist by J. Wall),2,43-52,,
3:24.0,,,43-52,,Shooting foul by O. Porter (drawn by S. Adams)
3:24.0,,,43-53,1,S. Adams makes free throw 1 of 2
3:24.0,,,43-54,1,S. Adams makes free throw 2 of 2
3:11.0,Turnover by B. Beal (bad pass; steal by V. Oladipo),,43-54,,
3:06.0,,,43-56,2,R. Westbrook makes 2-pt shot from 1 ft (assist by V. Oladipo)
3:06.0,,,43-56,,Shooting foul by K. Oubre (drawn by R. Westbrook)
3:06.0,,,43-57,1,R. Westbrook makes free throw 1 of 1
2:57.0,Turnover by J. Wall (bad pass; steal by J. Grant),,43-57,,
2:54.0,,,43-57,,Shooting foul by B. Beal (drawn by J. Grant)
2:54.0,,,43-58,1,J. Grant makes free throw 1 of 2
2:54.0,,,43-58,,J. Grant misses free throw 2 of 2
2:53.0,Defensive rebound by O. Porter,,43-58,,
2:42.0,Turnover by O. Porter (bad pass; steal by R. Westbrook),,43-58,,
2:34.0,,,43-58,,R. Westbrook misses 3-pt shot from 22 ft
2:34.0,Defensive rebound by O. Porter,,43-58,,
2:31.0,Washington full timeout,,43-58,,
2:19.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,45-58,,
2:19.0,,,45-58,,Violation by A. Roberson (def goaltending)
1:59.0,,,45-58,,J. Grant misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by K. Oubre,,45-58,,
1:51.0,O. Porter makes 2-pt shot from 2 ft (assist by K. Oubre),2,47-58,,
1:32.0,,,47-58,,J. Grant misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. Wall,,47-58,,
1:25.0,Shooting foul by A. Roberson (drawn by K. Oubre),,47-58,,
1:25.0,K. Oubre makes free throw 1 of 2,1,48-58,,
1:25.0,K. Oubre makes free throw 2 of 2,1,49-58,,
1:13.0,,,49-58,,Turnover by R. Westbrook (bad pass; steal by O. Porter)
1:12.0,Turnover by K. Oubre (bad pass),,49-58,,
1:10.0,,,49-58,,Turnover by A. Roberson (bad pass; steal by K. Oubre)
1:06.0,K. Oubre makes 2-pt shot from 2 ft,2,51-58,,
0:52.0,,,51-58,,R. Westbrook misses 2-pt shot from 15 ft
0:51.0,Defensive rebound by K. Oubre,,51-58,,
0:43.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,53-58,,
0:43.0,,,53-58,,Oklahoma City full timeout
0:34.0,,,53-58,,Turnover by R. Westbrook (bad pass; steal by B. Beal)
0:30.0,J. Wall misses 2-pt shot from 2 ft (block by A. Roberson),,53-58,,
0:28.0,Offensive rebound by B. Beal,,53-58,,
0:10.0,Turnover by Team (shot clock),,53-58,,
0:09.0,T. Satoransky enters the game for O. Porter,,53-58,,
0:09.0,,,53-58,,A. Morrow enters the game for A. Roberson
0:02.0,,,53-60,2,R. Westbrook makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-60,,S. Adams misses 2-pt shot from 5 ft
11:43.0,Defensive rebound by M. Gortat,,53-60,,
11:21.0,M. Morris makes 2-pt shot from 7 ft,2,55-60,,
11:09.0,,,55-60,,V. Oladipo misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by M. Gortat,,55-60,,
10:58.0,,,55-60,,Personal foul by A. Roberson (drawn by B. Beal)
10:43.0,J. Wall misses 3-pt shot from 27 ft,,55-60,,
10:42.0,,,55-60,,Defensive rebound by A. Roberson
10:23.0,Violation by O. Porter (kicked ball),,55-60,,
10:14.0,,,55-62,2,R. Westbrook makes 2-pt shot from 12 ft (assist by V. Oladipo)
10:06.0,B. Beal misses 2-pt shot from 1 ft,,55-62,,
10:06.0,,,55-62,,Defensive rebound by S. Adams
9:57.0,,,55-62,,R. Westbrook misses 2-pt shot from 11 ft
9:56.0,,,55-62,,Offensive rebound by S. Adams
9:55.0,,,55-64,2,S. Adams makes 2-pt shot from 2 ft
9:37.0,O. Porter makes 2-pt shot from 5 ft (assist by J. Wall),2,57-64,,
9:19.0,,,57-64,,R. Westbrook misses 2-pt shot from 2 ft
9:18.0,,,57-64,,Offensive rebound by S. Adams
9:06.0,,,57-64,,A. Roberson misses 2-pt shot from 16 ft
9:06.0,,,57-64,,Offensive rebound by Team
9:06.0,,,57-64,,Turnover by Team (shot clock)
8:47.0,Shooting foul by D. Sabonis (drawn by M. Morris),,57-64,,
8:47.0,M. Morris makes free throw 1 of 2,1,58-64,,
8:47.0,M. Morris makes free throw 2 of 2,1,59-64,,
8:34.0,,,59-67,3,A. Roberson makes 3-pt shot from 23 ft (assist by V. Oladipo)
8:22.0,Turnover by B. Beal (bad pass; steal by D. Sabonis),,59-67,,
8:02.0,,,59-69,2,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:41.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,62-69,,
7:15.0,,,62-72,3,V. Oladipo makes 3-pt shot from 26 ft
6:58.0,M. Gortat misses 2-pt shot at rim (block by D. Sabonis),,62-72,,
6:57.0,,,62-72,,Defensive rebound by R. Westbrook
6:50.0,,,62-74,2,S. Adams makes 2-pt shot at rim (assist by V. Oladipo)
6:50.0,Washington full timeout,,62-74,,
6:35.0,M. Morris misses 2-pt shot from 16 ft,,62-74,,
6:34.0,,,62-74,,Defensive rebound by R. Westbrook
6:14.0,,,62-74,,A. Roberson misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by O. Porter,,62-74,,
6:03.0,B. Beal misses 2-pt shot from 7 ft,,62-74,,
6:02.0,Offensive rebound by M. Morris,,62-74,,
5:54.0,,,62-74,,Personal foul by A. Roberson (drawn by B. Beal)
5:54.0,K. Oubre enters the game for M. Morris,,62-74,,
5:48.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,64-74,,
5:48.0,Shooting foul by A. Roberson (drawn by B. Beal),,64-74,,
5:48.0,B. Beal makes free throw 1 of 1,1,65-74,,
5:37.0,Personal foul by O. Porter (drawn by D. Sabonis),,65-74,,
5:37.0,,,65-74,,A. Morrow enters the game for A. Roberson
5:37.0,,,65-74,,J. Grant enters the game for V. Oladipo
5:29.0,,,65-76,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:14.0,M. Gortat makes 2-pt shot from 11 ft,2,67-76,,
5:00.0,,,67-76,,A. Morrow misses 3-pt shot from 23 ft
5:00.0,Defensive rebound by O. Porter,,67-76,,
4:50.0,O. Porter misses 2-pt shot from 17 ft,,67-76,,
4:49.0,,,67-76,,Defensive rebound by Team
4:34.0,,,67-76,,R. Westbrook misses 2-pt shot from 13 ft
4:33.0,Defensive rebound by K. Oubre,,67-76,,
4:21.0,K. Oubre makes 2-pt shot from 2 ft (assist by O. Porter),2,69-76,,
4:16.0,Shooting block foul by J. Wall (drawn by R. Westbrook),,69-76,,
4:16.0,,,69-77,1,R. Westbrook makes free throw 1 of 2
4:16.0,,,69-78,1,R. Westbrook makes free throw 2 of 2
4:16.0,,,69-77,,E. Kanter enters the game for D. Sabonis
4:04.0,J. Wall makes 2-pt shot at rim,2,71-78,,
3:42.0,,,71-78,,Shooting foul by M. Gortat (drawn by J. Grant)
3:42.0,Technical foul by M. Morris,,71-78,,
3:42.0,,,71-79,1,R. Westbrook makes technical free throw
3:42.0,,,71-79,,J. Grant misses free throw 1 of 2
3:42.0,,,71-79,,Offensive rebound by Team
3:42.0,,,71-79,,J. Grant misses free throw 2 of 2
3:41.0,Defensive rebound by M. Gortat,,71-79,,
3:21.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,74-79,,
3:08.0,,,74-79,,R. Westbrook misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by B. Beal,,74-79,,
2:57.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,76-79,,
2:57.0,,,76-79,,Oklahoma City full timeout
2:57.0,,,76-79,,V. Oladipo enters the game for S. Adams
2:45.0,,,76-79,,A. Morrow misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by J. Wall,,76-79,,
2:40.0,O. Porter makes 2-pt shot at rim (assist by B. Beal),2,78-79,,
2:23.0,,,78-79,,E. Kanter misses 2-pt shot from 2 ft (block by M. Gortat)
2:22.0,Defensive rebound by K. Oubre,,78-79,,
2:20.0,Shooting foul by A. Morrow (drawn by J. Wall),,78-79,,
2:20.0,J. Wall misses free throw 1 of 2,,78-79,,
2:20.0,Offensive rebound by Team,,78-79,,
2:20.0,J. Wall makes free throw 2 of 2,1,79-79,,
2:20.0,M. Thornton enters the game for B. Beal,,78-79,,
2:20.0,,,78-79,,S. Christon enters the game for R. Westbrook
1:59.0,,,79-79,,E. Kanter misses 2-pt shot from 14 ft
1:58.0,,,79-79,,Offensive rebound by S. Christon
1:54.0,,,79-82,3,A. Morrow makes 3-pt shot from 25 ft (assist by S. Christon)
1:36.0,M. Thornton misses 3-pt shot from 25 ft,,79-82,,
1:35.0,,,79-82,,Defensive rebound by Team
1:35.0,T. Satoransky enters the game for J. Wall,,79-82,,
1:20.0,,,79-82,,A. Morrow misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by K. Oubre,,79-82,,
0:59.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky),3,82-82,,
0:38.0,,,82-84,2,E. Kanter makes 2-pt shot at rim (assist by S. Christon)
0:24.0,,,82-84,,Personal foul by A. Morrow (drawn by M. Thornton)
0:24.0,M. Thornton makes free throw 1 of 2,1,83-84,,
0:24.0,M. Thornton makes free throw 2 of 2,1,84-84,,
0:06.0,Personal block foul by T. Satoransky (drawn by S. Christon),,84-84,,
0:06.0,J. Smith enters the game for M. Gortat,,84-84,,
0:03.0,,,84-84,,Turnover by J. Grant (lost ball; steal by O. Porter)
0:00.0,M. Thornton misses 3-pt shot from 40 ft,,84-84,,
0:00.0,Offensive rebound by Team,,84-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,K. Oubre misses 2-pt shot from 12 ft,,84-84,,
11:36.0,,,84-84,,Defensive rebound by V. Oladipo
11:12.0,,,84-84,,V. Oladipo misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by M. Thornton,,84-84,,
10:59.0,T. Satoransky misses 2-pt shot from 3 ft,,84-84,,
10:59.0,,,84-84,,Defensive rebound by J. Lauvergne
10:54.0,,,84-84,,Turnover by J. Lauvergne (lost ball; steal by O. Porter)
10:47.0,J. Smith misses 2-pt shot from 18 ft,,84-84,,
10:47.0,Offensive rebound by M. Thornton,,84-84,,
10:45.0,M. Thornton makes 2-pt shot from 2 ft,2,86-84,,
10:29.0,,,86-84,,E. Kanter misses 2-pt shot from 3 ft
10:29.0,Defensive rebound by O. Porter,,86-84,,
10:21.0,,,86-84,,Personal foul by S. Christon (drawn by J. Smith)
10:21.0,,,86-84,,D. Sabonis enters the game for E. Kanter
10:11.0,T. Satoransky misses 3-pt shot from 22 ft,,86-84,,
10:11.0,,,86-84,,Defensive rebound by D. Sabonis
9:55.0,Personal foul by M. Thornton (drawn by A. Morrow),,86-84,,
9:55.0,M. Morris enters the game for O. Porter,,86-84,,
9:46.0,,,86-84,,J. Lauvergne misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by T. Satoransky,,86-84,,
9:33.0,M. Morris misses 3-pt shot from 25 ft,,86-84,,
9:33.0,,,86-84,,Defensive rebound by V. Oladipo
9:29.0,,,86-86,2,D. Sabonis makes 2-pt shot from 2 ft (assist by V. Oladipo)
9:08.0,M. Morris misses 2-pt shot from 11 ft,,86-86,,
9:08.0,Offensive rebound by Team,,86-86,,
9:08.0,,,86-86,,Loose ball foul by D. Sabonis (drawn by K. Oubre)
9:08.0,,,86-86,,R. Westbrook enters the game for S. Christon
9:08.0,J. Wall enters the game for T. Satoransky,,86-86,,
9:08.0,B. Beal enters the game for J. Smith,,86-86,,
8:47.0,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall),3,89-86,,
8:41.0,Personal foul by K. Oubre (drawn by D. Sabonis),,89-86,,
8:41.0,Official timeout,,89-86,,
8:41.0,,,89-86,,A. Roberson enters the game for J. Lauvergne
8:29.0,,,89-88,2,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:10.0,B. Beal misses 2-pt shot from 9 ft (block by A. Roberson),,89-88,,
8:09.0,,,89-88,,Defensive rebound by D. Sabonis
8:02.0,,,89-88,,R. Westbrook misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by J. Wall,,89-88,,
7:50.0,Shooting foul by A. Morrow (drawn by B. Beal),,89-88,,
7:50.0,B. Beal makes free throw 1 of 2,1,90-88,,
7:50.0,B. Beal makes free throw 2 of 2,1,91-88,,
7:32.0,,,91-90,2,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:17.0,J. Wall misses 2-pt shot from 1 ft,,91-90,,
7:17.0,,,91-90,,Defensive rebound by R. Westbrook
7:10.0,,,91-90,,V. Oladipo misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by M. Thornton,,91-90,,
7:00.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,93-90,,
6:41.0,,,93-90,,Turnover by V. Oladipo (lost ball)
6:20.0,J. Wall misses 2-pt shot from 15 ft,,93-90,,
6:19.0,,,93-90,,Defensive rebound by Team
6:19.0,,,93-90,,J. Grant enters the game for V. Oladipo
6:09.0,,,93-90,,R. Westbrook misses 2-pt shot from 1 ft (block by J. Wall)
6:09.0,,,93-90,,Offensive rebound by Team
6:09.0,,,93-90,,Technical foul by R. Westbrook
6:09.0,,,93-90,,Violation by Team (jump ball)
6:09.0,B. Beal makes technical free throw,1,94-90,,
6:08.0,,,94-90,,Turnover by R. Westbrook (bad pass)
5:53.0,M. Morris misses 2-pt shot from 1 ft,,94-90,,
5:53.0,,,94-90,,Defensive rebound by A. Morrow
5:41.0,,,94-90,,A. Morrow misses 3-pt shot from 23 ft
5:40.0,,,94-90,,Offensive rebound by Team
5:40.0,,,94-90,,Oklahoma City full timeout
5:40.0,,,94-90,,S. Adams enters the game for D. Sabonis
5:40.0,,,94-90,,V. Oladipo enters the game for A. Morrow
5:40.0,O. Porter enters the game for M. Thornton,,94-90,,
5:35.0,,,94-90,,R. Westbrook misses 2-pt shot from 17 ft
