time,Sacramento,pts.away,score,pts.home,Miami
7:02.0,R. Gay makes 2-pt shot from 3 ft,2,12-11,,
6:46.0,,,12-13,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
6:43.0,,,12-13,,Personal foul by L. Babbitt (drawn by R. Gay)
6:43.0,G. Temple enters the game for T. Lawson,,12-13,,
6:28.0,R. Gay makes 2-pt shot from 1 ft,2,14-13,,
6:10.0,,,14-16,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
6:02.0,Sacramento full timeout,,14-16,,
5:55.0,Shooting foul by H. Whiteside (drawn by D. Cousins),,14-16,,
5:55.0,D. Cousins misses free throw 1 of 2,,14-16,,
5:55.0,Offensive rebound by Team,,14-16,,
5:55.0,D. Cousins makes free throw 2 of 2,1,15-16,,
5:43.0,,,15-16,,L. Babbitt misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by R. Gay,,15-16,,
5:28.0,D. Cousins makes 2-pt shot from 20 ft (assist by M. Barnes),2,17-16,,
5:13.0,,,17-16,,G. Dragic misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by D. Cousins,,17-16,,
5:02.0,D. Cousins misses 2-pt shot from 12 ft,,17-16,,
5:01.0,,,17-16,,Defensive rebound by G. Dragic
4:57.0,,,17-18,2,D. Waiters makes 2-pt shot from 1 ft (assist by G. Dragic)
4:37.0,D. Cousins makes 2-pt shot from 5 ft,2,19-18,,
4:22.0,,,19-21,3,G. Dragic makes 3-pt shot from 26 ft (assist by D. Waiters)
3:59.0,D. Cousins makes 2-pt shot from 12 ft,2,21-21,,
3:54.0,,,21-21,,Miami full timeout
3:54.0,Technical foul by D. Cousins,,21-21,,
3:54.0,,,21-21,,G. Dragic misses technical free throw
3:54.0,,,21-21,,Offensive rebound by Team
3:54.0,B. McLemore enters the game for R. Gay,,21-21,,
3:54.0,A. Tolliver enters the game for A. Afflalo,,21-21,,
3:54.0,,,21-21,,T. Johnson enters the game for L. Babbitt
3:41.0,,,21-23,2,H. Whiteside makes 2-pt shot from 2 ft
3:26.0,D. Cousins misses 2-pt shot from 3 ft (block by G. Dragic),,21-23,,
3:25.0,,,21-23,,Defensive rebound by H. Whiteside
3:17.0,,,21-25,2,T. Johnson makes 2-pt shot from 20 ft (assist by D. Waiters)
3:04.0,M. Barnes misses 2-pt shot from 9 ft,,21-25,,
3:03.0,,,21-25,,Defensive rebound by Team
3:03.0,,,21-25,,J. Johnson enters the game for J. Winslow
3:03.0,K. Koufos enters the game for D. Cousins,,21-25,,
2:41.0,,,21-25,,H. Whiteside misses 2-pt shot from 12 ft
2:40.0,Defensive rebound by M. Barnes,,21-25,,
2:32.0,Turnover by A. Tolliver (bad pass; steal by H. Whiteside),,21-25,,
2:24.0,Personal foul by M. Barnes (drawn by G. Dragic),,21-25,,
2:24.0,T. Lawson enters the game for M. Barnes,,21-25,,
2:24.0,,,21-25,,W. Reed enters the game for H. Whiteside
2:14.0,,,21-27,2,G. Dragic makes 2-pt shot from 17 ft
2:02.0,Turnover by K. Koufos (bad pass; steal by T. Johnson),,21-27,,
1:56.0,,,21-27,,G. Dragic misses 2-pt shot from 3 ft
1:55.0,Defensive rebound by G. Temple,,21-27,,
1:36.0,G. Temple misses 3-pt shot from 23 ft,,21-27,,
1:35.0,,,21-27,,Defensive rebound by W. Reed
1:25.0,,,21-27,,D. Waiters misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by K. Koufos,,21-27,,
1:14.0,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Lawson),3,24-27,,
0:58.0,,,24-27,,R. McGruder enters the game for G. Dragic
0:51.0,,,24-27,,J. Johnson misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by G. Temple,,24-27,,
0:42.0,T. Lawson misses 2-pt shot from 2 ft (block by T. Johnson),,24-27,,
0:41.0,,,24-27,,Defensive rebound by J. Johnson
0:38.0,,,24-27,,Shooting foul by G. Temple (drawn by D. Waiters)
0:38.0,,,24-27,,D. Waiters misses free throw 1 of 2
0:38.0,,,24-27,,Offensive rebound by Team
0:38.0,,,24-28,1,D. Waiters makes free throw 2 of 2
0:38.0,R. Gay enters the game for G. Temple,,24-27,,
0:31.0,R. Gay misses 2-pt shot from 21 ft,,24-28,,
0:30.0,Offensive rebound by A. Tolliver,,24-28,,
0:29.0,A. Tolliver makes 2-pt shot at rim,2,26-28,,
0:09.0,,,26-28,,D. Waiters misses 2-pt shot from 2 ft (block by K. Koufos)
0:08.0,Defensive rebound by T. Lawson,,26-28,,
0:01.0,R. Gay misses 2-pt shot from 8 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,R. Gay makes 2-pt shot from 10 ft,2,28-28,,
11:19.0,,,28-30,2,W. Reed makes 2-pt shot at rim (assist by T. Johnson)
10:54.0,K. Koufos makes 2-pt shot from 9 ft,2,30-30,,
10:42.0,,,30-30,,Shooting foul by A. Tolliver (drawn by J. Johnson)
10:42.0,,,30-31,1,J. Johnson makes free throw 1 of 2
10:42.0,,,30-32,1,J. Johnson makes free throw 2 of 2
10:27.0,B. McLemore misses 2-pt shot from 19 ft,,30-32,,
10:26.0,Offensive rebound by K. Koufos,,30-32,,
10:18.0,T. Lawson misses 3-pt shot from 25 ft,,30-32,,
10:17.0,,,30-32,,Defensive rebound by J. Winslow
10:11.0,,,30-32,,Shooting foul by K. Koufos (drawn by J. Winslow)
10:11.0,,,30-33,1,J. Winslow makes free throw 1 of 2
10:11.0,,,30-33,,J. Winslow misses free throw 2 of 2
10:10.0,,,30-33,,Offensive rebound by Team
9:54.0,,,30-33,,J. Johnson misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by K. Koufos,,30-33,,
9:46.0,R. Gay misses 2-pt shot from 2 ft (block by J. Johnson),,30-33,,
9:45.0,,,30-33,,Defensive rebound by Team
9:45.0,Loose ball foul by K. Koufos (drawn by W. Reed),,30-33,,
9:45.0,D. Cousins enters the game for A. Tolliver,,30-33,,
9:32.0,,,30-33,,Turnover by J. Winslow (bad pass)
9:23.0,,,30-33,,Personal foul by J. Winslow (drawn by R. Gay)
9:16.0,D. Cousins makes 2-pt shot from 2 ft (assist by T. Lawson),2,32-33,,
9:16.0,,,32-33,,Shooting block foul by W. Reed (drawn by D. Cousins)
9:16.0,,,32-33,,Violation by W. Reed (lane)
9:16.0,D. Cousins makes free throw 1 of 1,1,33-33,,
9:02.0,,,33-36,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Winslow)
8:35.0,R. Gay misses 3-pt shot from 27 ft,,33-36,,
8:34.0,,,33-36,,Defensive rebound by J. Johnson
8:18.0,,,33-36,,T. Johnson misses 2-pt shot from 16 ft
8:17.0,Defensive rebound by R. Gay,,33-36,,
8:13.0,Turnover by R. Gay (bad pass; steal by T. Johnson),,33-36,,
8:03.0,,,33-38,2,W. Reed makes 2-pt shot at rim (assist by T. Johnson)
7:53.0,Sacramento full timeout,,33-38,,
7:53.0,,,33-38,,H. Whiteside enters the game for W. Reed
7:53.0,A. Afflalo enters the game for B. McLemore,,33-38,,
7:53.0,Violation by Team (jump ball),,33-38,,
7:43.0,,,33-38,,Shooting block foul by H. Whiteside (drawn by D. Cousins)
7:43.0,D. Cousins makes free throw 1 of 2,1,34-38,,
7:43.0,D. Cousins makes free throw 2 of 2,1,35-38,,
7:22.0,,,35-38,,J. Winslow misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by K. Koufos,,35-38,,
7:11.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,38-38,,
6:52.0,,,38-38,,H. Whiteside misses 2-pt shot from 9 ft
6:51.0,Defensive rebound by D. Cousins,,38-38,,
6:38.0,R. Gay misses 2-pt shot from 2 ft,,38-38,,
6:37.0,,,38-38,,Defensive rebound by H. Whiteside
6:34.0,,,38-40,2,T. Johnson makes 2-pt shot from 1 ft (assist by R. McGruder)
6:34.0,,,38-40,,Shooting foul by T. Lawson (drawn by T. Johnson)
6:34.0,,,38-41,1,T. Johnson makes free throw 1 of 1
6:34.0,M. Barnes enters the game for K. Koufos,,38-40,,
6:34.0,,,38-40,,D. Waiters enters the game for J. Winslow
6:34.0,,,38-40,,G. Dragic enters the game for R. McGruder
6:18.0,A. Afflalo misses 2-pt shot from 16 ft,,38-41,,
6:17.0,,,38-41,,Defensive rebound by T. Johnson
6:08.0,,,38-41,,G. Dragic misses 3-pt shot from 23 ft
6:07.0,,,38-41,,Offensive rebound by H. Whiteside
6:05.0,,,38-41,,H. Whiteside misses 2-pt shot from 1 ft
6:04.0,,,38-41,,Offensive rebound by Team
6:01.0,,,38-41,,H. Whiteside misses 2-pt shot from 10 ft
6:00.0,Defensive rebound by A. Afflalo,,38-41,,
5:51.0,,,38-41,,Personal foul by T. Johnson (drawn by A. Afflalo)
5:51.0,Official timeout,,38-41,,
5:51.0,,,38-41,,L. Babbitt enters the game for T. Johnson
5:51.0,G. Temple enters the game for T. Lawson,,38-41,,
5:42.0,,,38-41,,Personal block foul by H. Whiteside (drawn by D. Cousins)
5:42.0,D. Cousins makes free throw 1 of 2,1,39-41,,
5:42.0,D. Cousins misses free throw 2 of 2,,39-41,,
5:42.0,,,39-41,,U. Haslem enters the game for H. Whiteside
5:41.0,,,39-41,,Defensive rebound by J. Johnson
5:15.0,,,39-41,,D. Waiters misses 2-pt shot from 21 ft
5:14.0,,,39-41,,Offensive rebound by G. Dragic
5:11.0,,,39-43,2,G. Dragic makes 2-pt shot from 1 ft
4:56.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,41-43,,
4:40.0,,,41-43,,U. Haslem misses 2-pt shot from 16 ft
4:39.0,Defensive rebound by D. Cousins,,41-43,,
4:26.0,Turnover by M. Barnes (bad pass; steal by G. Dragic),,41-43,,
4:21.0,,,41-43,,Shooting foul by M. Barnes (drawn by D. Waiters)
4:21.0,,,41-44,1,D. Waiters makes free throw 1 of 2
4:21.0,,,41-45,1,D. Waiters makes free throw 2 of 2
4:02.0,D. Cousins misses 2-pt shot from 7 ft,,41-45,,
4:01.0,,,41-45,,Defensive rebound by J. Johnson
3:54.0,,,41-45,,U. Haslem misses 2-pt shot from 1 ft (block by G. Temple)
3:53.0,Defensive rebound by R. Gay,,41-45,,
3:43.0,M. Barnes misses 3-pt shot from 24 ft,,41-45,,
3:42.0,,,41-45,,Defensive rebound by J. Johnson
3:36.0,,,41-48,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
3:10.0,A. Afflalo makes 2-pt shot from 9 ft,2,43-48,,
3:00.0,,,43-48,,Miami full timeout
3:00.0,,,43-48,,J. Winslow enters the game for J. Johnson
2:44.0,,,43-48,,J. Winslow misses 2-pt shot from 12 ft
2:43.0,Defensive rebound by D. Cousins,,43-48,,
2:31.0,,,43-48,,Personal foul by U. Haslem (drawn by D. Cousins)
2:31.0,D. Cousins makes free throw 1 of 2,1,44-48,,
2:31.0,D. Cousins makes free throw 2 of 2,1,45-48,,
2:19.0,,,45-51,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
1:59.0,G. Temple makes 2-pt shot from 16 ft,2,47-51,,
1:39.0,,,47-51,,Turnover by G. Dragic (bad pass; steal by M. Barnes)
1:36.0,Turnover by M. Barnes (bad pass; steal by D. Waiters),,47-51,,
1:30.0,,,47-54,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Waiters)
1:01.0,D. Cousins misses 2-pt shot from 9 ft,,47-54,,
1:00.0,Offensive rebound by M. Barnes,,47-54,,
0:56.0,M. Barnes misses 3-pt shot from 23 ft,,47-54,,
0:55.0,,,47-54,,Defensive rebound by D. Waiters
0:50.0,,,47-54,,Turnover by D. Waiters (bad pass)
0:36.0,A. Afflalo misses 3-pt shot from 25 ft,,47-54,,
0:35.0,Offensive rebound by Team,,47-54,,
0:27.0,A. Afflalo misses 3-pt shot from 24 ft,,47-54,,
0:26.0,Offensive rebound by G. Temple,,47-54,,
0:22.0,R. Gay misses 2-pt shot from 3 ft,,47-54,,
0:21.0,Offensive rebound by G. Temple,,47-54,,
0:05.0,R. Gay makes 2-pt shot from 2 ft,2,49-54,,
0:05.0,Shooting foul by L. Babbitt (drawn by R. Gay),,49-54,,
0:05.0,R. Gay makes free throw 1 of 1,1,50-54,,
0:05.0,T. Lawson enters the game for D. Cousins,,49-54,,
0:02.0,,,50-54,,Miami full timeout
0:02.0,K. Koufos enters the game for T. Lawson,,50-54,,
0:02.0,,,50-54,,Turnover by J. Winslow (bad pass)
0:00.0,K. Koufos misses 3-pt shot from 54 ft,,50-54,,
0:00.0,Offensive rebound by Team,,50-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by A. Afflalo (bad pass),,50-54,,
11:29.0,,,50-54,,Turnover by H. Whiteside (bad pass)
11:06.0,D. Cousins misses 2-pt shot from 19 ft,,50-54,,
11:05.0,,,50-54,,Defensive rebound by D. Waiters
10:53.0,,,50-54,,H. Whiteside misses 2-pt shot at rim (block by D. Cousins)
10:52.0,Defensive rebound by R. Gay,,50-54,,
10:47.0,,,50-54,,Personal foul by D. Waiters (drawn by D. Cousins)
10:34.0,A. Afflalo misses 2-pt shot from 3 ft (block by D. Waiters),,50-54,,
10:33.0,,,50-54,,Defensive rebound by H. Whiteside
10:26.0,,,50-57,3,L. Babbitt makes 3-pt shot from 24 ft (assist by G. Dragic)
10:26.0,Sacramento full timeout,,50-57,,
10:14.0,R. Gay misses 2-pt shot from 10 ft,,50-57,,
10:13.0,,,50-57,,Defensive rebound by L. Babbitt
10:07.0,,,50-57,,D. Waiters misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by R. Gay,,50-57,,
9:57.0,D. Cousins misses 2-pt shot at rim,,50-57,,
9:56.0,,,50-57,,Defensive rebound by H. Whiteside
9:48.0,,,50-60,3,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic)
9:22.0,R. Gay misses 2-pt shot from 20 ft,,50-60,,
9:21.0,,,50-60,,Defensive rebound by G. Dragic
9:13.0,,,50-62,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
8:46.0,A. Afflalo makes 2-pt shot from 2 ft,2,52-62,,
8:23.0,,,52-64,2,G. Dragic makes 2-pt shot from 2 ft
8:06.0,,,52-64,,Personal foul by H. Whiteside (drawn by D. Cousins)
8:06.0,D. Cousins makes free throw 1 of 2,1,53-64,,
8:06.0,D. Cousins makes free throw 2 of 2,1,54-64,,
8:06.0,,,53-64,,U. Haslem enters the game for H. Whiteside
8:01.0,Personal foul by A. Afflalo (drawn by D. Waiters),,54-64,,
7:49.0,,,54-64,,L. Babbitt misses 3-pt shot from 24 ft
7:48.0,,,54-64,,Offensive rebound by J. Winslow
7:47.0,,,54-64,,J. Winslow misses 2-pt shot at rim
7:46.0,Defensive rebound by R. Gay,,54-64,,
7:31.0,R. Gay misses 2-pt shot from 11 ft,,54-64,,
7:30.0,Offensive rebound by M. Barnes,,54-64,,
7:26.0,M. Barnes misses 2-pt shot from 1 ft,,54-64,,
7:24.0,,,54-64,,Defensive rebound by G. Dragic
7:23.0,,,54-64,,L. Babbitt misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by T. Lawson,,54-64,,
7:14.0,A. Afflalo makes 2-pt shot from 2 ft,2,56-64,,
7:07.0,Technical foul by M. Barnes,,56-64,,
7:07.0,,,56-65,1,L. Babbitt makes technical free throw
7:07.0,K. Koufos enters the game for D. Cousins,,56-64,,
6:56.0,,,56-65,,J. Winslow misses 2-pt shot from 19 ft
6:55.0,Defensive rebound by K. Koufos,,56-65,,
6:41.0,T. Lawson misses 2-pt shot from 15 ft,,56-65,,
6:40.0,,,56-65,,Defensive rebound by G. Dragic
6:28.0,,,56-65,,L. Babbitt misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by A. Afflalo,,56-65,,
6:20.0,M. Barnes misses 3-pt shot from 24 ft,,56-65,,
6:19.0,,,56-65,,Defensive rebound by G. Dragic
6:11.0,,,56-65,,L. Babbitt misses 3-pt shot from 25 ft
6:10.0,,,56-65,,Offensive rebound by U. Haslem
5:54.0,,,56-67,2,D. Waiters makes 2-pt shot from 20 ft (assist by U. Haslem)
5:36.0,M. Barnes misses 3-pt shot from 24 ft,,56-67,,
5:35.0,,,56-67,,Defensive rebound by U. Haslem
5:23.0,,,56-67,,L. Babbitt misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by M. Barnes,,56-67,,
5:19.0,Turnover by M. Barnes (bad pass; steal by G. Dragic),,56-67,,
5:13.0,,,56-67,,J. Winslow misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Barnes,,56-67,,
5:12.0,Sacramento full timeout,,56-67,,
5:12.0,A. Tolliver enters the game for R. Gay,,56-67,,
5:12.0,B. McLemore enters the game for M. Barnes,,56-67,,
5:12.0,,,56-67,,T. Johnson enters the game for D. Waiters
4:51.0,A. Afflalo makes 2-pt shot from 20 ft,2,58-67,,
4:31.0,,,58-67,,U. Haslem misses 2-pt shot from 3 ft
4:30.0,Defensive rebound by K. Koufos,,58-67,,
4:23.0,K. Koufos makes 2-pt shot at rim (assist by B. McLemore),2,60-67,,
4:23.0,,,60-67,,Miami full timeout
4:23.0,,,60-67,,R. McGruder enters the game for L. Babbitt
4:14.0,,,60-67,,Turnover by G. Dragic (bad pass)
4:03.0,B. McLemore misses 3-pt shot from 24 ft,,60-67,,
4:02.0,,,60-67,,Defensive rebound by U. Haslem
3:46.0,,,60-67,,G. Dragic misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by A. Tolliver,,60-67,,
3:35.0,B. McLemore makes 3-pt shot from 26 ft (assist by T. Lawson),3,63-67,,
3:14.0,,,63-67,,J. Winslow misses 2-pt shot from 17 ft
3:13.0,,,63-67,,Offensive rebound by R. McGruder
3:02.0,,,63-67,,Turnover by G. Dragic (bad pass; steal by B. McLemore)
2:53.0,,,63-67,,Personal foul by G. Dragic (drawn by K. Koufos)
2:53.0,,,63-67,,W. Reed enters the game for U. Haslem
2:53.0,,,63-67,,J. Johnson enters the game for J. Winslow
2:39.0,A. Afflalo makes 2-pt shot from 10 ft,2,65-67,,
2:27.0,Def 3 sec tech foul by A. Tolliver,,65-67,,
2:27.0,,,65-68,1,T. Johnson makes technical free throw
2:17.0,,,65-70,2,T. Johnson makes 2-pt shot from 9 ft
2:05.0,Turnover by T. Lawson (lost ball; steal by J. Johnson),,65-70,,
2:01.0,,,65-70,,Turnover by J. Johnson (bad pass)
1:41.0,A. Afflalo misses 2-pt shot from 13 ft,,65-70,,
1:40.0,,,65-70,,Defensive rebound by T. Johnson
1:31.0,,,65-70,,T. Johnson misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by A. Tolliver,,65-70,,
1:20.0,K. Koufos makes 2-pt shot at rim (assist by T. Lawson),2,67-70,,
0:57.0,,,67-70,,Shooting foul by A. Tolliver (drawn by G. Dragic)
0:57.0,,,67-71,1,G. Dragic makes free throw 1 of 2
0:57.0,,,67-71,,G. Dragic misses free throw 2 of 2
0:57.0,G. Temple enters the game for T. Lawson,,67-71,,
0:55.0,Defensive rebound by A. Tolliver,,67-71,,
0:40.0,A. Tolliver misses 2-pt shot from 7 ft,,67-71,,
0:38.0,,,67-71,,Defensive rebound by W. Reed
0:35.0,Shooting block foul by A. Afflalo (drawn by G. Dragic),,67-71,,
0:35.0,,,67-72,1,G. Dragic makes free throw 1 of 2
0:35.0,,,67-73,1,G. Dragic makes free throw 2 of 2
0:29.0,G. Temple misses 2-pt shot from 19 ft (block by G. Dragic),,67-73,,
0:28.0,,,67-73,,Defensive rebound by T. Johnson
0:08.0,,,67-73,,T. Johnson misses 2-pt shot from 1 ft
0:07.0,Defensive rebound by B. McLemore,,67-73,,
0:02.0,B. McLemore misses 2-pt shot from 21 ft,,67-73,,
0:00.0,Offensive rebound by K. Koufos,,67-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,67-73,,Turnover by D. Waiters (traveling)
11:32.0,B. McLemore misses 3-pt shot from 25 ft,,67-73,,
11:31.0,,,67-73,,Defensive rebound by J. Johnson
11:19.0,Personal foul by D. Cousins (drawn by U. Haslem),,67-73,,
11:06.0,,,67-73,,D. Waiters misses 3-pt shot from 25 ft
11:05.0,,,67-73,,Offensive rebound by Team
11:05.0,,,67-73,,Turnover by Team (shot clock)
10:53.0,B. McLemore misses 3-pt shot from 24 ft,,67-73,,
10:52.0,,,67-73,,Defensive rebound by J. Johnson
10:36.0,,,67-73,,J. Johnson misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by K. Koufos,,67-73,,
10:25.0,Offensive foul by D. Cousins,,67-73,,
10:25.0,Turnover by D. Cousins (offensive foul),,67-73,,
10:07.0,,,67-75,2,J. Johnson makes 2-pt shot from 6 ft
9:43.0,G. Temple misses 2-pt shot from 17 ft,,67-75,,
9:37.0,Offensive rebound by Team,,67-75,,
9:37.0,R. Gay enters the game for A. Tolliver,,67-75,,
9:37.0,Jump ball: B. McLemore vs. D. Waiters (K. Koufos gains possession),,,,Jump ball: B. McLemore vs. D. Waiters (K. Koufos gains possession)
9:22.0,Turnover by G. Temple (bad pass; steal by U. Haslem),,67-75,,
9:09.0,Personal foul by R. Gay (drawn by R. McGruder),,67-75,,
9:09.0,,,67-75,,J. Winslow enters the game for R. McGruder
9:01.0,,,67-75,,J. Johnson misses 2-pt shot from 17 ft
9:00.0,Defensive rebound by K. Koufos,,67-75,,
8:56.0,,,67-75,,Personal foul by J. Johnson (drawn by D. Cousins)
8:56.0,Official timeout,,67-75,,
8:56.0,,,67-75,,L. Babbitt enters the game for J. Johnson
8:50.0,Shooting foul by U. Haslem (drawn by D. Cousins),,67-75,,
8:50.0,D. Cousins makes free throw 1 of 2,1,68-75,,
8:50.0,D. Cousins makes free throw 2 of 2,1,69-75,,
8:34.0,,,69-75,,H. Whiteside enters the game for U. Haslem
8:26.0,,,69-78,3,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Winslow)
8:05.0,A. Afflalo enters the game for K. Koufos,,69-78,,
8:01.0,B. McLemore misses 2-pt shot from 18 ft,,69-78,,
8:00.0,,,69-78,,Defensive rebound by H. Whiteside
7:50.0,,,69-78,,Turnover by H. Whiteside (lost ball)
7:32.0,Shooting foul by H. Whiteside (drawn by R. Gay),,69-78,,
7:32.0,R. Gay makes free throw 1 of 2,1,70-78,,
7:32.0,R. Gay makes free throw 2 of 2,1,71-78,,
7:32.0,,,70-78,,U. Haslem enters the game for H. Whiteside
7:14.0,,,71-78,,J. Winslow misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by R. Gay,,71-78,,
7:02.0,Shooting foul by U. Haslem (drawn by D. Cousins),,71-78,,
7:02.0,D. Cousins misses free throw 1 of 2,,71-78,,
7:02.0,Offensive rebound by Team,,71-78,,
7:02.0,D. Cousins misses free throw 2 of 2,,71-78,,
7:02.0,T. Lawson enters the game for B. McLemore,,71-78,,
7:01.0,,,71-78,,Defensive rebound by U. Haslem
6:45.0,,,71-78,,Turnover by T. Johnson (bad pass)
6:31.0,Turnover by R. Gay (bad pass; steal by L. Babbitt),,71-78,,
6:28.0,,,71-78,,Shooting foul by T. Lawson (drawn by T. Johnson)
6:28.0,,,71-79,1,T. Johnson makes free throw 1 of 2
6:28.0,,,71-80,1,T. Johnson makes free throw 2 of 2
6:28.0,,,71-79,,G. Dragic enters the game for L. Babbitt
6:17.0,A. Afflalo misses 3-pt shot from 24 ft,,71-80,,
6:16.0,Offensive rebound by D. Cousins,,71-80,,
6:15.0,D. Cousins makes 2-pt shot from 1 ft,2,73-80,,
6:15.0,Shooting foul by U. Haslem (drawn by D. Cousins),,73-80,,
6:15.0,D. Cousins makes free throw 1 of 1,1,74-80,,
6:11.0,,,74-80,,Miami full timeout
6:03.0,,,74-80,,D. Waiters misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by Team,,74-80,,
6:02.0,,,74-80,,Loose ball foul by U. Haslem (drawn by D. Cousins)
6:02.0,D. Cousins makes free throw 1 of 2,1,75-80,,
6:02.0,D. Cousins makes free throw 2 of 2,1,76-80,,
6:02.0,,,75-80,,H. Whiteside enters the game for U. Haslem
5:42.0,,,76-82,2,H. Whiteside makes 2-pt shot from 5 ft
5:42.0,,,76-82,,Shooting foul by D. Cousins (drawn by H. Whiteside)
5:42.0,,,76-82,,H. Whiteside misses free throw 1 of 1
5:41.0,Defensive rebound by D. Cousins,,76-82,,
5:22.0,D. Cousins makes 2-pt shot from 7 ft,2,78-82,,
5:08.0,,,78-82,,G. Dragic misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by T. Lawson,,78-82,,
4:50.0,Offensive foul by D. Cousins,,78-82,,
