time,Atlanta,pts.away,score,pts.home,Dallas
7:29.0,,,5-7,2,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews)
7:15.0,T. Sefolosha misses 2-pt shot from 13 ft,,5-7,,
7:14.0,,,5-7,,Defensive rebound by A. Bogut
6:49.0,,,5-7,,W. Matthews misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by D. Howard,,5-7,,
6:36.0,,,5-7,,Shooting block foul by A. Bogut (drawn by D. Schroder)
6:36.0,D. Schroder makes free throw 1 of 2,1,6-7,,
6:36.0,D. Schroder makes free throw 2 of 2,1,7-7,,
6:25.0,Personal foul by K. Bazemore (drawn by H. Barnes),,7-7,,
6:23.0,,,7-7,,Turnover by A. Bogut (bad pass; steal by D. Howard)
6:14.0,Turnover by P. Millsap (bad pass; steal by H. Barnes),,7-7,,
6:04.0,Personal foul by D. Schroder (drawn by H. Barnes),,7-7,,
6:04.0,T. Hardaway enters the game for T. Sefolosha,,7-7,,
5:56.0,,,7-7,,D. Williams misses 2-pt shot from 22 ft
5:53.0,Defensive rebound by Team,,7-7,,
5:53.0,,,7-7,,Dallas full timeout
5:46.0,,,7-7,,Personal foul by S. Curry (drawn by T. Hardaway)
5:32.0,Shooting foul by H. Barnes (drawn by P. Millsap),,7-7,,
5:32.0,P. Millsap makes free throw 1 of 2,1,8-7,,
5:32.0,P. Millsap makes free throw 2 of 2,1,9-7,,
5:32.0,,,8-7,,D. Nowitzki enters the game for H. Barnes
5:13.0,,,9-7,,S. Curry misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by D. Howard,,9-7,,
4:59.0,,,9-7,,Personal block foul by S. Curry (drawn by D. Howard)
4:59.0,D. Howard makes free throw 1 of 2,1,10-7,,
4:59.0,D. Howard makes free throw 2 of 2,1,11-7,,
4:59.0,M. Delaney enters the game for K. Bazemore,,10-7,,
4:49.0,,,11-7,,D. Nowitzki misses 2-pt shot from 20 ft
4:48.0,Defensive rebound by D. Howard,,11-7,,
4:36.0,Turnover by D. Schroder (bad pass),,11-7,,
4:25.0,,,11-7,,Turnover by D. Williams (bad pass; steal by P. Millsap)
4:21.0,M. Delaney makes 2-pt shot from 16 ft (assist by P. Millsap),2,13-7,,
4:20.0,,,13-7,,Dallas full timeout
4:20.0,,,13-7,,D. Harris enters the game for A. Bogut
4:20.0,,,13-7,,J. Barea enters the game for D. Williams
4:20.0,,,13-7,,D. Powell enters the game for S. Curry
4:20.0,M. Muscala enters the game for D. Howard,,13-7,,
4:04.0,,,13-7,,D. Harris misses 3-pt shot from 22 ft
4:03.0,,,13-7,,Offensive rebound by D. Powell
3:53.0,,,13-7,,Turnover by D. Nowitzki (lost ball)
3:34.0,P. Millsap misses 3-pt shot from 28 ft,,13-7,,
3:33.0,,,13-7,,Defensive rebound by J. Barea
3:25.0,,,13-9,2,D. Harris makes 2-pt shot from 3 ft (assist by J. Barea)
3:13.0,D. Schroder misses 2-pt shot from 21 ft,,13-9,,
3:12.0,,,13-9,,Defensive rebound by J. Barea
3:05.0,Personal foul by D. Schroder,,13-9,,
3:05.0,T. Waller-Prince enters the game for D. Schroder,,13-9,,
2:57.0,Shooting block foul by P. Millsap (drawn by D. Harris),,13-9,,
2:57.0,Atlanta full timeout,,13-9,,
2:57.0,,,13-10,1,D. Harris makes free throw 1 of 2
2:57.0,,,13-11,1,D. Harris makes free throw 2 of 2
2:57.0,,,13-9,,D. Finney-Smith enters the game for W. Matthews
2:52.0,Offensive foul by T. Hardaway,,13-11,,
2:52.0,Turnover by T. Hardaway (offensive foul),,13-11,,
2:43.0,,,13-13,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
2:38.0,M. Muscala makes 2-pt shot at rim (assist by T. Hardaway),2,15-13,,
2:24.0,,,15-13,,D. Nowitzki misses 2-pt shot from 20 ft
2:23.0,Defensive rebound by T. Hardaway,,15-13,,
2:10.0,M. Muscala makes 2-pt shot from 17 ft (assist by P. Millsap),2,17-13,,
1:47.0,,,17-16,3,D. Finney-Smith makes 3-pt shot from 22 ft (assist by J. Barea)
1:31.0,T. Hardaway makes 2-pt shot from 18 ft (assist by P. Millsap),2,19-16,,
1:05.0,,,19-16,,J. Barea misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by P. Millsap,,19-16,,
0:57.0,T. Hardaway makes 3-pt shot from 23 ft (assist by M. Delaney),3,22-16,,
0:39.0,,,22-18,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea)
0:31.0,M. Delaney misses 2-pt shot from 17 ft,,22-18,,
0:29.0,Offensive rebound by M. Muscala,,22-18,,
0:23.0,M. Muscala misses 3-pt shot from 22 ft,,22-18,,
0:22.0,,,22-18,,Defensive rebound by J. Barea
0:02.0,,,22-18,,Shooting foul by M. Delaney (drawn by D. Nowitzki)
0:02.0,,,22-19,1,D. Nowitzki makes free throw 1 of 2
0:02.0,,,22-20,1,D. Nowitzki makes free throw 2 of 2
0:02.0,K. Humphries enters the game for P. Millsap,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by K. Humphries (bad pass; steal by D. Nowitzki),,22-20,,
11:40.0,,,22-20,,Turnover by D. Finney-Smith (bad pass)
11:36.0,K. Humphries misses 2-pt shot from 20 ft,,22-20,,
11:36.0,,,22-20,,Defensive rebound by Team
11:29.0,,,22-20,,D. Nowitzki misses 2-pt shot from 12 ft
11:25.0,,,22-20,,Offensive rebound by Team
11:15.0,Personal block foul by M. Delaney (drawn by D. Powell),,22-20,,
11:02.0,,,22-20,,J. Barea misses 3-pt shot from 25 ft
11:01.0,,,22-20,,Offensive rebound by D. Powell
10:53.0,,,22-22,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
10:31.0,T. Hardaway misses 2-pt shot from 20 ft,,22-22,,
10:30.0,,,22-22,,Defensive rebound by J. Barea
10:22.0,,,22-24,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by J. Barea)
10:21.0,Atlanta full timeout,,22-24,,
10:03.0,Turnover by T. Hardaway (bad pass; steal by D. Powell),,22-24,,
9:51.0,,,22-27,3,D. Harris makes 3-pt shot from 25 ft
9:35.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,24-27,,
9:19.0,,,24-27,,J. Barea misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by K. Humphries,,24-27,,
9:10.0,,,24-27,,Personal foul by J. Barea
9:10.0,D. Howard enters the game for K. Humphries,,24-27,,
9:10.0,,,24-27,,A. Bogut enters the game for D. Powell
9:10.0,,,24-27,,H. Barnes enters the game for D. Nowitzki
8:55.0,T. Waller-Prince misses 2-pt shot from 1 ft,,24-27,,
8:54.0,Offensive rebound by D. Howard,,24-27,,
8:54.0,D. Howard makes 2-pt shot at rim,2,26-27,,
8:35.0,,,26-29,2,H. Barnes makes 2-pt shot from 13 ft
8:25.0,M. Muscala misses 2-pt shot from 2 ft (block by D. Finney-Smith),,26-29,,
8:25.0,Jump ball: D. Finney-Smith vs. M. Muscala (T. Hardaway gains possession),,,,Jump ball: D. Finney-Smith vs. M. Muscala (T. Hardaway gains possession)
8:25.0,Offensive rebound by Team,,26-29,,
8:21.0,T. Hardaway makes 2-pt shot from 16 ft (assist by M. Muscala),2,28-29,,
8:09.0,,,28-32,3,J. Barea makes 3-pt shot from 26 ft
7:54.0,,,28-32,,Shooting block foul by D. Finney-Smith (drawn by T. Waller-Prince)
7:54.0,T. Hardaway misses free throw 1 of 2,,28-32,,
7:54.0,Offensive rebound by Team,,28-32,,
7:54.0,T. Hardaway makes free throw 2 of 2,1,29-32,,
7:54.0,,,28-32,,D. Williams enters the game for D. Harris
7:54.0,K. Bazemore enters the game for M. Delaney,,28-32,,
7:54.0,,,28-32,,W. Matthews enters the game for J. Barea
7:36.0,,,29-35,3,H. Barnes makes 3-pt shot from 28 ft (assist by D. Finney-Smith)
7:24.0,K. Bazemore misses 2-pt shot from 20 ft,,29-35,,
7:23.0,,,29-35,,Defensive rebound by D. Williams
7:13.0,,,29-35,,D. Williams misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by D. Howard,,29-35,,
7:00.0,D. Howard misses 2-pt shot from 18 ft,,29-35,,
6:59.0,,,29-35,,Defensive rebound by A. Bogut
6:47.0,,,29-37,2,H. Barnes makes 2-pt shot from 7 ft
6:46.0,Atlanta full timeout,,29-37,,
6:46.0,T. Sefolosha enters the game for T. Hardaway,,29-37,,
6:46.0,D. Schroder enters the game for M. Muscala,,29-37,,
6:46.0,P. Millsap enters the game for T. Waller-Prince,,29-37,,
6:35.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,31-37,,
6:10.0,,,31-37,,W. Matthews misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by T. Sefolosha,,31-37,,
5:59.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,33-37,,
5:59.0,Shooting foul by D. Williams (drawn by D. Howard),,33-37,,
5:59.0,Official timeout,,33-37,,
5:59.0,D. Howard makes free throw 1 of 1,1,34-37,,
5:47.0,,,34-39,2,D. Williams makes 2-pt shot from 5 ft
5:33.0,D. Schroder makes 2-pt shot from 5 ft,2,36-39,,
5:21.0,,,36-39,,D. Finney-Smith misses 3-pt shot from 26 ft
5:20.0,,,36-39,,Offensive rebound by D. Williams
5:05.0,,,36-39,,Offensive charge foul by D. Williams
5:05.0,,,36-39,,Turnover by D. Williams (offensive foul)
4:56.0,,,36-39,,Personal foul by D. Finney-Smith (drawn by P. Millsap)
4:43.0,D. Schroder makes 2-pt shot from 4 ft,2,38-39,,
4:26.0,,,38-39,,W. Matthews misses 2-pt shot from 23 ft (block by K. Bazemore)
4:25.0,Defensive rebound by D. Howard,,38-39,,
4:17.0,D. Schroder misses 3-pt shot from 25 ft,,38-39,,
4:16.0,,,38-39,,Defensive rebound by A. Bogut
4:00.0,,,38-39,,Turnover by W. Matthews (lost ball)
3:53.0,Shooting foul by W. Matthews (drawn by D. Schroder),,38-39,,
3:53.0,D. Schroder makes free throw 1 of 2,1,39-39,,
3:53.0,,,39-39,,Dallas full timeout
3:53.0,D. Schroder misses free throw 2 of 2,,39-39,,
3:53.0,,,39-39,,D. Nowitzki enters the game for D. Finney-Smith
3:52.0,,,39-39,,Defensive rebound by A. Bogut
3:35.0,,,39-41,2,H. Barnes makes 2-pt shot from 15 ft
3:27.0,P. Millsap misses 2-pt shot from 4 ft,,39-41,,
3:25.0,,,39-41,,Defensive rebound by H. Barnes
3:08.0,,,39-41,,D. Nowitzki misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by D. Schroder,,39-41,,
2:51.0,P. Millsap misses 2-pt shot from 17 ft,,39-41,,
2:50.0,,,39-41,,Defensive rebound by W. Matthews
2:49.0,T. Hardaway enters the game for K. Bazemore,,39-41,,
2:34.0,,,39-41,,W. Matthews misses 2-pt shot from 7 ft
2:32.0,Defensive rebound by D. Howard,,39-41,,
2:19.0,D. Schroder misses 3-pt shot from 25 ft,,39-41,,
2:16.0,,,39-41,,Defensive rebound by A. Bogut
1:56.0,,,39-41,,Turnover by D. Williams (bad pass)
1:56.0,K. Bazemore enters the game for T. Sefolosha,,39-41,,
1:47.0,T. Hardaway misses 3-pt shot from 26 ft,,39-41,,
1:46.0,,,39-41,,Defensive rebound by A. Bogut
1:33.0,Personal foul by K. Bazemore (drawn by H. Barnes),,39-41,,
1:18.0,,,39-41,,W. Matthews misses 2-pt shot from 16 ft
1:17.0,Defensive rebound by P. Millsap,,39-41,,
1:11.0,T. Hardaway makes 3-pt shot from 24 ft (assist by P. Millsap),3,42-41,,
0:50.0,,,42-41,,D. Williams misses 3-pt shot from 28 ft
0:42.0,Defensive rebound by D. Schroder,,42-41,,
0:33.0,D. Schroder misses 2-pt shot from 13 ft (block by D. Nowitzki),,42-41,,
0:31.0,Offensive rebound by K. Bazemore,,42-41,,
0:30.0,K. Bazemore makes 3-pt shot from 23 ft,3,45-41,,
0:15.0,Personal foul by D. Schroder (drawn by H. Barnes),,45-41,,
0:15.0,,,45-41,,H. Barnes misses free throw 1 of 2
0:15.0,,,45-41,,Offensive rebound by Team
0:15.0,,,45-42,1,H. Barnes makes free throw 2 of 2
0:15.0,,,45-41,,D. Finney-Smith enters the game for D. Nowitzki
0:15.0,M. Delaney enters the game for D. Schroder,,45-41,,
0:03.0,T. Hardaway misses 2-pt shot from 18 ft,,45-42,,
0:00.0,,,45-42,,Defensive rebound by D. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,K. Bazemore misses 3-pt shot from 22 ft,,45-42,,
11:46.0,,,45-42,,Defensive rebound by D. Williams
11:31.0,Personal foul by D. Schroder (drawn by D. Nowitzki),,45-42,,
11:28.0,,,45-42,,Turnover by A. Bogut (bad pass; steal by T. Sefolosha)
11:22.0,,,45-42,,Personal take foul by A. Bogut (drawn by D. Schroder)
11:12.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,48-42,,
10:54.0,,,48-42,,A. Bogut misses 2-pt shot from 7 ft
10:53.0,Defensive rebound by P. Millsap,,48-42,,
10:47.0,Turnover by D. Schroder (bad pass; steal by D. Nowitzki),,48-42,,
10:29.0,,,48-42,,H. Barnes misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by D. Howard,,48-42,,
10:11.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,51-42,,
9:57.0,,,51-42,,Turnover by D. Nowitzki (lost ball; steal by P. Millsap)
9:56.0,,,51-42,,Personal take foul by D. Williams (drawn by D. Schroder)
9:42.0,Turnover by P. Millsap (lost ball; steal by H. Barnes),,51-42,,
9:36.0,,,51-42,,D. Nowitzki misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by D. Howard,,51-42,,
9:19.0,D. Schroder misses 2-pt shot from 9 ft,,51-42,,
9:17.0,,,51-42,,Defensive rebound by W. Matthews
8:55.0,,,51-42,,H. Barnes misses 2-pt shot from 15 ft
8:54.0,Defensive rebound by K. Bazemore,,51-42,,
8:35.0,D. Howard misses 2-pt shot from 6 ft (block by A. Bogut),,51-42,,
8:33.0,,,51-42,,Defensive rebound by Team
8:07.0,,,51-44,2,H. Barnes makes 2-pt shot from 13 ft
7:44.0,K. Bazemore misses 3-pt shot from 25 ft,,51-44,,
7:43.0,Offensive rebound by D. Howard,,51-44,,
7:35.0,D. Schroder misses 2-pt shot from 15 ft,,51-44,,
7:34.0,,,51-44,,Defensive rebound by D. Williams
7:20.0,,,51-47,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Williams)
7:06.0,D. Howard misses 2-pt shot from 18 ft,,51-47,,
7:05.0,,,51-47,,Defensive rebound by A. Bogut
6:49.0,Personal foul by T. Sefolosha (drawn by D. Nowitzki),,51-47,,
6:49.0,M. Delaney enters the game for D. Schroder,,51-47,,
6:49.0,T. Hardaway enters the game for T. Sefolosha,,51-47,,
6:43.0,,,51-47,,D. Williams misses 2-pt shot from 10 ft
6:41.0,Defensive rebound by D. Howard,,51-47,,
6:29.0,P. Millsap misses 2-pt shot from 11 ft,,51-47,,
6:28.0,Offensive rebound by D. Howard,,51-47,,
6:28.0,D. Howard misses 2-pt shot from 2 ft,,51-47,,
6:26.0,,,51-47,,Defensive rebound by D. Nowitzki
6:13.0,Def 3 sec tech foul by D. Howard,,51-47,,
6:13.0,,,51-48,1,D. Nowitzki makes technical free throw
6:13.0,M. Muscala enters the game for D. Howard,,51-48,,
6:13.0,,,51-48,,D. Finney-Smith enters the game for D. Nowitzki
6:00.0,,,51-48,,W. Matthews misses 2-pt shot from 13 ft
5:58.0,,,51-48,,Offensive rebound by H. Barnes
5:50.0,,,51-51,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Finney-Smith)
5:30.0,P. Millsap makes 2-pt shot from 11 ft,2,53-51,,
5:30.0,Shooting foul by A. Bogut (drawn by P. Millsap),,53-51,,
5:30.0,,,53-51,,Dallas full timeout
5:30.0,P. Millsap makes free throw 1 of 1,1,54-51,,
5:17.0,,,54-51,,W. Matthews misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by P. Millsap,,54-51,,
5:05.0,P. Millsap misses 2-pt shot from 10 ft,,54-51,,
5:03.0,Offensive rebound by K. Bazemore,,54-51,,
4:58.0,T. Hardaway makes 3-pt shot from 23 ft (assist by K. Bazemore),3,57-51,,
4:50.0,,,57-51,,D. Williams misses 3-pt shot from 23 ft
4:49.0,,,57-51,,Offensive rebound by H. Barnes
4:49.0,,,57-51,,H. Barnes misses 2-pt shot at rim
4:40.0,Defensive rebound by P. Millsap,,57-51,,
4:39.0,Atlanta full timeout,,57-51,,
4:29.0,P. Millsap misses 3-pt shot from 25 ft,,57-51,,
4:28.0,,,57-51,,Defensive rebound by H. Barnes
4:13.0,,,57-53,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Finney-Smith)
3:55.0,Shooting foul by D. Finney-Smith (drawn by T. Hardaway),,57-53,,
3:55.0,T. Hardaway makes free throw 1 of 2,1,58-53,,
3:55.0,T. Hardaway makes free throw 2 of 2,1,59-53,,
3:55.0,T. Waller-Prince enters the game for K. Bazemore,,58-53,,
3:55.0,,,58-53,,D. Harris enters the game for D. Williams
3:55.0,,,58-53,,J. Barea enters the game for D. Finney-Smith
3:27.0,,,59-53,,J. Barea misses 3-pt shot from 27 ft
3:26.0,Defensive rebound by T. Waller-Prince,,59-53,,
3:22.0,T. Hardaway makes 3-pt shot from 26 ft (assist by T. Waller-Prince),3,62-53,,
3:20.0,,,62-53,,Dallas full timeout
3:20.0,,,62-53,,D. Powell enters the game for H. Barnes
3:20.0,,,62-53,,D. Nowitzki enters the game for A. Bogut
3:04.0,Personal foul by T. Hardaway (drawn by D. Powell),,62-53,,
2:55.0,,,62-55,2,D. Powell makes 2-pt shot from 3 ft (assist by D. Nowitzki)
2:34.0,T. Waller-Prince misses 2-pt shot from 17 ft,,62-55,,
2:33.0,,,62-55,,Defensive rebound by D. Powell
2:13.0,,,62-55,,Turnover by D. Nowitzki (lost ball; steal by T. Waller-Prince)
2:06.0,M. Delaney misses 2-pt shot from 14 ft,,62-55,,
2:03.0,,,62-55,,Defensive rebound by D. Nowitzki
1:55.0,Personal foul by T. Waller-Prince (drawn by W. Matthews),,62-55,,
1:46.0,,,62-55,,D. Harris misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by P. Millsap,,62-55,,
1:30.0,M. Delaney misses 2-pt shot from 13 ft,,62-55,,
1:29.0,,,62-55,,Defensive rebound by D. Powell
1:16.0,,,62-57,2,D. Nowitzki makes 2-pt shot from 14 ft
1:01.0,,,62-57,,Personal foul by D. Harris (drawn by M. Muscala)
1:01.0,M. Muscala makes free throw 1 of 2,1,63-57,,
1:01.0,M. Muscala makes free throw 2 of 2,1,64-57,,
1:01.0,D. Howard enters the game for P. Millsap,,63-57,,
1:01.0,T. Sefolosha enters the game for T. Waller-Prince,,63-57,,
1:01.0,,,63-57,,D. Finney-Smith enters the game for W. Matthews
0:43.0,,,64-57,,D. Harris misses 3-pt shot from 22 ft
0:43.0,Defensive rebound by M. Muscala,,64-57,,
0:33.0,M. Muscala misses 3-pt shot from 25 ft,,64-57,,
0:31.0,,,64-57,,Defensive rebound by D. Powell
0:11.0,,,64-59,2,D. Harris makes 2-pt shot from 1 ft
0:02.0,M. Delaney makes 2-pt shot from 18 ft,2,66-59,,
0:01.0,,,66-59,,D. Finney-Smith misses 3-pt shot from 39 ft
0:00.0,,,66-59,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,66-61,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Nowitzki)
11:20.0,T. Hardaway misses 3-pt shot from 29 ft,,66-61,,
11:20.0,,,66-61,,Defensive rebound by Team
11:20.0,P. Millsap enters the game for M. Muscala,,66-61,,
11:08.0,,,66-61,,D. Harris misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by D. Howard,,66-61,,
10:58.0,Shooting foul by D. Nowitzki (drawn by P. Millsap),,66-61,,
10:58.0,,,66-61,,Violation by Team (jump ball)
10:58.0,P. Millsap makes free throw 1 of 2,1,67-61,,
10:58.0,P. Millsap misses free throw 2 of 2,,67-61,,
10:58.0,,,67-61,,Defensive rebound by D. Nowitzki
10:58.0,,,67-61,,S. Curry enters the game for D. Harris
10:58.0,D. Schroder enters the game for T. Sefolosha,,67-61,,
10:46.0,,,67-63,2,J. Barea makes 2-pt shot from 11 ft
10:28.0,D. Schroder misses 2-pt shot from 16 ft,,67-63,,
10:25.0,,,67-63,,Defensive rebound by Team
10:09.0,,,67-65,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
9:51.0,,,67-65,,Personal foul by D. Powell (drawn by P. Millsap)
9:45.0,Shooting foul by D. Finney-Smith (drawn by P. Millsap),,67-65,,
9:45.0,P. Millsap makes free throw 1 of 2,1,68-65,,
9:45.0,P. Millsap makes free throw 2 of 2,1,69-65,,
9:45.0,K. Bazemore enters the game for M. Delaney,,68-65,,
9:37.0,,,69-67,2,J. Barea makes 2-pt shot from 11 ft
9:18.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,71-67,,
9:06.0,,,71-67,,Turnover by J. Barea (lost ball)
8:55.0,T. Hardaway misses 3-pt shot from 23 ft,,71-67,,
8:54.0,,,71-67,,Defensive rebound by D. Powell
8:39.0,,,71-67,,D. Powell misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by T. Hardaway,,71-67,,
8:27.0,K. Bazemore makes 3-pt shot from 26 ft,3,74-67,,
8:24.0,,,74-67,,Dallas full timeout
8:24.0,,,74-67,,A. Bogut enters the game for D. Nowitzki
8:24.0,,,74-67,,H. Barnes enters the game for D. Powell
8:02.0,,,74-67,,S. Curry misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by D. Howard,,74-67,,
7:47.0,T. Hardaway misses 2-pt shot from 5 ft,,74-67,,
7:46.0,,,74-67,,Defensive rebound by A. Bogut
7:39.0,,,74-67,,J. Barea misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by P. Millsap,,74-67,,
7:29.0,D. Schroder makes 2-pt shot from 2 ft,2,76-67,,
7:24.0,,,76-67,,Dallas full timeout
7:24.0,,,76-67,,D. Williams enters the game for J. Barea
7:24.0,,,76-67,,W. Matthews enters the game for D. Finney-Smith
7:05.0,,,76-67,,D. Williams misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by D. Howard,,76-67,,
6:47.0,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder),3,79-67,,
6:23.0,,,79-69,2,D. Williams makes 2-pt shot from 2 ft
6:14.0,,,79-69,,Personal take foul by W. Matthews (drawn by D. Howard)
6:14.0,,,79-69,,Personal take foul by W. Matthews (drawn by D. Howard)
6:14.0,D. Howard misses free throw 1 of 2,,79-69,,
6:14.0,Offensive rebound by Team,,79-69,,
6:14.0,D. Howard makes free throw 2 of 2,1,80-69,,
6:14.0,M. Delaney enters the game for T. Hardaway,,79-69,,
6:01.0,,,80-71,2,D. Williams makes 2-pt shot from 16 ft
5:55.0,,,80-71,,Personal foul by S. Curry (drawn by D. Howard)
5:55.0,D. Howard makes free throw 1 of 2,1,81-71,,
5:55.0,D. Howard makes free throw 2 of 2,1,82-71,,
5:44.0,,,82-71,,Turnover by D. Williams (bad pass; steal by D. Schroder)
5:41.0,D. Schroder makes 2-pt shot from 1 ft,2,84-71,,
5:12.0,,,84-71,,H. Barnes misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by P. Millsap,,84-71,,
5:10.0,,,84-71,,Personal foul by W. Matthews (drawn by P. Millsap)
5:10.0,Technical foul by P. Millsap,,84-71,,
5:10.0,,,84-72,1,D. Williams makes technical free throw
5:10.0,P. Millsap misses free throw 1 of 2,,84-72,,
5:10.0,Offensive rebound by Team,,84-72,,
5:10.0,P. Millsap makes free throw 2 of 2,1,85-72,,
5:10.0,,,84-72,,D. Harris enters the game for A. Bogut
5:10.0,,,84-72,,D. Nowitzki enters the game for S. Curry
4:58.0,,,85-74,2,H. Barnes makes 2-pt shot from 7 ft
4:46.0,,,85-74,,Personal take foul by D. Nowitzki (drawn by D. Howard)
4:46.0,D. Howard makes free throw 1 of 2,1,86-74,,
4:46.0,D. Howard misses free throw 2 of 2,,86-74,,
4:45.0,,,86-74,,Defensive rebound by D. Harris
4:34.0,Shooting block foul by D. Howard (drawn by D. Harris),,86-74,,
4:34.0,,,86-75,1,D. Harris makes free throw 1 of 2
4:34.0,,,86-76,1,D. Harris makes free throw 2 of 2
4:34.0,M. Muscala enters the game for D. Howard,,86-75,,
4:19.0,P. Millsap makes 2-pt shot from 9 ft (assist by D. Schroder),2,88-76,,
4:02.0,,,88-76,,D. Harris misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by M. Delaney,,88-76,,
3:52.0,P. Millsap makes 2-pt shot from 3 ft (assist by K. Bazemore),2,90-76,,
3:50.0,,,90-76,,Dallas full timeout
3:50.0,,,90-76,,D. Powell enters the game for D. Nowitzki
3:50.0,,,90-76,,S. Curry enters the game for D. Harris
3:50.0,T. Hardaway enters the game for K. Bazemore,,90-76,,
3:35.0,,,90-76,,W. Matthews misses 2-pt shot from 20 ft
