time,Chicago,pts.away,score,pts.home,LA Lakers
0:54.0,,,60-59,,N. Young misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by N. Mirotic,,60-59,,
0:45.0,I. Canaan makes 2-pt shot from 7 ft (assist by R. Rondo),2,62-59,,
0:36.0,,,62-59,,Offensive foul by L. Williams
0:36.0,,,62-59,,Turnover by L. Williams (offensive foul)
0:23.0,N. Mirotic misses 3-pt shot from 29 ft,,62-59,,
0:22.0,,,62-59,,Defensive rebound by J. Clarkson
0:03.0,,,62-61,2,J. Randle makes 2-pt shot at rim
0:01.0,R. Rondo misses 3-pt shot from 42 ft,,62-61,,
0:00.0,Offensive rebound by Team,,62-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-61,,D. Russell misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by R. Lopez,,62-61,,
11:32.0,Turnover by T. Gibson (bad pass; steal by T. Mozgov),,62-61,,
11:21.0,,,62-61,,D. Russell misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by T. Gibson,,62-61,,
11:06.0,T. Gibson misses 2-pt shot from 17 ft,,62-61,,
11:06.0,,,62-61,,Defensive rebound by T. Mozgov
10:57.0,,,62-61,,Shooting foul by T. Gibson (drawn by J. Randle)
10:57.0,,,62-62,1,J. Randle makes free throw 1 of 2
10:57.0,,,62-63,1,J. Randle makes free throw 2 of 2
10:46.0,,,62-63,,Personal foul by J. Randle (drawn by T. Gibson)
10:32.0,Turnover by Team (shot clock),,62-63,,
10:17.0,,,62-66,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Randle)
9:53.0,R. Lopez misses 2-pt shot from 10 ft,,62-66,,
9:51.0,,,62-66,,Defensive rebound by J. Randle
9:46.0,,,62-68,2,J. Randle makes 2-pt shot from 1 ft
9:28.0,N. Mirotic makes 3-pt shot from 25 ft (assist by T. Gibson),3,65-68,,
9:17.0,,,65-68,,Shooting foul by T. Gibson (drawn by J. Randle)
9:17.0,,,65-68,,J. Randle misses free throw 1 of 2
9:17.0,,,65-68,,Offensive rebound by Team
9:17.0,,,65-68,,J. Randle misses free throw 2 of 2
9:16.0,Defensive rebound by N. Mirotic,,65-68,,
9:02.0,J. Butler makes 2-pt shot from 1 ft,2,67-68,,
8:46.0,,,67-68,,J. Randle misses 3-pt shot from 24 ft
8:43.0,,,67-68,,Offensive rebound by N. Young
8:36.0,,,67-70,2,D. Russell makes 2-pt shot from 17 ft
8:19.0,N. Mirotic misses 3-pt shot from 26 ft,,67-70,,
8:18.0,,,67-70,,Defensive rebound by D. Russell
8:10.0,,,67-70,,Shooting foul by R. Rondo (drawn by N. Young)
8:10.0,,,67-71,1,N. Young makes free throw 1 of 2
8:10.0,,,67-72,1,N. Young makes free throw 2 of 2
8:10.0,I. Canaan enters the game for N. Mirotic,,67-71,,
7:47.0,R. Rondo misses 2-pt shot from 3 ft,,67-72,,
7:47.0,Offensive rebound by T. Gibson,,67-72,,
7:47.0,T. Gibson misses 2-pt shot at rim,,67-72,,
7:42.0,Offensive rebound by R. Lopez,,67-72,,
7:42.0,R. Lopez misses 2-pt shot at rim,,67-72,,
7:41.0,,,67-72,,Defensive rebound by N. Young
7:40.0,,,67-75,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell)
7:38.0,Chicago full timeout,,67-75,,
7:24.0,R. Lopez makes 2-pt shot from 2 ft (assist by R. Rondo),2,69-75,,
7:05.0,,,69-75,,D. Russell misses 2-pt shot from 14 ft
7:03.0,Defensive rebound by J. Butler,,69-75,,
6:57.0,J. Butler makes 2-pt shot from 1 ft,2,71-75,,
6:47.0,,,71-75,,Turnover by J. Randle (bad pass; steal by T. Gibson)
6:38.0,R. Rondo misses 2-pt shot from 17 ft,,71-75,,
6:38.0,,,71-75,,Defensive rebound by D. Russell
6:14.0,,,71-78,3,N. Young makes 3-pt shot from 25 ft (assist by T. Mozgov)
5:56.0,I. Canaan makes 3-pt shot from 24 ft (assist by J. Butler),3,74-78,,
5:35.0,,,74-78,,Turnover by D. Russell (bad pass; steal by I. Canaan)
5:28.0,I. Canaan misses 3-pt shot from 25 ft,,74-78,,
5:25.0,Offensive rebound by J. Butler,,74-78,,
5:25.0,J. Butler makes 2-pt shot at rim,2,76-78,,
5:18.0,,,76-78,,Turnover by D. Russell (bad pass; steal by R. Rondo)
5:14.0,T. Gibson makes 2-pt shot at rim (assist by R. Rondo),2,78-78,,
5:14.0,,,78-78,,LA Lakers full timeout
5:14.0,D. Valentine enters the game for R. Rondo,,78-78,,
5:14.0,,,78-78,,T. Black enters the game for J. Randle
5:14.0,,,78-78,,L. Nance enters the game for T. Mozgov
5:01.0,,,78-78,,Turnover by N. Young (lost ball)
4:41.0,I. Canaan misses 3-pt shot from 23 ft,,78-78,,
4:39.0,Offensive rebound by R. Lopez,,78-78,,
4:35.0,J. Butler misses 3-pt shot from 25 ft,,78-78,,
4:34.0,Offensive rebound by Team,,78-78,,
4:34.0,,,78-78,,L. Williams enters the game for N. Young
4:34.0,,,78-78,,J. Clarkson enters the game for D. Russell
4:25.0,R. Lopez misses 2-pt shot from 14 ft,,78-78,,
4:24.0,Offensive rebound by T. Gibson,,78-78,,
4:19.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson),2,80-78,,
4:03.0,,,80-78,,J. Clarkson misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by Team,,80-78,,
3:49.0,J. Butler makes 2-pt shot from 1 ft,2,82-78,,
3:27.0,,,82-78,,T. Black misses 2-pt shot from 2 ft (block by R. Lopez)
3:26.0,Defensive rebound by R. Lopez,,82-78,,
3:19.0,Turnover by I. Canaan (bad pass; steal by L. Deng),,82-78,,
3:02.0,,,82-78,,L. Nance misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by I. Canaan,,82-78,,
2:46.0,D. Valentine misses 2-pt shot from 21 ft,,82-78,,
2:46.0,,,82-78,,Defensive rebound by Team
2:46.0,Loose ball foul by T. Gibson (drawn by J. Clarkson),,82-78,,
2:44.0,,,82-78,,B. Ingram enters the game for L. Deng
2:44.0,N. Mirotic enters the game for T. Gibson,,82-78,,
2:28.0,,,82-78,,L. Williams misses 2-pt shot from 16 ft
2:27.0,,,82-78,,Offensive rebound by L. Nance
2:27.0,,,82-80,2,L. Nance makes 2-pt shot at rim
2:07.0,J. Butler makes 2-pt shot at rim,2,84-80,,
2:00.0,,,84-80,,Turnover by B. Ingram (bad pass; steal by I. Canaan)
1:55.0,I. Canaan makes 2-pt shot from 1 ft,2,86-80,,
1:39.0,,,86-82,2,B. Ingram makes 2-pt shot from 15 ft
1:13.0,R. Lopez misses 2-pt shot from 9 ft,,86-82,,
1:13.0,Offensive rebound by N. Mirotic,,86-82,,
1:13.0,Shooting foul by L. Williams (drawn by N. Mirotic),,86-82,,
1:13.0,N. Mirotic makes free throw 1 of 2,1,87-82,,
1:13.0,N. Mirotic makes free throw 2 of 2,1,88-82,,
1:13.0,B. Portis enters the game for R. Lopez,,87-82,,
1:02.0,,,88-82,,Shooting foul by B. Portis
1:02.0,,,88-82,,L. Williams misses free throw 1 of 2
1:02.0,,,88-82,,Offensive rebound by Team
1:02.0,,,88-83,1,L. Williams makes free throw 2 of 2
0:47.0,Shooting foul by T. Black (drawn by I. Canaan),,88-83,,
0:47.0,I. Canaan makes free throw 1 of 2,1,89-83,,
0:47.0,I. Canaan makes free throw 2 of 2,1,90-83,,
0:34.0,,,90-83,,L. Nance misses 2-pt shot from 21 ft
0:33.0,Defensive rebound by D. Valentine,,90-83,,
0:14.0,B. Portis misses 2-pt shot at rim,,90-83,,
0:13.0,,,90-83,,Defensive rebound by T. Black
0:11.0,,,90-83,,Turnover by T. Black (bad pass; steal by J. Butler)
0:11.0,Turnover by J. Butler (bad pass),,90-83,,
0:11.0,Offensive charge foul by J. Butler,,90-83,,
0:02.0,,,90-83,,J. Clarkson misses 2-pt shot from 14 ft
0:01.0,,,90-83,,Offensive rebound by T. Black
0:01.0,,,90-83,,Shooting foul by B. Portis (drawn by T. Black)
0:01.0,,,90-84,1,T. Black makes free throw 1 of 2
0:01.0,,,90-85,1,T. Black makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,I. Canaan misses 2-pt shot from 2 ft,,90-85,,
11:41.0,Offensive rebound by B. Portis,,90-85,,
11:39.0,B. Portis makes 2-pt shot from 2 ft,2,92-85,,
11:25.0,,,92-87,2,L. Nance makes 2-pt shot at rim (assist by B. Ingram)
11:01.0,I. Canaan makes 3-pt shot from 27 ft (assist by R. Rondo),3,95-87,,
10:50.0,,,95-87,,Turnover by L. Williams (bad pass; steal by D. Valentine)
10:44.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,97-87,,
10:26.0,,,97-87,,J. Clarkson misses 2-pt shot from 13 ft
10:25.0,Defensive rebound by N. Mirotic,,97-87,,
10:10.0,N. Mirotic misses 3-pt shot from 25 ft,,97-87,,
10:09.0,,,97-87,,Defensive rebound by B. Ingram
9:48.0,,,97-87,,B. Ingram misses 2-pt shot from 10 ft
9:48.0,Defensive rebound by N. Mirotic,,97-87,,
9:39.0,B. Portis makes 2-pt shot from 1 ft (assist by N. Mirotic),2,99-87,,
9:39.0,,,99-87,,LA Lakers full timeout
9:26.0,,,99-89,2,B. Ingram makes 2-pt shot from 1 ft
9:06.0,Turnover by R. Rondo (bad pass; steal by T. Black),,99-89,,
8:57.0,,,99-89,,Shooting foul by D. Valentine (drawn by B. Ingram)
8:57.0,,,99-89,,B. Ingram misses free throw 1 of 2
8:57.0,,,99-89,,Offensive rebound by Team
8:57.0,,,99-90,1,B. Ingram makes free throw 2 of 2
8:45.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,102-90,,
8:30.0,,,102-93,3,L. Williams makes 3-pt shot from 29 ft (assist by T. Black)
8:10.0,B. Portis misses 3-pt shot from 24 ft,,102-93,,
8:09.0,,,102-93,,Defensive rebound by B. Ingram
7:54.0,,,102-93,,L. Williams misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by B. Portis,,102-93,,
7:43.0,R. Rondo misses 2-pt shot from 19 ft,,102-93,,
7:43.0,,,102-93,,Defensive rebound by B. Ingram
7:41.0,Personal take foul by R. Rondo,,102-93,,
7:41.0,J. Butler enters the game for D. Valentine,,102-93,,
7:41.0,,,102-93,,L. Deng enters the game for T. Black
7:41.0,T. Gibson enters the game for B. Portis,,102-93,,
7:35.0,,,102-93,,J. Clarkson misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by R. Rondo,,102-93,,
7:14.0,J. Butler misses 2-pt shot from 20 ft,,102-93,,
7:13.0,Offensive rebound by N. Mirotic,,102-93,,
6:55.0,I. Canaan makes 3-pt shot from 26 ft (assist by R. Rondo),3,105-93,,
6:36.0,,,105-93,,B. Ingram misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by R. Rondo,,105-93,,
6:21.0,Turnover by I. Canaan (traveling),,105-93,,
6:07.0,,,105-96,3,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Williams)
5:45.0,Shooting foul by L. Deng (drawn by J. Butler),,105-96,,
5:45.0,Official timeout,,105-96,,
5:45.0,J. Butler makes free throw 1 of 2,1,106-96,,
5:45.0,J. Butler makes free throw 2 of 2,1,107-96,,
5:45.0,,,105-96,,N. Young enters the game for B. Ingram
5:45.0,,,105-96,,J. Randle enters the game for L. Nance
5:25.0,,,107-96,,L. Williams misses 2-pt shot from 2 ft (block by T. Gibson)
5:25.0,,,107-96,,Offensive rebound by Team
5:21.0,,,107-96,,J. Clarkson misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by N. Mirotic,,107-96,,
5:04.0,J. Butler makes 2-pt shot from 3 ft,2,109-96,,
4:48.0,,,109-96,,J. Clarkson misses 2-pt shot from 3 ft
4:47.0,Defensive rebound by N. Mirotic,,109-96,,
4:40.0,J. Butler misses 2-pt shot from 1 ft,,109-96,,
4:38.0,,,109-96,,Defensive rebound by L. Deng
4:31.0,,,109-96,,N. Young misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by R. Rondo,,109-96,,
4:24.0,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo),2,111-96,,
4:07.0,,,111-98,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Williams)
3:56.0,Offensive foul by T. Gibson,,111-98,,
3:56.0,Turnover by T. Gibson (offensive foul),,111-98,,
3:56.0,,,111-98,,D. Russell enters the game for J. Clarkson
3:38.0,,,111-100,2,J. Randle makes 2-pt shot from 2 ft
3:19.0,R. Rondo misses 2-pt shot from 14 ft,,111-100,,
3:18.0,,,111-100,,Defensive rebound by N. Young
3:08.0,,,111-100,,L. Deng misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by I. Canaan,,111-100,,
