time,Phoenix,pts.away,score,pts.home,Toronto
7:10.0,Turnover by D. Booker (lost ball; steal by J. Valanciunas),,11-16,,
7:05.0,,,11-16,,D. Carroll misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by E. Bledsoe,,11-16,,
6:58.0,T. Warren misses 3-pt shot from 25 ft,,11-16,,
6:57.0,,,11-16,,Defensive rebound by K. Lowry
6:51.0,,,11-16,,K. Lowry misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by Team,,11-16,,
6:51.0,A. Len enters the game for M. Chriss,,11-16,,
6:36.0,Shooting foul by K. Lowry (drawn by T. Chandler),,11-16,,
6:36.0,T. Chandler makes free throw 1 of 2,1,12-16,,
6:36.0,T. Chandler makes free throw 2 of 2,1,13-16,,
6:18.0,,,13-19,3,D. Carroll makes 3-pt shot from 25 ft (assist by L. Nogueira)
6:10.0,D. Booker misses 2-pt shot from 3 ft (block by L. Nogueira),,13-19,,
6:09.0,,,13-19,,Defensive rebound by K. Lowry
5:58.0,,,13-19,,D. Carroll misses 3-pt shot from 26 ft
5:57.0,,,13-19,,Offensive rebound by Team
5:57.0,Loose ball foul by D. Booker (drawn by K. Lowry),,13-19,,
5:47.0,,,13-21,2,L. Nogueira makes 2-pt shot at rim (assist by J. Valanciunas)
5:26.0,D. Booker misses 2-pt shot from 15 ft,,13-21,,
5:26.0,,,13-21,,Defensive rebound by J. Valanciunas
5:10.0,,,13-21,,K. Lowry misses 3-pt shot from 27 ft
5:09.0,Defensive rebound by E. Bledsoe,,13-21,,
5:03.0,E. Bledsoe makes 3-pt shot from 24 ft,3,16-21,,
4:44.0,,,16-21,,Shooting foul by T. Chandler (drawn by K. Lowry)
4:44.0,,,16-22,1,K. Lowry makes free throw 1 of 2
4:44.0,,,16-23,1,K. Lowry makes free throw 2 of 2
4:32.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,19-23,,
4:15.0,,,19-23,,D. Carroll misses 2-pt shot from 7 ft
4:14.0,Defensive rebound by D. Booker,,19-23,,
4:08.0,E. Bledsoe misses 3-pt shot from 24 ft,,19-23,,
4:07.0,Offensive rebound by T. Chandler,,19-23,,
4:04.0,A. Len makes 2-pt shot from 6 ft (assist by T. Chandler),2,21-23,,
3:56.0,,,21-23,,Toronto full timeout
3:56.0,,,21-23,,T. Ross enters the game for D. Carroll
3:56.0,,,21-23,,J. Sullinger enters the game for J. Valanciunas
3:56.0,,,21-23,,C. Joseph enters the game for K. Lowry
3:56.0,P. Tucker enters the game for T. Warren,,21-23,,
3:44.0,,,21-23,,D. DeRozan misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by A. Len,,21-23,,
3:24.0,D. Booker misses 3-pt shot from 25 ft,,21-23,,
3:24.0,,,21-23,,Defensive rebound by J. Sullinger
3:13.0,,,21-23,,J. Sullinger misses 2-pt shot from 21 ft
3:12.0,Defensive rebound by E. Bledsoe,,21-23,,
3:04.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,23-23,,
2:49.0,B. Knight enters the game for D. Booker,,23-23,,
2:37.0,,,23-25,2,C. Joseph makes 2-pt shot from 3 ft
2:28.0,P. Tucker misses 3-pt shot from 24 ft,,23-25,,
2:28.0,,,23-25,,Defensive rebound by L. Nogueira
2:22.0,,,23-25,,T. Ross misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by T. Chandler,,23-25,,
2:07.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by T. Chandler),3,26-25,,
1:41.0,,,26-28,3,L. Nogueira makes 3-pt shot from 25 ft (assist by D. DeRozan)
1:18.0,Turnover by E. Bledsoe (bad pass),,26-28,,
1:18.0,D. Bender enters the game for T. Chandler,,26-28,,
1:18.0,,,26-28,,D. Carroll enters the game for L. Nogueira
1:01.0,,,26-30,2,J. Sullinger makes 2-pt shot from 16 ft (assist by C. Joseph)
0:40.0,D. Bender misses 2-pt shot from 5 ft,,26-30,,
0:39.0,Offensive rebound by A. Len,,26-30,,
0:38.0,Turnover by A. Len (lost ball; steal by J. Sullinger),,26-30,,
0:26.0,,,26-30,,Shooting foul by D. Bender (drawn by C. Joseph)
0:26.0,,,26-30,,C. Joseph misses free throw 1 of 2
0:26.0,,,26-30,,Offensive rebound by Team
0:26.0,,,26-31,1,C. Joseph makes free throw 2 of 2
0:26.0,D. Booker enters the game for A. Len,,26-30,,
0:05.0,P. Tucker makes 2-pt shot at rim (assist by D. Bender),2,28-31,,
0:00.0,,,28-31,,D. DeRozan misses 3-pt shot from 34 ft
0:00.0,,,28-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,28-31,,T. Ross misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by A. Len,,28-31,,
11:31.0,B. Knight makes 2-pt shot from 20 ft,2,30-31,,
11:20.0,,,30-31,,C. Joseph misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by P. Tucker,,30-31,,
11:12.0,T. Ulis makes 2-pt shot from 16 ft,2,32-31,,
11:03.0,Personal foul by B. Knight (drawn by K. Lowry),,32-31,,
10:53.0,,,32-31,,Turnover by D. Carroll (bad pass; steal by P. Tucker)
10:43.0,Turnover by T. Ulis (bad pass; steal by J. Sullinger),,32-31,,
10:38.0,,,32-31,,Shooting foul by A. Len (drawn by T. Ross)
10:38.0,,,32-32,1,T. Ross makes free throw 1 of 2
10:38.0,,,32-33,1,T. Ross makes free throw 2 of 2
10:16.0,P. Tucker misses 3-pt shot from 22 ft,,32-33,,
10:16.0,Offensive rebound by D. Bender,,32-33,,
10:14.0,D. Bender misses 2-pt shot from 3 ft,,32-33,,
10:14.0,,,32-33,,Defensive rebound by Team
10:14.0,Loose ball foul by D. Bender (drawn by J. Sullinger),,32-33,,
10:03.0,,,32-33,,C. Joseph misses 2-pt shot from 4 ft
10:03.0,Defensive rebound by A. Len,,32-33,,
9:57.0,B. Knight makes 2-pt shot from 1 ft,2,34-33,,
9:47.0,,,34-36,3,D. Carroll makes 3-pt shot from 24 ft (assist by T. Ross)
9:29.0,Offensive foul by A. Len,,34-36,,
9:29.0,Turnover by A. Len (offensive foul),,34-36,,
9:29.0,,,34-36,,J. Valanciunas enters the game for J. Sullinger
9:11.0,,,34-36,,K. Lowry misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by A. Len,,34-36,,
9:03.0,Offensive charge foul by B. Knight,,34-36,,
9:03.0,Turnover by B. Knight (offensive foul),,34-36,,
9:03.0,D. Booker enters the game for D. Bender,,34-36,,
8:56.0,,,34-36,,Shooting foul by P. Tucker (drawn by K. Lowry)
8:56.0,Official timeout,,34-36,,
8:56.0,,,34-36,,K. Lowry misses free throw 1 of 3
8:56.0,,,34-36,,Offensive rebound by Team
8:56.0,,,34-37,1,K. Lowry makes free throw 2 of 3
8:56.0,,,34-38,1,K. Lowry makes free throw 3 of 3
8:36.0,P. Tucker misses 2-pt shot from 6 ft,,34-38,,
8:35.0,Offensive rebound by P. Tucker,,34-38,,
8:32.0,P. Tucker misses 2-pt shot from 3 ft (block by J. Valanciunas),,34-38,,
8:31.0,,,34-38,,Defensive rebound by C. Joseph
8:28.0,,,34-38,,K. Lowry misses 2-pt shot from 2 ft
8:27.0,Defensive rebound by D. Booker,,34-38,,
8:20.0,T. Ulis misses 2-pt shot from 3 ft (block by J. Valanciunas),,34-38,,
8:19.0,,,34-38,,Defensive rebound by J. Valanciunas
8:01.0,,,34-38,,J. Valanciunas misses 2-pt shot from 3 ft
8:01.0,Defensive rebound by A. Len,,34-38,,
7:53.0,T. Ulis makes 2-pt shot from 15 ft,2,36-38,,
7:35.0,,,36-40,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:21.0,A. Len misses 2-pt shot from 15 ft,,36-40,,
7:20.0,,,36-40,,Defensive rebound by C. Joseph
7:10.0,,,36-40,,T. Ross misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by A. Len,,36-40,,
6:59.0,B. Knight misses 2-pt shot from 13 ft,,36-40,,
6:59.0,,,36-40,,Defensive rebound by J. Valanciunas
6:59.0,Personal foul by P. Tucker (drawn by J. Valanciunas),,36-40,,
6:59.0,,,36-41,1,J. Valanciunas makes free throw 1 of 2
6:59.0,,,36-42,1,J. Valanciunas makes free throw 2 of 2
6:59.0,E. Bledsoe enters the game for T. Ulis,,36-41,,
6:59.0,,,36-41,,D. DeRozan enters the game for C. Joseph
6:59.0,,,36-41,,L. Nogueira enters the game for D. Carroll
6:46.0,D. Booker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,39-42,,
6:33.0,,,39-44,2,D. DeRozan makes 2-pt shot from 9 ft
6:15.0,E. Bledsoe makes 2-pt shot from 16 ft,2,41-44,,
6:00.0,,,41-44,,K. Lowry misses 2-pt shot from 21 ft
5:59.0,,,41-44,,Offensive rebound by T. Ross
5:48.0,,,41-44,,Shooting foul by E. Bledsoe (drawn by D. DeRozan)
5:48.0,,,41-44,,Toronto full timeout
5:48.0,,,41-45,1,D. DeRozan makes free throw 1 of 2
5:48.0,,,41-46,1,D. DeRozan makes free throw 2 of 2
5:48.0,T. Chandler enters the game for A. Len,,41-44,,
5:48.0,M. Chriss enters the game for B. Knight,,41-44,,
5:29.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,43-46,,
5:05.0,,,43-46,,K. Lowry misses 2-pt shot from 2 ft (block by M. Chriss)
5:03.0,Defensive rebound by E. Bledsoe,,43-46,,
4:55.0,,,43-46,,Personal foul by K. Lowry (drawn by E. Bledsoe)
4:44.0,M. Chriss misses 3-pt shot from 23 ft,,43-46,,
4:44.0,,,43-46,,Defensive rebound by J. Valanciunas
4:33.0,,,43-46,,D. DeRozan misses 2-pt shot from 9 ft
4:32.0,Defensive rebound by T. Chandler,,43-46,,
4:22.0,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe),2,45-46,,
4:05.0,,,45-46,,T. Ross misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by T. Chandler,,45-46,,
3:53.0,T. Chandler misses 2-pt shot from 1 ft,,45-46,,
3:52.0,,,45-46,,Defensive rebound by Team
3:37.0,,,45-48,2,D. DeRozan makes 2-pt shot from 2 ft
3:19.0,M. Chriss misses 2-pt shot from 7 ft,,45-48,,
3:18.0,,,45-48,,Defensive rebound by J. Valanciunas
3:06.0,,,45-50,2,K. Lowry makes 2-pt shot from 11 ft
2:51.0,T. Chandler misses 2-pt shot from 2 ft,,45-50,,
2:50.0,Offensive rebound by T. Chandler,,45-50,,
2:48.0,T. Chandler makes 2-pt shot from 2 ft,2,47-50,,
2:27.0,,,47-52,2,K. Lowry makes 2-pt shot from 9 ft
2:27.0,Phoenix full timeout,,47-52,,
2:27.0,T. Warren enters the game for P. Tucker,,47-52,,
2:27.0,,,47-52,,D. Carroll enters the game for K. Lowry
2:27.0,,,47-52,,C. Joseph enters the game for T. Ross
2:10.0,M. Chriss misses 3-pt shot from 23 ft,,47-52,,
2:10.0,,,47-52,,Defensive rebound by D. Carroll
1:54.0,,,47-54,2,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas)
1:34.0,E. Bledsoe makes 2-pt shot from 9 ft,2,49-54,,
1:34.0,Shooting foul by L. Nogueira (drawn by E. Bledsoe),,49-54,,
1:34.0,E. Bledsoe makes free throw 1 of 1,1,50-54,,
1:09.0,,,50-56,2,D. Carroll makes 2-pt shot from 9 ft
1:01.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,53-56,,
0:47.0,Personal foul by T. Warren,,53-56,,
0:47.0,,,53-57,1,D. DeRozan makes free throw 1 of 2
0:47.0,,,53-58,1,D. DeRozan makes free throw 2 of 2
0:35.0,,,53-58,,Personal block foul by J. Valanciunas (drawn by E. Bledsoe)
0:35.0,E. Bledsoe makes free throw 1 of 2,1,54-58,,
0:35.0,E. Bledsoe makes free throw 2 of 2,1,55-58,,
0:35.0,P. Tucker enters the game for M. Chriss,,54-58,,
0:29.0,,,55-58,,C. Joseph misses 2-pt shot from 19 ft
0:28.0,,,55-58,,Offensive rebound by Team
0:28.0,,,55-58,,Toronto full timeout
0:28.0,,,55-58,,T. Ross enters the game for L. Nogueira
0:08.0,,,55-60,2,D. DeRozan makes 2-pt shot from 14 ft
0:01.0,E. Bledsoe misses 2-pt shot from 13 ft (block by D. DeRozan),,55-60,,
0:01.0,Offensive rebound by Team,,55-60,,
0:01.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-60,,D. DeRozan misses 2-pt shot from 11 ft
11:44.0,,,57-60,,Offensive rebound by D. DeRozan
11:42.0,,,57-60,,D. DeRozan misses 2-pt shot from 4 ft
11:40.0,Defensive rebound by T. Warren,,57-60,,
11:31.0,T. Warren misses 2-pt shot from 18 ft,,57-60,,
11:31.0,,,57-60,,Defensive rebound by L. Nogueira
11:20.0,,,57-60,,Turnover by K. Lowry (bad pass; steal by M. Chriss)
11:09.0,E. Bledsoe misses 2-pt shot from 4 ft (block by L. Nogueira),,57-60,,
11:08.0,,,57-60,,Defensive rebound by D. DeRozan
11:03.0,,,57-62,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
10:44.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,60-62,,
10:28.0,,,60-62,,D. Carroll misses 2-pt shot from 11 ft
10:28.0,Defensive rebound by T. Warren,,60-62,,
10:25.0,,,60-62,,Personal block foul by L. Nogueira (drawn by E. Bledsoe)
10:10.0,D. Booker misses 2-pt shot from 17 ft,,60-62,,
10:09.0,,,60-62,,Defensive rebound by D. DeRozan
9:54.0,,,60-62,,Turnover by D. Carroll (step out of bounds)
9:33.0,D. Booker misses 2-pt shot from 19 ft,,60-62,,
9:33.0,,,60-62,,Defensive rebound by K. Lowry
9:28.0,,,60-62,,K. Lowry misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by M. Chriss,,60-62,,
9:16.0,T. Warren misses 2-pt shot from 9 ft,,60-62,,
9:14.0,,,60-62,,Defensive rebound by K. Lowry
9:13.0,Personal block foul by D. Booker (drawn by K. Lowry),,60-62,,
8:54.0,,,60-62,,Shooting foul by T. Chandler (drawn by J. Valanciunas)
8:54.0,,,60-63,1,J. Valanciunas makes free throw 1 of 2
8:54.0,,,60-63,,J. Valanciunas misses free throw 2 of 2
8:54.0,,,60-63,,Offensive rebound by J. Valanciunas
8:49.0,,,60-63,,K. Lowry misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by T. Chandler,,60-63,,
8:35.0,Turnover by M. Chriss (bad pass; steal by K. Lowry),,60-63,,
8:31.0,,,60-65,2,K. Lowry makes 2-pt shot from 2 ft
8:30.0,Phoenix full timeout,,60-65,,
8:22.0,Shooting foul by J. Valanciunas (drawn by E. Bledsoe),,60-65,,
8:22.0,E. Bledsoe makes free throw 1 of 2,1,61-65,,
8:22.0,E. Bledsoe makes free throw 2 of 2,1,62-65,,
8:00.0,,,62-67,2,J. Valanciunas makes 2-pt shot from 6 ft
8:00.0,,,62-67,,Shooting foul by T. Chandler (drawn by J. Valanciunas)
8:00.0,,,62-68,1,J. Valanciunas makes free throw 1 of 1
7:43.0,T. Warren misses 2-pt shot from 14 ft,,62-68,,
7:43.0,,,62-68,,Defensive rebound by L. Nogueira
7:32.0,,,62-68,,J. Valanciunas misses 2-pt shot from 13 ft
7:32.0,Defensive rebound by T. Chandler,,62-68,,
7:28.0,Offensive charge foul by M. Chriss,,62-68,,
7:28.0,Turnover by M. Chriss (offensive foul),,62-68,,
7:22.0,,,62-68,,Offensive foul by L. Nogueira
7:22.0,,,62-68,,Turnover by L. Nogueira (offensive foul)
7:10.0,M. Chriss makes 2-pt shot at rim (assist by T. Warren),2,64-68,,
6:50.0,,,64-68,,J. Valanciunas misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by T. Warren,,64-68,,
6:34.0,M. Chriss misses 3-pt shot from 24 ft,,64-68,,
6:33.0,,,64-68,,Defensive rebound by D. Carroll
6:27.0,Personal foul by M. Chriss (drawn by D. DeRozan),,64-68,,
6:27.0,P. Tucker enters the game for T. Warren,,64-68,,
6:20.0,,,64-68,,Turnover by J. Valanciunas (bad pass; steal by D. Booker)
6:14.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,66-68,,
5:58.0,,,66-71,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:47.0,Turnover by P. Tucker (bad pass; steal by D. Carroll),,66-71,,
5:47.0,Personal foul by M. Chriss (drawn by D. Carroll),,66-71,,
5:47.0,,,66-72,1,D. Carroll makes free throw 1 of 2
5:47.0,,,66-73,1,D. Carroll makes free throw 2 of 2
5:47.0,A. Len enters the game for M. Chriss,,66-72,,
5:37.0,,,66-73,,Personal foul by L. Nogueira (drawn by E. Bledsoe)
5:28.0,,,66-73,,J. Sullinger enters the game for L. Nogueira
5:26.0,Shooting foul by D. Carroll (drawn by D. Booker),,66-73,,
5:26.0,D. Booker misses free throw 1 of 2,,66-73,,
5:26.0,Offensive rebound by Team,,66-73,,
5:26.0,D. Booker makes free throw 2 of 2,1,67-73,,
5:04.0,,,67-73,,Turnover by D. DeRozan (bad pass; steal by T. Chandler)
5:00.0,,,67-73,,Shooting block foul by K. Lowry (drawn by D. Booker)
5:00.0,D. Booker makes free throw 1 of 2,1,68-73,,
5:00.0,D. Booker makes free throw 2 of 2,1,69-73,,
4:44.0,,,69-73,,D. Carroll misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by A. Len,,69-73,,
4:28.0,Turnover by D. Booker (step out of bounds),,69-73,,
4:07.0,,,69-76,3,J. Sullinger makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:49.0,E. Bledsoe makes 3-pt shot from 25 ft,3,72-76,,
3:22.0,,,72-76,,Shooting foul by P. Tucker (drawn by D. DeRozan)
3:22.0,,,72-77,1,D. DeRozan makes free throw 1 of 3
3:22.0,,,72-78,1,D. DeRozan makes free throw 2 of 3
3:22.0,,,72-79,1,D. DeRozan makes free throw 3 of 3
3:22.0,B. Knight enters the game for D. Booker,,72-78,,
3:22.0,,,72-78,,T. Ross enters the game for D. Carroll
3:09.0,A. Len makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,74-79,,
2:51.0,,,74-79,,K. Lowry misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by Team,,74-79,,
2:50.0,,,74-79,,Toronto full timeout
2:50.0,T. Warren enters the game for T. Chandler,,74-79,,
2:50.0,,,74-79,,C. Joseph enters the game for J. Valanciunas
2:50.0,,,74-79,,L. Nogueira enters the game for K. Lowry
2:40.0,E. Bledsoe makes 2-pt shot from 2 ft,2,76-79,,
2:18.0,,,76-81,2,D. DeRozan makes 2-pt shot from 15 ft
2:01.0,E. Bledsoe misses 3-pt shot from 25 ft,,76-81,,
2:01.0,,,76-81,,Defensive rebound by J. Sullinger
1:46.0,,,76-81,,J. Sullinger misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by A. Len,,76-81,,
1:33.0,E. Bledsoe misses 2-pt shot from 20 ft (block by T. Ross),,76-81,,
1:32.0,,,76-81,,Defensive rebound by J. Sullinger
1:32.0,Personal foul by E. Bledsoe (drawn by J. Sullinger),,76-81,,
1:32.0,,,76-82,1,J. Sullinger makes free throw 1 of 2
1:32.0,,,76-83,1,J. Sullinger makes free throw 2 of 2
1:20.0,P. Tucker makes 2-pt shot from 5 ft (assist by E. Bledsoe),2,78-83,,
1:00.0,,,78-83,,D. DeRozan misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by P. Tucker,,78-83,,
0:56.0,Shooting foul by T. Ross (drawn by B. Knight),,78-83,,
0:56.0,B. Knight makes free throw 1 of 2,1,79-83,,
0:56.0,B. Knight makes free throw 2 of 2,1,80-83,,
0:39.0,,,80-83,,J. Sullinger misses 2-pt shot from 11 ft
0:36.0,Defensive rebound by P. Tucker,,80-83,,
0:31.0,Shooting foul by D. DeRozan (drawn by B. Knight),,80-83,,
0:31.0,B. Knight makes free throw 1 of 2,1,81-83,,
0:31.0,B. Knight makes free throw 2 of 2,1,82-83,,
0:19.0,,,82-85,2,J. Sullinger makes 2-pt shot from 2 ft (assist by C. Joseph)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Booker misses 2-pt shot from 15 ft,,82-85,,
11:41.0,,,82-85,,Defensive rebound by T. Ross
11:37.0,,,82-85,,Shooting foul by T. Ulis (drawn by L. Nogueira)
11:37.0,,,82-86,1,L. Nogueira makes free throw 1 of 2
11:37.0,,,82-87,1,L. Nogueira makes free throw 2 of 2
11:23.0,T. Ulis misses 2-pt shot from 8 ft,,82-87,,
11:22.0,,,82-87,,Defensive rebound by L. Nogueira
11:15.0,,,82-90,3,T. Ross makes 3-pt shot from 25 ft (assist by N. Powell)
11:14.0,Phoenix full timeout,,82-90,,
11:14.0,E. Bledsoe enters the game for T. Ulis,,82-90,,
11:03.0,B. Knight misses 2-pt shot from 17 ft,,82-90,,
11:03.0,Offensive rebound by P. Tucker,,82-90,,
10:59.0,P. Tucker makes 2-pt shot from 3 ft,2,84-90,,
10:46.0,,,84-90,,T. Ross misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by A. Len,,84-90,,
10:35.0,,,84-90,,Personal foul by N. Powell (drawn by E. Bledsoe)
10:31.0,Turnover by E. Bledsoe (lost ball; steal by C. Joseph),,84-90,,
10:28.0,,,84-90,,Shooting foul by D. Booker (drawn by N. Powell)
10:28.0,,,84-90,,N. Powell misses free throw 1 of 2
10:28.0,,,84-90,,Offensive rebound by Team
10:28.0,,,84-91,1,N. Powell makes free throw 2 of 2
10:04.0,Shooting foul by C. Joseph (drawn by E. Bledsoe),,84-91,,
10:04.0,E. Bledsoe makes free throw 1 of 2,1,85-91,,
10:04.0,E. Bledsoe makes free throw 2 of 2,1,86-91,,
10:04.0,T. Chandler enters the game for A. Len,,85-91,,
9:48.0,,,86-91,,T. Ross misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by E. Bledsoe,,86-91,,
9:42.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,89-91,,
9:19.0,,,89-91,,T. Ross misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by D. Booker,,89-91,,
9:07.0,D. Booker misses 3-pt shot from 27 ft,,89-91,,
9:06.0,,,89-91,,Defensive rebound by L. Nogueira
8:55.0,,,89-93,2,T. Ross makes 2-pt shot from 3 ft
8:40.0,,,89-93,,Shooting block foul by L. Nogueira (drawn by E. Bledsoe)
8:40.0,E. Bledsoe makes free throw 1 of 2,1,90-93,,
8:40.0,E. Bledsoe makes free throw 2 of 2,1,91-93,,
8:40.0,,,90-93,,J. Valanciunas enters the game for L. Nogueira
8:24.0,,,91-95,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
8:15.0,,,91-95,,Personal foul by C. Joseph (drawn by E. Bledsoe)
8:07.0,B. Knight makes 2-pt shot from 2 ft,2,93-95,,
7:43.0,,,93-95,,C. Joseph misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by P. Tucker,,93-95,,
7:29.0,T. Chandler makes 2-pt shot from 4 ft (assist by E. Bledsoe),2,95-95,,
7:21.0,,,95-95,,Toronto full timeout
7:21.0,,,95-95,,D. DeRozan enters the game for T. Ross
7:21.0,,,95-95,,D. Carroll enters the game for N. Powell
7:11.0,,,95-95,,K. Lowry misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by P. Tucker,,95-95,,
7:09.0,Offensive charge foul by E. Bledsoe,,95-95,,
7:09.0,Turnover by E. Bledsoe (offensive foul),,95-95,,
6:52.0,,,95-95,,D. DeRozan misses 2-pt shot from 12 ft
6:52.0,,,95-95,,Offensive rebound by Team
6:52.0,Jump ball: T. Chandler vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (K. Lowry gains possession)
6:37.0,,,95-97,2,D. Carroll makes 2-pt shot from 16 ft (assist by C. Joseph)
6:24.0,,,95-97,,Personal foul by J. Valanciunas (drawn by E. Bledsoe)
6:24.0,E. Bledsoe makes free throw 1 of 2,1,96-97,,
6:24.0,E. Bledsoe makes free throw 2 of 2,1,97-97,,
6:10.0,,,97-97,,D. DeRozan misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by B. Knight,,97-97,,
6:04.0,P. Tucker makes 2-pt shot from 2 ft (assist by B. Knight),2,99-97,,
5:58.0,,,99-97,,Toronto full timeout
5:53.0,Personal block foul by D. Booker (drawn by C. Joseph),,99-97,,
5:37.0,,,99-97,,D. DeRozan misses 2-pt shot from 21 ft
5:37.0,,,99-97,,Offensive rebound by Team
5:37.0,,,99-97,,Turnover by Team (shot clock)
5:27.0,,,99-97,,Personal foul by D. DeRozan (drawn by P. Tucker)
5:27.0,P. Tucker makes free throw 1 of 2,1,100-97,,
