time,Charlotte,pts.away,score,pts.home,Boston
4:47.0,,,16-10,,I. Thomas misses 2-pt shot from 7 ft (block by C. Zeller)
4:46.0,Defensive rebound by N. Batum,,16-10,,
4:37.0,R. Sessions misses 2-pt shot from 22 ft,,16-10,,
4:36.0,,,16-10,,Defensive rebound by J. Brown
4:20.0,,,16-12,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
3:54.0,R. Sessions makes 3-pt shot from 24 ft (assist by M. Belinelli),3,19-12,,
3:42.0,Personal foul by R. Sessions (drawn by A. Horford),,19-12,,
3:42.0,B. Roberts enters the game for R. Sessions,,19-12,,
3:33.0,,,19-12,,J. Brown misses 3-pt shot from 25 ft
3:33.0,,,19-12,,Offensive rebound by Team
3:33.0,Loose ball foul by C. Zeller (drawn by A. Horford),,19-12,,
3:33.0,,,19-13,1,A. Horford makes free throw 1 of 2
3:33.0,,,19-14,1,A. Horford makes free throw 2 of 2
3:33.0,S. Hawes enters the game for C. Zeller,,19-13,,
3:33.0,,,19-13,,T. Rozier enters the game for I. Thomas
3:20.0,F. Kaminsky misses 3-pt shot from 24 ft,,19-14,,
3:19.0,,,19-14,,Defensive rebound by T. Rozier
3:06.0,,,19-14,,Shooting foul by S. Hawes (drawn by A. Horford)
3:06.0,,,19-15,1,A. Horford makes free throw 1 of 2
3:06.0,,,19-16,1,A. Horford makes free throw 2 of 2
2:56.0,Charlotte full timeout,,19-16,,
2:56.0,Jump ball: S. Hawes vs. A. Horford (M. Smart gains possession),,,,Jump ball: S. Hawes vs. A. Horford (M. Smart gains possession)
2:56.0,Turnover by B. Roberts (bad pass),,19-16,,
2:46.0,,,19-19,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
2:30.0,N. Batum misses 2-pt shot from 19 ft,,19-19,,
2:30.0,,,19-19,,Defensive rebound by M. Smart
2:18.0,,,19-21,2,A. Horford makes 2-pt shot from 19 ft
2:04.0,Shooting foul by M. Smart (drawn by M. Belinelli),,19-21,,
2:04.0,M. Belinelli misses free throw 1 of 3,,19-21,,
2:04.0,Offensive rebound by Team,,19-21,,
2:04.0,M. Belinelli makes free throw 2 of 3,1,20-21,,
2:04.0,M. Belinelli makes free throw 3 of 3,1,21-21,,
2:04.0,,,20-21,,K. Olynyk enters the game for A. Horford
1:52.0,,,21-21,,Turnover by M. Smart (bad pass; steal by N. Batum)
1:44.0,F. Kaminsky misses 2-pt shot from 9 ft,,21-21,,
1:43.0,,,21-21,,Defensive rebound by M. Smart
1:27.0,,,21-21,,J. Crowder misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by Team,,21-21,,
1:25.0,,,21-21,,J. Jerebko enters the game for J. Crowder
1:13.0,M. Belinelli misses 2-pt shot from 21 ft,,21-21,,
1:12.0,,,21-21,,Defensive rebound by T. Rozier
1:06.0,,,21-21,,T. Rozier misses 2-pt shot from 19 ft
1:05.0,Defensive rebound by S. Hawes,,21-21,,
0:57.0,Turnover by B. Roberts (bad pass; steal by K. Olynyk),,21-21,,
0:51.0,,,21-23,2,J. Brown makes 2-pt shot at rim (assist by T. Rozier)
0:36.0,Shooting foul by T. Rozier (drawn by B. Roberts),,21-23,,
0:36.0,B. Roberts makes free throw 1 of 2,1,22-23,,
0:36.0,B. Roberts misses free throw 2 of 2,,22-23,,
0:36.0,,,22-23,,Defensive rebound by J. Jerebko
0:18.0,,,22-23,,Turnover by T. Rozier (lost ball; steal by F. Kaminsky)
0:03.0,F. Kaminsky misses 3-pt shot from 23 ft,,22-23,,
0:03.0,,,22-23,,Defensive rebound by M. Smart
0:01.0,,,22-23,,J. Brown misses 3-pt shot from 44 ft
0:00.0,,,22-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by B. Roberts),2,24-23,,
11:32.0,,,24-23,,J. Brown misses 2-pt shot from 3 ft
11:31.0,Defensive rebound by S. Hawes,,24-23,,
11:11.0,J. Lamb makes 2-pt shot from 7 ft (assist by M. Belinelli),2,26-23,,
10:56.0,,,26-25,2,J. Jerebko makes 2-pt shot from 1 ft (assist by M. Smart)
10:44.0,,,26-25,,Personal foul by J. Brown (drawn by J. Lamb)
10:44.0,,,26-25,,A. Bradley enters the game for J. Brown
10:36.0,B. Roberts makes 2-pt shot from 20 ft,2,28-25,,
10:19.0,,,28-25,,J. Jerebko misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by Team,,28-25,,
9:56.0,S. Hawes misses 3-pt shot from 27 ft,,28-25,,
9:55.0,,,28-25,,Defensive rebound by T. Rozier
9:40.0,,,28-25,,Shooting foul by S. Hawes (drawn by K. Olynyk)
9:40.0,,,28-26,1,K. Olynyk makes free throw 1 of 2
9:40.0,,,28-26,,K. Olynyk misses free throw 2 of 2
9:40.0,Defensive rebound by F. Kaminsky,,28-26,,
9:26.0,M. Belinelli misses 2-pt shot from 19 ft,,28-26,,
9:25.0,,,28-26,,Defensive rebound by A. Bradley
9:10.0,,,28-26,,A. Bradley misses 2-pt shot from 20 ft
9:08.0,,,28-26,,Offensive rebound by M. Smart
9:08.0,,,28-28,2,M. Smart makes 2-pt shot from 1 ft
8:44.0,B. Roberts misses 2-pt shot from 8 ft,,28-28,,
8:43.0,Offensive rebound by B. Roberts,,28-28,,
8:43.0,B. Roberts misses 2-pt shot from 1 ft,,28-28,,
8:42.0,Offensive rebound by F. Kaminsky,,28-28,,
8:41.0,F. Kaminsky misses 2-pt shot from 3 ft (block by K. Olynyk),,28-28,,
8:40.0,,,28-28,,Defensive rebound by K. Olynyk
8:34.0,,,28-28,,K. Olynyk misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by J. Lamb,,28-28,,
8:26.0,Offensive charge foul by S. Hawes,,28-28,,
8:26.0,Turnover by S. Hawes (offensive foul),,28-28,,
8:26.0,Official timeout,,28-28,,
8:26.0,M. Williams enters the game for S. Hawes,,28-28,,
8:14.0,,,28-28,,J. Jerebko misses 3-pt shot from 23 ft
8:12.0,,,28-28,,Offensive rebound by A. Bradley
8:05.0,,,28-30,2,T. Rozier makes 2-pt shot from 20 ft
7:47.0,J. Lamb misses 3-pt shot from 25 ft,,28-30,,
7:46.0,,,28-30,,Defensive rebound by M. Smart
7:39.0,Violation by F. Kaminsky (kicked ball),,28-30,,
7:35.0,,,28-30,,A. Bradley misses 3-pt shot from 26 ft
7:34.0,,,28-30,,Offensive rebound by Team
7:34.0,Loose ball foul by F. Kaminsky (drawn by K. Olynyk),,28-30,,
7:28.0,,,28-30,,Turnover by T. Rozier (bad pass; steal by J. Lamb)
7:20.0,M. Williams misses 3-pt shot from 25 ft,,28-30,,
7:18.0,Offensive rebound by F. Kaminsky,,28-30,,
7:16.0,F. Kaminsky makes 2-pt shot from 5 ft,2,30-30,,
6:56.0,,,30-32,2,J. Jerebko makes 2-pt shot from 3 ft (assist by K. Olynyk)
6:47.0,,,30-32,,Personal foul by A. Bradley (drawn by J. Lamb)
6:47.0,R. Sessions enters the game for B. Roberts,,30-32,,
6:47.0,,,30-32,,I. Thomas enters the game for M. Smart
6:39.0,J. Lamb misses 2-pt shot from 2 ft,,30-32,,
6:38.0,Offensive rebound by M. Williams,,30-32,,
6:38.0,M. Williams makes 2-pt shot from 1 ft,2,32-32,,
6:25.0,,,32-32,,K. Olynyk misses 2-pt shot from 1 ft (block by F. Kaminsky)
6:24.0,Defensive rebound by J. Lamb,,32-32,,
6:18.0,J. Lamb misses 2-pt shot from 10 ft,,32-32,,
6:17.0,,,32-32,,Defensive rebound by A. Bradley
6:00.0,,,32-32,,I. Thomas misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by F. Kaminsky,,32-32,,
5:55.0,R. Sessions misses 2-pt shot from 2 ft (block by K. Olynyk),,32-32,,
5:55.0,Offensive rebound by Team,,32-32,,
5:55.0,,,32-32,,Boston full timeout
5:55.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,32-32,,
5:55.0,C. Zeller enters the game for F. Kaminsky,,32-32,,
5:55.0,,,32-32,,A. Horford enters the game for A. Bradley
5:55.0,,,32-32,,J. Crowder enters the game for K. Olynyk
5:51.0,J. Lamb makes 2-pt shot from 16 ft (assist by M. Williams),2,34-32,,
5:28.0,,,34-32,,I. Thomas misses 2-pt shot from 2 ft
5:28.0,Defensive rebound by M. Kidd-Gilchrist,,34-32,,
5:21.0,R. Sessions misses 2-pt shot from 12 ft,,34-32,,
5:20.0,,,34-32,,Defensive rebound by A. Horford
5:08.0,,,34-32,,J. Jerebko misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by M. Kidd-Gilchrist,,34-32,,
4:57.0,J. Lamb makes 2-pt shot from 18 ft,2,36-32,,
4:39.0,,,36-35,3,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Horford)
4:25.0,,,36-35,,Personal foul by J. Jerebko (drawn by C. Zeller)
4:25.0,,,36-35,,M. Smart enters the game for T. Rozier
4:25.0,N. Batum enters the game for C. Zeller,,36-35,,
4:11.0,R. Sessions misses 2-pt shot from 8 ft,,36-35,,
4:10.0,,,36-35,,Defensive rebound by I. Thomas
4:06.0,,,36-35,,Shooting foul by J. Lamb (drawn by I. Thomas)
4:06.0,,,36-36,1,I. Thomas makes free throw 1 of 2
4:06.0,,,36-37,1,I. Thomas makes free throw 2 of 2
3:49.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,38-37,,
3:41.0,,,38-37,,Turnover by I. Thomas (bad pass; steal by M. Kidd-Gilchrist)
3:35.0,R. Sessions makes 2-pt shot from 1 ft,2,40-37,,
3:17.0,,,40-39,2,I. Thomas makes 2-pt shot at rim (assist by J. Jerebko)
2:55.0,J. Lamb makes 2-pt shot from 16 ft,2,42-39,,
2:47.0,,,42-39,,I. Thomas misses 2-pt shot from 4 ft
2:46.0,,,42-39,,Offensive rebound by I. Thomas
2:44.0,Charlotte full timeout,,42-39,,
2:44.0,,,42-39,,J. Brown enters the game for J. Jerebko
2:38.0,,,42-41,2,A. Horford makes 2-pt shot from 8 ft (assist by M. Smart)
2:21.0,N. Batum makes 3-pt shot from 25 ft (assist by R. Sessions),3,45-41,,
1:55.0,,,45-41,,A. Horford misses 2-pt shot from 16 ft
1:54.0,Defensive rebound by J. Lamb,,45-41,,
1:46.0,,,45-41,,Violation by J. Crowder (kicked ball)
1:32.0,Turnover by M. Williams (lost ball),,45-41,,
1:16.0,,,45-41,,J. Brown misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by N. Batum,,45-41,,
1:06.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,48-41,,
0:53.0,Personal foul by J. Lamb (drawn by M. Smart),,48-41,,
0:53.0,M. Belinelli enters the game for J. Lamb,,48-41,,
0:46.0,,,48-41,,M. Smart misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by M. Williams,,48-41,,
0:20.0,M. Williams makes 2-pt shot from 10 ft (assist by M. Belinelli),2,50-41,,
0:18.0,,,50-41,,Boston full timeout
0:18.0,,,50-41,,A. Bradley enters the game for J. Brown
0:03.0,,,50-41,,Turnover by J. Crowder (back court)
0:03.0,Charlotte full timeout,,50-41,,
0:03.0,,,50-41,,J. Brown enters the game for A. Bradley
0:03.0,,,50-41,,J. Jerebko enters the game for I. Thomas
0:03.0,C. Zeller enters the game for M. Kidd-Gilchrist,,50-41,,
0:03.0,F. Kaminsky enters the game for M. Williams,,50-41,,
0:00.0,R. Sessions misses 2-pt shot from 8 ft,,50-41,,
0:00.0,Offensive rebound by Team,,50-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,C. Zeller makes 2-pt shot from 3 ft (assist by R. Sessions),2,52-41,,
11:27.0,,,52-41,,Turnover by A. Bradley (lost ball; steal by M. Kidd-Gilchrist)
11:11.0,R. Sessions misses 2-pt shot from 9 ft (block by A. Horford),,52-41,,
11:10.0,,,52-41,,Defensive rebound by I. Thomas
10:59.0,,,52-44,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford)
10:42.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,52-44,,
10:40.0,,,52-44,,Defensive rebound by A. Horford
10:23.0,,,52-44,,A. Horford misses 2-pt shot from 10 ft
10:22.0,Defensive rebound by Team,,52-44,,
10:12.0,,,52-44,,Shooting block foul by J. Jerebko (drawn by N. Batum)
10:12.0,N. Batum makes free throw 1 of 2,1,53-44,,
10:12.0,N. Batum makes free throw 2 of 2,1,54-44,,
10:00.0,,,54-44,,A. Bradley misses 2-pt shot from 12 ft
9:59.0,Defensive rebound by M. Williams,,54-44,,
9:41.0,N. Batum misses 3-pt shot from 29 ft,,54-44,,
9:39.0,,,54-44,,Defensive rebound by J. Crowder
9:30.0,,,54-44,,Turnover by J. Crowder (bad pass; steal by N. Batum)
9:28.0,R. Sessions misses 2-pt shot from 1 ft,,54-44,,
9:27.0,Offensive rebound by C. Zeller,,54-44,,
9:27.0,C. Zeller misses 2-pt shot from 1 ft,,54-44,,
9:26.0,,,54-44,,Defensive rebound by J. Crowder
9:20.0,,,54-46,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder)
9:04.0,,,54-46,,Personal foul by I. Thomas (drawn by N. Batum)
8:57.0,N. Batum misses 2-pt shot from 10 ft,,54-46,,
8:55.0,Offensive rebound by M. Williams,,54-46,,
8:39.0,M. Williams makes 2-pt shot from 3 ft,2,56-46,,
8:35.0,,,56-46,,Turnover by A. Horford (lost ball; steal by C. Zeller)
8:25.0,Shooting foul by J. Jerebko (drawn by N. Batum),,56-46,,
8:25.0,N. Batum makes free throw 1 of 2,1,57-46,,
8:25.0,N. Batum makes free throw 2 of 2,1,58-46,,
8:05.0,,,58-48,2,I. Thomas makes 2-pt shot from 4 ft (assist by A. Bradley)
7:45.0,N. Batum makes 2-pt shot from 13 ft,2,60-48,,
7:31.0,,,60-50,2,A. Bradley makes 2-pt shot from 16 ft (assist by J. Jerebko)
7:12.0,N. Batum misses 2-pt shot from 6 ft,,60-50,,
7:10.0,,,60-50,,Defensive rebound by J. Jerebko
7:01.0,,,60-52,2,A. Horford makes 2-pt shot from 21 ft (assist by J. Jerebko)
7:01.0,Charlotte full timeout,,60-52,,
6:49.0,M. Williams misses 2-pt shot from 18 ft,,60-52,,
6:48.0,Offensive rebound by C. Zeller,,60-52,,
6:44.0,Turnover by N. Batum (bad pass; steal by J. Jerebko),,60-52,,
6:25.0,,,60-54,2,I. Thomas makes 2-pt shot from 3 ft
6:09.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Jerebko),,60-54,,
6:02.0,,,60-57,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
5:39.0,R. Sessions misses 2-pt shot from 16 ft,,60-57,,
5:38.0,Offensive rebound by M. Williams,,60-57,,
5:37.0,M. Williams misses 2-pt shot from 8 ft (block by A. Horford),,60-57,,
5:36.0,Offensive rebound by Team,,60-57,,
5:29.0,N. Batum misses 3-pt shot from 25 ft,,60-57,,
5:28.0,,,60-57,,Defensive rebound by J. Crowder
5:20.0,,,60-57,,A. Bradley misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by R. Sessions,,60-57,,
5:14.0,Shooting foul by J. Crowder (drawn by N. Batum),,60-57,,
5:14.0,N. Batum makes free throw 1 of 2,1,61-57,,
5:14.0,N. Batum makes free throw 2 of 2,1,62-57,,
5:07.0,Personal foul by R. Sessions (drawn by I. Thomas),,62-57,,
4:56.0,,,62-59,2,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas)
4:42.0,M. Williams misses 2-pt shot from 3 ft,,62-59,,
4:42.0,Offensive rebound by R. Sessions,,62-59,,
4:42.0,R. Sessions misses 2-pt shot from 1 ft (block by A. Horford),,62-59,,
4:42.0,Offensive rebound by Team,,62-59,,
4:42.0,F. Kaminsky enters the game for M. Williams,,62-59,,
4:42.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,62-59,,
4:42.0,,,62-59,,K. Olynyk enters the game for J. Jerebko
4:31.0,M. Belinelli misses 3-pt shot from 26 ft,,62-59,,
4:23.0,,,62-59,,Defensive rebound by A. Horford
4:18.0,,,62-59,,A. Bradley misses 2-pt shot from 3 ft (block by C. Zeller)
4:17.0,,,62-59,,Offensive rebound by A. Horford
4:16.0,,,62-59,,A. Horford misses 2-pt shot from 1 ft (block by C. Zeller)
4:15.0,Defensive rebound by R. Sessions,,62-59,,
4:12.0,Offensive foul by C. Zeller,,62-59,,
4:12.0,Turnover by C. Zeller (offensive foul),,62-59,,
4:12.0,,,62-59,,M. Smart enters the game for I. Thomas
3:57.0,,,62-62,3,K. Olynyk makes 3-pt shot from 23 ft (assist by A. Horford)
3:43.0,N. Batum misses 2-pt shot from 16 ft,,62-62,,
3:40.0,,,62-62,,Defensive rebound by K. Olynyk
3:25.0,,,62-62,,J. Crowder misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by N. Batum,,62-62,,
3:14.0,Turnover by N. Batum (bad pass; steal by K. Olynyk),,62-62,,
3:04.0,,,62-64,2,A. Horford makes 2-pt shot from 5 ft (assist by J. Crowder)
2:57.0,Charlotte full timeout,,62-64,,
2:57.0,,,62-64,,Boston full timeout
2:57.0,S. Hawes enters the game for C. Zeller,,62-64,,
2:57.0,B. Roberts enters the game for R. Sessions,,62-64,,
2:49.0,S. Hawes makes 2-pt shot from 3 ft (assist by N. Batum),2,64-64,,
2:28.0,,,64-64,,Turnover by M. Smart (bad pass; steal by B. Roberts)
2:11.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Belinelli),3,67-64,,
1:46.0,,,67-64,,Shooting foul by S. Hawes (drawn by A. Horford)
1:46.0,,,67-65,1,A. Horford makes free throw 1 of 2
1:46.0,,,67-65,,A. Horford misses free throw 2 of 2
1:46.0,Defensive rebound by N. Batum,,67-65,,
1:46.0,,,67-65,,T. Rozier enters the game for A. Bradley
1:29.0,F. Kaminsky misses 2-pt shot from 6 ft,,67-65,,
1:28.0,,,67-65,,Defensive rebound by K. Olynyk
1:20.0,,,67-65,,Shooting foul by M. Belinelli (drawn by A. Horford)
1:20.0,,,67-65,,A. Horford misses free throw 1 of 2
1:20.0,,,67-65,,Offensive rebound by Team
1:20.0,,,67-66,1,A. Horford makes free throw 2 of 2
1:00.0,S. Hawes misses 3-pt shot from 25 ft,,67-66,,
1:00.0,,,67-66,,Defensive rebound by M. Smart
0:40.0,,,67-69,3,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Horford)
0:32.0,,,67-69,,Personal foul by T. Rozier (drawn by B. Roberts)
0:32.0,B. Roberts makes free throw 1 of 2,1,68-69,,
0:32.0,B. Roberts makes free throw 2 of 2,1,69-69,,
0:32.0,,,68-69,,A. Johnson enters the game for A. Horford
0:07.0,,,69-69,,K. Olynyk misses 2-pt shot from 10 ft
0:06.0,Defensive rebound by N. Batum,,69-69,,
0:01.0,F. Kaminsky misses 3-pt shot from 27 ft,,69-69,,
0:00.0,Offensive rebound by Team,,69-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-69,,I. Thomas misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by J. Lamb,,69-69,,
11:26.0,M. Belinelli misses 2-pt shot from 16 ft,,69-69,,
11:24.0,,,69-69,,Defensive rebound by A. Johnson
11:12.0,,,69-69,,T. Rozier misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by S. Hawes,,69-69,,
10:57.0,J. Lamb misses 2-pt shot from 2 ft,,69-69,,
10:57.0,Offensive rebound by J. Lamb,,69-69,,
10:48.0,F. Kaminsky misses 3-pt shot from 27 ft,,69-69,,
10:47.0,,,69-69,,Defensive rebound by Team
10:47.0,Personal foul by J. Lamb (drawn by I. Thomas),,69-69,,
10:31.0,,,69-69,,Shooting foul by M. Belinelli (drawn by M. Smart)
10:31.0,,,69-71,2,M. Smart makes 2-pt shot from 10 ft
10:31.0,,,69-72,1,M. Smart makes free throw 1 of 1
10:11.0,B. Roberts misses 2-pt shot from 15 ft,,69-72,,
10:10.0,,,69-72,,Defensive rebound by T. Rozier
10:02.0,,,69-72,,Turnover by I. Thomas (step out of bounds)
9:51.0,J. Lamb misses 3-pt shot from 26 ft,,69-72,,
9:50.0,,,69-72,,Defensive rebound by T. Rozier
9:38.0,,,69-74,2,A. Johnson makes 2-pt shot from 5 ft (assist by K. Olynyk)
9:38.0,Charlotte full timeout,,69-74,,
9:27.0,M. Belinelli makes 2-pt shot from 23 ft (assist by B. Roberts),2,71-74,,
9:14.0,,,71-74,,Shooting foul by J. Lamb (drawn by A. Johnson)
9:14.0,,,71-74,,A. Johnson misses free throw 1 of 2
9:14.0,,,71-74,,Offensive rebound by Team
9:14.0,,,71-75,1,A. Johnson makes free throw 2 of 2
8:56.0,Shooting foul by K. Olynyk (drawn by S. Hawes),,71-75,,
8:56.0,S. Hawes misses free throw 1 of 2,,71-75,,
8:56.0,Offensive rebound by Team,,71-75,,
8:56.0,S. Hawes makes free throw 2 of 2,1,72-75,,
8:56.0,,,71-75,,A. Bradley enters the game for T. Rozier
8:42.0,,,72-77,2,A. Bradley makes 2-pt shot from 7 ft (assist by M. Smart)
8:21.0,B. Roberts misses 2-pt shot from 8 ft,,72-77,,
8:20.0,,,72-77,,Defensive rebound by A. Johnson
8:14.0,,,72-77,,I. Thomas misses 3-pt shot from 27 ft
8:13.0,Defensive rebound by F. Kaminsky,,72-77,,
8:04.0,,,72-77,,Personal foul by A. Johnson (drawn by J. Lamb)
8:04.0,M. Williams enters the game for F. Kaminsky,,72-77,,
8:04.0,R. Sessions enters the game for B. Roberts,,72-77,,
8:04.0,C. Zeller enters the game for S. Hawes,,72-77,,
7:50.0,M. Belinelli makes 3-pt shot from 27 ft (assist by M. Williams),3,75-77,,
7:33.0,,,75-77,,A. Bradley misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by J. Lamb,,75-77,,
7:17.0,M. Belinelli misses 3-pt shot from 25 ft,,75-77,,
7:16.0,,,75-77,,Defensive rebound by M. Smart
7:13.0,,,75-77,,A. Horford enters the game for K. Olynyk
7:13.0,N. Batum enters the game for J. Lamb,,75-77,,
7:12.0,Jump ball: A. Johnson vs. C. Zeller (N. Batum gains possession),,,,Jump ball: A. Johnson vs. C. Zeller (N. Batum gains possession)
7:12.0,,,75-77,,Turnover by M. Smart (bad pass)
7:05.0,N. Batum makes 2-pt shot from 3 ft,2,77-77,,
6:43.0,,,77-77,,M. Smart misses 2-pt shot from 9 ft
