time,Orlando,pts.away,score,pts.home,Philadelphia
5:49.0,Defensive rebound by S. Ibaka,,7-9,,
5:40.0,D. Augustin misses 2-pt shot from 14 ft (block by S. Rodriguez),,7-9,,
5:39.0,,,7-9,,Defensive rebound by J. Okafor
5:31.0,,,7-9,,Turnover by S. Rodriguez (bad pass; steal by E. Fournier)
5:27.0,Shooting foul by E. Ilyasova (drawn by E. Fournier),,7-9,,
5:27.0,,,7-9,,Philadelphia full timeout
5:27.0,E. Fournier misses free throw 1 of 2,,7-9,,
5:27.0,Offensive rebound by Team,,7-9,,
5:27.0,E. Fournier makes free throw 2 of 2,1,8-9,,
5:27.0,,,7-9,,T. McConnell enters the game for E. Ilyasova
5:27.0,,,7-9,,D. Saric enters the game for G. Henderson
5:27.0,,,7-9,,H. Thompson enters the game for S. Rodriguez
5:11.0,,,8-9,,J. Okafor misses 2-pt shot from 10 ft
5:09.0,Defensive rebound by D. Augustin,,8-9,,
5:07.0,,,8-9,,Personal foul by H. Thompson (drawn by D. Augustin)
4:51.0,A. Gordon makes 2-pt shot from 14 ft,2,10-9,,
4:31.0,,,10-9,,Turnover by J. Okafor (lost ball; steal by N. Vucevic)
4:25.0,A. Gordon makes 2-pt shot from 1 ft,2,12-9,,
4:13.0,,,12-9,,T. McConnell misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by N. Vucevic,,12-9,,
3:54.0,N. Vucevic misses 2-pt shot from 2 ft,,12-9,,
3:51.0,,,12-9,,Defensive rebound by T. McConnell
3:30.0,,,12-9,,H. Thompson misses 2-pt shot from 2 ft (block by S. Ibaka)
3:28.0,Defensive rebound by N. Vucevic,,12-9,,
3:23.0,A. Gordon misses 2-pt shot from 3 ft (block by J. Okafor),,12-9,,
3:22.0,Offensive rebound by Team,,12-9,,
3:22.0,E. Payton enters the game for D. Augustin,,12-9,,
3:22.0,,,12-9,,J. Embiid enters the game for J. Okafor
3:22.0,Orlando full timeout,,12-9,,
3:06.0,S. Ibaka misses 3-pt shot from 25 ft,,12-9,,
3:05.0,Offensive rebound by Team,,12-9,,
3:05.0,Turnover by Team (shot clock),,12-9,,
2:58.0,Personal foul by S. Ibaka (drawn by J. Embiid),,12-9,,
2:47.0,Personal foul by N. Vucevic (drawn by J. Embiid),,12-9,,
2:40.0,,,12-9,,J. Embiid misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by N. Vucevic,,12-9,,
2:28.0,S. Ibaka makes 2-pt shot from 11 ft (assist by N. Vucevic),2,14-9,,
2:07.0,,,14-9,,T. McConnell misses 2-pt shot from 5 ft
2:06.0,Defensive rebound by Team,,14-9,,
2:06.0,,,14-9,,Loose ball foul by T. McConnell (drawn by S. Ibaka)
2:06.0,S. Ibaka misses free throw 1 of 2,,14-9,,
2:06.0,Offensive rebound by Team,,14-9,,
2:06.0,S. Ibaka makes free throw 2 of 2,1,15-9,,
1:54.0,J. Green enters the game for S. Ibaka,,15-9,,
1:43.0,,,15-9,,T. McConnell misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by J. Green,,15-9,,
1:35.0,J. Green misses 2-pt shot from 2 ft,,15-9,,
1:33.0,,,15-9,,Defensive rebound by N. Stauskas
1:26.0,,,15-9,,J. Embiid misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by A. Gordon,,15-9,,
1:17.0,A. Gordon makes 2-pt shot from 16 ft (assist by N. Vucevic),2,17-9,,
1:05.0,,,17-9,,D. Saric misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by N. Vucevic,,17-9,,
0:56.0,J. Green misses 2-pt shot from 3 ft,,17-9,,
0:56.0,Offensive rebound by J. Green,,17-9,,
0:56.0,J. Green makes 2-pt shot from 3 ft,2,19-9,,
0:43.0,,,19-12,3,J. Embiid makes 3-pt shot from 24 ft (assist by T. McConnell)
0:23.0,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Fournier),2,21-12,,
0:07.0,Personal foul by E. Payton (drawn by T. McConnell),,21-12,,
0:02.0,,,21-14,2,T. McConnell makes 2-pt shot from 2 ft (assist by J. Embiid)
0:00.0,J. Green misses 3-pt shot from 45 ft,,21-14,,
0:00.0,Offensive rebound by Team,,21-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-14,,Personal foul by T. McConnell (drawn by E. Payton)
11:49.0,,,21-14,,J. Embiid enters the game for D. Saric
11:43.0,N. Vucevic misses 2-pt shot from 17 ft,,21-14,,
11:42.0,,,21-14,,Defensive rebound by T. McConnell
11:33.0,Personal foul by N. Vucevic (drawn by J. Embiid),,21-14,,
11:20.0,,,21-17,3,J. Embiid makes 3-pt shot from 26 ft (assist by N. Stauskas)
11:06.0,Shooting foul by J. Okafor (drawn by B. Biyombo),,21-17,,
11:06.0,B. Biyombo makes free throw 1 of 2,1,22-17,,
11:06.0,B. Biyombo makes free throw 2 of 2,1,23-17,,
10:54.0,,,23-19,2,J. Okafor makes 2-pt shot from 2 ft (assist by J. Embiid)
10:39.0,J. Green misses 2-pt shot from 2 ft,,23-19,,
10:37.0,,,23-19,,Defensive rebound by J. Okafor
10:25.0,,,23-21,2,J. Embiid makes 2-pt shot from 10 ft
10:13.0,Shooting foul by T. McConnell (drawn by E. Payton),,23-21,,
10:13.0,E. Payton misses free throw 1 of 2,,23-21,,
10:13.0,Offensive rebound by Team,,23-21,,
10:13.0,E. Payton misses free throw 2 of 2,,23-21,,
10:13.0,,,23-21,,S. Rodriguez enters the game for T. McConnell
10:12.0,,,23-21,,Defensive rebound by J. Okafor
9:59.0,,,23-21,,N. Stauskas misses 2-pt shot from 1 ft
9:54.0,Defensive rebound by J. Meeks,,23-21,,
9:49.0,J. Green misses 3-pt shot from 24 ft,,23-21,,
9:47.0,,,23-21,,Defensive rebound by S. Rodriguez
9:41.0,,,23-21,,H. Thompson misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by N. Vucevic,,23-21,,
9:34.0,J. Green makes 2-pt shot at rim (assist by E. Payton),2,25-21,,
9:34.0,,,25-21,,Philadelphia full timeout
9:34.0,,,25-21,,G. Henderson enters the game for N. Stauskas
9:34.0,,,25-21,,R. Covington enters the game for H. Thompson
9:20.0,,,25-21,,R. Covington misses 3-pt shot from 26 ft
9:18.0,,,25-21,,Offensive rebound by R. Covington
9:04.0,,,25-23,2,J. Okafor makes 2-pt shot at rim (assist by S. Rodriguez)
8:48.0,J. Meeks makes 3-pt shot from 25 ft (assist by J. Green),3,28-23,,
8:35.0,,,28-23,,G. Henderson misses 2-pt shot from 20 ft
8:35.0,Defensive rebound by Team,,28-23,,
8:14.0,,,28-23,,Personal block foul by G. Henderson (drawn by J. Meeks)
8:09.0,J. Meeks misses 2-pt shot from 11 ft,,28-23,,
8:07.0,,,28-23,,Defensive rebound by J. Okafor
7:53.0,,,28-23,,J. Embiid misses 2-pt shot from 10 ft
7:51.0,Defensive rebound by J. Green,,28-23,,
7:36.0,N. Vucevic misses 2-pt shot from 18 ft,,28-23,,
7:35.0,,,28-23,,Defensive rebound by J. Embiid
7:23.0,,,28-23,,S. Rodriguez misses 2-pt shot from 21 ft
7:21.0,,,28-23,,Offensive rebound by Team
7:10.0,,,28-26,3,J. Embiid makes 3-pt shot from 25 ft (assist by S. Rodriguez)
7:08.0,Orlando full timeout,,28-26,,
7:08.0,E. Fournier enters the game for J. Meeks,,28-26,,
7:08.0,S. Ibaka enters the game for N. Vucevic,,28-26,,
6:51.0,E. Payton misses 3-pt shot from 25 ft,,28-26,,
6:50.0,,,28-26,,Defensive rebound by J. Embiid
6:36.0,,,28-26,,Turnover by J. Okafor (lost ball; steal by E. Payton)
6:30.0,E. Payton makes 2-pt shot from 2 ft,2,30-26,,
6:20.0,Personal foul by S. Ibaka (drawn by J. Okafor),,30-26,,
6:20.0,,,30-26,,E. Ilyasova enters the game for J. Embiid
6:09.0,,,30-26,,R. Covington misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by E. Fournier,,30-26,,
5:56.0,S. Ibaka makes 2-pt shot from 16 ft,2,32-26,,
5:29.0,,,32-26,,S. Rodriguez misses 2-pt shot from 10 ft
5:27.0,Defensive rebound by J. Green,,32-26,,
5:19.0,S. Ibaka misses 3-pt shot from 28 ft,,32-26,,
5:18.0,,,32-26,,Defensive rebound by R. Covington
5:12.0,,,32-29,3,R. Covington makes 3-pt shot from 25 ft (assist by S. Rodriguez)
4:48.0,S. Ibaka makes 2-pt shot from 19 ft (assist by B. Biyombo),2,34-29,,
4:33.0,,,34-31,2,G. Henderson makes 2-pt shot from 11 ft
4:17.0,J. Green makes 3-pt shot from 25 ft (assist by E. Payton),3,37-31,,
4:06.0,,,37-31,,E. Ilyasova misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by E. Fournier,,37-31,,
3:59.0,Turnover by J. Green (traveling),,37-31,,
3:59.0,,,37-31,,R. Holmes enters the game for J. Okafor
3:59.0,A. Gordon enters the game for E. Payton,,37-31,,
3:59.0,D. Augustin enters the game for J. Green,,37-31,,
3:47.0,,,37-34,3,G. Henderson makes 3-pt shot from 25 ft (assist by R. Covington)
3:38.0,,,37-34,,Personal foul by G. Henderson (drawn by E. Fournier)
3:38.0,E. Fournier makes free throw 1 of 2,1,38-34,,
3:38.0,E. Fournier makes free throw 2 of 2,1,39-34,,
3:28.0,,,39-36,2,R. Holmes makes 2-pt shot at rim (assist by E. Ilyasova)
3:04.0,A. Gordon makes 2-pt shot from 16 ft,2,41-36,,
2:55.0,Personal foul by E. Fournier (drawn by R. Covington),,41-36,,
2:55.0,Official timeout,,41-36,,
2:44.0,,,41-36,,R. Covington misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by Team,,41-36,,
2:42.0,,,41-36,,N. Stauskas enters the game for G. Henderson
2:28.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,43-36,,
2:04.0,,,43-38,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Rodriguez)
1:50.0,N. Vucevic enters the game for B. Biyombo,,43-38,,
1:42.0,E. Fournier misses 2-pt shot from 17 ft,,43-38,,
1:40.0,,,43-38,,Defensive rebound by R. Covington
1:25.0,,,43-38,,Shooting foul by S. Ibaka (drawn by E. Ilyasova)
1:25.0,,,43-38,,E. Ilyasova misses free throw 1 of 2
1:25.0,,,43-38,,Offensive rebound by Team
1:25.0,,,43-39,1,E. Ilyasova makes free throw 2 of 2
1:25.0,J. Green enters the game for S. Ibaka,,43-38,,
1:25.0,,,43-38,,H. Thompson enters the game for R. Covington
1:16.0,Shooting foul by R. Holmes (drawn by E. Fournier),,43-39,,
1:16.0,E. Fournier makes free throw 1 of 2,1,44-39,,
1:16.0,E. Fournier makes free throw 2 of 2,1,45-39,,
1:16.0,B. Biyombo enters the game for N. Vucevic,,44-39,,
1:03.0,,,45-39,,Turnover by N. Stauskas (step out of bounds)
0:44.0,J. Green makes 3-pt shot from 24 ft,3,48-39,,
0:35.0,,,48-42,3,S. Rodriguez makes 3-pt shot from 24 ft
0:22.0,A. Gordon misses 3-pt shot from 23 ft,,48-42,,
0:21.0,Offensive rebound by B. Biyombo,,48-42,,
0:02.0,E. Fournier makes 2-pt shot from 2 ft,2,50-42,,
0:00.0,,,50-42,,R. Holmes misses 3-pt shot from 44 ft
0:00.0,,,50-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,E. Fournier misses 3-pt shot from 26 ft,,50-42,,
11:42.0,,,50-42,,Defensive rebound by G. Henderson
11:30.0,,,50-44,2,J. Embiid makes 2-pt shot from 15 ft
11:12.0,D. Augustin makes 3-pt shot from 25 ft (assist by S. Ibaka),3,53-44,,
10:57.0,,,53-44,,S. Rodriguez misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by B. Biyombo,,53-44,,
10:38.0,S. Ibaka misses 2-pt shot from 12 ft,,53-44,,
10:36.0,,,53-44,,Defensive rebound by J. Embiid
10:27.0,,,53-44,,J. Embiid misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by D. Augustin,,53-44,,
10:04.0,S. Ibaka misses 3-pt shot from 27 ft,,53-44,,
10:02.0,,,53-44,,Defensive rebound by S. Rodriguez
9:57.0,,,53-44,,E. Ilyasova misses 2-pt shot from 1 ft
9:56.0,,,53-44,,Offensive rebound by E. Ilyasova
9:56.0,,,53-44,,Shooting foul by D. Augustin (drawn by E. Ilyasova)
9:56.0,,,53-44,,E. Ilyasova misses free throw 1 of 2
9:56.0,,,53-44,,Offensive rebound by Team
9:56.0,,,53-45,1,E. Ilyasova makes free throw 2 of 2
9:48.0,Turnover by B. Biyombo (traveling),,53-45,,
9:40.0,,,53-48,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by S. Rodriguez)
9:20.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. Augustin),3,56-48,,
9:09.0,,,56-48,,E. Ilyasova misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by B. Biyombo,,56-48,,
8:58.0,Shooting foul by G. Henderson (drawn by E. Fournier),,56-48,,
8:58.0,E. Fournier makes free throw 1 of 2,1,57-48,,
8:58.0,E. Fournier makes free throw 2 of 2,1,58-48,,
8:46.0,,,58-48,,J. Embiid misses 2-pt shot from 15 ft
8:45.0,Defensive rebound by B. Biyombo,,58-48,,
8:34.0,Shooting foul by J. Embiid (drawn by S. Ibaka),,58-48,,
8:34.0,S. Ibaka makes free throw 1 of 2,1,59-48,,
8:34.0,S. Ibaka makes free throw 2 of 2,1,60-48,,
8:24.0,,,60-48,,E. Ilyasova misses 3-pt shot from 28 ft
8:22.0,Defensive rebound by E. Fournier,,60-48,,
8:15.0,E. Fournier makes 3-pt shot from 25 ft,3,63-48,,
8:13.0,,,63-48,,Philadelphia full timeout
8:02.0,,,63-48,,G. Henderson misses 2-pt shot from 14 ft
8:01.0,,,63-48,,Offensive rebound by J. Embiid
7:59.0,,,63-50,2,J. Embiid makes 2-pt shot from 5 ft
7:42.0,Turnover by E. Fournier (bad pass; steal by R. Covington),,63-50,,
7:33.0,,,63-50,,Shooting foul by D. Augustin (drawn by S. Rodriguez)
7:33.0,,,63-52,2,S. Rodriguez makes 2-pt shot from 7 ft
7:33.0,,,63-53,1,S. Rodriguez makes free throw 1 of 1
7:33.0,,,63-52,,D. Saric enters the game for E. Ilyasova
7:09.0,D. Augustin misses 2-pt shot from 18 ft,,63-53,,
7:08.0,Offensive rebound by Team,,63-53,,
7:08.0,Turnover by Team (shot clock),,63-53,,
6:56.0,Personal foul by B. Biyombo (drawn by J. Embiid),,63-53,,
6:56.0,N. Vucevic enters the game for B. Biyombo,,63-53,,
6:47.0,,,63-53,,J. Embiid misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by N. Vucevic,,63-53,,
6:35.0,A. Gordon misses 2-pt shot from 18 ft,,63-53,,
6:34.0,,,63-53,,Defensive rebound by J. Embiid
6:22.0,,,63-53,,J. Embiid misses 2-pt shot from 12 ft
6:21.0,,,63-53,,Offensive rebound by R. Covington
6:20.0,,,63-53,,R. Covington misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by S. Ibaka,,63-53,,
6:04.0,S. Ibaka misses 2-pt shot from 5 ft,,63-53,,
6:03.0,,,63-53,,Defensive rebound by R. Covington
5:56.0,,,63-55,2,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
5:56.0,Orlando full timeout,,63-55,,
5:56.0,,,63-55,,J. Okafor enters the game for J. Embiid
5:39.0,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic),2,65-55,,
5:25.0,,,65-55,,Turnover by S. Rodriguez (bad pass; steal by E. Fournier)
5:21.0,E. Fournier misses 2-pt shot from 1 ft,,65-55,,
5:19.0,Offensive rebound by S. Ibaka,,65-55,,
5:18.0,S. Ibaka makes 2-pt shot from 2 ft,2,67-55,,
5:03.0,,,67-55,,S. Rodriguez misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by N. Vucevic,,67-55,,
4:49.0,D. Augustin makes 3-pt shot from 26 ft (assist by N. Vucevic),3,70-55,,
4:25.0,,,70-57,2,J. Okafor makes 2-pt shot from 12 ft (assist by S. Rodriguez)
3:59.0,D. Augustin makes 3-pt shot from 27 ft (assist by N. Vucevic),3,73-57,,
3:42.0,,,73-57,,S. Rodriguez misses 2-pt shot from 2 ft (block by N. Vucevic)
3:40.0,Defensive rebound by N. Vucevic,,73-57,,
3:35.0,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin),3,76-57,,
3:34.0,,,76-57,,Philadelphia full timeout
3:34.0,,,76-57,,T. McConnell enters the game for S. Rodriguez
3:34.0,,,76-57,,N. Stauskas enters the game for G. Henderson
3:34.0,E. Payton enters the game for E. Fournier,,76-57,,
3:34.0,,,76-57,,H. Thompson enters the game for R. Covington
3:20.0,,,76-57,,D. Saric misses 2-pt shot from 18 ft
3:18.0,,,76-57,,Offensive rebound by J. Okafor
3:10.0,,,76-57,,Turnover by D. Saric (lost ball; steal by S. Ibaka)
2:57.0,A. Gordon misses 3-pt shot from 27 ft,,76-57,,
2:55.0,,,76-57,,Defensive rebound by Team
2:45.0,,,76-59,2,J. Okafor makes 2-pt shot from 2 ft (assist by N. Stauskas)
2:45.0,,,76-59,,Shooting foul by E. Payton (drawn by J. Okafor)
2:45.0,,,76-59,,J. Okafor misses free throw 1 of 1
2:45.0,Defensive rebound by J. Green,,76-59,,
2:45.0,E. Fournier enters the game for D. Augustin,,76-59,,
2:45.0,B. Biyombo enters the game for S. Ibaka,,76-59,,
2:45.0,J. Green enters the game for A. Gordon,,76-59,,
2:18.0,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier),2,78-59,,
2:08.0,,,78-59,,T. McConnell misses 3-pt shot from 27 ft
2:07.0,Defensive rebound by N. Vucevic,,78-59,,
1:54.0,J. Green misses 2-pt shot from 12 ft,,78-59,,
1:53.0,,,78-59,,Defensive rebound by H. Thompson
1:34.0,,,78-59,,N. Stauskas misses 2-pt shot from 10 ft
1:33.0,Defensive rebound by J. Green,,78-59,,
1:22.0,N. Vucevic misses 2-pt shot from 12 ft,,78-59,,
1:20.0,,,78-59,,Defensive rebound by J. Okafor
1:02.0,,,78-59,,N. Stauskas misses 3-pt shot from 26 ft
1:01.0,,,78-59,,Offensive rebound by J. Okafor
0:59.0,,,78-61,2,J. Okafor makes 2-pt shot from 3 ft
0:45.0,E. Fournier makes 2-pt shot from 11 ft,2,80-61,,
0:24.0,,,80-61,,H. Thompson misses 2-pt shot from 14 ft
0:23.0,Defensive rebound by N. Vucevic,,80-61,,
0:17.0,E. Fournier makes 2-pt shot from 2 ft (assist by B. Biyombo),2,82-61,,
0:03.0,,,82-61,,D. Saric misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by B. Biyombo,,82-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,82-61,,D. Saric misses 3-pt shot from 26 ft
11:42.0,,,82-61,,Offensive rebound by H. Thompson
11:29.0,,,82-61,,Turnover by D. Saric (traveling)
11:09.0,Shooting foul by J. Embiid (drawn by J. Meeks),,82-61,,
11:09.0,J. Meeks makes free throw 1 of 2,1,83-61,,
11:09.0,J. Meeks makes free throw 2 of 2,1,84-61,,
11:09.0,,,83-61,,J. Okafor enters the game for D. Saric
10:45.0,,,84-63,2,H. Thompson makes 2-pt shot from 12 ft (assist by T. McConnell)
10:27.0,J. Green makes 2-pt shot from 14 ft,2,86-63,,
10:01.0,,,86-63,,N. Stauskas misses 2-pt shot from 16 ft
9:59.0,,,86-63,,Offensive rebound by J. Okafor
9:53.0,,,86-63,,H. Thompson misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by B. Biyombo,,86-63,,
9:33.0,N. Vucevic makes 3-pt shot from 27 ft (assist by J. Green),3,89-63,,
9:21.0,,,89-63,,Turnover by N. Stauskas (lost ball; steal by J. Meeks)
9:17.0,J. Meeks makes 3-pt shot from 24 ft,3,92-63,,
9:16.0,,,92-63,,Philadelphia full timeout
9:16.0,,,92-63,,R. Covington enters the game for N. Stauskas
9:07.0,,,92-65,2,T. McConnell makes 2-pt shot from 2 ft
8:41.0,J. Green misses 2-pt shot from 17 ft,,92-65,,
8:40.0,Offensive rebound by B. Biyombo,,92-65,,
8:39.0,Shooting foul by J. Embiid (drawn by B. Biyombo),,92-65,,
8:39.0,B. Biyombo misses free throw 1 of 2,,92-65,,
8:39.0,Offensive rebound by Team,,92-65,,
8:39.0,B. Biyombo misses free throw 2 of 2,,92-65,,
8:39.0,,,92-65,,Defensive rebound by J. Embiid
8:29.0,,,92-68,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
8:07.0,N. Vucevic makes 3-pt shot from 27 ft (assist by E. Payton),3,95-68,,
7:55.0,,,95-70,2,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell)
7:45.0,Jump ball: J. Meeks vs. H. Thompson (T. McConnell gains possession),,,,Jump ball: J. Meeks vs. H. Thompson (T. McConnell gains possession)
7:45.0,Turnover by J. Meeks (lost ball; steal by H. Thompson),,95-70,,
7:30.0,,,95-70,,R. Covington misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by B. Biyombo,,95-70,,
7:09.0,Offensive charge foul by J. Green,,95-70,,
7:09.0,Turnover by J. Green (offensive foul),,95-70,,
6:51.0,,,95-70,,Shooting foul by E. Payton (drawn by J. Embiid)
6:51.0,,,95-72,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
6:51.0,,,95-73,1,J. Embiid makes free throw 1 of 1
6:29.0,Turnover by N. Vucevic (lost ball; steal by R. Covington),,95-73,,
6:22.0,,,95-73,,Turnover by J. Okafor (bad pass; steal by J. Meeks)
6:17.0,J. Meeks misses 2-pt shot from 3 ft (block by T. McConnell),,95-73,,
6:15.0,Offensive rebound by B. Biyombo,,95-73,,
6:13.0,J. Green makes 2-pt shot from 1 ft (assist by B. Biyombo),2,97-73,,
6:11.0,,,97-73,,Philadelphia full timeout
6:11.0,C. Watson enters the game for B. Biyombo,,97-73,,
6:11.0,,,97-73,,T. Luwawu-Cabarrot enters the game for R. Covington
5:48.0,,,97-73,,H. Thompson misses 3-pt shot from 28 ft
5:46.0,,,97-73,,Offensive rebound by J. Okafor
5:46.0,Loose ball foul by J. Green (drawn by J. Okafor),,97-73,,
5:46.0,,,97-73,,N. Stauskas enters the game for T. McConnell
5:38.0,,,97-75,2,J. Embiid makes 2-pt shot from 2 ft (assist by N. Stauskas)
5:38.0,,,97-75,,Shooting foul by E. Payton (drawn by J. Embiid)
5:38.0,,,97-76,1,J. Embiid makes free throw 1 of 1
5:18.0,N. Vucevic makes 2-pt shot from 12 ft (assist by J. Green),2,99-76,,
5:00.0,,,99-78,2,J. Okafor makes 2-pt shot from 2 ft (assist by N. Stauskas)
4:46.0,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton),2,101-78,,
4:35.0,Personal foul by N. Vucevic (drawn by J. Embiid),,101-78,,
4:21.0,,,101-78,,N. Stauskas misses 3-pt shot from 29 ft
4:19.0,,,101-78,,Offensive rebound by J. Okafor
4:18.0,,,101-80,2,J. Embiid makes 2-pt shot at rim (assist by H. Thompson)
3:57.0,Turnover by E. Payton (traveling),,101-80,,
3:50.0,,,101-80,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by E. Payton,,101-80,,
3:44.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Green),,101-80,,
