time,LA Lakers,pts.away,score,pts.home,Dallas
11:16.0,,,22-31,,P. Jackson misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by J. Clarkson,,22-31,,
11:10.0,B. Ingram misses 2-pt shot at rim (block by D. Nowitzki),,22-31,,
11:08.0,,,22-31,,Defensive rebound by P. Jackson
11:05.0,,,22-31,,Shooting foul by L. Williams (drawn by D. Harris)
11:05.0,,,22-32,1,D. Harris makes free throw 1 of 2
11:05.0,,,22-33,1,D. Harris makes free throw 2 of 2
10:47.0,L. Williams misses 2-pt shot from 13 ft,,22-33,,
10:46.0,,,22-33,,Defensive rebound by D. Powell
10:36.0,,,22-36,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by P. Jackson)
10:25.0,Turnover by B. Ingram (lost ball; steal by D. Powell),,22-36,,
10:24.0,Personal foul by L. Nance (drawn by P. Jackson),,22-36,,
10:24.0,LA Lakers full timeout,,22-36,,
10:23.0,J. Calderon enters the game for B. Ingram,,22-36,,
10:23.0,J. Randle enters the game for J. Clarkson,,22-36,,
10:23.0,T. Mozgov enters the game for I. Zubac,,22-36,,
10:23.0,L. Deng enters the game for L. Williams,,22-36,,
10:23.0,N. Young enters the game for L. Nance,,22-36,,
10:13.0,,,22-38,2,D. Harris makes 2-pt shot at rim
9:50.0,T. Mozgov misses 2-pt shot from 5 ft,,22-38,,
9:48.0,,,22-38,,Defensive rebound by D. Nowitzki
9:37.0,,,22-38,,D. Harris misses 3-pt shot from 25 ft
9:35.0,,,22-38,,Offensive rebound by D. Powell
9:32.0,,,22-38,,P. Jackson misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by T. Mozgov,,22-38,,
9:25.0,,,22-38,,Personal foul by P. Jackson (drawn by J. Calderon)
9:14.0,Shooting foul by D. Powell (drawn by J. Randle),,22-38,,
9:14.0,J. Randle misses free throw 1 of 2,,22-38,,
9:14.0,Offensive rebound by Team,,22-38,,
9:14.0,J. Randle makes free throw 2 of 2,1,23-38,,
9:14.0,,,22-38,,H. Barnes enters the game for D. Nowitzki
8:53.0,,,23-38,,H. Barnes misses 2-pt shot from 4 ft
8:51.0,Defensive rebound by J. Randle,,23-38,,
8:45.0,N. Young misses 3-pt shot from 24 ft,,23-38,,
8:43.0,,,23-38,,Defensive rebound by D. Harris
8:29.0,,,23-38,,H. Barnes misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by J. Calderon,,23-38,,
8:23.0,Turnover by T. Mozgov (3 sec),,23-38,,
8:06.0,,,23-38,,Shooting foul by T. Mozgov (drawn by D. Powell)
8:06.0,,,23-39,1,D. Powell makes free throw 1 of 2
8:06.0,,,23-40,1,D. Powell makes free throw 2 of 2
8:06.0,,,23-39,,S. Curry enters the game for D. Harris
7:51.0,N. Young misses 3-pt shot from 25 ft,,23-40,,
7:50.0,,,23-40,,Defensive rebound by D. Finney-Smith
7:41.0,,,23-40,,Offensive foul by D. Finney-Smith
7:41.0,,,23-40,,Turnover by D. Finney-Smith (offensive foul)
7:33.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Randle),2,25-40,,
7:32.0,,,25-40,,Dallas full timeout
7:19.0,,,25-43,3,P. Jackson makes 3-pt shot from 24 ft
7:02.0,J. Calderon misses 3-pt shot from 24 ft,,25-43,,
7:02.0,,,25-43,,Defensive rebound by D. Powell
6:45.0,,,25-43,,P. Jackson misses 2-pt shot from 18 ft
6:44.0,,,25-43,,Offensive rebound by D. Powell
6:41.0,,,25-43,,S. Curry misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by J. Randle,,25-43,,
6:34.0,Offensive foul by J. Randle,,25-43,,
6:34.0,Turnover by J. Randle (offensive foul),,25-43,,
6:34.0,,,25-43,,D. Williams enters the game for P. Jackson
6:34.0,,,25-43,,W. Matthews enters the game for D. Finney-Smith
6:24.0,Personal foul by T. Mozgov (drawn by W. Matthews),,25-43,,
6:08.0,,,25-45,2,D. Williams makes 2-pt shot from 21 ft (assist by H. Barnes)
5:53.0,,,25-45,,Shooting block foul by D. Powell (drawn by N. Young)
5:53.0,N. Young makes free throw 1 of 2,1,26-45,,
5:53.0,N. Young makes free throw 2 of 2,1,27-45,,
5:53.0,,,26-45,,S. Mejri enters the game for D. Powell
5:53.0,B. Ingram enters the game for T. Mozgov,,26-45,,
5:53.0,L. Williams enters the game for J. Calderon,,26-45,,
5:53.0,,,26-45,,D. Harris enters the game for S. Curry
5:32.0,,,27-48,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Harris)
5:13.0,N. Young makes 2-pt shot from 18 ft,2,29-48,,
5:01.0,,,29-48,,H. Barnes misses 2-pt shot from 7 ft (block by L. Deng)
4:59.0,,,29-48,,Offensive rebound by H. Barnes
4:46.0,,,29-50,2,D. Williams makes 2-pt shot from 7 ft (assist by W. Matthews)
4:23.0,B. Ingram misses 2-pt shot from 13 ft,,29-50,,
4:22.0,,,29-50,,Defensive rebound by S. Mejri
4:16.0,,,29-53,3,D. Williams makes 3-pt shot from 25 ft
4:16.0,LA Lakers full timeout,,29-53,,
4:16.0,I. Zubac enters the game for L. Deng,,29-53,,
4:16.0,J. Clarkson enters the game for J. Randle,,29-53,,
4:08.0,L. Williams misses 2-pt shot from 24 ft,,29-53,,
4:07.0,,,29-53,,Defensive rebound by S. Mejri
3:47.0,,,29-53,,W. Matthews misses 2-pt shot from 6 ft
3:46.0,,,29-53,,Offensive rebound by S. Mejri
3:31.0,,,29-56,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
3:19.0,,,29-56,,D. Nowitzki enters the game for S. Mejri
3:19.0,L. Nance enters the game for I. Zubac,,29-56,,
3:16.0,J. Clarkson misses 2-pt shot from 19 ft,,29-56,,
3:16.0,,,29-56,,Defensive rebound by D. Harris
2:56.0,,,29-56,,W. Matthews misses 3-pt shot from 24 ft
2:55.0,,,29-56,,Offensive rebound by Team
2:55.0,Official timeout,,29-56,,
2:55.0,,,29-56,,S. Curry enters the game for D. Harris
2:53.0,,,29-58,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams)
2:34.0,L. Williams makes 2-pt shot from 2 ft,2,31-58,,
2:20.0,,,31-58,,Shooting foul by B. Ingram (drawn by D. Nowitzki)
2:20.0,,,31-59,1,D. Nowitzki makes free throw 1 of 2
2:20.0,,,31-60,1,D. Nowitzki makes free throw 2 of 2
2:01.0,J. Clarkson misses 2-pt shot from 21 ft,,31-60,,
2:00.0,,,31-60,,Defensive rebound by D. Williams
1:43.0,,,31-60,,Turnover by H. Barnes (lost ball; steal by L. Williams)
1:34.0,N. Young misses 2-pt shot from 21 ft,,31-60,,
1:33.0,,,31-60,,Defensive rebound by D. Williams
1:17.0,,,31-60,,W. Matthews misses 3-pt shot from 27 ft
1:16.0,,,31-60,,Offensive rebound by W. Matthews
1:16.0,,,31-60,,Turnover by W. Matthews (step out of bounds)
1:16.0,,,31-60,,J. Anderson enters the game for W. Matthews
1:16.0,,,31-60,,D. Finney-Smith enters the game for H. Barnes
1:07.0,L. Nance makes 2-pt shot from 6 ft (assist by L. Williams),2,33-60,,
0:54.0,,,33-62,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Williams)
0:47.0,L. Williams misses 3-pt shot from 24 ft,,33-62,,
0:45.0,Offensive rebound by L. Nance,,33-62,,
0:43.0,Turnover by L. Nance (bad pass; steal by S. Curry),,33-62,,
0:37.0,,,33-65,3,S. Curry makes 3-pt shot from 26 ft
0:18.0,J. Clarkson misses 3-pt shot from 25 ft,,33-65,,
0:16.0,,,33-65,,Defensive rebound by J. Anderson
0:03.0,,,33-65,,Shooting foul by L. Williams (drawn by J. Anderson)
0:03.0,,,33-66,1,J. Anderson makes free throw 1 of 2
0:03.0,,,33-67,1,J. Anderson makes free throw 2 of 2
0:03.0,,,33-66,,D. Powell enters the game for D. Nowitzki
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,33-67,,D. Nowitzki misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by J. Randle,,33-67,,
11:29.0,T. Mozgov misses 2-pt shot from 6 ft,,33-67,,
11:28.0,,,33-67,,Defensive rebound by D. Nowitzki
11:17.0,,,33-67,,Turnover by S. Curry (palming)
11:03.0,B. Ingram makes 2-pt shot from 8 ft,2,35-67,,
11:03.0,Shooting foul by D. Williams (drawn by B. Ingram),,35-67,,
11:03.0,B. Ingram makes free throw 1 of 1,1,36-67,,
10:48.0,,,36-67,,D. Williams misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by N. Young,,36-67,,
10:25.0,B. Ingram misses 2-pt shot from 13 ft,,36-67,,
10:24.0,,,36-67,,Defensive rebound by H. Barnes
10:09.0,,,36-69,2,D. Williams makes 2-pt shot from 19 ft
9:54.0,N. Young misses 2-pt shot from 18 ft,,36-69,,
9:53.0,,,36-69,,Defensive rebound by D. Williams
9:33.0,,,36-69,,Turnover by D. Nowitzki (lost ball; steal by B. Ingram)
9:16.0,L. Deng makes 2-pt shot from 18 ft (assist by J. Randle),2,38-69,,
8:59.0,,,38-69,,H. Barnes misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by T. Mozgov,,38-69,,
8:48.0,N. Young misses 3-pt shot from 24 ft,,38-69,,
8:45.0,,,38-69,,Defensive rebound by D. Williams
8:28.0,,,38-69,,D. Finney-Smith misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by T. Mozgov,,38-69,,
8:16.0,Turnover by T. Mozgov (bad pass; steal by D. Nowitzki),,38-69,,
8:04.0,,,38-71,2,D. Williams makes 2-pt shot from 6 ft
7:40.0,L. Deng misses 3-pt shot from 25 ft,,38-71,,
7:39.0,,,38-71,,Defensive rebound by D. Finney-Smith
7:25.0,,,38-71,,D. Nowitzki misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by J. Randle,,38-71,,
7:18.0,,,38-71,,Personal foul by D. Nowitzki (drawn by T. Mozgov)
7:03.0,B. Ingram misses 3-pt shot from 23 ft,,38-71,,
7:02.0,Offensive rebound by T. Mozgov,,38-71,,
6:50.0,B. Ingram misses 3-pt shot from 23 ft,,38-71,,
6:50.0,,,38-71,,Defensive rebound by Team
6:50.0,Violation by Team (jump ball),,38-71,,
6:35.0,,,38-71,,H. Barnes misses 2-pt shot from 3 ft (block by L. Deng)
6:35.0,Defensive rebound by J. Randle,,38-71,,
6:30.0,Offensive foul by J. Randle,,38-71,,
6:30.0,Turnover by J. Randle (offensive foul),,38-71,,
6:13.0,,,38-74,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
5:57.0,L. Deng misses 2-pt shot from 20 ft,,38-74,,
5:56.0,,,38-74,,Defensive rebound by H. Barnes
5:43.0,,,38-74,,D. Nowitzki misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by L. Deng,,38-74,,
5:33.0,,,38-74,,Dallas full timeout
5:33.0,,,38-74,,S. Mejri enters the game for D. Nowitzki
5:33.0,J. Calderon enters the game for L. Deng,,38-74,,
5:30.0,T. Mozgov makes 2-pt shot from 17 ft (assist by J. Calderon),2,40-74,,
5:10.0,,,40-76,2,H. Barnes makes 2-pt shot from 16 ft
4:48.0,J. Calderon misses 2-pt shot from 14 ft,,40-76,,
4:46.0,Offensive rebound by T. Mozgov,,40-76,,
4:46.0,T. Mozgov misses 2-pt shot from 2 ft,,40-76,,
4:45.0,Offensive rebound by T. Mozgov,,40-76,,
4:45.0,,,40-76,,Loose ball foul by S. Mejri (drawn by T. Mozgov)
4:45.0,L. Nance enters the game for T. Mozgov,,40-76,,
4:35.0,J. Randle makes 2-pt shot from 7 ft,2,42-76,,
4:21.0,,,42-78,2,H. Barnes makes 2-pt shot from 16 ft (assist by D. Williams)
4:12.0,,,42-78,,Shooting block foul by S. Mejri (drawn by B. Ingram)
4:12.0,B. Ingram makes free throw 1 of 2,1,43-78,,
4:12.0,B. Ingram misses free throw 2 of 2,,43-78,,
4:11.0,,,43-78,,Defensive rebound by S. Mejri
3:51.0,,,43-80,2,S. Curry makes 2-pt shot from 17 ft
3:39.0,L. Nance makes 2-pt shot from 20 ft (assist by N. Young),2,45-80,,
3:19.0,,,45-80,,S. Curry misses 3-pt shot from 24 ft
3:18.0,,,45-80,,Offensive rebound by H. Barnes
3:06.0,,,45-80,,Turnover by S. Mejri (lost ball; steal by J. Randle)
3:00.0,J. Randle makes 2-pt shot at rim (assist by J. Calderon),2,47-80,,
2:37.0,,,47-80,,D. Williams misses 2-pt shot from 20 ft
2:36.0,,,47-80,,Offensive rebound by D. Finney-Smith
2:20.0,,,47-80,,Shooting foul by L. Nance (drawn by D. Finney-Smith)
2:20.0,LA Lakers full timeout,,47-80,,
2:20.0,,,47-81,1,D. Finney-Smith makes free throw 1 of 2
2:20.0,,,47-82,1,D. Finney-Smith makes free throw 2 of 2
2:20.0,,,47-80,,J. Anderson enters the game for H. Barnes
2:20.0,,,47-80,,D. Harris enters the game for D. Williams
2:20.0,J. Clarkson enters the game for J. Randle,,47-80,,
2:20.0,L. Williams enters the game for N. Young,,47-80,,
2:20.0,T. Black enters the game for B. Ingram,,47-80,,
2:03.0,J. Calderon makes 2-pt shot from 17 ft,2,49-82,,
1:45.0,,,49-84,2,J. Anderson makes 2-pt shot at rim (assist by S. Curry)
1:33.0,,,49-84,,Personal block foul by D. Harris
1:33.0,L. Williams makes free throw 1 of 2,1,50-84,,
1:33.0,L. Williams makes free throw 2 of 2,1,51-84,,
1:20.0,,,51-87,3,D. Harris makes 3-pt shot from 24 ft (assist by S. Curry)
1:10.0,J. Clarkson makes 2-pt shot from 18 ft,2,53-87,,
0:55.0,,,53-87,,Offensive foul by S. Mejri
0:55.0,,,53-87,,Turnover by S. Mejri (offensive foul)
0:42.0,,,53-87,,Personal block foul by J. Anderson
0:42.0,L. Williams makes free throw 1 of 2,1,54-87,,
0:42.0,L. Williams makes free throw 2 of 2,1,55-87,,
0:42.0,,,54-87,,P. Jackson enters the game for D. Harris
0:28.0,,,55-87,,D. Finney-Smith misses 3-pt shot from 22 ft (block by L. Nance)
0:27.0,,,55-87,,Offensive rebound by Team
0:27.0,,,55-87,,Dallas full timeout
0:27.0,,,55-87,,D. Powell enters the game for S. Mejri
0:19.0,,,55-90,3,J. Anderson makes 3-pt shot from 26 ft (assist by P. Jackson)
0:05.0,T. Black misses 2-pt shot from 7 ft,,55-90,,
0:03.0,,,55-90,,Defensive rebound by D. Finney-Smith
0:00.0,,,55-90,,D. Finney-Smith misses 3-pt shot from 58 ft
0:00.0,,,55-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Williams misses 3-pt shot from 24 ft,,55-90,,
11:46.0,,,55-90,,Defensive rebound by N. Brussino
11:26.0,,,55-93,3,N. Brussino makes 3-pt shot from 25 ft (assist by J. Anderson)
11:12.0,J. Clarkson makes 2-pt shot from 18 ft,2,57-93,,
10:51.0,,,57-95,2,P. Jackson makes 2-pt shot from 2 ft
10:40.0,L. Williams makes 2-pt shot from 1 ft,2,59-95,,
10:16.0,,,59-95,,Shooting foul by I. Zubac (drawn by J. Anderson)
10:16.0,,,59-96,1,J. Anderson makes free throw 1 of 2
10:16.0,,,59-97,1,J. Anderson makes free throw 2 of 2
10:01.0,J. Clarkson misses 2-pt shot from 11 ft,,59-97,,
10:00.0,,,59-97,,Defensive rebound by P. Jackson
9:55.0,,,59-97,,Shooting foul by T. Black (drawn by J. Anderson)
9:55.0,,,59-98,1,J. Anderson makes free throw 1 of 2
9:55.0,,,59-99,1,J. Anderson makes free throw 2 of 2
9:37.0,L. Williams misses 3-pt shot from 25 ft,,59-99,,
9:37.0,,,59-99,,Defensive rebound by Team
9:22.0,,,59-99,,Turnover by J. Anderson (bad pass)
9:22.0,,,59-99,,Dallas full timeout
9:22.0,B. Ingram enters the game for T. Black,,59-99,,
9:00.0,L. Williams misses 2-pt shot from 9 ft,,59-99,,
8:59.0,,,59-99,,Defensive rebound by J. Anderson
8:46.0,,,59-101,2,N. Brussino makes 2-pt shot from 20 ft
8:24.0,J. Calderon misses 3-pt shot from 25 ft,,59-101,,
8:23.0,Offensive rebound by Team,,59-101,,
8:16.0,L. Williams makes 3-pt shot from 23 ft (assist by I. Zubac),3,62-101,,
7:56.0,,,62-101,,J. Anderson misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by J. Calderon,,62-101,,
7:47.0,J. Clarkson misses 2-pt shot from 21 ft,,62-101,,
7:46.0,,,62-101,,Defensive rebound by J. Anderson
7:46.0,,,62-101,,Dallas full timeout
7:46.0,M. Huertas enters the game for J. Calderon,,62-101,,
7:28.0,,,62-104,3,N. Brussino makes 3-pt shot from 23 ft (assist by D. Powell)
7:11.0,Turnover by L. Williams (bad pass; steal by D. Finney-Smith),,62-104,,
6:56.0,,,62-104,,Turnover by J. Anderson (bad pass)
6:41.0,I. Zubac misses 2-pt shot from 7 ft,,62-104,,
6:40.0,,,62-104,,Defensive rebound by N. Brussino
6:30.0,,,62-104,,P. Jackson misses 2-pt shot from 2 ft
6:29.0,,,62-104,,Offensive rebound by D. Powell
6:25.0,,,62-107,3,J. Anderson makes 3-pt shot from 25 ft (assist by D. Powell)
6:11.0,Shooting foul by D. Powell,,62-107,,
6:11.0,L. Williams makes free throw 1 of 2,1,63-107,,
6:11.0,L. Williams makes free throw 2 of 2,1,64-107,,
6:00.0,,,64-107,,N. Brussino misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by I. Zubac,,64-107,,
5:49.0,L. Williams makes 2-pt shot from 20 ft,2,66-107,,
5:36.0,Personal foul by B. Ingram (drawn by J. Anderson),,66-107,,
5:36.0,T. Robinson enters the game for L. Williams,,66-107,,
5:28.0,,,66-110,3,J. Anderson makes 3-pt shot from 26 ft (assist by P. Jackson)
5:06.0,B. Ingram misses 2-pt shot from 5 ft (block by D. Powell),,66-110,,
5:05.0,,,66-110,,Defensive rebound by J. Anderson
5:02.0,,,66-112,2,D. Powell makes 2-pt shot at rim (assist by J. Anderson)
5:01.0,LA Lakers full timeout,,66-112,,
4:45.0,Turnover by I. Zubac (bad pass; steal by D. Powell),,66-112,,
4:35.0,,,66-112,,D. Powell misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by B. Ingram,,66-112,,
4:22.0,J. Clarkson makes 2-pt shot from 17 ft (assist by T. Robinson),2,68-112,,
4:06.0,,,68-115,3,D. Powell makes 3-pt shot from 25 ft (assist by P. Jackson)
3:51.0,Offensive foul by T. Robinson,,68-115,,
3:51.0,Turnover by T. Robinson (offensive foul),,68-115,,
3:44.0,,,68-117,2,P. Jackson makes 2-pt shot from 1 ft
3:44.0,,,68-117,,Shooting foul by T. Robinson (drawn by P. Jackson)
3:44.0,,,68-118,1,P. Jackson makes free throw 1 of 1
3:19.0,Turnover by M. Huertas (bad pass; steal by J. Anderson),,68-118,,
3:16.0,,,68-120,2,J. Anderson makes 2-pt shot at rim (assist by P. Jackson)
3:00.0,,,68-120,,Shooting block foul by D. Powell (drawn by M. Huertas)
3:00.0,M. Huertas misses free throw 1 of 2,,68-120,,
3:00.0,Offensive rebound by Team,,68-120,,
3:00.0,M. Huertas makes free throw 2 of 2,1,69-120,,
2:49.0,,,69-122,2,P. Jackson makes 2-pt shot from 1 ft
2:30.0,Offensive charge foul by B. Ingram,,69-122,,
2:30.0,Turnover by B. Ingram (offensive foul),,69-122,,
2:21.0,,,69-122,,J. Anderson misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by T. Robinson,,69-122,,
2:09.0,I. Zubac makes 2-pt shot from 12 ft,2,71-122,,
1:54.0,,,71-122,,Turnover by J. Anderson (traveling)
1:42.0,Turnover by T. Robinson (lost ball; steal by P. Jackson),,71-122,,
1:34.0,,,71-122,,P. Jackson misses 3-pt shot from 24 ft
1:33.0,,,71-122,,Offensive rebound by D. Finney-Smith
1:31.0,,,71-122,,J. Anderson misses 2-pt shot from 3 ft
1:30.0,,,71-122,,Offensive rebound by J. Anderson
1:29.0,,,71-122,,J. Anderson misses 2-pt shot from 3 ft
1:27.0,Defensive rebound by I. Zubac,,71-122,,
1:19.0,J. Clarkson misses 3-pt shot from 24 ft,,71-122,,
1:19.0,,,71-122,,Defensive rebound by D. Powell
0:59.0,,,71-122,,J. Anderson misses 2-pt shot from 6 ft
0:58.0,Defensive rebound by M. Huertas,,71-122,,
0:50.0,M. Huertas misses 2-pt shot from 7 ft,,71-122,,
0:49.0,,,71-122,,Defensive rebound by D. Powell
0:27.0,,,71-122,,J. Anderson misses 3-pt shot from 25 ft
