time,Memphis,pts.away,score,pts.home,Washington
11:01.0,Defensive rebound by A. Harrison,,27-32,,
10:53.0,Z. Randolph misses 2-pt shot from 1 ft,,27-32,,
10:52.0,,,27-32,,Defensive rebound by M. Morris
10:50.0,,,27-32,,Turnover by M. Morris (bad pass; steal by V. Carter)
10:44.0,M. Gasol misses 3-pt shot from 27 ft,,27-32,,
10:44.0,,,27-32,,Defensive rebound by T. Satoransky
10:26.0,,,27-34,2,M. Morris makes 2-pt shot at rim
10:11.0,Turnover by A. Harrison (bad pass; steal by J. Smith),,27-34,,
10:08.0,,,27-36,2,J. Smith makes 2-pt shot at rim
9:59.0,Memphis full timeout,,27-36,,
9:59.0,J. Green enters the game for Z. Randolph,,27-36,,
9:48.0,V. Carter misses 3-pt shot from 27 ft,,27-36,,
9:47.0,Offensive rebound by J. Green,,27-36,,
9:46.0,J. Green makes 2-pt shot at rim,2,29-36,,
9:31.0,,,29-38,2,K. Oubre makes 2-pt shot from 7 ft (assist by T. Satoransky)
9:31.0,,,29-38,,Shooting foul by J. Ennis (drawn by K. Oubre)
9:31.0,,,29-39,1,K. Oubre makes free throw 1 of 1
9:31.0,T. Allen enters the game for J. Ennis,,29-38,,
9:07.0,A. Harrison misses 3-pt shot from 25 ft,,29-39,,
9:06.0,,,29-39,,Defensive rebound by K. Oubre
9:01.0,,,29-41,2,T. Burke makes 2-pt shot from 16 ft (assist by K. Oubre)
8:49.0,,,29-41,,Personal foul by J. Smith (drawn by M. Gasol)
8:43.0,,,29-41,,Def 3 sec tech foul by M. Morris
8:43.0,M. Gasol makes technical free throw,1,30-41,,
8:43.0,C. Parsons enters the game for V. Carter,,30-41,,
8:32.0,M. Gasol misses 2-pt shot from 15 ft,,30-41,,
8:31.0,,,30-41,,Defensive rebound by T. Burke
8:24.0,Personal foul by J. Green (drawn by M. Morris),,30-41,,
8:19.0,,,30-43,2,M. Morris makes 2-pt shot from 14 ft (assist by T. Burke)
8:01.0,J. Green makes 3-pt shot from 26 ft (assist by A. Harrison),3,33-43,,
7:41.0,,,33-43,,T. Burke misses 2-pt shot from 19 ft
7:40.0,,,33-43,,Offensive rebound by T. Satoransky
7:25.0,,,33-45,2,M. Morris makes 2-pt shot from 13 ft (assist by T. Satoransky)
7:12.0,T. Allen misses 2-pt shot from 2 ft,,33-45,,
7:11.0,,,33-45,,Defensive rebound by M. Morris
6:59.0,,,33-47,2,T. Burke makes 2-pt shot from 5 ft
6:59.0,,,33-47,,Shooting foul by A. Harrison (drawn by T. Burke)
6:59.0,,,33-48,1,T. Burke makes free throw 1 of 1
6:59.0,,,33-47,,B. Beal enters the game for T. Satoransky
6:59.0,M. Conley enters the game for A. Harrison,,33-47,,
6:59.0,Z. Randolph enters the game for M. Gasol,,33-47,,
6:35.0,M. Conley misses 3-pt shot from 28 ft,,33-48,,
6:34.0,Offensive rebound by T. Allen,,33-48,,
6:31.0,Shooting foul by B. Beal (drawn by T. Allen),,33-48,,
6:31.0,T. Allen makes free throw 1 of 2,1,34-48,,
6:31.0,T. Allen misses free throw 2 of 2,,34-48,,
6:31.0,,,34-48,,J. Wall enters the game for T. Burke
6:30.0,,,34-48,,Defensive rebound by B. Beal
6:19.0,Violation by T. Allen (kicked ball),,34-48,,
6:19.0,,,34-48,,Washington full timeout
6:19.0,,,34-48,,M. Gortat enters the game for J. Smith
6:09.0,,,34-51,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:57.0,C. Parsons misses 2-pt shot from 1 ft,,34-51,,
5:56.0,Offensive rebound by C. Parsons,,34-51,,
5:53.0,C. Parsons misses 2-pt shot from 17 ft,,34-51,,
5:52.0,Offensive rebound by T. Allen,,34-51,,
5:52.0,Shooting foul by M. Gortat (drawn by T. Allen),,34-51,,
5:52.0,T. Allen misses free throw 1 of 2,,34-51,,
5:52.0,Offensive rebound by Team,,34-51,,
5:52.0,T. Allen makes free throw 2 of 2,1,35-51,,
5:52.0,,,34-51,,O. Porter enters the game for K. Oubre
5:44.0,,,35-51,,Turnover by J. Wall (bad pass; steal by J. Green)
5:37.0,J. Green makes 3-pt shot from 25 ft (assist by M. Conley),3,38-51,,
5:20.0,,,38-51,,B. Beal misses 2-pt shot from 15 ft
5:19.0,,,38-51,,Offensive rebound by M. Morris
5:12.0,,,38-51,,M. Morris misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by Z. Randolph,,38-51,,
4:54.0,Z. Randolph misses 2-pt shot from 14 ft,,38-51,,
4:53.0,Offensive rebound by T. Allen,,38-51,,
4:51.0,T. Allen makes 2-pt shot at rim,2,40-51,,
4:24.0,,,40-51,,J. Wall misses 2-pt shot from 14 ft
4:23.0,,,40-51,,Offensive rebound by M. Morris
4:22.0,,,40-53,2,M. Morris makes 2-pt shot at rim
4:16.0,T. Allen misses 2-pt shot from 3 ft,,40-53,,
4:15.0,,,40-53,,Defensive rebound by O. Porter
4:03.0,,,40-53,,M. Morris misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by J. Green,,40-53,,
3:52.0,M. Conley misses 2-pt shot from 18 ft,,40-53,,
3:52.0,,,40-53,,Defensive rebound by O. Porter
3:49.0,Personal take foul by C. Parsons (drawn by J. Wall),,40-53,,
3:37.0,,,40-55,2,O. Porter makes 2-pt shot from 3 ft (assist by J. Wall)
3:37.0,,,40-55,,Shooting foul by C. Parsons (drawn by O. Porter)
3:37.0,,,40-56,1,O. Porter makes free throw 1 of 1
3:37.0,M. Gasol enters the game for Z. Randolph,,40-55,,
3:21.0,T. Allen misses 2-pt shot at rim (block by M. Morris),,40-56,,
3:19.0,,,40-56,,Defensive rebound by M. Gortat
3:06.0,,,40-56,,Turnover by J. Wall (bad pass; steal by T. Allen)
3:00.0,M. Gasol makes 2-pt shot from 3 ft (assist by T. Allen),2,42-56,,
2:42.0,,,42-58,2,O. Porter makes 2-pt shot from 12 ft (assist by J. Wall)
2:30.0,Turnover by M. Conley (back court),,42-58,,
2:30.0,Official timeout,,42-58,,
2:30.0,J. Ennis enters the game for M. Conley,,42-58,,
2:22.0,,,42-58,,J. Wall misses 2-pt shot at rim
2:21.0,Defensive rebound by J. Green,,42-58,,
2:09.0,Turnover by M. Gasol (bad pass; steal by J. Wall),,42-58,,
2:05.0,,,42-60,2,J. Wall makes 2-pt shot from 2 ft
1:53.0,,,42-60,,Def 3 sec tech foul by M. Morris
1:53.0,M. Gasol makes technical free throw,1,43-60,,
1:53.0,V. Carter enters the game for J. Green,,43-60,,
1:40.0,V. Carter makes 2-pt shot from 1 ft (assist by M. Gasol),2,45-60,,
1:31.0,Personal foul by T. Allen (drawn by J. Wall),,45-60,,
1:31.0,,,45-61,1,J. Wall makes free throw 1 of 2
1:31.0,,,45-62,1,J. Wall makes free throw 2 of 2
1:22.0,,,45-62,,Personal foul by O. Porter (drawn by C. Parsons)
1:09.0,V. Carter misses 2-pt shot from 22 ft,,45-62,,
1:08.0,,,45-62,,Defensive rebound by J. Wall
1:08.0,Personal foul by T. Allen (drawn by J. Wall),,45-62,,
1:08.0,,,45-63,1,J. Wall makes free throw 1 of 2
1:08.0,,,45-64,1,J. Wall makes free throw 2 of 2
1:08.0,M. Conley enters the game for T. Allen,,45-63,,
1:08.0,,,45-63,,J. Smith enters the game for M. Gortat
0:56.0,M. Gasol makes 2-pt shot at rim (assist by V. Carter),2,47-64,,
0:40.0,,,47-66,2,J. Smith makes 2-pt shot from 17 ft (assist by B. Beal)
0:32.0,M. Conley makes 2-pt shot from 1 ft,2,49-66,,
0:10.0,,,49-66,,M. Morris misses 2-pt shot at rim (block by M. Gasol)
0:07.0,,,49-66,,Offensive rebound by J. Wall
0:06.0,,,49-66,,J. Wall misses 2-pt shot from 14 ft
0:05.0,Defensive rebound by M. Conley,,49-66,,
0:01.0,Shooting foul by O. Porter (drawn by J. Ennis),,49-66,,
0:01.0,J. Ennis makes free throw 1 of 2,1,50-66,,
0:01.0,J. Ennis makes free throw 2 of 2,1,51-66,,
0:00.0,,,51-66,,B. Beal misses 3-pt shot from 54 ft
0:00.0,,,51-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,51-66,,M. Gortat misses 2-pt shot from 8 ft
11:48.0,Defensive rebound by J. Green,,51-66,,
11:33.0,M. Conley misses 2-pt shot from 18 ft,,51-66,,
11:31.0,,,51-66,,Defensive rebound by M. Gortat
11:12.0,,,51-66,,M. Morris misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by J. Green,,51-66,,
11:01.0,C. Parsons makes 3-pt shot from 30 ft (assist by M. Gasol),3,54-66,,
10:41.0,,,54-66,,Shooting foul by M. Conley (drawn by M. Gortat)
10:41.0,,,54-66,,M. Gortat misses free throw 1 of 2
10:41.0,,,54-66,,Offensive rebound by Team
10:41.0,,,54-67,1,M. Gortat makes free throw 2 of 2
10:25.0,M. Gasol makes 2-pt shot from 18 ft (assist by C. Parsons),2,56-67,,
10:04.0,,,56-67,,M. Morris misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by J. Green,,56-67,,
9:56.0,Shooting foul by M. Morris (drawn by C. Parsons),,56-67,,
9:56.0,C. Parsons makes free throw 1 of 2,1,57-67,,
9:56.0,C. Parsons makes free throw 2 of 2,1,58-67,,
9:37.0,,,58-67,,J. Wall misses 2-pt shot from 19 ft
9:36.0,Defensive rebound by Team,,58-67,,
9:19.0,M. Gasol misses 2-pt shot from 18 ft,,58-67,,
9:18.0,Offensive rebound by T. Allen,,58-67,,
9:15.0,T. Allen makes 2-pt shot from 2 ft,2,60-67,,
8:54.0,Personal foul by M. Gasol (drawn by J. Wall),,60-67,,
8:51.0,Personal foul by T. Allen (drawn by B. Beal),,60-67,,
8:46.0,,,60-67,,Shooting foul by T. Allen (drawn by M. Morris)
8:46.0,,,60-68,1,M. Morris makes free throw 1 of 2
8:46.0,,,60-69,1,M. Morris makes free throw 2 of 2
8:46.0,J. Ennis enters the game for T. Allen,,60-68,,
8:34.0,C. Parsons misses 3-pt shot from 29 ft,,60-69,,
8:32.0,,,60-69,,Defensive rebound by M. Gortat
8:22.0,,,60-69,,B. Beal misses 3-pt shot from 29 ft
8:21.0,Defensive rebound by J. Green,,60-69,,
8:07.0,Shooting foul by M. Morris (drawn by M. Gasol),,60-69,,
8:07.0,M. Gasol makes free throw 1 of 2,1,61-69,,
8:07.0,M. Gasol makes free throw 2 of 2,1,62-69,,
8:07.0,V. Carter enters the game for C. Parsons,,61-69,,
7:59.0,Personal foul by J. Ennis (drawn by B. Beal),,62-69,,
7:59.0,,,62-70,1,B. Beal makes free throw 1 of 2
7:59.0,,,62-71,1,B. Beal makes free throw 2 of 2
7:43.0,M. Gasol makes 2-pt shot from 18 ft,2,64-71,,
7:28.0,,,64-71,,O. Porter misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by V. Carter,,64-71,,
7:23.0,Turnover by J. Ennis (bad pass),,64-71,,
7:13.0,,,64-71,,M. Morris misses 3-pt shot from 24 ft
7:13.0,,,64-71,,Offensive rebound by M. Gortat
7:00.0,,,64-71,,O. Porter misses 2-pt shot from 8 ft
6:59.0,,,64-71,,Offensive rebound by M. Morris
6:51.0,,,64-73,2,J. Wall makes 2-pt shot from 2 ft
6:35.0,,,64-73,,Personal foul by M. Gortat (drawn by M. Gasol)
6:35.0,Z. Randolph enters the game for J. Green,,64-73,,
6:24.0,M. Conley misses 2-pt shot from 14 ft,,64-73,,
6:24.0,Offensive rebound by M. Gasol,,64-73,,
6:10.0,M. Gasol misses 2-pt shot from 11 ft,,64-73,,
6:10.0,Offensive rebound by Z. Randolph,,64-73,,
6:07.0,Z. Randolph misses 2-pt shot from 4 ft,,64-73,,
6:07.0,Offensive rebound by Z. Randolph,,64-73,,
6:05.0,Z. Randolph misses 2-pt shot from 3 ft,,64-73,,
6:04.0,Offensive rebound by J. Ennis,,64-73,,
6:00.0,J. Ennis makes 2-pt shot at rim,2,66-73,,
5:41.0,,,66-73,,J. Wall misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by Z. Randolph,,66-73,,
5:30.0,M. Conley misses 2-pt shot from 1 ft,,66-73,,
5:30.0,,,66-73,,Defensive rebound by M. Gortat
5:26.0,,,66-75,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:26.0,Memphis full timeout,,66-75,,
5:26.0,T. Allen enters the game for M. Conley,,66-75,,
5:10.0,Z. Randolph misses 2-pt shot from 8 ft,,66-75,,
5:10.0,,,66-75,,Defensive rebound by M. Morris
5:04.0,,,66-75,,B. Beal misses 3-pt shot from 30 ft
5:02.0,,,66-75,,Offensive rebound by O. Porter
4:56.0,,,66-77,2,O. Porter makes 2-pt shot from 5 ft (assist by J. Wall)
4:42.0,V. Carter misses 2-pt shot from 7 ft,,66-77,,
4:41.0,Offensive rebound by Z. Randolph,,66-77,,
4:39.0,Z. Randolph makes 2-pt shot from 2 ft,2,68-77,,
4:25.0,,,68-79,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
4:02.0,J. Ennis misses 3-pt shot from 26 ft,,68-79,,
4:01.0,,,68-79,,Defensive rebound by M. Morris
3:39.0,,,68-81,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
3:19.0,Turnover by V. Carter (traveling),,68-81,,
3:19.0,J. Green enters the game for M. Gasol,,68-81,,
3:19.0,Violation by Team (jump ball),,68-81,,
3:19.0,,,68-81,,K. Oubre enters the game for M. Morris
3:03.0,,,68-81,,J. Wall misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by Z. Randolph,,68-81,,
2:55.0,T. Allen misses 2-pt shot from 1 ft,,68-81,,
2:54.0,Offensive rebound by J. Ennis,,68-81,,
2:53.0,J. Ennis makes 2-pt shot at rim,2,70-81,,
2:43.0,,,70-81,,Turnover by B. Beal (bad pass; steal by V. Carter)
2:39.0,Turnover by T. Allen (lost ball),,70-81,,
2:39.0,,,70-81,,Washington full timeout
2:39.0,,,70-81,,T. Satoransky enters the game for J. Wall
2:20.0,,,70-81,,B. Beal misses 2-pt shot from 12 ft
2:19.0,Defensive rebound by J. Green,,70-81,,
1:59.0,Z. Randolph misses 2-pt shot from 17 ft,,70-81,,
1:58.0,Offensive rebound by J. Green,,70-81,,
1:56.0,J. Green makes 2-pt shot at rim,2,72-81,,
1:41.0,,,72-83,2,B. Beal makes 2-pt shot at rim (assist by M. Gortat)
1:29.0,V. Carter makes 3-pt shot from 27 ft (assist by J. Green),3,75-83,,
1:11.0,,,75-83,,Offensive charge foul by T. Satoransky
1:11.0,,,75-83,,Turnover by T. Satoransky (offensive foul)
1:00.0,J. Green makes 2-pt shot from 1 ft,2,77-83,,
0:35.0,,,77-83,,B. Beal misses 3-pt shot from 28 ft
0:34.0,Defensive rebound by J. Green,,77-83,,
0:29.0,,,77-83,,Personal foul by B. Beal (drawn by T. Allen)
0:20.0,Z. Randolph misses 3-pt shot from 25 ft,,77-83,,
0:20.0,,,77-83,,Defensive rebound by K. Oubre
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Ennis misses 2-pt shot from 4 ft,,77-83,,
11:45.0,,,77-83,,Defensive rebound by M. Morris
11:30.0,,,77-83,,M. Morris misses 2-pt shot at rim
11:29.0,Defensive rebound by Z. Randolph,,77-83,,
11:18.0,,,77-83,,Personal foul by M. Morris (drawn by Z. Randolph)
11:11.0,Shooting foul by J. Smith (drawn by M. Gasol),,77-83,,
11:11.0,M. Gasol makes free throw 1 of 2,1,78-83,,
11:11.0,M. Gasol makes free throw 2 of 2,1,79-83,,
10:59.0,,,79-85,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Satoransky)
10:36.0,J. Ennis misses 2-pt shot from 4 ft,,79-85,,
10:35.0,Offensive rebound by T. Allen,,79-85,,
10:33.0,T. Allen misses 2-pt shot from 2 ft,,79-85,,
10:32.0,Offensive rebound by J. Ennis,,79-85,,
10:30.0,J. Ennis misses 2-pt shot from 1 ft,,79-85,,
10:29.0,,,79-85,,Defensive rebound by J. Smith
10:20.0,,,79-85,,J. Smith misses 2-pt shot from 21 ft
10:19.0,Defensive rebound by T. Allen,,79-85,,
10:08.0,,,79-85,,Personal foul by J. Smith (drawn by M. Gasol)
10:08.0,,,79-85,,Technical foul by J. Smith (drawn by M. Gasol)
10:08.0,M. Gasol misses technical free throw,,79-85,,
10:08.0,Offensive rebound by Team,,79-85,,
10:08.0,Turnover by M. Conley (bad pass; steal by J. Smith),,79-85,,
10:08.0,M. Conley enters the game for J. Ennis,,79-85,,
10:03.0,,,79-85,,Turnover by T. Burke (bad pass; steal by T. Allen)
9:55.0,V. Carter misses 3-pt shot from 25 ft,,79-85,,
9:55.0,,,79-85,,Defensive rebound by T. Burke
9:35.0,,,79-85,,M. Morris misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by M. Conley,,79-85,,
9:23.0,Z. Randolph misses 2-pt shot from 8 ft,,79-85,,
9:22.0,Offensive rebound by Team,,79-85,,
9:12.0,M. Gasol misses 3-pt shot from 26 ft,,79-85,,
9:11.0,,,79-85,,Defensive rebound by K. Oubre
9:07.0,,,79-85,,Washington full timeout
9:07.0,,,79-85,,J. Wall enters the game for T. Burke
9:07.0,J. Green enters the game for T. Allen,,79-85,,
9:07.0,J. Ennis enters the game for Z. Randolph,,79-85,,
8:57.0,,,79-85,,J. Wall misses 3-pt shot from 27 ft
8:56.0,,,79-85,,Offensive rebound by J. Smith
8:47.0,,,79-85,,J. Smith misses 2-pt shot from 20 ft
8:46.0,,,79-85,,Offensive rebound by T. Satoransky
8:36.0,,,79-85,,Turnover by K. Oubre (lost ball; steal by J. Ennis)
8:29.0,J. Ennis misses 3-pt shot from 24 ft,,79-85,,
8:28.0,,,79-85,,Defensive rebound by M. Morris
8:13.0,,,79-87,2,T. Satoransky makes 2-pt shot from 5 ft (assist by M. Morris)
7:48.0,M. Conley misses 2-pt shot from 21 ft,,79-87,,
7:47.0,Offensive rebound by Team,,79-87,,
7:47.0,,,79-87,,O. Porter enters the game for K. Oubre
7:47.0,,,79-87,,B. Beal enters the game for T. Satoransky
7:35.0,M. Conley misses 3-pt shot from 27 ft (block by J. Wall),,79-87,,
7:34.0,Offensive rebound by M. Conley,,79-87,,
7:29.0,,,79-87,,Personal foul by M. Morris (drawn by M. Gasol)
7:29.0,,,79-87,,M. Gortat enters the game for M. Morris
7:29.0,T. Allen enters the game for V. Carter,,79-87,,
7:21.0,Shooting foul by J. Smith (drawn by M. Gasol),,79-87,,
7:21.0,M. Gasol makes free throw 1 of 2,1,80-87,,
7:21.0,M. Gasol makes free throw 2 of 2,1,81-87,,
7:13.0,Personal foul by T. Allen (drawn by B. Beal),,81-87,,
7:00.0,,,81-87,,B. Beal misses 2-pt shot from 8 ft
6:59.0,Defensive rebound by J. Green,,81-87,,
6:46.0,Turnover by M. Conley (bad pass; steal by J. Wall),,81-87,,
6:42.0,,,81-87,,Shooting foul by J. Ennis (drawn by J. Wall)
6:42.0,,,81-88,1,J. Wall makes free throw 1 of 2
6:42.0,,,81-89,1,J. Wall makes free throw 2 of 2
6:28.0,,,81-89,,Personal foul by M. Gortat (drawn by M. Gasol)
6:28.0,M. Gasol makes free throw 1 of 2,1,82-89,,
6:28.0,M. Gasol makes free throw 2 of 2,1,83-89,,
6:16.0,Personal foul by T. Allen (drawn by M. Gortat),,83-89,,
6:16.0,V. Carter enters the game for T. Allen,,83-89,,
6:06.0,,,83-92,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
5:48.0,J. Green misses 2-pt shot from 15 ft (block by J. Smith),,83-92,,
5:46.0,,,83-92,,Defensive rebound by O. Porter
5:24.0,,,83-95,3,O. Porter makes 3-pt shot from 28 ft (assist by J. Wall)
5:23.0,Memphis full timeout,,83-95,,
5:08.0,M. Conley makes 2-pt shot from 9 ft (assist by M. Gasol),2,85-95,,
4:49.0,,,85-95,,B. Beal misses 3-pt shot from 25 ft
4:48.0,,,85-95,,Offensive rebound by O. Porter
4:28.0,,,85-95,,Shooting foul by J. Green (drawn by J. Smith)
4:28.0,,,85-96,1,J. Smith makes free throw 1 of 2
4:28.0,,,85-97,1,J. Smith makes free throw 2 of 2
4:15.0,M. Gasol makes 2-pt shot from 2 ft (assist by J. Ennis),2,87-97,,
3:54.0,,,87-97,,J. Smith misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by Team,,87-97,,
3:38.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,89-97,,
3:19.0,,,89-97,,Offensive charge foul by B. Beal
3:19.0,,,89-97,,Turnover by B. Beal (offensive foul)
