time,Oklahoma City,pts.away,score,pts.home,Brooklyn
4:45.0,R. Westbrook makes 3-pt shot from 27 ft,3,23-19,,
4:27.0,,,23-22,3,C. LeVert makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
4:09.0,T. Gibson misses 2-pt shot from 20 ft,,23-22,,
4:09.0,,,23-22,,Defensive rebound by B. Lopez
3:58.0,,,23-22,,Turnover by C. LeVert (bad pass; steal by S. Adams)
3:50.0,A. Abrines makes 2-pt shot from 3 ft (assist by R. Westbrook),2,25-22,,
3:39.0,,,25-22,,Turnover by J. Lin (lost ball; steal by R. Westbrook)
3:36.0,R. Westbrook makes 2-pt shot at rim,2,27-22,,
3:36.0,,,27-22,,Brooklyn full timeout
3:36.0,,,27-22,,T. Booker enters the game for J. Lin
3:36.0,,,27-22,,Q. Acy enters the game for B. Lopez
3:36.0,,,27-22,,S. Kilpatrick enters the game for C. LeVert
3:36.0,,,27-22,,S. Dinwiddie enters the game for R. Hollis-Jefferson
3:35.0,E. Kanter enters the game for T. Gibson,,27-22,,
3:35.0,D. Sabonis enters the game for S. Adams,,27-22,,
3:17.0,,,27-25,3,T. Booker makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
2:57.0,R. Westbrook makes 2-pt shot from 4 ft,2,29-25,,
2:57.0,Shooting foul by Q. Acy (drawn by R. Westbrook),,29-25,,
2:57.0,Oklahoma City full timeout,,29-25,,
2:57.0,R. Westbrook makes free throw 1 of 1,1,30-25,,
2:39.0,,,30-27,2,S. Kilpatrick makes 2-pt shot from 7 ft
2:28.0,E. Kanter misses 2-pt shot at rim (block by I. Whitehead),,30-27,,
2:25.0,,,30-27,,Defensive rebound by Q. Acy
2:10.0,,,30-27,,T. Booker misses 2-pt shot from 9 ft
2:09.0,Defensive rebound by D. Sabonis,,30-27,,
2:02.0,R. Westbrook misses 3-pt shot from 25 ft,,30-27,,
2:01.0,,,30-27,,Defensive rebound by T. Booker
1:55.0,,,30-27,,Turnover by T. Booker (traveling)
1:55.0,S. Christon enters the game for R. Westbrook,,30-27,,
1:35.0,A. Abrines makes 2-pt shot from 12 ft (assist by S. Christon),2,32-27,,
1:09.0,,,32-29,2,T. Booker makes 2-pt shot from 5 ft
0:45.0,D. McDermott misses 2-pt shot from 8 ft,,32-29,,
0:45.0,,,32-29,,Defensive rebound by I. Whitehead
0:33.0,,,32-29,,Turnover by T. Booker (lost ball; steal by E. Kanter)
0:24.0,Oklahoma City full timeout,,32-29,,
0:22.0,E. Kanter misses 2-pt shot from 17 ft,,32-29,,
0:19.0,,,32-29,,Defensive rebound by S. Kilpatrick
0:04.0,,,32-29,,S. Kilpatrick misses 2-pt shot from 5 ft (block by A. Abrines)
0:04.0,,,32-29,,Offensive rebound by Team
0:02.0,,,32-32,3,T. Booker makes 3-pt shot from 27 ft (assist by I. Whitehead)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Shooting block foul by E. Kanter (drawn by S. Dinwiddie),,32-32,,
11:42.0,,,32-32,,S. Dinwiddie misses free throw 1 of 2
11:42.0,,,32-32,,Offensive rebound by Team
11:42.0,,,32-33,1,S. Dinwiddie makes free throw 2 of 2
11:25.0,D. Sabonis makes 2-pt shot from 22 ft (assist by A. Abrines),2,34-33,,
11:14.0,,,34-35,2,I. Whitehead makes 2-pt shot from 4 ft
10:56.0,Shooting foul by Q. Acy (drawn by E. Kanter),,34-35,,
10:56.0,E. Kanter makes free throw 1 of 2,1,35-35,,
10:56.0,E. Kanter makes free throw 2 of 2,1,36-35,,
10:45.0,,,36-35,,Turnover by S. Kilpatrick (lost ball; steal by A. Abrines)
10:41.0,A. Abrines misses 3-pt shot from 25 ft,,36-35,,
10:39.0,Offensive rebound by Team,,36-35,,
10:39.0,,,36-35,,Loose ball foul by S. Dinwiddie (drawn by D. Sabonis)
10:29.0,D. Sabonis misses 2-pt shot from 6 ft,,36-35,,
10:26.0,,,36-35,,Defensive rebound by I. Whitehead
10:20.0,,,36-35,,I. Whitehead misses 2-pt shot from 6 ft (block by D. Sabonis)
10:17.0,Defensive rebound by S. Christon,,36-35,,
10:05.0,D. McDermott makes 3-pt shot from 25 ft (assist by E. Kanter),3,39-35,,
9:50.0,,,39-35,,Q. Acy misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by D. McDermott,,39-35,,
9:36.0,E. Kanter makes 2-pt shot from 6 ft,2,41-35,,
9:08.0,,,41-35,,S. Dinwiddie misses 2-pt shot from 12 ft
9:07.0,Defensive rebound by S. Christon,,41-35,,
9:02.0,Shooting foul by S. Kilpatrick (drawn by D. McDermott),,41-35,,
9:02.0,,,41-35,,Brooklyn full timeout
9:02.0,D. McDermott makes free throw 1 of 2,1,42-35,,
9:02.0,D. McDermott makes free throw 2 of 2,1,43-35,,
9:02.0,V. Oladipo enters the game for A. Abrines,,41-35,,
9:02.0,,,41-35,,R. Foye enters the game for S. Kilpatrick
8:52.0,R. Westbrook enters the game for S. Christon,,43-35,,
8:41.0,,,43-38,3,R. Foye makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:21.0,E. Kanter makes 2-pt shot from 3 ft,2,45-38,,
8:07.0,,,45-38,,I. Whitehead misses 2-pt shot from 6 ft (block by D. Sabonis)
8:05.0,Defensive rebound by E. Kanter,,45-38,,
7:56.0,D. McDermott misses 3-pt shot from 25 ft,,45-38,,
7:55.0,,,45-38,,Defensive rebound by Q. Acy
7:49.0,Personal foul by D. McDermott (drawn by S. Dinwiddie),,45-38,,
7:35.0,,,45-38,,Q. Acy misses 2-pt shot from 7 ft
7:33.0,,,45-38,,Offensive rebound by Q. Acy
7:27.0,,,45-41,3,I. Whitehead makes 3-pt shot from 26 ft (assist by Q. Acy)
7:15.0,V. Oladipo misses 2-pt shot from 18 ft,,45-41,,
7:14.0,Offensive rebound by V. Oladipo,,45-41,,
7:11.0,V. Oladipo makes 2-pt shot from 2 ft,2,47-41,,
6:56.0,,,47-41,,T. Booker misses 2-pt shot from 4 ft
6:54.0,Defensive rebound by R. Westbrook,,47-41,,
6:50.0,E. Kanter makes 2-pt shot from 3 ft (assist by R. Westbrook),2,49-41,,
6:23.0,,,49-41,,T. Booker misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by R. Westbrook,,49-41,,
6:19.0,Shooting foul by I. Whitehead (drawn by E. Kanter),,49-41,,
6:19.0,E. Kanter makes free throw 1 of 2,1,50-41,,
6:19.0,E. Kanter misses free throw 2 of 2,,50-41,,
6:19.0,,,50-41,,B. Lopez enters the game for Q. Acy
6:19.0,T. Gibson enters the game for D. Sabonis,,50-41,,
6:19.0,,,50-41,,J. Lin enters the game for S. Dinwiddie
6:17.0,,,50-41,,Defensive rebound by J. Lin
6:09.0,Personal block foul by V. Oladipo (drawn by J. Lin),,50-41,,
6:09.0,S. Adams enters the game for E. Kanter,,50-41,,
6:04.0,,,50-41,,Shooting foul by T. Gibson (drawn by B. Lopez)
6:04.0,,,50-42,1,B. Lopez makes free throw 1 of 2
6:04.0,,,50-43,1,B. Lopez makes free throw 2 of 2
5:53.0,Turnover by R. Westbrook (lost ball),,50-43,,
5:53.0,Official timeout,,50-43,,
5:53.0,,,50-43,,C. LeVert enters the game for I. Whitehead
5:53.0,,,50-43,,R. Hollis-Jefferson enters the game for T. Booker
5:38.0,,,50-43,,B. Lopez misses 2-pt shot from 10 ft
5:37.0,Defensive rebound by R. Westbrook,,50-43,,
5:23.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,53-43,,
5:10.0,,,53-45,2,J. Lin makes 2-pt shot from 8 ft
4:57.0,R. Westbrook misses 3-pt shot from 26 ft,,53-45,,
4:56.0,,,53-45,,Defensive rebound by C. LeVert
4:50.0,,,53-48,3,B. Lopez makes 3-pt shot from 26 ft (assist by C. LeVert)
4:34.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,55-48,,
4:23.0,,,55-48,,Turnover by R. Foye (bad pass; steal by V. Oladipo)
4:14.0,D. McDermott misses 2-pt shot from 8 ft,,55-48,,
4:12.0,,,55-48,,Defensive rebound by C. LeVert
3:59.0,,,55-50,2,J. Lin makes 2-pt shot from 9 ft
3:39.0,T. Gibson misses 2-pt shot from 6 ft (block by J. Lin),,55-50,,
3:39.0,Offensive rebound by Team,,55-50,,
3:39.0,S. Christon enters the game for D. McDermott,,55-50,,
3:39.0,,,55-50,,I. Whitehead enters the game for R. Foye
3:31.0,V. Oladipo misses 2-pt shot from 15 ft,,55-50,,
3:30.0,,,55-50,,Defensive rebound by J. Lin
3:14.0,,,55-50,,B. Lopez misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by R. Westbrook,,55-50,,
3:06.0,R. Westbrook makes 2-pt shot from 2 ft,2,57-50,,
2:58.0,,,57-52,2,B. Lopez makes 2-pt shot from 5 ft (assist by J. Lin)
2:42.0,S. Adams misses 2-pt shot from 10 ft,,57-52,,
2:40.0,,,57-52,,Defensive rebound by R. Hollis-Jefferson
2:31.0,,,57-52,,Shooting foul by T. Gibson (drawn by R. Hollis-Jefferson)
2:31.0,Oklahoma City full timeout,,57-52,,
2:31.0,,,57-53,1,R. Hollis-Jefferson makes free throw 1 of 2
2:31.0,,,57-54,1,R. Hollis-Jefferson makes free throw 2 of 2
2:12.0,Turnover by T. Gibson (lost ball; steal by J. Lin),,57-54,,
1:59.0,,,57-54,,Shooting foul by T. Gibson (drawn by C. LeVert)
1:59.0,,,57-54,,C. LeVert misses free throw 1 of 2
1:59.0,,,57-54,,Offensive rebound by Team
1:59.0,,,57-55,1,C. LeVert makes free throw 2 of 2
1:59.0,J. Grant enters the game for T. Gibson,,57-54,,
1:47.0,R. Westbrook misses 2-pt shot from 20 ft,,57-55,,
1:45.0,,,57-55,,Defensive rebound by C. LeVert
1:40.0,,,57-57,2,B. Lopez makes 2-pt shot from 8 ft
1:40.0,,,57-57,,Shooting foul by S. Adams (drawn by B. Lopez)
1:40.0,,,57-58,1,B. Lopez makes free throw 1 of 1
1:32.0,Turnover by J. Grant (bad pass; steal by C. LeVert),,57-58,,
1:26.0,,,57-60,2,C. LeVert makes 2-pt shot from 2 ft
1:17.0,R. Westbrook misses 2-pt shot from 9 ft,,57-60,,
1:17.0,Offensive rebound by R. Westbrook,,57-60,,
1:17.0,Shooting foul by I. Whitehead (drawn by R. Westbrook),,57-60,,
1:17.0,R. Westbrook makes free throw 1 of 2,1,58-60,,
1:17.0,R. Westbrook makes free throw 2 of 2,1,59-60,,
1:09.0,,,59-60,,Turnover by C. LeVert (lost ball; steal by J. Grant)
1:09.0,Jump ball: J. Grant vs. C. LeVert (S. Christon gains possession),,,,Jump ball: J. Grant vs. C. LeVert (S. Christon gains possession)
0:56.0,R. Westbrook misses 2-pt shot from 19 ft,,59-60,,
0:56.0,Offensive rebound by Team,,59-60,,
0:56.0,,,59-60,,Loose ball foul by B. Lopez (drawn by S. Adams)
0:56.0,S. Adams makes free throw 1 of 2,1,60-60,,
0:56.0,S. Adams misses free throw 2 of 2,,60-60,,
0:54.0,,,60-60,,Defensive rebound by B. Lopez
0:43.0,,,60-62,2,J. Lin makes 2-pt shot from 4 ft
0:38.0,Offensive foul by S. Adams,,60-62,,
0:38.0,Turnover by S. Adams (offensive foul),,60-62,,
0:30.0,,,60-62,,J. Lin misses 2-pt shot from 21 ft
0:29.0,Defensive rebound by S. Adams,,60-62,,
0:26.0,R. Westbrook misses 3-pt shot from 26 ft,,60-62,,
0:24.0,Offensive rebound by Team,,60-62,,
0:09.0,R. Westbrook misses 2-pt shot from 16 ft,,60-62,,
0:07.0,Offensive rebound by S. Adams,,60-62,,
0:06.0,S. Adams makes 2-pt shot from 2 ft,2,62-62,,
0:01.0,,,62-62,,I. Whitehead misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by Team,,62-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,62-62,,B. Lopez misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by T. Gibson,,62-62,,
11:27.0,T. Gibson misses 2-pt shot from 2 ft,,62-62,,
11:26.0,Offensive rebound by S. Adams,,62-62,,
11:26.0,Shooting foul by C. LeVert (drawn by S. Adams),,62-62,,
11:26.0,S. Adams makes free throw 1 of 2,1,63-62,,
11:26.0,S. Adams makes free throw 2 of 2,1,64-62,,
11:18.0,,,64-62,,Shooting foul by S. Adams (drawn by R. Hollis-Jefferson)
11:18.0,,,64-63,1,R. Hollis-Jefferson makes free throw 1 of 2
11:18.0,,,64-64,1,R. Hollis-Jefferson makes free throw 2 of 2
11:06.0,V. Oladipo makes 2-pt shot from 11 ft (assist by R. Westbrook),2,66-64,,
10:50.0,,,66-67,3,J. Lin makes 3-pt shot from 26 ft (assist by R. Foye)
10:30.0,R. Westbrook misses 3-pt shot from 25 ft,,66-67,,
10:28.0,Offensive rebound by A. Roberson,,66-67,,
10:17.0,R. Westbrook makes 2-pt shot from 18 ft,2,68-67,,
10:00.0,,,68-67,,J. Lin misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by R. Westbrook,,68-67,,
9:55.0,Shooting foul by C. LeVert (drawn by A. Roberson),,68-67,,
9:55.0,A. Roberson makes free throw 1 of 2,1,69-67,,
9:55.0,A. Roberson misses free throw 2 of 2,,69-67,,
9:54.0,Offensive rebound by Team,,69-67,,
9:50.0,R. Westbrook makes 3-pt shot from 26 ft (assist by S. Adams),3,72-67,,
9:25.0,,,72-67,,J. Lin misses 2-pt shot from 8 ft (block by T. Gibson)
9:24.0,,,72-67,,Offensive rebound by R. Hollis-Jefferson
9:24.0,,,72-67,,Turnover by Team (shot clock)
9:14.0,T. Gibson misses 2-pt shot at rim,,72-67,,
9:10.0,Offensive rebound by V. Oladipo,,72-67,,
8:59.0,T. Gibson misses 2-pt shot from 5 ft,,72-67,,
8:58.0,Offensive rebound by T. Gibson,,72-67,,
8:54.0,Turnover by T. Gibson (bad pass; steal by C. LeVert),,72-67,,
8:36.0,,,72-69,2,B. Lopez makes 2-pt shot from 13 ft
8:21.0,Turnover by R. Westbrook (bad pass; steal by B. Lopez),,72-69,,
8:18.0,Personal foul by R. Westbrook (drawn by C. LeVert),,72-69,,
8:18.0,,,72-70,1,C. LeVert makes free throw 1 of 2
8:18.0,,,72-71,1,C. LeVert makes free throw 2 of 2
7:59.0,V. Oladipo misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,72-71,,
7:57.0,,,72-71,,Defensive rebound by B. Lopez
7:51.0,,,72-71,,J. Lin misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by R. Westbrook,,72-71,,
7:43.0,R. Westbrook misses 3-pt shot from 25 ft,,72-71,,
7:42.0,,,72-71,,Defensive rebound by R. Foye
7:35.0,,,72-71,,C. LeVert misses 3-pt shot from 28 ft
7:34.0,Defensive rebound by T. Gibson,,72-71,,
7:34.0,Oklahoma City full timeout,,72-71,,
7:34.0,,,72-71,,I. Whitehead enters the game for R. Foye
7:21.0,R. Westbrook misses 2-pt shot from 8 ft,,72-71,,
7:18.0,Offensive rebound by T. Gibson,,72-71,,
7:18.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Gibson),,72-71,,
7:18.0,T. Gibson misses free throw 1 of 2,,72-71,,
7:18.0,Offensive rebound by Team,,72-71,,
7:18.0,T. Gibson misses free throw 2 of 2,,72-71,,
7:15.0,,,72-71,,Defensive rebound by B. Lopez
6:55.0,,,72-71,,Shooting foul by T. Gibson (drawn by C. LeVert)
6:55.0,,,72-72,1,C. LeVert makes free throw 1 of 2
6:55.0,,,72-73,1,C. LeVert makes free throw 2 of 2
6:55.0,D. Sabonis enters the game for T. Gibson,,72-72,,
6:43.0,V. Oladipo makes 2-pt shot from 16 ft (assist by D. Sabonis),2,74-73,,
6:30.0,,,74-73,,J. Lin misses 2-pt shot from 4 ft
6:28.0,,,74-73,,Offensive rebound by C. LeVert
6:21.0,,,74-73,,Turnover by J. Lin (bad pass; steal by V. Oladipo)
6:18.0,Offensive charge foul by R. Westbrook,,74-73,,
6:18.0,Turnover by R. Westbrook (offensive foul),,74-73,,
6:18.0,,,74-73,,S. Dinwiddie enters the game for C. LeVert
6:04.0,,,74-73,,Turnover by S. Dinwiddie (traveling)
5:56.0,Turnover by V. Oladipo (lost ball),,74-73,,
5:33.0,,,74-73,,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by R. Westbrook)
5:32.0,,,74-73,,Offensive rebound by Team
5:32.0,,,74-73,,Turnover by Team (shot clock)
5:32.0,A. Abrines enters the game for V. Oladipo,,74-73,,
5:32.0,,,74-73,,R. Foye enters the game for J. Lin
5:19.0,D. Sabonis misses 2-pt shot from 20 ft,,74-73,,
5:17.0,Offensive rebound by A. Roberson,,74-73,,
5:12.0,A. Roberson makes 3-pt shot from 23 ft (assist by A. Abrines),3,77-73,,
4:54.0,,,77-73,,I. Whitehead misses 2-pt shot from 9 ft
4:52.0,,,77-73,,Offensive rebound by R. Hollis-Jefferson
4:40.0,,,77-76,3,R. Foye makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
4:27.0,,,77-76,,Shooting block foul by R. Hollis-Jefferson (drawn by D. Sabonis)
4:27.0,,,77-76,,Brooklyn full timeout
4:27.0,D. Sabonis misses free throw 1 of 2,,77-76,,
4:27.0,Offensive rebound by Team,,77-76,,
4:27.0,D. Sabonis misses free throw 2 of 2,,77-76,,
4:27.0,E. Kanter enters the game for S. Adams,,77-76,,
4:27.0,,,77-76,,T. Booker enters the game for R. Hollis-Jefferson
4:25.0,,,77-76,,Defensive rebound by B. Lopez
4:00.0,,,77-76,,T. Booker misses 2-pt shot from 12 ft
3:59.0,Defensive rebound by Team,,77-76,,
3:59.0,,,77-76,,Q. Acy enters the game for B. Lopez
3:47.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,80-76,,
3:30.0,,,80-76,,Q. Acy misses 3-pt shot from 27 ft
3:28.0,Defensive rebound by A. Roberson,,80-76,,
3:20.0,Shooting foul by I. Whitehead (drawn by R. Westbrook),,80-76,,
3:20.0,R. Westbrook makes free throw 1 of 2,1,81-76,,
3:20.0,R. Westbrook makes free throw 2 of 2,1,82-76,,
3:07.0,,,82-76,,Shooting foul by A. Abrines (drawn by R. Foye)
3:07.0,,,82-77,1,R. Foye makes free throw 1 of 2
3:07.0,,,82-78,1,R. Foye makes free throw 2 of 2
3:07.0,S. Christon enters the game for R. Westbrook,,82-77,,
2:48.0,S. Christon makes 2-pt shot from 7 ft (assist by E. Kanter),2,84-78,,
2:23.0,,,84-78,,T. Booker misses 2-pt shot from 10 ft
2:20.0,Defensive rebound by A. Abrines,,84-78,,
2:08.0,Turnover by E. Kanter (lost ball; steal by Q. Acy),,84-78,,
2:04.0,,,84-78,,S. Dinwiddie misses 2-pt shot from 2 ft (block by A. Roberson)
2:02.0,Defensive rebound by S. Christon,,84-78,,
1:57.0,A. Abrines makes 3-pt shot from 27 ft (assist by S. Christon),3,87-78,,
1:50.0,,,87-78,,Brooklyn full timeout
1:31.0,,,87-80,2,R. Foye makes 2-pt shot from 3 ft (assist by Q. Acy)
1:13.0,D. Sabonis makes 2-pt shot from 20 ft,2,89-80,,
0:46.0,,,89-83,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Booker)
0:33.0,D. Sabonis misses 2-pt shot from 19 ft,,89-83,,
0:32.0,Offensive rebound by E. Kanter,,89-83,,
0:15.0,E. Kanter makes 2-pt shot from 17 ft,2,91-83,,
0:05.0,,,91-83,,Offensive foul by T. Booker
0:05.0,,,91-83,,Turnover by T. Booker (offensive foul)
0:05.0,D. McDermott enters the game for A. Roberson,,91-83,,
0:01.0,E. Kanter misses 3-pt shot from 25 ft,,91-83,,
0:00.0,,,91-83,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Offensive charge foul by D. Sabonis,,91-83,,
11:50.0,Turnover by D. Sabonis (offensive foul),,91-83,,
11:28.0,,,91-83,,Turnover by I. Whitehead (bad pass; steal by A. Abrines)
11:22.0,,,91-83,,Personal foul by Q. Acy (drawn by A. Abrines)
11:16.0,V. Oladipo misses 2-pt shot from 21 ft,,91-83,,
11:15.0,,,91-83,,Defensive rebound by I. Whitehead
11:01.0,,,91-83,,I. Whitehead misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by E. Kanter,,91-83,,
10:51.0,Offensive foul by D. Sabonis,,91-83,,
10:51.0,Turnover by D. Sabonis (offensive foul),,91-83,,
10:34.0,,,91-83,,Q. Acy misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by E. Kanter,,91-83,,
10:20.0,,,91-83,,Personal foul by T. Booker (drawn by E. Kanter)
10:09.0,D. Sabonis misses 2-pt shot from 15 ft,,91-83,,
10:08.0,Offensive rebound by E. Kanter,,91-83,,
9:55.0,V. Oladipo misses 2-pt shot from 5 ft (block by Q. Acy),,91-83,,
9:53.0,,,91-83,,Defensive rebound by T. Booker
9:47.0,,,91-83,,S. Dinwiddie misses 2-pt shot from 2 ft
9:46.0,Defensive rebound by A. Abrines,,91-83,,
9:39.0,E. Kanter misses 2-pt shot from 5 ft,,91-83,,
9:36.0,,,91-83,,Defensive rebound by Q. Acy
9:23.0,Shooting block foul by E. Kanter (drawn by S. Dinwiddie),,91-83,,
9:23.0,,,91-84,1,S. Dinwiddie makes free throw 1 of 2
9:23.0,,,91-85,1,S. Dinwiddie makes free throw 2 of 2
9:09.0,V. Oladipo makes 2-pt shot from 13 ft,2,93-85,,
8:46.0,,,93-85,,S. Dinwiddie misses 3-pt shot from 30 ft
8:44.0,Defensive rebound by A. Abrines,,93-85,,
8:33.0,Shooting foul by T. Booker (drawn by E. Kanter),,93-85,,
8:33.0,Official timeout,,93-85,,
8:33.0,E. Kanter makes free throw 1 of 2,1,94-85,,
8:33.0,E. Kanter makes free throw 2 of 2,1,95-85,,
8:33.0,R. Westbrook enters the game for S. Christon,,93-85,,
8:33.0,,,93-85,,B. Lopez enters the game for T. Booker
8:33.0,,,93-85,,R. Hollis-Jefferson enters the game for Q. Acy
8:16.0,,,95-85,,R. Foye misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by V. Oladipo,,95-85,,
8:10.0,E. Kanter makes 2-pt shot from 14 ft (assist by R. Westbrook),2,97-85,,
7:58.0,,,97-85,,Turnover by I. Whitehead (bad pass; steal by V. Oladipo)
7:54.0,R. Westbrook misses 2-pt shot at rim,,97-85,,
7:49.0,,,97-85,,Defensive rebound by I. Whitehead
7:47.0,,,97-85,,Turnover by I. Whitehead (lost ball; steal by V. Oladipo)
7:46.0,Turnover by R. Westbrook (step out of bounds),,97-85,,
7:32.0,,,97-87,2,B. Lopez makes 2-pt shot from 3 ft
7:32.0,,,97-87,,Shooting foul by E. Kanter (drawn by B. Lopez)
7:32.0,,,97-88,1,B. Lopez makes free throw 1 of 1
7:32.0,A. Roberson enters the game for V. Oladipo,,97-87,,
7:32.0,,,97-87,,J. Lin enters the game for I. Whitehead
7:20.0,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook),2,99-88,,
6:54.0,,,99-88,,Offensive foul by S. Dinwiddie
6:54.0,,,99-88,,Turnover by S. Dinwiddie (offensive foul)
6:54.0,S. Adams enters the game for E. Kanter,,99-88,,
6:45.0,Turnover by R. Westbrook (lost ball; steal by R. Hollis-Jefferson),,99-88,,
6:39.0,,,99-90,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by J. Lin)
6:29.0,Shooting foul by J. Lin (drawn by R. Westbrook),,99-90,,
