time,Charlotte,pts.away,score,pts.home,LA Lakers
4:16.0,Charlotte full timeout,,46-46,,
4:16.0,M. Williams enters the game for M. Kidd-Gilchrist,,46-46,,
3:59.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Williams),3,49-46,,
3:40.0,,,49-46,,B. Ingram misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by F. Kaminsky,,49-46,,
3:32.0,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,52-46,,
3:10.0,,,52-46,,N. Young misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by K. Walker,,52-46,,
2:59.0,K. Walker makes 2-pt shot from 3 ft,2,54-46,,
2:50.0,Official timeout,,54-46,,
2:50.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,54-46,,
2:33.0,,,54-49,3,J. Clarkson makes 3-pt shot from 26 ft
2:11.0,Turnover by K. Walker (bad pass),,54-49,,
1:56.0,,,54-49,,Shooting foul by M. Williams (drawn by B. Ingram)
1:56.0,,,54-50,1,B. Ingram makes free throw 1 of 2
1:56.0,,,54-50,,B. Ingram misses free throw 2 of 2
1:55.0,Defensive rebound by F. Kaminsky,,54-50,,
1:51.0,F. Kaminsky makes 2-pt shot from 1 ft,2,56-50,,
1:36.0,,,56-50,,D. Russell misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by M. Williams,,56-50,,
1:26.0,K. Walker misses 3-pt shot from 26 ft,,56-50,,
1:25.0,,,56-50,,Defensive rebound by J. Randle
1:16.0,,,56-53,3,N. Young makes 3-pt shot from 27 ft (assist by J. Randle)
1:00.0,K. Walker makes 2-pt shot from 4 ft,2,58-53,,
0:54.0,,,58-53,,Shooting foul by F. Kaminsky (drawn by J. Randle)
0:54.0,,,58-54,1,J. Randle makes free throw 1 of 2
0:54.0,,,58-55,1,J. Randle makes free throw 2 of 2
0:41.0,K. Walker misses 3-pt shot from 27 ft,,58-55,,
0:38.0,,,58-55,,Defensive rebound by B. Ingram
0:34.0,,,58-55,,N. Young misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by K. Walker,,58-55,,
0:12.0,N. Batum misses 3-pt shot from 28 ft,,58-55,,
0:10.0,,,58-55,,Defensive rebound by J. Randle
0:01.0,,,58-55,,D. Russell misses 3-pt shot from 25 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,60-55,,
11:40.0,,,60-55,,Offensive charge foul by D. Russell
11:40.0,,,60-55,,Turnover by D. Russell (offensive foul)
11:19.0,F. Kaminsky misses 3-pt shot from 26 ft,,60-55,,
11:18.0,,,60-55,,Defensive rebound by J. Randle
11:07.0,,,60-55,,D. Russell misses 3-pt shot from 25 ft
11:06.0,,,60-55,,Offensive rebound by Team
10:57.0,,,60-57,2,T. Black makes 2-pt shot at rim (assist by D. Russell)
10:42.0,F. Kaminsky misses 2-pt shot from 3 ft,,60-57,,
10:40.0,Offensive rebound by N. Batum,,60-57,,
10:40.0,N. Batum misses 2-pt shot from 2 ft,,60-57,,
10:39.0,,,60-57,,Defensive rebound by J. Randle
10:29.0,,,60-57,,Turnover by T. Black (lost ball; steal by M. Kidd-Gilchrist)
10:23.0,N. Batum misses 3-pt shot from 26 ft,,60-57,,
10:19.0,,,60-57,,Defensive rebound by T. Black
10:15.0,,,60-57,,D. Russell misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by F. Kaminsky,,60-57,,
10:08.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,62-57,,
9:45.0,,,62-59,2,T. Black makes 2-pt shot from 2 ft (assist by D. Russell)
9:31.0,N. Batum misses 3-pt shot from 26 ft,,62-59,,
9:30.0,,,62-59,,Defensive rebound by T. Black
9:09.0,,,62-59,,J. Randle misses 2-pt shot from 5 ft
9:04.0,,,62-59,,Offensive rebound by T. Black
9:04.0,,,62-61,2,T. Black makes 2-pt shot from 2 ft
8:53.0,Turnover by N. Batum (offensive foul),,62-61,,
8:53.0,Offensive charge foul by N. Batum,,62-61,,
8:39.0,,,62-61,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Ingram)
8:39.0,,,62-61,,B. Ingram misses free throw 1 of 2
8:39.0,,,62-61,,Offensive rebound by Team
8:39.0,,,62-61,,B. Ingram misses free throw 2 of 2
8:38.0,Defensive rebound by M. Kidd-Gilchrist,,62-61,,
8:18.0,N. Batum makes 2-pt shot from 17 ft,2,64-61,,
8:01.0,,,64-61,,T. Black misses 2-pt shot from 4 ft (block by M. Williams)
7:59.0,,,64-61,,Offensive rebound by J. Randle
7:57.0,,,64-61,,J. Randle misses 2-pt shot from 1 ft (block by F. Kaminsky)
7:55.0,,,64-61,,Offensive rebound by J. Randle
7:54.0,,,64-63,2,J. Randle makes 2-pt shot at rim
7:45.0,Charlotte full timeout,,64-63,,
7:45.0,C. Zeller enters the game for M. Williams,,64-63,,
7:34.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,64-63,,
7:31.0,,,64-63,,Defensive rebound by J. Randle
7:25.0,,,64-63,,N. Young misses 3-pt shot from 27 ft
7:22.0,Defensive rebound by F. Kaminsky,,64-63,,
7:16.0,N. Batum misses 2-pt shot from 22 ft,,64-63,,
7:14.0,Offensive rebound by M. Kidd-Gilchrist,,64-63,,
7:13.0,Shooting foul by N. Young (drawn by M. Kidd-Gilchrist),,64-63,,
7:13.0,M. Kidd-Gilchrist misses free throw 1 of 2,,64-63,,
7:13.0,Offensive rebound by Team,,64-63,,
7:13.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,65-63,,
6:57.0,,,65-63,,B. Ingram misses 2-pt shot from 13 ft
6:53.0,Defensive rebound by K. Walker,,65-63,,
6:41.0,C. Zeller misses 2-pt shot from 4 ft,,65-63,,
6:34.0,,,65-63,,Defensive rebound by T. Black
6:22.0,,,65-66,3,N. Young makes 3-pt shot from 25 ft (assist by B. Ingram)
6:01.0,K. Walker misses 2-pt shot from 16 ft,,65-66,,
5:58.0,,,65-66,,Defensive rebound by J. Randle
5:50.0,,,65-69,3,N. Young makes 3-pt shot from 27 ft (assist by D. Russell)
5:28.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,68-69,,
5:28.0,Loose ball foul by C. Zeller (drawn by T. Black),,68-69,,
5:28.0,,,68-69,,LA Lakers full timeout
5:06.0,,,68-69,,T. Black misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by N. Batum,,68-69,,
4:52.0,C. Zeller misses 2-pt shot from 2 ft (block by T. Black),,68-69,,
4:52.0,Offensive rebound by Team,,68-69,,
4:52.0,,,68-69,,J. Clarkson enters the game for N. Young
4:52.0,J. Lamb enters the game for M. Kidd-Gilchrist,,68-69,,
4:52.0,M. Williams enters the game for F. Kaminsky,,68-69,,
4:42.0,N. Batum misses 3-pt shot from 26 ft,,68-69,,
4:41.0,Offensive rebound by C. Zeller,,68-69,,
4:39.0,C. Zeller makes 2-pt shot from 2 ft,2,70-69,,
4:32.0,,,70-69,,Offensive foul by T. Black
4:32.0,,,70-69,,Turnover by T. Black (offensive foul)
4:19.0,C. Zeller misses 2-pt shot from 2 ft (block by J. Randle),,70-69,,
4:17.0,,,70-69,,Defensive rebound by J. Clarkson
4:11.0,,,70-71,2,T. Black makes 2-pt shot from 2 ft (assist by D. Russell)
4:11.0,,,70-71,,Shooting foul by C. Zeller (drawn by T. Black)
4:11.0,,,70-72,1,T. Black makes free throw 1 of 1
3:53.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams),3,73-72,,
3:45.0,,,73-74,2,T. Black makes 2-pt shot at rim (assist by D. Russell)
3:25.0,K. Walker misses 2-pt shot from 2 ft (block by J. Randle),,73-74,,
3:23.0,,,73-74,,Defensive rebound by D. Russell
3:19.0,,,73-76,2,B. Ingram makes 2-pt shot at rim (assist by D. Russell)
2:58.0,M. Williams makes 3-pt shot from 28 ft (assist by N. Batum),3,76-76,,
2:48.0,,,76-76,,Turnover by D. Russell (bad pass)
2:48.0,Charlotte full timeout,,76-76,,
2:48.0,B. Roberts enters the game for K. Walker,,76-76,,
2:48.0,,,76-76,,L. Nance enters the game for T. Black
2:27.0,M. Williams misses 3-pt shot from 27 ft,,76-76,,
2:26.0,,,76-76,,Defensive rebound by J. Randle
2:13.0,,,76-76,,J. Clarkson misses 3-pt shot from 27 ft
2:10.0,Defensive rebound by C. Zeller,,76-76,,
1:54.0,N. Batum misses 3-pt shot from 28 ft,,76-76,,
1:53.0,Offensive rebound by C. Zeller,,76-76,,
1:49.0,N. Batum misses 3-pt shot from 25 ft,,76-76,,
1:48.0,,,76-76,,Defensive rebound by J. Randle
1:40.0,,,76-78,2,D. Russell makes 2-pt shot from 9 ft
1:24.0,Turnover by B. Roberts (bad pass; steal by L. Nance),,76-78,,
1:15.0,,,76-78,,J. Clarkson misses 3-pt shot from 24 ft
1:13.0,,,76-78,,Offensive rebound by J. Randle
1:13.0,,,76-80,2,J. Randle makes 2-pt shot from 1 ft
1:02.0,,,76-80,,Personal foul by J. Clarkson (drawn by J. Lamb)
1:02.0,M. Belinelli enters the game for N. Batum,,76-80,,
0:53.0,,,76-80,,Personal foul by L. Nance (drawn by B. Roberts)
0:53.0,B. Roberts makes free throw 1 of 2,1,77-80,,
0:53.0,B. Roberts makes free throw 2 of 2,1,78-80,,
0:41.0,,,78-80,,Turnover by J. Randle (lost ball)
0:33.0,B. Roberts misses 3-pt shot from 24 ft,,78-80,,
0:29.0,,,78-80,,Defensive rebound by L. Nance
0:22.0,,,78-82,2,J. Clarkson makes 2-pt shot from 2 ft
0:04.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Belinelli),2,80-82,,
0:01.0,,,80-82,,Turnover by J. Clarkson (lost ball)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,80-82,,I. Zubac misses 2-pt shot from 10 ft
11:40.0,Defensive rebound by J. Lamb,,80-82,,
11:30.0,M. Belinelli makes 2-pt shot from 19 ft,2,82-82,,
11:12.0,Violation by F. Kaminsky (kicked ball),,82-82,,
11:04.0,,,82-82,,J. Clarkson misses 2-pt shot from 4 ft
10:59.0,Defensive rebound by J. Lamb,,82-82,,
10:51.0,J. Lamb misses 2-pt shot from 2 ft,,82-82,,
10:51.0,Offensive rebound by M. Williams,,82-82,,
10:51.0,M. Williams misses 2-pt shot from 1 ft,,82-82,,
10:51.0,,,82-82,,Defensive rebound by Team
10:51.0,Loose ball foul by J. Lamb (drawn by I. Zubac),,82-82,,
10:51.0,,,82-82,,D. Nwaba enters the game for I. Zubac
10:32.0,,,82-82,,B. Ingram misses 2-pt shot from 2 ft (block by J. Lamb)
10:31.0,Defensive rebound by Team,,82-82,,
10:15.0,F. Kaminsky misses 2-pt shot from 2 ft (block by C. Brewer),,82-82,,
10:13.0,,,82-82,,Defensive rebound by C. Brewer
10:08.0,,,82-82,,B. Ingram misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by M. Williams,,82-82,,
9:58.0,,,82-82,,Personal foul by L. Nance (drawn by M. Belinelli)
9:50.0,J. Lamb misses 3-pt shot from 25 ft,,82-82,,
9:50.0,,,82-82,,Defensive rebound by Team
9:33.0,,,82-82,,C. Brewer misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by M. Belinelli,,82-82,,
9:15.0,M. Belinelli misses 3-pt shot from 26 ft,,82-82,,
9:14.0,,,82-82,,Defensive rebound by J. Clarkson
9:07.0,,,82-84,2,J. Clarkson makes 2-pt shot from 2 ft
8:49.0,,,82-84,,Personal foul by J. Clarkson (drawn by F. Kaminsky)
8:49.0,Official timeout,,82-84,,
8:49.0,M. Kidd-Gilchrist enters the game for M. Williams,,82-84,,
8:37.0,M. Belinelli misses 2-pt shot from 20 ft,,82-84,,
8:33.0,,,82-84,,Defensive rebound by J. Clarkson
8:17.0,,,82-84,,J. Clarkson misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by F. Kaminsky,,82-84,,
8:01.0,Turnover by B. Roberts (lost ball; steal by J. Clarkson),,82-84,,
7:57.0,,,82-86,2,J. Clarkson makes 2-pt shot from 1 ft
7:42.0,Turnover by F. Kaminsky (bad pass; steal by C. Brewer),,82-86,,
7:37.0,,,82-88,2,C. Brewer makes 2-pt shot from 2 ft
7:36.0,Charlotte full timeout,,82-88,,
7:36.0,N. Batum enters the game for F. Kaminsky,,82-88,,
7:36.0,C. Zeller enters the game for J. Lamb,,82-88,,
7:36.0,K. Walker enters the game for B. Roberts,,82-88,,
7:36.0,,,82-88,,N. Young enters the game for B. Ingram
7:16.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by K. Walker),2,84-88,,
6:56.0,,,84-88,,J. Clarkson misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by K. Walker,,84-88,,
6:39.0,M. Belinelli makes 3-pt shot from 24 ft (assist by C. Zeller),3,87-88,,
6:20.0,,,87-88,,D. Nwaba misses 2-pt shot from 17 ft
6:16.0,Defensive rebound by K. Walker,,87-88,,
6:03.0,M. Belinelli misses 3-pt shot from 27 ft,,87-88,,
6:02.0,,,87-88,,Defensive rebound by D. Nwaba
5:54.0,,,87-91,3,N. Young makes 3-pt shot from 25 ft (assist by C. Brewer)
5:32.0,M. Kidd-Gilchrist makes 2-pt shot from 11 ft (assist by M. Belinelli),2,89-91,,
5:32.0,,,89-91,,LA Lakers full timeout
5:32.0,M. Williams enters the game for M. Kidd-Gilchrist,,89-91,,
5:32.0,,,89-91,,D. Russell enters the game for L. Nance
5:32.0,,,89-91,,J. Randle enters the game for C. Brewer
5:32.0,,,89-91,,B. Ingram enters the game for D. Nwaba
5:17.0,,,89-91,,Turnover by J. Clarkson (bad pass)
4:58.0,M. Williams misses 2-pt shot from 8 ft,,89-91,,
4:55.0,Offensive rebound by C. Zeller,,89-91,,
4:45.0,Shooting foul by J. Randle (drawn by M. Belinelli),,89-91,,
4:45.0,M. Belinelli misses free throw 1 of 2,,89-91,,
4:45.0,Offensive rebound by Team,,89-91,,
4:45.0,M. Belinelli makes free throw 2 of 2,1,90-91,,
4:45.0,F. Kaminsky enters the game for C. Zeller,,89-91,,
4:26.0,,,90-93,2,J. Randle makes 2-pt shot from 4 ft
3:59.0,K. Walker misses 3-pt shot from 26 ft,,90-93,,
3:58.0,Offensive rebound by N. Batum,,90-93,,
3:57.0,,,90-93,,Loose ball foul by N. Young (drawn by N. Batum)
3:51.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,93-93,,
3:34.0,,,93-93,,B. Ingram misses 2-pt shot from 12 ft (block by M. Williams)
3:32.0,,,93-93,,Offensive rebound by J. Randle
3:31.0,,,93-95,2,J. Randle makes 2-pt shot from 1 ft
3:31.0,,,93-95,,Shooting foul by M. Williams (drawn by J. Randle)
3:31.0,,,93-96,1,J. Randle makes free throw 1 of 1
3:23.0,Shooting foul by D. Russell (drawn by K. Walker),,93-96,,
3:23.0,K. Walker makes free throw 1 of 2,1,94-96,,
3:23.0,K. Walker makes free throw 2 of 2,1,95-96,,
3:06.0,,,95-96,,D. Russell misses 2-pt shot from 18 ft
3:04.0,Defensive rebound by F. Kaminsky,,95-96,,
2:45.0,K. Walker makes 2-pt shot from 17 ft,2,97-96,,
2:22.0,,,97-98,2,J. Clarkson makes 2-pt shot from 3 ft
1:55.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Belinelli),3,100-98,,
1:45.0,,,100-98,,D. Russell misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by F. Kaminsky,,100-98,,
1:31.0,M. Williams misses 3-pt shot from 23 ft,,100-98,,
1:30.0,Offensive rebound by F. Kaminsky,,100-98,,
1:08.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,103-98,,
1:08.0,,,103-98,,LA Lakers full timeout
1:08.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,103-98,,
0:58.0,,,103-98,,J. Clarkson misses 2-pt shot at rim (block by N. Batum)
