time,LA Clippers,pts.away,score,pts.home,Sacramento
4:24.0,,,24-18,,D. Cousins misses 2-pt shot from 21 ft
4:24.0,Defensive rebound by B. Griffin,,24-18,,
4:10.0,J. Redick makes 2-pt shot from 4 ft (assist by B. Griffin),2,26-18,,
4:02.0,,,26-18,,Turnover by R. Gay (bad pass; steal by C. Paul)
3:56.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,29-18,,
3:34.0,,,29-18,,D. Cousins misses 2-pt shot from 6 ft (block by D. Jordan)
3:31.0,Defensive rebound by D. Jordan,,29-18,,
3:21.0,Turnover by C. Paul (bad pass),,29-18,,
2:56.0,,,29-18,,D. Cousins misses 3-pt shot from 25 ft
2:55.0,,,29-18,,Offensive rebound by W. Cauley-Stein
2:52.0,,,29-20,2,W. Cauley-Stein makes 2-pt shot from 5 ft
2:33.0,B. Griffin misses 2-pt shot from 10 ft,,29-20,,
2:31.0,,,29-20,,Defensive rebound by D. Cousins
2:28.0,,,29-20,,Turnover by D. Cousins (lost ball; steal by C. Paul)
2:27.0,LA Clippers full timeout,,29-20,,
2:27.0,,,29-20,,G. Temple enters the game for A. Afflalo
2:27.0,J. Crawford enters the game for J. Redick,,29-20,,
2:27.0,A. Rivers enters the game for C. Paul,,29-20,,
2:14.0,,,29-20,,Personal foul by D. Cousins (drawn by B. Griffin)
2:14.0,B. Griffin makes free throw 1 of 2,1,30-20,,
2:14.0,B. Griffin makes free throw 2 of 2,1,31-20,,
1:59.0,,,31-22,2,R. Gay makes 2-pt shot from 18 ft (assist by D. Cousins)
1:37.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin),2,33-22,,
1:11.0,,,33-22,,G. Temple misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by D. Jordan,,33-22,,
1:01.0,B. Griffin makes 2-pt shot from 18 ft (assist by A. Rivers),2,35-22,,
0:52.0,,,35-22,,W. Cauley-Stein misses 2-pt shot from 4 ft
0:51.0,Defensive rebound by D. Jordan,,35-22,,
0:46.0,B. Griffin makes 2-pt shot from 3 ft,2,37-22,,
0:38.0,,,37-22,,Shooting foul by L. Mbah a Moute (drawn by R. Gay)
0:38.0,,,37-23,1,R. Gay makes free throw 1 of 2
0:38.0,,,37-24,1,R. Gay makes free throw 2 of 2
0:38.0,M. Speights enters the game for D. Jordan,,37-23,,
0:38.0,,,37-23,,M. Barnes enters the game for D. Cousins
0:27.0,A. Rivers makes 2-pt shot from 1 ft,2,39-24,,
0:27.0,Shooting foul by W. Cauley-Stein (drawn by A. Rivers),,39-24,,
0:27.0,A. Rivers makes free throw 1 of 1,1,40-24,,
0:27.0,R. Felton enters the game for J. Crawford,,39-24,,
0:09.0,,,40-24,,D. Collison misses 2-pt shot from 3 ft (block by M. Speights)
0:09.0,,,40-24,,Offensive rebound by Team
0:02.0,,,40-24,,W. Cauley-Stein misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by B. Griffin,,40-24,,
0:00.0,B. Griffin misses 3-pt shot from 47 ft,,40-24,,
0:00.0,Offensive rebound by Team,,40-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,R. Felton makes 3-pt shot from 23 ft (assist by P. Pierce),3,43-24,,
11:22.0,,,43-26,2,D. Collison makes 2-pt shot from 18 ft
11:04.0,P. Pierce makes 3-pt shot from 25 ft (assist by A. Rivers),3,46-26,,
10:55.0,,,46-26,,Sacramento full timeout
10:39.0,,,46-26,,Turnover by D. Collison (bad pass)
10:19.0,M. Speights makes 2-pt shot from 2 ft (assist by A. Rivers),2,48-26,,
10:09.0,,,48-26,,Turnover by M. Barnes (bad pass)
9:57.0,Turnover by A. Rivers (lost ball),,48-26,,
9:44.0,,,48-26,,M. Barnes misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by M. Speights,,48-26,,
9:24.0,M. Speights makes 2-pt shot from 18 ft,2,50-26,,
9:16.0,,,50-26,,Shooting foul by A. Rivers (drawn by B. McLemore)
9:16.0,,,50-27,1,B. McLemore makes free throw 1 of 2
9:16.0,,,50-28,1,B. McLemore makes free throw 2 of 2
9:05.0,,,50-28,,T. Lawson enters the game for B. McLemore
9:03.0,Turnover by M. Speights (dbl dribble),,50-28,,
8:51.0,,,50-30,2,D. Collison makes 2-pt shot from 16 ft (assist by T. Lawson)
8:31.0,J. Crawford makes 3-pt shot from 25 ft,3,53-30,,
8:20.0,,,53-30,,M. Barnes misses 2-pt shot from 10 ft
8:20.0,,,53-30,,Offensive rebound by M. Barnes
8:18.0,,,53-30,,M. Barnes misses 2-pt shot from 10 ft
8:17.0,Defensive rebound by Team,,53-30,,
8:05.0,J. Crawford misses 3-pt shot from 24 ft,,53-30,,
8:04.0,,,53-30,,Defensive rebound by G. Temple
7:54.0,,,53-30,,K. Koufos misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by M. Speights,,53-30,,
7:42.0,A. Rivers makes 2-pt shot from 2 ft,2,55-30,,
7:30.0,,,55-32,2,D. Collison makes 2-pt shot from 10 ft
7:11.0,,,55-32,,Personal foul by M. Barnes (drawn by R. Felton)
7:11.0,,,55-32,,D. Cousins enters the game for K. Koufos
7:02.0,J. Crawford misses 2-pt shot from 6 ft (block by D. Cousins),,55-32,,
7:01.0,,,55-32,,Defensive rebound by T. Lawson
6:56.0,,,55-34,2,M. Barnes makes 2-pt shot from 3 ft (assist by T. Lawson)
6:33.0,P. Pierce makes 3-pt shot from 23 ft (assist by A. Rivers),3,58-34,,
6:16.0,,,58-36,2,D. Cousins makes 2-pt shot from 8 ft
6:16.0,,,58-36,,Shooting foul by M. Speights (drawn by D. Cousins)
6:16.0,,,58-37,1,D. Cousins makes free throw 1 of 1
6:16.0,D. Jordan enters the game for M. Speights,,58-36,,
6:02.0,A. Rivers makes 2-pt shot from 3 ft,2,60-37,,
5:45.0,,,60-37,,G. Temple misses 2-pt shot from 18 ft
5:45.0,,,60-37,,Offensive rebound by Team
5:45.0,Loose ball foul by D. Jordan (drawn by D. Cousins),,60-37,,
5:45.0,Official timeout,,60-37,,
5:45.0,B. Griffin enters the game for R. Felton,,60-37,,
5:45.0,C. Paul enters the game for P. Pierce,,60-37,,
5:45.0,,,60-37,,R. Gay enters the game for D. Collison
5:36.0,,,60-37,,D. Cousins misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by D. Jordan,,60-37,,
5:26.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,62-37,,
5:12.0,,,62-37,,Turnover by T. Lawson (bad pass)
4:53.0,A. Rivers misses 2-pt shot from 21 ft,,62-37,,
4:53.0,,,62-37,,Defensive rebound by R. Gay
4:50.0,,,62-37,,Turnover by R. Gay (bad pass; steal by D. Jordan)
4:48.0,Turnover by D. Jordan (back court),,62-37,,
4:48.0,L. Mbah a Moute enters the game for J. Crawford,,62-37,,
4:48.0,J. Redick enters the game for A. Rivers,,62-37,,
4:34.0,,,62-37,,R. Gay misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by D. Jordan,,62-37,,
4:22.0,Turnover by B. Griffin (lost ball; steal by M. Barnes),,62-37,,
4:16.0,,,62-37,,T. Lawson misses 3-pt shot from 24 ft
4:15.0,,,62-37,,Offensive rebound by D. Cousins
4:13.0,,,62-37,,D. Cousins misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by D. Jordan,,62-37,,
4:05.0,Shooting foul by R. Gay (drawn by L. Mbah a Moute),,62-37,,
4:05.0,L. Mbah a Moute misses free throw 1 of 2,,62-37,,
4:05.0,Offensive rebound by Team,,62-37,,
4:05.0,L. Mbah a Moute makes free throw 2 of 2,1,63-37,,
4:05.0,,,62-37,,A. Afflalo enters the game for G. Temple
3:43.0,,,63-40,3,D. Cousins makes 3-pt shot from 25 ft
3:39.0,Turnover by B. Griffin (bad pass; steal by T. Lawson),,63-40,,
3:37.0,,,63-42,2,T. Lawson makes 2-pt shot from 1 ft (assist by M. Barnes)
3:37.0,LA Clippers full timeout,,63-42,,
3:17.0,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by B. Griffin),2,65-42,,
2:55.0,,,65-42,,R. Gay misses 2-pt shot from 12 ft
2:55.0,Defensive rebound by B. Griffin,,65-42,,
2:38.0,B. Griffin misses 2-pt shot from 18 ft,,65-42,,
2:37.0,,,65-42,,Defensive rebound by D. Cousins
2:29.0,,,65-42,,D. Collison enters the game for M. Barnes
2:17.0,,,65-44,2,T. Lawson makes 2-pt shot from 2 ft (assist by D. Collison)
2:17.0,,,65-44,,Shooting foul by J. Redick (drawn by T. Lawson)
2:17.0,,,65-45,1,T. Lawson makes free throw 1 of 1
2:10.0,,,65-45,,Personal foul by R. Gay (drawn by C. Paul)
1:59.0,D. Jordan misses 2-pt shot from 5 ft,,65-45,,
1:59.0,,,65-45,,Defensive rebound by Team
1:42.0,,,65-45,,T. Lawson misses 2-pt shot from 4 ft (block by J. Redick)
1:42.0,,,65-45,,Offensive rebound by Team
1:35.0,,,65-45,,D. Cousins misses 3-pt shot from 25 ft
1:35.0,,,65-45,,Offensive rebound by Team
1:35.0,,,65-45,,Turnover by Team (shot clock)
1:27.0,Turnover by C. Paul (bad pass; steal by D. Cousins),,65-45,,
1:24.0,,,65-47,2,D. Cousins makes 2-pt shot at rim
1:05.0,Shooting foul by D. Collison (drawn by J. Redick),,65-47,,
1:05.0,J. Redick makes free throw 1 of 2,1,66-47,,
1:05.0,J. Redick makes free throw 2 of 2,1,67-47,,
1:05.0,,,66-47,,M. Barnes enters the game for R. Gay
0:55.0,,,67-49,2,D. Cousins makes 2-pt shot from 5 ft
0:37.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,70-49,,
0:24.0,,,70-51,2,D. Cousins makes 2-pt shot from 2 ft
0:04.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,73-51,,
0:00.0,,,73-54,3,D. Cousins makes 3-pt shot from 43 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,B. Griffin misses 2-pt shot from 4 ft,,73-54,,
11:37.0,Offensive rebound by B. Griffin,,73-54,,
11:36.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,75-54,,
11:16.0,,,75-54,,Turnover by D. Collison (bad pass; steal by B. Griffin)
11:10.0,,,75-54,,Personal foul by D. Collison (drawn by C. Paul)
11:02.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,75-54,,
11:01.0,,,75-54,,Defensive rebound by D. Collison
10:52.0,Personal foul by J. Redick (drawn by D. Cousins),,75-54,,
10:38.0,,,75-54,,D. Cousins misses 2-pt shot from 14 ft
10:37.0,,,75-54,,Offensive rebound by Team
10:25.0,,,75-57,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
10:11.0,Turnover by J. Redick (bad pass),,75-57,,
9:46.0,,,75-57,,A. Afflalo misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by J. Redick,,75-57,,
9:40.0,Turnover by J. Redick (bad pass; steal by R. Gay),,75-57,,
9:36.0,,,75-59,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
9:14.0,Turnover by J. Redick (bad pass; steal by R. Gay),,75-59,,
9:11.0,,,75-59,,Turnover by R. Gay (bad pass)
9:11.0,LA Clippers full timeout,,75-59,,
9:02.0,,,75-59,,Personal foul by R. Gay (drawn by D. Jordan)
8:55.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick),2,77-59,,
8:42.0,,,77-59,,Shooting foul by D. Jordan (drawn by D. Cousins)
8:42.0,,,77-60,1,D. Cousins makes free throw 1 of 2
8:42.0,,,77-61,1,D. Cousins makes free throw 2 of 2
8:28.0,J. Redick misses 3-pt shot from 24 ft,,77-61,,
8:28.0,,,77-61,,Defensive rebound by D. Cousins
8:20.0,,,77-63,2,D. Cousins makes 2-pt shot from 2 ft
8:20.0,Shooting block foul by D. Jordan (drawn by D. Cousins),,77-63,,
8:20.0,,,77-64,1,D. Cousins makes free throw 1 of 1
8:04.0,C. Paul misses 3-pt shot from 25 ft,,77-64,,
8:03.0,,,77-64,,Defensive rebound by D. Cousins
7:53.0,,,77-64,,R. Gay misses 3-pt shot from 24 ft
7:52.0,,,77-64,,Offensive rebound by D. Cousins
7:51.0,,,77-64,,D. Cousins misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by C. Paul,,77-64,,
7:45.0,J. Redick makes 2-pt shot from 4 ft,2,79-64,,
7:33.0,,,79-66,2,R. Gay makes 2-pt shot at rim (assist by T. Lawson)
7:24.0,Shooting foul by A. Afflalo (drawn by B. Griffin),,79-66,,
7:24.0,,,79-66,,Technical foul by R. Gay
7:24.0,C. Paul makes technical free throw,1,80-66,,
7:24.0,B. Griffin makes free throw 1 of 2,1,81-66,,
7:24.0,B. Griffin makes free throw 2 of 2,1,82-66,,
7:24.0,J. Crawford enters the game for L. Mbah a Moute,,80-66,,
7:24.0,A. Rivers enters the game for J. Redick,,80-66,,
7:01.0,,,82-68,2,D. Collison makes 2-pt shot from 4 ft
6:47.0,Shooting foul by D. Cousins (drawn by B. Griffin),,82-68,,
6:47.0,B. Griffin makes free throw 1 of 2,1,83-68,,
6:47.0,B. Griffin makes free throw 2 of 2,1,84-68,,
6:47.0,,,83-68,,M. Barnes enters the game for D. Cousins
6:29.0,,,84-70,2,D. Collison makes 2-pt shot from 4 ft (assist by T. Lawson)
6:01.0,C. Paul misses 3-pt shot from 24 ft,,84-70,,
6:01.0,,,84-70,,Defensive rebound by M. Barnes
5:50.0,,,84-72,2,T. Lawson makes 2-pt shot from 3 ft
5:47.0,Turnover by D. Jordan (inbound),,84-72,,
5:47.0,,,84-72,,D. Cousins enters the game for R. Gay
5:42.0,Personal foul by J. Crawford (drawn by A. Afflalo),,84-72,,
5:38.0,Personal foul by A. Rivers (drawn by A. Afflalo),,84-72,,
5:38.0,,,84-73,1,A. Afflalo makes free throw 1 of 2
5:38.0,,,84-74,1,A. Afflalo makes free throw 2 of 2
5:26.0,Turnover by J. Crawford (bad pass; steal by D. Cousins),,84-74,,
5:23.0,,,84-74,,Turnover by D. Cousins (lost ball)
5:12.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,86-74,,
5:01.0,,,86-74,,Turnover by M. Barnes (bad pass; steal by C. Paul)
4:58.0,Shooting foul by M. Barnes (drawn by C. Paul),,86-74,,
4:58.0,C. Paul makes free throw 1 of 2,1,87-74,,
4:58.0,C. Paul makes free throw 2 of 2,1,88-74,,
4:50.0,Personal foul by C. Paul (drawn by D. Cousins),,88-74,,
4:50.0,,,88-75,1,D. Cousins makes free throw 1 of 2
4:50.0,,,88-76,1,D. Cousins makes free throw 2 of 2
4:36.0,C. Paul misses 2-pt shot from 9 ft,,88-76,,
4:36.0,,,88-76,,Defensive rebound by Team
4:29.0,,,88-76,,A. Afflalo misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by Team,,88-76,,
4:20.0,,,88-76,,Def 3 sec tech foul by D. Cousins
4:20.0,C. Paul makes technical free throw,1,89-76,,
4:20.0,,,89-76,,G. Temple enters the game for T. Lawson
4:04.0,C. Paul misses 2-pt shot from 19 ft,,89-76,,
4:03.0,,,89-76,,Defensive rebound by M. Barnes
3:52.0,,,89-76,,M. Barnes misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by C. Paul,,89-76,,
3:46.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,91-76,,
3:45.0,,,91-76,,Sacramento full timeout
3:29.0,,,91-76,,Turnover by D. Cousins (traveling)
3:23.0,C. Paul makes 2-pt shot from 7 ft,2,93-76,,
3:07.0,,,93-76,,Turnover by D. Cousins (lost ball; steal by A. Rivers)
3:00.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,95-76,,
2:39.0,,,95-76,,D. Cousins misses 3-pt shot from 23 ft
2:38.0,Defensive rebound by C. Paul,,95-76,,
2:32.0,A. Rivers makes 3-pt shot from 24 ft (assist by C. Paul),3,98-76,,
2:17.0,Personal foul by C. Paul (drawn by A. Afflalo),,98-76,,
2:17.0,,,98-77,1,A. Afflalo makes free throw 1 of 2
2:17.0,,,98-78,1,A. Afflalo makes free throw 2 of 2
2:04.0,B. Griffin misses 2-pt shot from 11 ft,,98-78,,
2:04.0,,,98-78,,Defensive rebound by Team
2:04.0,Loose ball foul by D. Jordan (drawn by D. Cousins),,98-78,,
2:04.0,,,98-79,1,D. Cousins makes free throw 1 of 2
2:04.0,,,98-79,,D. Cousins misses free throw 2 of 2
2:04.0,M. Speights enters the game for D. Jordan,,98-79,,
2:03.0,Defensive rebound by B. Griffin,,98-79,,
1:49.0,M. Speights misses 3-pt shot from 25 ft,,98-79,,
1:48.0,Offensive rebound by C. Paul,,98-79,,
1:39.0,C. Paul misses 2-pt shot from 6 ft,,98-79,,
1:39.0,,,98-79,,Defensive rebound by D. Cousins
1:21.0,Personal foul by C. Paul (drawn by D. Collison),,98-79,,
1:21.0,,,98-79,,D. Collison misses free throw 1 of 2
1:21.0,,,98-79,,Offensive rebound by Team
1:21.0,,,98-80,1,D. Collison makes free throw 2 of 2
1:21.0,R. Felton enters the game for C. Paul,,98-79,,
1:21.0,,,98-79,,A. Tolliver enters the game for D. Cousins
1:21.0,,,98-79,,R. Gay enters the game for A. Afflalo
1:08.0,,,98-80,,Personal foul by R. Gay (drawn by B. Griffin)
1:08.0,B. Griffin makes free throw 1 of 2,1,99-80,,
1:08.0,B. Griffin makes free throw 2 of 2,1,100-80,,
0:50.0,,,100-83,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Collison)
0:39.0,J. Crawford makes 3-pt shot from 25 ft,3,103-83,,
0:39.0,Shooting foul by A. Tolliver (drawn by J. Crawford),,103-83,,
0:39.0,J. Crawford makes free throw 1 of 1,1,104-83,,
0:32.0,,,104-85,2,D. Collison makes 2-pt shot from 21 ft
0:11.0,J. Crawford misses 2-pt shot from 16 ft (block by G. Temple),,104-85,,
0:10.0,,,104-85,,Defensive rebound by M. Barnes
0:05.0,,,104-85,,M. Barnes misses 2-pt shot from 11 ft
0:03.0,Defensive rebound by Team,,104-85,,
0:00.0,R. Felton misses 3-pt shot from 38 ft,,104-85,,
0:00.0,Offensive rebound by Team,,104-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,104-85,,Shooting foul by P. Pierce (drawn by R. Gay)
11:46.0,,,104-86,1,R. Gay makes free throw 1 of 2
11:46.0,,,104-86,,R. Gay misses free throw 2 of 2
11:45.0,Defensive rebound by M. Speights,,104-86,,
11:29.0,A. Rivers makes 2-pt shot from 3 ft,2,106-86,,
11:14.0,,,106-89,3,M. Barnes makes 3-pt shot from 26 ft (assist by T. Lawson)
10:56.0,M. Speights misses 3-pt shot from 25 ft,,106-89,,
10:56.0,,,106-89,,Defensive rebound by T. Lawson
10:45.0,Personal foul by R. Felton (drawn by R. Gay),,106-89,,
10:31.0,,,106-92,3,G. Temple makes 3-pt shot from 25 ft (assist by R. Gay)
10:09.0,M. Speights misses 2-pt shot from 2 ft (block by M. Barnes),,106-92,,
10:09.0,,,106-92,,Defensive rebound by T. Lawson
10:05.0,,,106-92,,T. Lawson misses 2-pt shot from 2 ft (block by A. Rivers)
10:03.0,Defensive rebound by A. Rivers,,106-92,,
9:46.0,A. Rivers misses 3-pt shot from 24 ft,,106-92,,
9:45.0,,,106-92,,Defensive rebound by R. Gay
9:35.0,,,106-92,,Shooting foul by P. Pierce (drawn by A. Tolliver)
9:35.0,,,106-93,1,A. Tolliver makes free throw 1 of 3
9:35.0,,,106-94,1,A. Tolliver makes free throw 2 of 3
9:35.0,,,106-95,1,A. Tolliver makes free throw 3 of 3
9:35.0,D. Jordan enters the game for M. Speights,,106-94,,
9:35.0,L. Mbah a Moute enters the game for P. Pierce,,106-94,,
9:14.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,108-95,,
9:01.0,,,108-95,,A. Tolliver misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by J. Crawford,,108-95,,
8:54.0,J. Crawford misses 2-pt shot from 17 ft,,108-95,,
8:53.0,,,108-95,,Defensive rebound by M. Barnes
8:45.0,,,108-95,,R. Gay misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by J. Crawford,,108-95,,
8:32.0,Official timeout,,108-95,,
8:32.0,,,108-95,,D. Cousins enters the game for A. Tolliver
8:23.0,D. Jordan makes 2-pt shot from 3 ft (assist by J. Crawford),2,110-95,,
8:01.0,,,110-97,2,D. Cousins makes 2-pt shot at rim
7:43.0,J. Crawford misses 2-pt shot from 18 ft,,110-97,,
7:43.0,,,110-97,,Defensive rebound by T. Lawson
7:35.0,,,110-99,2,D. Cousins makes 2-pt shot from 2 ft (assist by T. Lawson)
7:14.0,R. Felton misses 3-pt shot from 25 ft,,110-99,,
7:14.0,,,110-99,,Defensive rebound by R. Gay
7:04.0,,,110-101,2,T. Lawson makes 2-pt shot from 2 ft (assist by D. Cousins)
7:02.0,LA Clippers full timeout,,110-101,,
7:02.0,,,110-101,,D. Collison enters the game for R. Gay
7:02.0,J. Redick enters the game for J. Crawford,,110-101,,
7:02.0,B. Griffin enters the game for A. Rivers,,110-101,,
7:02.0,C. Paul enters the game for R. Felton,,110-101,,
6:38.0,B. Griffin misses 2-pt shot from 21 ft,,110-101,,
6:38.0,,,110-101,,Defensive rebound by T. Lawson
6:34.0,J. Crawford enters the game for L. Mbah a Moute,,110-101,,
6:22.0,,,110-101,,Shooting foul by B. Griffin (drawn by D. Cousins)
6:22.0,,,110-102,1,D. Cousins makes free throw 1 of 2
6:22.0,,,110-103,1,D. Cousins makes free throw 2 of 2
6:07.0,J. Crawford misses 3-pt shot from 23 ft,,110-103,,
6:07.0,,,110-103,,Defensive rebound by Team
6:07.0,Loose ball foul by B. Griffin (drawn by G. Temple),,110-103,,
6:07.0,,,110-104,1,G. Temple makes free throw 1 of 2
6:07.0,,,110-104,,G. Temple misses free throw 2 of 2
6:06.0,Defensive rebound by B. Griffin,,110-104,,
5:50.0,J. Redick misses 3-pt shot from 25 ft,,110-104,,
5:50.0,,,110-104,,Defensive rebound by T. Lawson
5:43.0,,,110-104,,G. Temple misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by D. Jordan,,110-104,,
5:17.0,C. Paul misses 3-pt shot from 25 ft,,110-104,,
5:16.0,,,110-104,,Defensive rebound by G. Temple
5:03.0,,,110-104,,D. Collison misses 2-pt shot from 4 ft (block by B. Griffin)
5:02.0,Defensive rebound by C. Paul,,110-104,,
4:40.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,113-104,,
