time,Utah,pts.away,score,pts.home,New Orleans
11:14.0,J. Johnson makes 2-pt shot from 9 ft,2,36-27,,
10:56.0,,,36-27,,Shooting foul by D. Favors (drawn by T. Jones)
10:56.0,,,36-28,1,T. Jones makes free throw 1 of 2
10:56.0,,,36-29,1,T. Jones makes free throw 2 of 2
10:49.0,G. Hill makes 2-pt shot from 1 ft,2,38-29,,
10:49.0,Shooting foul by T. Frazier (drawn by G. Hill),,38-29,,
10:49.0,G. Hill misses free throw 1 of 1,,38-29,,
10:48.0,,,38-29,,Defensive rebound by D. Motiejunas
10:33.0,,,38-31,2,E. Moore makes 2-pt shot from 2 ft
10:08.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill),2,40-31,,
10:00.0,,,40-33,2,E. Moore makes 2-pt shot at rim (assist by T. Frazier)
9:34.0,J. Ingles misses 3-pt shot from 26 ft,,40-33,,
9:33.0,,,40-33,,Defensive rebound by D. Motiejunas
9:21.0,,,40-35,2,T. Jones makes 2-pt shot from 11 ft (assist by D. Motiejunas)
9:13.0,Utah full timeout,,40-35,,
9:08.0,G. Hill makes 3-pt shot from 25 ft (assist by J. Johnson),3,43-35,,
8:55.0,,,43-37,2,D. Motiejunas makes 2-pt shot from 5 ft
8:37.0,,,43-37,,Personal foul by D. Motiejunas (drawn by B. Diaw)
8:37.0,,,43-37,,J. Holiday enters the game for E. Moore
8:31.0,Turnover by B. Diaw (bad pass; steal by J. Holiday),,43-37,,
8:28.0,Personal foul by G. Hill (drawn by T. Frazier),,43-37,,
8:11.0,,,43-37,,Turnover by J. Holiday (bad pass; steal by B. Diaw)
7:59.0,J. Johnson misses 2-pt shot from 17 ft,,43-37,,
7:56.0,,,43-37,,Defensive rebound by T. Frazier
7:47.0,,,43-39,2,T. Jones makes 2-pt shot from 2 ft
7:28.0,R. Gobert enters the game for D. Favors,,43-39,,
7:28.0,A. Burks enters the game for J. Ingles,,43-39,,
7:23.0,G. Hill misses 3-pt shot from 24 ft,,43-39,,
7:21.0,Offensive rebound by B. Diaw,,43-39,,
7:17.0,A. Burks misses 3-pt shot from 25 ft,,43-39,,
7:14.0,,,43-39,,Defensive rebound by D. Cunningham
7:07.0,D. Exum enters the game for G. Hill,,43-39,,
7:07.0,G. Hayward enters the game for B. Diaw,,43-39,,
7:00.0,,,43-39,,Turnover by T. Jones (lost ball; steal by A. Burks)
6:52.0,Turnover by D. Exum (lost ball; steal by T. Jones),,43-39,,
6:36.0,,,43-41,2,T. Jones makes 2-pt shot from 2 ft
6:16.0,A. Burks misses 2-pt shot from 2 ft,,43-41,,
6:13.0,,,43-41,,Defensive rebound by T. Frazier
6:08.0,,,43-41,,J. Holiday misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by G. Hayward,,43-41,,
5:43.0,J. Johnson makes 2-pt shot from 17 ft,2,45-41,,
5:36.0,,,45-41,,T. Frazier misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Johnson,,45-41,,
5:21.0,G. Hayward misses 2-pt shot from 1 ft,,45-41,,
5:19.0,Offensive rebound by R. Gobert,,45-41,,
5:18.0,R. Gobert makes 2-pt shot at rim,2,47-41,,
4:54.0,,,47-43,2,T. Jones makes 2-pt shot from 5 ft (assist by D. Cunningham)
4:35.0,G. Hayward misses 3-pt shot from 26 ft,,47-43,,
4:32.0,Offensive rebound by J. Johnson,,47-43,,
4:18.0,G. Hayward misses 2-pt shot from 2 ft,,47-43,,
4:17.0,Offensive rebound by R. Gobert,,47-43,,
4:17.0,Shooting foul by D. Cunningham (drawn by R. Gobert),,47-43,,
4:17.0,Official timeout,,47-43,,
4:17.0,R. Gobert makes free throw 1 of 2,1,48-43,,
4:17.0,R. Gobert makes free throw 2 of 2,1,49-43,,
4:17.0,,,47-43,,A. Davis enters the game for D. Cunningham
4:17.0,,,47-43,,S. Hill enters the game for T. Frazier
4:17.0,,,47-43,,E. Moore enters the game for D. Motiejunas
3:58.0,,,49-45,2,J. Holiday makes 2-pt shot from 17 ft
3:35.0,A. Burks misses 3-pt shot from 22 ft,,49-45,,
3:32.0,,,49-45,,Defensive rebound by J. Holiday
3:19.0,,,49-45,,A. Davis misses 2-pt shot from 5 ft
3:17.0,Defensive rebound by A. Burks,,49-45,,
2:59.0,J. Johnson makes 3-pt shot from 31 ft (assist by G. Hayward),3,52-45,,
2:41.0,,,52-47,2,E. Moore makes 2-pt shot from 6 ft (assist by A. Davis)
2:16.0,J. Johnson makes 2-pt shot from 2 ft,2,54-47,,
2:07.0,Personal foul by D. Exum (drawn by J. Holiday),,54-47,,
2:07.0,,,54-47,,New Orleans full timeout
2:07.0,,,54-47,,D. Cunningham enters the game for T. Jones
2:07.0,G. Hill enters the game for D. Exum,,54-47,,
2:02.0,,,54-49,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:42.0,Shooting foul by D. Cunningham (drawn by G. Hayward),,54-49,,
1:42.0,G. Hayward makes free throw 1 of 2,1,55-49,,
1:42.0,G. Hayward makes free throw 2 of 2,1,56-49,,
1:31.0,,,56-51,2,J. Holiday makes 2-pt shot from 4 ft
1:31.0,,,56-51,,Shooting foul by G. Hill (drawn by J. Holiday)
1:31.0,,,56-51,,J. Holiday misses free throw 1 of 1
1:29.0,Defensive rebound by G. Hayward,,56-51,,
1:12.0,J. Johnson makes 3-pt shot from 26 ft (assist by G. Hill),3,59-51,,
0:50.0,,,59-53,2,E. Moore makes 2-pt shot from 23 ft
0:34.0,Turnover by R. Gobert (3 sec),,59-53,,
0:34.0,,,59-53,,T. Jones enters the game for D. Cunningham
0:26.0,,,59-53,,E. Moore misses 2-pt shot from 10 ft (block by R. Gobert)
0:25.0,,,59-53,,Offensive rebound by Team
0:23.0,,,59-53,,Turnover by E. Moore (bad pass; steal by G. Hill)
0:19.0,Shooting foul by J. Holiday (drawn by G. Hill),,59-53,,
0:19.0,G. Hill makes free throw 1 of 2,1,60-53,,
0:19.0,G. Hill misses free throw 2 of 2,,60-53,,
0:19.0,,,60-53,,Defensive rebound by A. Davis
0:05.0,,,60-53,,Turnover by J. Holiday (bad pass)
0:05.0,Utah full timeout,,60-53,,
0:05.0,,,60-53,,T. Frazier enters the game for J. Holiday
0:02.0,G. Hill makes 2-pt shot from 21 ft,2,62-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,G. Hill misses 2-pt shot from 11 ft,,62-53,,
11:41.0,Offensive rebound by R. Gobert,,62-53,,
11:40.0,R. Gobert misses 2-pt shot from 2 ft,,62-53,,
11:38.0,,,62-53,,Defensive rebound by T. Jones
11:17.0,,,62-53,,B. Hield misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by R. Gobert,,62-53,,
11:07.0,,,62-53,,Personal foul by B. Hield (drawn by R. Gobert)
11:02.0,G. Hayward makes 2-pt shot at rim,2,64-53,,
10:44.0,,,64-53,,J. Holiday misses 2-pt shot from 3 ft (block by R. Gobert)
10:42.0,,,64-53,,Offensive rebound by Team
10:36.0,,,64-53,,Turnover by T. Jones (lost ball)
10:17.0,,,64-53,,Personal foul by B. Hield (drawn by R. Gobert)
10:12.0,D. Favors misses 3-pt shot from 24 ft,,64-53,,
10:10.0,Offensive rebound by R. Gobert,,64-53,,
9:59.0,Turnover by D. Favors (bad pass; steal by S. Hill),,64-53,,
9:44.0,,,64-55,2,T. Jones makes 2-pt shot from 8 ft
9:18.0,R. Gobert misses 2-pt shot from 1 ft,,64-55,,
9:14.0,,,64-55,,Defensive rebound by A. Davis
8:56.0,,,64-55,,T. Jones misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by R. Gobert,,64-55,,
8:43.0,R. Gobert misses 2-pt shot from 1 ft (block by A. Davis),,64-55,,
8:42.0,,,64-55,,Defensive rebound by A. Davis
8:36.0,,,64-55,,S. Hill misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by Team,,64-55,,
8:24.0,G. Hayward makes 2-pt shot at rim,2,66-55,,
8:16.0,,,66-55,,A. Davis misses 2-pt shot from 9 ft
8:13.0,,,66-55,,Offensive rebound by A. Davis
8:12.0,Personal foul by R. Gobert (drawn by A. Davis),,66-55,,
8:05.0,,,66-55,,T. Jones misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by D. Favors,,66-55,,
7:52.0,G. Hayward misses 3-pt shot from 26 ft,,66-55,,
7:49.0,Offensive rebound by R. Gobert,,66-55,,
7:48.0,R. Gobert misses 2-pt shot from 2 ft,,66-55,,
7:47.0,Offensive rebound by D. Favors,,66-55,,
7:47.0,D. Favors makes 2-pt shot from 2 ft,2,68-55,,
7:27.0,,,68-55,,B. Hield misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by G. Hayward,,68-55,,
7:21.0,G. Hill makes 2-pt shot from 2 ft (assist by G. Hayward),2,70-55,,
7:12.0,,,70-55,,New Orleans full timeout
7:12.0,A. Burks enters the game for J. Ingles,,70-55,,
6:59.0,,,70-55,,B. Hield misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by G. Hayward,,70-55,,
6:32.0,R. Gobert makes 2-pt shot from 2 ft,2,72-55,,
6:17.0,,,72-55,,Shooting foul by D. Favors (drawn by A. Davis)
6:17.0,,,72-56,1,A. Davis makes free throw 1 of 2
6:17.0,,,72-57,1,A. Davis makes free throw 2 of 2
6:17.0,,,72-56,,D. Cunningham enters the game for S. Hill
6:17.0,,,72-56,,E. Moore enters the game for B. Hield
6:17.0,D. Exum enters the game for D. Favors,,72-56,,
6:17.0,B. Diaw enters the game for G. Hill,,72-56,,
6:04.0,G. Hayward misses 3-pt shot from 26 ft,,72-57,,
6:01.0,,,72-57,,Defensive rebound by J. Holiday
5:49.0,,,72-59,2,A. Davis makes 2-pt shot at rim (assist by D. Cunningham)
5:49.0,,,72-59,,Shooting foul by R. Gobert (drawn by A. Davis)
5:49.0,Violation by R. Gobert (lane),,72-59,,
5:49.0,,,72-60,1,A. Davis makes free throw 1 of 1
5:32.0,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert),2,74-60,,
5:20.0,,,74-60,,A. Davis misses 2-pt shot from 19 ft
5:18.0,,,74-60,,Offensive rebound by T. Jones
5:16.0,,,74-60,,T. Jones misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by D. Exum,,74-60,,
5:10.0,D. Exum misses 2-pt shot from 3 ft (block by A. Davis),,74-60,,
5:09.0,,,74-60,,Defensive rebound by J. Holiday
5:03.0,,,74-62,2,T. Jones makes 2-pt shot from 2 ft (assist by E. Moore)
4:43.0,D. Exum misses 3-pt shot from 26 ft,,74-62,,
4:41.0,,,74-62,,Defensive rebound by A. Davis
4:31.0,,,74-62,,Shooting foul by D. Exum (drawn by J. Holiday)
4:31.0,,,74-62,,J. Holiday misses free throw 1 of 2
4:31.0,,,74-62,,Offensive rebound by Team
4:31.0,,,74-62,,J. Holiday misses free throw 2 of 2
4:31.0,Defensive rebound by R. Gobert,,74-62,,
4:17.0,D. Exum makes 2-pt shot from 3 ft,2,76-62,,
4:06.0,,,76-62,,D. Cunningham misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by A. Burks,,76-62,,
3:58.0,A. Burks makes 3-pt shot from 26 ft,3,79-62,,
3:43.0,,,79-62,,J. Holiday misses 2-pt shot from 2 ft
3:42.0,,,79-62,,Offensive rebound by A. Davis
3:42.0,,,79-64,2,A. Davis makes 2-pt shot at rim
3:21.0,B. Diaw misses 2-pt shot from 11 ft,,79-64,,
3:20.0,,,79-64,,Defensive rebound by A. Davis
3:14.0,,,79-64,,Shooting foul by R. Gobert (drawn by A. Davis)
3:14.0,,,79-64,,A. Davis misses free throw 1 of 2
3:14.0,,,79-64,,Offensive rebound by Team
3:14.0,,,79-65,1,A. Davis makes free throw 2 of 2
3:14.0,,,79-64,,T. Frazier enters the game for J. Holiday
3:14.0,,,79-64,,D. Motiejunas enters the game for T. Jones
3:14.0,J. Johnson enters the game for R. Gobert,,79-64,,
3:14.0,D. Favors enters the game for G. Hayward,,79-64,,
3:04.0,A. Burks misses 2-pt shot from 17 ft,,79-65,,
3:00.0,,,79-65,,Defensive rebound by T. Frazier
2:44.0,,,79-65,,E. Moore misses 2-pt shot from 10 ft
2:40.0,Defensive rebound by D. Exum,,79-65,,
2:34.0,A. Burks makes 2-pt shot from 3 ft (assist by D. Exum),2,81-65,,
2:19.0,,,81-65,,A. Davis misses 2-pt shot from 8 ft
2:17.0,Defensive rebound by D. Favors,,81-65,,
2:01.0,Turnover by D. Favors (lost ball; steal by A. Davis),,81-65,,
2:00.0,Personal foul by D. Exum (drawn by T. Frazier),,81-65,,
2:00.0,Utah full timeout,,81-65,,
2:00.0,,,81-66,1,T. Frazier makes free throw 1 of 2
2:00.0,,,81-66,,T. Frazier misses free throw 2 of 2
2:00.0,G. Hill enters the game for D. Exum,,81-65,,
1:59.0,Defensive rebound by D. Favors,,81-66,,
1:50.0,,,81-66,,Personal foul by E. Moore (drawn by A. Burks)
1:41.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Favors),3,84-66,,
1:19.0,,,84-66,,Turnover by E. Moore (lost ball; steal by B. Diaw)
1:11.0,A. Burks makes 2-pt shot from 2 ft (assist by B. Diaw),2,86-66,,
0:56.0,,,86-69,3,E. Moore makes 3-pt shot from 24 ft (assist by T. Frazier)
0:46.0,,,86-69,,Personal foul by T. Frazier (drawn by A. Burks)
0:46.0,A. Burks makes free throw 1 of 2,1,87-69,,
0:46.0,A. Burks makes free throw 2 of 2,1,88-69,,
0:46.0,,,87-69,,T. Jones enters the game for A. Davis
0:33.0,,,88-69,,E. Moore misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by G. Hill,,88-69,,
0:07.0,A. Burks makes 2-pt shot from 2 ft,2,90-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,90-69,,Shooting foul by G. Hill (drawn by T. Frazier)
11:48.0,,,90-70,1,T. Frazier makes free throw 1 of 2
11:48.0,,,90-71,1,T. Frazier makes free throw 2 of 2
11:37.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Diaw),3,93-71,,
11:17.0,,,93-71,,Shooting foul by J. Johnson (drawn by T. Frazier)
11:17.0,,,93-72,1,T. Frazier makes free throw 1 of 2
11:17.0,,,93-73,1,T. Frazier makes free throw 2 of 2
11:02.0,Shooting foul by D. Motiejunas (drawn by D. Favors),,93-73,,
11:02.0,D. Favors makes free throw 1 of 2,1,94-73,,
11:02.0,D. Favors makes free throw 2 of 2,1,95-73,,
10:41.0,,,95-75,2,T. Jones makes 2-pt shot from 2 ft
10:25.0,,,95-75,,Personal foul by D. Motiejunas (drawn by D. Favors)
10:20.0,J. Johnson misses 3-pt shot from 23 ft,,95-75,,
10:18.0,,,95-75,,Defensive rebound by T. Jones
10:13.0,,,95-75,,Shooting foul by A. Burks (drawn by T. Frazier)
10:13.0,,,95-76,1,T. Frazier makes free throw 1 of 2
10:13.0,,,95-77,1,T. Frazier makes free throw 2 of 2
10:03.0,Shooting foul by T. Frazier (drawn by G. Hill),,95-77,,
10:03.0,G. Hill makes free throw 1 of 3,1,96-77,,
10:03.0,G. Hill makes free throw 2 of 3,1,97-77,,
10:03.0,G. Hill makes free throw 3 of 3,1,98-77,,
10:03.0,J. Ingles enters the game for A. Burks,,97-77,,
10:03.0,,,97-77,,J. Holiday enters the game for D. Motiejunas
9:54.0,,,98-77,,L. Galloway misses 3-pt shot from 29 ft
9:51.0,Defensive rebound by B. Diaw,,98-77,,
9:32.0,J. Johnson misses 3-pt shot from 27 ft,,98-77,,
9:30.0,,,98-77,,Defensive rebound by D. Cunningham
9:17.0,Personal foul by D. Favors (drawn by T. Jones),,98-77,,
9:17.0,,,98-77,,A. Davis enters the game for T. Jones
9:12.0,,,98-77,,A. Davis misses 2-pt shot from 15 ft
9:10.0,Defensive rebound by B. Diaw,,98-77,,
9:00.0,J. Johnson makes 3-pt shot from 23 ft (assist by B. Diaw),3,101-77,,
8:48.0,,,101-77,,T. Frazier misses 2-pt shot from 23 ft
8:46.0,Defensive rebound by J. Johnson,,101-77,,
8:30.0,Shooting foul by T. Frazier (drawn by G. Hill),,101-77,,
8:30.0,Official timeout,,101-77,,
8:30.0,G. Hill makes free throw 1 of 2,1,102-77,,
8:30.0,G. Hill misses free throw 2 of 2,,102-77,,
8:30.0,,,102-77,,Defensive rebound by J. Holiday
8:30.0,,,101-77,,S. Hill enters the game for D. Cunningham
8:26.0,R. Gobert enters the game for B. Diaw,,102-77,,
8:15.0,,,102-77,,Turnover by J. Holiday (bad pass)
8:15.0,,,102-77,,Def 3 sec tech foul by A. Davis
8:15.0,J. Johnson makes technical free throw,1,103-77,,
8:15.0,D. Exum enters the game for G. Hill,,102-77,,
8:11.0,D. Favors makes 2-pt shot from 16 ft (assist by D. Exum),2,105-77,,
7:54.0,,,105-77,,L. Galloway misses 2-pt shot from 15 ft
7:52.0,Defensive rebound by D. Favors,,105-77,,
7:37.0,J. Johnson makes 2-pt shot from 5 ft,2,107-77,,
7:18.0,,,107-77,,L. Galloway misses 3-pt shot from 26 ft
7:16.0,Defensive rebound by R. Gobert,,107-77,,
7:06.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,109-77,,
6:58.0,,,109-77,,New Orleans full timeout
6:58.0,,,109-77,,B. Hield enters the game for T. Frazier
6:58.0,T. Lyles enters the game for D. Favors,,109-77,,
6:50.0,,,109-77,,J. Holiday misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by J. Ingles,,109-77,,
6:36.0,Turnover by T. Lyles (bad pass; steal by B. Hield),,109-77,,
6:17.0,,,109-77,,Turnover by A. Davis (lost ball; steal by J. Ingles)
6:08.0,T. Lyles misses 2-pt shot from 17 ft,,109-77,,
6:07.0,,,109-77,,Defensive rebound by J. Holiday
5:50.0,,,109-77,,A. Davis misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by R. Gobert,,109-77,,
5:37.0,J. Johnson makes 3-pt shot from 26 ft (assist by J. Ingles),3,112-77,,
5:22.0,,,112-79,2,J. Holiday makes 2-pt shot from 15 ft (assist by A. Davis)
5:10.0,Utah full timeout,,112-79,,
5:10.0,S. Mack enters the game for R. Gobert,,112-79,,
5:10.0,A. Burks enters the game for J. Ingles,,112-79,,
5:10.0,J. Withey enters the game for J. Johnson,,112-79,,
5:10.0,,,112-79,,T. Jones enters the game for S. Hill
5:10.0,,,112-79,,T. Frazier enters the game for A. Davis
5:10.0,,,112-79,,D. Motiejunas enters the game for J. Holiday
5:00.0,J. Withey makes 2-pt shot from 2 ft (assist by D. Exum),2,114-79,,
4:37.0,,,114-79,,Shooting foul by A. Burks (drawn by D. Motiejunas)
4:37.0,,,114-80,1,D. Motiejunas makes free throw 1 of 2
4:37.0,,,114-80,,D. Motiejunas misses free throw 2 of 2
4:36.0,Defensive rebound by A. Burks,,114-80,,
4:14.0,T. Lyles makes 3-pt shot from 26 ft (assist by S. Mack),3,117-80,,
3:59.0,,,117-83,3,B. Hield makes 3-pt shot from 27 ft (assist by L. Galloway)
3:43.0,T. Lyles misses 3-pt shot from 27 ft,,117-83,,
3:40.0,,,117-83,,Defensive rebound by B. Hield
3:26.0,,,117-83,,T. Jones misses 2-pt shot from 5 ft
3:24.0,Defensive rebound by T. Lyles,,117-83,,
3:18.0,R. Neto enters the game for A. Burks,,117-83,,
3:17.0,D. Exum makes 2-pt shot from 19 ft (assist by S. Mack),2,119-83,,
3:07.0,,,119-85,2,B. Hield makes 2-pt shot from 2 ft
2:52.0,T. Lyles makes 2-pt shot from 3 ft,2,121-85,,
2:41.0,,,121-85,,D. Motiejunas misses 3-pt shot from 27 ft
2:39.0,Defensive rebound by S. Mack,,121-85,,
2:31.0,T. Lyles makes 3-pt shot from 26 ft (assist by S. Mack),3,124-85,,
2:17.0,,,124-87,2,L. Galloway makes 2-pt shot from 21 ft (assist by T. Jones)
1:59.0,Turnover by D. Exum (bad pass; steal by D. Motiejunas),,124-87,,
1:54.0,,,124-87,,T. Jones misses 2-pt shot from 11 ft
1:52.0,,,124-87,,Offensive rebound by T. Jones
1:49.0,,,124-89,2,T. Jones makes 2-pt shot from 6 ft
1:49.0,,,124-89,,Shooting foul by J. Withey (drawn by T. Jones)
1:49.0,,,124-90,1,T. Jones makes free throw 1 of 1
1:44.0,Shooting foul by B. Hield (drawn by S. Mack),,124-90,,
1:44.0,S. Mack misses free throw 1 of 2,,124-90,,
1:44.0,Offensive rebound by Team,,124-90,,
1:44.0,S. Mack makes free throw 2 of 2,1,125-90,,
1:34.0,,,125-90,,Turnover by T. Frazier (bad pass)
1:11.0,S. Mack makes 2-pt shot from 15 ft,2,127-90,,
1:07.0,Personal foul by R. Neto (drawn by T. Frazier),,127-90,,
