time,Golden State,pts.away,score,pts.home,New York
2:54.0,,,19-14,,K. Porzingis misses 2-pt shot from 5 ft
2:52.0,Defensive rebound by J. McGee,,19-14,,
2:44.0,Shooting foul by W. Hernangomez (drawn by K. Thompson),,19-14,,
2:44.0,K. Thompson makes free throw 1 of 2,1,20-14,,
2:44.0,K. Thompson makes free throw 2 of 2,1,21-14,,
2:44.0,,,20-14,,L. Thomas enters the game for K. Porzingis
2:44.0,P. McCaw enters the game for D. Green,,20-14,,
2:26.0,,,21-14,,Turnover by W. Hernangomez (traveling)
2:26.0,I. Clark enters the game for K. Thompson,,21-14,,
2:16.0,J. McGee makes 2-pt shot from 2 ft (assist by I. Clark),2,23-14,,
2:06.0,,,23-14,,C. Anthony misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by S. Curry,,23-14,,
1:56.0,S. Curry makes 2-pt shot from 3 ft,2,25-14,,
1:49.0,,,25-16,2,D. Rose makes 2-pt shot from 2 ft
1:42.0,I. Clark misses 2-pt shot from 22 ft,,25-16,,
1:40.0,,,25-16,,Defensive rebound by W. Hernangomez
1:31.0,,,25-16,,C. Lee misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by J. McGee,,25-16,,
1:22.0,Shooting foul by W. Hernangomez (drawn by S. Curry),,25-16,,
1:22.0,S. Curry makes free throw 1 of 2,1,26-16,,
1:22.0,S. Curry makes free throw 2 of 2,1,27-16,,
1:00.0,,,27-16,,L. Thomas misses 2-pt shot from 7 ft
0:59.0,Defensive rebound by S. Curry,,27-16,,
0:39.0,S. Curry misses 3-pt shot from 23 ft,,27-16,,
0:36.0,,,27-16,,Defensive rebound by L. Thomas
0:32.0,,,27-16,,Shooting foul by P. McCaw (drawn by D. Rose)
0:32.0,,,27-17,1,D. Rose makes free throw 1 of 2
0:32.0,,,27-18,1,D. Rose makes free throw 2 of 2
0:32.0,,,27-17,,K. O'Quinn enters the game for W. Hernangomez
0:32.0,,,27-17,,M. Kuzminskas enters the game for C. Anthony
0:12.0,I. Clark makes 2-pt shot from 7 ft,2,29-18,,
0:00.0,,,29-18,,D. Rose misses 2-pt shot from 18 ft
0:00.0,,,29-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-18,,Shooting foul by D. West (drawn by R. Baker)
11:46.0,,,29-18,,R. Baker misses free throw 1 of 2
11:46.0,,,29-18,,Offensive rebound by Team
11:46.0,,,29-19,1,R. Baker makes free throw 2 of 2
11:37.0,,,29-19,,Personal foul by K. O'Quinn (drawn by D. West)
11:37.0,D. Green enters the game for P. McCaw,,29-19,,
11:23.0,D. West makes 2-pt shot from 15 ft,2,31-19,,
11:07.0,,,31-19,,J. Holiday misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by Team,,31-19,,
10:45.0,I. Clark misses 2-pt shot from 6 ft (block by M. Kuzminskas),,31-19,,
10:43.0,,,31-19,,Defensive rebound by L. Thomas
10:39.0,,,31-19,,Shooting foul by D. West (drawn by R. Baker)
10:39.0,,,31-20,1,R. Baker makes free throw 1 of 2
10:39.0,,,31-20,,R. Baker misses free throw 2 of 2
10:37.0,Defensive rebound by D. Green,,31-20,,
10:27.0,D. Green misses 3-pt shot from 24 ft,,31-20,,
10:26.0,Offensive rebound by Team,,31-20,,
10:26.0,,,31-20,,K. Porzingis enters the game for L. Thomas
10:15.0,I. Clark misses 3-pt shot from 24 ft,,31-20,,
10:13.0,,,31-20,,Defensive rebound by K. Porzingis
10:05.0,,,31-20,,M. Kuzminskas misses 2-pt shot from 3 ft
10:04.0,,,31-20,,Offensive rebound by M. Kuzminskas
10:04.0,,,31-20,,Shooting foul by S. Livingston (drawn by M. Kuzminskas)
10:04.0,,,31-20,,M. Kuzminskas misses free throw 1 of 2
10:04.0,,,31-20,,Offensive rebound by Team
10:04.0,,,31-21,1,M. Kuzminskas makes free throw 2 of 2
10:04.0,K. Thompson enters the game for I. Clark,,31-20,,
9:44.0,S. Livingston misses 2-pt shot from 10 ft,,31-21,,
9:43.0,,,31-21,,Defensive rebound by K. O'Quinn
9:22.0,,,31-21,,K. Porzingis misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by A. Iguodala,,31-21,,
9:14.0,D. West misses 2-pt shot from 22 ft,,31-21,,
9:12.0,,,31-21,,Defensive rebound by K. O'Quinn
8:57.0,,,31-23,2,M. Kuzminskas makes 2-pt shot from 1 ft
8:57.0,Golden State full timeout,,31-23,,
8:39.0,S. Livingston misses 2-pt shot from 14 ft,,31-23,,
8:37.0,Offensive rebound by D. West,,31-23,,
8:32.0,A. Iguodala misses 3-pt shot from 23 ft,,31-23,,
8:30.0,,,31-23,,Defensive rebound by J. Holiday
8:18.0,,,31-25,2,K. Porzingis makes 2-pt shot from 2 ft (assist by K. O'Quinn)
8:01.0,A. Iguodala misses 3-pt shot from 24 ft,,31-25,,
8:00.0,,,31-25,,Defensive rebound by J. Holiday
7:49.0,,,31-25,,K. Porzingis misses 2-pt shot from 18 ft
7:47.0,,,31-25,,Offensive rebound by K. O'Quinn
7:42.0,,,31-28,3,K. Porzingis makes 3-pt shot from 22 ft (assist by J. Holiday)
7:27.0,K. Thompson misses 2-pt shot from 17 ft,,31-28,,
7:25.0,,,31-28,,Defensive rebound by K. O'Quinn
7:20.0,Personal foul by S. Livingston (drawn by R. Baker),,31-28,,
7:08.0,,,31-30,2,K. Porzingis makes 2-pt shot from 5 ft (assist by K. O'Quinn)
6:59.0,Golden State full timeout,,31-30,,
6:59.0,M. Barnes enters the game for A. Iguodala,,31-30,,
6:50.0,Turnover by D. West (lost ball; steal by R. Baker),,31-30,,
6:47.0,,,31-30,,Shooting foul by M. Barnes (drawn by M. Kuzminskas)
6:47.0,,,31-30,,M. Kuzminskas misses free throw 1 of 2
6:47.0,,,31-30,,Offensive rebound by Team
6:47.0,,,31-31,1,M. Kuzminskas makes free throw 2 of 2
6:33.0,K. Thompson misses 2-pt shot from 2 ft,,31-31,,
6:32.0,,,31-31,,Defensive rebound by K. Porzingis
6:31.0,Z. Pachulia enters the game for D. West,,31-31,,
6:31.0,S. Curry enters the game for K. Thompson,,31-31,,
6:31.0,Jump ball: M. Barnes vs. K. Porzingis (M. Kuzminskas gains possession),,,,Jump ball: M. Barnes vs. K. Porzingis (M. Kuzminskas gains possession)
6:13.0,,,31-34,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. O'Quinn)
5:48.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,34-34,,
5:30.0,,,34-36,2,J. Holiday makes 2-pt shot from 2 ft (assist by K. O'Quinn)
5:12.0,Shooting foul by K. O'Quinn (drawn by S. Curry),,34-36,,
5:12.0,S. Curry misses free throw 1 of 2,,34-36,,
5:12.0,Offensive rebound by Team,,34-36,,
5:12.0,S. Curry misses free throw 2 of 2,,34-36,,
5:11.0,,,34-36,,Defensive rebound by K. Porzingis
5:02.0,,,34-36,,Offensive foul by K. O'Quinn
5:02.0,,,34-36,,Turnover by K. O'Quinn (offensive foul)
5:02.0,A. Iguodala enters the game for D. Green,,34-36,,
5:02.0,,,34-36,,W. Hernangomez enters the game for K. O'Quinn
4:51.0,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Curry),3,37-36,,
4:38.0,,,37-36,,Turnover by W. Hernangomez (lost ball; steal by A. Iguodala)
4:17.0,S. Curry misses 3-pt shot from 24 ft,,37-36,,
4:15.0,Offensive rebound by S. Curry,,37-36,,
4:13.0,S. Curry misses 2-pt shot from 2 ft,,37-36,,
4:12.0,Offensive rebound by M. Barnes,,37-36,,
4:01.0,A. Iguodala makes 3-pt shot from 25 ft (assist by M. Barnes),3,40-36,,
3:59.0,,,40-36,,New York full timeout
3:59.0,K. Thompson enters the game for S. Livingston,,40-36,,
3:59.0,,,40-36,,D. Rose enters the game for M. Kuzminskas
3:59.0,,,40-36,,C. Lee enters the game for J. Holiday
3:41.0,,,40-36,,K. Porzingis misses 2-pt shot from 8 ft
3:40.0,Defensive rebound by M. Barnes,,40-36,,
3:27.0,Z. Pachulia misses 2-pt shot from 1 ft,,40-36,,
3:25.0,,,40-36,,Defensive rebound by W. Hernangomez
3:20.0,,,40-38,2,D. Rose makes 2-pt shot from 2 ft
3:13.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Barnes),2,42-38,,
2:57.0,,,42-38,,C. Anthony enters the game for W. Hernangomez
2:57.0,D. Green enters the game for Z. Pachulia,,42-38,,
2:48.0,,,42-40,2,K. Porzingis makes 2-pt shot from 2 ft
2:39.0,Turnover by M. Barnes (lost ball),,42-40,,
2:35.0,,,42-40,,Shooting foul by K. Thompson (drawn by D. Rose)
2:35.0,,,42-40,,D. Rose misses free throw 1 of 2
2:35.0,,,42-40,,Offensive rebound by Team
2:35.0,,,42-41,1,D. Rose makes free throw 2 of 2
2:21.0,K. Thompson misses 3-pt shot from 24 ft,,42-41,,
2:20.0,,,42-41,,Defensive rebound by R. Baker
2:12.0,,,42-41,,R. Baker misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by A. Iguodala,,42-41,,
2:01.0,K. Thompson misses 2-pt shot from 5 ft (block by K. Porzingis),,42-41,,
1:59.0,,,42-41,,Defensive rebound by K. Porzingis
1:48.0,,,42-44,3,C. Lee makes 3-pt shot from 25 ft (assist by K. Porzingis)
1:38.0,Golden State full timeout,,42-44,,
1:38.0,P. McCaw enters the game for M. Barnes,,42-44,,
1:34.0,D. Green makes 2-pt shot from 1 ft,2,44-44,,
1:17.0,,,44-44,,R. Baker misses 2-pt shot from 1 ft
1:15.0,,,44-44,,Offensive rebound by R. Baker
1:15.0,,,44-46,2,R. Baker makes 2-pt shot from 1 ft
1:04.0,S. Curry makes 3-pt shot from 25 ft,3,47-46,,
0:51.0,,,47-48,2,D. Rose makes 2-pt shot from 2 ft
0:37.0,K. Thompson misses 3-pt shot from 25 ft,,47-48,,
0:35.0,,,47-48,,Defensive rebound by K. Porzingis
0:27.0,,,47-48,,Turnover by C. Lee (bad pass; steal by P. McCaw)
0:24.0,P. McCaw makes 2-pt shot from 1 ft,2,49-48,,
0:02.0,,,49-50,2,K. Porzingis makes 2-pt shot from 11 ft (assist by C. Anthony)
0:00.0,S. Curry misses 3-pt shot from 61 ft,,49-50,,
0:00.0,Offensive rebound by Team,,49-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,49-50,,K. Porzingis misses 2-pt shot from 3 ft
11:47.0,,,49-50,,Offensive rebound by K. Porzingis
11:42.0,,,49-53,3,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee)
11:23.0,M. Barnes misses 3-pt shot from 24 ft,,49-53,,
11:20.0,,,49-53,,Defensive rebound by K. Porzingis
11:03.0,,,49-53,,L. Thomas misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by S. Curry,,49-53,,
10:56.0,S. Curry makes 3-pt shot from 26 ft,3,52-53,,
10:33.0,,,52-53,,C. Anthony misses 2-pt shot from 5 ft
10:31.0,,,52-53,,Offensive rebound by C. Anthony
10:31.0,,,52-55,2,C. Anthony makes 2-pt shot from 3 ft
10:24.0,S. Curry misses 2-pt shot from 3 ft (block by K. Porzingis),,52-55,,
10:23.0,Offensive rebound by Team,,52-55,,
10:23.0,,,52-55,,Inbound foul by C. Lee
10:23.0,K. Thompson makes free throw 1 of 1,1,53-55,,
10:07.0,M. Barnes makes 3-pt shot from 24 ft,3,56-55,,
9:53.0,,,56-57,2,C. Anthony makes 2-pt shot from 22 ft (assist by L. Thomas)
9:41.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by S. Curry),2,58-57,,
9:25.0,,,58-57,,L. Thomas misses 2-pt shot from 5 ft (block by M. Barnes)
9:23.0,Defensive rebound by M. Barnes,,58-57,,
9:08.0,D. Green misses 3-pt shot from 25 ft,,58-57,,
9:06.0,Offensive rebound by K. Thompson,,58-57,,
9:04.0,K. Thompson misses 2-pt shot from 18 ft,,58-57,,
9:02.0,,,58-57,,Defensive rebound by C. Anthony
8:56.0,,,58-57,,C. Anthony misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by S. Curry,,58-57,,
8:49.0,Turnover by S. Curry (traveling),,58-57,,
8:37.0,,,58-57,,D. Rose misses 2-pt shot from 7 ft (block by Z. Pachulia)
8:35.0,,,58-57,,Offensive rebound by Team
8:23.0,,,58-57,,D. Rose misses 3-pt shot from 27 ft
8:22.0,,,58-57,,Offensive rebound by K. Porzingis
8:20.0,,,58-59,2,C. Anthony makes 2-pt shot from 22 ft
7:59.0,,,58-59,,Personal foul by D. Rose (drawn by S. Curry)
7:50.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,60-59,,
7:50.0,Shooting foul by C. Anthony (drawn by D. Green),,60-59,,
7:50.0,D. Green makes free throw 1 of 1,1,61-59,,
7:33.0,,,61-59,,C. Anthony misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by Team,,61-59,,
7:18.0,S. Curry misses 3-pt shot from 25 ft,,61-59,,
7:16.0,,,61-59,,Defensive rebound by K. Porzingis
7:00.0,,,61-59,,Turnover by C. Anthony (bad pass; steal by M. Barnes)
6:54.0,K. Thompson misses 2-pt shot at rim (block by C. Anthony),,61-59,,
6:51.0,Offensive rebound by S. Curry,,61-59,,
6:38.0,Turnover by Z. Pachulia (lost ball),,61-59,,
6:27.0,,,61-61,2,D. Rose makes 2-pt shot from 4 ft
6:13.0,,,61-61,,Personal foul by C. Lee (drawn by D. Green)
6:11.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson),2,63-61,,
5:54.0,,,63-63,2,K. Porzingis makes 2-pt shot from 16 ft (assist by D. Rose)
5:39.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green),2,65-63,,
5:28.0,,,65-63,,Shooting foul by M. Barnes (drawn by D. Rose)
5:28.0,,,65-63,,New York full timeout
5:28.0,,,65-64,1,D. Rose makes free throw 1 of 2
5:28.0,,,65-65,1,D. Rose makes free throw 2 of 2
5:28.0,,,65-63,,W. Hernangomez enters the game for K. Porzingis
5:28.0,A. Iguodala enters the game for M. Barnes,,65-63,,
5:18.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. Green),2,67-65,,
4:55.0,,,67-65,,Turnover by W. Hernangomez (traveling)
4:55.0,P. McCaw enters the game for D. Green,,67-65,,
4:38.0,S. Curry makes 2-pt shot from 1 ft,2,69-65,,
4:21.0,,,69-67,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Anthony)
4:10.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,71-67,,
3:50.0,,,71-67,,D. Rose misses 2-pt shot from 5 ft
3:49.0,,,71-67,,Offensive rebound by W. Hernangomez
3:49.0,,,71-69,2,W. Hernangomez makes 2-pt shot from 1 ft
3:40.0,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,73-69,,
3:25.0,,,73-69,,Turnover by C. Anthony (bad pass; steal by Z. Pachulia)
3:18.0,J. McGee enters the game for Z. Pachulia,,73-69,,
3:18.0,I. Clark enters the game for K. Thompson,,73-69,,
3:18.0,,,73-69,,J. Holiday enters the game for C. Lee
3:18.0,Jump ball: C. Anthony vs. S. Curry (J. McGee gains possession),,,,Jump ball: C. Anthony vs. S. Curry (J. McGee gains possession)
3:01.0,Shooting foul by D. Rose (drawn by J. McGee),,73-69,,
3:01.0,J. McGee makes free throw 1 of 2,1,74-69,,
3:01.0,J. McGee misses free throw 2 of 2,,74-69,,
3:00.0,,,74-69,,Defensive rebound by W. Hernangomez
2:50.0,Golden State full timeout,,74-69,,
2:48.0,,,74-72,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Thomas)
2:24.0,I. Clark makes 2-pt shot from 2 ft,2,76-72,,
2:04.0,,,76-72,,Shooting foul by A. Iguodala (drawn by D. Rose)
2:04.0,,,76-73,1,D. Rose makes free throw 1 of 2
2:04.0,,,76-74,1,D. Rose makes free throw 2 of 2
2:04.0,D. Green enters the game for I. Clark,,76-73,,
2:04.0,,,76-73,,K. Porzingis enters the game for L. Thomas
1:53.0,J. McGee misses 2-pt shot from 2 ft,,76-74,,
1:51.0,,,76-74,,Defensive rebound by K. Porzingis
1:30.0,,,76-74,,K. Porzingis misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by S. Curry,,76-74,,
1:23.0,S. Curry makes 2-pt shot from 1 ft,2,78-74,,
1:17.0,,,78-76,2,D. Rose makes 2-pt shot from 3 ft
1:01.0,S. Curry makes 3-pt shot from 23 ft,3,81-76,,
0:43.0,,,81-76,,R. Baker enters the game for D. Rose
0:36.0,,,81-76,,J. Holiday misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by D. Green,,81-76,,
0:31.0,P. McCaw misses 2-pt shot from 2 ft (block by C. Anthony),,81-76,,
0:30.0,,,81-76,,Defensive rebound by R. Baker
0:11.0,,,81-76,,W. Hernangomez misses 2-pt shot from 2 ft
0:10.0,Defensive rebound by J. McGee,,81-76,,
0:03.0,S. Curry makes 3-pt shot from 25 ft,3,84-76,,
0:01.0,,,84-76,,R. Baker misses 3-pt shot from 38 ft
0:00.0,,,84-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,84-76,,Personal foul by J. Holiday (drawn by D. Green)
11:42.0,D. West makes 2-pt shot at rim (assist by A. Iguodala),2,86-76,,
11:25.0,,,86-78,2,J. Holiday makes 2-pt shot from 19 ft (assist by K. Porzingis)
11:04.0,S. Livingston misses 2-pt shot from 12 ft,,86-78,,
11:02.0,,,86-78,,Defensive rebound by J. Holiday
10:37.0,,,86-81,3,R. Baker makes 3-pt shot from 24 ft (assist by K. O'Quinn)
10:25.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston),3,89-81,,
10:11.0,,,89-81,,Turnover by K. O'Quinn (step out of bounds)
10:08.0,D. Green makes 2-pt shot from 2 ft,2,91-81,,
10:08.0,Shooting foul by K. Porzingis (drawn by D. Green),,91-81,,
10:08.0,D. Green makes free throw 1 of 1,1,92-81,,
9:48.0,,,92-83,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by R. Baker)
9:31.0,D. West makes 2-pt shot from 4 ft,2,94-83,,
9:09.0,,,94-83,,Turnover by J. Holiday (lost ball; steal by A. Iguodala)
9:04.0,Shooting foul by K. Porzingis (drawn by K. Thompson),,94-83,,
9:04.0,K. Thompson makes free throw 1 of 2,1,95-83,,
9:04.0,K. Thompson makes free throw 2 of 2,1,96-83,,
9:04.0,,,95-83,,L. Thomas enters the game for M. Kuzminskas
8:43.0,,,96-83,,Shooting foul by D. Green (drawn by K. Porzingis)
8:43.0,Official timeout,,96-83,,
8:43.0,,,96-84,1,K. Porzingis makes free throw 1 of 2
8:43.0,,,96-85,1,K. Porzingis makes free throw 2 of 2
8:43.0,,,96-83,,C. Anthony enters the game for K. O'Quinn
8:43.0,,,96-83,,D. Rose enters the game for J. Holiday
8:23.0,D. Green misses 3-pt shot from 24 ft,,96-85,,
8:21.0,,,96-85,,Defensive rebound by K. Porzingis
8:15.0,,,96-87,2,D. Rose makes 2-pt shot from 16 ft
7:58.0,S. Livingston misses 2-pt shot from 2 ft (block by R. Baker),,96-87,,
7:56.0,,,96-87,,Defensive rebound by R. Baker
7:56.0,Personal foul by S. Livingston (drawn by R. Baker),,96-87,,
7:37.0,,,96-87,,Shooting foul by D. Green (drawn by C. Anthony)
7:37.0,,,96-88,1,C. Anthony makes free throw 1 of 2
7:37.0,,,96-89,1,C. Anthony makes free throw 2 of 2
7:31.0,,,96-89,,Personal foul by R. Baker (drawn by S. Livingston)
7:29.0,,,96-89,,Personal foul by D. Rose (drawn by D. West)
7:29.0,D. West misses free throw 1 of 2,,96-89,,
7:29.0,Offensive rebound by Team,,96-89,,
7:29.0,D. West makes free throw 2 of 2,1,97-89,,
7:15.0,,,97-91,2,D. Rose makes 2-pt shot from 18 ft
6:56.0,A. Iguodala misses 3-pt shot from 24 ft,,97-91,,
6:54.0,,,97-91,,Defensive rebound by L. Thomas
6:38.0,,,97-91,,L. Thomas misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by D. Green,,97-91,,
6:29.0,K. Thompson misses 3-pt shot from 25 ft,,97-91,,
6:27.0,,,97-91,,Defensive rebound by L. Thomas
6:22.0,,,97-93,2,R. Baker makes 2-pt shot from 2 ft (assist by D. Rose)
6:20.0,Golden State full timeout,,97-93,,
6:20.0,Z. Pachulia enters the game for A. Iguodala,,97-93,,
6:20.0,P. McCaw enters the game for S. Livingston,,97-93,,
6:20.0,S. Curry enters the game for D. West,,97-93,,
6:05.0,S. Curry misses 2-pt shot from 2 ft,,97-93,,
6:03.0,,,97-93,,Defensive rebound by L. Thomas
5:56.0,,,97-96,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
5:41.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,100-96,,
5:16.0,,,100-96,,K. Porzingis misses 3-pt shot from 25 ft
5:15.0,,,100-96,,Offensive rebound by Team
5:01.0,,,100-96,,D. Rose misses 2-pt shot from 15 ft
4:59.0,Defensive rebound by S. Curry,,100-96,,
4:39.0,K. Thompson misses 2-pt shot from 17 ft,,100-96,,
4:38.0,Offensive rebound by P. McCaw,,100-96,,
4:35.0,Shooting foul by R. Baker (drawn by D. Green),,100-96,,
4:35.0,D. Green makes free throw 1 of 2,1,101-96,,
4:35.0,D. Green makes free throw 2 of 2,1,102-96,,
4:35.0,A. Iguodala enters the game for K. Thompson,,101-96,,
4:22.0,,,102-96,,L. Thomas misses 2-pt shot from 2 ft (block by D. Green)
