time,Atlanta,pts.away,score,pts.home,Brooklyn
5:46.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,17-16,,
5:19.0,,,17-16,,Turnover by J. Lin (bad pass; steal by E. Ilyasova)
5:08.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,19-16,,
5:08.0,,,19-16,,Brooklyn full timeout
5:08.0,P. Millsap enters the game for E. Ilyasova,,19-16,,
5:08.0,,,19-16,,S. Kilpatrick enters the game for R. Foye
5:08.0,,,19-16,,T. Booker enters the game for R. Hollis-Jefferson
4:56.0,,,19-18,2,B. Lopez makes 2-pt shot from 7 ft (assist by T. Booker)
4:56.0,,,19-18,,Shooting foul by D. Howard (drawn by B. Lopez)
4:56.0,,,19-19,1,B. Lopez makes free throw 1 of 1
4:47.0,Shooting foul by I. Whitehead (drawn by T. Hardaway),,19-19,,
4:47.0,T. Hardaway misses free throw 1 of 2,,19-19,,
4:47.0,Offensive rebound by Team,,19-19,,
4:47.0,T. Hardaway makes free throw 2 of 2,1,20-19,,
4:34.0,,,20-19,,T. Booker misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by D. Howard,,20-19,,
4:26.0,M. Dunleavy misses 3-pt shot from 25 ft,,20-19,,
4:25.0,,,20-19,,Defensive rebound by Team
4:25.0,M. Muscala enters the game for D. Howard,,20-19,,
4:14.0,,,20-21,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Lin)
3:56.0,D. Schroder misses 2-pt shot from 5 ft (block by B. Lopez),,20-21,,
3:55.0,,,20-21,,Defensive rebound by B. Lopez
3:43.0,,,20-23,2,B. Lopez makes 2-pt shot from 11 ft (assist by J. Lin)
3:26.0,D. Schroder misses 3-pt shot from 26 ft,,20-23,,
3:25.0,,,20-23,,Defensive rebound by S. Kilpatrick
3:17.0,,,20-26,3,B. Lopez makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
3:00.0,P. Millsap misses 2-pt shot from 10 ft,,20-26,,
2:59.0,,,20-26,,Defensive rebound by T. Booker
2:45.0,,,20-26,,S. Kilpatrick misses 3-pt shot from 25 ft
2:44.0,,,20-26,,Offensive rebound by J. Lin
2:39.0,,,20-29,3,B. Lopez makes 3-pt shot from 28 ft (assist by J. Lin)
2:39.0,Atlanta full timeout,,20-29,,
2:39.0,,,20-29,,S. Dinwiddie enters the game for J. Lin
2:39.0,,,20-29,,Q. Acy enters the game for B. Lopez
2:39.0,T. Waller-Prince enters the game for T. Hardaway,,20-29,,
2:14.0,D. Schroder misses 2-pt shot from 20 ft,,20-29,,
2:13.0,Offensive rebound by M. Muscala,,20-29,,
2:11.0,M. Muscala makes 2-pt shot from 3 ft,2,22-29,,
1:56.0,,,22-29,,Q. Acy misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by M. Muscala,,22-29,,
1:53.0,Turnover by D. Schroder (lost ball; steal by S. Dinwiddie),,22-29,,
1:44.0,,,22-29,,S. Dinwiddie misses 2-pt shot from 12 ft
1:43.0,Defensive rebound by M. Dunleavy,,22-29,,
1:29.0,M. Muscala makes 2-pt shot from 9 ft (assist by P. Millsap),2,24-29,,
1:17.0,,,24-29,,Q. Acy misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by T. Waller-Prince,,24-29,,
1:03.0,,,24-29,,Personal foul by Q. Acy (drawn by M. Muscala)
0:51.0,P. Millsap misses 3-pt shot from 26 ft,,24-29,,
0:50.0,,,24-29,,Defensive rebound by S. Kilpatrick
0:32.0,,,24-29,,S. Kilpatrick misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by T. Waller-Prince,,24-29,,
0:25.0,Turnover by D. Schroder (lost ball; steal by S. Dinwiddie),,24-29,,
0:21.0,,,24-29,,Turnover by Q. Acy (discontinued dribble)
0:21.0,,,24-29,,A. Goodwin enters the game for I. Whitehead
0:21.0,T. Hardaway enters the game for P. Millsap,,24-29,,
0:04.0,M. Muscala misses 2-pt shot from 15 ft,,24-29,,
0:03.0,,,24-29,,Defensive rebound by S. Kilpatrick
0:01.0,,,24-29,,S. Kilpatrick misses 3-pt shot from 64 ft (block by D. Schroder)
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Shooting foul by Q. Acy (drawn by D. Howard),,24-29,,
11:40.0,D. Howard misses free throw 1 of 2,,24-29,,
11:40.0,Offensive rebound by Team,,24-29,,
11:40.0,D. Howard makes free throw 2 of 2,1,25-29,,
11:19.0,,,25-29,,A. Goodwin misses 2-pt shot from 3 ft (block by D. Howard)
11:18.0,,,25-29,,Offensive rebound by Team
11:14.0,,,25-29,,T. Booker misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by D. Howard,,25-29,,
11:04.0,E. Ilyasova misses 3-pt shot from 24 ft,,25-29,,
11:03.0,,,25-29,,Defensive rebound by A. Goodwin
10:44.0,Personal foul by T. Waller-Prince (drawn by C. LeVert),,25-29,,
10:27.0,,,25-29,,Q. Acy misses 2-pt shot from 16 ft
10:26.0,Defensive rebound by D. Howard,,25-29,,
10:24.0,Turnover by D. Howard (bad pass; steal by T. Booker),,25-29,,
10:15.0,,,25-29,,C. LeVert misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Team,,25-29,,
10:02.0,Turnover by T. Hardaway (lost ball; steal by T. Booker),,25-29,,
9:56.0,,,25-29,,A. Goodwin misses 2-pt shot from 2 ft (block by E. Ilyasova)
9:54.0,Defensive rebound by T. Waller-Prince,,25-29,,
9:44.0,Turnover by J. Calderon (bad pass),,25-29,,
9:44.0,K. Bazemore enters the game for T. Waller-Prince,,25-29,,
9:28.0,,,25-29,,T. Booker misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by D. Howard,,25-29,,
9:18.0,Shooting foul by T. Booker (drawn by E. Ilyasova),,25-29,,
9:18.0,E. Ilyasova misses free throw 1 of 2,,25-29,,
9:18.0,Offensive rebound by Team,,25-29,,
9:18.0,E. Ilyasova makes free throw 2 of 2,1,26-29,,
9:09.0,,,26-29,,Turnover by A. Goodwin (bad pass; steal by K. Bazemore)
9:04.0,Turnover by K. Bazemore (bad pass; steal by T. Booker),,26-29,,
8:45.0,,,26-29,,T. Booker misses 2-pt shot from 3 ft
8:44.0,Defensive rebound by J. Calderon,,26-29,,
8:35.0,D. Howard misses 2-pt shot from 9 ft,,26-29,,
8:34.0,,,26-29,,Defensive rebound by C. LeVert
8:24.0,,,26-31,2,T. Booker makes 2-pt shot from 13 ft
8:23.0,Atlanta full timeout,,26-31,,
8:20.0,,,26-31,,Personal foul by A. Goodwin (drawn by J. Calderon)
8:02.0,E. Ilyasova misses 3-pt shot from 26 ft,,26-31,,
8:00.0,,,26-31,,Defensive rebound by S. Dinwiddie
7:50.0,,,26-31,,Q. Acy misses 3-pt shot from 23 ft
7:49.0,,,26-31,,Offensive rebound by T. Booker
7:46.0,,,26-31,,T. Booker misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by T. Hardaway,,26-31,,
7:36.0,Shooting foul by T. Booker (drawn by D. Howard),,26-31,,
7:36.0,D. Howard makes free throw 1 of 2,1,27-31,,
7:36.0,D. Howard makes free throw 2 of 2,1,28-31,,
7:14.0,,,28-31,,T. Booker misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by T. Hardaway,,28-31,,
7:00.0,K. Bazemore misses 2-pt shot from 4 ft,,28-31,,
7:00.0,,,28-31,,Defensive rebound by Q. Acy
6:58.0,Personal foul by K. Bazemore (drawn by Q. Acy),,28-31,,
6:58.0,,,28-31,,J. Lin enters the game for C. LeVert
6:58.0,,,28-31,,R. Hollis-Jefferson enters the game for Q. Acy
6:58.0,,,28-31,,B. Lopez enters the game for T. Booker
6:41.0,,,28-31,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
6:40.0,Defensive rebound by D. Howard,,28-31,,
6:31.0,Turnover by E. Ilyasova (bad pass; steal by R. Hollis-Jefferson),,28-31,,
6:28.0,Violation by E. Ilyasova (kicked ball),,28-31,,
6:28.0,D. Schroder enters the game for J. Calderon,,28-31,,
6:28.0,,,28-31,,S. Kilpatrick enters the game for S. Dinwiddie
6:27.0,,,28-31,,Turnover by A. Goodwin (lost ball; steal by K. Bazemore)
6:20.0,D. Schroder misses 2-pt shot from 7 ft,,28-31,,
6:18.0,Offensive rebound by D. Schroder,,28-31,,
6:10.0,Turnover by D. Schroder (lost ball),,28-31,,
6:01.0,,,28-31,,Turnover by A. Goodwin (offensive foul)
6:01.0,,,28-31,,Offensive charge foul by A. Goodwin
6:01.0,P. Millsap enters the game for E. Ilyasova,,28-31,,
5:47.0,T. Hardaway misses 3-pt shot from 25 ft,,28-31,,
5:46.0,Offensive rebound by K. Bazemore,,28-31,,
5:43.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,30-31,,
5:34.0,,,30-31,,Turnover by J. Lin (lost ball; steal by K. Bazemore)
5:27.0,D. Schroder makes 3-pt shot from 23 ft (assist by K. Bazemore),3,33-31,,
5:27.0,,,33-31,,Brooklyn full timeout
5:27.0,,,33-31,,I. Whitehead enters the game for A. Goodwin
5:18.0,,,33-33,2,B. Lopez makes 2-pt shot from 14 ft
5:18.0,,,33-33,,Shooting foul by P. Millsap (drawn by B. Lopez)
5:18.0,,,33-34,1,B. Lopez makes free throw 1 of 1
5:02.0,T. Waller-Prince enters the game for K. Bazemore,,33-34,,
4:57.0,D. Howard misses 2-pt shot from 19 ft,,33-34,,
4:56.0,,,33-34,,Defensive rebound by S. Kilpatrick
4:46.0,Personal foul by P. Millsap (drawn by B. Lopez),,33-34,,
4:45.0,J. Calderon enters the game for T. Hardaway,,33-34,,
4:37.0,,,33-36,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez)
4:22.0,P. Millsap makes 2-pt shot from 7 ft (assist by D. Schroder),2,35-36,,
4:09.0,,,35-36,,B. Lopez misses 3-pt shot from 25 ft
4:07.0,,,35-36,,Offensive rebound by I. Whitehead
3:50.0,,,35-36,,B. Lopez misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by D. Howard,,35-36,,
3:38.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by P. Millsap),2,37-36,,
3:20.0,,,37-36,,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Calderon)
3:11.0,P. Millsap makes 3-pt shot from 26 ft (assist by D. Schroder),3,40-36,,
2:54.0,,,40-39,3,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by B. Lopez)
2:40.0,T. Waller-Prince misses 2-pt shot from 10 ft,,40-39,,
2:38.0,,,40-39,,Defensive rebound by S. Kilpatrick
2:32.0,,,40-39,,S. Kilpatrick misses 2-pt shot from 3 ft (block by T. Waller-Prince)
2:30.0,Defensive rebound by P. Millsap,,40-39,,
2:26.0,P. Millsap makes 2-pt shot from 5 ft,2,42-39,,
2:26.0,Shooting foul by B. Lopez (drawn by P. Millsap),,42-39,,
2:26.0,Official timeout,,42-39,,
2:26.0,P. Millsap makes free throw 1 of 1,1,43-39,,
2:26.0,E. Ilyasova enters the game for D. Howard,,42-39,,
2:16.0,,,43-41,2,J. Lin makes 2-pt shot from 2 ft (assist by I. Whitehead)
2:00.0,T. Waller-Prince misses 2-pt shot from 5 ft (block by B. Lopez),,43-41,,
1:58.0,,,43-41,,Defensive rebound by I. Whitehead
1:55.0,,,43-41,,Offensive foul by I. Whitehead
1:55.0,,,43-41,,Turnover by I. Whitehead (offensive foul)
1:47.0,D. Schroder misses 3-pt shot from 25 ft,,43-41,,
1:45.0,,,43-41,,Defensive rebound by R. Hollis-Jefferson
1:40.0,,,43-41,,Shooting foul by E. Ilyasova (drawn by R. Hollis-Jefferson)
1:40.0,,,43-42,1,R. Hollis-Jefferson makes free throw 1 of 2
1:40.0,,,43-42,,R. Hollis-Jefferson misses free throw 2 of 2
1:39.0,Defensive rebound by P. Millsap,,43-42,,
1:23.0,J. Calderon misses 2-pt shot from 17 ft,,43-42,,
1:22.0,,,43-42,,Defensive rebound by B. Lopez
1:03.0,,,43-42,,S. Kilpatrick misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by J. Calderon,,43-42,,
0:55.0,D. Schroder misses 3-pt shot from 25 ft,,43-42,,
0:55.0,,,43-42,,Defensive rebound by S. Kilpatrick
0:36.0,,,43-44,2,J. Lin makes 2-pt shot from 11 ft
0:26.0,P. Millsap misses 3-pt shot from 24 ft,,43-44,,
0:25.0,,,43-44,,Defensive rebound by I. Whitehead
0:03.0,,,43-44,,S. Kilpatrick misses 2-pt shot from 17 ft
0:01.0,,,43-44,,Offensive rebound by I. Whitehead
0:00.0,,,43-46,2,I. Whitehead makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Schroder makes 2-pt shot from 18 ft,2,45-46,,
11:40.0,,,45-46,,Shooting foul by D. Howard (drawn by C. LeVert)
11:40.0,,,45-47,1,C. LeVert makes free throw 1 of 2
11:40.0,,,45-48,1,C. LeVert makes free throw 2 of 2
11:35.0,D. Schroder misses 2-pt shot from 2 ft,,45-48,,
11:33.0,Offensive rebound by D. Howard,,45-48,,
11:32.0,D. Howard makes 2-pt shot at rim,2,47-48,,
11:09.0,,,47-48,,R. Foye misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by Team,,47-48,,
10:57.0,T. Hardaway misses 2-pt shot from 20 ft,,47-48,,
10:56.0,,,47-48,,Defensive rebound by R. Hollis-Jefferson
10:46.0,,,47-48,,B. Lopez misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by D. Schroder,,47-48,,
10:32.0,E. Ilyasova misses 2-pt shot from 14 ft (block by B. Lopez),,47-48,,
10:30.0,,,47-48,,Defensive rebound by J. Lin
10:22.0,,,47-51,3,C. LeVert makes 3-pt shot from 25 ft (assist by B. Lopez)
10:06.0,T. Waller-Prince misses 3-pt shot from 25 ft,,47-51,,
10:04.0,,,47-51,,Defensive rebound by R. Foye
9:49.0,,,47-51,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Waller-Prince)
9:45.0,D. Schroder misses 2-pt shot from 2 ft (block by B. Lopez),,47-51,,
9:43.0,,,47-51,,Defensive rebound by J. Lin
9:33.0,,,47-53,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Lin)
9:17.0,E. Ilyasova misses 2-pt shot from 3 ft (block by B. Lopez),,47-53,,
9:15.0,,,47-53,,Defensive rebound by B. Lopez
8:55.0,,,47-53,,J. Lin misses 3-pt shot from 29 ft
8:53.0,,,47-53,,Offensive rebound by Team
8:53.0,,,47-53,,Turnover by Team (shot clock)
8:43.0,D. Schroder makes 2-pt shot from 19 ft,2,49-53,,
8:34.0,Personal foul by E. Ilyasova (drawn by B. Lopez),,49-53,,
8:20.0,,,49-55,2,B. Lopez makes 2-pt shot from 12 ft (assist by J. Lin)
8:11.0,Atlanta full timeout,,49-55,,
8:11.0,M. Dunleavy enters the game for T. Hardaway,,49-55,,
8:11.0,M. Muscala enters the game for E. Ilyasova,,49-55,,
7:59.0,M. Muscala makes 3-pt shot from 23 ft (assist by D. Schroder),3,52-55,,
7:38.0,,,52-57,2,C. LeVert makes 2-pt shot from 19 ft (assist by R. Foye)
7:22.0,Turnover by D. Schroder (bad pass; steal by B. Lopez),,52-57,,
7:16.0,,,52-59,2,C. LeVert makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
7:00.0,T. Waller-Prince misses 2-pt shot from 1 ft,,52-59,,
6:59.0,Offensive rebound by T. Waller-Prince,,52-59,,
6:58.0,Jump ball: J. Lin vs. T. Waller-Prince (D. Schroder gains possession),,,,Jump ball: J. Lin vs. T. Waller-Prince (D. Schroder gains possession)
6:51.0,,,52-59,,Personal foul by C. LeVert (drawn by M. Dunleavy)
6:45.0,D. Schroder misses 2-pt shot from 8 ft,,52-59,,
6:44.0,,,52-59,,Defensive rebound by R. Hollis-Jefferson
6:37.0,,,52-59,,C. LeVert misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by D. Howard,,52-59,,
6:24.0,Turnover by D. Howard (lost ball; steal by R. Foye),,52-59,,
6:20.0,Technical foul by Team,,52-59,,
6:20.0,,,52-60,1,R. Foye makes technical free throw
6:20.0,P. Millsap enters the game for D. Howard,,52-60,,
6:11.0,,,52-60,,Turnover by B. Lopez (3 sec)
6:00.0,D. Schroder makes 2-pt shot from 20 ft,2,54-60,,
5:53.0,,,54-60,,Turnover by B. Lopez (lost ball)
5:53.0,,,54-60,,I. Whitehead enters the game for C. LeVert
5:36.0,T. Waller-Prince makes 3-pt shot from 23 ft,3,57-60,,
5:18.0,,,57-60,,J. Lin misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by T. Waller-Prince,,57-60,,
5:06.0,P. Millsap misses 2-pt shot from 1 ft,,57-60,,
5:05.0,,,57-60,,Defensive rebound by R. Foye
4:53.0,,,57-62,2,R. Foye makes 2-pt shot from 22 ft
4:39.0,,,57-62,,S. Kilpatrick enters the game for R. Foye
4:33.0,T. Waller-Prince misses 2-pt shot from 4 ft,,57-62,,
4:32.0,,,57-62,,Defensive rebound by S. Kilpatrick
4:14.0,Personal foul by M. Dunleavy (drawn by I. Whitehead),,57-62,,
4:04.0,,,57-62,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by D. Schroder,,57-62,,
3:51.0,P. Millsap misses 2-pt shot from 3 ft,,57-62,,
3:50.0,,,57-62,,Defensive rebound by R. Hollis-Jefferson
3:47.0,,,57-62,,S. Dinwiddie enters the game for J. Lin
3:47.0,,,57-62,,T. Booker enters the game for R. Hollis-Jefferson
3:47.0,K. Bazemore enters the game for M. Dunleavy,,57-62,,
3:47.0,,,57-62,,Brooklyn full timeout
3:42.0,,,57-64,2,B. Lopez makes 2-pt shot from 15 ft (assist by I. Whitehead)
3:27.0,P. Millsap misses 3-pt shot from 26 ft,,57-64,,
3:26.0,,,57-64,,Defensive rebound by Team
3:18.0,,,57-64,,B. Lopez misses 2-pt shot at rim
3:17.0,Defensive rebound by M. Muscala,,57-64,,
3:05.0,Shooting foul by I. Whitehead (drawn by P. Millsap),,57-64,,
3:05.0,P. Millsap makes free throw 1 of 2,1,58-64,,
3:05.0,P. Millsap makes free throw 2 of 2,1,59-64,,
3:05.0,,,58-64,,Q. Acy enters the game for B. Lopez
3:05.0,T. Hardaway enters the game for T. Waller-Prince,,58-64,,
2:53.0,,,59-66,2,I. Whitehead makes 2-pt shot from 8 ft
2:34.0,Shooting foul by T. Booker (drawn by P. Millsap),,59-66,,
2:34.0,P. Millsap makes free throw 1 of 2,1,60-66,,
2:34.0,P. Millsap misses free throw 2 of 2,,60-66,,
2:33.0,Offensive rebound by K. Bazemore,,60-66,,
2:20.0,Offensive charge foul by T. Hardaway,,60-66,,
2:20.0,Turnover by T. Hardaway (offensive foul),,60-66,,
2:02.0,,,60-66,,S. Dinwiddie misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by Team,,60-66,,
1:51.0,K. Bazemore misses 3-pt shot from 27 ft,,60-66,,
1:50.0,,,60-66,,Defensive rebound by T. Booker
1:28.0,,,60-68,2,S. Kilpatrick makes 2-pt shot from 6 ft
1:12.0,Offensive foul by K. Bazemore,,60-68,,
1:12.0,Turnover by K. Bazemore (offensive foul),,60-68,,
1:12.0,E. Ilyasova enters the game for M. Muscala,,60-68,,
0:58.0,,,60-68,,I. Whitehead misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by P. Millsap,,60-68,,
0:50.0,P. Millsap misses 2-pt shot from 2 ft,,60-68,,
0:49.0,,,60-68,,Defensive rebound by Q. Acy
0:44.0,Shooting block foul by E. Ilyasova (drawn by I. Whitehead),,60-68,,
0:44.0,,,60-69,1,I. Whitehead makes free throw 1 of 2
0:44.0,,,60-70,1,I. Whitehead makes free throw 2 of 2
0:29.0,,,60-70,,Shooting block foul by T. Booker (drawn by K. Bazemore)
0:29.0,K. Bazemore misses free throw 1 of 2,,60-70,,
0:29.0,Offensive rebound by Team,,60-70,,
0:29.0,K. Bazemore makes free throw 2 of 2,1,61-70,,
0:29.0,T. Waller-Prince enters the game for P. Millsap,,60-70,,
0:09.0,,,61-70,,Offensive charge foul by I. Whitehead
0:09.0,,,61-70,,Turnover by I. Whitehead (offensive foul)
0:09.0,M. Dunleavy enters the game for T. Waller-Prince,,61-70,,
0:09.0,,,61-70,,A. Goodwin enters the game for Q. Acy
0:03.0,D. Schroder misses 2-pt shot from 3 ft (block by S. Dinwiddie),,61-70,,
0:02.0,,,61-70,,Defensive rebound by T. Booker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,61-70,,Shooting foul by T. Waller-Prince (drawn by S. Kilpatrick)
11:49.0,,,61-71,1,S. Kilpatrick makes free throw 1 of 2
11:49.0,,,61-72,1,S. Kilpatrick makes free throw 2 of 2
11:40.0,T. Hardaway makes 2-pt shot from 15 ft,2,63-72,,
11:24.0,,,63-72,,Shooting foul by K. Bazemore (drawn by S. Dinwiddie)
11:24.0,,,63-73,1,S. Dinwiddie makes free throw 1 of 3
11:24.0,,,63-74,1,S. Dinwiddie makes free throw 2 of 3
11:24.0,,,63-75,1,S. Dinwiddie makes free throw 3 of 3
11:14.0,T. Hardaway misses 3-pt shot from 25 ft,,63-75,,
11:13.0,,,63-75,,Defensive rebound by Q. Acy
11:00.0,,,63-75,,I. Whitehead misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by T. Hardaway,,63-75,,
10:47.0,K. Bazemore misses 3-pt shot from 25 ft,,63-75,,
10:46.0,,,63-75,,Defensive rebound by S. Kilpatrick
10:33.0,,,63-75,,S. Kilpatrick misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by D. Howard,,63-75,,
10:24.0,Turnover by D. Howard (bad pass),,63-75,,
10:24.0,D. Schroder enters the game for K. Bazemore,,63-75,,
10:14.0,,,63-75,,S. Dinwiddie misses 2-pt shot from 14 ft
10:13.0,Defensive rebound by D. Howard,,63-75,,
9:53.0,Turnover by T. Hardaway (lost ball),,63-75,,
9:53.0,,,63-75,,A. Goodwin enters the game for S. Kilpatrick
9:37.0,,,63-78,3,T. Booker makes 3-pt shot from 25 ft
9:24.0,Turnover by T. Hardaway (lost ball),,63-78,,
9:24.0,P. Millsap enters the game for D. Howard,,63-78,,
9:05.0,,,63-78,,Offensive foul by T. Booker
9:05.0,,,63-78,,Turnover by T. Booker (offensive foul)
8:52.0,T. Waller-Prince makes 2-pt shot from 3 ft (assist by D. Schroder),2,65-78,,
8:38.0,,,65-78,,Turnover by I. Whitehead (lost ball; steal by D. Schroder)
8:34.0,T. Waller-Prince makes 2-pt shot at rim (assist by D. Schroder),2,67-78,,
8:34.0,,,67-78,,Brooklyn full timeout
8:34.0,,,67-78,,R. Hollis-Jefferson enters the game for Q. Acy
8:13.0,,,67-80,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft
8:03.0,D. Schroder misses 2-pt shot from 22 ft,,67-80,,
8:02.0,,,67-80,,Defensive rebound by T. Booker
7:39.0,,,67-80,,A. Goodwin misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Calderon,,67-80,,
7:32.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,67-80,,
7:31.0,,,67-80,,Defensive rebound by S. Dinwiddie
7:25.0,Personal block foul by T. Hardaway (drawn by S. Dinwiddie),,67-80,,
7:25.0,,,67-80,,B. Lopez enters the game for T. Booker
7:20.0,,,67-80,,Turnover by B. Lopez (bad pass)
7:04.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Waller-Prince),3,70-80,,
6:47.0,Personal block foul by T. Waller-Prince (drawn by B. Lopez),,70-80,,
6:47.0,,,70-80,,S. Kilpatrick enters the game for I. Whitehead
6:47.0,,,70-80,,J. Lin enters the game for A. Goodwin
6:34.0,,,70-80,,B. Lopez misses 2-pt shot from 18 ft
6:33.0,Defensive rebound by Team,,70-80,,
6:25.0,D. Schroder makes 2-pt shot from 19 ft,2,72-80,,
6:07.0,,,72-80,,Turnover by B. Lopez (lost ball)
5:59.0,J. Calderon misses 3-pt shot from 26 ft,,72-80,,
