time,Houston,pts.away,score,pts.home,Milwaukee
7:14.0,,,13-12,2,G. Antetokounmpo makes 2-pt shot at rim
7:03.0,R. Anderson makes 2-pt shot from 1 ft (assist by T. Ariza),2,15-12,,
7:03.0,Shooting foul by M. Plumlee (drawn by R. Anderson),,15-12,,
7:03.0,R. Anderson makes free throw 1 of 1,1,16-12,,
6:47.0,,,16-15,3,J. Parker makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
6:31.0,C. Capela misses 2-pt shot from 1 ft,,16-15,,
6:29.0,,,16-15,,Defensive rebound by J. Parker
6:29.0,Personal take foul by P. Beverley (drawn by J. Parker),,16-15,,
6:29.0,,,16-15,,M. Brogdon enters the game for M. Dellavedova
6:17.0,,,16-15,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:16.0,,,16-15,,Offensive rebound by M. Plumlee
6:11.0,,,16-15,,M. Plumlee misses 2-pt shot from 13 ft
6:09.0,Defensive rebound by J. Harden,,16-15,,
6:04.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,18-15,,
5:50.0,,,18-18,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon)
5:30.0,Turnover by T. Ariza (bad pass; steal by M. Plumlee),,18-18,,
5:27.0,,,18-18,,Shooting foul by R. Anderson (drawn by G. Antetokounmpo)
5:27.0,,,18-18,,Milwaukee full timeout
5:27.0,,,18-19,1,G. Antetokounmpo makes free throw 1 of 2
5:27.0,,,18-20,1,G. Antetokounmpo makes free throw 2 of 2
5:27.0,E. Gordon enters the game for C. Capela,,18-18,,
5:27.0,N. Hilario enters the game for P. Beverley,,18-18,,
5:27.0,,,18-18,,G. Monroe enters the game for M. Plumlee
5:04.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden),2,20-20,,
4:47.0,,,20-20,,J. Parker misses 2-pt shot from 2 ft
4:46.0,Defensive rebound by J. Harden,,20-20,,
4:43.0,Turnover by J. Harden (lost ball; steal by J. Parker),,20-20,,
4:37.0,,,20-22,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
4:22.0,N. Hilario misses 2-pt shot from 17 ft,,20-22,,
4:21.0,,,20-22,,Defensive rebound by J. Parker
4:15.0,,,20-22,,Turnover by J. Parker (bad pass; steal by R. Anderson)
4:08.0,R. Anderson misses 3-pt shot from 28 ft,,20-22,,
4:07.0,,,20-22,,Defensive rebound by Team
4:07.0,,,20-22,,M. Teletovic enters the game for G. Antetokounmpo
4:07.0,S. Dekker enters the game for R. Anderson,,20-22,,
3:58.0,,,20-24,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
3:38.0,Shooting foul by T. Snell (drawn by N. Hilario),,20-24,,
3:38.0,N. Hilario misses free throw 1 of 2,,20-24,,
3:38.0,Offensive rebound by Team,,20-24,,
3:38.0,N. Hilario makes free throw 2 of 2,1,21-24,,
3:29.0,,,21-24,,M. Teletovic misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by N. Hilario,,21-24,,
3:16.0,N. Hilario misses 2-pt shot from 17 ft,,21-24,,
3:15.0,,,21-24,,Defensive rebound by T. Snell
3:09.0,,,21-26,2,G. Monroe makes 2-pt shot at rim (assist by J. Parker)
2:57.0,Turnover by J. Harden (lost ball; steal by G. Monroe),,21-26,,
2:49.0,,,21-29,3,T. Snell makes 3-pt shot from 28 ft (assist by M. Brogdon)
2:49.0,Houston full timeout,,21-29,,
2:31.0,S. Dekker makes 2-pt shot at rim (assist by E. Gordon),2,23-29,,
2:03.0,,,23-29,,Turnover by T. Snell (lost ball; steal by T. Ariza)
2:03.0,,,23-29,,Personal foul by T. Snell (drawn by T. Ariza)
2:03.0,,,23-29,,J. Terry enters the game for T. Snell
1:56.0,Turnover by J. Harden (bad pass; steal by M. Teletovic),,23-29,,
1:51.0,,,23-29,,J. Terry misses 2-pt shot from 1 ft (block by J. Harden)
1:49.0,Defensive rebound by T. Ariza,,23-29,,
1:47.0,Turnover by E. Gordon (bad pass),,23-29,,
1:34.0,,,23-29,,J. Parker misses 2-pt shot from 13 ft
1:33.0,Defensive rebound by N. Hilario,,23-29,,
1:25.0,S. Dekker misses 3-pt shot from 23 ft,,23-29,,
1:24.0,,,23-29,,Defensive rebound by M. Teletovic
1:22.0,,,23-29,,Turnover by M. Teletovic (bad pass)
1:16.0,E. Gordon makes 3-pt shot from 31 ft (assist by J. Harden),3,26-29,,
1:01.0,,,26-31,2,M. Brogdon makes 2-pt shot at rim
0:53.0,Shooting foul by M. Brogdon (drawn by J. Harden),,26-31,,
0:53.0,J. Harden makes free throw 1 of 3,1,27-31,,
0:53.0,J. Harden makes free throw 2 of 3,1,28-31,,
0:53.0,J. Harden makes free throw 3 of 3,1,29-31,,
0:38.0,,,29-33,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
0:30.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,31-33,,
0:09.0,,,31-33,,Turnover by M. Brogdon (lost ball; steal by N. Hilario)
0:05.0,J. Harden makes 2-pt shot from 2 ft,2,33-33,,
0:00.0,,,33-33,,J. Parker misses 3-pt shot from 28 ft
0:00.0,,,33-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,33-33,,G. Monroe misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by S. Dekker,,33-33,,
11:24.0,Turnover by E. Gordon (lost ball; steal by J. Terry),,33-33,,
11:20.0,,,33-35,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
11:04.0,Offensive charge foul by C. Brewer,,33-35,,
11:04.0,Turnover by C. Brewer (offensive foul),,33-35,,
10:49.0,,,33-35,,Shooting foul by M. Harrell (drawn by G. Antetokounmpo)
10:49.0,,,33-36,1,G. Antetokounmpo makes free throw 1 of 2
10:49.0,,,33-37,1,G. Antetokounmpo makes free throw 2 of 2
10:26.0,Offensive foul by M. Harrell,,33-37,,
10:26.0,Turnover by M. Harrell (offensive foul),,33-37,,
10:17.0,,,33-39,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
10:01.0,C. Brewer misses 3-pt shot from 28 ft,,33-39,,
10:00.0,,,33-39,,Defensive rebound by G. Monroe
9:51.0,,,33-41,2,M. Teletovic makes 2-pt shot at rim (assist by M. Dellavedova)
9:51.0,Houston full timeout,,33-41,,
9:26.0,P. Beverley misses 3-pt shot from 28 ft,,33-41,,
9:26.0,Offensive rebound by Team,,33-41,,
9:26.0,Turnover by Team (shot clock),,33-41,,
9:06.0,,,33-43,2,G. Antetokounmpo makes 2-pt shot from 10 ft
8:55.0,M. Harrell misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,33-43,,
8:53.0,,,33-43,,Defensive rebound by M. Teletovic
8:47.0,,,33-45,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
8:26.0,S. Dekker misses 3-pt shot from 26 ft,,33-45,,
8:25.0,,,33-45,,Defensive rebound by G. Monroe
8:11.0,,,33-47,2,G. Monroe makes 2-pt shot from 6 ft
8:11.0,Houston full timeout,,33-47,,
8:11.0,T. Ariza enters the game for S. Dekker,,33-47,,
8:11.0,C. Capela enters the game for M. Harrell,,33-47,,
8:11.0,J. Harden enters the game for C. Brewer,,33-47,,
7:50.0,C. Capela makes 2-pt shot from 6 ft,2,35-47,,
7:34.0,,,35-50,3,J. Terry makes 3-pt shot from 24 ft (assist by M. Dellavedova)
7:20.0,E. Gordon misses 3-pt shot from 27 ft,,35-50,,
7:17.0,,,35-50,,Defensive rebound by G. Monroe
7:13.0,,,35-50,,Offensive charge foul by G. Antetokounmpo
7:13.0,,,35-50,,Turnover by G. Antetokounmpo (offensive foul)
6:58.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,38-50,,
6:39.0,,,38-50,,Turnover by G. Antetokounmpo (lost ball; steal by J. Harden)
6:37.0,Shooting foul by M. Teletovic (drawn by J. Harden),,38-50,,
6:37.0,J. Harden misses free throw 1 of 2,,38-50,,
6:37.0,Offensive rebound by Team,,38-50,,
6:37.0,J. Harden makes free throw 2 of 2,1,39-50,,
6:37.0,R. Anderson enters the game for E. Gordon,,38-50,,
6:37.0,,,38-50,,T. Snell enters the game for J. Terry
6:37.0,,,38-50,,J. Parker enters the game for M. Teletovic
6:30.0,,,39-50,,Offensive foul by G. Monroe
6:30.0,,,39-50,,Turnover by G. Monroe (offensive foul)
6:26.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,41-50,,
6:00.0,,,41-52,2,M. Dellavedova makes 2-pt shot from 5 ft (assist by T. Snell)
5:51.0,T. Ariza misses 3-pt shot from 26 ft,,41-52,,
5:50.0,Offensive rebound by Team,,41-52,,
5:50.0,Official timeout,,41-52,,
5:49.0,,,41-52,,Shooting block foul by G. Antetokounmpo (drawn by C. Capela)
5:49.0,C. Capela makes free throw 1 of 2,1,42-52,,
5:49.0,C. Capela misses free throw 2 of 2,,42-52,,
5:47.0,,,42-52,,Defensive rebound by J. Parker
5:33.0,,,42-54,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
5:19.0,Shooting foul by T. Snell (drawn by C. Capela),,42-54,,
5:19.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,44-54,,
5:19.0,C. Capela makes free throw 1 of 1,1,45-54,,
5:02.0,,,45-56,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
4:52.0,Shooting foul by J. Parker (drawn by J. Harden),,45-56,,
4:52.0,J. Harden makes free throw 1 of 3,1,46-56,,
4:52.0,J. Harden makes free throw 2 of 3,1,47-56,,
4:52.0,J. Harden makes free throw 3 of 3,1,48-56,,
4:52.0,,,47-56,,M. Brogdon enters the game for M. Dellavedova
4:52.0,,,47-56,,M. Plumlee enters the game for G. Monroe
4:36.0,,,48-58,2,J. Parker makes 2-pt shot from 14 ft
4:18.0,R. Anderson makes 2-pt shot from 10 ft (assist by J. Harden),2,50-58,,
3:56.0,,,50-60,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Parker)
3:37.0,C. Capela misses 2-pt shot from 3 ft (block by J. Parker),,50-60,,
3:35.0,,,50-60,,Defensive rebound by M. Plumlee
3:29.0,,,50-60,,Shooting foul by J. Harden (drawn by J. Parker)
3:29.0,,,50-61,1,J. Parker makes free throw 1 of 2
3:29.0,,,50-62,1,J. Parker makes free throw 2 of 2
3:29.0,,,50-61,,M. Dellavedova enters the game for T. Snell
3:29.0,E. Gordon enters the game for C. Capela,,50-61,,
3:29.0,N. Hilario enters the game for P. Beverley,,50-61,,
3:08.0,Turnover by J. Harden (bad pass; steal by J. Parker),,50-62,,
2:58.0,,,50-62,,Turnover by M. Brogdon (bad pass; steal by T. Ariza)
2:52.0,R. Anderson makes 3-pt shot from 23 ft (assist by E. Gordon),3,53-62,,
2:40.0,,,53-62,,Turnover by M. Dellavedova (bad pass)
2:40.0,,,53-62,,Milwaukee full timeout
2:30.0,,,53-62,,Personal foul by M. Dellavedova (drawn by N. Hilario)
2:30.0,N. Hilario misses free throw 1 of 2,,53-62,,
2:30.0,Offensive rebound by Team,,53-62,,
2:30.0,N. Hilario makes free throw 2 of 2,1,54-62,,
2:13.0,,,54-64,2,M. Dellavedova makes 2-pt shot from 22 ft (assist by M. Brogdon)
2:04.0,J. Harden makes 3-pt shot from 26 ft,3,57-64,,
1:51.0,,,57-64,,M. Brogdon misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by T. Ariza,,57-64,,
1:41.0,J. Harden makes 2-pt shot at rim,2,59-64,,
1:26.0,,,59-64,,M. Brogdon misses 2-pt shot from 3 ft (block by N. Hilario)
1:23.0,,,59-64,,Offensive rebound by G. Antetokounmpo
1:23.0,,,59-64,,Shooting foul by T. Ariza (drawn by G. Antetokounmpo)
1:23.0,,,59-64,,G. Antetokounmpo misses free throw 1 of 2
1:23.0,,,59-64,,Offensive rebound by Team
1:23.0,,,59-65,1,G. Antetokounmpo makes free throw 2 of 2
1:00.0,N. Hilario makes 2-pt shot from 15 ft (assist by T. Ariza),2,61-65,,
1:00.0,Violation by Team (jump ball),,61-65,,
0:49.0,,,61-65,,Turnover by J. Parker (lost ball; steal by T. Ariza)
0:40.0,E. Gordon misses 3-pt shot from 28 ft,,61-65,,
0:39.0,Offensive rebound by N. Hilario,,61-65,,
0:34.0,E. Gordon misses 2-pt shot from 5 ft,,61-65,,
0:33.0,,,61-65,,Defensive rebound by J. Parker
0:22.0,,,61-68,3,J. Parker makes 3-pt shot from 26 ft (assist by M. Plumlee)
0:03.0,J. Harden makes 3-pt shot from 26 ft,3,64-68,,
0:00.0,,,64-68,,G. Antetokounmpo misses 3-pt shot from 36 ft
0:00.0,,,64-68,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by C. Capela (drawn by M. Plumlee),,64-68,,
11:43.0,,,64-70,2,J. Parker makes 2-pt shot from 17 ft
11:22.0,Offensive foul by J. Harden,,64-70,,
11:22.0,Turnover by J. Harden (offensive foul),,64-70,,
11:15.0,Personal foul by P. Beverley (drawn by T. Snell),,64-70,,
11:05.0,,,64-70,,Shooting foul by R. Anderson (drawn by M. Plumlee)
11:05.0,,,64-71,1,M. Plumlee makes free throw 1 of 2
11:05.0,,,64-72,1,M. Plumlee makes free throw 2 of 2
10:46.0,P. Beverley makes 3-pt shot from 26 ft (assist by T. Ariza),3,67-72,,
10:22.0,,,67-74,2,G. Antetokounmpo makes 2-pt shot from 6 ft
10:10.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,69-74,,
9:54.0,,,69-77,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
9:40.0,P. Beverley makes 3-pt shot from 24 ft (assist by C. Capela),3,72-77,,
9:15.0,,,72-77,,J. Parker misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by T. Ariza,,72-77,,
9:02.0,T. Ariza misses 2-pt shot at rim (block by G. Antetokounmpo),,72-77,,
8:59.0,,,72-77,,Defensive rebound by T. Snell
8:53.0,,,72-77,,Turnover by G. Antetokounmpo (lost ball; steal by J. Harden)
8:49.0,Shooting foul by T. Snell (drawn by J. Harden),,72-77,,
8:49.0,J. Harden makes free throw 1 of 2,1,73-77,,
8:49.0,J. Harden makes free throw 2 of 2,1,74-77,,
8:49.0,,,73-77,,M. Brogdon enters the game for T. Snell
8:35.0,,,74-77,,J. Parker misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by J. Harden,,74-77,,
8:22.0,P. Beverley makes 2-pt shot from 1 ft,2,76-77,,
8:22.0,,,76-77,,Milwaukee full timeout
8:11.0,,,76-77,,J. Parker misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by T. Ariza,,76-77,,
8:03.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,78-77,,
7:35.0,,,78-77,,M. Brogdon misses 3-pt shot from 27 ft
7:34.0,Defensive rebound by T. Ariza,,78-77,,
7:28.0,T. Ariza misses 3-pt shot from 25 ft,,78-77,,
7:27.0,,,78-77,,Defensive rebound by J. Parker
7:13.0,,,78-80,3,G. Antetokounmpo makes 3-pt shot from 28 ft
6:49.0,Shooting foul by M. Dellavedova (drawn by J. Harden),,78-80,,
6:49.0,J. Harden makes free throw 1 of 2,1,79-80,,
6:49.0,J. Harden makes free throw 2 of 2,1,80-80,,
6:30.0,,,80-82,2,M. Plumlee makes 2-pt shot at rim (assist by M. Dellavedova)
6:21.0,J. Harden misses 3-pt shot from 26 ft,,80-82,,
6:20.0,,,80-82,,Defensive rebound by M. Dellavedova
6:09.0,,,80-82,,Turnover by G. Antetokounmpo (bad pass; steal by J. Harden)
6:03.0,C. Capela misses 2-pt shot from 1 ft,,80-82,,
6:01.0,,,80-82,,Defensive rebound by G. Antetokounmpo
5:56.0,,,80-84,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
5:42.0,Turnover by J. Harden (bad pass; steal by M. Brogdon),,80-84,,
5:41.0,Personal take foul by R. Anderson (drawn by G. Antetokounmpo),,80-84,,
5:41.0,N. Hilario enters the game for C. Capela,,80-84,,
5:41.0,E. Gordon enters the game for P. Beverley,,80-84,,
5:29.0,,,80-84,,Turnover by M. Brogdon (bad pass; steal by J. Harden)
5:18.0,Shooting foul by M. Plumlee (drawn by T. Ariza),,80-84,,
5:18.0,T. Ariza makes free throw 1 of 2,1,81-84,,
5:18.0,T. Ariza makes free throw 2 of 2,1,82-84,,
5:05.0,,,82-84,,Shooting foul by E. Gordon (drawn by M. Dellavedova)
5:05.0,,,82-86,2,M. Dellavedova makes 2-pt shot from 5 ft (assist by J. Parker)
5:05.0,,,82-87,1,M. Dellavedova makes free throw 1 of 1
4:43.0,N. Hilario makes 2-pt shot at rim,2,84-87,,
4:33.0,,,84-87,,Turnover by M. Dellavedova (bad pass; steal by T. Ariza)
4:20.0,J. Harden misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,84-87,,
4:18.0,Offensive rebound by N. Hilario,,84-87,,
4:13.0,R. Anderson misses 3-pt shot from 25 ft,,84-87,,
4:12.0,,,84-87,,Defensive rebound by G. Antetokounmpo
3:57.0,,,84-87,,G. Antetokounmpo misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by J. Harden,,84-87,,
3:44.0,N. Hilario misses 2-pt shot from 1 ft,,84-87,,
3:43.0,,,84-87,,Defensive rebound by M. Brogdon
3:33.0,,,84-87,,G. Antetokounmpo misses 2-pt shot at rim
3:32.0,,,84-87,,Offensive rebound by Team
3:32.0,S. Dekker enters the game for R. Anderson,,84-87,,
3:32.0,,,84-87,,G. Monroe enters the game for M. Plumlee
3:32.0,,,84-87,,M. Teletovic enters the game for J. Parker
3:32.0,Jump ball: G. Antetokounmpo vs. T. Ariza (M. Teletovic gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Ariza (M. Teletovic gains possession)
3:12.0,,,84-87,,M. Teletovic misses 3-pt shot from 24 ft
3:10.0,,,84-87,,Offensive rebound by G. Monroe
3:09.0,,,84-87,,G. Monroe misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by E. Gordon,,84-87,,
3:08.0,,,84-87,,Personal foul by G. Monroe (drawn by J. Harden)
2:50.0,E. Gordon misses 3-pt shot from 27 ft,,84-87,,
2:49.0,,,84-87,,Defensive rebound by M. Dellavedova
2:36.0,,,84-90,3,M. Dellavedova makes 3-pt shot from 25 ft
2:20.0,E. Gordon makes 3-pt shot from 28 ft (assist by J. Harden),3,87-90,,
2:09.0,,,87-92,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:54.0,E. Gordon misses 3-pt shot from 24 ft,,87-92,,
1:53.0,,,87-92,,Defensive rebound by G. Monroe
1:39.0,,,87-92,,G. Monroe misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by N. Hilario,,87-92,,
1:31.0,T. Ariza misses 2-pt shot from 18 ft,,87-92,,
1:30.0,,,87-92,,Defensive rebound by G. Monroe
1:17.0,,,87-92,,Shooting foul by S. Dekker (drawn by M. Dellavedova)
1:17.0,Houston full timeout,,87-92,,
1:17.0,,,87-92,,M. Dellavedova misses free throw 1 of 2
1:17.0,,,87-92,,Offensive rebound by Team
1:17.0,,,87-93,1,M. Dellavedova makes free throw 2 of 2
0:57.0,E. Gordon makes 3-pt shot from 28 ft (assist by J. Harden),3,90-93,,
0:31.0,,,90-93,,G. Antetokounmpo misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by Team,,90-93,,
0:31.0,,,90-93,,Loose ball foul by G. Monroe (drawn by N. Hilario)
0:31.0,N. Hilario makes free throw 1 of 2,1,91-93,,
0:31.0,N. Hilario misses free throw 2 of 2,,91-93,,
0:30.0,,,91-93,,Defensive rebound by G. Monroe
0:13.0,,,91-93,,M. Dellavedova misses 3-pt shot from 28 ft
0:12.0,,,91-93,,Offensive rebound by G. Monroe
0:06.0,,,91-93,,M. Teletovic misses 3-pt shot from 28 ft
0:05.0,Defensive rebound by E. Gordon,,91-93,,
0:01.0,Turnover by J. Harden (lost ball; steal by M. Brogdon),,91-93,,
0:00.0,,,91-93,,G. Monroe misses 3-pt shot from 53 ft
0:00.0,,,91-93,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,S. Dekker misses 2-pt shot from 1 ft,,91-93,,
11:47.0,,,91-93,,Defensive rebound by Team
11:47.0,Loose ball foul by C. Capela (drawn by G. Monroe),,91-93,,
11:31.0,,,91-93,,G. Monroe misses 2-pt shot from 3 ft
11:30.0,Defensive rebound by C. Capela,,91-93,,
11:17.0,S. Dekker misses 2-pt shot at rim,,91-93,,
11:16.0,,,91-93,,Defensive rebound by J. Parker
10:54.0,,,91-93,,G. Monroe misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by C. Capela,,91-93,,
10:49.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,93-93,,
10:26.0,,,93-93,,Turnover by M. Brogdon (bad pass)
10:16.0,P. Beverley makes 2-pt shot from 1 ft,2,95-93,,
10:16.0,,,95-93,,Milwaukee full timeout
10:16.0,C. Brewer enters the game for R. Anderson,,95-93,,
10:01.0,,,95-93,,Shooting foul by E. Gordon (drawn by M. Brogdon)
10:01.0,,,95-94,1,M. Brogdon makes free throw 1 of 2
10:01.0,,,95-95,1,M. Brogdon makes free throw 2 of 2
9:46.0,Turnover by E. Gordon (lost ball; steal by J. Terry),,95-95,,
9:42.0,,,95-97,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Brogdon)
9:25.0,S. Dekker misses 3-pt shot from 24 ft,,95-97,,
9:24.0,Offensive rebound by C. Capela,,95-97,,
9:23.0,C. Capela makes 2-pt shot from 1 ft,2,97-97,,
8:53.0,,,97-99,2,M. Brogdon makes 2-pt shot from 12 ft
8:38.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,99-99,,
8:08.0,,,99-101,2,J. Terry makes 2-pt shot from 16 ft (assist by M. Brogdon)
7:50.0,P. Beverley misses 3-pt shot from 27 ft,,99-101,,
7:49.0,,,99-101,,Defensive rebound by G. Monroe
7:42.0,,,99-104,3,J. Terry makes 3-pt shot from 26 ft (assist by G. Monroe)
7:25.0,Turnover by E. Gordon (lost ball; steal by J. Terry),,99-104,,
7:22.0,,,99-104,,Shooting foul by C. Capela (drawn by G. Monroe)
7:22.0,,,99-105,1,G. Monroe makes free throw 1 of 2
7:22.0,,,99-105,,G. Monroe misses free throw 2 of 2
7:22.0,N. Hilario enters the game for C. Capela,,99-105,,
7:22.0,J. Harden enters the game for E. Gordon,,99-105,,
7:22.0,T. Ariza enters the game for S. Dekker,,99-105,,
7:22.0,R. Anderson enters the game for C. Brewer,,99-105,,
7:22.0,,,99-105,,T. Snell enters the game for M. Teletovic
7:19.0,Defensive rebound by J. Harden,,99-105,,
7:13.0,Turnover by J. Harden (bad pass; steal by G. Monroe),,99-105,,
7:11.0,,,99-105,,Shooting foul by R. Anderson (drawn by J. Parker)
7:11.0,,,99-106,1,J. Parker makes free throw 1 of 2
7:11.0,,,99-107,1,J. Parker makes free throw 2 of 2
6:57.0,Turnover by R. Anderson (bad pass; steal by M. Brogdon),,99-107,,
6:47.0,,,99-110,3,T. Snell makes 3-pt shot from 27 ft (assist by J. Parker)
6:47.0,Houston full timeout,,99-110,,
6:32.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,101-110,,
6:09.0,,,101-110,,M. Brogdon misses 2-pt shot from 1 ft (block by N. Hilario)
6:07.0,,,101-110,,Offensive rebound by J. Terry
6:03.0,,,101-110,,J. Terry misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Harden,,101-110,,
5:55.0,T. Ariza makes 3-pt shot from 23 ft (assist by N. Hilario),3,104-110,,
5:35.0,,,104-110,,J. Parker misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by J. Harden,,104-110,,
5:17.0,Turnover by J. Harden (bad pass; steal by G. Monroe),,104-110,,
5:06.0,,,104-112,2,G. Monroe makes 2-pt shot from 3 ft
4:52.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,107-112,,
4:35.0,Personal take foul by N. Hilario (drawn by M. Brogdon),,107-112,,
4:35.0,,,107-112,,M. Brogdon misses free throw 1 of 2
4:35.0,,,107-112,,Offensive rebound by Team
4:35.0,,,107-112,,M. Brogdon misses free throw 2 of 2
4:35.0,,,107-112,,G. Antetokounmpo enters the game for J. Terry
4:34.0,Defensive rebound by J. Harden,,107-112,,
4:21.0,Turnover by J. Harden (bad pass; steal by M. Brogdon),,107-112,,
4:16.0,,,107-112,,M. Brogdon misses 2-pt shot from 4 ft (block by T. Ariza)
4:14.0,,,107-112,,Offensive rebound by G. Antetokounmpo
4:14.0,,,107-114,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:03.0,J. Harden makes 2-pt shot from 1 ft,2,109-114,,
3:37.0,,,109-116,2,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by M. Brogdon)
3:20.0,J. Harden misses 3-pt shot from 28 ft,,109-116,,
3:19.0,,,109-116,,Defensive rebound by M. Brogdon
