time,Memphis,pts.away,score,pts.home,Brooklyn
3:33.0,J. Ennis makes 2-pt shot from 2 ft,2,21-19,,
3:07.0,Personal foul by T. Douglas (drawn by I. Whitehead),,21-19,,
2:57.0,,,21-19,,T. Booker misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by V. Carter,,21-19,,
2:43.0,M. Gasol makes 2-pt shot from 3 ft (assist by T. Douglas),2,23-19,,
2:43.0,Shooting foul by I. Whitehead (drawn by Z. Randolph),,23-19,,
2:43.0,Memphis full timeout,,23-19,,
2:43.0,M. Gasol makes free throw 1 of 1,1,24-19,,
2:35.0,,,24-19,,Turnover by T. Booker (bad pass; steal by V. Carter)
2:25.0,V. Carter makes 3-pt shot from 27 ft (assist by M. Gasol),3,27-19,,
2:09.0,,,27-19,,T. Booker misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by M. Gasol,,27-19,,
1:50.0,Z. Randolph misses 2-pt shot from 18 ft,,27-19,,
1:49.0,,,27-19,,Defensive rebound by S. Kilpatrick
1:38.0,,,27-19,,L. Scola misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by T. Douglas,,27-19,,
1:23.0,Turnover by M. Gasol (traveling),,27-19,,
1:23.0,T. Daniels enters the game for J. Ennis,,27-19,,
1:07.0,,,27-19,,J. Harris misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by M. Gasol,,27-19,,
0:59.0,V. Carter misses 2-pt shot from 12 ft,,27-19,,
0:58.0,,,27-19,,Defensive rebound by S. Kilpatrick
0:44.0,,,27-19,,I. Whitehead misses 2-pt shot from 3 ft
0:43.0,Defensive rebound by Z. Randolph,,27-19,,
0:26.0,Z. Randolph misses 2-pt shot from 5 ft,,27-19,,
0:25.0,,,27-19,,Defensive rebound by L. Scola
0:06.0,,,27-19,,I. Whitehead misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by M. Gasol,,27-19,,
0:01.0,T. Douglas misses 3-pt shot from 51 ft,,27-19,,
0:00.0,Offensive rebound by Team,,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Wright misses 2-pt shot from 3 ft,,27-19,,
11:44.0,,,27-19,,Defensive rebound by J. Harris
11:25.0,,,27-21,2,T. Booker makes 2-pt shot from 17 ft
11:09.0,T. Daniels misses 3-pt shot from 24 ft,,27-21,,
11:08.0,Offensive rebound by Team,,27-21,,
11:07.0,M. Conley enters the game for T. Douglas,,27-21,,
11:05.0,Turnover by B. Wright (lost ball; steal by I. Whitehead),,27-21,,
10:52.0,,,27-21,,Turnover by J. Harris (bad pass)
10:41.0,T. Daniels misses 2-pt shot from 20 ft,,27-21,,
10:40.0,Offensive rebound by Z. Randolph,,27-21,,
10:39.0,Z. Randolph makes 2-pt shot from 1 ft,2,29-21,,
10:28.0,,,29-24,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
10:13.0,Z. Randolph misses 3-pt shot from 26 ft,,29-24,,
10:12.0,,,29-24,,Defensive rebound by T. Booker
10:00.0,,,29-26,2,I. Whitehead makes 2-pt shot from 1 ft (assist by L. Scola)
9:53.0,Memphis full timeout,,29-26,,
9:36.0,V. Carter makes 3-pt shot from 25 ft,3,32-26,,
9:23.0,,,32-28,2,C. LeVert makes 2-pt shot from 3 ft (assist by L. Scola)
9:17.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,35-28,,
9:05.0,,,35-28,,T. Booker misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by Team,,35-28,,
8:44.0,Turnover by Z. Randolph (lost ball; steal by I. Whitehead),,35-28,,
8:33.0,,,35-30,2,T. Booker makes 2-pt shot from 2 ft (assist by C. LeVert)
8:19.0,M. Conley makes 2-pt shot from 12 ft,2,37-30,,
8:07.0,,,37-30,,Turnover by I. Whitehead (bad pass; steal by V. Carter)
7:56.0,Z. Randolph misses 2-pt shot from 4 ft,,37-30,,
7:54.0,,,37-30,,Defensive rebound by T. Booker
7:49.0,,,37-32,2,T. Booker makes 2-pt shot from 2 ft
7:49.0,,,37-32,,Shooting foul by M. Conley (drawn by T. Booker)
7:49.0,,,37-33,1,T. Booker makes free throw 1 of 1
7:49.0,J. Ennis enters the game for V. Carter,,37-32,,
7:49.0,M. Gasol enters the game for Z. Randolph,,37-32,,
7:49.0,,,37-32,,B. Lopez enters the game for L. Scola
7:39.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,39-33,,
7:19.0,,,39-33,,C. LeVert misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by B. Wright,,39-33,,
7:15.0,Shooting foul by J. Harris (drawn by B. Wright),,39-33,,
7:15.0,B. Wright makes free throw 1 of 2,1,40-33,,
7:15.0,B. Wright makes free throw 2 of 2,1,41-33,,
7:15.0,C. Parsons enters the game for T. Daniels,,40-33,,
7:04.0,,,41-33,,Turnover by C. LeVert (bad pass; steal by B. Wright)
7:00.0,M. Conley misses 3-pt shot from 25 ft,,41-33,,
6:58.0,,,41-33,,Defensive rebound by C. LeVert
6:52.0,,,41-33,,B. Lopez misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by C. Parsons,,41-33,,
6:32.0,B. Wright makes 2-pt shot at rim (assist by M. Gasol),2,43-33,,
6:12.0,,,43-33,,C. LeVert misses 2-pt shot from 9 ft
6:07.0,Defensive rebound by C. Parsons,,43-33,,
5:57.0,,,43-33,,Personal foul by C. LeVert (drawn by B. Wright)
5:57.0,Official timeout,,43-33,,
5:57.0,,,43-33,,S. Dinwiddie enters the game for I. Whitehead
5:57.0,,,43-33,,B. Bogdanovic enters the game for T. Booker
5:57.0,,,43-33,,R. Hollis-Jefferson enters the game for J. Harris
5:48.0,B. Wright makes 2-pt shot at rim (assist by C. Parsons),2,45-33,,
5:32.0,,,45-33,,B. Lopez misses 2-pt shot from 6 ft
5:31.0,Defensive rebound by J. Ennis,,45-33,,
5:14.0,Turnover by M. Gasol (bad pass; steal by B. Lopez),,45-33,,
5:08.0,,,45-33,,B. Lopez misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by C. Parsons,,45-33,,
4:51.0,M. Conley misses 2-pt shot from 19 ft,,45-33,,
4:50.0,,,45-33,,Defensive rebound by B. Bogdanovic
4:41.0,,,45-35,2,B. Bogdanovic makes 2-pt shot from 2 ft
4:26.0,,,45-35,,Personal foul by B. Bogdanovic (drawn by C. Parsons)
4:26.0,J. Green enters the game for B. Wright,,45-35,,
4:22.0,M. Gasol misses 3-pt shot from 24 ft,,45-35,,
4:21.0,,,45-35,,Defensive rebound by R. Hollis-Jefferson
4:12.0,,,45-38,3,S. Dinwiddie makes 3-pt shot from 25 ft
4:05.0,Memphis full timeout,,45-38,,
4:05.0,,,45-38,,S. Kilpatrick enters the game for C. LeVert
3:57.0,M. Gasol misses 2-pt shot from 12 ft,,45-38,,
3:56.0,,,45-38,,Defensive rebound by Team
3:56.0,Loose ball foul by J. Green (drawn by S. Kilpatrick),,45-38,,
3:40.0,,,45-38,,Shooting foul by M. Gasol (drawn by B. Bogdanovic)
3:40.0,,,45-39,1,B. Bogdanovic makes free throw 1 of 2
3:40.0,,,45-40,1,B. Bogdanovic makes free throw 2 of 2
3:20.0,M. Gasol misses 2-pt shot from 17 ft,,45-40,,
3:19.0,,,45-40,,Defensive rebound by B. Bogdanovic
3:07.0,,,45-40,,B. Lopez misses 2-pt shot from 11 ft
3:05.0,Defensive rebound by C. Parsons,,45-40,,
2:57.0,C. Parsons misses 2-pt shot from 2 ft,,45-40,,
2:56.0,,,45-40,,Defensive rebound by B. Lopez
2:55.0,Personal foul by J. Green (drawn by B. Lopez),,45-40,,
2:44.0,,,45-40,,B. Lopez misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by J. Green,,45-40,,
2:30.0,,,45-40,,Personal foul by R. Hollis-Jefferson (drawn by M. Conley)
2:23.0,M. Conley makes 2-pt shot from 2 ft,2,47-40,,
2:06.0,,,47-40,,Turnover by R. Hollis-Jefferson (bad pass)
1:56.0,M. Gasol misses 2-pt shot from 11 ft,,47-40,,
1:55.0,,,47-40,,Defensive rebound by B. Bogdanovic
1:47.0,,,47-40,,B. Bogdanovic misses 2-pt shot from 19 ft
1:46.0,,,47-40,,Offensive rebound by B. Bogdanovic
1:43.0,,,47-40,,B. Bogdanovic misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by J. Ennis,,47-40,,
1:23.0,M. Conley makes 3-pt shot from 25 ft,3,50-40,,
1:01.0,,,50-40,,B. Lopez misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by J. Ennis,,50-40,,
0:52.0,Turnover by J. Ennis (lost ball),,50-40,,
0:29.0,,,50-40,,S. Kilpatrick misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by C. Parsons,,50-40,,
0:11.0,M. Conley makes 2-pt shot from 17 ft,2,52-40,,
0:04.0,,,52-40,,S. Dinwiddie misses 3-pt shot from 28 ft
0:02.0,,,52-40,,Offensive rebound by B. Lopez
0:00.0,,,52-40,,Shooting foul by J. Green (drawn by B. Lopez)
0:00.0,,,52-41,1,B. Lopez makes free throw 1 of 2
0:00.0,,,52-42,1,B. Lopez makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
0:00.0,B. Wright enters the game for J. Green,,52-41,,
11:50.0,C. Parsons misses 2-pt shot from 13 ft,,52-42,,
11:48.0,,,52-42,,Defensive rebound by R. Hollis-Jefferson
11:39.0,,,52-44,2,B. Lopez makes 2-pt shot from 18 ft (assist by R. Hollis-Jefferson)
11:15.0,M. Conley misses 2-pt shot from 4 ft,,52-44,,
11:14.0,Offensive rebound by M. Conley,,52-44,,
11:10.0,J. Green misses 2-pt shot from 17 ft,,52-44,,
11:10.0,,,52-44,,Defensive rebound by Team
10:59.0,,,52-46,2,B. Lopez makes 2-pt shot from 13 ft (assist by R. Foye)
10:37.0,J. Ennis makes 3-pt shot from 27 ft (assist by M. Gasol),3,55-46,,
10:20.0,,,55-46,,Turnover by R. Foye (bad pass; steal by C. Parsons)
10:12.0,M. Gasol misses 3-pt shot from 24 ft,,55-46,,
10:11.0,,,55-46,,Defensive rebound by S. Dinwiddie
10:05.0,,,55-46,,Shooting foul by J. Ennis (drawn by S. Dinwiddie)
10:05.0,,,55-47,1,S. Dinwiddie makes free throw 1 of 2
10:05.0,,,55-48,1,S. Dinwiddie makes free throw 2 of 2
9:50.0,Turnover by C. Parsons (bad pass; steal by R. Hollis-Jefferson),,55-48,,
9:46.0,,,55-50,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
9:44.0,Memphis full timeout,,55-50,,
9:31.0,M. Gasol makes 2-pt shot from 6 ft,2,57-50,,
9:19.0,,,57-50,,B. Lopez misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by C. Parsons,,57-50,,
9:04.0,Turnover by J. Ennis (lost ball; steal by R. Foye),,57-50,,
8:58.0,,,57-50,,Shooting foul by C. Parsons (drawn by R. Hollis-Jefferson)
8:58.0,,,57-50,,R. Hollis-Jefferson misses free throw 1 of 2
8:58.0,,,57-50,,Offensive rebound by Team
8:58.0,,,57-50,,R. Hollis-Jefferson misses free throw 2 of 2
8:57.0,Defensive rebound by M. Gasol,,57-50,,
8:33.0,M. Conley makes 2-pt shot from 23 ft (assist by M. Gasol),2,59-50,,
8:17.0,,,59-50,,R. Foye misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Green,,59-50,,
8:09.0,Shooting foul by R. Foye (drawn by J. Green),,59-50,,
8:09.0,J. Green makes free throw 1 of 2,1,60-50,,
8:09.0,J. Green makes free throw 2 of 2,1,61-50,,
8:01.0,,,61-50,,B. Lopez misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by J. Green,,61-50,,
7:52.0,Shooting foul by B. Lopez (drawn by M. Gasol),,61-50,,
7:52.0,M. Gasol makes free throw 1 of 2,1,62-50,,
7:52.0,M. Gasol makes free throw 2 of 2,1,63-50,,
7:27.0,,,63-50,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by C. Parsons,,63-50,,
7:14.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Conley),,63-50,,
7:14.0,M. Conley misses free throw 1 of 2,,63-50,,
7:14.0,Offensive rebound by Team,,63-50,,
7:14.0,M. Conley makes free throw 2 of 2,1,64-50,,
7:01.0,,,64-52,2,B. Lopez makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
6:45.0,Shooting foul by S. Dinwiddie (drawn by M. Gasol),,64-52,,
6:45.0,M. Gasol makes free throw 1 of 2,1,65-52,,
6:45.0,M. Gasol makes free throw 2 of 2,1,66-52,,
6:45.0,T. Douglas enters the game for J. Ennis,,65-52,,
6:32.0,,,66-55,3,S. Dinwiddie makes 3-pt shot from 23 ft (assist by R. Foye)
6:20.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol),2,68-55,,
6:10.0,,,68-55,,S. Dinwiddie misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by M. Gasol,,68-55,,
5:58.0,J. Green makes 2-pt shot from 6 ft (assist by M. Gasol),2,70-55,,
5:57.0,,,70-55,,Brooklyn full timeout
5:57.0,,,70-55,,T. Booker enters the game for B. Bogdanovic
5:57.0,,,70-55,,S. Kilpatrick enters the game for R. Hollis-Jefferson
5:35.0,,,70-58,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by B. Lopez)
5:19.0,M. Gasol misses 2-pt shot from 19 ft,,70-58,,
5:18.0,Offensive rebound by T. Douglas,,70-58,,
5:02.0,C. Parsons misses 3-pt shot from 27 ft,,70-58,,
5:01.0,,,70-58,,Defensive rebound by S. Kilpatrick
4:53.0,,,70-60,2,S. Kilpatrick makes 2-pt shot from 19 ft
4:29.0,Turnover by T. Douglas (bad pass; steal by S. Kilpatrick),,70-60,,
4:18.0,,,70-62,2,S. Dinwiddie makes 2-pt shot from 7 ft (assist by S. Kilpatrick)
3:57.0,Shooting foul by B. Lopez (drawn by M. Conley),,70-62,,
3:57.0,M. Conley makes free throw 1 of 2,1,71-62,,
3:57.0,M. Conley makes free throw 2 of 2,1,72-62,,
3:57.0,Z. Randolph enters the game for J. Green,,71-62,,
3:57.0,,,71-62,,I. Whitehead enters the game for S. Dinwiddie
3:57.0,,,71-62,,C. LeVert enters the game for R. Foye
3:37.0,,,72-64,2,B. Lopez makes 2-pt shot from 7 ft (assist by S. Kilpatrick)
3:08.0,M. Gasol makes 2-pt shot from 19 ft,2,74-64,,
2:39.0,,,74-67,3,B. Lopez makes 3-pt shot from 26 ft (assist by I. Whitehead)
2:21.0,Shooting foul by C. LeVert (drawn by Z. Randolph),,74-67,,
2:21.0,Z. Randolph misses free throw 1 of 2,,74-67,,
2:21.0,Offensive rebound by Team,,74-67,,
2:21.0,Z. Randolph makes free throw 2 of 2,1,75-67,,
2:21.0,,,74-67,,L. Scola enters the game for B. Lopez
2:21.0,V. Carter enters the game for M. Conley,,74-67,,
2:21.0,B. Wright enters the game for M. Gasol,,74-67,,
2:11.0,,,75-69,2,I. Whitehead makes 2-pt shot from 2 ft (assist by L. Scola)
1:46.0,V. Carter misses 2-pt shot from 15 ft,,75-69,,
1:45.0,,,75-69,,Defensive rebound by C. LeVert
1:23.0,,,75-69,,C. LeVert misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by V. Carter,,75-69,,
1:16.0,,,75-69,,Personal foul by L. Scola (drawn by Z. Randolph)
1:16.0,Z. Randolph makes free throw 1 of 2,1,76-69,,
1:16.0,Z. Randolph makes free throw 2 of 2,1,77-69,,
1:16.0,T. Daniels enters the game for C. Parsons,,76-69,,
1:02.0,Personal foul by T. Douglas (drawn by I. Whitehead),,77-69,,
0:55.0,,,77-69,,S. Kilpatrick misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by V. Carter,,77-69,,
0:42.0,B. Wright makes 2-pt shot from 2 ft (assist by T. Douglas),2,79-69,,
0:19.0,,,79-72,3,S. Kilpatrick makes 3-pt shot from 27 ft (assist by L. Scola)
0:03.0,T. Douglas misses 3-pt shot from 26 ft,,79-72,,
0:00.0,,,79-72,,Defensive rebound by L. Scola
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-72,,C. LeVert misses 3-pt shot from 25 ft
11:44.0,,,79-72,,Offensive rebound by L. Scola
11:35.0,,,79-74,2,T. Booker makes 2-pt shot from 2 ft (assist by I. Whitehead)
11:18.0,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph),3,82-74,,
11:04.0,,,82-74,,T. Booker misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by B. Wright,,82-74,,
10:55.0,,,82-74,,Personal foul by I. Whitehead (drawn by B. Wright)
10:47.0,B. Wright makes 2-pt shot from 2 ft (assist by T. Douglas),2,84-74,,
10:47.0,Shooting foul by I. Whitehead (drawn by B. Wright),,84-74,,
10:47.0,B. Wright makes free throw 1 of 1,1,85-74,,
10:30.0,,,85-74,,L. Scola misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by T. Douglas,,85-74,,
10:16.0,Z. Randolph misses 2-pt shot from 21 ft,,85-74,,
10:15.0,,,85-74,,Defensive rebound by L. Scola
10:07.0,,,85-77,3,I. Whitehead makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
9:49.0,Z. Randolph makes 2-pt shot from 2 ft (assist by B. Wright),2,87-77,,
9:30.0,,,87-77,,S. Kilpatrick misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by B. Wright,,87-77,,
9:22.0,Offensive charge foul by Z. Randolph,,87-77,,
9:22.0,Turnover by Z. Randolph (offensive foul),,87-77,,
9:22.0,M. Conley enters the game for T. Douglas,,87-77,,
9:11.0,,,87-77,,S. Kilpatrick misses 2-pt shot from 7 ft
9:10.0,,,87-77,,Offensive rebound by T. Booker
9:07.0,,,87-79,2,T. Booker makes 2-pt shot from 2 ft
8:55.0,,,87-79,,Personal foul by S. Kilpatrick (drawn by T. Daniels)
8:55.0,Official timeout,,87-79,,
8:55.0,,,87-79,,S. Dinwiddie enters the game for I. Whitehead
8:48.0,Turnover by M. Conley (bad pass; steal by T. Booker),,87-79,,
8:46.0,,,87-79,,Turnover by T. Booker (lost ball; steal by Z. Randolph)
8:27.0,T. Daniels makes 3-pt shot from 27 ft (assist by M. Conley),3,90-79,,
8:14.0,,,90-79,,C. LeVert misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by T. Daniels,,90-79,,
7:58.0,B. Wright makes 2-pt shot at rim (assist by T. Daniels),2,92-79,,
7:30.0,,,92-79,,Turnover by S. Kilpatrick (bad pass; steal by M. Conley)
7:24.0,T. Daniels makes 3-pt shot from 27 ft (assist by M. Conley),3,95-79,,
7:23.0,,,95-79,,Brooklyn full timeout
7:23.0,M. Gasol enters the game for Z. Randolph,,95-79,,
7:23.0,,,95-79,,B. Lopez enters the game for L. Scola
7:23.0,,,95-79,,B. Bogdanovic enters the game for C. LeVert
7:23.0,,,95-79,,R. Hollis-Jefferson enters the game for T. Booker
7:05.0,,,95-79,,S. Kilpatrick misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by Team,,95-79,,
6:50.0,T. Daniels misses 3-pt shot from 25 ft,,95-79,,
6:49.0,,,95-79,,Defensive rebound by S. Dinwiddie
6:46.0,,,95-79,,Turnover by B. Bogdanovic (discontinued dribble)
6:34.0,M. Conley misses 2-pt shot from 18 ft,,95-79,,
6:33.0,,,95-79,,Defensive rebound by Team
6:19.0,,,95-79,,Shooting foul by V. Carter (drawn by R. Hollis-Jefferson)
6:19.0,,,95-80,1,R. Hollis-Jefferson makes free throw 1 of 2
6:19.0,,,95-81,1,R. Hollis-Jefferson makes free throw 2 of 2
6:06.0,V. Carter misses 3-pt shot from 25 ft,,95-81,,
6:05.0,,,95-81,,Defensive rebound by S. Kilpatrick
5:51.0,Violation by V. Carter (def goaltending),,95-81,,
5:51.0,,,95-83,2,B. Lopez makes 2-pt shot from 7 ft
5:37.0,V. Carter makes 2-pt shot from 2 ft,2,97-83,,
5:23.0,,,97-86,3,S. Dinwiddie makes 3-pt shot from 25 ft
5:05.0,B. Wright makes 2-pt shot from 1 ft (assist by V. Carter),2,99-86,,
4:57.0,,,99-89,3,S. Dinwiddie makes 3-pt shot from 25 ft
4:57.0,,,99-89,,Shooting foul by M. Conley (drawn by S. Dinwiddie)
4:57.0,,,99-90,1,S. Dinwiddie makes free throw 1 of 1
4:57.0,,,99-89,,C. LeVert enters the game for S. Kilpatrick
4:45.0,B. Wright misses 2-pt shot at rim,,99-90,,
4:44.0,,,99-90,,Defensive rebound by S. Dinwiddie
4:40.0,,,99-90,,B. Bogdanovic misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by M. Gasol,,99-90,,
4:14.0,M. Gasol misses 3-pt shot from 26 ft,,99-90,,
4:13.0,,,99-90,,Defensive rebound by Team
3:55.0,,,99-92,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez)
3:53.0,Memphis full timeout,,99-92,,
3:53.0,T. Douglas enters the game for V. Carter,,99-92,,
3:53.0,J. Ennis enters the game for T. Daniels,,99-92,,
3:35.0,Shooting foul by C. LeVert (drawn by M. Conley),,99-92,,
3:35.0,M. Conley makes free throw 1 of 2,1,100-92,,
3:35.0,M. Conley makes free throw 2 of 2,1,101-92,,
3:25.0,,,101-92,,Shooting foul by B. Wright (drawn by B. Bogdanovic)
3:25.0,,,101-92,,B. Bogdanovic misses free throw 1 of 2
3:25.0,,,101-92,,Offensive rebound by Team
3:25.0,,,101-93,1,B. Bogdanovic makes free throw 2 of 2
3:11.0,M. Conley misses 2-pt shot from 3 ft,,101-93,,
3:09.0,Offensive rebound by J. Ennis,,101-93,,
2:46.0,M. Conley misses 3-pt shot from 26 ft,,101-93,,
2:45.0,,,101-93,,Defensive rebound by R. Hollis-Jefferson
2:33.0,,,101-93,,B. Lopez misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by M. Gasol,,101-93,,
2:17.0,,,101-93,,Personal foul by R. Hollis-Jefferson (drawn by M. Conley)
2:17.0,M. Conley makes free throw 1 of 2,1,102-93,,
2:17.0,M. Conley makes free throw 2 of 2,1,103-93,,
2:17.0,,,102-93,,S. Kilpatrick enters the game for S. Dinwiddie
2:06.0,,,103-95,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez)
1:47.0,M. Conley makes 2-pt shot from 3 ft (assist by T. Douglas),2,105-95,,
1:41.0,Personal foul by M. Conley (drawn by B. Bogdanovic),,105-95,,
1:41.0,,,105-96,1,B. Bogdanovic makes free throw 1 of 2
1:41.0,,,105-97,1,B. Bogdanovic makes free throw 2 of 2
1:27.0,M. Conley makes 3-pt shot from 25 ft (assist by T. Douglas),3,108-97,,
1:27.0,,,108-97,,Brooklyn full timeout
1:23.0,,,108-97,,B. Lopez misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by M. Gasol,,108-97,,
1:14.0,,,108-97,,Personal foul by B. Lopez (drawn by M. Gasol)
1:14.0,M. Gasol makes free throw 1 of 2,1,109-97,,
1:14.0,M. Gasol makes free throw 2 of 2,1,110-97,,
