time,Toronto,pts.away,score,pts.home,Portland
6:51.0,K. Lowry misses 3-pt shot from 25 ft,,30-34,,
6:49.0,,,30-34,,Defensive rebound by S. Napier
6:38.0,,,30-34,,Shooting foul by L. Nogueira (drawn by N. Vonleh)
6:38.0,,,30-35,1,N. Vonleh makes free throw 1 of 2
6:38.0,,,30-35,,N. Vonleh misses free throw 2 of 2
6:38.0,N. Powell enters the game for C. Joseph,,30-35,,
6:38.0,D. DeRozan enters the game for T. Ross,,30-35,,
6:38.0,,,30-35,,C. McCollum enters the game for S. Napier
6:38.0,,,30-35,,M. Harkless enters the game for A. Crabbe
6:37.0,Defensive rebound by L. Nogueira,,30-35,,
6:15.0,K. Lowry makes 3-pt shot from 24 ft,3,33-35,,
6:01.0,,,33-35,,M. Harkless misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by L. Nogueira,,33-35,,
5:52.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,36-35,,
5:51.0,,,36-35,,Portland full timeout
5:51.0,D. Carroll enters the game for P. Patterson,,36-35,,
5:51.0,J. Valanciunas enters the game for L. Nogueira,,36-35,,
5:51.0,,,36-35,,M. Plumlee enters the game for M. Leonard
5:51.0,,,36-35,,A. Aminu enters the game for N. Vonleh
5:34.0,,,36-35,,C. McCollum misses 2-pt shot from 3 ft (block by J. Valanciunas)
5:34.0,,,36-35,,Offensive rebound by C. McCollum
5:34.0,,,36-35,,M. Plumlee misses 2-pt shot from 13 ft
5:30.0,Defensive rebound by K. Lowry,,36-35,,
5:24.0,D. DeRozan misses 2-pt shot from 21 ft,,36-35,,
5:24.0,Offensive rebound by Team,,36-35,,
5:08.0,N. Powell misses 3-pt shot from 22 ft,,36-35,,
5:07.0,Offensive rebound by Team,,36-35,,
4:52.0,J. Valanciunas misses 2-pt shot from 5 ft,,36-35,,
4:50.0,,,36-35,,Defensive rebound by M. Harkless
4:44.0,Personal foul by K. Lowry (drawn by E. Turner),,36-35,,
4:37.0,,,36-35,,C. McCollum misses 2-pt shot from 21 ft
4:36.0,Defensive rebound by J. Valanciunas,,36-35,,
4:24.0,D. DeRozan makes 2-pt shot from 21 ft (assist by N. Powell),2,38-35,,
4:07.0,,,38-37,2,C. McCollum makes 2-pt shot from 21 ft (assist by M. Plumlee)
3:47.0,D. DeRozan misses 2-pt shot from 4 ft,,38-37,,
3:47.0,,,38-37,,Defensive rebound by A. Aminu
3:41.0,,,38-39,2,C. McCollum makes 2-pt shot from 10 ft (assist by A. Aminu)
3:31.0,,,38-39,,Personal foul by M. Plumlee (drawn by K. Lowry)
3:17.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry),2,40-39,,
2:52.0,,,40-41,2,A. Aminu makes 2-pt shot from 6 ft
2:33.0,Turnover by N. Powell (lost ball; steal by E. Turner),,40-41,,
2:29.0,,,40-41,,Shooting foul by K. Lowry (drawn by M. Plumlee)
2:29.0,Toronto full timeout,,40-41,,
2:29.0,,,40-41,,M. Plumlee misses free throw 1 of 2
2:29.0,,,40-41,,Offensive rebound by Team
2:29.0,,,40-42,1,M. Plumlee makes free throw 2 of 2
2:29.0,C. Joseph enters the game for K. Lowry,,40-41,,
2:29.0,,,40-41,,A. Crabbe enters the game for E. Turner
2:05.0,J. Valanciunas misses 2-pt shot from 8 ft,,40-42,,
2:03.0,Offensive rebound by Team,,40-42,,
1:54.0,N. Powell misses 2-pt shot from 2 ft (block by M. Harkless),,40-42,,
1:54.0,Offensive rebound by Team,,40-42,,
1:44.0,J. Valanciunas misses 2-pt shot from 9 ft,,40-42,,
1:44.0,,,40-42,,Defensive rebound by A. Crabbe
1:27.0,,,40-42,,A. Crabbe misses 2-pt shot from 20 ft
1:26.0,Defensive rebound by N. Powell,,40-42,,
1:12.0,Turnover by D. Carroll (bad pass),,40-42,,
0:57.0,,,40-42,,M. Harkless misses 2-pt shot from 4 ft
0:57.0,Defensive rebound by D. DeRozan,,40-42,,
0:51.0,,,40-42,,Personal foul by M. Harkless (drawn by D. DeRozan)
0:35.0,J. Valanciunas misses 2-pt shot from 2 ft,,40-42,,
0:34.0,,,40-42,,Defensive rebound by M. Plumlee
0:16.0,,,40-42,,C. McCollum misses 2-pt shot from 16 ft
0:16.0,Defensive rebound by J. Valanciunas,,40-42,,
0:02.0,D. DeRozan makes 2-pt shot from 4 ft,2,42-42,,
0:02.0,Shooting foul by A. Crabbe (drawn by D. DeRozan),,42-42,,
0:02.0,D. DeRozan makes free throw 1 of 1,1,43-42,,
0:02.0,,,43-42,,Portland full timeout
0:02.0,,,43-42,,M. Leonard enters the game for M. Plumlee
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,43-42,,M. Plumlee misses 2-pt shot from 4 ft
11:41.0,,,43-42,,Offensive rebound by M. Plumlee
11:41.0,,,43-42,,M. Plumlee misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by D. DeRozan,,43-42,,
11:24.0,D. DeRozan makes 2-pt shot from 10 ft (assist by J. Valanciunas),2,45-42,,
11:02.0,,,45-44,2,A. Crabbe makes 2-pt shot from 10 ft (assist by C. McCollum)
10:53.0,D. Carroll misses 2-pt shot from 2 ft (block by M. Harkless),,45-44,,
10:52.0,,,45-44,,Defensive rebound by M. Plumlee
10:45.0,,,45-44,,A. Aminu misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by K. Lowry,,45-44,,
10:34.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,48-44,,
10:21.0,,,48-46,2,C. McCollum makes 2-pt shot from 19 ft
10:02.0,D. DeRozan misses 2-pt shot from 20 ft,,48-46,,
10:01.0,Offensive rebound by D. DeRozan,,48-46,,
9:55.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,51-46,,
9:36.0,,,51-46,,A. Crabbe misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by P. Patterson,,51-46,,
9:20.0,Shooting foul by C. McCollum (drawn by D. DeRozan),,51-46,,
9:20.0,D. DeRozan misses free throw 1 of 2,,51-46,,
9:20.0,Offensive rebound by Team,,51-46,,
9:20.0,D. DeRozan misses free throw 2 of 2,,51-46,,
9:15.0,,,51-46,,Defensive rebound by C. McCollum
9:11.0,,,51-46,,C. McCollum misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by P. Patterson,,51-46,,
9:01.0,Turnover by K. Lowry (lost ball; steal by C. McCollum),,51-46,,
8:59.0,,,51-48,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
8:59.0,Flagrant foul type 1 by P. Patterson (drawn by M. Harkless),,51-48,,
8:59.0,,,51-48,,M. Harkless misses flagrant free throw 1 of 2
8:59.0,,,51-48,,Offensive rebound by Team
8:59.0,,,51-48,,M. Harkless misses flagrant free throw 2 of 2
8:59.0,,,51-48,,Offensive rebound by Team
8:43.0,,,51-50,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
8:23.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan),3,54-50,,
8:08.0,,,54-52,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:42.0,K. Lowry makes 2-pt shot from 22 ft,2,56-52,,
7:34.0,,,56-54,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
7:18.0,,,56-54,,Personal foul by A. Aminu (drawn by P. Patterson)
7:08.0,K. Lowry makes 3-pt shot from 29 ft (assist by D. DeRozan),3,59-54,,
6:46.0,Shooting block foul by J. Valanciunas (drawn by A. Crabbe),,59-54,,
6:46.0,,,59-54,,A. Crabbe misses free throw 1 of 2
6:46.0,,,59-54,,Offensive rebound by Team
6:46.0,,,59-55,1,A. Crabbe makes free throw 2 of 2
6:33.0,D. DeRozan misses 2-pt shot from 15 ft,,59-55,,
6:32.0,,,59-55,,Defensive rebound by A. Aminu
6:23.0,,,59-57,2,C. McCollum makes 2-pt shot from 5 ft
6:12.0,Turnover by D. DeRozan (lost ball; steal by A. Crabbe),,59-57,,
6:10.0,Violation by J. Valanciunas (kicked ball),,59-57,,
5:59.0,,,59-59,2,C. McCollum makes 2-pt shot from 16 ft
5:41.0,K. Lowry makes 3-pt shot from 25 ft,3,62-59,,
5:29.0,,,62-62,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
5:21.0,K. Lowry makes 2-pt shot from 2 ft,2,64-62,,
5:21.0,Shooting foul by M. Plumlee (drawn by K. Lowry),,64-62,,
5:21.0,,,64-62,,Portland full timeout
5:21.0,K. Lowry makes free throw 1 of 1,1,65-62,,
5:21.0,L. Nogueira enters the game for J. Valanciunas,,64-62,,
5:21.0,,,64-62,,E. Turner enters the game for M. Plumlee
5:21.0,,,64-62,,E. Davis enters the game for A. Crabbe
5:06.0,,,65-64,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
4:51.0,Turnover by K. Lowry (lost ball; steal by M. Harkless),,65-64,,
4:48.0,,,65-64,,Offensive foul by M. Harkless
4:48.0,,,65-64,,Turnover by M. Harkless (offensive foul)
4:48.0,C. Joseph enters the game for D. Carroll,,65-64,,
4:39.0,,,65-64,,Personal foul by E. Davis (drawn by L. Nogueira)
4:39.0,,,65-64,,N. Vonleh enters the game for A. Aminu
4:31.0,D. DeRozan misses 2-pt shot from 4 ft,,65-64,,
4:31.0,,,65-64,,Defensive rebound by E. Davis
4:23.0,,,65-64,,Turnover by E. Turner (lost ball)
4:10.0,D. DeRozan misses 2-pt shot from 8 ft,,65-64,,
4:09.0,Offensive rebound by D. DeRozan,,65-64,,
3:58.0,K. Lowry misses 3-pt shot from 25 ft,,65-64,,
3:57.0,Offensive rebound by P. Patterson,,65-64,,
3:49.0,K. Lowry misses 2-pt shot at rim,,65-64,,
3:48.0,,,65-64,,Defensive rebound by N. Vonleh
3:41.0,,,65-64,,E. Turner misses 2-pt shot from 1 ft (block by L. Nogueira)
3:40.0,Defensive rebound by L. Nogueira,,65-64,,
3:33.0,P. Patterson misses 3-pt shot from 24 ft,,65-64,,
3:32.0,,,65-64,,Defensive rebound by M. Harkless
3:20.0,,,65-64,,Turnover by C. McCollum (bad pass; steal by P. Patterson)
3:14.0,P. Patterson misses 3-pt shot from 25 ft,,65-64,,
3:14.0,,,65-64,,Defensive rebound by N. Vonleh
2:57.0,,,65-66,2,M. Harkless makes 2-pt shot from 3 ft
2:57.0,Toronto full timeout,,65-66,,
2:57.0,,,65-66,,S. Napier enters the game for C. McCollum
2:57.0,,,65-66,,A. Crabbe enters the game for M. Harkless
2:57.0,T. Ross enters the game for K. Lowry,,65-66,,
2:45.0,L. Nogueira misses 2-pt shot from 1 ft,,65-66,,
2:45.0,Offensive rebound by Team,,65-66,,
2:45.0,,,65-66,,Loose ball foul by E. Davis (drawn by L. Nogueira)
2:45.0,L. Nogueira makes free throw 1 of 2,1,66-66,,
2:45.0,L. Nogueira makes free throw 2 of 2,1,67-66,,
2:29.0,,,67-66,,E. Turner misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by T. Ross,,67-66,,
2:17.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,70-66,,
1:56.0,,,70-66,,E. Davis misses 2-pt shot from 1 ft
1:54.0,,,70-66,,Offensive rebound by N. Vonleh
1:52.0,,,70-66,,N. Vonleh misses 2-pt shot from 2 ft (block by L. Nogueira)
1:51.0,Defensive rebound by D. DeRozan,,70-66,,
1:43.0,T. Ross misses 3-pt shot from 26 ft,,70-66,,
1:41.0,Offensive rebound by D. DeRozan,,70-66,,
1:24.0,D. DeRozan misses 2-pt shot from 22 ft,,70-66,,
1:24.0,,,70-66,,Defensive rebound by E. Turner
1:02.0,,,70-66,,Turnover by N. Vonleh (3 sec)
1:02.0,D. Carroll enters the game for P. Patterson,,70-66,,
0:52.0,T. Ross misses 2-pt shot from 12 ft,,70-66,,
0:52.0,,,70-66,,Defensive rebound by A. Crabbe
0:40.0,,,70-66,,E. Davis misses 2-pt shot from 3 ft
0:39.0,Defensive rebound by L. Nogueira,,70-66,,
0:30.0,D. DeRozan misses 2-pt shot from 21 ft,,70-66,,
0:29.0,,,70-66,,Defensive rebound by E. Davis
0:22.0,,,70-66,,Shooting foul by C. Joseph (drawn by S. Napier)
0:22.0,,,70-67,1,S. Napier makes free throw 1 of 2
0:22.0,,,70-68,1,S. Napier makes free throw 2 of 2
0:22.0,,,70-67,,A. Aminu enters the game for A. Crabbe
0:00.0,D. Carroll makes 3-pt shot from 23 ft (assist by L. Nogueira),3,73-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,C. Joseph misses 2-pt shot from 2 ft,,73-68,,
11:48.0,,,73-68,,Defensive rebound by E. Davis
11:42.0,,,73-70,2,N. Vonleh makes 2-pt shot from 3 ft (assist by E. Turner)
11:21.0,,,73-70,,Personal foul by N. Vonleh (drawn by C. Joseph)
11:14.0,C. Joseph misses 2-pt shot from 2 ft (block by N. Vonleh),,73-70,,
11:14.0,Offensive rebound by Team,,73-70,,
11:08.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll),3,76-70,,
10:53.0,Shooting block foul by K. Lowry (drawn by S. Napier),,76-70,,
10:53.0,,,76-71,1,S. Napier makes free throw 1 of 2
10:53.0,,,76-72,1,S. Napier makes free throw 2 of 2
10:37.0,C. Joseph misses 2-pt shot from 19 ft,,76-72,,
10:37.0,,,76-72,,Defensive rebound by A. Crabbe
10:25.0,,,76-72,,S. Napier misses 3-pt shot from 26 ft
10:24.0,,,76-72,,Offensive rebound by E. Davis
10:21.0,,,76-72,,E. Davis misses 2-pt shot from 1 ft (block by T. Ross)
10:20.0,Defensive rebound by K. Lowry,,76-72,,
10:17.0,C. Joseph misses 2-pt shot from 2 ft,,76-72,,
10:16.0,,,76-72,,Defensive rebound by A. Crabbe
10:07.0,,,76-72,,A. Crabbe misses 2-pt shot from 8 ft
10:07.0,,,76-72,,Offensive rebound by N. Vonleh
10:06.0,,,76-74,2,N. Vonleh makes 2-pt shot from 1 ft
9:48.0,D. Carroll misses 3-pt shot from 25 ft,,76-74,,
9:47.0,,,76-74,,Defensive rebound by E. Turner
9:43.0,,,76-74,,Shooting foul by L. Nogueira (drawn by E. Turner)
9:43.0,,,76-75,1,E. Turner makes free throw 1 of 2
9:43.0,,,76-76,1,E. Turner makes free throw 2 of 2
9:43.0,,,76-75,,A. Aminu enters the game for N. Vonleh
9:32.0,Turnover by T. Ross (lost ball; steal by S. Napier),,76-76,,
9:29.0,,,76-76,,Turnover by S. Napier (lost ball; steal by T. Ross)
9:26.0,T. Ross makes 2-pt shot at rim,2,78-76,,
9:02.0,,,78-79,3,S. Napier makes 3-pt shot from 25 ft (assist by E. Turner)
8:45.0,K. Lowry misses 3-pt shot from 26 ft,,78-79,,
8:43.0,Offensive rebound by D. Carroll,,78-79,,
8:36.0,T. Ross misses 2-pt shot from 10 ft,,78-79,,
8:35.0,,,78-79,,Defensive rebound by E. Davis
8:29.0,,,78-79,,Turnover by E. Turner (lost ball)
8:29.0,Official timeout,,78-79,,
8:29.0,,,78-79,,C. McCollum enters the game for S. Napier
8:29.0,P. Patterson enters the game for D. Carroll,,78-79,,
8:07.0,C. Joseph misses 2-pt shot from 2 ft,,78-79,,
8:07.0,,,78-79,,Defensive rebound by A. Aminu
7:48.0,,,78-79,,A. Crabbe misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by K. Lowry,,78-79,,
7:41.0,Shooting foul by E. Turner (drawn by K. Lowry),,78-79,,
7:41.0,K. Lowry misses free throw 1 of 2,,78-79,,
7:41.0,Offensive rebound by Team,,78-79,,
7:41.0,K. Lowry makes free throw 2 of 2,1,79-79,,
7:41.0,,,78-79,,M. Harkless enters the game for A. Crabbe
7:41.0,J. Valanciunas enters the game for L. Nogueira,,78-79,,
7:41.0,N. Powell enters the game for T. Ross,,78-79,,
7:41.0,,,78-79,,M. Plumlee enters the game for E. Davis
7:26.0,,,79-79,,A. Aminu misses 3-pt shot from 25 ft
7:24.0,,,79-79,,Offensive rebound by M. Plumlee
7:20.0,,,79-82,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
6:57.0,J. Valanciunas misses 2-pt shot from 3 ft,,79-82,,
6:56.0,,,79-82,,Defensive rebound by M. Harkless
6:45.0,,,79-82,,Turnover by E. Turner (bad pass; steal by C. Joseph)
6:39.0,C. Joseph misses 2-pt shot from 4 ft (block by A. Aminu),,79-82,,
6:38.0,Offensive rebound by K. Lowry,,79-82,,
6:34.0,P. Patterson misses 3-pt shot from 25 ft,,79-82,,
6:34.0,,,79-82,,Defensive rebound by M. Plumlee
6:26.0,,,79-82,,C. McCollum misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by J. Valanciunas,,79-82,,
6:20.0,Shooting foul by M. Plumlee (drawn by K. Lowry),,79-82,,
6:20.0,K. Lowry makes free throw 1 of 2,1,80-82,,
6:20.0,K. Lowry makes free throw 2 of 2,1,81-82,,
6:20.0,D. DeRozan enters the game for C. Joseph,,80-82,,
6:02.0,,,81-82,,E. Turner misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Valanciunas,,81-82,,
5:51.0,K. Lowry misses 2-pt shot from 4 ft,,81-82,,
5:51.0,Offensive rebound by J. Valanciunas,,81-82,,
5:51.0,J. Valanciunas misses 2-pt shot at rim,,81-82,,
5:50.0,Offensive rebound by J. Valanciunas,,81-82,,
