time,Indiana,pts.away,score,pts.home,Boston
7:08.0,Defensive rebound by M. Turner,,9-10,,
7:01.0,J. Teague misses 3-pt shot from 25 ft,,9-10,,
7:00.0,,,9-10,,Defensive rebound by A. Horford
6:52.0,,,9-10,,A. Bradley misses 2-pt shot from 21 ft
6:51.0,Defensive rebound by M. Turner,,9-10,,
6:39.0,Shooting foul by A. Bradley (drawn by P. George),,9-10,,
6:39.0,P. George misses free throw 1 of 2,,9-10,,
6:39.0,Offensive rebound by Team,,9-10,,
6:39.0,P. George makes free throw 2 of 2,1,10-10,,
6:29.0,,,10-10,,Offensive foul by A. Johnson
6:29.0,,,10-10,,Turnover by A. Johnson (offensive foul)
6:18.0,J. Teague makes 3-pt shot from 26 ft (assist by C. Miles),3,13-10,,
6:17.0,,,13-10,,Boston full timeout
5:55.0,,,13-10,,J. Crowder misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by T. Young,,13-10,,
5:38.0,C. Miles misses 3-pt shot from 28 ft,,13-10,,
5:37.0,Offensive rebound by C. Miles,,13-10,,
5:30.0,Turnover by M. Turner (offensive foul),,13-10,,
5:30.0,Offensive foul by M. Turner,,13-10,,
5:30.0,,,13-10,,T. Zeller enters the game for A. Horford
5:17.0,,,13-12,2,J. Crowder makes 2-pt shot from 10 ft (assist by T. Zeller)
4:57.0,P. George makes 2-pt shot from 8 ft (assist by J. Teague),2,15-12,,
4:41.0,,,15-14,2,J. Crowder makes 2-pt shot from 13 ft (assist by A. Bradley)
4:32.0,,,15-14,,Personal foul by J. Crowder
4:32.0,,,15-14,,M. Smart enters the game for A. Bradley
4:32.0,M. Ellis enters the game for C. Miles,,15-14,,
4:21.0,Turnover by P. George (back court),,15-14,,
4:03.0,,,15-14,,A. Johnson misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by P. George,,15-14,,
3:48.0,P. George misses 2-pt shot from 20 ft,,15-14,,
3:47.0,,,15-14,,Defensive rebound by J. Crowder
3:39.0,,,15-14,,I. Thomas misses 2-pt shot from 2 ft (block by M. Turner)
3:38.0,,,15-14,,Offensive rebound by Team
3:38.0,L. Allen enters the game for T. Young,,15-14,,
3:38.0,,,15-14,,K. Olynyk enters the game for A. Johnson
3:27.0,,,15-14,,Turnover by J. Crowder (bad pass; steal by M. Turner)
3:17.0,J. Teague misses 2-pt shot from 16 ft,,15-14,,
3:15.0,Offensive rebound by L. Allen,,15-14,,
3:10.0,M. Ellis misses 2-pt shot from 17 ft,,15-14,,
3:09.0,Offensive rebound by L. Allen,,15-14,,
3:06.0,,,15-14,,J. Brown enters the game for I. Thomas
3:06.0,,,15-14,,Violation by Team (jump ball)
2:55.0,M. Ellis misses 2-pt shot from 9 ft,,15-14,,
2:54.0,Offensive rebound by L. Allen,,15-14,,
2:45.0,P. George makes 2-pt shot from 15 ft,2,17-14,,
2:25.0,,,17-16,2,J. Brown makes 2-pt shot from 14 ft
2:21.0,Indiana full timeout,,17-16,,
2:21.0,A. Brooks enters the game for M. Turner,,17-16,,
2:21.0,A. Jefferson enters the game for J. Teague,,17-16,,
2:10.0,P. George misses 2-pt shot from 17 ft,,17-16,,
2:09.0,,,17-16,,Defensive rebound by J. Brown
1:53.0,,,17-16,,J. Crowder misses 2-pt shot from 20 ft
1:52.0,Defensive rebound by A. Brooks,,17-16,,
1:37.0,P. George misses 3-pt shot from 25 ft,,17-16,,
1:36.0,,,17-16,,Defensive rebound by K. Olynyk
1:14.0,,,17-16,,M. Smart misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by A. Jefferson,,17-16,,
1:00.0,M. Ellis misses 2-pt shot from 20 ft,,17-16,,
1:00.0,,,17-16,,Defensive rebound by T. Zeller
0:49.0,,,17-19,3,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart)
0:28.0,A. Jefferson misses 2-pt shot from 11 ft (block by T. Zeller),,17-19,,
0:27.0,,,17-19,,Defensive rebound by T. Zeller
0:19.0,,,17-19,,T. Zeller misses 2-pt shot from 19 ft
0:16.0,,,17-19,,Offensive rebound by J. Brown
0:14.0,,,17-21,2,J. Brown makes 2-pt shot from 6 ft
0:02.0,Shooting foul by T. Zeller (drawn by P. George),,17-21,,
0:02.0,P. George makes free throw 1 of 2,1,18-21,,
0:02.0,P. George makes free throw 2 of 2,1,19-21,,
0:02.0,,,19-21,,Turnover by M. Smart (bad pass; steal by A. Jefferson)
0:02.0,G. Robinson enters the game for A. Brooks,,18-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,19-21,,M. Smart misses 2-pt shot from 2 ft
11:38.0,,,19-21,,Offensive rebound by A. Horford
11:38.0,,,19-21,,A. Horford misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by L. Allen,,19-21,,
11:15.0,M. Ellis makes 2-pt shot from 21 ft,2,21-21,,
11:09.0,,,21-21,,J. Brown misses 3-pt shot from 26 ft
11:07.0,Defensive rebound by L. Allen,,21-21,,
10:55.0,L. Allen misses 2-pt shot from 20 ft,,21-21,,
10:54.0,,,21-21,,Defensive rebound by A. Horford
10:36.0,,,21-24,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford)
10:13.0,A. Brooks makes 2-pt shot from 10 ft,2,23-24,,
9:54.0,,,23-24,,M. Smart misses 3-pt shot from 25 ft
9:53.0,,,23-24,,Offensive rebound by A. Horford
9:51.0,,,23-24,,A. Horford misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by L. Allen,,23-24,,
9:32.0,G. Robinson misses 2-pt shot from 16 ft,,23-24,,
9:31.0,,,23-24,,Defensive rebound by A. Horford
9:17.0,,,23-27,3,M. Smart makes 3-pt shot from 26 ft (assist by J. Brown)
8:58.0,Turnover by A. Jefferson (lost ball; steal by A. Bradley),,23-27,,
8:54.0,,,23-29,2,A. Bradley makes 2-pt shot from 2 ft
8:39.0,Shooting foul by M. Smart (drawn by A. Brooks),,23-29,,
8:39.0,Official timeout,,23-29,,
8:39.0,A. Brooks misses free throw 1 of 2,,23-29,,
8:39.0,Offensive rebound by Team,,23-29,,
8:39.0,A. Brooks makes free throw 2 of 2,1,24-29,,
8:39.0,M. Turner enters the game for L. Allen,,23-29,,
8:39.0,T. Young enters the game for A. Jefferson,,23-29,,
8:25.0,,,24-29,,Turnover by M. Smart (lost ball; steal by A. Brooks)
8:19.0,Turnover by M. Ellis (traveling),,24-29,,
8:07.0,,,24-29,,Turnover by K. Olynyk (bad pass; steal by M. Ellis)
8:03.0,M. Ellis misses 2-pt shot at rim,,24-29,,
8:02.0,Offensive rebound by G. Robinson,,24-29,,
8:01.0,G. Robinson misses 2-pt shot at rim,,24-29,,
7:59.0,,,24-29,,Defensive rebound by M. Smart
7:57.0,,,24-29,,Turnover by M. Smart (lost ball; steal by M. Ellis)
7:54.0,Offensive foul by M. Ellis,,24-29,,
7:54.0,Turnover by M. Ellis (offensive foul),,24-29,,
7:54.0,,,24-29,,I. Thomas enters the game for J. Brown
7:40.0,,,24-29,,A. Bradley misses 2-pt shot from 3 ft
7:39.0,,,24-29,,Offensive rebound by A. Bradley
7:39.0,,,24-31,2,A. Bradley makes 2-pt shot at rim
7:18.0,M. Turner misses 2-pt shot from 16 ft,,24-31,,
7:17.0,,,24-31,,Defensive rebound by A. Bradley
7:04.0,,,24-31,,I. Thomas misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by M. Turner,,24-31,,
6:39.0,M. Ellis makes 3-pt shot from 28 ft,3,27-31,,
6:29.0,Personal foul by M. Turner (drawn by A. Horford),,27-31,,
6:29.0,J. Teague enters the game for A. Brooks,,27-31,,
6:29.0,P. George enters the game for G. Robinson,,27-31,,
6:18.0,,,27-33,2,A. Horford makes 2-pt shot from 9 ft
6:18.0,,,27-33,,Shooting foul by M. Turner (drawn by A. Horford)
6:18.0,,,27-34,1,A. Horford makes free throw 1 of 1
6:18.0,R. Christmas enters the game for M. Turner,,27-33,,
6:04.0,J. Teague makes 2-pt shot from 7 ft,2,29-34,,
5:51.0,,,29-34,,I. Thomas misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by T. Young,,29-34,,
5:44.0,M. Ellis misses 2-pt shot from 1 ft,,29-34,,
5:42.0,,,29-34,,Defensive rebound by K. Olynyk
5:34.0,,,29-34,,A. Horford misses 3-pt shot from 26 ft
5:33.0,,,29-34,,Offensive rebound by K. Olynyk
5:29.0,,,29-34,,Turnover by I. Thomas (bad pass; steal by P. George)
5:20.0,P. George makes 3-pt shot from 26 ft (assist by M. Ellis),3,32-34,,
5:19.0,,,32-34,,Boston full timeout
5:19.0,,,32-34,,A. Johnson enters the game for A. Horford
5:19.0,,,32-34,,J. Crowder enters the game for M. Smart
5:19.0,C. Miles enters the game for M. Ellis,,32-34,,
5:07.0,,,32-34,,Turnover by K. Olynyk (bad pass; steal by P. George)
5:01.0,P. George makes 3-pt shot from 25 ft (assist by T. Young),3,35-34,,
4:43.0,Personal foul by R. Christmas (drawn by I. Thomas),,35-34,,
4:35.0,,,35-34,,Shooting foul by C. Miles (drawn by I. Thomas)
4:35.0,,,35-35,1,I. Thomas makes free throw 1 of 2
4:35.0,,,35-36,1,I. Thomas makes free throw 2 of 2
4:18.0,Shooting foul by I. Thomas (drawn by J. Teague),,35-36,,
4:18.0,J. Teague makes free throw 1 of 2,1,36-36,,
4:18.0,J. Teague makes free throw 2 of 2,1,37-36,,
3:55.0,,,37-38,2,K. Olynyk makes 2-pt shot from 7 ft
3:36.0,T. Young misses 3-pt shot from 23 ft,,37-38,,
3:35.0,,,37-38,,Defensive rebound by A. Bradley
3:23.0,,,37-41,3,J. Crowder makes 3-pt shot from 24 ft (assist by K. Olynyk)
3:05.0,P. George misses 3-pt shot from 26 ft,,37-41,,
3:03.0,,,37-41,,Defensive rebound by J. Crowder
2:55.0,,,37-41,,A. Johnson misses 2-pt shot from 3 ft (block by T. Young)
2:54.0,,,37-41,,Offensive rebound by A. Johnson
2:51.0,,,37-44,3,I. Thomas makes 3-pt shot from 27 ft (assist by K. Olynyk)
2:45.0,Indiana full timeout,,37-44,,
2:36.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,40-44,,
2:11.0,,,40-46,2,I. Thomas makes 2-pt shot from 1 ft
1:54.0,P. George misses 3-pt shot from 27 ft,,40-46,,
1:53.0,,,40-46,,Defensive rebound by K. Olynyk
1:46.0,,,40-46,,Turnover by J. Crowder (bad pass; steal by T. Young)
1:30.0,T. Young misses 2-pt shot from 6 ft (block by I. Thomas),,40-46,,
1:29.0,,,40-46,,Defensive rebound by A. Johnson
1:23.0,,,40-46,,J. Crowder misses 2-pt shot from 20 ft
1:22.0,Defensive rebound by J. Teague,,40-46,,
1:11.0,J. Teague misses 2-pt shot from 11 ft,,40-46,,
1:10.0,Offensive rebound by R. Christmas,,40-46,,
1:03.0,T. Young makes 2-pt shot at rim (assist by P. George),2,42-46,,
1:02.0,,,42-46,,Boston full timeout
1:02.0,,,42-46,,A. Horford enters the game for A. Bradley
1:02.0,,,42-46,,M. Smart enters the game for K. Olynyk
0:54.0,,,42-46,,Turnover by A. Horford (lost ball; steal by P. George)
0:50.0,,,42-46,,Personal foul by M. Smart (drawn by T. Young)
0:35.0,P. George misses 3-pt shot from 26 ft,,42-46,,
0:34.0,,,42-46,,Defensive rebound by J. Crowder
0:29.0,,,42-46,,Offensive charge foul by I. Thomas
0:29.0,,,42-46,,Turnover by I. Thomas (offensive foul)
0:24.0,Indiana full timeout,,42-46,,
0:24.0,,,42-46,,A. Bradley enters the game for I. Thomas
0:09.0,Turnover by P. George (offensive foul),,42-46,,
0:09.0,Offensive foul by P. George,,42-46,,
0:09.0,,,42-46,,I. Thomas enters the game for M. Smart
0:09.0,,,42-46,,K. Olynyk enters the game for A. Johnson
0:09.0,G. Robinson enters the game for P. George,,42-46,,
0:01.0,,,42-49,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,42-49,,J. Crowder misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by M. Turner,,42-49,,
11:33.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,44-49,,
11:21.0,,,44-52,3,I. Thomas makes 3-pt shot from 25 ft
11:06.0,,,44-52,,Personal foul by I. Thomas (drawn by J. Teague)
10:53.0,Turnover by P. George (lost ball; steal by A. Horford),,44-52,,
10:47.0,,,44-54,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
10:25.0,T. Young makes 2-pt shot from 5 ft (assist by M. Turner),2,46-54,,
10:13.0,,,46-57,3,I. Thomas makes 3-pt shot from 24 ft
9:59.0,Shooting foul by A. Bradley (drawn by P. George),,46-57,,
9:59.0,P. George makes free throw 1 of 2,1,47-57,,
9:59.0,P. George makes free throw 2 of 2,1,48-57,,
9:45.0,,,48-57,,A. Johnson misses 2-pt shot from 2 ft (block by T. Young)
9:44.0,Defensive rebound by T. Young,,48-57,,
9:38.0,J. Teague makes 2-pt shot from 1 ft,2,50-57,,
9:21.0,,,50-59,2,A. Bradley makes 2-pt shot from 23 ft (assist by A. Horford)
8:55.0,P. George makes 2-pt shot from 22 ft,2,52-59,,
8:42.0,,,52-59,,J. Crowder misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by M. Turner,,52-59,,
8:31.0,Turnover by J. Teague (lost ball),,52-59,,
8:13.0,,,52-59,,I. Thomas misses 3-pt shot from 26 ft
8:11.0,,,52-59,,Offensive rebound by A. Bradley
8:10.0,,,52-61,2,A. Bradley makes 2-pt shot from 1 ft
8:05.0,Indiana full timeout,,52-61,,
7:54.0,Turnover by J. Teague (lost ball),,52-61,,
7:41.0,,,52-61,,A. Bradley misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by P. George,,52-61,,
7:32.0,Shooting foul by A. Bradley (drawn by P. George),,52-61,,
7:32.0,P. George makes free throw 1 of 2,1,53-61,,
7:32.0,P. George makes free throw 2 of 2,1,54-61,,
7:12.0,,,54-63,2,I. Thomas makes 2-pt shot from 11 ft (assist by A. Johnson)
6:58.0,C. Miles misses 2-pt shot from 21 ft,,54-63,,
6:57.0,,,54-63,,Defensive rebound by A. Bradley
6:47.0,,,54-63,,I. Thomas misses 2-pt shot from 2 ft
6:46.0,,,54-63,,Offensive rebound by A. Johnson
6:46.0,,,54-65,2,A. Johnson makes 2-pt shot from 1 ft
6:30.0,P. George makes 2-pt shot from 18 ft,2,56-65,,
6:06.0,,,56-67,2,A. Horford makes 2-pt shot from 10 ft
5:42.0,T. Young makes 2-pt shot from 8 ft,2,58-67,,
5:29.0,,,58-67,,Turnover by A. Johnson (bad pass; steal by T. Young)
5:23.0,C. Miles misses 3-pt shot from 25 ft,,58-67,,
5:22.0,Offensive rebound by M. Turner,,58-67,,
5:22.0,M. Turner makes 2-pt shot from 1 ft,2,60-67,,
5:20.0,,,60-67,,Boston full timeout
5:20.0,,,60-67,,T. Zeller enters the game for A. Johnson
5:20.0,,,60-67,,K. Olynyk enters the game for A. Horford
5:05.0,,,60-69,2,T. Zeller makes 2-pt shot from 18 ft (assist by I. Thomas)
4:36.0,J. Teague misses 3-pt shot from 24 ft,,60-69,,
4:36.0,Offensive rebound by T. Young,,60-69,,
4:29.0,P. George misses 2-pt shot from 5 ft,,60-69,,
4:28.0,,,60-69,,Defensive rebound by T. Zeller
4:22.0,,,60-71,2,T. Zeller makes 2-pt shot at rim (assist by J. Crowder)
4:01.0,J. Teague makes 2-pt shot from 4 ft (assist by M. Turner),2,62-71,,
3:51.0,,,62-73,2,I. Thomas makes 2-pt shot from 13 ft (assist by T. Zeller)
3:51.0,,,62-73,,Shooting foul by C. Miles (drawn by I. Thomas)
3:51.0,,,62-74,1,I. Thomas makes free throw 1 of 1
3:51.0,,,62-73,,M. Smart enters the game for A. Bradley
3:51.0,L. Allen enters the game for T. Young,,62-73,,
3:43.0,,,62-74,,Personal foul by T. Zeller (drawn by J. Teague)
3:34.0,J. Teague makes 2-pt shot from 1 ft,2,64-74,,
3:26.0,,,64-76,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
3:20.0,Offensive charge foul by P. George,,64-76,,
3:20.0,Turnover by P. George (offensive foul),,64-76,,
3:20.0,A. Jefferson enters the game for M. Turner,,64-76,,
3:08.0,,,64-78,2,J. Crowder makes 2-pt shot from 1 ft (assist by K. Olynyk)
2:56.0,C. Miles misses 2-pt shot from 8 ft,,64-78,,
2:55.0,,,64-78,,Defensive rebound by Team
2:44.0,,,64-78,,I. Thomas misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by Team,,64-78,,
2:30.0,A. Jefferson makes 2-pt shot from 2 ft,2,66-78,,
2:14.0,,,66-78,,T. Zeller misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by P. George,,66-78,,
1:48.0,J. Teague makes 2-pt shot from 8 ft,2,68-78,,
1:30.0,,,68-80,2,T. Zeller makes 2-pt shot from 1 ft (assist by K. Olynyk)
1:30.0,,,68-80,,Shooting foul by C. Miles (drawn by T. Zeller)
1:30.0,,,68-80,,T. Zeller misses free throw 1 of 1
1:30.0,Defensive rebound by A. Jefferson,,68-80,,
1:30.0,M. Ellis enters the game for J. Teague,,68-80,,
1:30.0,A. Brooks enters the game for C. Miles,,68-80,,
1:30.0,,,68-80,,J. Brown enters the game for I. Thomas
1:14.0,P. George makes 3-pt shot from 25 ft (assist by A. Brooks),3,71-80,,
0:57.0,,,71-82,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Crowder)
0:36.0,Shooting foul by M. Smart (drawn by P. George),,71-82,,
0:36.0,P. George makes free throw 1 of 2,1,72-82,,
0:36.0,P. George misses free throw 2 of 2,,72-82,,
0:36.0,,,72-82,,Defensive rebound by K. Olynyk
0:36.0,,,72-82,,A. Horford enters the game for T. Zeller
0:21.0,,,72-85,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Brown)
0:05.0,P. George makes 2-pt shot from 19 ft,2,74-85,,
0:01.0,,,74-87,2,M. Smart makes 2-pt shot from 12 ft (assist by A. Horford)
0:01.0,,,74-87,,Shooting foul by A. Brooks (drawn by M. Smart)
0:01.0,,,74-88,1,M. Smart makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,L. Allen misses 2-pt shot from 7 ft,,74-88,,
11:35.0,,,74-88,,Defensive rebound by A. Horford
11:24.0,,,74-88,,M. Smart misses 2-pt shot from 7 ft
11:23.0,Defensive rebound by P. George,,74-88,,
11:05.0,M. Ellis misses 3-pt shot from 25 ft,,74-88,,
11:04.0,Offensive rebound by P. George,,74-88,,
11:04.0,,,74-88,,Personal foul by A. Horford (drawn by P. George)
10:43.0,A. Brooks misses 2-pt shot from 1 ft,,74-88,,
10:42.0,,,74-88,,Defensive rebound by K. Olynyk
10:30.0,,,74-91,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford)
10:15.0,P. George misses 2-pt shot from 15 ft,,74-91,,
10:13.0,Offensive rebound by L. Allen,,74-91,,
10:11.0,L. Allen makes 2-pt shot from 1 ft,2,76-91,,
9:58.0,,,76-93,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
9:39.0,Turnover by A. Jefferson (bad pass; steal by M. Smart),,76-93,,
9:31.0,,,76-93,,J. Brown misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by M. Ellis,,76-93,,
9:21.0,P. George misses 3-pt shot from 25 ft,,76-93,,
9:19.0,Offensive rebound by L. Allen,,76-93,,
9:13.0,P. George makes 2-pt shot at rim (assist by L. Allen),2,78-93,,
8:50.0,,,78-93,,K. Olynyk misses 2-pt shot from 2 ft (block by A. Jefferson)
8:49.0,Defensive rebound by L. Allen,,78-93,,
8:37.0,A. Brooks misses 3-pt shot from 23 ft,,78-93,,
8:36.0,Offensive rebound by A. Jefferson,,78-93,,
8:30.0,A. Jefferson misses 2-pt shot from 13 ft,,78-93,,
8:29.0,,,78-93,,Defensive rebound by A. Bradley
8:23.0,,,78-93,,Turnover by A. Horford (lost ball)
8:23.0,Official timeout,,78-93,,
8:23.0,M. Turner enters the game for A. Brooks,,78-93,,
8:23.0,J. Teague enters the game for A. Jefferson,,78-93,,
7:58.0,L. Allen makes 2-pt shot from 1 ft (assist by M. Turner),2,80-93,,
7:32.0,,,80-93,,J. Brown misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by M. Turner,,80-93,,
7:15.0,,,80-93,,I. Thomas enters the game for J. Brown
7:09.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,83-93,,
6:56.0,Personal foul by J. Teague (drawn by I. Thomas),,83-93,,
6:49.0,,,83-93,,A. Bradley misses 2-pt shot from 3 ft (block by P. George)
6:49.0,,,83-93,,Offensive rebound by Team
6:46.0,,,83-93,,A. Horford misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by M. Ellis,,83-93,,
6:32.0,J. Teague makes 3-pt shot from 25 ft (assist by P. George),3,86-93,,
6:31.0,,,86-93,,Boston full timeout
6:31.0,,,86-93,,A. Johnson enters the game for A. Horford
6:31.0,,,86-93,,J. Crowder enters the game for M. Smart
6:21.0,,,86-93,,I. Thomas misses 3-pt shot from 24 ft
6:20.0,,,86-93,,Offensive rebound by K. Olynyk
6:16.0,,,86-93,,I. Thomas misses 3-pt shot from 23 ft
6:15.0,Defensive rebound by L. Allen,,86-93,,
5:58.0,M. Ellis misses 2-pt shot from 1 ft,,86-93,,
5:57.0,Offensive rebound by L. Allen,,86-93,,
5:54.0,P. George misses 3-pt shot from 24 ft,,86-93,,
5:53.0,,,86-93,,Defensive rebound by A. Johnson
5:43.0,,,86-95,2,K. Olynyk makes 2-pt shot from 23 ft (assist by I. Thomas)
5:26.0,M. Turner misses 2-pt shot from 16 ft,,86-95,,
5:24.0,Offensive rebound by L. Allen,,86-95,,
5:20.0,J. Teague makes 3-pt shot from 25 ft (assist by L. Allen),3,89-95,,
5:11.0,Personal foul by L. Allen (drawn by K. Olynyk),,89-95,,
5:05.0,,,89-95,,Shooting foul by L. Allen (drawn by A. Johnson)
5:05.0,,,89-96,1,A. Johnson makes free throw 1 of 2
5:05.0,,,89-97,1,A. Johnson makes free throw 2 of 2
4:52.0,L. Allen makes 2-pt shot at rim (assist by M. Turner),2,91-97,,
4:40.0,,,91-97,,I. Thomas misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by M. Turner,,91-97,,
4:26.0,M. Turner misses 2-pt shot from 14 ft,,91-97,,
4:25.0,,,91-97,,Defensive rebound by J. Crowder
4:14.0,,,91-99,2,K. Olynyk makes 2-pt shot from 2 ft
4:13.0,Indiana full timeout,,91-99,,
3:55.0,P. George misses 2-pt shot from 19 ft,,91-99,,
3:54.0,,,91-99,,Defensive rebound by K. Olynyk
3:42.0,,,91-99,,I. Thomas misses 3-pt shot from 24 ft
3:41.0,,,91-99,,Offensive rebound by Team
3:41.0,,,91-99,,A. Horford enters the game for A. Johnson
3:38.0,,,91-99,,A. Bradley misses 2-pt shot from 17 ft
3:37.0,Defensive rebound by M. Ellis,,91-99,,
3:23.0,Turnover by M. Ellis (bad pass; steal by I. Thomas),,91-99,,
3:19.0,,,91-101,2,I. Thomas makes 2-pt shot from 2 ft
3:03.0,P. George misses 2-pt shot from 22 ft,,91-101,,
3:03.0,Offensive rebound by M. Ellis,,91-101,,
2:58.0,P. George misses 3-pt shot from 25 ft,,91-101,,
2:57.0,Offensive rebound by L. Allen,,91-101,,
2:56.0,L. Allen makes 2-pt shot from 2 ft,2,93-101,,
2:31.0,,,93-103,2,A. Horford makes 2-pt shot from 16 ft (assist by A. Bradley)
2:20.0,,,93-103,,Technical foul by Team
2:20.0,P. George makes technical free throw,1,94-103,,
2:17.0,,,94-103,,Personal foul by I. Thomas (drawn by J. Teague)
2:04.0,J. Teague misses 3-pt shot from 26 ft,,94-103,,
2:02.0,Offensive rebound by L. Allen,,94-103,,
1:55.0,Turnover by P. George (bad pass; steal by K. Olynyk),,94-103,,
1:51.0,,,94-105,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
1:38.0,M. Ellis misses 2-pt shot from 19 ft,,94-105,,
1:36.0,,,94-105,,Defensive rebound by A. Bradley
1:35.0,Personal foul by J. Teague (drawn by I. Thomas),,94-105,,
1:11.0,,,94-105,,A. Bradley misses 2-pt shot from 22 ft
1:10.0,Defensive rebound by J. Teague,,94-105,,
1:10.0,Indiana full timeout,,94-105,,
1:10.0,,,94-105,,M. Smart enters the game for I. Thomas
1:10.0,,,94-105,,J. Brown enters the game for K. Olynyk
1:10.0,C. Miles enters the game for L. Allen,,94-105,,
1:06.0,P. George misses 3-pt shot from 26 ft,,94-105,,
1:06.0,Offensive rebound by M. Turner,,94-105,,
1:05.0,Shooting foul by A. Bradley (drawn by M. Turner),,94-105,,
1:05.0,M. Turner misses free throw 1 of 2,,94-105,,
1:05.0,Offensive rebound by Team,,94-105,,
1:05.0,M. Turner misses free throw 2 of 2,,94-105,,
1:05.0,,,94-105,,Defensive rebound by M. Smart
1:05.0,,,94-105,,I. Thomas enters the game for J. Brown
0:51.0,Personal foul by M. Turner (drawn by A. Horford),,94-105,,
