time,Philadelphia,pts.away,score,pts.home,Portland
2:24.0,,,13-19,,A. Crabbe misses 2-pt shot from 20 ft
2:23.0,,,13-19,,Offensive rebound by A. Aminu
2:22.0,D. Saric enters the game for R. Covington,,13-19,,
2:08.0,,,13-22,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Leonard)
1:52.0,,,13-22,,Personal foul by M. Leonard (drawn by R. Holmes)
1:44.0,S. Rodriguez makes 2-pt shot from 12 ft,2,15-22,,
1:17.0,,,15-22,,A. Aminu misses 3-pt shot from 24 ft
1:16.0,,,15-22,,Offensive rebound by S. Napier
1:12.0,,,15-25,3,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Napier)
1:01.0,Turnover by J. Anderson (lost ball; steal by S. Napier),,15-25,,
0:58.0,,,15-27,2,A. Crabbe makes 2-pt shot from 1 ft (assist by S. Napier)
0:41.0,S. Rodriguez misses 3-pt shot from 26 ft,,15-27,,
0:41.0,Offensive rebound by D. Saric,,15-27,,
0:34.0,D. Saric makes 2-pt shot from 2 ft,2,17-27,,
0:20.0,,,17-27,,A. Crabbe misses 3-pt shot from 28 ft
0:19.0,Defensive rebound by G. Henderson,,17-27,,
0:00.0,G. Henderson misses 3-pt shot from 27 ft,,17-27,,
0:00.0,Offensive rebound by Team,,17-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Henderson makes 2-pt shot from 12 ft,2,19-27,,
11:27.0,,,19-30,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Napier)
11:18.0,T. Luwawu-Cabarrot enters the game for J. Anderson,,19-30,,
11:08.0,R. Holmes makes 2-pt shot from 5 ft (assist by S. Rodriguez),2,21-30,,
10:48.0,,,21-30,,A. Aminu misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by R. Holmes,,21-30,,
10:37.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by G. Henderson),3,24-30,,
10:19.0,,,24-33,3,C. McCollum makes 3-pt shot from 25 ft (assist by S. Napier)
10:05.0,D. Saric makes 2-pt shot from 6 ft,2,26-33,,
9:47.0,,,26-35,2,C. McCollum makes 2-pt shot from 20 ft
9:36.0,S. Rodriguez makes 2-pt shot from 10 ft,2,28-35,,
9:18.0,,,28-35,,A. Aminu misses 2-pt shot from 1 ft (block by R. Holmes)
9:18.0,Defensive rebound by R. Holmes,,28-35,,
9:18.0,,,28-35,,Personal foul by A. Aminu (drawn by R. Holmes)
9:18.0,N. Stauskas enters the game for G. Henderson,,28-35,,
9:18.0,J. Okafor enters the game for R. Holmes,,28-35,,
9:07.0,,,28-35,,Def 3 sec tech foul by M. Leonard
9:07.0,N. Stauskas makes technical free throw,1,29-35,,
9:07.0,Philadelphia full timeout,,29-35,,
8:53.0,D. Saric makes 3-pt shot from 26 ft (assist by J. Okafor),3,32-35,,
8:37.0,Personal foul by S. Rodriguez (drawn by S. Napier),,32-35,,
8:29.0,,,32-35,,M. Leonard misses 2-pt shot from 10 ft
8:29.0,Defensive rebound by D. Saric,,32-35,,
8:16.0,S. Rodriguez misses 3-pt shot from 25 ft,,32-35,,
8:16.0,,,32-35,,Defensive rebound by Team
8:16.0,Loose ball foul by D. Saric,,32-35,,
8:16.0,,,32-35,,D. Lillard enters the game for C. McCollum
8:16.0,,,32-35,,J. Nurkic enters the game for M. Leonard
7:55.0,,,32-37,2,J. Nurkic makes 2-pt shot from 5 ft
7:40.0,Turnover by D. Saric (lost ball; steal by J. Nurkic),,32-37,,
7:32.0,,,32-37,,Turnover by S. Napier (lost ball; steal by D. Saric)
7:30.0,Shooting foul by A. Crabbe (drawn by T. Luwawu-Cabarrot),,32-37,,
7:30.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,33-37,,
7:30.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,34-37,,
7:30.0,,,33-37,,M. Harkless enters the game for A. Aminu
7:10.0,,,34-37,,D. Lillard misses 3-pt shot from 27 ft
7:09.0,,,34-37,,Offensive rebound by J. Nurkic
7:07.0,,,34-39,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
6:56.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,34-39,,
6:55.0,Offensive rebound by J. Okafor,,34-39,,
6:45.0,D. Saric makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,36-39,,
6:39.0,Personal foul by S. Rodriguez (drawn by S. Napier),,36-39,,
6:39.0,R. Covington enters the game for D. Saric,,36-39,,
6:36.0,,,36-41,2,D. Lillard makes 2-pt shot at rim (assist by J. Nurkic)
6:36.0,,,36-41,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Lillard)
6:36.0,,,36-42,1,D. Lillard makes free throw 1 of 1
6:21.0,Turnover by R. Covington (bad pass; steal by A. Crabbe),,36-42,,
6:14.0,,,36-42,,Turnover by S. Napier (bad pass; steal by N. Stauskas)
6:05.0,S. Rodriguez makes 3-pt shot from 26 ft,3,39-42,,
5:46.0,,,39-42,,Shooting foul by J. Okafor (drawn by J. Nurkic)
5:46.0,Official timeout,,39-42,,
5:46.0,,,39-43,1,J. Nurkic makes free throw 1 of 2
5:46.0,,,39-44,1,J. Nurkic makes free throw 2 of 2
5:46.0,T. McConnell enters the game for S. Rodriguez,,39-42,,
5:27.0,R. Covington makes 2-pt shot from 19 ft,2,41-44,,
5:09.0,,,41-46,2,A. Crabbe makes 2-pt shot from 20 ft (assist by J. Nurkic)
4:53.0,J. Okafor makes 2-pt shot from 1 ft,2,43-46,,
4:34.0,,,43-46,,Shooting foul by J. Okafor (drawn by J. Nurkic)
4:34.0,,,43-48,2,J. Nurkic makes 2-pt shot from 6 ft (assist by D. Lillard)
4:34.0,,,43-49,1,J. Nurkic makes free throw 1 of 1
4:34.0,,,43-48,,C. McCollum enters the game for S. Napier
4:34.0,,,43-48,,A. Aminu enters the game for A. Crabbe
4:12.0,J. Okafor makes 2-pt shot from 17 ft,2,45-49,,
3:57.0,,,45-49,,D. Lillard misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by R. Covington,,45-49,,
3:52.0,,,45-49,,Personal foul by A. Aminu
3:52.0,D. Saric enters the game for N. Stauskas,,45-49,,
3:52.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,45-49,,
3:33.0,J. Okafor makes 2-pt shot from 15 ft (assist by R. Covington),2,47-49,,
3:20.0,,,47-51,2,C. McCollum makes 2-pt shot from 18 ft
3:03.0,J. Okafor misses 2-pt shot from 6 ft,,47-51,,
3:02.0,,,47-51,,Defensive rebound by J. Nurkic
2:57.0,,,47-51,,Turnover by M. Harkless (lost ball)
2:57.0,,,47-51,,Portland full timeout
2:40.0,Offensive foul by J. Okafor,,47-51,,
2:40.0,Turnover by J. Okafor (offensive foul),,47-51,,
2:40.0,R. Holmes enters the game for J. Okafor,,47-51,,
2:27.0,,,47-51,,Shooting foul by R. Holmes (drawn by J. Nurkic)
2:27.0,,,47-52,1,J. Nurkic makes free throw 1 of 2
2:27.0,,,47-53,1,J. Nurkic makes free throw 2 of 2
2:19.0,Offensive foul by R. Holmes,,47-53,,
2:19.0,Turnover by R. Holmes (offensive foul),,47-53,,
2:11.0,,,47-53,,Turnover by J. Nurkic (traveling)
2:11.0,J. Anderson enters the game for R. Holmes,,47-53,,
2:01.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,50-53,,
1:42.0,,,50-53,,J. Nurkic misses 2-pt shot from 4 ft
1:40.0,Defensive rebound by R. Covington,,50-53,,
1:35.0,Turnover by J. Anderson (traveling),,50-53,,
1:26.0,,,50-55,2,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic)
1:13.0,D. Saric makes 2-pt shot from 21 ft,2,52-55,,
0:57.0,,,52-55,,D. Lillard misses 3-pt shot from 28 ft
0:57.0,Defensive rebound by T. McConnell,,52-55,,
0:49.0,G. Henderson misses 2-pt shot from 2 ft,,52-55,,
0:48.0,,,52-55,,Defensive rebound by J. Nurkic
0:32.0,,,52-55,,Shooting foul by D. Saric (drawn by D. Lillard)
0:32.0,,,52-56,1,D. Lillard makes free throw 1 of 2
0:32.0,,,52-57,1,D. Lillard makes free throw 2 of 2
0:32.0,Philadelphia full timeout,,52-57,,
0:24.0,D. Saric misses 3-pt shot from 26 ft,,52-57,,
0:23.0,,,52-57,,Defensive rebound by M. Harkless
0:02.0,,,52-57,,D. Lillard misses 2-pt shot from 1 ft (block by R. Covington)
0:01.0,Defensive rebound by D. Saric,,52-57,,
0:00.0,Turnover by D. Saric (traveling),,52-57,,
0:00.0,,,52-57,,Portland full timeout
0:00.0,S. Long enters the game for D. Saric,,52-57,,
0:00.0,,,52-57,,A. Crabbe enters the game for M. Harkless
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,T. McConnell misses 2-pt shot from 20 ft,,52-57,,
11:45.0,,,52-57,,Defensive rebound by C. McCollum
11:35.0,,,52-57,,J. Nurkic misses 2-pt shot from 7 ft
11:32.0,Defensive rebound by R. Covington,,52-57,,
11:22.0,J. Okafor makes 2-pt shot from 2 ft,2,54-57,,
11:06.0,,,54-57,,D. Lillard misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by D. Saric,,54-57,,
10:54.0,J. Okafor misses 2-pt shot from 13 ft,,54-57,,
10:52.0,,,54-57,,Defensive rebound by N. Vonleh
10:42.0,,,54-57,,Turnover by M. Harkless (lost ball; steal by T. McConnell)
10:35.0,N. Stauskas misses 3-pt shot from 24 ft,,54-57,,
10:35.0,,,54-57,,Defensive rebound by J. Nurkic
10:18.0,,,54-59,2,J. Nurkic makes 2-pt shot from 6 ft (assist by C. McCollum)
10:01.0,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell),3,57-59,,
9:48.0,,,57-59,,C. McCollum misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by D. Saric,,57-59,,
9:42.0,,,57-59,,Personal foul by N. Vonleh (drawn by J. Okafor)
9:33.0,Turnover by N. Stauskas (lost ball; steal by J. Nurkic),,57-59,,
9:28.0,,,57-59,,Turnover by N. Vonleh (lost ball; steal by R. Covington)
9:18.0,T. McConnell misses 2-pt shot from 1 ft (block by D. Lillard),,57-59,,
9:16.0,Offensive rebound by T. McConnell,,57-59,,
9:11.0,N. Stauskas misses 3-pt shot from 25 ft,,57-59,,
9:11.0,,,57-59,,Defensive rebound by J. Nurkic
8:51.0,,,57-61,2,C. McCollum makes 2-pt shot from 18 ft (assist by J. Nurkic)
8:33.0,J. Okafor makes 2-pt shot at rim,2,59-61,,
8:19.0,,,59-61,,C. McCollum misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by J. Okafor,,59-61,,
8:11.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,62-61,,
7:58.0,Shooting block foul by T. McConnell (drawn by D. Lillard),,62-61,,
7:58.0,,,62-62,1,D. Lillard makes free throw 1 of 2
7:58.0,,,62-63,1,D. Lillard makes free throw 2 of 2
7:58.0,R. Holmes enters the game for J. Okafor,,62-62,,
7:47.0,Shooting foul by C. McCollum (drawn by N. Stauskas),,62-63,,
7:47.0,N. Stauskas makes free throw 1 of 3,1,63-63,,
7:47.0,N. Stauskas misses free throw 2 of 3,,63-63,,
7:47.0,Offensive rebound by Team,,63-63,,
7:47.0,N. Stauskas makes free throw 3 of 3,1,64-63,,
7:36.0,,,64-65,2,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic)
7:28.0,,,64-65,,Personal foul by N. Vonleh (drawn by R. Holmes)
7:10.0,R. Covington misses 2-pt shot from 1 ft (block by M. Harkless),,64-65,,
7:09.0,Offensive rebound by T. McConnell,,64-65,,
7:09.0,Turnover by Team (shot clock),,64-65,,
6:58.0,,,64-65,,J. Nurkic misses 2-pt shot from 16 ft
6:57.0,Defensive rebound by R. Covington,,64-65,,
6:49.0,T. McConnell misses 2-pt shot from 19 ft,,64-65,,
6:49.0,,,64-65,,Defensive rebound by Team
6:49.0,Loose ball foul by D. Saric (drawn by N. Vonleh),,64-65,,
6:36.0,,,64-65,,D. Lillard misses 2-pt shot from 13 ft
6:35.0,,,64-65,,Offensive rebound by M. Harkless
6:32.0,,,64-65,,M. Harkless misses 2-pt shot from 2 ft
6:32.0,,,64-65,,Offensive rebound by Team
6:29.0,,,64-67,2,N. Vonleh makes 2-pt shot at rim (assist by M. Harkless)
6:16.0,R. Holmes makes 2-pt shot from 19 ft (assist by T. McConnell),2,66-67,,
6:06.0,,,66-69,2,J. Nurkic makes 2-pt shot from 7 ft
5:49.0,T. McConnell misses 3-pt shot from 24 ft,,66-69,,
5:48.0,,,66-69,,Defensive rebound by N. Vonleh
5:37.0,,,66-72,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
5:37.0,Philadelphia full timeout,,66-72,,
5:37.0,G. Henderson enters the game for D. Saric,,66-72,,
5:20.0,G. Henderson misses 2-pt shot from 10 ft,,66-72,,
5:20.0,,,66-72,,Defensive rebound by J. Nurkic
5:06.0,,,66-72,,Turnover by J. Nurkic (bad pass; steal by G. Henderson)
4:58.0,R. Holmes misses 2-pt shot from 17 ft,,66-72,,
4:56.0,,,66-72,,Defensive rebound by D. Lillard
4:53.0,,,66-72,,Turnover by D. Lillard (bad pass; steal by R. Covington)
4:41.0,T. McConnell misses 2-pt shot from 2 ft,,66-72,,
4:40.0,,,66-72,,Defensive rebound by N. Vonleh
4:26.0,,,66-72,,Turnover by D. Lillard (lost ball)
4:26.0,S. Rodriguez enters the game for T. McConnell,,66-72,,
4:26.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,66-72,,
4:26.0,,,66-72,,A. Aminu enters the game for C. McCollum
4:26.0,,,66-72,,A. Crabbe enters the game for N. Vonleh
4:15.0,S. Rodriguez misses 2-pt shot from 7 ft (block by D. Lillard),,66-72,,
4:14.0,,,66-72,,Defensive rebound by M. Harkless
4:13.0,Violation by R. Covington (kicked ball),,66-72,,
4:07.0,Personal foul by R. Covington (drawn by A. Aminu),,66-72,,
4:00.0,,,66-72,,Offensive foul by J. Nurkic
4:00.0,,,66-72,,Turnover by J. Nurkic (offensive foul)
3:50.0,R. Covington makes 2-pt shot from 6 ft (assist by S. Rodriguez),2,68-72,,
3:35.0,,,68-74,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
3:14.0,R. Holmes misses 2-pt shot from 9 ft,,68-74,,
3:14.0,,,68-74,,Defensive rebound by J. Nurkic
3:05.0,,,68-74,,D. Lillard misses 3-pt shot from 27 ft
3:05.0,,,68-74,,Offensive rebound by A. Aminu
3:02.0,,,68-74,,A. Aminu misses 2-pt shot from 1 ft
3:01.0,,,68-74,,Offensive rebound by J. Nurkic
3:00.0,,,68-74,,J. Nurkic misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by Team,,68-74,,
3:00.0,,,68-74,,J. Nurkic misses 2-pt shot from 1 ft
3:00.0,,,68-74,,Offensive rebound by J. Nurkic
3:00.0,,,68-74,,M. Leonard enters the game for J. Nurkic
2:39.0,Shooting foul by M. Harkless (drawn by R. Holmes),,68-74,,
2:39.0,,,68-74,,Portland full timeout
2:39.0,R. Holmes makes free throw 1 of 2,1,69-74,,
2:39.0,R. Holmes misses free throw 2 of 2,,69-74,,
2:38.0,,,69-74,,Defensive rebound by M. Leonard
2:19.0,,,69-76,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Leonard)
2:10.0,R. Holmes makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,72-76,,
1:50.0,,,72-76,,M. Leonard misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by R. Covington,,72-76,,
1:41.0,S. Rodriguez misses 3-pt shot from 27 ft,,72-76,,
1:39.0,Offensive rebound by R. Holmes,,72-76,,
1:35.0,,,72-76,,C. McCollum enters the game for M. Harkless
1:35.0,,,72-76,,S. Napier enters the game for D. Lillard
1:35.0,D. Saric enters the game for R. Covington,,72-76,,
1:35.0,Jump ball: A. Aminu vs. R. Holmes (M. Leonard gains possession),,,,Jump ball: A. Aminu vs. R. Holmes (M. Leonard gains possession)
1:35.0,Turnover by R. Holmes (lost ball; steal by A. Aminu),,72-76,,
1:17.0,,,72-76,,C. McCollum misses 2-pt shot from 17 ft
1:15.0,,,72-76,,Offensive rebound by M. Leonard
1:13.0,,,72-76,,Turnover by A. Aminu (lost ball)
1:03.0,,,72-76,,Personal foul by S. Napier (drawn by S. Rodriguez)
1:03.0,S. Rodriguez makes free throw 1 of 2,1,73-76,,
1:03.0,S. Rodriguez misses free throw 2 of 2,,73-76,,
1:01.0,,,73-76,,Defensive rebound by A. Crabbe
0:45.0,,,73-76,,A. Aminu misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by R. Holmes,,73-76,,
0:33.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,75-76,,
0:13.0,,,75-76,,Turnover by A. Aminu (lost ball; steal by R. Holmes)
0:01.0,D. Saric makes 3-pt shot from 27 ft,3,78-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-78,2,A. Crabbe makes 2-pt shot from 21 ft (assist by C. McCollum)
11:33.0,J. Okafor makes 2-pt shot from 12 ft (assist by D. Saric),2,80-78,,
11:12.0,,,80-78,,Turnover by S. Napier (lost ball; steal by T. Luwawu-Cabarrot)
10:50.0,S. Rodriguez misses 2-pt shot from 21 ft (block by A. Aminu),,80-78,,
10:48.0,,,80-78,,Defensive rebound by A. Crabbe
10:44.0,,,80-78,,A. Crabbe misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by G. Henderson,,80-78,,
10:37.0,,,80-78,,Personal foul by S. Napier (drawn by D. Saric)
10:25.0,D. Saric makes 2-pt shot from 7 ft,2,82-78,,
10:06.0,,,82-80,2,A. Crabbe makes 2-pt shot from 10 ft (assist by S. Napier)
9:49.0,Turnover by D. Saric (bad pass; steal by S. Napier),,82-80,,
9:46.0,,,82-80,,Shooting foul by G. Henderson (drawn by S. Napier)
9:46.0,,,82-81,1,S. Napier makes free throw 1 of 2
9:46.0,,,82-82,1,S. Napier makes free throw 2 of 2
9:46.0,N. Stauskas enters the game for G. Henderson,,82-81,,
9:32.0,,,82-82,,Personal foul by M. Leonard (drawn by D. Saric)
9:22.0,J. Okafor misses 2-pt shot from 15 ft,,82-82,,
9:21.0,,,82-82,,Defensive rebound by M. Leonard
9:13.0,,,82-85,3,M. Leonard makes 3-pt shot from 26 ft (assist by S. Napier)
9:13.0,Philadelphia full timeout,,82-85,,
9:02.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by M. Leonard),,82-85,,
8:59.0,,,82-85,,Defensive rebound by A. Crabbe
8:52.0,Personal foul by N. Stauskas,,82-85,,
8:37.0,,,82-85,,A. Crabbe misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by D. Saric,,82-85,,
8:16.0,S. Rodriguez misses 2-pt shot from 17 ft,,82-85,,
8:15.0,,,82-85,,Defensive rebound by A. Crabbe
7:57.0,,,82-85,,D. Lillard enters the game for C. McCollum
7:57.0,,,82-85,,J. Nurkic enters the game for M. Leonard
7:57.0,R. Covington enters the game for D. Saric,,82-85,,
7:54.0,,,82-85,,D. Lillard misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by J. Okafor,,82-85,,
7:43.0,,,82-85,,Personal foul by J. Nurkic (drawn by J. Okafor)
7:43.0,,,82-85,,M. Harkless enters the game for S. Napier
7:29.0,J. Okafor makes 2-pt shot from 14 ft (assist by S. Rodriguez),2,84-85,,
7:03.0,,,84-87,2,D. Lillard makes 2-pt shot from 17 ft
6:45.0,Turnover by N. Stauskas (bad pass),,84-87,,
6:37.0,,,84-87,,D. Lillard misses 2-pt shot from 7 ft
6:36.0,,,84-87,,Offensive rebound by J. Nurkic
6:35.0,,,84-87,,Shooting foul by R. Covington (drawn by J. Nurkic)
6:35.0,,,84-88,1,J. Nurkic makes free throw 1 of 2
6:35.0,,,84-88,,J. Nurkic misses free throw 2 of 2
6:34.0,Defensive rebound by J. Okafor,,84-88,,
6:19.0,R. Covington makes 3-pt shot from 29 ft (assist by N. Stauskas),3,87-88,,
6:01.0,,,87-88,,D. Lillard misses 2-pt shot from 19 ft
5:59.0,Defensive rebound by J. Okafor,,87-88,,
5:52.0,,,87-88,,Personal foul by A. Crabbe (drawn by N. Stauskas)
5:52.0,Official timeout,,87-88,,
5:52.0,,,87-88,,C. McCollum enters the game for A. Crabbe
5:40.0,Turnover by N. Stauskas (lost ball),,87-88,,
5:40.0,D. Saric enters the game for T. Luwawu-Cabarrot,,87-88,,
5:19.0,,,87-88,,J. Nurkic misses 2-pt shot from 9 ft
5:17.0,,,87-88,,Offensive rebound by M. Harkless
5:17.0,,,87-88,,M. Harkless misses 2-pt shot from 1 ft
5:16.0,,,87-88,,Offensive rebound by M. Harkless
5:16.0,,,87-90,2,M. Harkless makes 2-pt shot from 1 ft
4:57.0,R. Covington makes 2-pt shot from 1 ft,2,89-90,,
