time,Washington,pts.away,score,pts.home,New York
5:19.0,,,20-11,,K. Porzingis misses 2-pt shot from 7 ft
5:17.0,,,20-11,,Offensive rebound by K. Porzingis
5:13.0,,,20-11,,Turnover by K. Porzingis (lost ball; steal by J. Wall)
5:06.0,O. Porter misses 2-pt shot from 2 ft,,20-11,,
5:04.0,Offensive rebound by B. Beal,,20-11,,
5:00.0,O. Porter misses 3-pt shot from 23 ft,,20-11,,
4:58.0,,,20-11,,Defensive rebound by C. Lee
4:51.0,,,20-13,2,D. Rose makes 2-pt shot from 5 ft
4:34.0,B. Beal misses 3-pt shot from 24 ft,,20-13,,
4:31.0,,,20-13,,Defensive rebound by M. Kuzminskas
4:28.0,,,20-15,2,D. Rose makes 2-pt shot from 2 ft (assist by M. Kuzminskas)
4:15.0,M. Morris misses 3-pt shot from 24 ft,,20-15,,
4:13.0,,,20-15,,Defensive rebound by C. Lee
4:06.0,,,20-17,2,D. Rose makes 2-pt shot from 17 ft (assist by C. Lee)
4:05.0,Washington full timeout,,20-17,,
4:05.0,J. Smith enters the game for M. Morris,,20-17,,
4:05.0,K. Oubre enters the game for O. Porter,,20-17,,
4:05.0,,,20-17,,M. Plumlee enters the game for K. O'Quinn
3:48.0,Turnover by B. Beal (bad pass),,20-17,,
3:27.0,,,20-19,2,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Lee)
3:10.0,Shooting foul by M. Kuzminskas (drawn by K. Oubre),,20-19,,
3:10.0,K. Oubre makes 2-pt shot from 17 ft (assist by J. Wall),2,22-19,,
3:10.0,K. Oubre makes free throw 1 of 1,1,23-19,,
2:56.0,,,23-19,,K. Porzingis misses 3-pt shot from 25 ft
2:54.0,,,23-19,,Offensive rebound by M. Plumlee
2:50.0,,,23-19,,K. Porzingis misses 2-pt shot at rim (block by J. Smith)
2:48.0,Defensive rebound by K. Oubre,,23-19,,
2:42.0,J. Wall makes 3-pt shot from 24 ft,3,26-19,,
2:25.0,,,26-19,,M. Kuzminskas misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by Team,,26-19,,
2:24.0,,,26-19,,Loose ball foul by M. Plumlee (drawn by M. Gortat)
2:24.0,T. Satoransky enters the game for B. Beal,,26-19,,
2:11.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall),3,29-19,,
1:51.0,,,29-19,,Shooting foul by M. Gortat (drawn by M. Kuzminskas)
1:51.0,,,29-20,1,M. Kuzminskas makes free throw 1 of 2
1:51.0,,,29-21,1,M. Kuzminskas makes free throw 2 of 2
1:32.0,J. Wall makes 2-pt shot from 2 ft,2,31-21,,
1:23.0,,,31-21,,K. Porzingis misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by J. Wall,,31-21,,
1:15.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,33-21,,
1:04.0,,,33-21,,D. Rose misses 2-pt shot from 14 ft
1:03.0,Defensive rebound by T. Satoransky,,33-21,,
1:01.0,Turnover by T. Satoransky (lost ball; steal by K. Porzingis),,33-21,,
1:00.0,,,33-23,2,K. Porzingis makes 2-pt shot at rim
0:49.0,T. Satoransky makes 3-pt shot from 25 ft (assist by J. Wall),3,36-23,,
0:40.0,,,36-23,,Shooting foul by K. Oubre (drawn by D. Rose)
0:40.0,,,36-24,1,D. Rose makes free throw 1 of 2
0:40.0,,,36-25,1,D. Rose makes free throw 2 of 2
0:36.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,38-25,,
0:26.0,,,38-25,,M. Plumlee misses 2-pt shot from 1 ft (block by J. Smith)
0:23.0,,,38-25,,Offensive rebound by M. Plumlee
0:22.0,,,38-25,,M. Kuzminskas misses 3-pt shot from 23 ft
0:21.0,,,38-25,,Offensive rebound by K. Porzingis
0:21.0,Personal foul by J. Smith (drawn by K. Porzingis),,38-25,,
0:21.0,,,38-26,1,K. Porzingis makes free throw 1 of 2
0:21.0,,,38-27,1,K. Porzingis makes free throw 2 of 2
0:04.0,,,38-27,,Personal foul by C. Lee (drawn by J. Wall)
0:00.0,J. Wall misses 2-pt shot from 15 ft,,38-27,,
0:00.0,Offensive rebound by Team,,38-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,38-29,2,K. Porzingis makes 2-pt shot from 13 ft (assist by C. Anthony)
11:38.0,Turnover by M. Morris (bad pass),,38-29,,
11:28.0,,,38-31,2,C. Anthony makes 2-pt shot from 18 ft
11:03.0,K. Oubre makes 3-pt shot from 26 ft (assist by M. Morris),3,41-31,,
10:55.0,,,41-34,3,C. Anthony makes 3-pt shot from 24 ft
10:36.0,M. Morris makes 2-pt shot from 5 ft,2,43-34,,
10:18.0,,,43-36,2,C. Anthony makes 2-pt shot from 2 ft
10:02.0,Turnover by M. Morris (lost ball),,43-36,,
9:47.0,,,43-39,3,C. Anthony makes 3-pt shot from 24 ft (assist by B. Jennings)
9:45.0,Washington full timeout,,43-39,,
9:23.0,Shooting foul by K. Porzingis (drawn by K. Oubre),,43-39,,
9:23.0,K. Oubre makes free throw 1 of 2,1,44-39,,
9:23.0,K. Oubre makes free throw 2 of 2,1,45-39,,
9:09.0,,,45-41,2,C. Anthony makes 2-pt shot from 15 ft (assist by K. Porzingis)
8:53.0,J. Smith makes 2-pt shot from 20 ft (assist by K. Oubre),2,47-41,,
8:37.0,,,47-41,,J. Holiday misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by M. Morris,,47-41,,
8:25.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Burke),3,50-41,,
8:11.0,,,50-41,,Turnover by B. Jennings (lost ball; steal by T. Satoransky)
8:00.0,K. Oubre misses 3-pt shot from 23 ft,,50-41,,
7:58.0,,,50-41,,Defensive rebound by C. Anthony
7:51.0,,,50-43,2,C. Anthony makes 2-pt shot from 19 ft
7:30.0,T. Burke makes 3-pt shot from 25 ft (assist by T. Satoransky),3,53-43,,
7:10.0,,,53-43,,Shooting foul by M. Morris (drawn by C. Anthony)
7:10.0,,,53-44,1,C. Anthony makes free throw 1 of 2
7:10.0,,,53-45,1,C. Anthony makes free throw 2 of 2
7:10.0,B. Beal enters the game for T. Satoransky,,53-44,,
7:10.0,,,53-44,,K. O'Quinn enters the game for K. Porzingis
7:01.0,Offensive foul by T. Burke,,53-45,,
7:01.0,Turnover by T. Burke (offensive foul),,53-45,,
7:01.0,,,53-45,,R. Baker enters the game for C. Lee
6:54.0,Personal foul by K. Oubre (drawn by J. Holiday),,53-45,,
6:47.0,,,53-47,2,J. Holiday makes 2-pt shot from 8 ft (assist by B. Jennings)
6:26.0,B. Beal misses 3-pt shot from 25 ft,,53-47,,
6:24.0,,,53-47,,Defensive rebound by K. O'Quinn
6:15.0,,,53-47,,K. O'Quinn misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by J. Smith,,53-47,,
6:08.0,B. Beal misses 2-pt shot from 2 ft,,53-47,,
6:05.0,Offensive rebound by M. Morris,,53-47,,
6:05.0,M. Morris misses 2-pt shot from 2 ft,,53-47,,
6:04.0,,,53-47,,Defensive rebound by R. Baker
6:00.0,,,53-47,,C. Anthony misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by M. Morris,,53-47,,
5:47.0,T. Burke misses 3-pt shot from 24 ft,,53-47,,
5:44.0,,,53-47,,Defensive rebound by C. Anthony
5:30.0,,,53-50,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. O'Quinn)
5:29.0,Washington full timeout,,53-50,,
5:29.0,Official timeout,,53-50,,
5:29.0,J. Wall enters the game for K. Oubre,,53-50,,
5:29.0,M. Gortat enters the game for J. Smith,,53-50,,
5:29.0,O. Porter enters the game for T. Burke,,53-50,,
5:07.0,B. Beal misses 2-pt shot from 6 ft (block by J. Holiday),,53-50,,
5:05.0,,,53-50,,Defensive rebound by J. Holiday
5:02.0,,,53-52,2,R. Baker makes 2-pt shot from 2 ft (assist by J. Holiday)
4:37.0,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall),3,56-52,,
4:09.0,,,56-52,,C. Anthony misses 3-pt shot from 44 ft
4:08.0,,,56-52,,Offensive rebound by Team
4:08.0,,,56-52,,Turnover by Team (shot clock)
3:56.0,B. Beal misses 3-pt shot from 25 ft,,56-52,,
3:54.0,,,56-52,,Defensive rebound by C. Anthony
3:46.0,,,56-54,2,C. Anthony makes 2-pt shot from 16 ft
3:29.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,59-54,,
3:08.0,,,59-57,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Holiday)
2:56.0,Turnover by B. Beal (lost ball; steal by R. Baker),,59-57,,
2:51.0,,,59-59,2,J. Holiday makes 2-pt shot at rim (assist by B. Jennings)
2:43.0,J. Wall misses 2-pt shot from 2 ft (block by K. O'Quinn),,59-59,,
2:42.0,Offensive rebound by Team,,59-59,,
2:42.0,,,59-59,,New York full timeout
2:42.0,,,59-59,,D. Rose enters the game for B. Jennings
2:30.0,O. Porter makes 3-pt shot from 23 ft (assist by M. Gortat),3,62-59,,
2:09.0,,,62-61,2,C. Anthony makes 2-pt shot from 18 ft
1:54.0,,,62-61,,Violation by K. O'Quinn (kicked ball)
1:42.0,Turnover by M. Gortat (bad pass; steal by J. Holiday),,62-61,,
1:35.0,,,62-61,,R. Baker misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by J. Wall,,62-61,,
1:31.0,J. Wall makes 2-pt shot at rim,2,64-61,,
1:17.0,,,64-63,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by D. Rose)
0:57.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,66-63,,
0:47.0,,,66-65,2,K. O'Quinn makes 2-pt shot from 2 ft
0:40.0,Turnover by J. Wall (lost ball; steal by R. Baker),,66-65,,
0:28.0,,,66-67,2,C. Anthony makes 2-pt shot from 23 ft
0:07.0,,,66-67,,Personal foul by K. O'Quinn (drawn by J. Wall)
0:02.0,J. Wall misses 2-pt shot from 2 ft,,66-67,,
0:01.0,,,66-67,,Defensive rebound by D. Rose
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,66-67,,C. Anthony misses 3-pt shot from 26 ft
11:36.0,,,66-67,,Offensive rebound by R. Baker
11:21.0,,,66-67,,R. Baker misses 2-pt shot from 9 ft
11:19.0,,,66-67,,Offensive rebound by K. O'Quinn
11:18.0,,,66-67,,K. O'Quinn misses 2-pt shot from 3 ft (block by M. Morris)
11:15.0,,,66-67,,Offensive rebound by K. O'Quinn
11:15.0,,,66-69,2,K. O'Quinn makes 2-pt shot from 2 ft
11:01.0,M. Gortat misses 2-pt shot from 6 ft,,66-69,,
10:59.0,Offensive rebound by M. Morris,,66-69,,
10:59.0,M. Morris misses 2-pt shot from 2 ft,,66-69,,
10:57.0,,,66-69,,Defensive rebound by C. Anthony
10:51.0,,,66-69,,M. Kuzminskas misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by M. Gortat,,66-69,,
10:31.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Morris),3,69-69,,
10:17.0,,,69-71,2,D. Rose makes 2-pt shot from 2 ft
9:59.0,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall),2,71-71,,
9:38.0,,,71-71,,C. Anthony misses 2-pt shot from 22 ft
9:36.0,Defensive rebound by M. Gortat,,71-71,,
9:18.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,74-71,,
9:00.0,,,74-73,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by D. Rose)
8:46.0,M. Gortat makes 2-pt shot from 6 ft (assist by B. Beal),2,76-73,,
8:24.0,,,76-73,,Shooting foul by M. Gortat (drawn by M. Kuzminskas)
8:24.0,,,76-73,,M. Kuzminskas misses free throw 1 of 2
8:24.0,,,76-73,,Offensive rebound by Team
8:24.0,,,76-74,1,M. Kuzminskas makes free throw 2 of 2
8:13.0,M. Morris misses 2-pt shot from 5 ft,,76-74,,
8:13.0,Offensive rebound by Team,,76-74,,
8:00.0,J. Wall misses 3-pt shot from 26 ft,,76-74,,
7:57.0,,,76-74,,Defensive rebound by C. Anthony
7:41.0,,,76-74,,D. Rose misses 2-pt shot from 4 ft
7:39.0,Defensive rebound by M. Gortat,,76-74,,
7:35.0,J. Wall makes 2-pt shot from 2 ft,2,78-74,,
7:17.0,,,78-74,,M. Kuzminskas misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. Gortat,,78-74,,
6:59.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat),3,81-74,,
6:37.0,,,81-74,,C. Anthony misses 2-pt shot from 1 ft
6:35.0,,,81-74,,Offensive rebound by K. O'Quinn
6:34.0,,,81-76,2,K. O'Quinn makes 2-pt shot from 1 ft
6:19.0,J. Wall misses 2-pt shot from 8 ft,,81-76,,
6:18.0,Offensive rebound by M. Gortat,,81-76,,
6:13.0,J. Wall misses 3-pt shot from 24 ft,,81-76,,
6:11.0,,,81-76,,Defensive rebound by K. O'Quinn
6:08.0,,,81-76,,Turnover by K. O'Quinn (lost ball; steal by J. Wall)
6:03.0,O. Porter misses 3-pt shot from 22 ft,,81-76,,
6:01.0,,,81-76,,Defensive rebound by D. Rose
5:58.0,,,81-76,,Shooting foul by J. Wall (drawn by D. Rose)
5:58.0,,,81-76,,New York full timeout
5:58.0,,,81-77,1,D. Rose makes free throw 1 of 2
5:58.0,,,81-78,1,D. Rose makes free throw 2 of 2
5:58.0,,,81-76,,K. Porzingis enters the game for M. Kuzminskas
5:58.0,,,81-76,,C. Lee enters the game for K. O'Quinn
5:58.0,J. Smith enters the game for M. Morris,,81-76,,
5:43.0,J. Wall misses 2-pt shot from 2 ft,,81-78,,
5:42.0,Offensive rebound by M. Gortat,,81-78,,
5:42.0,M. Gortat misses 2-pt shot from 1 ft,,81-78,,
5:40.0,Offensive rebound by M. Gortat,,81-78,,
5:39.0,M. Gortat misses 2-pt shot from 1 ft,,81-78,,
5:38.0,,,81-78,,Defensive rebound by C. Anthony
5:32.0,,,81-78,,C. Anthony misses 2-pt shot from 7 ft
5:29.0,Defensive rebound by M. Gortat,,81-78,,
5:10.0,O. Porter misses 2-pt shot from 15 ft,,81-78,,
5:08.0,,,81-78,,Defensive rebound by C. Anthony
5:03.0,,,81-78,,Turnover by D. Rose (lost ball)
5:03.0,K. Oubre enters the game for M. Gortat,,81-78,,
4:43.0,Shooting foul by C. Lee (drawn by O. Porter),,81-78,,
4:43.0,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal),2,83-78,,
4:43.0,O. Porter makes free throw 1 of 1,1,84-78,,
4:43.0,,,83-78,,J. Holiday enters the game for R. Baker
4:31.0,Violation by J. Smith (kicked ball),,84-78,,
4:18.0,,,84-78,,Turnover by C. Anthony (lost ball; steal by B. Beal)
4:11.0,J. Smith makes 2-pt shot from 3 ft (assist by J. Wall),2,86-78,,
3:58.0,Personal foul by J. Smith (drawn by J. Holiday),,86-78,,
3:48.0,,,86-78,,Shooting foul by J. Smith (drawn by C. Anthony)
3:48.0,,,86-78,,C. Anthony misses free throw 1 of 2
3:48.0,,,86-78,,Offensive rebound by Team
3:48.0,,,86-79,1,C. Anthony makes free throw 2 of 2
3:32.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,89-79,,
3:16.0,,,89-79,,D. Rose misses 2-pt shot from 16 ft
3:15.0,Defensive rebound by K. Oubre,,89-79,,
3:00.0,J. Smith misses 2-pt shot from 1 ft,,89-79,,
2:59.0,Offensive rebound by J. Smith,,89-79,,
2:59.0,J. Smith makes 2-pt shot from 1 ft,2,91-79,,
2:51.0,,,91-79,,New York full timeout
2:51.0,Washington full timeout,,91-79,,
2:51.0,,,91-79,,B. Jennings enters the game for C. Anthony
2:51.0,,,91-79,,M. Plumlee enters the game for D. Rose
2:51.0,M. Gortat enters the game for O. Porter,,91-79,,
2:51.0,T. Satoransky enters the game for B. Beal,,91-79,,
2:41.0,,,91-81,2,J. Holiday makes 2-pt shot from 17 ft (assist by B. Jennings)
2:25.0,Shooting foul by J. Holiday (drawn by J. Wall),,91-81,,
2:25.0,J. Wall misses free throw 1 of 2,,91-81,,
2:25.0,Offensive rebound by Team,,91-81,,
2:25.0,J. Wall makes free throw 2 of 2,1,92-81,,
2:13.0,Def 3 sec tech foul by M. Gortat,,92-81,,
2:13.0,,,92-82,1,K. Porzingis makes technical free throw
2:02.0,,,92-82,,K. Porzingis misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by Team,,92-82,,
1:41.0,T. Satoransky misses 2-pt shot from 1 ft,,92-82,,
1:39.0,Offensive rebound by M. Gortat,,92-82,,
1:39.0,M. Gortat makes 2-pt shot from 1 ft,2,94-82,,
1:20.0,Personal foul by K. Oubre (drawn by J. Holiday),,94-82,,
1:20.0,,,94-83,1,J. Holiday makes free throw 1 of 2
1:20.0,,,94-84,1,J. Holiday makes free throw 2 of 2
1:01.0,J. Wall makes 2-pt shot from 19 ft,2,96-84,,
0:49.0,,,96-84,,B. Jennings misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by M. Gortat,,96-84,,
0:35.0,J. Wall makes 2-pt shot from 19 ft,2,98-84,,
0:30.0,,,98-84,,Offensive foul by B. Jennings
0:30.0,,,98-84,,Turnover by B. Jennings (offensive foul)
0:10.0,Shooting foul by K. Porzingis (drawn by J. Wall),,98-84,,
0:10.0,J. Wall makes free throw 1 of 2,1,99-84,,
0:10.0,J. Wall makes free throw 2 of 2,1,100-84,,
0:02.0,,,100-86,2,K. Porzingis makes 2-pt shot from 6 ft
0:00.0,K. Oubre misses 3-pt shot from 48 ft,,100-86,,
0:00.0,Offensive rebound by Team,,100-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,B. Beal misses 3-pt shot from 25 ft,,100-86,,
11:45.0,,,100-86,,Defensive rebound by J. Holiday
11:35.0,,,100-88,2,C. Lee makes 2-pt shot from 12 ft
11:19.0,Turnover by B. Beal (bad pass; steal by C. Lee),,100-88,,
11:12.0,,,100-88,,C. Lee misses 2-pt shot from 23 ft
11:10.0,,,100-88,,Offensive rebound by M. Plumlee
10:58.0,,,100-88,,B. Jennings misses 2-pt shot from 17 ft
10:56.0,Defensive rebound by T. Satoransky,,100-88,,
10:42.0,Turnover by J. Smith (traveling),,100-88,,
10:32.0,,,100-88,,Turnover by M. Plumlee (bad pass; steal by T. Satoransky)
10:22.0,K. Oubre misses 3-pt shot from 25 ft,,100-88,,
10:20.0,,,100-88,,Defensive rebound by C. Lee
10:10.0,,,100-88,,C. Lee misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by J. Smith,,100-88,,
9:49.0,J. Smith misses 2-pt shot from 18 ft,,100-88,,
9:48.0,,,100-88,,Defensive rebound by Team
9:48.0,Loose ball foul by M. Gortat (drawn by M. Plumlee),,100-88,,
9:28.0,,,100-90,2,K. Porzingis makes 2-pt shot from 14 ft (assist by B. Jennings)
9:27.0,Washington full timeout,,100-90,,
9:27.0,M. Morris enters the game for M. Gortat,,100-90,,
9:06.0,B. Beal misses 3-pt shot from 25 ft,,100-90,,
9:05.0,Offensive rebound by Team,,100-90,,
9:05.0,,,100-90,,Loose ball foul by J. Holiday (drawn by J. Smith)
8:58.0,J. Smith makes 2-pt shot from 17 ft (assist by B. Beal),2,102-90,,
8:39.0,,,102-90,,J. Holiday misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by J. Smith,,102-90,,
8:26.0,Turnover by B. Beal (bad pass),,102-90,,
8:26.0,,,102-90,,C. Anthony enters the game for M. Plumlee
8:12.0,,,102-90,,C. Anthony misses 2-pt shot from 22 ft
8:08.0,Defensive rebound by B. Beal,,102-90,,
7:53.0,K. Oubre makes 2-pt shot at rim,2,104-90,,
7:43.0,Personal foul by K. Oubre (drawn by J. Holiday),,104-90,,
7:43.0,J. Wall enters the game for T. Satoransky,,104-90,,
7:43.0,O. Porter enters the game for K. Oubre,,104-90,,
7:43.0,,,104-90,,D. Rose enters the game for J. Holiday
7:36.0,,,104-90,,C. Anthony misses 2-pt shot from 22 ft
7:36.0,,,104-90,,Offensive rebound by Team
7:36.0,Loose ball foul by O. Porter (drawn by K. Porzingis),,104-90,,
7:26.0,,,104-93,3,C. Lee makes 3-pt shot from 24 ft (assist by C. Anthony)
7:05.0,M. Morris misses 2-pt shot from 6 ft,,104-93,,
7:03.0,,,104-93,,Defensive rebound by C. Anthony
6:50.0,,,104-93,,Shooting foul by B. Beal (drawn by D. Rose)
6:50.0,,,104-94,1,D. Rose makes free throw 1 of 2
6:50.0,,,104-95,1,D. Rose makes free throw 2 of 2
6:36.0,J. Smith misses 3-pt shot from 24 ft,,104-95,,
6:34.0,,,104-95,,Defensive rebound by B. Jennings
6:30.0,,,104-95,,C. Lee misses 3-pt shot from 23 ft
6:26.0,,,104-95,,Offensive rebound by K. Porzingis
6:26.0,,,104-97,2,K. Porzingis makes 2-pt shot at rim
6:01.0,J. Wall misses 2-pt shot from 12 ft,,104-97,,
6:00.0,Offensive rebound by O. Porter,,104-97,,
6:00.0,Shooting foul by C. Anthony (drawn by O. Porter),,104-97,,
6:00.0,O. Porter makes free throw 1 of 2,1,105-97,,
6:00.0,O. Porter makes free throw 2 of 2,1,106-97,,
5:50.0,,,106-97,,B. Jennings misses 2-pt shot from 4 ft
5:48.0,Defensive rebound by O. Porter,,106-97,,
5:33.0,Turnover by J. Smith (bad pass; steal by C. Anthony),,106-97,,
5:25.0,,,106-99,2,C. Anthony makes 2-pt shot from 2 ft
5:25.0,,,106-99,,Shooting foul by J. Smith (drawn by C. Anthony)
5:25.0,Official timeout,,106-99,,
5:25.0,,,106-99,,C. Anthony misses free throw 1 of 1
5:25.0,K. Oubre enters the game for J. Smith,,106-99,,
5:24.0,Defensive rebound by O. Porter,,106-99,,
5:11.0,O. Porter misses 3-pt shot from 24 ft,,106-99,,
5:09.0,,,106-99,,Defensive rebound by C. Anthony
4:50.0,,,106-99,,C. Anthony misses 2-pt shot from 2 ft
4:49.0,,,106-99,,Offensive rebound by Team
4:36.0,,,106-101,2,C. Anthony makes 2-pt shot from 23 ft
4:23.0,Shooting foul by K. Porzingis (drawn by J. Wall),,106-101,,
4:23.0,J. Wall misses free throw 1 of 2,,106-101,,
4:23.0,Offensive rebound by Team,,106-101,,
4:23.0,J. Wall makes free throw 2 of 2,1,107-101,,
4:03.0,,,107-101,,C. Anthony misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by K. Oubre,,107-101,,
3:41.0,J. Wall misses 2-pt shot from 17 ft,,107-101,,
3:39.0,,,107-101,,Defensive rebound by C. Lee
3:31.0,,,107-101,,C. Anthony misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by M. Morris,,107-101,,
3:13.0,Turnover by B. Beal (bad pass),,107-101,,
3:03.0,,,107-104,3,B. Jennings makes 3-pt shot from 23 ft (assist by K. Porzingis)
2:37.0,J. Wall makes 2-pt shot from 2 ft,2,109-104,,
2:23.0,,,109-106,2,D. Rose makes 2-pt shot from 1 ft
1:54.0,O. Porter misses 3-pt shot from 24 ft,,109-106,,
1:52.0,,,109-106,,Defensive rebound by K. Porzingis
1:39.0,,,109-106,,D. Rose misses 2-pt shot from 3 ft (block by M. Morris)
1:37.0,,,109-106,,Offensive rebound by C. Anthony
1:37.0,,,109-106,,Shooting foul by O. Porter (drawn by C. Anthony)
1:37.0,,,109-106,,New York full timeout
1:37.0,,,109-107,1,C. Anthony makes free throw 1 of 2
1:37.0,,,109-108,1,C. Anthony makes free throw 2 of 2
1:14.0,J. Wall misses 2-pt shot from 16 ft,,109-108,,
1:12.0,,,109-108,,Defensive rebound by D. Rose
0:56.0,Violation by K. Oubre (kicked ball),,109-108,,
