time,Sacramento,pts.away,score,pts.home,Washington
7:36.0,,,8-14,,B. Beal misses 2-pt shot from 21 ft
7:36.0,Defensive rebound by Team,,8-14,,
7:36.0,,,8-14,,Loose ball foul by M. Gortat (drawn by D. Cousins)
7:11.0,D. Cousins makes 2-pt shot from 17 ft (assist by R. Gay),2,10-14,,
6:57.0,,,10-14,,M. Morris misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by R. Gay,,10-14,,
6:47.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Gay),2,12-14,,
6:35.0,,,12-14,,J. Wall misses 2-pt shot from 8 ft
6:33.0,,,12-14,,Offensive rebound by M. Gortat
6:33.0,,,12-14,,M. Gortat misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by D. Cousins,,12-14,,
6:25.0,D. Collison misses 2-pt shot from 1 ft (block by J. Wall),,12-14,,
6:23.0,,,12-14,,Defensive rebound by O. Porter
6:20.0,Personal foul by A. Afflalo (drawn by B. Beal),,12-14,,
6:13.0,,,12-14,,M. Morris misses 3-pt shot from 23 ft
6:11.0,,,12-14,,Offensive rebound by M. Gortat
6:07.0,,,12-16,2,M. Gortat makes 2-pt shot from 1 ft
5:57.0,Turnover by D. Cousins (lost ball),,12-16,,
5:57.0,,,12-16,,Washington full timeout
5:42.0,,,12-16,,Turnover by J. Wall (lost ball; steal by D. Cousins)
5:24.0,,,12-16,,Personal foul by O. Porter (drawn by K. Koufos)
5:24.0,,,12-16,,J. Smith enters the game for M. Morris
5:12.0,R. Gay misses 2-pt shot from 19 ft,,12-16,,
5:11.0,,,12-16,,Defensive rebound by J. Wall
4:57.0,,,12-16,,B. Beal misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by D. Cousins,,12-16,,
4:46.0,A. Afflalo misses 3-pt shot from 25 ft,,12-16,,
4:45.0,Offensive rebound by D. Cousins,,12-16,,
4:44.0,M. Barnes enters the game for D. Cousins,,12-16,,
4:44.0,T. Lawson enters the game for D. Collison,,12-16,,
4:44.0,Turnover by R. Gay (back court),,12-16,,
4:36.0,,,12-16,,Turnover by J. Wall (lost ball; steal by M. Barnes)
4:28.0,T. Lawson makes 2-pt shot from 1 ft (assist by M. Barnes),2,14-16,,
4:17.0,Personal foul by T. Lawson (drawn by J. Wall),,14-16,,
4:17.0,,,14-16,,Technical foul by J. Wall
4:17.0,A. Afflalo makes technical free throw,1,15-16,,
4:10.0,,,15-16,,J. Wall misses 2-pt shot from 18 ft
4:06.0,,,15-16,,Offensive rebound by M. Gortat
4:01.0,Violation by K. Koufos (kicked ball),,15-16,,
3:56.0,,,15-16,,Turnover by M. Gortat (bad pass; steal by T. Lawson)
3:49.0,T. Lawson misses 2-pt shot from 1 ft (block by B. Beal),,15-16,,
3:47.0,,,15-16,,Defensive rebound by J. Wall
3:43.0,,,15-19,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:33.0,Turnover by R. Gay (lost ball),,15-19,,
3:33.0,,,15-19,,T. Satoransky enters the game for B. Beal
3:16.0,,,15-21,2,O. Porter makes 2-pt shot from 8 ft
3:03.0,Sacramento full timeout,,15-21,,
3:03.0,G. Temple enters the game for A. Afflalo,,15-21,,
2:55.0,G. Temple misses 2-pt shot from 20 ft,,15-21,,
2:53.0,,,15-21,,Defensive rebound by M. Gortat
2:41.0,,,15-21,,Turnover by J. Wall (bad pass; steal by R. Gay)
2:28.0,Turnover by M. Barnes (step out of bounds),,15-21,,
2:15.0,,,15-21,,J. Smith misses 2-pt shot from 17 ft
2:14.0,Defensive rebound by R. Gay,,15-21,,
2:01.0,Shooting foul by O. Porter (drawn by R. Gay),,15-21,,
2:01.0,R. Gay makes free throw 1 of 2,1,16-21,,
2:01.0,R. Gay makes free throw 2 of 2,1,17-21,,
2:01.0,,,16-21,,T. Burke enters the game for J. Wall
2:01.0,,,16-21,,K. Oubre enters the game for O. Porter
1:43.0,,,17-21,,Turnover by T. Satoransky (bad pass; steal by G. Temple)
1:35.0,T. Lawson makes 2-pt shot from 1 ft (assist by G. Temple),2,19-21,,
1:18.0,,,19-23,2,M. Gortat makes 2-pt shot from 15 ft (assist by T. Burke)
0:51.0,G. Temple misses 3-pt shot from 26 ft,,19-23,,
0:50.0,,,19-23,,Defensive rebound by M. Gortat
0:27.0,,,19-23,,T. Satoransky misses 3-pt shot from 26 ft
0:26.0,,,19-23,,Offensive rebound by K. Oubre
0:26.0,,,19-25,2,K. Oubre makes 2-pt shot at rim
0:07.0,Turnover by G. Temple (lost ball),,19-25,,
0:01.0,,,19-25,,T. Burke misses 3-pt shot from 26 ft
0:00.0,,,19-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-25,,T. Satoransky misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by W. Cauley-Stein,,19-25,,
11:26.0,M. Barnes misses 3-pt shot from 26 ft,,19-25,,
11:25.0,,,19-25,,Defensive rebound by K. Oubre
11:19.0,,,19-25,,Shooting foul by M. Barnes (drawn by M. Morris)
11:19.0,,,19-26,1,M. Morris makes free throw 1 of 2
11:19.0,,,19-27,1,M. Morris makes free throw 2 of 2
11:03.0,O. Casspi misses 2-pt shot from 5 ft,,19-27,,
11:02.0,,,19-27,,Defensive rebound by M. Morris
10:57.0,Personal foul by T. Lawson (drawn by T. Burke),,19-27,,
10:47.0,,,19-27,,K. Oubre misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by M. Barnes,,19-27,,
10:41.0,,,19-27,,Personal foul by J. Smith (drawn by W. Cauley-Stein)
10:31.0,T. Lawson makes 2-pt shot from 16 ft,2,21-27,,
10:11.0,,,21-27,,Turnover by M. Morris (lost ball; steal by G. Temple)
10:06.0,Shooting foul by K. Oubre (drawn by T. Lawson),,21-27,,
10:06.0,T. Lawson makes free throw 1 of 2,1,22-27,,
10:06.0,T. Lawson makes free throw 2 of 2,1,23-27,,
9:51.0,,,23-27,,Turnover by M. Morris (lost ball)
9:40.0,M. Barnes misses 2-pt shot from 16 ft,,23-27,,
9:39.0,,,23-27,,Defensive rebound by K. Oubre
9:30.0,,,23-27,,J. Smith misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by M. Barnes,,23-27,,
9:15.0,,,23-27,,Violation by J. Smith (kicked ball)
9:02.0,M. Barnes misses 3-pt shot from 24 ft,,23-27,,
9:01.0,Offensive rebound by G. Temple,,23-27,,
8:57.0,G. Temple misses 2-pt shot from 12 ft,,23-27,,
8:55.0,,,23-27,,Defensive rebound by K. Oubre
8:41.0,,,23-27,,Shooting foul by W. Cauley-Stein (drawn by K. Oubre)
8:41.0,Official timeout,,23-27,,
8:41.0,,,23-28,1,K. Oubre makes free throw 1 of 2
8:41.0,,,23-29,1,K. Oubre makes free throw 2 of 2
8:41.0,D. Cousins enters the game for M. Barnes,,23-27,,
8:41.0,,,23-27,,B. Beal enters the game for T. Satoransky
8:31.0,Turnover by T. Lawson (bad pass; steal by K. Oubre),,23-29,,
8:26.0,,,23-29,,T. Burke misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
8:26.0,,,23-29,,Offensive rebound by Team
8:26.0,,,23-29,,M. Gortat enters the game for J. Smith
8:26.0,,,23-29,,J. Wall enters the game for T. Burke
8:10.0,,,23-29,,B. Beal misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by D. Cousins,,23-29,,
7:58.0,G. Temple makes 3-pt shot from 23 ft (assist by O. Casspi),3,26-29,,
7:45.0,,,26-31,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
7:37.0,W. Cauley-Stein misses 2-pt shot at rim,,26-31,,
7:36.0,,,26-31,,Defensive rebound by K. Oubre
7:28.0,,,26-33,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
7:12.0,D. Cousins makes 2-pt shot from 6 ft,2,28-33,,
7:12.0,Shooting foul by M. Gortat (drawn by D. Cousins),,28-33,,
7:12.0,D. Cousins makes free throw 1 of 1,1,29-33,,
7:01.0,,,29-35,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
6:43.0,Turnover by D. Cousins (bad pass; steal by J. Wall),,29-35,,
6:36.0,,,29-35,,Turnover by J. Wall (lost ball; steal by D. Cousins)
6:23.0,O. Casspi makes 2-pt shot from 2 ft (assist by G. Temple),2,31-35,,
6:18.0,,,31-35,,Turnover by J. Wall (lost ball; steal by T. Lawson)
6:18.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,33-35,,
6:18.0,Shooting foul by J. Wall (drawn by W. Cauley-Stein),,33-35,,
6:18.0,W. Cauley-Stein misses free throw 1 of 1,,33-35,,
6:16.0,,,33-35,,Defensive rebound by K. Oubre
6:02.0,,,33-35,,M. Morris misses 2-pt shot from 15 ft
6:02.0,Defensive rebound by Team,,33-35,,
6:02.0,,,33-35,,Loose ball foul by M. Gortat (drawn by W. Cauley-Stein)
6:02.0,,,33-35,,Technical foul by M. Gortat (drawn by W. Cauley-Stein)
6:02.0,G. Temple misses technical free throw,,33-35,,
6:02.0,Offensive rebound by Team,,33-35,,
6:02.0,W. Cauley-Stein makes free throw 1 of 2,1,34-35,,
6:02.0,W. Cauley-Stein makes free throw 2 of 2,1,35-35,,
6:02.0,,,33-35,,J. Smith enters the game for M. Gortat
6:02.0,D. Collison enters the game for T. Lawson,,34-35,,
5:45.0,,,35-35,,M. Morris misses 2-pt shot from 13 ft
5:44.0,,,35-35,,Offensive rebound by K. Oubre
5:42.0,,,35-35,,Shooting foul by W. Cauley-Stein (drawn by K. Oubre)
5:42.0,,,35-35,,Washington full timeout
5:42.0,,,35-36,1,K. Oubre makes free throw 1 of 2
5:42.0,,,35-37,1,K. Oubre makes free throw 2 of 2
5:28.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Cousins),2,37-37,,
5:07.0,,,37-37,,J. Smith misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by D. Cousins,,37-37,,
4:50.0,D. Cousins misses 2-pt shot from 4 ft,,37-37,,
4:50.0,Offensive rebound by Team,,37-37,,
4:42.0,G. Temple misses 3-pt shot from 35 ft,,37-37,,
4:40.0,,,37-37,,Defensive rebound by J. Smith
4:32.0,,,37-37,,J. Wall misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by D. Cousins,,37-37,,
4:22.0,Shooting foul by J. Smith (drawn by D. Cousins),,37-37,,
4:22.0,D. Cousins misses free throw 1 of 2,,37-37,,
4:22.0,Offensive rebound by Team,,37-37,,
4:22.0,D. Cousins makes free throw 2 of 2,1,38-37,,
4:09.0,,,38-37,,Offensive foul by M. Morris
4:09.0,,,38-37,,Turnover by M. Morris (offensive foul)
3:59.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,40-37,,
3:59.0,,,40-37,,Washington full timeout
3:59.0,R. Gay enters the game for G. Temple,,40-37,,
3:59.0,,,40-37,,O. Porter enters the game for K. Oubre
3:38.0,,,40-40,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:19.0,Shooting foul by J. Smith (drawn by D. Cousins),,40-40,,
3:19.0,D. Cousins makes free throw 1 of 2,1,41-40,,
3:19.0,D. Cousins misses free throw 2 of 2,,41-40,,
3:19.0,,,41-40,,A. Nicholson enters the game for J. Smith
3:17.0,,,41-40,,Defensive rebound by O. Porter
3:08.0,,,41-40,,Turnover by J. Wall (lost ball; steal by W. Cauley-Stein)
3:02.0,D. Collison makes 2-pt shot at rim (assist by O. Casspi),2,43-40,,
2:50.0,Personal foul by D. Cousins (drawn by A. Nicholson),,43-40,,
2:50.0,,,43-41,1,A. Nicholson makes free throw 1 of 2
2:50.0,,,43-42,1,A. Nicholson makes free throw 2 of 2
2:50.0,M. Barnes enters the game for O. Casspi,,43-41,,
2:50.0,T. Lawson enters the game for W. Cauley-Stein,,43-41,,
2:36.0,T. Lawson misses 2-pt shot from 19 ft,,43-42,,
2:34.0,Offensive rebound by D. Collison,,43-42,,
2:34.0,,,43-42,,Personal foul by O. Porter (drawn by D. Collison)
2:34.0,D. Collison makes free throw 1 of 2,1,44-42,,
2:34.0,D. Collison makes free throw 2 of 2,1,45-42,,
2:34.0,,,44-42,,K. Oubre enters the game for O. Porter
2:21.0,,,45-42,,Turnover by J. Wall (bad pass; steal by R. Gay)
2:19.0,Turnover by R. Gay (bad pass; steal by J. Wall),,45-42,,
2:09.0,,,45-42,,Turnover by J. Wall (bad pass)
1:48.0,M. Barnes makes 2-pt shot from 20 ft (assist by D. Collison),2,47-42,,
1:43.0,,,47-44,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
1:29.0,R. Gay misses 2-pt shot from 3 ft,,47-44,,
1:28.0,Offensive rebound by R. Gay,,47-44,,
1:25.0,R. Gay makes 2-pt shot at rim,2,49-44,,
1:15.0,,,49-46,2,J. Wall makes 2-pt shot from 17 ft
0:58.0,,,49-46,,Personal foul by A. Nicholson (drawn by D. Cousins)
0:58.0,D. Cousins misses free throw 1 of 2,,49-46,,
0:58.0,Offensive rebound by Team,,49-46,,
0:58.0,D. Cousins misses free throw 2 of 2,,49-46,,
0:57.0,,,49-46,,Defensive rebound by A. Nicholson
0:50.0,,,49-46,,Turnover by B. Beal (lost ball; steal by M. Barnes)
0:50.0,,,49-46,,Personal foul by A. Nicholson (drawn by M. Barnes)
0:50.0,,,49-46,,Technical foul by Team
0:50.0,R. Gay makes technical free throw,1,50-46,,
0:50.0,M. Barnes misses free throw 1 of 2,,50-46,,
0:50.0,Offensive rebound by Team,,50-46,,
0:50.0,M. Barnes makes free throw 2 of 2,1,51-46,,
0:35.0,,,51-46,,Shooting foul by M. Barnes (drawn by M. Morris)
0:35.0,,,51-47,1,M. Morris makes free throw 1 of 2
0:35.0,,,51-48,1,M. Morris makes free throw 2 of 2
0:30.0,Sacramento full timeout,,51-48,,
0:16.0,D. Cousins makes 2-pt shot at rim,2,53-48,,
0:16.0,Shooting foul by M. Morris (drawn by D. Cousins),,53-48,,
0:16.0,D. Cousins misses free throw 1 of 1,,53-48,,
0:16.0,G. Temple enters the game for T. Lawson,,53-48,,
0:15.0,,,53-48,,Defensive rebound by M. Morris
0:01.0,Shooting block foul by M. Barnes (drawn by J. Wall),,53-48,,
0:01.0,,,53-49,1,J. Wall makes free throw 1 of 2
0:01.0,,,53-50,1,J. Wall makes free throw 2 of 2
0:01.0,D. Collison misses 2-pt shot from 14 ft,,53-50,,
0:00.0,Offensive rebound by Team,,53-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-50,,B. Beal misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by K. Koufos,,53-50,,
11:22.0,Turnover by D. Cousins (bad pass; steal by M. Gortat),,53-50,,
11:14.0,,,53-50,,O. Porter misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by K. Koufos,,53-50,,
11:04.0,Turnover by K. Koufos (lost ball; steal by O. Porter),,53-50,,
10:54.0,,,53-53,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
10:40.0,D. Collison misses 3-pt shot from 24 ft,,53-53,,
10:39.0,,,53-53,,Defensive rebound by O. Porter
10:26.0,,,53-53,,M. Gortat misses 2-pt shot from 4 ft
10:24.0,Defensive rebound by D. Cousins,,53-53,,
10:03.0,R. Gay misses 3-pt shot from 24 ft,,53-53,,
10:03.0,,,53-53,,Defensive rebound by Team
9:50.0,,,53-53,,J. Wall misses 2-pt shot from 16 ft
9:49.0,Defensive rebound by D. Cousins,,53-53,,
9:42.0,R. Gay makes 2-pt shot at rim (assist by A. Afflalo),2,55-53,,
9:24.0,,,55-55,2,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal)
9:11.0,D. Cousins makes 2-pt shot from 20 ft,2,57-55,,
8:57.0,,,57-55,,O. Porter misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by D. Cousins,,57-55,,
8:44.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,59-55,,
8:25.0,,,59-57,2,O. Porter makes 2-pt shot from 12 ft
8:02.0,D. Cousins misses 2-pt shot from 18 ft,,59-57,,
8:01.0,,,59-57,,Defensive rebound by O. Porter
7:57.0,,,59-57,,Turnover by B. Beal (bad pass; steal by D. Collison)
7:42.0,R. Gay makes 2-pt shot from 14 ft,2,61-57,,
7:38.0,,,61-57,,Shooting foul by K. Koufos (drawn by M. Gortat)
7:38.0,,,61-57,,M. Gortat misses free throw 1 of 2
7:38.0,,,61-57,,Offensive rebound by Team
7:38.0,,,61-58,1,M. Gortat makes free throw 2 of 2
7:17.0,Offensive foul by R. Gay,,61-58,,
7:17.0,Turnover by R. Gay (offensive foul),,61-58,,
7:05.0,,,61-58,,B. Beal misses 3-pt shot from 27 ft
7:03.0,Defensive rebound by K. Koufos,,61-58,,
6:47.0,Turnover by R. Gay (lost ball; steal by O. Porter),,61-58,,
6:47.0,Personal foul by R. Gay (drawn by O. Porter),,61-58,,
6:39.0,,,61-58,,Turnover by J. Wall (bad pass; steal by K. Koufos)
6:33.0,A. Afflalo misses 2-pt shot from 2 ft,,61-58,,
6:33.0,Offensive rebound by K. Koufos,,61-58,,
6:30.0,K. Koufos misses 2-pt shot at rim,,61-58,,
6:29.0,Offensive rebound by K. Koufos,,61-58,,
6:18.0,A. Afflalo misses 3-pt shot from 24 ft,,61-58,,
6:18.0,,,61-58,,Defensive rebound by O. Porter
6:11.0,,,61-60,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Morris)
5:55.0,D. Cousins misses 2-pt shot from 3 ft,,61-60,,
5:50.0,Offensive rebound by D. Collison,,61-60,,
5:39.0,D. Cousins misses 2-pt shot from 5 ft,,61-60,,
5:38.0,,,61-60,,Defensive rebound by M. Morris
5:33.0,,,61-60,,Turnover by J. Wall (lost ball; steal by D. Collison)
5:30.0,R. Gay misses 2-pt shot from 3 ft,,61-60,,
5:28.0,Offensive rebound by D. Cousins,,61-60,,
5:28.0,D. Cousins misses 2-pt shot from 1 ft,,61-60,,
5:26.0,,,61-60,,Defensive rebound by Team
5:26.0,Loose ball foul by D. Cousins (drawn by B. Beal),,61-60,,
5:26.0,,,61-60,,Washington full timeout
5:18.0,Personal foul by D. Cousins (drawn by M. Morris),,61-60,,
5:02.0,,,61-62,2,B. Beal makes 2-pt shot from 3 ft (assist by M. Morris)
4:46.0,D. Cousins misses 2-pt shot from 4 ft,,61-62,,
4:43.0,Offensive rebound by D. Cousins,,61-62,,
4:43.0,D. Cousins makes 2-pt shot from 9 ft,2,63-62,,
4:28.0,,,63-62,,B. Beal misses 2-pt shot from 15 ft
4:27.0,Defensive rebound by A. Afflalo,,63-62,,
4:14.0,D. Cousins makes 2-pt shot from 1 ft,2,65-62,,
4:05.0,,,65-64,2,J. Wall makes 2-pt shot from 2 ft
3:44.0,A. Afflalo misses 3-pt shot from 26 ft,,65-64,,
3:44.0,,,65-64,,Defensive rebound by J. Wall
3:32.0,,,65-64,,J. Wall misses 2-pt shot from 10 ft
3:31.0,Defensive rebound by D. Cousins,,65-64,,
3:20.0,D. Cousins misses 3-pt shot from 27 ft,,65-64,,
3:20.0,Offensive rebound by K. Koufos,,65-64,,
3:20.0,,,65-64,,Personal foul by M. Morris (drawn by K. Koufos)
3:20.0,,,65-64,,J. Smith enters the game for M. Morris
3:20.0,,,65-64,,T. Satoransky enters the game for B. Beal
3:12.0,D. Cousins misses 2-pt shot from 6 ft (block by M. Gortat),,65-64,,
3:10.0,Offensive rebound by D. Cousins,,65-64,,
3:10.0,D. Cousins makes 2-pt shot from 1 ft,2,67-64,,
2:58.0,,,67-66,2,O. Porter makes 2-pt shot from 19 ft
2:37.0,A. Afflalo misses 2-pt shot from 1 ft,,67-66,,
2:37.0,Offensive rebound by Team,,67-66,,
2:37.0,Shooting foul by O. Porter (drawn by K. Koufos),,67-66,,
2:37.0,Sacramento full timeout,,67-66,,
2:37.0,K. Koufos makes free throw 1 of 2,1,68-66,,
2:37.0,K. Koufos makes free throw 2 of 2,1,69-66,,
2:37.0,,,67-66,,K. Oubre enters the game for O. Porter
2:37.0,T. Lawson enters the game for D. Collison,,67-66,,
2:19.0,,,69-68,2,J. Wall makes 2-pt shot from 17 ft
1:58.0,K. Koufos misses 2-pt shot from 2 ft (block by M. Gortat),,69-68,,
1:57.0,,,69-68,,Defensive rebound by K. Oubre
1:50.0,,,69-68,,J. Wall misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by D. Cousins,,69-68,,
1:38.0,D. Cousins makes 3-pt shot from 27 ft (assist by T. Lawson),3,72-68,,
1:20.0,,,72-70,2,J. Smith makes 2-pt shot from 20 ft (assist by T. Satoransky)
1:08.0,T. Lawson misses 2-pt shot at rim (block by J. Smith),,72-70,,
1:07.0,,,72-70,,Defensive rebound by J. Wall
1:02.0,,,72-72,2,J. Wall makes 2-pt shot from 1 ft
0:44.0,Offensive charge foul by R. Gay,,72-72,,
0:44.0,Turnover by R. Gay (offensive foul),,72-72,,
0:44.0,M. Barnes enters the game for K. Koufos,,72-72,,
0:44.0,Violation by Team (jump ball),,72-72,,
0:33.0,,,72-72,,J. Wall misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by Team,,72-72,,
0:18.0,D. Cousins misses 2-pt shot from 7 ft,,72-72,,
0:17.0,,,72-72,,Defensive rebound by Team
0:17.0,,,72-72,,B. Beal enters the game for J. Smith
0:01.0,,,72-74,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,72-74,,Personal foul by T. Satoransky (drawn by D. Cousins)
11:34.0,D. Cousins makes 2-pt shot from 1 ft,2,74-74,,
11:15.0,,,74-74,,M. Morris misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by O. Casspi,,74-74,,
10:56.0,D. Cousins misses 2-pt shot from 1 ft,,74-74,,
10:55.0,,,74-74,,Defensive rebound by J. Smith
10:47.0,,,74-76,2,T. Burke makes 2-pt shot from 1 ft
10:19.0,T. Lawson makes 2-pt shot from 1 ft,2,76-76,,
10:07.0,,,76-76,,T. Burke misses 2-pt shot from 14 ft
10:06.0,,,76-76,,Offensive rebound by Team
10:06.0,W. Cauley-Stein enters the game for D. Cousins,,76-76,,
9:54.0,,,76-76,,Turnover by M. Morris (lost ball; steal by T. Lawson)
9:40.0,T. Lawson makes 2-pt shot from 14 ft,2,78-76,,
9:27.0,,,78-76,,Turnover by T. Burke (lost ball)
9:27.0,,,78-76,,B. Beal enters the game for T. Satoransky
9:16.0,T. Lawson misses 2-pt shot from 16 ft (block by T. Burke),,78-76,,
9:13.0,,,78-76,,Defensive rebound by J. Smith
9:08.0,,,78-76,,J. Smith misses 2-pt shot from 15 ft
9:07.0,,,78-76,,Offensive rebound by K. Oubre
9:03.0,,,78-79,3,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre)
8:48.0,Turnover by M. Barnes (bad pass; steal by J. Smith),,78-79,,
8:42.0,,,78-79,,T. Burke misses 2-pt shot from 2 ft
8:40.0,,,78-79,,Offensive rebound by B. Beal
8:39.0,,,78-82,3,B. Beal makes 3-pt shot from 27 ft
8:39.0,Sacramento full timeout,,78-82,,
8:20.0,O. Casspi misses 2-pt shot from 4 ft,,78-82,,
8:18.0,,,78-82,,Defensive rebound by J. Smith
8:01.0,,,78-82,,J. Smith misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by W. Cauley-Stein,,78-82,,
7:49.0,M. Barnes misses 2-pt shot from 4 ft,,78-82,,
7:47.0,,,78-82,,Defensive rebound by Team
7:29.0,,,78-84,2,J. Smith makes 2-pt shot from 16 ft (assist by K. Oubre)
7:07.0,Turnover by O. Casspi (lost ball),,78-84,,
7:07.0,,,78-84,,J. Wall enters the game for T. Burke
6:51.0,,,78-84,,Turnover by K. Oubre (bad pass)
6:43.0,O. Casspi misses 3-pt shot from 25 ft,,78-84,,
6:43.0,,,78-84,,Defensive rebound by B. Beal
6:32.0,,,78-84,,J. Smith misses 2-pt shot from 21 ft
6:32.0,Defensive rebound by O. Casspi,,78-84,,
6:19.0,Turnover by T. Lawson (bad pass; steal by J. Wall),,78-84,,
6:06.0,,,78-86,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
6:01.0,Turnover by T. Lawson (lost ball),,78-86,,
5:37.0,,,78-86,,B. Beal misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by O. Casspi,,78-86,,
5:31.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,80-86,,
5:12.0,,,80-86,,M. Morris misses 2-pt shot from 13 ft
5:12.0,,,80-86,,Offensive rebound by K. Oubre
5:12.0,,,80-86,,Shooting foul by W. Cauley-Stein (drawn by K. Oubre)
5:12.0,Official timeout,,80-86,,
5:12.0,,,80-87,1,K. Oubre makes free throw 1 of 2
5:12.0,,,80-88,1,K. Oubre makes free throw 2 of 2
5:12.0,D. Cousins enters the game for W. Cauley-Stein,,80-86,,
5:12.0,R. Gay enters the game for O. Casspi,,80-86,,
5:12.0,,,80-86,,M. Gortat enters the game for J. Smith
4:46.0,D. Cousins makes 2-pt shot from 17 ft,2,82-88,,
4:19.0,,,82-88,,B. Beal misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by D. Cousins,,82-88,,
4:09.0,Turnover by T. Lawson (bad pass; steal by K. Oubre),,82-88,,
3:50.0,,,82-88,,M. Morris misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by D. Cousins,,82-88,,
3:50.0,,,82-88,,Personal foul by K. Oubre (drawn by D. Cousins)
3:50.0,D. Collison enters the game for T. Lawson,,82-88,,
