time,Portland,pts.away,score,pts.home,Detroit
10:43.0,Personal foul by C. McCollum (drawn by J. Leuer),,27-19,,
10:32.0,,,27-19,,S. Johnson misses 2-pt shot from 17 ft
10:32.0,Defensive rebound by S. Napier,,27-19,,
10:14.0,C. McCollum misses 2-pt shot from 15 ft,,27-19,,
10:13.0,,,27-19,,Defensive rebound by J. Leuer
10:01.0,,,27-21,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Smith)
9:48.0,C. McCollum makes 2-pt shot from 1 ft (assist by M. Leonard),2,29-21,,
9:32.0,,,29-21,,J. Leuer misses 2-pt shot from 11 ft (block by M. Leonard)
9:31.0,Defensive rebound by M. Leonard,,29-21,,
9:18.0,A. Aminu misses 3-pt shot from 24 ft,,29-21,,
9:17.0,,,29-21,,Defensive rebound by J. Leuer
9:04.0,,,29-23,2,A. Baynes makes 2-pt shot from 17 ft (assist by S. Johnson)
9:03.0,Portland full timeout,,29-23,,
8:53.0,C. McCollum makes 2-pt shot from 1 ft,2,31-23,,
8:53.0,Shooting foul by K. Caldwell-Pope (drawn by C. McCollum),,31-23,,
8:53.0,C. McCollum makes free throw 1 of 1,1,32-23,,
8:42.0,,,32-23,,K. Caldwell-Pope misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by A. Aminu,,32-23,,
8:26.0,M. Leonard misses 3-pt shot from 25 ft,,32-23,,
8:26.0,,,32-23,,Defensive rebound by J. Leuer
8:17.0,,,32-23,,J. Leuer misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by S. Napier,,32-23,,
8:04.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Napier),3,35-23,,
7:52.0,,,35-23,,Shooting foul by A. Crabbe (drawn by A. Baynes)
7:52.0,,,35-23,,A. Baynes misses free throw 1 of 2
7:52.0,,,35-23,,Offensive rebound by Team
7:52.0,,,35-24,1,A. Baynes makes free throw 2 of 2
7:52.0,D. Lillard enters the game for C. McCollum,,35-23,,
7:36.0,A. Crabbe misses 2-pt shot from 21 ft,,35-24,,
7:36.0,,,35-24,,Defensive rebound by J. Leuer
7:21.0,,,35-24,,Turnover by S. Johnson (lost ball; steal by A. Crabbe)
7:12.0,D. Lillard makes 2-pt shot at rim (assist by M. Leonard),2,37-24,,
7:06.0,,,37-24,,Detroit full timeout
7:06.0,,,37-24,,A. Drummond enters the game for A. Baynes
7:06.0,J. Nurkic enters the game for M. Leonard,,37-24,,
7:06.0,M. Harkless enters the game for S. Napier,,37-24,,
6:54.0,,,37-26,2,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by A. Drummond)
6:40.0,Shooting foul by I. Smith (drawn by A. Crabbe),,37-26,,
6:40.0,A. Crabbe makes free throw 1 of 2,1,38-26,,
6:40.0,A. Crabbe misses free throw 2 of 2,,38-26,,
6:40.0,,,38-26,,Defensive rebound by A. Drummond
6:40.0,,,38-26,,M. Morris enters the game for S. Johnson
6:30.0,,,38-26,,T. Harris enters the game for J. Leuer
6:18.0,,,38-26,,I. Smith misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by A. Aminu,,38-26,,
6:01.0,,,38-26,,R. Jackson enters the game for I. Smith
5:53.0,D. Lillard misses 2-pt shot from 6 ft,,38-26,,
5:53.0,,,38-26,,Defensive rebound by A. Drummond
5:45.0,,,38-28,2,R. Jackson makes 2-pt shot at rim
5:27.0,A. Crabbe misses 2-pt shot from 21 ft,,38-28,,
5:26.0,,,38-28,,Defensive rebound by A. Drummond
5:12.0,,,38-28,,R. Jackson misses 3-pt shot from 26 ft
5:10.0,,,38-28,,Offensive rebound by A. Drummond
5:09.0,,,38-30,2,A. Drummond makes 2-pt shot at rim
5:09.0,,,38-30,,Shooting foul by J. Nurkic (drawn by A. Drummond)
5:09.0,Official timeout,,38-30,,
5:09.0,,,38-30,,A. Drummond misses free throw 1 of 1
5:08.0,Defensive rebound by D. Lillard,,38-30,,
4:48.0,A. Aminu misses 3-pt shot from 26 ft,,38-30,,
4:47.0,,,38-30,,Defensive rebound by K. Caldwell-Pope
