time,Miami,pts.away,score,pts.home,Detroit
5:30.0,,,16-12,,T. Harris enters the game for J. Leuer
5:17.0,J. Richardson makes 3-pt shot from 24 ft (assist by L. Babbitt),3,19-12,,
5:04.0,,,19-12,,Shooting foul by J. Richardson (drawn by K. Caldwell-Pope)
5:04.0,,,19-13,1,K. Caldwell-Pope makes free throw 1 of 3
5:04.0,,,19-14,1,K. Caldwell-Pope makes free throw 2 of 3
5:04.0,,,19-15,1,K. Caldwell-Pope makes free throw 3 of 3
5:04.0,T. Johnson enters the game for J. Richardson,,19-14,,
5:04.0,J. Johnson enters the game for L. Babbitt,,19-14,,
4:43.0,J. Johnson misses 2-pt shot from 4 ft (block by A. Drummond),,19-15,,
4:43.0,,,19-15,,Defensive rebound by S. Johnson
4:31.0,,,19-17,2,S. Johnson makes 2-pt shot from 1 ft
4:19.0,W. Reed misses 2-pt shot from 1 ft,,19-17,,
4:19.0,,,19-17,,Defensive rebound by A. Drummond
4:10.0,,,19-17,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:09.0,,,19-17,,Offensive rebound by A. Drummond
4:04.0,,,19-17,,S. Johnson misses 3-pt shot from 26 ft
4:04.0,,,19-17,,Offensive rebound by T. Harris
4:00.0,,,19-19,2,T. Harris makes 2-pt shot at rim
3:57.0,Miami full timeout,,19-19,,
3:57.0,,,19-19,,A. Baynes enters the game for A. Drummond
3:57.0,,,19-19,,B. Udrih enters the game for I. Smith
3:45.0,T. Johnson misses 2-pt shot from 20 ft,,19-19,,
3:45.0,Offensive rebound by W. Reed,,19-19,,
3:41.0,W. Reed makes 2-pt shot at rim,2,21-19,,
3:15.0,,,21-19,,S. Johnson misses 2-pt shot from 19 ft
3:15.0,,,21-19,,Offensive rebound by K. Caldwell-Pope
3:04.0,,,21-22,3,T. Harris makes 3-pt shot from 27 ft (assist by B. Udrih)
2:37.0,R. McGruder misses 3-pt shot from 24 ft,,21-22,,
2:36.0,,,21-22,,Defensive rebound by B. Udrih
2:26.0,Personal foul by T. Johnson (drawn by T. Harris),,21-22,,
2:26.0,,,21-22,,M. Morris enters the game for K. Caldwell-Pope
2:15.0,,,21-22,,M. Morris misses 3-pt shot from 26 ft
2:15.0,Defensive rebound by W. Reed,,21-22,,
2:03.0,Turnover by J. Johnson (lost ball; steal by B. Udrih),,21-22,,
1:57.0,,,21-22,,Turnover by T. Harris (lost ball; steal by R. McGruder)
1:53.0,Shooting foul by T. Harris (drawn by G. Dragic),,21-22,,
1:53.0,G. Dragic makes free throw 1 of 2,1,22-22,,
1:53.0,G. Dragic misses free throw 2 of 2,,22-22,,
1:53.0,W. Ellington enters the game for R. McGruder,,22-22,,
1:52.0,,,22-22,,Defensive rebound by A. Baynes
1:29.0,,,22-22,,M. Morris misses 2-pt shot from 12 ft
1:28.0,Defensive rebound by T. Johnson,,22-22,,
1:20.0,W. Reed makes 2-pt shot from 8 ft (assist by G. Dragic),2,24-22,,
1:10.0,,,24-22,,B. Udrih misses 2-pt shot from 14 ft
1:10.0,Defensive rebound by J. Johnson,,24-22,,
1:04.0,Turnover by T. Johnson (lost ball),,24-22,,
1:04.0,J. Richardson enters the game for G. Dragic,,24-22,,
0:52.0,,,24-24,2,T. Harris makes 2-pt shot at rim (assist by B. Udrih)
0:39.0,J. Richardson misses 2-pt shot from 19 ft,,24-24,,
0:38.0,,,24-24,,Defensive rebound by T. Harris
0:32.0,,,24-24,,Offensive charge foul by M. Morris
0:32.0,,,24-24,,Turnover by M. Morris (offensive foul)
0:17.0,W. Ellington misses 3-pt shot from 25 ft,,24-24,,
0:16.0,Offensive rebound by J. Richardson,,24-24,,
0:02.0,J. Johnson misses 2-pt shot at rim,,24-24,,
0:01.0,,,24-24,,Defensive rebound by T. Harris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-24,,A. Baynes misses 2-pt shot from 1 ft
11:40.0,,,24-24,,Offensive rebound by A. Baynes
11:37.0,,,24-24,,A. Baynes misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by W. Ellington,,24-24,,
11:15.0,T. Johnson misses 3-pt shot from 26 ft,,24-24,,
11:14.0,,,24-24,,Defensive rebound by A. Baynes
11:06.0,,,24-24,,M. Morris misses 3-pt shot from 27 ft
11:06.0,Defensive rebound by W. Reed,,24-24,,
10:56.0,J. Johnson makes 2-pt shot from 9 ft,2,26-24,,
10:44.0,Personal foul by J. Richardson (drawn by M. Morris),,26-24,,
10:44.0,,,26-24,,A. Drummond enters the game for A. Baynes
10:37.0,Personal foul by T. Johnson (drawn by M. Morris),,26-24,,
10:29.0,,,26-24,,T. Harris misses 3-pt shot from 27 ft
10:29.0,Defensive rebound by J. Richardson,,26-24,,
10:25.0,Shooting foul by M. Morris (drawn by J. Richardson),,26-24,,
10:25.0,J. Richardson makes free throw 1 of 2,1,27-24,,
10:25.0,,,27-24,,Technical foul by M. Morris (drawn by J. Richardson)
10:25.0,W. Ellington misses technical free throw,,27-24,,
10:25.0,Offensive rebound by Team,,27-24,,
10:25.0,J. Richardson makes free throw 2 of 2,1,28-24,,
10:25.0,,,27-24,,K. Caldwell-Pope enters the game for M. Morris
10:03.0,,,28-24,,T. Harris misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by W. Reed,,28-24,,
9:50.0,W. Ellington makes 2-pt shot from 16 ft,2,30-24,,
9:43.0,,,30-24,,Detroit full timeout
9:43.0,O. White enters the game for J. Richardson,,30-24,,
9:33.0,,,30-26,2,B. Udrih makes 2-pt shot from 14 ft
9:11.0,W. Reed misses 2-pt shot from 9 ft,,30-26,,
9:11.0,,,30-26,,Defensive rebound by A. Drummond
9:03.0,,,30-28,2,B. Udrih makes 2-pt shot from 16 ft
8:38.0,J. Johnson misses 2-pt shot from 1 ft,,30-28,,
8:38.0,Offensive rebound by W. Reed,,30-28,,
8:35.0,W. Reed makes 2-pt shot from 1 ft,2,32-28,,
8:25.0,,,32-28,,Offensive foul by T. Harris
8:25.0,,,32-28,,Turnover by T. Harris (offensive foul)
8:25.0,H. Whiteside enters the game for W. Reed,,32-28,,
8:25.0,,,32-28,,J. Leuer enters the game for T. Harris
8:14.0,H. Whiteside misses 2-pt shot at rim,,32-28,,
8:13.0,,,32-28,,Defensive rebound by S. Johnson
8:00.0,,,32-28,,J. Leuer misses 2-pt shot from 9 ft
7:59.0,Defensive rebound by J. Johnson,,32-28,,
7:55.0,J. Johnson makes 2-pt shot from 1 ft,2,34-28,,
7:55.0,Shooting foul by J. Leuer (drawn by J. Johnson),,34-28,,
7:55.0,J. Johnson makes free throw 1 of 1,1,35-28,,
7:55.0,,,34-28,,I. Smith enters the game for B. Udrih
7:43.0,,,35-28,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by T. Johnson,,35-28,,
7:20.0,H. Whiteside makes 2-pt shot from 4 ft,2,37-28,,
7:06.0,,,37-31,3,S. Johnson makes 3-pt shot from 26 ft (assist by J. Leuer)
6:52.0,Shooting foul by A. Drummond (drawn by H. Whiteside),,37-31,,
6:52.0,H. Whiteside makes free throw 1 of 2,1,38-31,,
6:52.0,H. Whiteside makes free throw 2 of 2,1,39-31,,
6:52.0,G. Dragic enters the game for T. Johnson,,38-31,,
6:52.0,R. McGruder enters the game for J. Johnson,,38-31,,
6:40.0,,,39-31,,Turnover by I. Smith (lost ball; steal by O. White)
6:32.0,W. Ellington misses 3-pt shot from 24 ft,,39-31,,
6:32.0,,,39-31,,Defensive rebound by J. Leuer
6:22.0,,,39-33,2,I. Smith makes 2-pt shot from 1 ft
6:01.0,Turnover by W. Ellington (lost ball; steal by J. Leuer),,39-33,,
5:56.0,,,39-35,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Leuer)
5:52.0,Miami full timeout,,39-35,,
5:52.0,J. Richardson enters the game for W. Ellington,,39-35,,
5:41.0,G. Dragic makes 2-pt shot from 14 ft,2,41-35,,
5:26.0,J. Johnson enters the game for O. White,,41-35,,
5:19.0,,,41-35,,I. Smith misses 2-pt shot from 18 ft
5:19.0,,,41-35,,Offensive rebound by A. Drummond
5:17.0,,,41-35,,Turnover by A. Drummond (lost ball)
5:02.0,J. Richardson misses 3-pt shot from 23 ft,,41-35,,
5:02.0,Offensive rebound by R. McGruder,,41-35,,
4:54.0,J. Johnson misses 3-pt shot from 25 ft,,41-35,,
4:53.0,,,41-35,,Defensive rebound by I. Smith
4:47.0,,,41-37,2,I. Smith makes 2-pt shot from 1 ft
4:28.0,G. Dragic makes 2-pt shot at rim,2,43-37,,
4:10.0,,,43-37,,I. Smith misses 2-pt shot from 7 ft
4:10.0,,,43-37,,Offensive rebound by A. Drummond
4:10.0,Loose ball foul by H. Whiteside (drawn by A. Drummond),,43-37,,
3:59.0,,,43-37,,A. Drummond misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by H. Whiteside,,43-37,,
3:50.0,G. Dragic makes 2-pt shot from 15 ft,2,45-37,,
3:46.0,,,45-37,,Detroit full timeout
3:46.0,,,45-37,,T. Harris enters the game for J. Leuer
3:32.0,,,45-37,,Shooting foul by G. Dragic (drawn by I. Smith)
3:32.0,,,45-38,1,I. Smith makes free throw 1 of 2
3:32.0,,,45-39,1,I. Smith makes free throw 2 of 2
3:20.0,G. Dragic misses 2-pt shot from 15 ft,,45-39,,
3:20.0,,,45-39,,Defensive rebound by A. Drummond
3:06.0,,,45-39,,Detroit full timeout
2:55.0,,,45-41,2,I. Smith makes 2-pt shot from 10 ft
2:35.0,R. McGruder makes 2-pt shot from 8 ft,2,47-41,,
2:21.0,,,47-44,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
2:04.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,49-44,,
1:45.0,,,49-46,2,T. Harris makes 2-pt shot from 6 ft
1:32.0,H. Whiteside misses 2-pt shot from 5 ft,,49-46,,
1:32.0,,,49-46,,Defensive rebound by A. Drummond
1:26.0,,,49-48,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Smith)
1:14.0,Shooting foul by K. Caldwell-Pope (drawn by G. Dragic),,49-48,,
1:14.0,G. Dragic makes free throw 1 of 3,1,50-48,,
1:14.0,G. Dragic makes free throw 2 of 3,1,51-48,,
1:14.0,G. Dragic misses free throw 3 of 3,,51-48,,
1:14.0,,,51-48,,J. Leuer enters the game for T. Harris
1:14.0,T. Johnson enters the game for J. Richardson,,51-48,,
1:13.0,,,51-48,,Defensive rebound by S. Johnson
0:52.0,,,51-50,2,K. Caldwell-Pope makes 2-pt shot from 21 ft
0:41.0,R. McGruder makes 2-pt shot from 10 ft (assist by J. Johnson),2,53-50,,
0:23.0,,,53-50,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by H. Whiteside,,53-50,,
0:01.0,R. McGruder makes 2-pt shot at rim (assist by H. Whiteside),2,55-50,,
0:00.0,,,55-50,,K. Caldwell-Pope misses 3-pt shot from 56 ft
0:00.0,,,55-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,55-52,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
11:32.0,Shooting foul by M. Morris (drawn by R. McGruder),,55-52,,
11:32.0,R. McGruder makes free throw 1 of 2,1,56-52,,
11:32.0,R. McGruder misses free throw 2 of 2,,56-52,,
11:31.0,,,56-52,,Defensive rebound by M. Morris
11:06.0,,,56-54,2,I. Smith makes 2-pt shot from 14 ft
10:48.0,H. Whiteside misses 2-pt shot from 5 ft,,56-54,,
10:47.0,,,56-54,,Defensive rebound by A. Drummond
10:41.0,,,56-54,,K. Caldwell-Pope misses 2-pt shot from 14 ft
10:41.0,Defensive rebound by H. Whiteside,,56-54,,
10:27.0,G. Dragic makes 2-pt shot from 7 ft,2,58-54,,
10:14.0,,,58-54,,I. Smith misses 2-pt shot from 6 ft (block by G. Dragic)
10:14.0,,,58-54,,Offensive rebound by I. Smith
10:08.0,Personal foul by L. Babbitt (drawn by I. Smith),,58-54,,
10:00.0,,,58-56,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by A. Drummond)
9:42.0,G. Dragic misses 3-pt shot from 26 ft,,58-56,,
9:41.0,Offensive rebound by H. Whiteside,,58-56,,
9:37.0,H. Whiteside makes 2-pt shot at rim,2,60-56,,
9:13.0,,,60-56,,A. Drummond misses 2-pt shot from 5 ft (block by J. Richardson)
9:13.0,,,60-56,,Offensive rebound by Team
9:13.0,,,60-56,,Turnover by Team (shot clock)
9:01.0,L. Babbitt makes 3-pt shot from 24 ft (assist by R. McGruder),3,63-56,,
9:01.0,,,63-56,,Technical foul by Team
9:01.0,G. Dragic misses technical free throw,,63-56,,
9:01.0,,,63-56,,Offensive rebound by Team
8:50.0,,,63-56,,J. Leuer misses 3-pt shot from 25 ft
8:50.0,,,63-56,,Offensive rebound by A. Drummond
8:49.0,,,63-56,,Shooting foul by G. Dragic (drawn by A. Drummond)
8:49.0,,,63-56,,A. Drummond misses free throw 1 of 2
8:49.0,,,63-56,,Offensive rebound by Team
8:49.0,,,63-56,,A. Drummond misses free throw 2 of 2
8:48.0,,,63-56,,Offensive rebound by M. Morris
8:44.0,,,63-56,,M. Morris misses 2-pt shot at rim
8:43.0,Defensive rebound by R. McGruder,,63-56,,
8:26.0,J. Richardson misses 3-pt shot from 25 ft,,63-56,,
8:26.0,,,63-56,,Defensive rebound by M. Morris
8:13.0,,,63-56,,J. Leuer misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by J. Richardson,,63-56,,
8:10.0,G. Dragic makes 2-pt shot at rim,2,65-56,,
8:10.0,Shooting foul by K. Caldwell-Pope (drawn by G. Dragic),,65-56,,
8:10.0,G. Dragic makes free throw 1 of 1,1,66-56,,
7:57.0,,,66-58,2,I. Smith makes 2-pt shot from 1 ft
7:36.0,R. McGruder misses 3-pt shot from 26 ft,,66-58,,
7:36.0,,,66-58,,Defensive rebound by A. Drummond
7:32.0,,,66-58,,Shooting foul by G. Dragic (drawn by I. Smith)
7:32.0,,,66-59,1,I. Smith makes free throw 1 of 2
7:32.0,,,66-60,1,I. Smith makes free throw 2 of 2
7:32.0,,,66-59,,T. Harris enters the game for J. Leuer
7:09.0,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Babbitt),2,68-60,,
6:55.0,,,68-60,,K. Caldwell-Pope misses 2-pt shot from 16 ft
6:54.0,Defensive rebound by H. Whiteside,,68-60,,
6:34.0,L. Babbitt makes 2-pt shot from 17 ft (assist by J. Richardson),2,70-60,,
6:26.0,,,70-60,,Detroit full timeout
6:13.0,,,70-60,,Turnover by I. Smith (lost ball; steal by R. McGruder)
6:08.0,G. Dragic makes 2-pt shot from 1 ft (assist by R. McGruder),2,72-60,,
5:52.0,,,72-63,3,T. Harris makes 3-pt shot from 27 ft (assist by I. Smith)
5:35.0,Offensive foul by H. Whiteside,,72-63,,
5:35.0,Turnover by H. Whiteside (offensive foul),,72-63,,
5:20.0,,,72-63,,T. Harris misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by G. Dragic,,72-63,,
5:14.0,T. Johnson enters the game for J. Richardson,,72-63,,
5:14.0,J. Johnson enters the game for L. Babbitt,,72-63,,
5:02.0,T. Johnson misses 2-pt shot from 8 ft,,72-63,,
5:02.0,,,72-63,,Defensive rebound by M. Morris
4:49.0,,,72-63,,K. Caldwell-Pope misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by R. McGruder,,72-63,,
4:43.0,Turnover by G. Dragic (lost ball; steal by A. Drummond),,72-63,,
4:37.0,,,72-65,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Harris)
4:37.0,Miami full timeout,,72-65,,
4:37.0,,,72-65,,S. Johnson enters the game for M. Morris
4:27.0,,,72-65,,Personal foul by A. Drummond (drawn by G. Dragic)
4:15.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,74-65,,
3:58.0,,,74-67,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by I. Smith)
3:33.0,T. Johnson makes 2-pt shot from 8 ft,2,76-67,,
3:19.0,,,76-67,,I. Smith misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by J. Johnson,,76-67,,
3:12.0,,,76-67,,A. Baynes enters the game for A. Drummond
3:12.0,,,76-67,,B. Udrih enters the game for I. Smith
3:00.0,G. Dragic misses 2-pt shot from 10 ft,,76-67,,
3:00.0,Offensive rebound by Team,,76-67,,
3:00.0,W. Ellington enters the game for R. McGruder,,76-67,,
2:49.0,,,76-67,,Personal foul by B. Udrih (drawn by J. Johnson)
2:37.0,G. Dragic misses 3-pt shot from 27 ft,,76-67,,
2:37.0,,,76-67,,Defensive rebound by K. Caldwell-Pope
2:32.0,J. Richardson enters the game for G. Dragic,,76-67,,
2:32.0,W. Reed enters the game for H. Whiteside,,76-67,,
2:23.0,,,76-67,,T. Harris misses 2-pt shot from 14 ft
2:23.0,Defensive rebound by J. Johnson,,76-67,,
2:14.0,Shooting foul by S. Johnson (drawn by J. Johnson),,76-67,,
2:14.0,J. Johnson makes free throw 1 of 2,1,77-67,,
2:14.0,J. Johnson makes free throw 2 of 2,1,78-67,,
2:04.0,,,78-67,,Shooting foul by T. Johnson (drawn by B. Udrih)
2:04.0,,,78-68,1,B. Udrih makes free throw 1 of 2
2:04.0,,,78-69,1,B. Udrih makes free throw 2 of 2
2:04.0,,,78-68,,M. Morris enters the game for K. Caldwell-Pope
1:45.0,J. Richardson misses 3-pt shot from 26 ft,,78-69,,
1:45.0,,,78-69,,Defensive rebound by S. Johnson
1:34.0,,,78-69,,B. Udrih misses 2-pt shot from 9 ft
1:34.0,Defensive rebound by W. Reed,,78-69,,
1:22.0,J. Richardson misses 2-pt shot at rim,,78-69,,
1:22.0,,,78-69,,Defensive rebound by B. Udrih
1:11.0,,,78-69,,T. Harris misses 3-pt shot from 27 ft
1:10.0,Defensive rebound by W. Reed,,78-69,,
0:48.0,Turnover by J. Richardson (lost ball; steal by T. Harris),,78-69,,
0:34.0,,,78-69,,B. Udrih misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by J. Richardson,,78-69,,
0:12.0,W. Ellington misses 3-pt shot from 26 ft,,78-69,,
0:11.0,,,78-69,,Defensive rebound by M. Morris
0:04.0,,,78-69,,M. Morris misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by T. Johnson,,78-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Johnson misses 2-pt shot from 11 ft,,78-69,,
11:42.0,,,78-69,,Defensive rebound by B. Udrih
11:26.0,,,78-69,,B. Udrih misses 2-pt shot from 1 ft
11:25.0,,,78-69,,Offensive rebound by A. Baynes
11:22.0,,,78-69,,A. Baynes misses 2-pt shot from 3 ft (block by T. Johnson)
11:21.0,Defensive rebound by J. Richardson,,78-69,,
11:14.0,J. Johnson misses 2-pt shot from 6 ft,,78-69,,
11:14.0,,,78-69,,Defensive rebound by A. Baynes
11:04.0,Personal foul by W. Reed (drawn by A. Baynes),,78-69,,
10:52.0,,,78-71,2,M. Morris makes 2-pt shot from 15 ft (assist by A. Baynes)
10:31.0,Turnover by W. Ellington (bad pass; steal by S. Johnson),,78-71,,
10:26.0,,,78-71,,Turnover by S. Johnson (bad pass; steal by J. Richardson)
10:23.0,,,78-71,,Personal foul by B. Udrih (drawn by W. Reed)
10:09.0,J. Richardson makes 2-pt shot from 1 ft,2,80-71,,
9:52.0,,,80-71,,M. Morris misses 2-pt shot from 5 ft
9:52.0,Defensive rebound by J. Johnson,,80-71,,
9:44.0,T. Johnson misses 3-pt shot from 26 ft,,80-71,,
9:43.0,,,80-71,,Defensive rebound by T. Harris
9:34.0,,,80-71,,Shooting foul by J. Richardson (drawn by T. Harris)
9:34.0,,,80-72,1,T. Harris makes free throw 1 of 2
9:34.0,,,80-72,,T. Harris misses free throw 2 of 2
9:32.0,Defensive rebound by W. Ellington,,80-72,,
9:15.0,Turnover by J. Johnson (palming),,80-72,,
8:53.0,,,80-75,3,T. Harris makes 3-pt shot from 26 ft (assist by B. Udrih)
8:28.0,T. Johnson misses 2-pt shot from 4 ft (block by A. Baynes),,80-75,,
8:27.0,Offensive rebound by J. Johnson,,80-75,,
8:27.0,Turnover by Team (shot clock),,80-75,,
8:27.0,Official timeout,,80-75,,
8:13.0,,,80-77,2,A. Baynes makes 2-pt shot from 1 ft (assist by T. Harris)
7:53.0,J. Richardson misses 3-pt shot from 25 ft,,80-77,,
7:52.0,,,80-77,,Defensive rebound by S. Johnson
7:43.0,,,80-79,2,A. Baynes makes 2-pt shot at rim (assist by B. Udrih)
7:28.0,J. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson),3,83-79,,
7:11.0,,,83-79,,S. Johnson misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by Team,,83-79,,
7:11.0,,,83-79,,Loose ball foul by A. Baynes (drawn by W. Reed)
7:11.0,G. Dragic enters the game for W. Reed,,83-79,,
7:11.0,R. McGruder enters the game for T. Johnson,,83-79,,
7:11.0,,,83-79,,K. Caldwell-Pope enters the game for T. Harris
6:58.0,,,83-79,,Personal foul by A. Baynes (drawn by J. Richardson)
6:42.0,J. Richardson misses 2-pt shot from 3 ft (block by A. Baynes),,83-79,,
6:41.0,,,83-79,,Defensive rebound by K. Caldwell-Pope
6:28.0,,,83-79,,Turnover by S. Johnson (step out of bounds)
6:19.0,Shooting foul by A. Baynes (drawn by J. Johnson),,83-79,,
6:19.0,J. Johnson makes free throw 1 of 2,1,84-79,,
6:19.0,J. Johnson makes free throw 2 of 2,1,85-79,,
6:19.0,,,84-79,,A. Drummond enters the game for A. Baynes
6:19.0,,,84-79,,I. Smith enters the game for B. Udrih
6:05.0,,,85-82,3,M. Morris makes 3-pt shot from 27 ft (assist by I. Smith)
5:40.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,87-82,,
5:40.0,Shooting foul by M. Morris (drawn by J. Johnson),,87-82,,
5:40.0,,,87-82,,Detroit full timeout
5:40.0,J. Johnson misses free throw 1 of 1,,87-82,,
5:40.0,H. Whiteside enters the game for W. Ellington,,87-82,,
5:40.0,,,87-82,,T. Harris enters the game for M. Morris
5:39.0,,,87-82,,Defensive rebound by A. Drummond
5:27.0,,,87-82,,Turnover by S. Johnson (step out of bounds)
5:14.0,Turnover by J. Johnson (bad pass; steal by T. Harris),,87-82,,
5:00.0,,,87-82,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:00.0,,,87-82,,Offensive rebound by S. Johnson
4:54.0,,,87-85,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith)
4:41.0,Turnover by J. Johnson (bad pass; steal by A. Drummond),,87-85,,
4:34.0,,,87-85,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:34.0,,,87-85,,Offensive rebound by S. Johnson
4:34.0,,,87-87,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
4:34.0,,,87-87,,Shooting foul by H. Whiteside (drawn by A. Drummond)
4:34.0,,,87-88,1,A. Drummond makes free throw 1 of 1
4:34.0,,,87-87,,M. Morris enters the game for S. Johnson
4:29.0,Miami full timeout,,87-88,,
4:14.0,J. Richardson misses 2-pt shot from 14 ft,,87-88,,
4:14.0,Offensive rebound by H. Whiteside,,87-88,,
4:09.0,H. Whiteside misses 2-pt shot from 6 ft (block by A. Drummond),,87-88,,
4:08.0,,,87-88,,Defensive rebound by T. Harris
3:46.0,,,87-88,,T. Harris misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by G. Dragic,,87-88,,
3:27.0,R. McGruder makes 2-pt shot from 5 ft (assist by J. Richardson),2,89-88,,
3:14.0,,,89-88,,Shooting foul by J. Richardson (drawn by K. Caldwell-Pope)
3:14.0,,,89-88,,K. Caldwell-Pope misses free throw 1 of 3
