time,LA Lakers,pts.away,score,pts.home,Philadelphia
1:40.0,,,24-14,,J. Okafor enters the game for N. Noel
1:28.0,,,25-14,,J. Okafor misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by J. Randle,,25-14,,
1:20.0,L. Williams misses 3-pt shot from 27 ft,,25-14,,
1:19.0,Offensive rebound by Team,,25-14,,
1:19.0,L. Deng enters the game for J. Randle,,25-14,,
1:10.0,B. Ingram misses 2-pt shot from 19 ft,,25-14,,
1:08.0,Offensive rebound by L. Nance,,25-14,,
1:07.0,J. Clarkson makes 3-pt shot from 27 ft (assist by L. Deng),3,28-14,,
0:51.0,,,28-14,,Shooting foul by L. Nance (drawn by J. Okafor)
0:51.0,,,28-15,1,J. Okafor makes free throw 1 of 2
0:51.0,,,28-16,1,J. Okafor makes free throw 2 of 2
0:38.0,L. Williams makes 2-pt shot from 1 ft (assist by J. Clarkson),2,30-16,,
0:33.0,,,30-16,,Turnover by E. Ilyasova (traveling)
0:17.0,L. Williams misses 3-pt shot from 25 ft,,30-16,,
0:16.0,,,30-16,,Defensive rebound by J. Okafor
0:01.0,,,30-18,2,N. Stauskas makes 2-pt shot from 1 ft (assist by T. McConnell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-18,,Shooting foul by T. Black (drawn by J. Embiid)
11:45.0,,,30-19,1,J. Embiid makes free throw 1 of 2
11:45.0,,,30-19,,J. Embiid misses free throw 2 of 2
11:45.0,,,30-19,,S. Rodriguez enters the game for T. McConnell
11:44.0,Defensive rebound by B. Ingram,,30-19,,
11:30.0,Shooting foul by N. Stauskas,,30-19,,
11:30.0,L. Williams misses free throw 1 of 2,,30-19,,
11:30.0,Offensive rebound by Team,,30-19,,
11:30.0,L. Williams makes free throw 2 of 2,1,31-19,,
11:17.0,,,31-19,,D. Saric misses 3-pt shot from 26 ft
11:15.0,Defensive rebound by T. Black,,31-19,,
11:08.0,J. Clarkson misses 2-pt shot from 16 ft,,31-19,,
11:06.0,,,31-19,,Defensive rebound by S. Rodriguez
11:03.0,,,31-19,,Turnover by S. Rodriguez (lost ball; steal by L. Williams)
10:51.0,B. Ingram misses 2-pt shot from 13 ft,,31-19,,
10:49.0,,,31-19,,Defensive rebound by J. Okafor
10:39.0,Personal foul by T. Black (drawn by J. Embiid),,31-19,,
10:28.0,,,31-19,,N. Stauskas misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by Team,,31-19,,
10:13.0,L. Williams makes 2-pt shot from 2 ft,2,33-19,,
10:13.0,,,33-19,,Philadelphia full timeout
9:49.0,,,33-19,,J. Embiid misses 2-pt shot from 2 ft
9:48.0,,,33-19,,Offensive rebound by J. Okafor
9:48.0,,,33-21,2,J. Okafor makes 2-pt shot from 1 ft
9:25.0,B. Ingram misses 3-pt shot from 26 ft,,33-21,,
9:23.0,,,33-21,,Defensive rebound by J. Okafor
9:13.0,,,33-21,,G. Henderson enters the game for N. Stauskas
9:04.0,,,33-23,2,S. Rodriguez makes 2-pt shot from 20 ft
8:46.0,Turnover by T. Black (lost ball; steal by J. Okafor),,33-23,,
8:35.0,Personal foul by T. Black (drawn by J. Embiid),,33-23,,
8:35.0,T. Mozgov enters the game for T. Black,,33-23,,
8:21.0,,,33-23,,J. Okafor misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by T. Mozgov,,33-23,,
8:10.0,T. Mozgov makes 2-pt shot at rim (assist by L. Williams),2,35-23,,
7:53.0,,,35-23,,G. Henderson misses 2-pt shot from 19 ft
7:52.0,Defensive rebound by B. Ingram,,35-23,,
7:43.0,L. Nance makes 2-pt shot from 15 ft (assist by B. Ingram),2,37-23,,
7:22.0,,,37-23,,Shooting foul by T. Mozgov (drawn by J. Okafor)
7:22.0,,,37-24,1,J. Okafor makes free throw 1 of 2
7:22.0,,,37-25,1,J. Okafor makes free throw 2 of 2
7:22.0,,,37-24,,R. Covington enters the game for D. Saric
7:22.0,J. Randle enters the game for L. Nance,,37-24,,
7:09.0,J. Clarkson misses 2-pt shot from 9 ft,,37-25,,
7:08.0,,,37-25,,Defensive rebound by J. Okafor
6:53.0,,,37-27,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid)
6:45.0,Shooting foul by J. Embiid,,37-27,,
6:45.0,L. Williams makes free throw 1 of 2,1,38-27,,
6:45.0,L. Williams makes free throw 2 of 2,1,39-27,,
6:45.0,L. Deng enters the game for B. Ingram,,38-27,,
6:24.0,,,39-27,,S. Rodriguez misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by T. Mozgov,,39-27,,
6:16.0,L. Williams makes 2-pt shot from 4 ft,2,41-27,,
6:02.0,,,41-29,2,S. Rodriguez makes 2-pt shot from 16 ft
5:46.0,T. Mozgov misses 2-pt shot from 2 ft,,41-29,,
5:43.0,Offensive rebound by T. Mozgov,,41-29,,
5:43.0,Turnover by T. Mozgov (bad pass; steal by S. Rodriguez),,41-29,,
5:35.0,,,41-31,2,J. Okafor makes 2-pt shot from 5 ft (assist by S. Rodriguez)
5:28.0,LA Lakers full timeout,,41-31,,
5:28.0,,,41-31,,E. Ilyasova enters the game for J. Okafor
5:28.0,D. Russell enters the game for L. Williams,,41-31,,
5:28.0,N. Young enters the game for J. Clarkson,,41-31,,
5:16.0,T. Mozgov misses 2-pt shot from 20 ft,,41-31,,
5:15.0,,,41-31,,Defensive rebound by S. Rodriguez
5:10.0,Violation by D. Russell (kicked ball),,41-31,,
5:10.0,L. Nance enters the game for T. Mozgov,,41-31,,
5:03.0,,,41-31,,S. Rodriguez misses 2-pt shot from 19 ft
5:02.0,Defensive rebound by D. Russell,,41-31,,
5:01.0,Turnover by D. Russell (dbl dribble),,41-31,,
4:54.0,,,41-31,,E. Ilyasova misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by Team,,41-31,,
4:40.0,J. Randle misses 2-pt shot from 8 ft,,41-31,,
4:38.0,,,41-31,,Defensive rebound by E. Ilyasova
4:30.0,,,41-31,,S. Rodriguez misses 2-pt shot from 4 ft (block by D. Russell)
4:30.0,,,41-31,,Offensive rebound by S. Rodriguez
4:29.0,,,41-31,,Turnover by R. Covington (lost ball; steal by J. Randle)
4:24.0,J. Randle makes 2-pt shot from 1 ft,2,43-31,,
4:08.0,,,43-31,,Turnover by J. Embiid (lost ball; steal by N. Young)
4:08.0,,,43-31,,Violation by J. Embiid (kicked ball)
3:48.0,N. Young makes 2-pt shot from 17 ft (assist by J. Randle),2,45-31,,
3:38.0,Personal foul by J. Randle (drawn by G. Henderson),,45-31,,
3:38.0,,,45-32,1,G. Henderson makes free throw 1 of 2
3:38.0,,,45-33,1,G. Henderson makes free throw 2 of 2
3:38.0,,,45-32,,N. Noel enters the game for J. Embiid
3:26.0,L. Nance misses 2-pt shot from 10 ft,,45-33,,
3:24.0,,,45-33,,Defensive rebound by R. Covington
3:19.0,,,45-33,,Turnover by R. Covington (traveling)
3:07.0,Turnover by J. Randle (traveling),,45-33,,
3:07.0,,,45-33,,T. McConnell enters the game for S. Rodriguez
2:46.0,,,45-33,,Turnover by G. Henderson (bad pass; steal by J. Randle)
2:43.0,J. Randle makes 2-pt shot at rim,2,47-33,,
2:24.0,,,47-33,,R. Covington misses 2-pt shot from 1 ft
2:23.0,,,47-33,,Offensive rebound by N. Noel
2:22.0,,,47-33,,N. Noel misses 2-pt shot from 2 ft
2:20.0,,,47-33,,Offensive rebound by R. Covington
2:20.0,,,47-33,,R. Covington misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by D. Russell,,47-33,,
2:14.0,D. Russell misses 2-pt shot from 12 ft,,47-33,,
2:12.0,,,47-33,,Defensive rebound by E. Ilyasova
1:58.0,,,47-35,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Covington)
1:47.0,L. Deng misses 3-pt shot from 25 ft,,47-35,,
1:46.0,,,47-35,,Defensive rebound by G. Henderson
1:37.0,,,47-35,,T. McConnell misses 2-pt shot from 8 ft (block by L. Nance)
1:34.0,,,47-35,,Offensive rebound by E. Ilyasova
1:33.0,,,47-35,,E. Ilyasova misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by L. Nance,,47-35,,
1:25.0,LA Lakers full timeout,,47-35,,
1:25.0,Official timeout,,47-35,,
1:24.0,LA Lakers full timeout,,47-35,,
1:11.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,50-35,,
0:55.0,,,50-35,,T. McConnell misses 2-pt shot from 5 ft
0:51.0,,,50-35,,Offensive rebound by N. Noel
0:50.0,,,50-35,,N. Noel misses 2-pt shot from 2 ft
0:48.0,Defensive rebound by J. Randle,,50-35,,
0:48.0,Turnover by J. Randle (bad pass; steal by T. McConnell),,50-35,,
0:45.0,,,50-37,2,T. McConnell makes 2-pt shot from 1 ft
0:31.0,D. Russell makes 3-pt shot from 27 ft,3,53-37,,
0:18.0,,,53-40,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell)
0:01.0,N. Young misses 3-pt shot from 25 ft,,53-40,,
0:00.0,Offensive rebound by Team,,53-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by J. Randle (drawn by J. Okafor),,53-40,,
11:34.0,,,53-40,,J. Embiid misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by D. Russell,,53-40,,
11:11.0,N. Young misses 3-pt shot from 25 ft,,53-40,,
11:09.0,,,53-40,,Defensive rebound by G. Henderson
10:55.0,,,53-40,,J. Embiid misses 2-pt shot from 4 ft (block by N. Young)
10:53.0,,,53-40,,Offensive rebound by J. Embiid
10:46.0,,,53-40,,J. Embiid misses 3-pt shot from 26 ft
10:45.0,,,53-40,,Offensive rebound by G. Henderson
10:40.0,,,53-40,,G. Henderson misses 3-pt shot from 27 ft
10:37.0,Defensive rebound by J. Randle,,53-40,,
10:32.0,N. Young makes 3-pt shot from 26 ft (assist by J. Randle),3,56-40,,
10:12.0,,,56-40,,Shooting foul by N. Young (drawn by J. Embiid)
10:12.0,,,56-40,,J. Embiid misses free throw 1 of 2
10:12.0,,,56-40,,Offensive rebound by Team
10:12.0,,,56-40,,J. Embiid misses free throw 2 of 2
10:11.0,Defensive rebound by L. Deng,,56-40,,
10:00.0,D. Russell misses 2-pt shot from 1 ft,,56-40,,
9:58.0,,,56-40,,Defensive rebound by J. Embiid
9:50.0,,,56-40,,R. Covington misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by N. Young,,56-40,,
9:44.0,J. Randle makes 2-pt shot from 1 ft,2,58-40,,
9:43.0,,,58-40,,Philadelphia full timeout
9:25.0,,,58-42,2,J. Embiid makes 2-pt shot from 1 ft
9:12.0,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle),3,61-42,,
8:51.0,,,61-44,2,J. Okafor makes 2-pt shot from 12 ft
8:41.0,Shooting foul by S. Rodriguez (drawn by N. Young),,61-44,,
8:41.0,N. Young makes free throw 1 of 3,1,62-44,,
8:41.0,N. Young makes free throw 2 of 3,1,63-44,,
8:41.0,N. Young makes free throw 3 of 3,1,64-44,,
8:27.0,,,64-44,,Shooting foul by J. Randle (drawn by J. Okafor)
8:27.0,,,64-45,1,J. Okafor makes free throw 1 of 2
8:27.0,,,64-46,1,J. Okafor makes free throw 2 of 2
8:22.0,LA Lakers full timeout,,64-46,,
8:17.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Deng),2,66-46,,
8:04.0,,,66-46,,Offensive charge foul by J. Embiid
8:04.0,,,66-46,,Turnover by J. Embiid (offensive foul)
8:04.0,,,66-46,,E. Ilyasova enters the game for J. Embiid
7:54.0,,,66-46,,Personal foul by G. Henderson (drawn by L. Deng)
7:42.0,L. Deng misses 3-pt shot from 23 ft,,66-46,,
7:39.0,,,66-46,,Defensive rebound by E. Ilyasova
7:22.0,,,66-46,,J. Okafor misses 2-pt shot from 7 ft
7:20.0,Defensive rebound by T. Mozgov,,66-46,,
7:14.0,Turnover by J. Randle (lost ball; steal by E. Ilyasova),,66-46,,
7:06.0,,,66-46,,R. Covington misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by T. Mozgov,,66-46,,
6:46.0,D. Russell misses 3-pt shot from 26 ft,,66-46,,
6:44.0,,,66-46,,Defensive rebound by R. Covington
6:29.0,,,66-46,,R. Covington misses 3-pt shot from 27 ft
6:27.0,Defensive rebound by J. Randle,,66-46,,
6:21.0,,,66-46,,Personal foul by J. Okafor (drawn by J. Randle)
6:21.0,,,66-46,,N. Stauskas enters the game for J. Okafor
6:21.0,,,66-46,,D. Saric enters the game for G. Henderson
6:21.0,L. Nance enters the game for T. Mozgov,,66-46,,
6:12.0,L. Deng misses 2-pt shot from 17 ft,,66-46,,
6:10.0,,,66-46,,Defensive rebound by E. Ilyasova
5:51.0,,,66-46,,D. Saric misses 2-pt shot from 2 ft
5:49.0,,,66-46,,Offensive rebound by R. Covington
5:49.0,,,66-46,,R. Covington misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by D. Russell,,66-46,,
5:41.0,N. Young makes 2-pt shot from 16 ft,2,68-46,,
5:41.0,Shooting foul by R. Covington (drawn by N. Young),,68-46,,
5:41.0,N. Young misses free throw 1 of 1,,68-46,,
5:41.0,,,68-46,,T. McConnell enters the game for S. Rodriguez
5:41.0,B. Ingram enters the game for J. Randle,,68-46,,
5:40.0,,,68-46,,Defensive rebound by E. Ilyasova
5:26.0,,,68-48,2,D. Saric makes 2-pt shot from 15 ft (assist by E. Ilyasova)
5:11.0,,,68-48,,Personal foul by E. Ilyasova (drawn by D. Russell)
5:11.0,D. Russell makes free throw 1 of 2,1,69-48,,
5:11.0,D. Russell makes free throw 2 of 2,1,70-48,,
4:53.0,,,70-48,,E. Ilyasova misses 3-pt shot from 27 ft
4:51.0,,,70-48,,Offensive rebound by D. Saric
4:46.0,,,70-51,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
4:33.0,D. Russell misses 3-pt shot from 25 ft,,70-51,,
4:31.0,,,70-51,,Defensive rebound by T. McConnell
4:25.0,,,70-53,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell)
4:24.0,LA Lakers full timeout,,70-53,,
4:24.0,L. Williams enters the game for D. Russell,,70-53,,
4:24.0,J. Clarkson enters the game for L. Deng,,70-53,,
4:00.0,L. Williams misses 3-pt shot from 27 ft,,70-53,,
3:59.0,,,70-53,,Defensive rebound by D. Saric
3:53.0,,,70-53,,D. Saric misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by J. Clarkson,,70-53,,
3:46.0,B. Ingram misses 2-pt shot from 1 ft,,70-53,,
3:44.0,Offensive rebound by B. Ingram,,70-53,,
3:44.0,B. Ingram makes 2-pt shot at rim,2,72-53,,
3:34.0,,,72-53,,Shooting foul by N. Young (drawn by R. Covington)
3:34.0,,,72-54,1,R. Covington makes free throw 1 of 2
3:34.0,,,72-55,1,R. Covington makes free throw 2 of 2
3:18.0,J. Clarkson misses 3-pt shot from 27 ft,,72-55,,
3:16.0,,,72-55,,Defensive rebound by Team
3:16.0,,,72-55,,J. Embiid enters the game for R. Covington
3:06.0,,,72-55,,Turnover by N. Stauskas (bad pass)
3:06.0,J. Randle enters the game for N. Young,,72-55,,
2:53.0,L. Williams misses 2-pt shot from 15 ft (block by J. Embiid),,72-55,,
2:51.0,,,72-55,,Defensive rebound by E. Ilyasova
2:39.0,,,72-55,,J. Embiid misses 2-pt shot from 3 ft
2:37.0,,,72-55,,Offensive rebound by D. Saric
2:36.0,,,72-55,,D. Saric misses 2-pt shot from 2 ft
2:35.0,,,72-55,,Offensive rebound by J. Embiid
2:34.0,,,72-55,,J. Embiid misses 2-pt shot from 3 ft
2:32.0,Defensive rebound by J. Clarkson,,72-55,,
2:30.0,L. Williams misses 3-pt shot from 26 ft,,72-55,,
2:29.0,,,72-55,,Defensive rebound by E. Ilyasova
2:15.0,,,72-55,,Turnover by D. Saric (bad pass; steal by L. Williams)
2:13.0,L. Williams makes 2-pt shot from 1 ft,2,74-55,,
2:11.0,,,74-55,,Philadelphia full timeout
1:57.0,,,74-57,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by T. McConnell)
1:51.0,Turnover by B. Ingram (bad pass; steal by T. McConnell),,74-57,,
1:48.0,,,74-59,2,T. McConnell makes 2-pt shot from 2 ft
1:35.0,Turnover by J. Clarkson (traveling),,74-59,,
1:23.0,,,74-59,,Shooting foul by L. Nance (drawn by J. Embiid)
1:23.0,,,74-60,1,J. Embiid makes free throw 1 of 2
1:23.0,,,74-60,,J. Embiid misses free throw 2 of 2
1:22.0,Defensive rebound by J. Clarkson,,74-60,,
1:11.0,Turnover by J. Clarkson (lost ball; steal by N. Stauskas),,74-60,,
1:07.0,,,74-62,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by N. Stauskas)
0:51.0,L. Williams misses 2-pt shot from 1 ft (block by J. Embiid),,74-62,,
0:50.0,Offensive rebound by L. Nance,,74-62,,
0:50.0,Turnover by L. Nance (step out of bounds),,74-62,,
0:46.0,,,74-62,,Shooting foul by J. Clarkson (drawn by T. McConnell)
0:46.0,,,74-63,1,T. McConnell makes free throw 1 of 2
0:46.0,,,74-64,1,T. McConnell makes free throw 2 of 2
0:27.0,Turnover by L. Williams (bad pass; steal by T. McConnell),,74-64,,
0:01.0,,,74-64,,Turnover by J. Embiid (lost ball; steal by L. Nance)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Randle makes 2-pt shot from 17 ft,2,76-64,,
11:20.0,,,76-64,,Shooting foul by B. Ingram (drawn by D. Saric)
11:20.0,,,76-65,1,D. Saric makes free throw 1 of 2
11:20.0,,,76-66,1,D. Saric makes free throw 2 of 2
11:20.0,,,76-65,,R. Covington enters the game for E. Ilyasova
11:03.0,J. Clarkson makes 2-pt shot from 18 ft,2,78-66,,
10:52.0,,,78-68,2,J. Okafor makes 2-pt shot from 11 ft (assist by T. McConnell)
10:27.0,B. Ingram misses 3-pt shot from 27 ft,,78-68,,
10:24.0,,,78-68,,Defensive rebound by R. Covington
10:14.0,,,78-68,,T. McConnell misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by L. Nance,,78-68,,
10:07.0,Turnover by B. Ingram (step out of bounds),,78-68,,
9:51.0,,,78-70,2,N. Stauskas makes 2-pt shot from 20 ft
9:29.0,J. Randle misses 2-pt shot from 2 ft,,78-70,,
9:28.0,,,78-70,,Defensive rebound by J. Okafor
9:22.0,,,78-70,,N. Stauskas misses 3-pt shot from 27 ft
9:20.0,Defensive rebound by J. Randle,,78-70,,
9:16.0,,,78-70,,Shooting block foul by T. McConnell
9:16.0,L. Williams makes free throw 1 of 2,1,79-70,,
9:16.0,L. Williams makes free throw 2 of 2,1,80-70,,
9:16.0,,,79-70,,S. Rodriguez enters the game for T. McConnell
9:16.0,L. Deng enters the game for J. Randle,,79-70,,
9:07.0,,,80-73,3,D. Saric makes 3-pt shot from 28 ft
8:50.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Deng),3,83-73,,
8:36.0,,,83-73,,N. Stauskas misses 2-pt shot from 4 ft (block by L. Nance)
8:35.0,Defensive rebound by Team,,83-73,,
8:35.0,Official timeout,,83-73,,
8:25.0,B. Ingram misses 2-pt shot from 2 ft,,83-73,,
8:24.0,,,83-73,,Defensive rebound by S. Rodriguez
8:19.0,,,83-75,2,R. Covington makes 2-pt shot from 2 ft (assist by S. Rodriguez)
8:00.0,J. Clarkson misses 3-pt shot from 26 ft,,83-75,,
7:58.0,,,83-75,,Defensive rebound by S. Rodriguez
7:46.0,,,83-75,,D. Saric misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by Team,,83-75,,
7:29.0,J. Clarkson makes 2-pt shot from 2 ft,2,85-75,,
7:09.0,,,85-75,,D. Saric misses 2-pt shot from 6 ft
7:08.0,Defensive rebound by L. Deng,,85-75,,
7:01.0,Shooting foul by R. Covington,,85-75,,
7:01.0,L. Williams makes free throw 1 of 2,1,86-75,,
7:01.0,L. Williams makes free throw 2 of 2,1,87-75,,
7:01.0,,,86-75,,J. Embiid enters the game for J. Okafor
7:01.0,T. Mozgov enters the game for B. Ingram,,86-75,,
6:53.0,,,87-75,,S. Rodriguez misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by L. Nance,,87-75,,
6:36.0,L. Williams misses 3-pt shot from 26 ft,,87-75,,
6:35.0,Offensive rebound by L. Nance,,87-75,,
6:35.0,,,87-75,,Personal foul by D. Saric (drawn by L. Nance)
6:19.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams),2,89-75,,
6:18.0,,,89-75,,Philadelphia full timeout
6:18.0,,,89-75,,E. Ilyasova enters the game for D. Saric
6:18.0,,,89-75,,T. McConnell enters the game for S. Rodriguez
6:01.0,,,89-77,2,E. Ilyasova makes 2-pt shot from 11 ft (assist by T. McConnell)
