time,Orlando,pts.away,score,pts.home,Sacramento
6:50.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,11-8,,
6:34.0,,,11-8,,B. Hield misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by E. Fournier,,11-8,,
6:15.0,E. Fournier misses 3-pt shot from 26 ft,,11-8,,
6:15.0,Offensive rebound by Team,,11-8,,
6:15.0,,,11-8,,Loose ball foul by S. Labissiere (drawn by N. Vucevic)
6:03.0,T. Ross misses 3-pt shot from 25 ft,,11-8,,
6:02.0,,,11-8,,Defensive rebound by W. Cauley-Stein
5:51.0,,,11-10,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
5:32.0,E. Fournier misses 3-pt shot from 25 ft,,11-10,,
5:31.0,,,11-10,,Defensive rebound by S. Labissiere
5:22.0,,,11-10,,Shooting foul by A. Gordon (drawn by D. Collison)
5:22.0,,,11-10,,Sacramento full timeout
5:22.0,,,11-11,1,D. Collison makes free throw 1 of 2
5:22.0,,,11-12,1,D. Collison makes free throw 2 of 2
5:22.0,J. Green enters the game for A. Gordon,,11-10,,
5:06.0,Turnover by E. Fournier (lost ball; steal by B. Hield),,11-12,,
5:01.0,,,11-14,2,G. Temple makes 2-pt shot from 2 ft (assist by D. Collison)
4:47.0,E. Payton makes 2-pt shot from 3 ft,2,13-14,,
4:26.0,,,13-14,,B. Hield misses 2-pt shot from 3 ft
4:25.0,Defensive rebound by J. Green,,13-14,,
4:18.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,15-14,,
4:01.0,,,15-16,2,D. Collison makes 2-pt shot from 17 ft
3:51.0,Offensive foul by E. Fournier,,15-16,,
3:51.0,Turnover by E. Fournier (offensive foul),,15-16,,
3:51.0,M. Hezonja enters the game for T. Ross,,15-16,,
3:51.0,,,15-16,,G. Papagiannis enters the game for W. Cauley-Stein
3:51.0,,,15-16,,B. McLemore enters the game for G. Temple
3:34.0,,,15-16,,Shooting foul by N. Vucevic (drawn by B. McLemore)
3:34.0,,,15-17,1,B. McLemore makes free throw 1 of 2
3:34.0,Orlando full timeout,,15-17,,
3:34.0,,,15-17,,B. McLemore misses free throw 2 of 2
3:33.0,Defensive rebound by N. Vucevic,,15-17,,
3:16.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Payton),2,17-17,,
2:55.0,,,17-17,,Turnover by B. Hield (lost ball; steal by N. Vucevic)
2:42.0,J. Green makes 2-pt shot from 14 ft (assist by N. Vucevic),2,19-17,,
2:23.0,,,19-17,,G. Papagiannis misses 2-pt shot from 11 ft
2:22.0,Defensive rebound by N. Vucevic,,19-17,,
2:03.0,Turnover by N. Vucevic (bad pass; steal by B. Hield),,19-17,,
2:01.0,,,19-17,,Shooting foul by J. Green (drawn by B. Hield)
2:01.0,,,19-18,1,B. Hield makes free throw 1 of 2
2:01.0,,,19-19,1,B. Hield makes free throw 2 of 2
2:01.0,B. Biyombo enters the game for N. Vucevic,,19-18,,
2:01.0,D. Augustin enters the game for E. Fournier,,19-18,,
2:01.0,C. Watson enters the game for E. Payton,,19-18,,
2:01.0,,,19-18,,A. Tolliver enters the game for S. Labissiere
1:47.0,C. Watson makes 2-pt shot from 2 ft (assist by J. Green),2,21-19,,
1:34.0,,,21-19,,Turnover by D. Collison (bad pass; steal by J. Green)
1:27.0,J. Green misses 3-pt shot from 24 ft,,21-19,,
1:26.0,,,21-19,,Defensive rebound by B. Hield
1:14.0,,,21-22,3,B. Hield makes 3-pt shot from 26 ft
0:51.0,B. Biyombo misses 2-pt shot from 5 ft (block by G. Papagiannis),,21-22,,
0:49.0,,,21-22,,Defensive rebound by A. Tolliver
0:47.0,Violation by C. Watson (kicked ball),,21-22,,
0:47.0,,,21-22,,L. Galloway enters the game for D. Collison
0:44.0,,,21-22,,B. Hield misses 3-pt shot from 27 ft
0:43.0,Defensive rebound by B. Biyombo,,21-22,,
0:32.0,Turnover by D. Augustin (bad pass),,21-22,,
0:15.0,,,21-24,2,B. Hield makes 2-pt shot from 23 ft
0:00.0,Shooting foul by B. McLemore (drawn by B. Biyombo),,21-24,,
0:00.0,B. Biyombo makes free throw 1 of 2,1,22-24,,
0:00.0,B. Biyombo makes free throw 2 of 2,1,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
0:00.0,,,22-24,,W. Cauley-Stein enters the game for B. Hield
11:45.0,,,23-27,3,G. Temple makes 3-pt shot from 25 ft (assist by L. Galloway)
11:26.0,M. Hezonja makes 2-pt shot from 14 ft,2,25-27,,
11:10.0,,,25-27,,B. McLemore misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by J. Green,,25-27,,
11:06.0,Shooting foul by A. Tolliver (drawn by J. Green),,25-27,,
11:06.0,J. Green makes free throw 1 of 2,1,26-27,,
11:06.0,J. Green makes free throw 2 of 2,1,27-27,,
10:52.0,,,27-27,,L. Galloway misses 2-pt shot from 4 ft
10:51.0,Defensive rebound by B. Biyombo,,27-27,,
10:41.0,J. Green misses 3-pt shot from 26 ft,,27-27,,
10:40.0,,,27-27,,Defensive rebound by B. McLemore
10:34.0,,,27-27,,Turnover by B. McLemore (bad pass; steal by J. Green)
10:29.0,M. Hezonja makes 2-pt shot from 3 ft (assist by J. Green),2,29-27,,
10:10.0,,,29-27,,Shooting foul by C. Watson (drawn by A. Tolliver)
10:10.0,,,29-28,1,A. Tolliver makes free throw 1 of 2
10:10.0,,,29-29,1,A. Tolliver makes free throw 2 of 2
9:54.0,M. Hezonja misses 2-pt shot from 19 ft,,29-29,,
9:53.0,,,29-29,,Defensive rebound by G. Temple
9:46.0,,,29-29,,Turnover by G. Temple (bad pass; steal by J. Green)
9:41.0,Turnover by J. Green (lost ball),,29-29,,
9:32.0,,,29-29,,Turnover by B. McLemore (step out of bounds)
9:15.0,B. Biyombo makes 2-pt shot at rim (assist by C. Watson),2,31-29,,
8:59.0,,,31-29,,G. Papagiannis misses 2-pt shot from 16 ft
8:59.0,Defensive rebound by D. Augustin,,31-29,,
8:52.0,C. Watson misses 3-pt shot from 24 ft,,31-29,,
8:51.0,,,31-29,,Defensive rebound by G. Papagiannis
8:45.0,,,31-32,3,B. McLemore makes 3-pt shot from 25 ft
8:35.0,,,31-32,,Personal foul by G. Temple (drawn by C. Watson)
8:35.0,Official timeout,,31-32,,
8:35.0,,,31-32,,W. Cauley-Stein enters the game for G. Papagiannis
8:22.0,D. Augustin misses 3-pt shot from 25 ft,,31-32,,
8:21.0,,,31-32,,Defensive rebound by B. McLemore
8:13.0,,,31-35,3,B. McLemore makes 3-pt shot from 27 ft
7:56.0,M. Hezonja misses 2-pt shot from 6 ft,,31-35,,
7:55.0,,,31-35,,Defensive rebound by W. Cauley-Stein
7:33.0,,,31-35,,A. Tolliver misses 3-pt shot from 27 ft
7:33.0,Defensive rebound by D. Augustin,,31-35,,
7:30.0,J. Green makes 2-pt shot from 3 ft (assist by D. Augustin),2,33-35,,
7:30.0,Shooting foul by A. Tolliver (drawn by J. Green),,33-35,,
7:30.0,J. Green makes free throw 1 of 1,1,34-35,,
7:09.0,,,34-35,,Turnover by A. Tolliver (bad pass; steal by M. Hezonja)
7:04.0,Offensive foul by B. Biyombo,,34-35,,
7:04.0,Turnover by B. Biyombo (offensive foul),,34-35,,
6:54.0,,,34-35,,Shooting foul by M. Hezonja (drawn by B. McLemore)
6:54.0,,,34-35,,B. McLemore misses free throw 1 of 2
6:54.0,,,34-35,,Offensive rebound by Team
6:54.0,,,34-36,1,B. McLemore makes free throw 2 of 2
6:54.0,A. Gordon enters the game for J. Green,,34-35,,
6:54.0,T. Ross enters the game for M. Hezonja,,34-35,,
6:54.0,,,34-35,,S. Labissiere enters the game for A. Tolliver
6:41.0,D. Augustin misses 3-pt shot from 26 ft,,34-36,,
6:40.0,,,34-36,,Defensive rebound by S. Labissiere
6:32.0,,,34-36,,B. McLemore misses 2-pt shot from 21 ft
6:31.0,,,34-36,,Offensive rebound by Team
6:31.0,E. Payton enters the game for D. Augustin,,34-36,,
6:31.0,N. Vucevic enters the game for B. Biyombo,,34-36,,
6:31.0,,,34-36,,Sacramento full timeout
6:24.0,,,34-36,,Turnover by G. Temple (bad pass; steal by N. Vucevic)
6:08.0,C. Watson makes 2-pt shot from 4 ft (assist by E. Payton),2,36-36,,
5:53.0,,,36-36,,W. Cauley-Stein misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by N. Vucevic,,36-36,,
5:43.0,N. Vucevic makes 3-pt shot from 25 ft (assist by A. Gordon),3,39-36,,
5:26.0,,,39-38,2,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by B. McLemore)
5:16.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,42-38,,
4:59.0,,,42-38,,W. Cauley-Stein misses 2-pt shot from 9 ft
4:58.0,Defensive rebound by N. Vucevic,,42-38,,
4:54.0,A. Gordon misses 2-pt shot from 2 ft,,42-38,,
4:53.0,Offensive rebound by E. Payton,,42-38,,
4:53.0,E. Payton misses 2-pt shot from 1 ft (block by S. Labissiere),,42-38,,
4:52.0,,,42-38,,Defensive rebound by S. Labissiere
4:45.0,,,42-40,2,S. Labissiere makes 2-pt shot at rim (assist by W. Cauley-Stein)
4:40.0,Orlando full timeout,,42-40,,
4:40.0,,,42-40,,D. Collison enters the game for G. Temple
4:40.0,,,42-40,,B. Hield enters the game for S. Labissiere
4:40.0,,,42-40,,A. Tolliver enters the game for B. McLemore
4:33.0,E. Payton makes 2-pt shot from 3 ft,2,44-40,,
4:33.0,Shooting foul by B. Hield (drawn by E. Payton),,44-40,,
4:33.0,E. Payton makes free throw 1 of 1,1,45-40,,
4:33.0,E. Fournier enters the game for C. Watson,,44-40,,
4:18.0,,,45-42,2,D. Collison makes 2-pt shot from 19 ft (assist by A. Tolliver)
3:52.0,N. Vucevic misses 2-pt shot from 11 ft,,45-42,,
3:52.0,Offensive rebound by Team,,45-42,,
3:37.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,47-42,,
3:25.0,,,47-44,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
3:09.0,A. Gordon makes 2-pt shot from 3 ft (assist by T. Ross),2,49-44,,
2:49.0,,,49-47,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
2:34.0,A. Gordon makes 2-pt shot from 12 ft,2,51-47,,
2:34.0,Shooting foul by A. Tolliver (drawn by A. Gordon),,51-47,,
2:34.0,A. Gordon makes free throw 1 of 1,1,52-47,,
2:22.0,Def 3 sec tech foul by N. Vucevic,,52-47,,
2:22.0,,,52-48,1,B. Hield makes technical free throw
2:13.0,,,52-48,,W. Cauley-Stein misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by E. Payton,,52-48,,
2:00.0,N. Vucevic makes 2-pt shot from 15 ft,2,54-48,,
1:42.0,,,54-51,3,L. Galloway makes 3-pt shot from 25 ft (assist by D. Collison)
1:25.0,A. Gordon misses 2-pt shot from 16 ft,,54-51,,
1:25.0,,,54-51,,Defensive rebound by A. Tolliver
1:13.0,,,54-51,,W. Cauley-Stein misses 2-pt shot from 12 ft
1:13.0,Defensive rebound by N. Vucevic,,54-51,,
1:07.0,E. Payton makes 2-pt shot at rim,2,56-51,,
0:57.0,,,56-54,3,L. Galloway makes 3-pt shot from 26 ft (assist by D. Collison)
0:49.0,N. Vucevic misses 2-pt shot from 19 ft,,56-54,,
0:48.0,,,56-54,,Defensive rebound by B. Hield
0:30.0,,,56-56,2,W. Cauley-Stein makes 2-pt shot from 3 ft
0:10.0,A. Gordon misses 2-pt shot from 5 ft,,56-56,,
0:10.0,Offensive rebound by E. Fournier,,56-56,,
0:10.0,E. Fournier makes 2-pt shot from 3 ft,2,58-56,,
0:04.0,Personal foul by E. Payton (drawn by D. Collison),,58-56,,
0:04.0,,,58-56,,S. Labissiere enters the game for A. Tolliver
0:04.0,J. Green enters the game for A. Gordon,,58-56,,
0:04.0,C. Watson enters the game for E. Fournier,,58-56,,
0:04.0,,,58-56,,Sacramento full timeout
0:04.0,,,58-56,,B. McLemore enters the game for S. Labissiere
0:01.0,,,58-56,,Shooting foul by J. Green (drawn by D. Collison)
0:01.0,,,58-57,1,D. Collison makes free throw 1 of 2
0:01.0,Orlando full timeout,,58-57,,
0:01.0,,,58-58,1,D. Collison makes free throw 2 of 2
0:01.0,,,58-57,,S. Labissiere enters the game for L. Galloway
0:01.0,E. Fournier enters the game for C. Watson,,58-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-58,,Turnover by G. Temple (bad pass; steal by A. Gordon)
11:34.0,Turnover by E. Payton (bad pass; steal by G. Temple),,58-58,,
11:09.0,,,58-60,2,B. Hield makes 2-pt shot from 5 ft
10:48.0,Turnover by A. Gordon (lost ball; steal by D. Collison),,58-60,,
10:35.0,,,58-60,,S. Labissiere misses 2-pt shot from 10 ft
10:34.0,Defensive rebound by E. Fournier,,58-60,,
10:16.0,Turnover by N. Vucevic (lost ball; steal by G. Temple),,58-60,,
10:03.0,,,58-62,2,S. Labissiere makes 2-pt shot from 9 ft
10:03.0,,,58-62,,Shooting foul by E. Fournier (drawn by S. Labissiere)
10:03.0,,,58-63,1,S. Labissiere makes free throw 1 of 1
9:52.0,E. Payton makes 2-pt shot from 4 ft,2,60-63,,
9:42.0,Personal foul by T. Ross (drawn by B. Hield),,60-63,,
9:34.0,,,60-65,2,W. Cauley-Stein makes 2-pt shot from 10 ft
9:16.0,Shooting foul by S. Labissiere (drawn by A. Gordon),,60-65,,
9:16.0,A. Gordon makes free throw 1 of 2,1,61-65,,
9:16.0,A. Gordon makes free throw 2 of 2,1,62-65,,
9:04.0,,,62-67,2,S. Labissiere makes 2-pt shot from 16 ft (assist by D. Collison)
8:49.0,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton),3,65-67,,
8:36.0,,,65-67,,S. Labissiere misses 2-pt shot from 6 ft
8:35.0,,,65-67,,Offensive rebound by S. Labissiere
8:35.0,,,65-67,,S. Labissiere misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by E. Payton,,65-67,,
8:26.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,68-67,,
8:12.0,,,68-67,,B. Hield misses 2-pt shot from 11 ft
8:11.0,Defensive rebound by E. Payton,,68-67,,
7:57.0,N. Vucevic makes 2-pt shot from 13 ft (assist by T. Ross),2,70-67,,
7:34.0,,,70-67,,W. Cauley-Stein misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by A. Gordon,,70-67,,
7:26.0,A. Gordon misses 2-pt shot from 8 ft,,70-67,,
7:25.0,,,70-67,,Defensive rebound by W. Cauley-Stein
7:15.0,,,70-69,2,G. Temple makes 2-pt shot from 9 ft
7:00.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,73-69,,
6:38.0,,,73-71,2,G. Temple makes 2-pt shot from 16 ft
6:20.0,N. Vucevic misses 2-pt shot from 4 ft,,73-71,,
6:19.0,,,73-71,,Defensive rebound by S. Labissiere
6:16.0,,,73-71,,D. Collison misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by E. Payton,,73-71,,
6:06.0,T. Ross misses 3-pt shot from 24 ft,,73-71,,
6:06.0,,,73-71,,Defensive rebound by B. Hield
6:05.0,,,73-71,,Sacramento full timeout
5:50.0,,,73-74,3,D. Collison makes 3-pt shot from 24 ft (assist by B. Hield)
5:50.0,,,73-74,,Shooting foul by E. Payton (drawn by D. Collison)
5:50.0,,,73-75,1,D. Collison makes free throw 1 of 1
5:36.0,T. Ross misses 2-pt shot from 9 ft (block by S. Labissiere),,73-75,,
5:36.0,,,73-75,,Defensive rebound by B. Hield
5:27.0,,,73-77,2,B. Hield makes 2-pt shot from 11 ft
5:13.0,N. Vucevic misses 2-pt shot from 20 ft,,73-77,,
5:12.0,,,73-77,,Defensive rebound by S. Labissiere
5:00.0,,,73-79,2,W. Cauley-Stein makes 2-pt shot from 5 ft
4:59.0,Orlando full timeout,,73-79,,
4:59.0,M. Hezonja enters the game for T. Ross,,73-79,,
4:59.0,,,73-79,,B. McLemore enters the game for G. Temple
4:49.0,E. Fournier makes 2-pt shot from 7 ft,2,75-79,,
4:49.0,Shooting foul by B. McLemore (drawn by E. Fournier),,75-79,,
4:49.0,E. Fournier makes free throw 1 of 1,1,76-79,,
4:35.0,,,76-79,,B. Hield misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by E. Payton,,76-79,,
4:24.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,79-79,,
4:19.0,,,79-79,,Turnover by D. Collison (bad pass)
4:04.0,,,79-79,,Personal foul by B. McLemore (drawn by E. Fournier)
4:04.0,,,79-79,,A. Tolliver enters the game for S. Labissiere
3:55.0,E. Fournier misses 3-pt shot from 27 ft,,79-79,,
3:55.0,,,79-79,,Defensive rebound by B. Hield
3:47.0,,,79-79,,Turnover by B. Hield (lost ball; steal by A. Gordon)
3:41.0,E. Fournier misses 2-pt shot from 3 ft,,79-79,,
3:40.0,,,79-79,,Defensive rebound by W. Cauley-Stein
3:32.0,,,79-82,3,B. Hield makes 3-pt shot from 25 ft
3:27.0,Turnover by E. Fournier (bad pass; steal by D. Collison),,79-82,,
3:23.0,,,79-84,2,B. McLemore makes 2-pt shot from 22 ft
3:16.0,Turnover by A. Gordon (lost ball; steal by A. Tolliver),,79-84,,
3:13.0,,,79-84,,W. Cauley-Stein misses 2-pt shot from 8 ft (block by N. Vucevic)
3:13.0,,,79-84,,Offensive rebound by Team
3:13.0,B. Biyombo enters the game for A. Gordon,,79-84,,
3:13.0,C. Watson enters the game for N. Vucevic,,79-84,,
3:13.0,J. Green enters the game for E. Fournier,,79-84,,
3:13.0,D. Augustin enters the game for E. Payton,,79-84,,
2:51.0,,,79-84,,B. McLemore misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by M. Hezonja,,79-84,,
2:40.0,D. Augustin misses 3-pt shot from 25 ft,,79-84,,
2:40.0,Offensive rebound by B. Biyombo,,79-84,,
2:35.0,C. Watson misses 3-pt shot from 22 ft,,79-84,,
2:35.0,Offensive rebound by Team,,79-84,,
2:35.0,,,79-84,,Loose ball foul by B. McLemore (drawn by J. Green)
2:35.0,,,79-84,,L. Galloway enters the game for B. Hield
2:15.0,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Augustin),3,82-84,,
2:01.0,,,82-87,3,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Collison)
1:49.0,Shooting foul by D. Collison (drawn by D. Augustin),,82-87,,
1:49.0,D. Augustin makes free throw 1 of 2,1,83-87,,
1:49.0,D. Augustin makes free throw 2 of 2,1,84-87,,
1:32.0,,,84-87,,D. Collison misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by C. Watson,,84-87,,
1:26.0,D. Augustin misses 2-pt shot from 3 ft,,84-87,,
1:25.0,,,84-87,,Defensive rebound by A. Tolliver
1:18.0,,,84-90,3,D. Collison makes 3-pt shot from 24 ft (assist by L. Galloway)
0:54.0,Turnover by M. Hezonja (bad pass; steal by D. Collison),,84-90,,
0:48.0,,,84-93,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Collison)
0:24.0,C. Watson misses 2-pt shot from 21 ft,,84-93,,
0:23.0,Offensive rebound by M. Hezonja,,84-93,,
0:23.0,M. Hezonja misses 2-pt shot from 3 ft,,84-93,,
0:22.0,,,84-93,,Defensive rebound by B. McLemore
0:16.0,,,84-93,,D. Collison misses 3-pt shot from 23 ft
0:15.0,Defensive rebound by J. Green,,84-93,,
0:00.0,Turnover by C. Watson (bad pass; steal by B. McLemore),,84-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Green misses 2-pt shot from 14 ft,,84-93,,
11:37.0,,,84-93,,Defensive rebound by A. Tolliver
11:23.0,,,84-93,,A. Tolliver misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by J. Green,,84-93,,
11:10.0,M. Hezonja makes 2-pt shot from 4 ft (assist by D. Augustin),2,86-93,,
10:53.0,,,86-93,,L. Galloway misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by J. Green,,86-93,,
10:40.0,C. Watson makes 2-pt shot from 2 ft (assist by D. Augustin),2,88-93,,
10:20.0,,,88-93,,Turnover by B. McLemore (traveling)
10:04.0,B. Biyombo misses 2-pt shot from 10 ft,,88-93,,
10:04.0,,,88-93,,Defensive rebound by B. McLemore
9:56.0,,,88-93,,B. McLemore misses 2-pt shot from 2 ft
9:54.0,,,88-93,,Offensive rebound by G. Papagiannis
9:54.0,,,88-95,2,G. Papagiannis makes 2-pt shot at rim
9:32.0,D. Augustin misses 3-pt shot from 26 ft,,88-95,,
9:31.0,,,88-95,,Defensive rebound by G. Papagiannis
9:18.0,,,88-98,3,G. Temple makes 3-pt shot from 23 ft
9:00.0,D. Augustin misses 2-pt shot from 2 ft,,88-98,,
8:59.0,,,88-98,,Defensive rebound by G. Papagiannis
8:52.0,,,88-98,,B. McLemore misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by M. Hezonja,,88-98,,
8:41.0,D. Augustin makes 2-pt shot from 3 ft (assist by B. Biyombo),2,90-98,,
8:30.0,,,90-98,,Turnover by L. Galloway (bad pass; steal by C. Watson)
8:24.0,J. Green misses 2-pt shot at rim,,90-98,,
8:24.0,,,90-98,,Defensive rebound by Team
8:24.0,Official timeout,,90-98,,
8:24.0,E. Payton enters the game for D. Augustin,,90-98,,
8:06.0,,,90-98,,A. Tolliver misses 2-pt shot from 4 ft (block by B. Biyombo)
8:05.0,Defensive rebound by B. Biyombo,,90-98,,
7:52.0,Jump ball: B. Biyombo vs. G. Papagiannis (E. Payton gains possession),,,,Jump ball: B. Biyombo vs. G. Papagiannis (E. Payton gains possession)
7:34.0,C. Watson makes 3-pt shot from 24 ft (assist by M. Hezonja),3,93-98,,
7:21.0,,,93-98,,Offensive foul by G. Temple
7:21.0,,,93-98,,Turnover by G. Temple (offensive foul)
7:21.0,,,93-98,,W. Cauley-Stein enters the game for G. Papagiannis
7:17.0,T. Ross enters the game for M. Hezonja,,93-98,,
7:02.0,C. Watson misses 3-pt shot from 25 ft,,93-98,,
7:02.0,,,93-98,,Defensive rebound by A. Tolliver
6:48.0,,,93-101,3,B. McLemore makes 3-pt shot from 23 ft (assist by G. Temple)
6:48.0,,,93-101,,Shooting foul by C. Watson (drawn by B. McLemore)
6:48.0,,,93-102,1,B. McLemore makes free throw 1 of 1
6:48.0,A. Gordon enters the game for J. Green,,93-101,,
6:48.0,N. Vucevic enters the game for B. Biyombo,,93-101,,
6:48.0,E. Fournier enters the game for C. Watson,,93-101,,
6:36.0,N. Vucevic misses 2-pt shot from 18 ft,,93-102,,
6:36.0,Offensive rebound by N. Vucevic,,93-102,,
6:28.0,E. Payton makes 2-pt shot from 10 ft,2,95-102,,
6:13.0,,,95-102,,Turnover by W. Cauley-Stein (lost ball; steal by E. Fournier)
6:07.0,A. Gordon misses 2-pt shot from 3 ft,,95-102,,
6:06.0,,,95-102,,Defensive rebound by B. McLemore
6:00.0,,,95-102,,G. Temple misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by N. Vucevic,,95-102,,
5:48.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,97-102,,
5:34.0,,,97-102,,B. McLemore misses 2-pt shot from 8 ft (block by N. Vucevic)
5:32.0,Defensive rebound by E. Payton,,97-102,,
5:26.0,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon),3,100-102,,
5:18.0,,,100-102,,Sacramento full timeout
5:18.0,,,100-102,,D. Collison enters the game for B. McLemore
5:18.0,,,100-102,,B. Hield enters the game for L. Galloway
5:08.0,,,100-104,2,D. Collison makes 2-pt shot from 8 ft
4:53.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,103-104,,
4:42.0,Personal foul by E. Fournier (drawn by D. Collison),,103-104,,
4:31.0,,,103-107,3,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Collison)
4:07.0,N. Vucevic makes 2-pt shot from 10 ft (assist by T. Ross),2,105-107,,
3:41.0,,,105-107,,B. Hield misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by Team,,105-107,,
3:28.0,E. Fournier misses 3-pt shot from 25 ft,,105-107,,
3:27.0,,,105-107,,Defensive rebound by A. Tolliver
3:16.0,,,105-109,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
3:04.0,E. Payton misses 2-pt shot from 5 ft,,105-109,,
3:03.0,Offensive rebound by N. Vucevic,,105-109,,
3:03.0,N. Vucevic makes 2-pt shot from 2 ft,2,107-109,,
