time,Oklahoma City,pts.away,score,pts.home,Minnesota
0:32.0,,,31-15,,A. Wiggins misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by E. Kanter,,31-15,,
0:20.0,Shooting foul by G. Dieng (drawn by K. Singler),,31-15,,
0:20.0,K. Singler makes free throw 1 of 2,1,32-15,,
0:20.0,K. Singler makes free throw 2 of 2,1,33-15,,
0:04.0,Personal foul by K. Singler (drawn by A. Wiggins),,33-15,,
0:04.0,,,33-15,,A. Wiggins misses free throw 1 of 2
0:04.0,,,33-15,,Offensive rebound by Team
0:04.0,,,33-16,1,A. Wiggins makes free throw 2 of 2
0:00.0,N. Cole misses 3-pt shot from 26 ft,,33-16,,
0:00.0,Offensive rebound by Team,,33-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,33-16,,K. Towns misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by V. Oladipo,,33-16,,
11:39.0,Shooting foul by K. Dunn (drawn by E. Kanter),,33-16,,
11:39.0,E. Kanter makes free throw 1 of 2,1,34-16,,
11:39.0,E. Kanter misses free throw 2 of 2,,34-16,,
11:38.0,,,34-16,,Defensive rebound by T. Jones
11:32.0,,,34-16,,Offensive charge foul by S. Muhammad
11:32.0,,,34-16,,Turnover by S. Muhammad (offensive foul)
11:21.0,E. Kanter misses 2-pt shot from 2 ft,,34-16,,
11:19.0,,,34-16,,Defensive rebound by T. Jones
11:12.0,,,34-16,,O. Casspi misses 2-pt shot from 4 ft
11:11.0,Defensive rebound by J. Grant,,34-16,,
11:04.0,V. Oladipo makes 2-pt shot from 1 ft,2,36-16,,
10:49.0,Personal foul by N. Cole (drawn by T. Jones),,36-16,,
10:45.0,,,36-16,,S. Muhammad misses 2-pt shot from 4 ft
10:44.0,Defensive rebound by J. Grant,,36-16,,
10:36.0,J. Grant makes 2-pt shot at rim (assist by V. Oladipo),2,38-16,,
10:27.0,,,38-16,,Minnesota full timeout
10:27.0,S. Christon enters the game for A. Abrines,,38-16,,
10:11.0,,,38-18,2,S. Muhammad makes 2-pt shot from 8 ft
9:57.0,E. Kanter makes 2-pt shot at rim (assist by N. Cole),2,40-18,,
9:47.0,,,40-20,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
9:47.0,,,40-20,,Shooting foul by J. Grant (drawn by K. Towns)
9:47.0,,,40-21,1,K. Towns makes free throw 1 of 1
9:35.0,N. Cole misses 2-pt shot from 13 ft,,40-21,,
9:33.0,,,40-21,,Defensive rebound by O. Casspi
9:27.0,,,40-21,,K. Dunn misses 2-pt shot from 13 ft
9:26.0,Defensive rebound by Team,,40-21,,
9:15.0,Turnover by V. Oladipo (lost ball; steal by K. Dunn),,40-21,,
9:11.0,,,40-23,2,K. Dunn makes 2-pt shot at rim (assist by K. Towns)
8:58.0,Shooting foul by K. Towns (drawn by E. Kanter),,40-23,,
8:58.0,E. Kanter makes free throw 1 of 2,1,41-23,,
8:58.0,E. Kanter misses free throw 2 of 2,,41-23,,
8:57.0,,,41-23,,Defensive rebound by S. Muhammad
8:39.0,,,41-23,,K. Towns misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by N. Cole,,41-23,,
8:30.0,S. Christon makes 2-pt shot at rim (assist by V. Oladipo),2,43-23,,
8:22.0,,,43-23,,Shooting foul by E. Kanter (drawn by K. Towns)
8:22.0,,,43-24,1,K. Towns makes free throw 1 of 2
8:22.0,,,43-25,1,K. Towns makes free throw 2 of 2
8:09.0,Turnover by E. Kanter (lost ball; steal by O. Casspi),,43-25,,
7:56.0,,,43-25,,S. Muhammad misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by E. Kanter,,43-25,,
7:47.0,V. Oladipo misses 3-pt shot from 25 ft,,43-25,,
7:46.0,,,43-25,,Defensive rebound by O. Casspi
7:43.0,,,43-25,,Shooting foul by V. Oladipo (drawn by S. Muhammad)
7:43.0,,,43-26,1,S. Muhammad makes free throw 1 of 2
7:43.0,,,43-27,1,S. Muhammad makes free throw 2 of 2
7:27.0,Turnover by E. Kanter (bad pass; steal by O. Casspi),,43-27,,
7:22.0,,,43-29,2,O. Casspi makes 2-pt shot from 5 ft (assist by T. Jones)
7:20.0,Oklahoma City full timeout,,43-29,,
6:59.0,N. Cole makes 2-pt shot from 20 ft (assist by V. Oladipo),2,45-29,,
6:43.0,,,45-29,,K. Dunn misses 2-pt shot from 5 ft
6:42.0,,,45-29,,Offensive rebound by O. Casspi
6:41.0,,,45-29,,Shooting foul by J. Grant (drawn by O. Casspi)
6:41.0,,,45-29,,O. Casspi misses free throw 1 of 2
6:41.0,,,45-29,,Offensive rebound by Team
6:41.0,,,45-29,,O. Casspi misses free throw 2 of 2
6:41.0,Defensive rebound by J. Grant,,45-29,,
6:30.0,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon),2,47-29,,
6:06.0,,,47-29,,T. Jones misses 2-pt shot from 9 ft
6:05.0,,,47-29,,Offensive rebound by K. Towns
6:05.0,,,47-31,2,K. Towns makes 2-pt shot from 1 ft
6:05.0,,,47-31,,Shooting foul by N. Cole (drawn by K. Towns)
6:05.0,,,47-32,1,K. Towns makes free throw 1 of 1
6:05.0,K. Singler enters the game for V. Oladipo,,47-31,,
6:05.0,D. Sabonis enters the game for J. Grant,,47-31,,
6:05.0,,,47-31,,G. Dieng enters the game for O. Casspi
6:05.0,,,47-31,,R. Rubio enters the game for K. Dunn
5:42.0,N. Cole misses 2-pt shot from 16 ft,,47-32,,
5:39.0,Offensive rebound by Team,,47-32,,
5:39.0,,,47-32,,A. Wiggins enters the game for S. Muhammad
5:39.0,Jump ball: E. Kanter vs. K. Towns,,,,Jump ball: E. Kanter vs. K. Towns
5:37.0,S. Adams enters the game for E. Kanter,,47-32,,
5:19.0,Shooting foul by G. Dieng (drawn by D. Sabonis),,47-32,,
5:19.0,D. Sabonis makes free throw 1 of 2,1,48-32,,
5:19.0,D. Sabonis makes free throw 2 of 2,1,49-32,,
5:19.0,V. Oladipo enters the game for N. Cole,,48-32,,
5:07.0,,,49-34,2,R. Rubio makes 2-pt shot from 20 ft
4:43.0,K. Singler misses 3-pt shot from 23 ft,,49-34,,
4:42.0,,,49-34,,Defensive rebound by G. Dieng
4:33.0,,,49-34,,R. Rubio misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by K. Singler,,49-34,,
4:20.0,K. Singler misses 2-pt shot from 12 ft,,49-34,,
4:19.0,,,49-34,,Defensive rebound by K. Towns
4:10.0,,,49-34,,A. Wiggins misses 2-pt shot from 6 ft
4:09.0,Defensive rebound by S. Adams,,49-34,,
4:03.0,,,49-34,,Violation by T. Jones (kicked ball)
3:58.0,,,49-34,,Violation by A. Wiggins (kicked ball)
3:58.0,Oklahoma City full timeout,,49-34,,
3:46.0,K. Singler misses 2-pt shot from 2 ft,,49-34,,
3:45.0,Offensive rebound by S. Adams,,49-34,,
3:44.0,S. Adams makes 2-pt shot from 2 ft,2,51-34,,
3:25.0,,,51-34,,R. Rubio misses 2-pt shot from 21 ft
3:23.0,Defensive rebound by V. Oladipo,,51-34,,
3:19.0,Turnover by V. Oladipo (lost ball),,51-34,,
2:59.0,,,51-34,,A. Wiggins misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by K. Singler,,51-34,,
2:38.0,D. Sabonis misses 2-pt shot from 12 ft,,51-34,,
2:36.0,,,51-34,,Defensive rebound by G. Dieng
2:31.0,Personal foul by S. Christon (drawn by A. Wiggins),,51-34,,
2:31.0,,,51-34,,A. Wiggins misses free throw 1 of 2
2:31.0,,,51-34,,Offensive rebound by Team
2:31.0,,,51-35,1,A. Wiggins makes free throw 2 of 2
2:16.0,Turnover by V. Oladipo (bad pass; steal by T. Jones),,51-35,,
2:04.0,,,51-35,,A. Wiggins misses 2-pt shot from 8 ft
2:02.0,Defensive rebound by S. Adams,,51-35,,
1:50.0,D. Sabonis makes 2-pt shot from 2 ft,2,53-35,,
1:38.0,Personal foul by S. Adams (drawn by R. Rubio),,53-35,,
1:38.0,,,53-36,1,R. Rubio makes free throw 1 of 2
1:38.0,,,53-37,1,R. Rubio makes free throw 2 of 2
1:29.0,,,53-37,,Personal foul by K. Towns (drawn by V. Oladipo)
1:21.0,Turnover by S. Adams (bad pass),,53-37,,
1:03.0,,,53-39,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
0:52.0,V. Oladipo misses 3-pt shot from 24 ft,,53-39,,
0:51.0,,,53-39,,Defensive rebound by G. Dieng
0:45.0,,,53-41,2,T. Jones makes 2-pt shot from 7 ft
0:45.0,,,53-41,,Shooting foul by S. Christon (drawn by T. Jones)
0:45.0,Oklahoma City full timeout,,53-41,,
0:45.0,,,53-41,,T. Jones misses free throw 1 of 1
0:45.0,Defensive rebound by D. Sabonis,,53-41,,
0:35.0,D. Sabonis makes 3-pt shot from 25 ft (assist by S. Christon),3,56-41,,
0:13.0,,,56-43,2,G. Dieng makes 2-pt shot from 21 ft (assist by R. Rubio)
0:00.0,D. Sabonis misses 3-pt shot from 25 ft,,56-43,,
0:00.0,Offensive rebound by Team,,56-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,56-45,2,A. Wiggins makes 2-pt shot from 12 ft
11:27.0,Turnover by V. Oladipo (bad pass; steal by K. Towns),,56-45,,
11:18.0,,,56-47,2,A. Wiggins makes 2-pt shot at rim
11:18.0,Oklahoma City full timeout,,56-47,,
11:03.0,Turnover by S. Adams (lost ball; steal by G. Dieng),,56-47,,
10:51.0,,,56-49,2,K. Towns makes 2-pt shot from 1 ft
10:30.0,D. Sabonis misses 2-pt shot from 11 ft,,56-49,,
10:29.0,,,56-49,,Defensive rebound by G. Dieng
10:16.0,,,56-49,,B. Rush misses 3-pt shot from 24 ft
10:14.0,,,56-49,,Offensive rebound by R. Rubio
10:12.0,,,56-51,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
9:57.0,V. Oladipo makes 2-pt shot from 5 ft,2,58-51,,
9:35.0,,,58-53,2,K. Towns makes 2-pt shot from 19 ft (assist by G. Dieng)
9:25.0,K. Singler misses 2-pt shot from 14 ft,,58-53,,
9:23.0,Offensive rebound by D. Sabonis,,58-53,,
9:14.0,V. Oladipo makes 2-pt shot from 1 ft,2,60-53,,
8:58.0,,,60-53,,K. Towns misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by K. Singler,,60-53,,
8:49.0,V. Oladipo misses 2-pt shot from 19 ft,,60-53,,
8:48.0,,,60-53,,Defensive rebound by A. Wiggins
8:33.0,,,60-53,,A. Wiggins misses 3-pt shot from 27 ft
8:32.0,,,60-53,,Offensive rebound by K. Towns
8:26.0,,,60-53,,R. Rubio misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by D. Sabonis,,60-53,,
8:14.0,S. Christon misses 3-pt shot from 25 ft,,60-53,,
8:13.0,,,60-53,,Defensive rebound by K. Towns
7:53.0,Personal foul by K. Singler (drawn by A. Wiggins),,60-53,,
7:53.0,N. Collison enters the game for D. Sabonis,,60-53,,
7:47.0,,,60-53,,K. Towns misses 2-pt shot from 7 ft
7:46.0,Defensive rebound by N. Collison,,60-53,,
7:36.0,V. Oladipo misses 2-pt shot from 13 ft,,60-53,,
7:35.0,Offensive rebound by V. Oladipo,,60-53,,
7:29.0,,,60-53,,Personal foul by B. Rush (drawn by V. Oladipo)
7:21.0,K. Singler misses 3-pt shot from 23 ft,,60-53,,
7:19.0,,,60-53,,Defensive rebound by B. Rush
6:55.0,,,60-53,,R. Rubio misses 2-pt shot from 22 ft
6:53.0,Defensive rebound by V. Oladipo,,60-53,,
6:47.0,Turnover by V. Oladipo (bad pass; steal by R. Rubio),,60-53,,
6:40.0,,,60-53,,Turnover by R. Rubio (bad pass; steal by S. Adams)
6:34.0,V. Oladipo misses 3-pt shot from 25 ft,,60-53,,
6:32.0,,,60-53,,Defensive rebound by Team
6:18.0,,,60-55,2,A. Wiggins makes 2-pt shot from 2 ft
5:52.0,N. Collison makes 2-pt shot from 6 ft (assist by S. Christon),2,62-55,,
5:35.0,,,62-57,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
5:35.0,,,62-57,,Shooting foul by N. Collison (drawn by G. Dieng)
5:35.0,,,62-58,1,G. Dieng makes free throw 1 of 1
5:35.0,A. Abrines enters the game for V. Oladipo,,62-57,,
5:20.0,Turnover by S. Adams (traveling),,62-58,,
5:08.0,,,62-60,2,G. Dieng makes 2-pt shot from 16 ft (assist by A. Wiggins)
4:41.0,S. Adams misses 2-pt shot from 3 ft,,62-60,,
4:40.0,,,62-60,,Defensive rebound by K. Towns
4:19.0,,,62-62,2,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio)
3:53.0,S. Christon misses 2-pt shot from 11 ft,,62-62,,
3:52.0,,,62-62,,Defensive rebound by K. Towns
3:40.0,,,62-62,,B. Rush misses 3-pt shot from 23 ft
3:38.0,,,62-62,,Offensive rebound by K. Towns
3:36.0,,,62-62,,K. Towns misses 2-pt shot from 2 ft (block by S. Adams)
3:35.0,Defensive rebound by K. Singler,,62-62,,
3:29.0,N. Collison makes 2-pt shot at rim (assist by S. Christon),2,64-62,,
3:28.0,Violation by Team (jump ball),,64-62,,
3:12.0,,,64-64,2,R. Rubio makes 2-pt shot from 16 ft (assist by A. Wiggins)
2:54.0,K. Singler misses 2-pt shot from 2 ft,,64-64,,
2:53.0,,,64-64,,Defensive rebound by K. Towns
2:45.0,,,64-64,,R. Rubio misses 2-pt shot from 7 ft
2:44.0,Defensive rebound by N. Collison,,64-64,,
2:40.0,,,64-64,,Violation by A. Wiggins (kicked ball)
2:40.0,,,64-64,,Minnesota full timeout
2:40.0,E. Kanter enters the game for S. Adams,,64-64,,
2:40.0,N. Cole enters the game for S. Christon,,64-64,,
2:40.0,,,64-64,,O. Casspi enters the game for K. Towns
2:36.0,K. Singler makes 2-pt shot at rim (assist by N. Collison),2,66-64,,
2:14.0,,,66-64,,B. Rush misses 3-pt shot from 24 ft
2:13.0,,,66-64,,Offensive rebound by G. Dieng
2:13.0,,,66-66,2,G. Dieng makes 2-pt shot at rim
1:59.0,A. Abrines misses 2-pt shot from 20 ft,,66-66,,
1:58.0,Offensive rebound by E. Kanter,,66-66,,
1:57.0,E. Kanter misses 2-pt shot from 1 ft,,66-66,,
1:56.0,Offensive rebound by E. Kanter,,66-66,,
1:55.0,E. Kanter misses 2-pt shot from 4 ft,,66-66,,
1:55.0,,,66-66,,Defensive rebound by Team
1:55.0,J. Grant enters the game for K. Singler,,66-66,,
1:38.0,,,66-66,,A. Wiggins misses 2-pt shot from 12 ft
1:37.0,Defensive rebound by N. Collison,,66-66,,
1:24.0,Shooting foul by B. Rush (drawn by J. Grant),,66-66,,
1:24.0,J. Grant misses free throw 1 of 2,,66-66,,
1:24.0,Offensive rebound by Team,,66-66,,
1:24.0,J. Grant makes free throw 2 of 2,1,67-66,,
1:24.0,Violation by Team (jump ball),,67-66,,
1:24.0,Technical foul by Team,,67-66,,
1:24.0,,,67-67,1,R. Rubio makes technical free throw
1:06.0,,,67-70,3,O. Casspi makes 3-pt shot from 24 ft (assist by G. Dieng)
0:41.0,N. Cole makes 2-pt shot from 21 ft,2,69-70,,
0:26.0,,,69-72,2,R. Rubio makes 2-pt shot from 8 ft
0:04.0,Shooting foul by R. Rubio (drawn by N. Cole),,69-72,,
0:04.0,N. Cole makes free throw 1 of 2,1,70-72,,
0:04.0,N. Cole makes free throw 2 of 2,1,71-72,,
0:00.0,,,71-72,,R. Rubio misses 3-pt shot from 24 ft
0:00.0,,,71-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by A. Abrines (bad pass; steal by K. Dunn),,71-72,,
11:43.0,,,71-72,,Turnover by O. Casspi (lost ball; steal by D. Sabonis)
11:31.0,J. Grant misses 3-pt shot from 23 ft,,71-72,,
11:30.0,Offensive rebound by D. Sabonis,,71-72,,
11:30.0,Shooting foul by O. Casspi (drawn by D. Sabonis),,71-72,,
11:30.0,D. Sabonis makes free throw 1 of 2,1,72-72,,
11:30.0,D. Sabonis makes free throw 2 of 2,1,73-72,,
11:13.0,,,73-72,,K. Towns misses 2-pt shot from 9 ft
11:12.0,,,73-72,,Offensive rebound by Team
11:09.0,,,73-74,2,K. Towns makes 2-pt shot from 7 ft (assist by S. Muhammad)
10:47.0,N. Cole makes 2-pt shot from 1 ft,2,75-74,,
10:24.0,,,75-76,2,O. Casspi makes 2-pt shot at rim
10:03.0,E. Kanter misses 2-pt shot from 4 ft,,75-76,,
10:02.0,,,75-76,,Defensive rebound by K. Towns
9:59.0,,,75-76,,Turnover by K. Towns (bad pass)
9:59.0,V. Oladipo enters the game for A. Abrines,,75-76,,
9:59.0,Oklahoma City full timeout,,75-76,,
9:49.0,J. Grant misses 2-pt shot from 2 ft (block by S. Muhammad),,75-76,,
9:48.0,Offensive rebound by Team,,75-76,,
9:40.0,N. Cole misses 3-pt shot from 24 ft,,75-76,,
9:39.0,Offensive rebound by Team,,75-76,,
9:35.0,Turnover by V. Oladipo (bad pass; steal by O. Casspi),,75-76,,
9:18.0,,,75-76,,S. Muhammad misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by N. Cole,,75-76,,
9:08.0,E. Kanter makes 2-pt shot from 18 ft (assist by N. Cole),2,77-76,,
8:46.0,,,77-76,,G. Dieng enters the game for O. Casspi
8:43.0,,,77-79,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
8:22.0,E. Kanter misses 2-pt shot from 17 ft,,77-79,,
8:21.0,,,77-79,,Defensive rebound by K. Towns
8:10.0,Personal foul by E. Kanter (drawn by K. Towns),,77-79,,
7:59.0,,,77-79,,T. Jones misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by J. Grant,,77-79,,
7:46.0,V. Oladipo makes 2-pt shot from 4 ft,2,79-79,,
7:27.0,,,79-81,2,S. Muhammad makes 2-pt shot from 1 ft
7:27.0,,,79-81,,Shooting foul by J. Grant (drawn by S. Muhammad)
7:27.0,,,79-81,,S. Muhammad misses free throw 1 of 1
7:27.0,,,79-81,,R. Rubio enters the game for T. Jones
7:27.0,,,79-81,,A. Wiggins enters the game for K. Dunn
7:26.0,Defensive rebound by J. Grant,,79-81,,
7:12.0,J. Grant makes 3-pt shot from 23 ft (assist by D. Sabonis),3,82-81,,
6:49.0,,,82-83,2,K. Towns makes 2-pt shot from 7 ft
6:35.0,D. Sabonis makes 2-pt shot from 21 ft (assist by N. Cole),2,84-83,,
6:17.0,,,84-85,2,A. Wiggins makes 2-pt shot from 13 ft
6:02.0,D. Sabonis makes 2-pt shot from 21 ft (assist by V. Oladipo),2,86-85,,
5:46.0,,,86-85,,K. Towns misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by D. Sabonis,,86-85,,
5:39.0,N. Cole misses 2-pt shot from 6 ft,,86-85,,
5:37.0,Offensive rebound by J. Grant,,86-85,,
5:35.0,J. Grant misses 2-pt shot from 1 ft,,86-85,,
5:34.0,Offensive rebound by E. Kanter,,86-85,,
5:34.0,E. Kanter misses 2-pt shot at rim,,86-85,,
5:33.0,Offensive rebound by E. Kanter,,86-85,,
5:33.0,Shooting foul by G. Dieng (drawn by E. Kanter),,86-85,,
5:33.0,Oklahoma City full timeout,,86-85,,
5:33.0,E. Kanter misses free throw 1 of 2,,86-85,,
5:33.0,Offensive rebound by Team,,86-85,,
5:33.0,E. Kanter makes free throw 2 of 2,1,87-85,,
5:33.0,,,86-85,,K. Dunn enters the game for S. Muhammad
5:14.0,,,87-85,,K. Towns misses 2-pt shot from 9 ft
5:13.0,Defensive rebound by E. Kanter,,87-85,,
4:59.0,D. Sabonis misses 2-pt shot from 2 ft,,87-85,,
4:58.0,Offensive rebound by E. Kanter,,87-85,,
4:58.0,E. Kanter misses 2-pt shot from 1 ft,,87-85,,
4:55.0,,,87-85,,Defensive rebound by G. Dieng
4:42.0,,,87-85,,A. Wiggins misses 2-pt shot from 21 ft
4:41.0,Defensive rebound by V. Oladipo,,87-85,,
4:39.0,Turnover by V. Oladipo (lost ball),,87-85,,
4:39.0,S. Adams enters the game for E. Kanter,,87-85,,
4:27.0,,,87-85,,Turnover by K. Dunn (bad pass; steal by N. Cole)
4:23.0,N. Cole misses 2-pt shot from 2 ft (block by A. Wiggins),,87-85,,
4:21.0,Offensive rebound by V. Oladipo,,87-85,,
4:20.0,V. Oladipo misses 2-pt shot from 2 ft,,87-85,,
4:19.0,Offensive rebound by V. Oladipo,,87-85,,
4:19.0,V. Oladipo makes 2-pt shot from 1 ft,2,89-85,,
4:19.0,Shooting foul by R. Rubio (drawn by V. Oladipo),,89-85,,
4:19.0,V. Oladipo makes free throw 1 of 1,1,90-85,,
4:10.0,,,90-85,,Shooting foul by N. Cole (drawn by R. Rubio)
