time,Portland,pts.away,score,pts.home,Houston
5:45.0,,,14-17,1,J. Harden makes free throw 2 of 3
5:45.0,,,14-18,1,J. Harden makes free throw 3 of 3
5:45.0,,,14-15,,M. Harrell enters the game for C. Capela
5:45.0,,,14-15,,E. Gordon enters the game for P. Beverley
5:33.0,D. Lillard makes 3-pt shot from 27 ft (assist by A. Crabbe),3,17-18,,
5:07.0,,,17-21,3,J. Harden makes 3-pt shot from 27 ft (assist by M. Harrell)
4:59.0,Turnover by M. Harkless (lost ball; steal by J. Harden),,17-21,,
4:54.0,,,17-23,2,J. Harden makes 2-pt shot from 2 ft (assist by E. Gordon)
4:33.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee),3,20-23,,
4:20.0,,,20-23,,E. Gordon misses 2-pt shot from 12 ft
4:18.0,,,20-23,,Offensive rebound by E. Gordon
4:18.0,,,20-23,,E. Gordon misses 2-pt shot from 1 ft
4:17.0,,,20-23,,Offensive rebound by E. Gordon
4:17.0,,,20-25,2,E. Gordon makes 2-pt shot from 2 ft
4:02.0,Turnover by D. Lillard (bad pass; steal by J. Harden),,20-25,,
3:57.0,,,20-27,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
3:57.0,Portland full timeout,,20-27,,
3:57.0,J. Layman enters the game for A. Crabbe,,20-27,,
3:57.0,E. Turner enters the game for C. McCollum,,20-27,,
3:57.0,,,20-27,,S. Dekker enters the game for R. Anderson
3:45.0,D. Lillard misses 3-pt shot from 27 ft,,20-27,,
3:44.0,,,20-27,,Defensive rebound by J. Harden
3:21.0,,,20-27,,J. Harden misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by M. Plumlee,,20-27,,
3:09.0,Shooting foul by M. Harrell (drawn by D. Lillard),,20-27,,
3:09.0,D. Lillard makes free throw 1 of 2,1,21-27,,
3:09.0,D. Lillard makes free throw 2 of 2,1,22-27,,
3:09.0,E. Davis enters the game for M. Plumlee,,21-27,,
2:52.0,,,22-27,,Shooting foul by E. Davis (drawn by S. Dekker)
2:52.0,,,22-28,1,S. Dekker makes free throw 1 of 2
2:52.0,,,22-29,1,S. Dekker makes free throw 2 of 2
2:30.0,J. Layman misses 2-pt shot from 20 ft,,22-29,,
2:30.0,,,22-29,,Defensive rebound by J. Harden
2:26.0,,,22-29,,Shooting foul by J. Layman (drawn by M. Harrell)
2:26.0,,,22-31,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
2:26.0,,,22-32,1,M. Harrell makes free throw 1 of 1
2:26.0,,,22-31,,C. Brewer enters the game for T. Ariza
2:08.0,E. Turner misses 2-pt shot from 13 ft,,22-32,,
2:07.0,,,22-32,,Defensive rebound by M. Harrell
2:00.0,,,22-32,,E. Gordon misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by M. Harkless,,22-32,,
1:47.0,M. Harkless misses 2-pt shot from 4 ft,,22-32,,
1:46.0,Offensive rebound by M. Harkless,,22-32,,
1:45.0,M. Harkless makes 2-pt shot from 2 ft,2,24-32,,
1:22.0,,,24-35,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
1:12.0,Shooting foul by M. Harrell (drawn by D. Lillard),,24-35,,
1:12.0,D. Lillard misses free throw 1 of 2,,24-35,,
1:12.0,Offensive rebound by Team,,24-35,,
1:12.0,D. Lillard misses free throw 2 of 2,,24-35,,
1:12.0,N. Vonleh enters the game for M. Harkless,,24-35,,
1:11.0,,,24-35,,Defensive rebound by J. Harden
1:04.0,,,24-35,,Shooting foul by J. Layman (drawn by J. Harden)
1:04.0,,,24-36,1,J. Harden makes free throw 1 of 3
1:04.0,,,24-37,1,J. Harden makes free throw 2 of 3
1:04.0,,,24-38,1,J. Harden makes free throw 3 of 3
0:49.0,E. Turner makes 2-pt shot from 3 ft,2,26-38,,
0:39.0,,,26-41,3,E. Gordon makes 3-pt shot from 25 ft
0:31.0,E. Turner makes 2-pt shot from 2 ft,2,28-41,,
0:27.0,,,28-41,,Turnover by J. Harden (bad pass)
0:27.0,C. McCollum enters the game for N. Vonleh,,28-41,,
0:04.0,Shooting foul by J. Harden (drawn by E. Davis),,28-41,,
0:04.0,E. Davis misses free throw 1 of 2,,28-41,,
0:04.0,Offensive rebound by Team,,28-41,,
0:04.0,E. Davis makes free throw 2 of 2,1,29-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-43,2,S. Dekker makes 2-pt shot from 7 ft (assist by C. Capela)
11:28.0,E. Turner misses 2-pt shot from 12 ft,,29-43,,
11:27.0,Offensive rebound by E. Davis,,29-43,,
11:24.0,Shooting foul by C. Brewer (drawn by J. Layman),,29-43,,
11:24.0,J. Layman makes free throw 1 of 2,1,30-43,,
11:24.0,J. Layman misses free throw 2 of 2,,30-43,,
11:24.0,,,30-43,,Defensive rebound by C. Capela
11:08.0,,,30-43,,S. Dekker misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by E. Davis,,30-43,,
11:00.0,J. Layman makes 3-pt shot from 24 ft (assist by C. McCollum),3,33-43,,
10:41.0,,,33-43,,C. Brewer misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by E. Turner,,33-43,,
10:34.0,Shooting foul by E. Gordon (drawn by E. Turner),,33-43,,
10:34.0,E. Turner makes free throw 1 of 2,1,34-43,,
10:34.0,E. Turner makes free throw 2 of 2,1,35-43,,
10:34.0,,,34-43,,R. Anderson enters the game for S. Dekker
10:14.0,,,35-43,,P. Beverley misses 2-pt shot from 12 ft
10:13.0,Defensive rebound by E. Davis,,35-43,,
10:07.0,C. McCollum makes 2-pt shot from 9 ft,2,37-43,,
9:52.0,,,37-45,2,C. Brewer makes 2-pt shot from 2 ft
9:52.0,,,37-45,,Shooting foul by E. Davis (drawn by C. Brewer)
9:52.0,,,37-46,1,C. Brewer makes free throw 1 of 1
9:30.0,N. Vonleh makes 3-pt shot from 24 ft (assist by C. McCollum),3,40-46,,
9:21.0,,,40-46,,Offensive foul by C. Capela
9:21.0,,,40-46,,Turnover by C. Capela (offensive foul)
9:04.0,C. McCollum misses 2-pt shot from 2 ft,,40-46,,
9:03.0,Offensive rebound by C. McCollum,,40-46,,
8:55.0,E. Turner makes 2-pt shot from 7 ft,2,42-46,,
8:42.0,,,42-46,,Shooting foul by E. Turner (drawn by E. Gordon)
8:42.0,,,42-46,,Houston full timeout
8:42.0,,,42-47,1,E. Gordon makes free throw 1 of 2
8:42.0,,,42-48,1,E. Gordon makes free throw 2 of 2
8:25.0,J. Layman misses 3-pt shot from 23 ft,,42-48,,
8:24.0,Offensive rebound by Team,,42-48,,
8:19.0,Turnover by E. Turner (bad pass),,42-48,,
8:06.0,,,42-48,,R. Anderson misses 2-pt shot from 4 ft
8:05.0,Defensive rebound by E. Davis,,42-48,,
7:58.0,Turnover by C. McCollum (lost ball; steal by C. Capela),,42-48,,
7:56.0,,,42-48,,Turnover by C. Capela (bad pass; steal by E. Turner)
7:46.0,E. Turner misses 3-pt shot from 25 ft,,42-48,,
7:46.0,,,42-48,,Defensive rebound by P. Beverley
7:39.0,,,42-48,,E. Gordon misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by J. Layman,,42-48,,
7:23.0,E. Turner misses 2-pt shot from 6 ft (block by P. Beverley),,42-48,,
7:21.0,,,42-48,,Defensive rebound by R. Anderson
7:18.0,,,42-48,,C. Brewer misses 2-pt shot from 3 ft
7:16.0,,,42-48,,Offensive rebound by P. Beverley
7:16.0,,,42-48,,P. Beverley misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by C. McCollum,,42-48,,
6:57.0,C. McCollum misses 2-pt shot from 14 ft (block by P. Beverley),,42-48,,
6:55.0,Offensive rebound by E. Davis,,42-48,,
6:54.0,Turnover by Team (shot clock),,42-48,,
6:54.0,,,42-48,,Houston full timeout
6:54.0,,,42-48,,T. Ariza enters the game for P. Beverley
6:54.0,,,42-48,,J. Harden enters the game for C. Brewer
6:54.0,A. Crabbe enters the game for J. Layman,,42-48,,
6:54.0,M. Plumlee enters the game for E. Davis,,42-48,,
6:42.0,,,42-50,2,J. Harden makes 2-pt shot from 8 ft
6:24.0,N. Vonleh makes 2-pt shot from 5 ft (assist by E. Turner),2,44-50,,
6:08.0,,,44-50,,E. Gordon misses 2-pt shot from 18 ft
6:07.0,Defensive rebound by N. Vonleh,,44-50,,
5:59.0,C. McCollum misses 2-pt shot from 18 ft,,44-50,,
5:58.0,,,44-50,,Defensive rebound by J. Harden
5:38.0,,,44-52,2,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon)
5:26.0,,,44-52,,Personal foul by E. Gordon (drawn by C. McCollum)
5:26.0,D. Lillard enters the game for E. Turner,,44-52,,
5:26.0,,,44-52,,S. Dekker enters the game for E. Gordon
5:26.0,M. Harkless enters the game for N. Vonleh,,44-52,,
5:24.0,Shooting foul by C. Capela (drawn by C. McCollum),,44-52,,
5:24.0,C. McCollum makes free throw 1 of 2,1,45-52,,
5:24.0,C. McCollum makes free throw 2 of 2,1,46-52,,
5:24.0,,,45-52,,M. Harrell enters the game for C. Capela
5:01.0,,,46-52,,J. Harden misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by M. Plumlee,,46-52,,
4:51.0,D. Lillard misses 2-pt shot from 2 ft,,46-52,,
4:49.0,,,46-52,,Defensive rebound by T. Ariza
4:43.0,,,46-55,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
4:22.0,Turnover by C. McCollum (bad pass),,46-55,,
4:10.0,,,46-55,,Turnover by M. Harrell (bad pass)
3:53.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,49-55,,
3:33.0,,,49-55,,J. Harden misses 2-pt shot from 12 ft
3:32.0,Defensive rebound by M. Plumlee,,49-55,,
3:24.0,D. Lillard makes 2-pt shot from 17 ft,2,51-55,,
3:10.0,,,51-55,,Turnover by J. Harden (lost ball; steal by A. Crabbe)
3:05.0,C. McCollum makes 2-pt shot at rim,2,53-55,,
3:05.0,,,53-55,,Houston full timeout
3:05.0,,,53-55,,P. Beverley enters the game for S. Dekker
2:52.0,,,53-55,,M. Harrell misses 2-pt shot from 3 ft
2:51.0,,,53-55,,Offensive rebound by R. Anderson
2:51.0,,,53-57,2,R. Anderson makes 2-pt shot from 2 ft
2:31.0,Offensive foul by M. Plumlee,,53-57,,
2:31.0,Turnover by M. Plumlee (offensive foul),,53-57,,
2:31.0,Portland full timeout,,53-57,,
2:23.0,,,53-60,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
2:10.0,C. McCollum makes 2-pt shot from 3 ft,2,55-60,,
1:47.0,,,55-60,,J. Harden misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by M. Harkless,,55-60,,
1:37.0,D. Lillard misses 3-pt shot from 26 ft (block by P. Beverley),,55-60,,
1:36.0,,,55-60,,Defensive rebound by M. Harrell
1:33.0,,,55-62,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
1:14.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,58-62,,
0:57.0,,,58-62,,M. Harrell misses 2-pt shot from 2 ft
0:56.0,,,58-62,,Offensive rebound by T. Ariza
0:56.0,,,58-62,,T. Ariza misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by Team,,58-62,,
0:56.0,,,58-62,,Loose ball foul by J. Harden (drawn by A. Crabbe)
0:56.0,A. Crabbe makes free throw 1 of 2,1,59-62,,
0:56.0,A. Crabbe makes free throw 2 of 2,1,60-62,,
0:56.0,E. Turner enters the game for C. McCollum,,59-62,,
0:43.0,,,60-62,,R. Anderson misses 3-pt shot from 26 ft
0:42.0,,,60-62,,Offensive rebound by M. Harrell
0:42.0,,,60-62,,M. Harrell misses 2-pt shot from 1 ft
0:40.0,,,60-62,,Offensive rebound by M. Harrell
0:40.0,,,60-62,,M. Harrell misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by D. Lillard,,60-62,,
0:32.0,D. Lillard makes 2-pt shot from 1 ft,2,62-62,,
0:18.0,Personal foul by E. Turner (drawn by T. Ariza),,62-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,62-64,2,J. Harden makes 2-pt shot from 10 ft
11:24.0,Turnover by A. Crabbe (lost ball; steal by J. Harden),,62-64,,
11:15.0,,,62-67,3,P. Beverley makes 3-pt shot from 25 ft (assist by R. Anderson)
11:15.0,Portland full timeout,,62-67,,
11:15.0,E. Turner enters the game for A. Crabbe,,62-67,,
10:54.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Turner),3,65-67,,
10:27.0,,,65-69,2,P. Beverley makes 2-pt shot from 7 ft
10:21.0,C. McCollum makes 2-pt shot from 9 ft,2,67-69,,
10:21.0,Shooting foul by P. Beverley (drawn by C. McCollum),,67-69,,
10:21.0,C. McCollum makes free throw 1 of 1,1,68-69,,
10:03.0,,,68-69,,J. Harden misses 3-pt shot from 27 ft
10:02.0,,,68-69,,Offensive rebound by R. Anderson
9:50.0,,,68-71,2,J. Harden makes 2-pt shot from 10 ft
9:26.0,E. Turner makes 2-pt shot from 3 ft (assist by M. Plumlee),2,70-71,,
9:05.0,,,70-74,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
8:49.0,Turnover by C. McCollum (bad pass; steal by T. Ariza),,70-74,,
8:40.0,,,70-77,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
8:19.0,E. Turner misses 2-pt shot from 18 ft,,70-77,,
8:19.0,,,70-77,,Defensive rebound by T. Ariza
8:14.0,,,70-79,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
8:14.0,,,70-79,,Shooting foul by C. McCollum (drawn by C. Capela)
8:14.0,,,70-79,,C. Capela misses free throw 1 of 1
8:14.0,Defensive rebound by Team,,70-79,,
8:14.0,,,70-79,,E. Gordon enters the game for P. Beverley
8:03.0,D. Lillard misses 2-pt shot from 3 ft (block by C. Capela),,70-79,,
8:02.0,Offensive rebound by Team,,70-79,,
7:53.0,M. Harkless makes 2-pt shot from 22 ft (assist by D. Lillard),2,72-79,,
7:42.0,,,72-79,,J. Harden misses 2-pt shot from 13 ft
7:41.0,,,72-79,,Offensive rebound by J. Harden
7:41.0,,,72-79,,J. Harden misses 2-pt shot from 2 ft
7:40.0,,,72-79,,Offensive rebound by E. Gordon
7:38.0,,,72-79,,E. Gordon misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by E. Turner,,72-79,,
7:31.0,M. Plumlee misses 2-pt shot from 2 ft,,72-79,,
7:30.0,,,72-79,,Defensive rebound by C. Capela
7:21.0,,,72-81,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:20.0,Portland full timeout,,72-81,,
7:08.0,D. Lillard misses 2-pt shot from 10 ft,,72-81,,
7:07.0,,,72-81,,Defensive rebound by T. Ariza
6:58.0,,,72-81,,R. Anderson misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by Team,,72-81,,
6:40.0,C. McCollum misses 3-pt shot from 26 ft,,72-81,,
6:39.0,Offensive rebound by E. Turner,,72-81,,
6:34.0,C. McCollum makes 2-pt shot from 2 ft (assist by E. Turner),2,74-81,,
6:19.0,,,74-83,2,C. Capela makes 2-pt shot from 4 ft (assist by E. Gordon)
5:55.0,C. McCollum misses 2-pt shot from 12 ft (block by C. Capela),,74-83,,
5:54.0,,,74-83,,Defensive rebound by T. Ariza
5:51.0,,,74-83,,Turnover by J. Harden (bad pass)
5:32.0,D. Lillard makes 2-pt shot from 19 ft (assist by M. Plumlee),2,76-83,,
5:13.0,,,76-85,2,E. Gordon makes 2-pt shot from 20 ft
5:01.0,D. Lillard misses 3-pt shot from 27 ft,,76-85,,
5:00.0,,,76-85,,Defensive rebound by J. Harden
4:49.0,,,76-87,2,E. Gordon makes 2-pt shot from 2 ft
4:34.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,78-87,,
4:24.0,,,78-87,,Shooting foul by M. Plumlee (drawn by T. Ariza)
4:24.0,,,78-88,1,T. Ariza makes free throw 1 of 2
4:24.0,,,78-89,1,T. Ariza makes free throw 2 of 2
4:24.0,,,78-88,,M. Harrell enters the game for C. Capela
4:24.0,J. Layman enters the game for C. McCollum,,78-88,,
4:05.0,E. Turner misses 2-pt shot from 3 ft (block by R. Anderson),,78-89,,
4:04.0,,,78-89,,Defensive rebound by M. Harrell
3:57.0,,,78-92,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:35.0,E. Turner misses 2-pt shot from 10 ft,,78-92,,
3:34.0,,,78-92,,Defensive rebound by E. Gordon
3:30.0,,,78-92,,Offensive charge foul by E. Gordon
3:30.0,,,78-92,,Turnover by E. Gordon (offensive foul)
3:30.0,,,78-92,,S. Dekker enters the game for R. Anderson
3:18.0,D. Lillard misses 2-pt shot from 10 ft,,78-92,,
3:18.0,Offensive rebound by D. Lillard,,78-92,,
3:15.0,Offensive charge foul by J. Layman,,78-92,,
3:15.0,Turnover by J. Layman (offensive foul),,78-92,,
3:15.0,,,78-92,,C. Brewer enters the game for E. Gordon
3:15.0,N. Vonleh enters the game for M. Harkless,,78-92,,
3:03.0,,,78-94,2,C. Brewer makes 2-pt shot from 2 ft (assist by M. Harrell)
2:44.0,D. Lillard misses 3-pt shot from 26 ft,,78-94,,
2:43.0,,,78-94,,Defensive rebound by M. Harrell
2:34.0,,,78-94,,M. Harrell misses 2-pt shot from 3 ft
2:33.0,,,78-94,,Offensive rebound by S. Dekker
2:30.0,,,78-94,,Turnover by S. Dekker (bad pass; steal by E. Turner)
2:26.0,E. Turner makes 2-pt shot from 2 ft,2,80-94,,
2:08.0,,,80-94,,Shooting foul by E. Turner (drawn by J. Harden)
2:08.0,,,80-94,,Houston full timeout
2:08.0,,,80-94,,J. Harden misses free throw 1 of 3
2:08.0,,,80-94,,Offensive rebound by Team
2:08.0,,,80-94,,J. Harden misses free throw 2 of 3
2:08.0,,,80-94,,Offensive rebound by Team
2:08.0,,,80-95,1,J. Harden makes free throw 3 of 3
2:08.0,E. Davis enters the game for M. Plumlee,,80-94,,
2:08.0,A. Crabbe enters the game for J. Layman,,80-94,,
1:50.0,E. Turner misses 2-pt shot from 11 ft,,80-95,,
1:49.0,,,80-95,,Defensive rebound by J. Harden
1:43.0,,,80-98,3,J. Harden makes 3-pt shot from 25 ft
1:25.0,D. Lillard misses 2-pt shot from 13 ft,,80-98,,
1:24.0,,,80-98,,Defensive rebound by T. Ariza
1:24.0,Loose ball foul by E. Davis (drawn by T. Ariza),,80-98,,
1:24.0,C. McCollum enters the game for E. Turner,,80-98,,
1:15.0,,,80-98,,J. Harden misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by D. Lillard,,80-98,,
1:04.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Lillard),3,83-98,,
0:47.0,,,83-100,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
0:32.0,C. McCollum misses 3-pt shot from 25 ft,,83-100,,
0:31.0,,,83-100,,Defensive rebound by J. Harden
0:11.0,,,83-100,,J. Harden misses 3-pt shot from 28 ft
0:10.0,Defensive rebound by D. Lillard,,83-100,,
0:00.0,N. Vonleh misses 3-pt shot from 24 ft,,83-100,,
0:00.0,Offensive rebound by Team,,83-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Harkless misses 2-pt shot from 11 ft,,83-100,,
11:43.0,,,83-100,,Defensive rebound by E. Gordon
11:32.0,,,83-102,2,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley)
11:32.0,,,83-102,,Shooting foul by E. Davis (drawn by C. Capela)
11:32.0,,,83-103,1,C. Capela makes free throw 1 of 1
11:18.0,A. Crabbe misses 2-pt shot from 18 ft,,83-103,,
11:17.0,Offensive rebound by M. Harkless,,83-103,,
11:17.0,M. Harkless makes 2-pt shot from 2 ft,2,85-103,,
11:03.0,,,85-103,,Turnover by E. Gordon (bad pass; steal by E. Davis)
10:56.0,C. McCollum misses 2-pt shot from 2 ft,,85-103,,
10:54.0,Offensive rebound by E. Davis,,85-103,,
10:54.0,E. Davis misses 2-pt shot from 1 ft,,85-103,,
10:53.0,,,85-103,,Defensive rebound by C. Capela
10:43.0,,,85-103,,C. Brewer misses 2-pt shot from 2 ft
10:42.0,,,85-103,,Offensive rebound by C. Brewer
10:42.0,,,85-105,2,C. Brewer makes 2-pt shot from 2 ft
10:16.0,E. Davis misses 2-pt shot from 6 ft,,85-105,,
10:15.0,,,85-105,,Defensive rebound by C. Capela
10:03.0,,,85-105,,E. Gordon misses 2-pt shot from 2 ft
10:03.0,,,85-105,,Offensive rebound by C. Capela
10:03.0,Personal foul by E. Davis (drawn by C. Capela),,85-105,,
10:03.0,M. Plumlee enters the game for E. Davis,,85-105,,
10:03.0,D. Lillard enters the game for A. Crabbe,,85-105,,
9:53.0,,,85-107,2,C. Capela makes 2-pt shot from 7 ft (assist by P. Beverley)
9:36.0,C. McCollum makes 2-pt shot from 14 ft (assist by M. Plumlee),2,87-107,,
9:21.0,,,87-107,,E. Gordon misses 3-pt shot from 28 ft
9:21.0,,,87-107,,Offensive rebound by C. Capela
9:14.0,,,87-107,,Offensive foul by C. Capela
9:14.0,,,87-107,,Turnover by C. Capela (offensive foul)
9:03.0,Turnover by D. Lillard (bad pass),,87-107,,
8:55.0,,,87-107,,E. Gordon misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by E. Turner,,87-107,,
8:44.0,M. Plumlee misses 2-pt shot from 12 ft,,87-107,,
8:43.0,,,87-107,,Defensive rebound by C. Brewer
8:27.0,,,87-107,,Shooting foul by M. Harkless (drawn by R. Anderson)
8:27.0,,,87-107,,Houston full timeout
8:27.0,,,87-108,1,R. Anderson makes free throw 1 of 3
8:27.0,,,87-109,1,R. Anderson makes free throw 2 of 3
8:27.0,,,87-109,,R. Anderson misses free throw 3 of 3
8:27.0,Defensive rebound by M. Plumlee,,87-109,,
8:19.0,Turnover by D. Lillard (bad pass; steal by C. Brewer),,87-109,,
8:15.0,,,87-111,2,C. Brewer makes 2-pt shot from 2 ft
8:06.0,D. Lillard makes 2-pt shot from 11 ft,2,89-111,,
8:06.0,Shooting foul by C. Brewer (drawn by D. Lillard),,89-111,,
8:06.0,D. Lillard makes free throw 1 of 1,1,90-111,,
7:56.0,Personal foul by E. Turner (drawn by R. Anderson),,90-111,,
7:48.0,,,90-113,2,P. Beverley makes 2-pt shot from 10 ft
7:40.0,,,90-113,,Personal foul by P. Beverley (drawn by D. Lillard)
7:32.0,Turnover by C. McCollum (lost ball),,90-113,,
7:14.0,,,90-113,,R. Anderson misses 2-pt shot from 21 ft
7:13.0,Defensive rebound by M. Plumlee,,90-113,,
7:04.0,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum),2,92-113,,
6:48.0,,,92-115,2,E. Gordon makes 2-pt shot from 5 ft
6:48.0,,,92-115,,Shooting foul by D. Lillard (drawn by E. Gordon)
6:48.0,,,92-115,,E. Gordon misses free throw 1 of 1
6:48.0,Defensive rebound by M. Harkless,,92-115,,
6:27.0,M. Harkless makes 2-pt shot from 8 ft,2,94-115,,
6:13.0,,,94-117,2,P. Beverley makes 2-pt shot from 2 ft
5:54.0,M. Harkless misses 3-pt shot from 23 ft,,94-117,,
5:54.0,,,94-117,,Defensive rebound by C. Brewer
5:50.0,,,94-117,,C. Brewer misses 2-pt shot from 2 ft (block by D. Lillard)
5:49.0,Defensive rebound by D. Lillard,,94-117,,
5:43.0,C. McCollum misses 3-pt shot from 25 ft,,94-117,,
5:39.0,Offensive rebound by C. McCollum,,94-117,,
5:39.0,,,94-117,,Houston full timeout
5:39.0,N. Vonleh enters the game for M. Harkless,,94-117,,
5:39.0,S. Napier enters the game for M. Plumlee,,94-117,,
5:39.0,M. Leonard enters the game for C. McCollum,,94-117,,
5:39.0,P. Connaughton enters the game for D. Lillard,,94-117,,
5:39.0,J. Layman enters the game for E. Turner,,94-117,,
5:39.0,,,94-117,,M. Harrell enters the game for R. Anderson
5:39.0,,,94-117,,S. Dekker enters the game for C. Capela
5:39.0,,,94-117,,J. Harden enters the game for P. Beverley
5:39.0,,,94-117,,T. Ariza enters the game for E. Gordon
5:31.0,P. Connaughton misses 2-pt shot from 17 ft,,94-117,,
5:30.0,,,94-117,,Defensive rebound by J. Harden
