time,Minnesota,pts.away,score,pts.home,Utah
7:41.0,K. Towns makes 2-pt shot from 2 ft (assist by K. Dunn),2,44-36,,
7:34.0,,,44-38,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
7:24.0,Minnesota full timeout,,44-38,,
7:10.0,K. Dunn makes 3-pt shot from 24 ft (assist by T. Jones),3,47-38,,
6:56.0,,,47-38,,Turnover by D. Exum (lost ball; steal by K. Towns)
6:51.0,S. Muhammad makes 2-pt shot at rim (assist by K. Towns),2,49-38,,
6:28.0,,,49-40,2,G. Hayward makes 2-pt shot at rim
6:10.0,K. Towns misses 2-pt shot from 16 ft,,49-40,,
6:08.0,,,49-40,,Defensive rebound by R. Hood
6:01.0,,,49-43,3,D. Exum makes 3-pt shot from 23 ft (assist by B. Diaw)
5:46.0,Offensive foul by K. Towns,,49-43,,
5:46.0,Turnover by K. Towns (offensive foul),,49-43,,
5:46.0,,,49-43,,S. Mack enters the game for D. Exum
5:46.0,,,49-43,,J. Johnson enters the game for B. Diaw
5:46.0,,,49-43,,J. Ingles enters the game for R. Hood
5:46.0,G. Dieng enters the game for O. Casspi,,49-43,,
5:46.0,A. Wiggins enters the game for K. Towns,,49-43,,
5:46.0,R. Rubio enters the game for T. Jones,,49-43,,
5:46.0,O. Casspi enters the game for K. Dunn,,49-43,,
5:31.0,,,49-43,,S. Mack misses 2-pt shot from 3 ft (block by G. Dieng)
5:30.0,Defensive rebound by A. Wiggins,,49-43,,
5:11.0,O. Casspi misses 3-pt shot from 24 ft,,49-43,,
5:10.0,Offensive rebound by G. Dieng,,49-43,,
5:06.0,Turnover by A. Wiggins (bad pass; steal by G. Hayward),,49-43,,
4:59.0,,,49-43,,G. Hayward misses 2-pt shot from 6 ft
4:57.0,,,49-43,,Offensive rebound by J. Ingles
4:52.0,Personal foul by R. Rubio (drawn by R. Gobert),,49-43,,
4:39.0,,,49-45,2,J. Ingles makes 2-pt shot from 3 ft
4:21.0,A. Wiggins misses 2-pt shot from 20 ft,,49-45,,
4:20.0,,,49-45,,Defensive rebound by R. Gobert
4:11.0,,,49-45,,Shooting foul by O. Casspi (drawn by R. Gobert)
4:11.0,,,49-46,1,R. Gobert makes free throw 1 of 2
4:11.0,,,49-46,,R. Gobert misses free throw 2 of 2
4:11.0,B. Rush enters the game for S. Muhammad,,49-46,,
4:10.0,Defensive rebound by O. Casspi,,49-46,,
3:59.0,Shooting foul by R. Gobert (drawn by A. Wiggins),,49-46,,
3:59.0,A. Wiggins makes free throw 1 of 2,1,50-46,,
3:59.0,A. Wiggins makes free throw 2 of 2,1,51-46,,
3:44.0,,,51-49,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Ingles)
3:16.0,A. Wiggins misses 3-pt shot from 26 ft,,51-49,,
3:15.0,,,51-49,,Defensive rebound by S. Mack
2:56.0,,,51-49,,G. Hayward misses 2-pt shot from 17 ft
2:55.0,Defensive rebound by Team,,51-49,,
2:55.0,,,51-49,,Loose ball foul by R. Gobert (drawn by O. Casspi)
2:55.0,,,51-49,,Utah full timeout
2:45.0,Turnover by B. Rush (bad pass; steal by J. Ingles),,51-49,,
2:42.0,,,51-51,2,J. Ingles makes 2-pt shot from 2 ft
2:26.0,,,51-51,,Personal foul by S. Mack (drawn by R. Rubio)
2:26.0,R. Rubio makes free throw 1 of 2,1,52-51,,
2:26.0,R. Rubio makes free throw 2 of 2,1,53-51,,
2:10.0,,,53-51,,Shooting foul by R. Rubio (drawn by S. Mack)
2:10.0,,,53-51,,S. Mack misses free throw 1 of 2
2:10.0,,,53-51,,Offensive rebound by Team
2:10.0,,,53-52,1,S. Mack makes free throw 2 of 2
1:59.0,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio),3,56-52,,
1:47.0,,,56-55,3,G. Hayward makes 3-pt shot from 26 ft (assist by S. Mack)
1:25.0,R. Rubio misses 2-pt shot from 21 ft,,56-55,,
1:25.0,,,56-55,,Defensive rebound by G. Hayward
1:19.0,,,56-55,,Turnover by J. Johnson (bad pass)
1:02.0,A. Wiggins makes 2-pt shot from 2 ft,2,58-55,,
0:47.0,,,58-55,,Turnover by R. Gobert (bad pass; steal by G. Dieng)
0:35.0,A. Wiggins misses 2-pt shot from 15 ft,,58-55,,
0:34.0,,,58-55,,Defensive rebound by J. Ingles
0:17.0,,,58-55,,Turnover by J. Johnson (lost ball; steal by O. Casspi)
0:01.0,Shooting foul by R. Gobert (drawn by R. Rubio),,58-55,,
0:01.0,R. Rubio makes free throw 1 of 2,1,59-55,,
0:01.0,R. Rubio makes free throw 2 of 2,1,60-55,,
0:01.0,,,59-55,,D. Favors enters the game for R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,60-55,,G. Hayward misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by K. Towns,,60-55,,
11:30.0,Shooting foul by R. Gobert (drawn by G. Dieng),,60-55,,
11:30.0,G. Dieng makes free throw 1 of 2,1,61-55,,
11:30.0,G. Dieng makes free throw 2 of 2,1,62-55,,
11:30.0,,,61-55,,D. Favors enters the game for R. Gobert
11:15.0,,,62-55,,D. Exum misses 3-pt shot from 23 ft
11:14.0,,,62-55,,Offensive rebound by D. Favors
11:07.0,,,62-58,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
10:44.0,,,62-58,,Personal foul by D. Favors (drawn by A. Wiggins)
10:40.0,K. Towns makes 2-pt shot from 23 ft (assist by R. Rubio),2,64-58,,
10:26.0,Personal foul by B. Rush (drawn by J. Ingles),,64-58,,
10:12.0,,,64-58,,J. Ingles misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by A. Wiggins,,64-58,,
9:52.0,G. Dieng makes 2-pt shot from 17 ft (assist by R. Rubio),2,66-58,,
9:34.0,,,66-61,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
9:18.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,68-61,,
8:59.0,,,68-63,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
8:43.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,71-63,,
8:42.0,,,71-63,,Utah full timeout
8:42.0,,,71-63,,J. Johnson enters the game for B. Diaw
8:30.0,,,71-66,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles)
8:10.0,A. Wiggins misses 2-pt shot from 2 ft,,71-66,,
8:10.0,Offensive rebound by K. Towns,,71-66,,
8:06.0,K. Towns misses 2-pt shot from 1 ft (block by J. Johnson),,71-66,,
8:04.0,,,71-66,,Defensive rebound by G. Hayward
7:55.0,,,71-69,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward)
7:54.0,Minnesota full timeout,,71-69,,
7:54.0,O. Casspi enters the game for G. Dieng,,71-69,,
7:41.0,K. Towns misses 2-pt shot at rim,,71-69,,
7:40.0,,,71-69,,Defensive rebound by D. Favors
7:35.0,,,71-71,2,G. Hayward makes 2-pt shot from 2 ft (assist by D. Favors)
7:17.0,R. Rubio makes 2-pt shot from 21 ft,2,73-71,,
7:00.0,,,73-74,3,D. Exum makes 3-pt shot from 25 ft (assist by G. Hayward)
6:42.0,Shooting foul by D. Favors (drawn by A. Wiggins),,73-74,,
6:42.0,A. Wiggins makes free throw 1 of 2,1,74-74,,
6:42.0,A. Wiggins makes free throw 2 of 2,1,75-74,,
6:28.0,,,75-74,,Turnover by J. Johnson (bad pass; steal by O. Casspi)
6:19.0,R. Rubio makes 2-pt shot from 18 ft,2,77-74,,
6:02.0,,,77-76,2,D. Favors makes 2-pt shot from 10 ft (assist by J. Ingles)
5:40.0,O. Casspi misses 2-pt shot from 2 ft,,77-76,,
5:40.0,,,77-76,,Defensive rebound by J. Ingles
5:20.0,,,77-76,,Turnover by J. Ingles (bad pass; steal by O. Casspi)
5:17.0,,,77-76,,Personal foul by J. Johnson (drawn by O. Casspi)
5:17.0,,,77-76,,R. Hood enters the game for J. Ingles
5:13.0,Turnover by R. Rubio (bad pass; steal by D. Favors),,77-76,,
4:58.0,,,77-78,2,J. Johnson makes 2-pt shot from 8 ft
4:40.0,,,77-78,,Personal foul by G. Hayward (drawn by A. Wiggins)
4:40.0,A. Wiggins makes free throw 1 of 2,1,78-78,,
4:40.0,A. Wiggins makes free throw 2 of 2,1,79-78,,
4:40.0,,,78-78,,S. Mack enters the game for D. Exum
4:40.0,G. Dieng enters the game for K. Towns,,78-78,,
4:40.0,,,78-78,,J. Withey enters the game for D. Favors
4:16.0,,,79-81,3,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack)
3:53.0,A. Wiggins misses 2-pt shot from 22 ft,,79-81,,
3:52.0,,,79-81,,Defensive rebound by R. Hood
3:41.0,,,79-83,2,G. Hayward makes 2-pt shot from 3 ft (assist by R. Hood)
3:41.0,,,79-83,,Shooting foul by O. Casspi (drawn by G. Hayward)
3:41.0,,,79-84,1,G. Hayward makes free throw 1 of 1
3:41.0,S. Muhammad enters the game for B. Rush,,79-83,,
3:28.0,A. Wiggins makes 2-pt shot from 2 ft,2,81-84,,
3:15.0,,,81-84,,R. Hood misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by R. Rubio,,81-84,,
3:05.0,S. Muhammad misses 2-pt shot from 3 ft (block by R. Hood),,81-84,,
3:05.0,,,81-84,,Defensive rebound by S. Mack
2:46.0,,,81-84,,R. Hood misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by G. Dieng,,81-84,,
2:29.0,A. Wiggins misses 2-pt shot from 4 ft (block by J. Withey),,81-84,,
2:28.0,,,81-84,,Defensive rebound by G. Hayward
2:10.0,,,81-87,3,G. Hayward makes 3-pt shot from 25 ft
1:48.0,R. Rubio makes 3-pt shot from 24 ft (assist by G. Dieng),3,84-87,,
1:26.0,,,84-87,,G. Hayward misses 2-pt shot from 8 ft
1:25.0,Defensive rebound by R. Rubio,,84-87,,
1:17.0,R. Rubio misses 2-pt shot from 22 ft,,84-87,,
1:17.0,,,84-87,,Defensive rebound by S. Mack
1:08.0,,,84-87,,S. Mack misses 2-pt shot from 4 ft
1:08.0,,,84-87,,Offensive rebound by J. Withey
1:07.0,,,84-87,,Shooting foul by R. Rubio (drawn by J. Withey)
1:07.0,,,84-87,,J. Withey misses free throw 1 of 2
1:07.0,,,84-87,,Offensive rebound by Team
1:07.0,,,84-88,1,J. Withey makes free throw 2 of 2
1:07.0,,,84-87,,J. Ingles enters the game for G. Hayward
0:54.0,G. Dieng misses 2-pt shot from 18 ft,,84-88,,
0:53.0,,,84-88,,Defensive rebound by J. Johnson
0:46.0,,,84-90,2,J. Johnson makes 2-pt shot from 19 ft
0:36.0,R. Rubio makes 2-pt shot from 15 ft,2,86-90,,
0:27.0,,,86-93,3,J. Johnson makes 3-pt shot from 25 ft
0:09.0,,,86-93,,Personal foul by J. Withey (drawn by R. Rubio)
0:09.0,R. Rubio makes free throw 1 of 2,1,87-93,,
0:09.0,R. Rubio makes free throw 2 of 2,1,88-93,,
0:09.0,,,87-93,,D. Favors enters the game for J. Withey
0:01.0,,,88-95,2,J. Johnson makes 2-pt shot from 8 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,S. Muhammad makes 2-pt shot from 18 ft (assist by T. Jones),2,90-95,,
11:31.0,,,90-95,,Technical foul by Team
11:31.0,K. Towns makes technical free throw,1,91-95,,
11:16.0,,,91-95,,Turnover by J. Ingles (bad pass)
10:54.0,K. Dunn misses 2-pt shot from 16 ft,,91-95,,
10:53.0,,,91-95,,Defensive rebound by R. Gobert
10:45.0,,,91-97,2,S. Mack makes 2-pt shot from 2 ft (assist by R. Hood)
10:45.0,Minnesota full timeout,,91-97,,
10:21.0,O. Casspi makes 2-pt shot from 4 ft (assist by K. Dunn),2,93-97,,
10:02.0,,,93-97,,J. Johnson misses 2-pt shot from 7 ft
10:02.0,Defensive rebound by K. Towns,,93-97,,
9:47.0,K. Towns misses 2-pt shot from 2 ft,,93-97,,
9:47.0,Offensive rebound by Team,,93-97,,
9:47.0,,,93-97,,G. Hayward enters the game for J. Johnson
9:36.0,T. Jones makes 2-pt shot from 13 ft,2,95-97,,
9:24.0,,,95-97,,Offensive foul by G. Hayward
9:24.0,,,95-97,,Turnover by G. Hayward (offensive foul)
9:24.0,,,95-97,,D. Exum enters the game for S. Mack
9:13.0,O. Casspi misses 2-pt shot from 10 ft,,95-97,,
9:13.0,,,95-97,,Defensive rebound by R. Gobert
9:04.0,,,95-97,,Turnover by J. Ingles (lost ball; steal by K. Dunn)
8:56.0,S. Muhammad misses 2-pt shot from 3 ft (block by R. Gobert),,95-97,,
8:54.0,Offensive rebound by S. Muhammad,,95-97,,
8:54.0,Turnover by S. Muhammad (lost ball; steal by R. Gobert),,95-97,,
8:53.0,Personal foul by K. Dunn (drawn by J. Ingles),,95-97,,
8:44.0,,,95-99,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
8:19.0,S. Muhammad makes 2-pt shot from 2 ft,2,97-99,,
7:58.0,,,97-101,2,G. Hayward makes 2-pt shot from 2 ft
7:39.0,K. Dunn misses 2-pt shot from 16 ft,,97-101,,
7:39.0,Offensive rebound by S. Muhammad,,97-101,,
7:36.0,S. Muhammad misses 2-pt shot from 15 ft,,97-101,,
7:34.0,Offensive rebound by K. Towns,,97-101,,
7:33.0,K. Towns makes 2-pt shot from 6 ft,2,99-101,,
7:19.0,,,99-101,,Shooting foul by K. Dunn (drawn by G. Hayward)
7:19.0,,,99-102,1,G. Hayward makes free throw 1 of 2
7:19.0,,,99-102,,G. Hayward misses free throw 2 of 2
7:19.0,,,99-102,,D. Favors enters the game for J. Ingles
7:19.0,,,99-102,,S. Mack enters the game for R. Hood
7:19.0,A. Wiggins enters the game for T. Jones,,99-102,,
7:19.0,R. Rubio enters the game for K. Dunn,,99-102,,
7:18.0,Defensive rebound by S. Muhammad,,99-102,,
7:06.0,Turnover by R. Rubio (bad pass; steal by S. Mack),,99-102,,
7:01.0,,,99-104,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert)
6:47.0,,,99-104,,Personal foul by R. Gobert (drawn by K. Towns)
6:47.0,,,99-104,,Technical foul by R. Gobert (drawn by K. Towns)
6:47.0,R. Rubio makes technical free throw,1,100-104,,
6:47.0,,,99-104,,J. Johnson enters the game for R. Gobert
6:47.0,G. Dieng enters the game for O. Casspi,,99-104,,
6:47.0,O. Casspi enters the game for G. Dieng,,100-104,,
6:41.0,,,100-104,,Personal foul by D. Favors (drawn by K. Towns)
6:29.0,Turnover by O. Casspi (bad pass; steal by G. Hayward),,100-104,,
6:29.0,Personal foul by S. Muhammad (drawn by J. Johnson),,100-104,,
6:18.0,,,100-106,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
5:50.0,Offensive foul by S. Muhammad,,100-106,,
5:50.0,Turnover by S. Muhammad (offensive foul),,100-106,,
5:50.0,,,100-106,,Utah full timeout
5:50.0,B. Rush enters the game for S. Muhammad,,100-106,,
5:38.0,,,100-106,,G. Hayward misses 2-pt shot from 3 ft
5:37.0,,,100-106,,Offensive rebound by D. Favors
5:36.0,,,100-108,2,D. Favors makes 2-pt shot at rim
5:21.0,A. Wiggins makes 2-pt shot from 2 ft,2,102-108,,
5:06.0,Personal foul by A. Wiggins (drawn by D. Favors),,102-108,,
4:52.0,,,102-108,,J. Johnson misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by B. Rush,,102-108,,
4:37.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,105-108,,
4:26.0,,,105-108,,Utah full timeout
4:26.0,,,105-108,,J. Ingles enters the game for D. Exum
4:08.0,,,105-108,,S. Mack misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by K. Towns,,105-108,,
3:58.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,107-108,,
3:38.0,,,107-108,,S. Mack misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by K. Towns,,107-108,,
3:22.0,R. Rubio misses 2-pt shot from 19 ft,,107-108,,
3:22.0,,,107-108,,Defensive rebound by S. Mack
3:17.0,,,107-108,,Shooting foul by A. Wiggins (drawn by J. Johnson)
3:17.0,,,107-109,1,J. Johnson makes free throw 1 of 2
3:17.0,,,107-110,1,J. Johnson makes free throw 2 of 2
3:17.0,,,107-109,,R. Gobert enters the game for D. Favors
3:08.0,Turnover by R. Rubio (bad pass; steal by J. Johnson),,107-110,,
3:03.0,,,107-112,2,R. Gobert makes 2-pt shot at rim (assist by J. Johnson)
3:03.0,Minnesota full timeout,,107-112,,
2:53.0,A. Wiggins misses 2-pt shot from 6 ft,,107-112,,
2:53.0,Offensive rebound by A. Wiggins,,107-112,,
2:51.0,A. Wiggins makes 2-pt shot from 1 ft,2,109-112,,
2:33.0,,,109-112,,J. Ingles misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by K. Towns,,109-112,,
2:15.0,K. Towns misses 3-pt shot from 24 ft,,109-112,,
2:15.0,,,109-112,,Defensive rebound by J. Johnson
2:00.0,,,109-112,,Turnover by R. Gobert (lost ball; steal by O. Casspi)
1:43.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,111-112,,
1:31.0,,,111-114,2,G. Hayward makes 2-pt shot from 16 ft (assist by J. Ingles)
1:31.0,Minnesota full timeout,,111-114,,
1:24.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,113-114,,
1:15.0,,,113-116,2,G. Hayward makes 2-pt shot from 11 ft
1:15.0,,,113-116,,Shooting foul by B. Rush (drawn by G. Hayward)
1:15.0,,,113-117,1,G. Hayward makes free throw 1 of 1
1:15.0,Minnesota full timeout,,113-117,,
1:11.0,A. Wiggins misses 2-pt shot from 3 ft,,113-117,,
1:11.0,,,113-117,,Defensive rebound by S. Mack
0:55.0,,,113-117,,R. Gobert misses 2-pt shot from 2 ft
0:54.0,Defensive rebound by K. Towns,,113-117,,
0:40.0,K. Towns misses 2-pt shot from 11 ft,,113-117,,
0:39.0,Offensive rebound by Team,,113-117,,
0:35.0,Turnover by B. Rush (bad pass; steal by J. Ingles),,113-117,,
0:33.0,Personal foul by O. Casspi (drawn by J. Ingles),,113-117,,
