time,Miami,pts.away,score,pts.home,Brooklyn
3:19.0,,,40-46,,Offensive rebound by B. Lopez
3:17.0,,,40-46,,Turnover by B. Lopez (lost ball; steal by T. Johnson)
3:11.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,43-46,,
3:03.0,Personal foul by H. Whiteside (drawn by B. Lopez),,43-46,,
3:03.0,,,43-47,1,B. Lopez makes free throw 1 of 2
3:03.0,,,43-48,1,B. Lopez makes free throw 2 of 2
3:03.0,W. Reed enters the game for H. Whiteside,,43-46,,
2:50.0,T. Johnson misses 2-pt shot from 7 ft,,43-48,,
2:49.0,,,43-48,,Defensive rebound by T. Booker
2:38.0,,,43-48,,Turnover by B. Bogdanovic (bad pass; steal by R. McGruder)
2:32.0,T. Johnson makes 2-pt shot from 3 ft (assist by R. McGruder),2,45-48,,
2:21.0,,,45-48,,S. Dinwiddie misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by R. McGruder,,45-48,,
2:09.0,G. Dragic makes 2-pt shot from 8 ft,2,47-48,,
1:47.0,,,47-48,,Shooting foul by W. Reed (drawn by S. Kilpatrick)
1:47.0,,,47-49,1,S. Kilpatrick makes free throw 1 of 2
1:47.0,,,47-50,1,S. Kilpatrick makes free throw 2 of 2
1:47.0,J. Johnson enters the game for W. Reed,,47-49,,
1:35.0,G. Dragic misses 2-pt shot from 18 ft,,47-50,,
1:34.0,,,47-50,,Defensive rebound by T. Booker
1:23.0,Violation by J. Johnson (kicked ball),,47-50,,
1:20.0,,,47-50,,Turnover by T. Booker (lost ball)
1:08.0,J. Johnson makes 2-pt shot from 13 ft,2,49-50,,
0:55.0,,,49-50,,B. Bogdanovic misses 2-pt shot from 14 ft
0:54.0,Defensive rebound by T. Johnson,,49-50,,
0:43.0,R. McGruder misses 3-pt shot from 24 ft,,49-50,,
0:42.0,Offensive rebound by T. Johnson,,49-50,,
0:41.0,T. Johnson misses 2-pt shot from 2 ft,,49-50,,
0:40.0,,,49-50,,Defensive rebound by T. Booker
0:33.0,,,49-53,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
0:10.0,R. McGruder misses 2-pt shot from 11 ft,,49-53,,
0:08.0,Offensive rebound by Team,,49-53,,
0:08.0,Miami full timeout,,49-53,,
0:08.0,,,49-53,,C. LeVert enters the game for B. Bogdanovic
0:08.0,W. Ellington enters the game for T. Johnson,,49-53,,
0:06.0,O. White misses 2-pt shot from 18 ft,,49-53,,
0:05.0,,,49-53,,Defensive rebound by T. Booker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,G. Dragic misses 3-pt shot from 25 ft,,49-53,,
11:37.0,,,49-53,,Defensive rebound by B. Bogdanovic
11:16.0,,,49-55,2,R. Foye makes 2-pt shot from 2 ft
11:04.0,R. McGruder misses 2-pt shot at rim (block by B. Lopez),,49-55,,
11:02.0,Offensive rebound by Team,,49-55,,
10:52.0,Turnover by H. Whiteside (3 sec),,49-55,,
10:33.0,,,49-55,,B. Lopez misses 2-pt shot from 7 ft (block by H. Whiteside)
10:31.0,Defensive rebound by H. Whiteside,,49-55,,
10:12.0,W. Ellington makes 3-pt shot from 26 ft (assist by L. Babbitt),3,52-55,,
10:00.0,,,52-58,3,R. Foye makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
9:51.0,,,52-58,,Personal foul by R. Foye (drawn by W. Ellington)
9:40.0,G. Dragic makes 2-pt shot from 10 ft,2,54-58,,
9:27.0,,,54-58,,S. Dinwiddie misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by L. Babbitt,,54-58,,
9:12.0,G. Dragic misses 3-pt shot from 25 ft,,54-58,,
9:11.0,,,54-58,,Defensive rebound by S. Dinwiddie
9:01.0,,,54-60,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by B. Lopez)
8:46.0,W. Ellington misses 3-pt shot from 27 ft,,54-60,,
