time,Minnesota,pts.away,score,pts.home,Cleveland
3:26.0,A. Wiggins misses 2-pt shot from 17 ft,,24-24,,
3:23.0,,,24-24,,Defensive rebound by R. Jefferson
3:15.0,,,24-27,3,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving)
2:58.0,Turnover by A. Wiggins (lost ball; steal by I. Shumpert),,24-27,,
2:53.0,,,24-27,,R. Jefferson misses 2-pt shot from 1 ft
2:53.0,,,24-27,,Offensive rebound by K. Irving
2:53.0,,,24-27,,K. Irving misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by A. Wiggins,,24-27,,
2:46.0,G. Dieng makes 2-pt shot at rim (assist by S. Muhammad),2,26-27,,
2:23.0,Personal foul by R. Rubio (drawn by T. Thompson),,26-27,,
2:23.0,Z. LaVine enters the game for A. Wiggins,,26-27,,
2:23.0,,,26-27,,K. Korver enters the game for I. Shumpert
2:15.0,,,26-29,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
1:59.0,R. Rubio makes 2-pt shot from 11 ft,2,28-29,,
1:50.0,,,28-31,2,K. Irving makes 2-pt shot from 15 ft
1:34.0,R. Rubio makes 2-pt shot from 19 ft,2,30-31,,
1:19.0,,,30-31,,C. Frye misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by G. Dieng,,30-31,,
1:07.0,K. Towns misses 2-pt shot from 12 ft,,30-31,,
1:06.0,,,30-31,,Defensive rebound by C. Frye
0:56.0,,,30-34,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving)
0:42.0,G. Dieng misses 2-pt shot at rim,,30-34,,
0:39.0,Offensive rebound by K. Towns,,30-34,,
0:39.0,K. Towns misses 2-pt shot at rim (block by C. Frye),,30-34,,
0:38.0,,,30-34,,Defensive rebound by T. Thompson
0:36.0,,,30-36,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
0:32.0,R. Rubio makes 2-pt shot from 20 ft,2,32-36,,
0:10.0,,,32-36,,K. Irving misses 2-pt shot from 19 ft
0:10.0,Defensive rebound by Team,,32-36,,
0:10.0,N. Bjelica enters the game for K. Towns,,32-36,,
0:10.0,,,32-36,,J. Jones enters the game for C. Frye
0:05.0,,,32-36,,Personal foul by K. Korver (drawn by Z. LaVine)
0:00.0,Z. LaVine misses 2-pt shot from 3 ft (block by T. Thompson),,32-36,,
0:00.0,Offensive rebound by Team,,32-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,,,32-36,,Shooting foul by Z. LaVine (drawn by L. James)
11:55.0,,,32-36,,L. James misses free throw 1 of 2
11:55.0,,,32-36,,Offensive rebound by Team
11:55.0,,,32-37,1,L. James makes free throw 2 of 2
11:46.0,Turnover by K. Dunn (bad pass; steal by L. James),,32-37,,
11:41.0,,,32-39,2,L. James makes 2-pt shot at rim
11:17.0,N. Bjelica misses 2-pt shot from 7 ft (block by J. Jones),,32-39,,
11:16.0,,,32-39,,Defensive rebound by R. Jefferson
11:08.0,,,32-39,,J. Jones misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by C. Aldrich,,32-39,,
10:51.0,S. Muhammad misses 2-pt shot from 20 ft,,32-39,,
10:50.0,,,32-39,,Defensive rebound by L. James
10:36.0,,,32-39,,Shooting foul by C. Aldrich (drawn by L. James)
10:36.0,,,32-40,1,L. James makes free throw 1 of 2
10:36.0,,,32-40,,L. James misses free throw 2 of 2
10:35.0,Defensive rebound by Z. LaVine,,32-40,,
10:18.0,C. Aldrich misses 2-pt shot from 6 ft,,32-40,,
10:16.0,Offensive rebound by S. Muhammad,,32-40,,
10:16.0,S. Muhammad makes 2-pt shot at rim,2,34-40,,
10:02.0,,,34-40,,K. Korver misses 3-pt shot from 30 ft
10:01.0,Defensive rebound by S. Muhammad,,34-40,,
9:46.0,Z. LaVine misses 2-pt shot from 8 ft,,34-40,,
9:45.0,Offensive rebound by C. Aldrich,,34-40,,
9:39.0,Z. LaVine misses 3-pt shot from 28 ft,,34-40,,
9:38.0,,,34-40,,Defensive rebound by J. Jones
9:27.0,,,34-43,3,K. Korver makes 3-pt shot from 26 ft (assist by J. Jones)
9:17.0,Minnesota full timeout,,34-43,,
9:17.0,G. Dieng enters the game for Z. LaVine,,34-43,,
9:17.0,A. Wiggins enters the game for C. Aldrich,,34-43,,
9:07.0,A. Wiggins makes 2-pt shot from 1 ft,2,36-43,,
8:49.0,Personal foul by G. Dieng (drawn by L. James),,36-43,,
8:40.0,,,36-43,,Turnover by K. Felder (lost ball; steal by N. Bjelica)
8:39.0,,,36-43,,Personal foul by J. Jones (drawn by N. Bjelica)
8:27.0,Turnover by K. Dunn (lost ball),,36-43,,
8:14.0,,,36-45,2,J. Jones makes 2-pt shot from 21 ft (assist by L. James)
8:03.0,S. Muhammad makes 3-pt shot from 25 ft (assist by G. Dieng),3,39-45,,
7:50.0,Personal foul by N. Bjelica (drawn by J. Jones),,39-45,,
7:50.0,K. Towns enters the game for G. Dieng,,39-45,,
7:50.0,,,39-45,,T. Thompson enters the game for J. Jones
7:50.0,R. Rubio enters the game for K. Dunn,,39-45,,
7:46.0,,,39-47,2,K. Korver makes 2-pt shot from 18 ft (assist by L. James)
7:31.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,41-47,,
7:09.0,,,41-47,,Turnover by K. Felder (bad pass; steal by N. Bjelica)
7:04.0,Turnover by N. Bjelica (lost ball; steal by K. Felder),,41-47,,
6:59.0,,,41-47,,K. Felder misses 2-pt shot from 2 ft
6:57.0,,,41-47,,Offensive rebound by T. Thompson
6:56.0,,,41-47,,T. Thompson misses 2-pt shot from 13 ft
6:55.0,Defensive rebound by K. Towns,,41-47,,
6:49.0,N. Bjelica makes 2-pt shot at rim (assist by R. Rubio),2,43-47,,
6:47.0,,,43-47,,Cleveland full timeout
6:47.0,Z. LaVine enters the game for N. Bjelica,,43-47,,
6:47.0,,,43-47,,K. Irving enters the game for K. Felder
6:25.0,,,43-47,,K. Irving misses 2-pt shot from 10 ft
6:24.0,,,43-47,,Offensive rebound by T. Thompson
6:08.0,,,43-47,,L. James misses 2-pt shot from 16 ft
6:05.0,Defensive rebound by K. Towns,,43-47,,
5:58.0,A. Wiggins makes 2-pt shot at rim,2,45-47,,
5:58.0,Shooting foul by K. Irving (drawn by A. Wiggins),,45-47,,
5:58.0,A. Wiggins makes free throw 1 of 1,1,46-47,,
5:58.0,,,45-47,,I. Shumpert enters the game for R. Jefferson
5:49.0,,,46-47,,T. Thompson misses 2-pt shot from 6 ft (block by K. Towns)
5:48.0,,,46-47,,Offensive rebound by T. Thompson
5:43.0,,,46-47,,I. Shumpert misses 3-pt shot from 26 ft
5:43.0,,,46-47,,Offensive rebound by K. Irving
5:39.0,,,46-47,,K. Irving misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by S. Muhammad,,46-47,,
5:28.0,A. Wiggins misses 3-pt shot from 25 ft,,46-47,,
5:28.0,,,46-47,,Defensive rebound by I. Shumpert
5:16.0,,,46-49,2,L. James makes 2-pt shot from 6 ft
4:55.0,S. Muhammad misses 2-pt shot from 9 ft,,46-49,,
4:54.0,,,46-49,,Defensive rebound by T. Thompson
4:47.0,,,46-52,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
4:26.0,A. Wiggins makes 3-pt shot from 27 ft (assist by Z. LaVine),3,49-52,,
4:08.0,,,49-54,2,L. James makes 2-pt shot at rim (assist by K. Irving)
3:41.0,A. Wiggins misses 2-pt shot from 19 ft,,49-54,,
3:41.0,Offensive rebound by S. Muhammad,,49-54,,
3:34.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,51-54,,
3:34.0,,,51-54,,Cleveland full timeout
3:33.0,,,51-54,,R. Jefferson enters the game for L. James
3:23.0,,,51-56,2,K. Korver makes 2-pt shot from 11 ft (assist by K. Irving)
3:07.0,Turnover by R. Rubio (bad pass; steal by R. Jefferson),,51-56,,
3:00.0,,,51-56,,K. Korver misses 3-pt shot from 25 ft
3:00.0,,,51-56,,Offensive rebound by R. Jefferson
2:55.0,,,51-56,,R. Jefferson misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by Z. LaVine,,51-56,,
2:33.0,S. Muhammad misses 3-pt shot from 24 ft,,51-56,,
2:33.0,,,51-56,,Defensive rebound by I. Shumpert
2:27.0,Personal foul by R. Rubio (drawn by T. Thompson),,51-56,,
2:27.0,Official timeout,,51-56,,
2:27.0,,,51-57,1,T. Thompson makes free throw 1 of 2
2:27.0,,,51-58,1,T. Thompson makes free throw 2 of 2
2:27.0,N. Bjelica enters the game for S. Muhammad,,51-56,,
2:06.0,Z. LaVine misses 3-pt shot from 26 ft,,51-58,,
2:05.0,,,51-58,,Defensive rebound by T. Thompson
1:53.0,,,51-60,2,K. Irving makes 2-pt shot from 9 ft
1:44.0,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns),3,54-60,,
1:25.0,,,54-60,,Turnover by K. Irving (bad pass; steal by N. Bjelica)
1:19.0,N. Bjelica makes 2-pt shot from 1 ft (assist by R. Rubio),2,56-60,,
0:56.0,,,56-60,,Shooting foul by N. Bjelica (drawn by K. Irving)
0:56.0,,,56-60,,K. Irving misses free throw 1 of 2
0:56.0,,,56-60,,Offensive rebound by Team
0:56.0,,,56-61,1,K. Irving makes free throw 2 of 2
0:56.0,,,56-60,,L. James enters the game for K. Korver
0:46.0,Z. LaVine makes 2-pt shot from 14 ft (assist by K. Towns),2,58-61,,
0:28.0,,,58-61,,I. Shumpert misses 2-pt shot from 2 ft (block by K. Towns)
0:27.0,,,58-61,,Offensive rebound by Team
0:23.0,,,58-61,,Shooting foul by R. Rubio (drawn by K. Irving)
0:23.0,,,58-62,1,K. Irving makes free throw 1 of 2
0:23.0,,,58-63,1,K. Irving makes free throw 2 of 2
0:02.0,A. Wiggins makes 2-pt shot from 22 ft,2,60-63,,
0:00.0,,,60-63,,K. Irving misses 3-pt shot from 41 ft
0:00.0,,,60-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,60-66,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving)
11:23.0,G. Dieng misses 2-pt shot from 15 ft (block by L. James),,60-66,,
11:22.0,,,60-66,,Defensive rebound by L. James
11:16.0,,,60-66,,Turnover by I. Shumpert (bad pass)
10:56.0,Turnover by A. Wiggins (lost ball; steal by I. Shumpert),,60-66,,
10:47.0,,,60-66,,K. Irving misses 2-pt shot from 9 ft
10:45.0,,,60-66,,Offensive rebound by T. Thompson
10:40.0,,,60-66,,I. Shumpert misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by K. Towns,,60-66,,
10:32.0,R. Rubio misses 2-pt shot from 17 ft,,60-66,,
10:30.0,,,60-66,,Defensive rebound by L. James
10:25.0,,,60-66,,I. Shumpert misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by Team,,60-66,,
10:24.0,,,60-66,,Loose ball foul by T. Thompson (drawn by Z. LaVine)
10:09.0,K. Towns misses 2-pt shot from 20 ft,,60-66,,
10:08.0,,,60-66,,Defensive rebound by T. Thompson
10:01.0,,,60-66,,C. Frye misses 3-pt shot from 25 ft
10:01.0,,,60-66,,Offensive rebound by T. Thompson
9:58.0,,,60-68,2,C. Frye makes 2-pt shot at rim (assist by T. Thompson)
9:58.0,,,60-68,,Shooting foul by G. Dieng (drawn by C. Frye)
9:58.0,,,60-68,,C. Frye misses free throw 1 of 1
9:56.0,Defensive rebound by G. Dieng,,60-68,,
9:51.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,62-68,,
9:25.0,,,62-70,2,T. Thompson makes 2-pt shot from 6 ft
9:10.0,Turnover by R. Rubio (bad pass; steal by C. Frye),,62-70,,
9:04.0,,,62-72,2,C. Frye makes 2-pt shot from 1 ft (assist by L. James)
9:04.0,Minnesota full timeout,,62-72,,
8:40.0,Z. LaVine makes 2-pt shot from 22 ft,2,64-72,,
8:23.0,,,64-74,2,L. James makes 2-pt shot at rim (assist by K. Irving)
8:02.0,K. Towns misses 2-pt shot from 10 ft,,64-74,,
8:01.0,,,64-74,,Defensive rebound by I. Shumpert
7:55.0,,,64-74,,K. Irving misses 3-pt shot from 26 ft
7:55.0,,,64-74,,Offensive rebound by Team
7:55.0,Loose ball foul by G. Dieng (drawn by T. Thompson),,64-74,,
7:36.0,,,64-74,,T. Thompson misses 2-pt shot from 1 ft
7:36.0,,,64-74,,Offensive rebound by T. Thompson
7:29.0,,,64-76,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
7:04.0,,,64-76,,Personal foul by K. Irving (drawn by G. Dieng)
6:51.0,Z. LaVine misses 2-pt shot from 20 ft,,64-76,,
6:51.0,Offensive rebound by G. Dieng,,64-76,,
6:49.0,G. Dieng misses 2-pt shot from 2 ft (block by C. Frye),,64-76,,
6:48.0,,,64-76,,Defensive rebound by C. Frye
6:43.0,,,64-79,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
6:43.0,Minnesota full timeout,,64-79,,
6:43.0,N. Bjelica enters the game for G. Dieng,,64-79,,
6:31.0,A. Wiggins misses 2-pt shot from 1 ft (block by I. Shumpert),,64-79,,
6:30.0,,,64-79,,Defensive rebound by T. Thompson
6:23.0,,,64-79,,L. James misses 3-pt shot from 27 ft
6:19.0,,,64-79,,Offensive rebound by I. Shumpert
6:17.0,,,64-79,,C. Frye misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by K. Towns,,64-79,,
6:10.0,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns),2,66-79,,
5:44.0,,,66-82,3,L. James makes 3-pt shot from 25 ft (assist by I. Shumpert)
5:26.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,68-82,,
5:03.0,,,68-85,3,C. Frye makes 3-pt shot from 23 ft (assist by L. James)
4:47.0,K. Towns misses 2-pt shot from 7 ft,,68-85,,
4:47.0,Offensive rebound by K. Towns,,68-85,,
4:47.0,Shooting foul by L. James (drawn by K. Towns),,68-85,,
4:47.0,K. Towns makes free throw 1 of 2,1,69-85,,
4:47.0,K. Towns makes free throw 2 of 2,1,70-85,,
4:47.0,S. Muhammad enters the game for Z. LaVine,,69-85,,
4:28.0,,,70-85,,C. Frye misses 3-pt shot from 24 ft
4:27.0,,,70-85,,Offensive rebound by T. Thompson
4:20.0,,,70-87,2,L. James makes 2-pt shot from 2 ft (assist by K. Irving)
4:20.0,,,70-87,,Shooting foul by S. Muhammad (drawn by L. James)
4:20.0,,,70-88,1,L. James makes free throw 1 of 1
4:06.0,R. Rubio misses 3-pt shot from 25 ft,,70-88,,
4:06.0,,,70-88,,Defensive rebound by L. James
4:01.0,,,70-90,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
3:40.0,R. Rubio misses 2-pt shot from 15 ft,,70-90,,
3:39.0,Offensive rebound by N. Bjelica,,70-90,,
3:39.0,N. Bjelica misses 2-pt shot from 1 ft,,70-90,,
3:36.0,Offensive rebound by K. Towns,,70-90,,
3:30.0,K. Towns makes 3-pt shot from 24 ft,3,73-90,,
3:13.0,,,73-90,,I. Shumpert misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by N. Bjelica,,73-90,,
3:09.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,75-90,,
3:09.0,,,75-90,,Cleveland full timeout
3:09.0,,,75-90,,R. Jefferson enters the game for L. James
2:56.0,,,75-90,,K. Irving misses 2-pt shot from 5 ft (block by R. Rubio)
2:56.0,Defensive rebound by Team,,75-90,,
2:56.0,Jump ball: K. Irving vs. R. Rubio (K. Towns gains possession),,,,Jump ball: K. Irving vs. R. Rubio (K. Towns gains possession)
2:32.0,A. Wiggins misses 3-pt shot from 24 ft,,75-90,,
2:32.0,,,75-90,,Defensive rebound by C. Frye
2:17.0,,,75-90,,Shooting foul by A. Wiggins (drawn by T. Thompson)
2:17.0,,,75-91,1,T. Thompson makes free throw 1 of 2
2:17.0,,,75-91,,T. Thompson misses free throw 2 of 2
2:17.0,,,75-91,,K. Korver enters the game for C. Frye
2:16.0,Defensive rebound by Team,,75-91,,
2:03.0,K. Towns misses 2-pt shot from 7 ft,,75-91,,
2:03.0,,,75-91,,Defensive rebound by Team
1:50.0,,,75-91,,Offensive foul by T. Thompson
1:50.0,,,75-91,,Turnover by T. Thompson (offensive foul)
1:50.0,Z. LaVine enters the game for A. Wiggins,,75-91,,
1:35.0,R. Rubio misses 2-pt shot from 16 ft,,75-91,,
1:35.0,Offensive rebound by N. Bjelica,,75-91,,
1:28.0,S. Muhammad makes 2-pt shot from 12 ft,2,77-91,,
1:12.0,,,77-93,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Korver)
0:57.0,Z. LaVine misses 2-pt shot from 17 ft,,77-93,,
0:56.0,,,77-93,,Defensive rebound by R. Jefferson
0:37.0,,,77-93,,I. Shumpert misses 2-pt shot from 11 ft
0:33.0,Defensive rebound by S. Muhammad,,77-93,,
0:28.0,Z. LaVine misses 3-pt shot from 25 ft,,77-93,,
0:28.0,,,77-93,,Defensive rebound by I. Shumpert
0:07.0,,,77-93,,K. Irving misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by K. Towns,,77-93,,
0:00.0,R. Rubio makes 2-pt shot from 13 ft (assist by Z. LaVine),2,79-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,,,79-93,,Personal foul by K. Felder (drawn by K. Dunn)
11:47.0,Turnover by K. Dunn (lost ball; steal by L. James),,79-93,,
11:40.0,,,79-95,2,L. James makes 2-pt shot from 2 ft (assist by R. Jefferson)
11:23.0,S. Muhammad misses 2-pt shot from 21 ft,,79-95,,
11:23.0,,,79-95,,Defensive rebound by R. Jefferson
11:06.0,,,79-98,3,K. Korver makes 3-pt shot from 27 ft (assist by L. James)
10:52.0,,,79-98,,Personal foul by J. Jones (drawn by Z. LaVine)
10:48.0,Z. LaVine misses 3-pt shot from 28 ft,,79-98,,
10:47.0,,,79-98,,Defensive rebound by K. Felder
10:42.0,,,79-98,,Shooting foul by K. Dunn (drawn by K. Felder)
10:42.0,,,79-99,1,K. Felder makes free throw 1 of 2
10:42.0,,,79-99,,K. Felder misses free throw 2 of 2
10:41.0,Defensive rebound by N. Bjelica,,79-99,,
10:35.0,,,79-99,,Shooting block foul by K. Korver (drawn by N. Bjelica)
10:35.0,N. Bjelica misses free throw 1 of 2,,79-99,,
10:35.0,Offensive rebound by Team,,79-99,,
10:35.0,N. Bjelica misses free throw 2 of 2,,79-99,,
10:33.0,Offensive rebound by Team,,79-99,,
10:27.0,S. Muhammad misses 2-pt shot from 4 ft (block by K. Korver),,79-99,,
10:27.0,Offensive rebound by Team,,79-99,,
10:17.0,Turnover by N. Bjelica (bad pass),,79-99,,
10:07.0,Personal foul by N. Bjelica (drawn by R. Jefferson),,79-99,,
10:07.0,K. Towns enters the game for N. Bjelica,,79-99,,
10:07.0,A. Wiggins enters the game for G. Dieng,,79-99,,
10:07.0,,,79-99,,T. Thompson enters the game for J. Jones
10:03.0,,,79-99,,Turnover by L. James (bad pass; steal by Z. LaVine)
10:00.0,Z. LaVine misses 2-pt shot at rim (block by T. Thompson),,79-99,,
9:59.0,Offensive rebound by A. Wiggins,,79-99,,
9:58.0,Shooting foul by K. Felder (drawn by A. Wiggins),,79-99,,
9:58.0,A. Wiggins makes free throw 1 of 2,1,80-99,,
9:58.0,A. Wiggins makes free throw 2 of 2,1,81-99,,
9:32.0,,,81-101,2,K. Korver makes 2-pt shot from 16 ft (assist by L. James)
9:16.0,A. Wiggins misses 3-pt shot from 25 ft,,81-101,,
9:16.0,,,81-101,,Defensive rebound by K. Korver
9:05.0,,,81-103,2,T. Thompson makes 2-pt shot from 2 ft (assist by K. Felder)
9:05.0,,,81-103,,Shooting foul by Z. LaVine (drawn by T. Thompson)
9:05.0,,,81-104,1,T. Thompson makes free throw 1 of 1
9:05.0,R. Rubio enters the game for K. Dunn,,81-103,,
8:54.0,K. Towns makes 2-pt shot at rim,2,83-104,,
8:35.0,,,83-107,3,K. Felder makes 3-pt shot from 23 ft (assist by L. James)
8:26.0,S. Muhammad makes 3-pt shot from 25 ft (assist by K. Towns),3,86-107,,
8:07.0,,,86-107,,K. Korver misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by K. Towns,,86-107,,
7:58.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,88-107,,
7:40.0,,,88-107,,Turnover by K. Felder (bad pass; steal by K. Towns)
7:32.0,Turnover by R. Rubio (bad pass; steal by T. Thompson),,88-107,,
7:21.0,,,88-107,,T. Thompson misses 2-pt shot from 12 ft
7:21.0,Defensive rebound by R. Rubio,,88-107,,
7:03.0,A. Wiggins misses 2-pt shot from 5 ft,,88-107,,
7:02.0,,,88-107,,Defensive rebound by L. James
6:56.0,,,88-110,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
6:28.0,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio),3,91-110,,
6:13.0,Personal foul by Z. LaVine (drawn by K. Korver),,91-110,,
6:13.0,Official timeout,,91-110,,
6:04.0,,,91-112,2,L. James makes 2-pt shot from 2 ft
5:44.0,,,91-112,,Cleveland full timeout
5:37.0,K. Towns misses 2-pt shot from 9 ft,,91-112,,
5:35.0,,,91-112,,Defensive rebound by L. James
5:32.0,,,91-112,,Turnover by L. James (lost ball; steal by S. Muhammad)
5:26.0,K. Towns makes 2-pt shot from 13 ft (assist by S. Muhammad),2,93-112,,
5:02.0,,,93-114,2,K. Felder makes 2-pt shot from 2 ft (assist by L. James)
4:39.0,Z. LaVine misses 2-pt shot from 13 ft,,93-114,,
4:37.0,,,93-114,,Defensive rebound by L. James
4:28.0,,,93-114,,R. Jefferson misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by K. Towns,,93-114,,
4:15.0,R. Rubio misses 2-pt shot from 4 ft (block by K. Felder),,93-114,,
4:15.0,Offensive rebound by Team,,93-114,,
4:15.0,,,93-114,,J. McRae enters the game for L. James
4:08.0,Z. LaVine misses 2-pt shot from 2 ft,,93-114,,
4:06.0,,,93-114,,Defensive rebound by J. McRae
3:51.0,,,93-116,2,K. Korver makes 2-pt shot from 18 ft (assist by K. Felder)
3:31.0,R. Rubio misses 3-pt shot from 24 ft,,93-116,,
3:31.0,,,93-116,,Defensive rebound by T. Thompson
3:16.0,,,93-119,3,K. Felder makes 3-pt shot from 25 ft (assist by K. Korver)
3:15.0,Minnesota full timeout,,93-119,,
3:15.0,T. Jones enters the game for A. Wiggins,,93-119,,
3:15.0,A. Payne enters the game for K. Towns,,93-119,,
3:15.0,N. Bjelica enters the game for Z. LaVine,,93-119,,
3:15.0,K. Dunn enters the game for R. Rubio,,93-119,,
3:15.0,,,93-119,,J. Jones enters the game for T. Thompson
3:15.0,,,93-119,,D. Liggins enters the game for K. Korver
2:59.0,S. Muhammad misses 2-pt shot from 14 ft,,93-119,,
2:58.0,,,93-119,,Defensive rebound by J. Jones
2:50.0,,,93-119,,Offensive foul by J. Jones
2:50.0,,,93-119,,Turnover by J. Jones (offensive foul)
2:29.0,S. Muhammad misses 2-pt shot from 22 ft,,93-119,,
2:29.0,,,93-119,,Defensive rebound by D. Liggins
