time,Sacramento,pts.away,score,pts.home,Chicago
0:49.0,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Cousins),3,21-19,,
0:36.0,,,21-21,2,P. Zipser makes 2-pt shot from 3 ft (assist by R. Rondo)
0:25.0,T. Lawson misses 2-pt shot from 20 ft,,21-21,,
0:24.0,,,21-21,,Defensive rebound by J. Butler
0:05.0,,,21-23,2,J. Butler makes 2-pt shot from 9 ft
0:05.0,,,21-23,,Shooting foul by A. Afflalo (drawn by J. Butler)
0:05.0,,,21-24,1,J. Butler makes free throw 1 of 1
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,21-26,2,C. Felicio makes 2-pt shot at rim (assist by R. Rondo)
11:24.0,,,21-26,,Violation by C. Felicio (kicked ball)
11:13.0,M. Barnes misses 2-pt shot from 21 ft,,21-26,,
11:11.0,,,21-26,,Defensive rebound by N. Mirotic
11:03.0,,,21-29,3,P. Zipser makes 3-pt shot from 24 ft (assist by R. Rondo)
10:52.0,Turnover by T. Lawson (lost ball),,21-29,,
10:28.0,,,21-29,,P. Zipser misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by T. Lawson,,21-29,,
10:21.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,23-29,,
10:07.0,,,23-32,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo)
10:00.0,Shooting foul by P. Zipser (drawn by T. Lawson),,23-32,,
10:00.0,T. Lawson makes free throw 1 of 2,1,24-32,,
10:00.0,T. Lawson makes free throw 2 of 2,1,25-32,,
10:00.0,,,24-32,,D. Wade enters the game for P. Zipser
9:47.0,,,25-32,,D. McDermott misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by M. Barnes,,25-32,,
9:40.0,Turnover by M. Barnes (bad pass; steal by R. Rondo),,25-32,,
9:34.0,Personal foul by T. Lawson (drawn by D. Wade),,25-32,,
9:24.0,,,25-32,,D. Wade misses 2-pt shot from 8 ft
9:22.0,Defensive rebound by M. Richardson,,25-32,,
9:17.0,M. Richardson makes 2-pt shot from 18 ft,2,27-32,,
9:03.0,,,27-32,,Turnover by R. Rondo (lost ball; steal by T. Lawson)
9:03.0,,,27-32,,Clear path foul by R. Rondo
9:03.0,T. Lawson makes clear path free throw 1 of 2,1,28-32,,
9:03.0,T. Lawson makes clear path free throw 2 of 2,1,29-32,,
8:49.0,T. Lawson makes 2-pt shot at rim,2,31-32,,
8:46.0,,,31-32,,Turnover by C. Felicio (bad pass; steal by W. Cauley-Stein)
8:46.0,Shooting foul by C. Felicio (drawn by M. Richardson),,31-32,,
8:46.0,Official timeout,,31-32,,
8:46.0,M. Richardson misses free throw 1 of 2,,31-32,,
8:46.0,Offensive rebound by Team,,31-32,,
8:46.0,M. Richardson makes free throw 2 of 2,1,32-32,,
8:22.0,,,32-32,,D. Wade misses 2-pt shot from 19 ft
8:21.0,Defensive rebound by M. Richardson,,32-32,,
8:06.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by T. Lawson),2,34-32,,
7:53.0,Personal foul by M. Barnes (drawn by D. McDermott),,34-32,,
7:53.0,,,34-32,,J. Butler enters the game for R. Rondo
7:40.0,,,34-32,,N. Mirotic misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by W. Cauley-Stein,,34-32,,
7:32.0,Turnover by T. Lawson (bad pass; steal by N. Mirotic),,34-32,,
7:26.0,,,34-34,2,N. Mirotic makes 2-pt shot at rim (assist by D. Wade)
7:15.0,M. Richardson misses 3-pt shot from 27 ft,,34-34,,
7:13.0,,,34-34,,Defensive rebound by C. Felicio
7:06.0,,,34-36,2,N. Mirotic makes 2-pt shot from 5 ft (assist by D. Wade)
6:57.0,Sacramento full timeout,,34-36,,
6:57.0,G. Temple enters the game for M. Richardson,,34-36,,
6:41.0,G. Temple misses 2-pt shot from 20 ft,,34-36,,
6:40.0,,,34-36,,Defensive rebound by C. Felicio
6:22.0,,,34-36,,Turnover by C. Felicio (lost ball; steal by G. Temple)
6:18.0,,,34-36,,Violation by C. Felicio (def goaltending)
6:18.0,G. Temple makes 2-pt shot from 1 ft,2,36-36,,
6:02.0,,,36-36,,D. McDermott misses 2-pt shot from 2 ft
6:02.0,,,36-36,,Offensive rebound by C. Felicio
6:02.0,,,36-36,,C. Felicio misses 2-pt shot from 1 ft
6:02.0,,,36-36,,Offensive rebound by C. Felicio
6:02.0,,,36-36,,Shooting foul by G. Temple (drawn by C. Felicio)
6:02.0,,,36-37,1,C. Felicio makes free throw 1 of 2
6:02.0,,,36-38,1,C. Felicio makes free throw 2 of 2
6:02.0,D. Cousins enters the game for W. Cauley-Stein,,36-37,,
5:38.0,T. Lawson misses 2-pt shot from 21 ft,,36-38,,
5:36.0,,,36-38,,Defensive rebound by N. Mirotic
5:32.0,,,36-40,2,D. Wade makes 2-pt shot from 2 ft (assist by N. Mirotic)
5:28.0,Shooting foul by D. McDermott (drawn by D. Cousins),,36-40,,
5:28.0,D. Cousins makes free throw 1 of 2,1,37-40,,
5:28.0,D. Cousins makes free throw 2 of 2,1,38-40,,
5:28.0,K. Koufos enters the game for M. Barnes,,37-40,,
5:28.0,A. Afflalo enters the game for A. Tolliver,,37-40,,
5:28.0,,,37-40,,R. Lopez enters the game for C. Felicio
5:08.0,,,38-42,2,D. Wade makes 2-pt shot from 8 ft (assist by J. Butler)
4:50.0,D. Cousins makes 2-pt shot from 2 ft,2,40-42,,
4:39.0,,,40-44,2,R. Lopez makes 2-pt shot from 2 ft (assist by J. Butler)
4:16.0,G. Temple makes 2-pt shot at rim (assist by A. Afflalo),2,42-44,,
4:06.0,,,42-44,,J. Butler misses 2-pt shot from 2 ft (block by D. Cousins)
4:06.0,,,42-44,,Offensive rebound by Team
4:06.0,,,42-44,,T. Gibson enters the game for N. Mirotic
4:06.0,D. Collison enters the game for T. Lawson,,42-44,,
3:52.0,,,42-44,,Turnover by J. Butler (bad pass; steal by K. Koufos)
3:50.0,Shooting foul by R. Lopez (drawn by D. Cousins),,42-44,,
3:50.0,D. Cousins makes free throw 1 of 2,1,43-44,,
3:50.0,D. Cousins makes free throw 2 of 2,1,44-44,,
3:32.0,,,44-44,,Turnover by T. Gibson (3 sec)
3:11.0,D. Collison makes 2-pt shot from 19 ft,2,46-44,,
2:56.0,,,46-44,,T. Gibson misses 2-pt shot from 15 ft
2:54.0,,,46-44,,Offensive rebound by R. Lopez
2:50.0,,,46-46,2,R. Lopez makes 2-pt shot from 2 ft
2:46.0,D. Cousins misses 3-pt shot from 27 ft,,46-46,,
2:44.0,,,46-46,,Defensive rebound by D. Wade
2:36.0,,,46-46,,J. Butler misses 2-pt shot from 19 ft
2:36.0,,,46-46,,Offensive rebound by Team
2:36.0,,,46-46,,Chicago full timeout
2:36.0,,,46-46,,M. Carter-Williams enters the game for D. McDermott
2:34.0,Personal foul by A. Afflalo (drawn by J. Butler),,46-46,,
2:16.0,,,46-46,,M. Carter-Williams misses 3-pt shot from 27 ft
2:14.0,,,46-46,,Offensive rebound by D. Wade
2:11.0,,,46-46,,D. Wade misses 2-pt shot from 12 ft
2:10.0,Defensive rebound by G. Temple,,46-46,,
2:03.0,,,46-46,,Personal foul by R. Lopez (drawn by D. Cousins)
2:03.0,D. Cousins makes free throw 1 of 2,1,47-46,,
2:03.0,D. Cousins makes free throw 2 of 2,1,48-46,,
2:03.0,,,47-46,,C. Felicio enters the game for R. Lopez
2:03.0,A. Tolliver enters the game for A. Afflalo,,47-46,,
1:44.0,,,48-48,2,D. Wade makes 2-pt shot from 16 ft (assist by J. Butler)
1:33.0,A. Tolliver misses 3-pt shot from 23 ft,,48-48,,
1:32.0,,,48-48,,Defensive rebound by M. Carter-Williams
1:27.0,,,48-48,,D. Wade misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by K. Koufos,,48-48,,
1:18.0,G. Temple misses 3-pt shot from 24 ft,,48-48,,
1:16.0,Offensive rebound by K. Koufos,,48-48,,
1:14.0,K. Koufos makes 2-pt shot from 3 ft,2,50-48,,
1:08.0,Personal foul by D. Collison (drawn by D. Wade),,50-48,,
1:08.0,,,50-49,1,D. Wade makes free throw 1 of 2
1:08.0,,,50-50,1,D. Wade makes free throw 2 of 2
0:52.0,D. Cousins makes 2-pt shot at rim (assist by G. Temple),2,52-50,,
0:31.0,,,52-52,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
0:05.0,D. Collison misses 2-pt shot from 3 ft,,52-52,,
0:03.0,Offensive rebound by D. Collison,,52-52,,
0:02.0,D. Collison misses 2-pt shot from 3 ft,,52-52,,
0:02.0,,,52-52,,Defensive rebound by J. Butler
0:02.0,,,52-52,,Shooting foul by G. Temple (drawn by J. Butler)
0:02.0,,,52-53,1,J. Butler makes free throw 1 of 3
0:02.0,,,52-54,1,J. Butler makes free throw 2 of 3
0:02.0,,,52-55,1,J. Butler makes free throw 3 of 3
0:02.0,,,52-54,,P. Zipser enters the game for D. Wade
0:00.0,D. Collison misses 3-pt shot from 42 ft,,52-55,,
0:00.0,Offensive rebound by Team,,52-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-55,,Turnover by D. Wade (bad pass; steal by D. Cousins)
11:29.0,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple),2,54-55,,
11:10.0,,,54-57,2,T. Gibson makes 2-pt shot from 20 ft (assist by J. Butler)
10:51.0,D. Cousins makes 2-pt shot from 20 ft,2,56-57,,
10:32.0,,,56-59,2,T. Gibson makes 2-pt shot from 5 ft
10:13.0,D. Cousins makes 2-pt shot from 21 ft,2,58-59,,
10:01.0,,,58-59,,R. Lopez misses 2-pt shot from 4 ft
9:59.0,Defensive rebound by D. Cousins,,58-59,,
9:53.0,D. Cousins makes 2-pt shot from 18 ft,2,60-59,,
9:53.0,Shooting foul by R. Lopez (drawn by D. Cousins),,60-59,,
9:53.0,D. Cousins makes free throw 1 of 1,1,61-59,,
9:41.0,,,61-59,,M. Carter-Williams misses 2-pt shot from 10 ft
9:39.0,Defensive rebound by D. Cousins,,61-59,,
9:27.0,,,61-59,,Personal foul by M. Carter-Williams (drawn by D. Cousins)
9:12.0,D. Cousins misses 3-pt shot from 27 ft,,61-59,,
9:11.0,,,61-59,,Defensive rebound by M. Carter-Williams
9:05.0,,,61-59,,M. Carter-Williams misses 2-pt shot from 8 ft (block by K. Koufos)
9:05.0,,,61-59,,Offensive rebound by Team
9:01.0,,,61-59,,D. Wade misses 2-pt shot from 21 ft
8:58.0,Defensive rebound by D. Collison,,61-59,,
8:51.0,D. Collison misses 2-pt shot from 2 ft (block by T. Gibson),,61-59,,
8:49.0,,,61-59,,Defensive rebound by R. Lopez
8:49.0,Personal foul by D. Cousins (drawn by J. Butler),,61-59,,
8:41.0,Personal foul by D. Collison (drawn by D. Wade),,61-59,,
8:41.0,,,61-60,1,D. Wade makes free throw 1 of 2
8:41.0,,,61-61,1,D. Wade makes free throw 2 of 2
8:31.0,,,61-61,,Violation by D. Wade (kicked ball)
8:16.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Cousins),3,64-61,,
8:06.0,,,64-63,2,D. Wade makes 2-pt shot from 16 ft
7:50.0,A. Afflalo makes 3-pt shot from 23 ft (assist by G. Temple),3,67-63,,
7:27.0,,,67-63,,D. Wade misses 3-pt shot from 27 ft
7:26.0,Defensive rebound by D. Cousins,,67-63,,
7:08.0,D. Collison misses 2-pt shot from 2 ft,,67-63,,
7:08.0,,,67-63,,Defensive rebound by Team
7:08.0,Loose ball foul by K. Koufos (drawn by D. Wade),,67-63,,
6:44.0,,,67-63,,J. Butler misses 3-pt shot from 27 ft (block by G. Temple)
6:42.0,Defensive rebound by G. Temple,,67-63,,
6:42.0,Turnover by G. Temple (offensive foul),,67-63,,
6:42.0,Offensive charge foul by G. Temple,,67-63,,
6:30.0,,,67-63,,Turnover by D. Wade (lost ball; steal by G. Temple)
6:15.0,Shooting foul by T. Gibson (drawn by D. Cousins),,67-63,,
6:15.0,D. Cousins makes free throw 1 of 2,1,68-63,,
6:15.0,D. Cousins misses free throw 2 of 2,,68-63,,
6:15.0,M. Barnes enters the game for G. Temple,,68-63,,
6:15.0,,,68-63,,P. Zipser enters the game for D. Wade
6:13.0,,,68-63,,Defensive rebound by M. Carter-Williams
5:55.0,,,68-63,,T. Gibson misses 2-pt shot from 15 ft
5:54.0,Defensive rebound by K. Koufos,,68-63,,
5:39.0,D. Cousins makes 2-pt shot from 19 ft (assist by A. Afflalo),2,70-63,,
5:39.0,,,70-63,,Chicago full timeout
5:39.0,,,70-63,,N. Mirotic enters the game for R. Lopez
5:39.0,A. Tolliver enters the game for K. Koufos,,70-63,,
5:21.0,,,70-66,3,P. Zipser makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
5:01.0,Turnover by D. Cousins (lost ball; steal by T. Gibson),,70-66,,
4:56.0,,,70-66,,M. Carter-Williams misses 2-pt shot from 2 ft
4:52.0,,,70-66,,Offensive rebound by M. Carter-Williams
4:49.0,,,70-66,,Shooting foul by D. Cousins (drawn by T. Gibson)
4:49.0,,,70-67,1,T. Gibson makes free throw 1 of 2
4:49.0,,,70-67,,T. Gibson misses free throw 2 of 2
4:49.0,,,70-67,,D. McDermott enters the game for M. Carter-Williams
4:45.0,Defensive rebound by D. Cousins,,70-67,,
4:26.0,D. Cousins misses 2-pt shot from 18 ft,,70-67,,
4:23.0,,,70-67,,Defensive rebound by J. Butler
4:16.0,,,70-67,,Shooting foul by D. Cousins (drawn by J. Butler)
4:16.0,,,70-68,1,J. Butler makes free throw 1 of 2
4:16.0,,,70-69,1,J. Butler makes free throw 2 of 2
3:53.0,A. Tolliver makes 3-pt shot from 27 ft (assist by A. Afflalo),3,73-69,,
3:42.0,,,73-69,,Turnover by J. Butler (offensive foul)
3:42.0,,,73-69,,Offensive charge foul by J. Butler
3:19.0,A. Tolliver misses 3-pt shot from 27 ft,,73-69,,
3:17.0,,,73-69,,Defensive rebound by P. Zipser
3:08.0,,,73-69,,N. Mirotic misses 2-pt shot from 1 ft (block by A. Afflalo)
3:07.0,,,73-69,,Offensive rebound by P. Zipser
3:07.0,Personal foul by A. Tolliver (drawn by P. Zipser),,73-69,,
3:07.0,,,73-70,1,P. Zipser makes free throw 1 of 2
3:07.0,Sacramento full timeout,,73-70,,
3:07.0,,,73-71,1,P. Zipser makes free throw 2 of 2
3:07.0,,,73-70,,C. Felicio enters the game for T. Gibson
3:07.0,W. Cauley-Stein enters the game for D. Cousins,,73-70,,
2:44.0,M. Barnes misses 2-pt shot from 1 ft,,73-71,,
2:42.0,,,73-71,,Defensive rebound by C. Felicio
2:24.0,,,73-73,2,N. Mirotic makes 2-pt shot at rim (assist by C. Felicio)
1:59.0,M. Barnes misses 3-pt shot from 23 ft,,73-73,,
1:57.0,,,73-73,,Defensive rebound by C. Felicio
1:41.0,,,73-75,2,J. Butler makes 2-pt shot from 3 ft (assist by D. McDermott)
1:19.0,A. Afflalo misses 2-pt shot from 18 ft,,73-75,,
1:18.0,Offensive rebound by W. Cauley-Stein,,73-75,,
1:16.0,T. Lawson enters the game for D. Collison,,73-75,,
1:16.0,,,73-75,,D. Wade enters the game for J. Butler
1:01.0,Sacramento full timeout,,73-75,,
0:55.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,73-75,,
0:55.0,Offensive rebound by W. Cauley-Stein,,73-75,,
0:55.0,Turnover by Team (shot clock),,73-75,,
0:47.0,,,73-75,,D. Wade misses 2-pt shot from 3 ft
0:47.0,Defensive rebound by Team,,73-75,,
0:47.0,,,73-75,,Loose ball foul by C. Felicio (drawn by W. Cauley-Stein)
0:35.0,A. Afflalo misses 2-pt shot from 10 ft,,73-75,,
0:34.0,,,73-75,,Defensive rebound by C. Felicio
0:24.0,,,73-75,,N. Mirotic misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by M. Barnes,,73-75,,
0:02.0,T. Lawson misses 2-pt shot from 1 ft (block by D. Wade),,73-75,,
0:01.0,Offensive rebound by T. Lawson,,73-75,,
0:00.0,T. Lawson misses 2-pt shot from 2 ft (block by D. Wade),,73-75,,
0:00.0,Offensive rebound by Team,,73-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Barnes makes 3-pt shot from 24 ft (assist by T. Lawson),3,76-75,,
11:36.0,,,76-75,,Turnover by P. Zipser (traveling)
11:23.0,Shooting foul by N. Mirotic (drawn by W. Cauley-Stein),,76-75,,
11:23.0,W. Cauley-Stein misses free throw 1 of 2,,76-75,,
11:23.0,Offensive rebound by Team,,76-75,,
11:23.0,W. Cauley-Stein makes free throw 2 of 2,1,77-75,,
11:07.0,,,77-75,,D. McDermott misses 3-pt shot from 25 ft
11:05.0,,,77-75,,Offensive rebound by N. Mirotic
11:04.0,,,77-77,2,N. Mirotic makes 2-pt shot from 2 ft
10:43.0,G. Temple makes 3-pt shot from 23 ft (assist by T. Lawson),3,80-77,,
10:21.0,,,80-77,,Turnover by P. Zipser (back court)
10:07.0,T. Lawson makes 2-pt shot from 7 ft,2,82-77,,
10:07.0,Shooting foul by N. Mirotic (drawn by T. Lawson),,82-77,,
10:07.0,T. Lawson misses free throw 1 of 1,,82-77,,
10:05.0,,,82-77,,Defensive rebound by C. Felicio
9:48.0,,,82-77,,P. Zipser misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by W. Cauley-Stein,,82-77,,
9:36.0,A. Tolliver misses 3-pt shot from 25 ft,,82-77,,
9:35.0,,,82-77,,Defensive rebound by C. Felicio
9:27.0,,,82-77,,D. Wade misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by T. Lawson,,82-77,,
9:25.0,,,82-77,,Personal take foul by N. Mirotic (drawn by T. Lawson)
9:01.0,A. Tolliver misses 3-pt shot from 24 ft,,82-77,,
9:01.0,,,82-77,,Defensive rebound by N. Mirotic
8:54.0,,,82-77,,N. Mirotic misses 2-pt shot from 2 ft
8:54.0,,,82-77,,Offensive rebound by D. Wade
8:53.0,,,82-77,,D. Wade misses 2-pt shot from 2 ft
8:52.0,,,82-77,,Offensive rebound by N. Mirotic
8:52.0,,,82-77,,N. Mirotic misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by M. Barnes,,82-77,,
8:34.0,G. Temple misses 2-pt shot from 3 ft,,82-77,,
8:33.0,,,82-77,,Defensive rebound by C. Felicio
8:28.0,,,82-77,,Shooting foul by M. Barnes (drawn by D. Wade)
8:28.0,,,82-77,,Chicago full timeout
8:28.0,,,82-77,,D. Wade misses free throw 1 of 2
8:28.0,,,82-77,,Offensive rebound by Team
8:28.0,,,82-78,1,D. Wade makes free throw 2 of 2
8:28.0,,,82-77,,T. Gibson enters the game for P. Zipser
8:28.0,,,82-77,,J. Butler enters the game for C. Felicio
8:28.0,D. Cousins enters the game for W. Cauley-Stein,,82-77,,
8:08.0,D. Cousins makes 2-pt shot from 6 ft,2,84-78,,
7:45.0,,,84-78,,N. Mirotic misses 2-pt shot from 11 ft
7:43.0,Defensive rebound by D. Cousins,,84-78,,
7:37.0,T. Lawson misses 2-pt shot from 3 ft,,84-78,,
7:36.0,,,84-78,,Defensive rebound by J. Butler
7:32.0,,,84-78,,Shooting foul by G. Temple (drawn by J. Butler)
7:32.0,,,84-79,1,J. Butler makes free throw 1 of 2
7:32.0,,,84-80,1,J. Butler makes free throw 2 of 2
7:32.0,A. Afflalo enters the game for G. Temple,,84-79,,
7:32.0,,,84-79,,R. Lopez enters the game for N. Mirotic
7:19.0,Turnover by A. Tolliver (bad pass; steal by D. Wade),,84-80,,
7:13.0,,,84-82,2,D. Wade makes 2-pt shot from 3 ft
6:51.0,D. Cousins makes 2-pt shot from 3 ft,2,86-82,,
6:34.0,,,86-84,2,J. Butler makes 2-pt shot from 22 ft
6:09.0,D. Cousins misses 2-pt shot from 2 ft (block by T. Gibson),,86-84,,
6:06.0,Offensive rebound by D. Cousins,,86-84,,
6:05.0,D. Cousins misses 2-pt shot from 3 ft,,86-84,,
6:04.0,,,86-84,,Defensive rebound by D. Wade
5:53.0,,,86-84,,D. McDermott misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by D. Cousins,,86-84,,
5:39.0,D. Cousins misses 2-pt shot from 21 ft,,86-84,,
5:38.0,,,86-84,,Defensive rebound by D. Wade
5:34.0,,,86-84,,Shooting foul by T. Lawson (drawn by D. Wade)
5:34.0,,,86-84,,Chicago full timeout
5:34.0,,,86-85,1,D. Wade makes free throw 1 of 2
5:34.0,,,86-86,1,D. Wade makes free throw 2 of 2
5:34.0,K. Koufos enters the game for A. Tolliver,,86-84,,
5:34.0,,,86-85,,P. Zipser enters the game for D. McDermott
5:13.0,K. Koufos makes 2-pt shot from 5 ft (assist by M. Barnes),2,88-86,,
5:13.0,Shooting foul by T. Gibson (drawn by K. Koufos),,88-86,,
5:13.0,K. Koufos makes free throw 1 of 1,1,89-86,,
4:59.0,,,89-86,,Shooting foul by K. Koufos (drawn by D. Wade)
4:59.0,,,89-87,1,D. Wade makes free throw 1 of 2
4:59.0,,,89-88,1,D. Wade makes free throw 2 of 2
4:42.0,A. Afflalo misses 2-pt shot from 21 ft (block by D. Wade),,89-88,,
4:42.0,Offensive rebound by Team,,89-88,,
4:35.0,K. Koufos misses 2-pt shot from 7 ft,,89-88,,
4:34.0,,,89-88,,Defensive rebound by T. Gibson
4:18.0,,,89-88,,T. Gibson misses 2-pt shot from 13 ft (block by D. Cousins)
4:17.0,,,89-88,,Offensive rebound by Team
4:13.0,,,89-91,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Wade)
3:54.0,D. Cousins makes 2-pt shot from 2 ft,2,91-91,,
3:38.0,Personal foul by A. Afflalo (drawn by R. Lopez),,91-91,,
3:38.0,,,91-92,1,R. Lopez makes free throw 1 of 2
3:38.0,,,91-92,,R. Lopez misses free throw 2 of 2
