time,Charlotte,pts.away,score,pts.home,Denver
6:57.0,J. Lamb enters the game for M. Williams,,11-15,,
6:57.0,,,11-15,,D. Arthur enters the game for W. Chandler
6:45.0,,,11-15,,J. Nelson misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by M. Kidd-Gilchrist,,11-15,,
6:30.0,J. Lamb misses 2-pt shot from 7 ft,,11-15,,
6:30.0,,,11-15,,Defensive rebound by D. Arthur
6:11.0,,,11-15,,D. Gallinari misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by K. Walker,,11-15,,
6:00.0,K. Walker misses 2-pt shot from 2 ft,,11-15,,
5:59.0,,,11-15,,Defensive rebound by N. Jokic
5:53.0,Personal foul by M. Kidd-Gilchrist (drawn by D. Gallinari),,11-15,,
5:53.0,,,11-15,,Denver full timeout
5:46.0,,,11-17,2,N. Jokic makes 2-pt shot from 18 ft (assist by J. Nelson)
5:30.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,14-17,,
5:08.0,,,14-17,,D. Gallinari misses 2-pt shot from 21 ft
5:06.0,,,14-17,,Offensive rebound by D. Arthur
5:06.0,,,14-19,2,D. Arthur makes 2-pt shot from 1 ft
4:52.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum),2,16-19,,
4:33.0,,,16-19,,J. Nelson misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by J. Lamb,,16-19,,
4:20.0,K. Walker misses 2-pt shot from 3 ft,,16-19,,
4:19.0,Offensive rebound by C. Zeller,,16-19,,
4:19.0,C. Zeller makes 2-pt shot from 1 ft,2,18-19,,
4:08.0,,,18-19,,D. Gallinari misses 2-pt shot from 4 ft
4:07.0,Defensive rebound by C. Zeller,,18-19,,
4:02.0,,,18-19,,Personal foul by G. Harris (drawn by K. Walker)
4:02.0,,,18-19,,W. Barton enters the game for G. Harris
4:02.0,,,18-19,,M. Plumlee enters the game for N. Jokic
4:02.0,C. Wood enters the game for M. Kidd-Gilchrist,,18-19,,
4:02.0,B. Roberts enters the game for C. Zeller,,18-19,,
4:02.0,M. Williams enters the game for K. Walker,,18-19,,
3:51.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,21-19,,
3:32.0,,,21-19,,D. Gallinari misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by M. Williams,,21-19,,
3:17.0,N. Batum makes 2-pt shot from 13 ft (assist by B. Roberts),2,23-19,,
3:17.0,,,23-19,,Denver full timeout
3:17.0,,,23-19,,J. Hernangomez enters the game for D. Gallinari
3:17.0,,,23-19,,J. Murray enters the game for J. Nelson
3:00.0,,,23-19,,Turnover by D. Arthur (bad pass; steal by C. Wood)
2:54.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,26-19,,
2:35.0,,,26-19,,W. Barton misses 2-pt shot from 9 ft
2:34.0,Defensive rebound by J. Lamb,,26-19,,
2:26.0,J. Lamb makes 2-pt shot from 16 ft,2,28-19,,
2:16.0,,,28-19,,M. Plumlee misses 2-pt shot from 6 ft (block by C. Wood)
2:14.0,Defensive rebound by Team,,28-19,,
2:14.0,M. Belinelli enters the game for N. Batum,,28-19,,
2:14.0,Jump ball: M. Plumlee vs. C. Wood (J. Lamb gains possession),,,,Jump ball: M. Plumlee vs. C. Wood (J. Lamb gains possession)
1:57.0,B. Roberts misses 2-pt shot from 2 ft,,28-19,,
1:55.0,,,28-19,,Defensive rebound by M. Plumlee
1:45.0,,,28-19,,W. Barton misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by M. Belinelli,,28-19,,
1:34.0,J. Lamb makes 3-pt shot from 25 ft (assist by M. Belinelli),3,31-19,,
1:28.0,Personal foul by J. Lamb (drawn by W. Barton),,31-19,,
1:22.0,,,31-21,2,J. Murray makes 2-pt shot at rim (assist by W. Barton)
1:10.0,Turnover by J. Lamb (bad pass; steal by J. Murray),,31-21,,
1:05.0,,,31-23,2,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray)
0:38.0,M. Belinelli misses 3-pt shot from 28 ft,,31-23,,
0:36.0,,,31-23,,Defensive rebound by J. Murray
0:32.0,,,31-23,,D. Arthur misses 3-pt shot from 26 ft
0:30.0,,,31-23,,Offensive rebound by J. Hernangomez
0:29.0,,,31-23,,J. Hernangomez misses 2-pt shot from 2 ft (block by C. Wood)
0:28.0,,,31-23,,Offensive rebound by Team
0:15.0,,,31-23,,Offensive foul by W. Barton
0:15.0,,,31-23,,Turnover by W. Barton (offensive foul)
0:01.0,M. Belinelli misses 2-pt shot from 17 ft (block by D. Arthur),,31-23,,
0:00.0,Offensive rebound by Team,,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Belinelli misses 2-pt shot from 4 ft,,31-23,,
11:42.0,Offensive rebound by J. Lamb,,31-23,,
11:38.0,J. Lamb makes 2-pt shot from 2 ft,2,33-23,,
11:11.0,,,33-26,3,J. Murray makes 3-pt shot from 26 ft (assist by W. Barton)
10:54.0,B. Roberts makes 3-pt shot from 25 ft (assist by M. Belinelli),3,36-26,,
10:41.0,,,36-29,3,J. Murray makes 3-pt shot from 26 ft (assist by M. Plumlee)
10:36.0,Charlotte full timeout,,36-29,,
10:36.0,J. O'Bryant enters the game for C. Wood,,36-29,,
10:18.0,B. Roberts misses 2-pt shot from 4 ft,,36-29,,
10:17.0,Offensive rebound by M. Williams,,36-29,,
10:16.0,M. Williams misses 2-pt shot from 2 ft,,36-29,,
10:15.0,Offensive rebound by M. Williams,,36-29,,
10:15.0,M. Williams misses 2-pt shot from 2 ft,,36-29,,
10:14.0,Offensive rebound by M. Williams,,36-29,,
10:13.0,M. Williams makes 2-pt shot from 2 ft,2,38-29,,
9:53.0,,,38-29,,D. Gallinari misses 3-pt shot from 23 ft
9:53.0,,,38-29,,Offensive rebound by M. Plumlee
9:53.0,,,38-29,,Shooting foul by M. Williams (drawn by D. Gallinari)
9:53.0,,,38-30,1,D. Gallinari makes free throw 1 of 2
9:53.0,,,38-31,1,D. Gallinari makes free throw 2 of 2
9:34.0,M. Belinelli misses 2-pt shot from 19 ft,,38-31,,
9:33.0,,,38-31,,Defensive rebound by M. Plumlee
9:12.0,,,38-31,,J. Murray misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by B. Roberts,,38-31,,
9:05.0,,,38-31,,Personal foul by M. Plumlee (drawn by B. Roberts)
9:05.0,K. Walker enters the game for B. Roberts,,38-31,,
9:05.0,,,38-31,,G. Harris enters the game for J. Hernangomez
8:47.0,J. O'Bryant makes 2-pt shot from 10 ft,2,40-31,,
8:34.0,,,40-31,,Shooting foul by J. Lamb (drawn by D. Gallinari)
8:34.0,,,40-32,1,D. Gallinari makes free throw 1 of 2
8:34.0,,,40-33,1,D. Gallinari makes free throw 2 of 2
8:13.0,J. Lamb makes 2-pt shot from 4 ft,2,42-33,,
8:05.0,,,42-33,,J. Murray misses 2-pt shot from 4 ft (block by K. Walker)
8:04.0,Defensive rebound by Team,,42-33,,
8:04.0,N. Batum enters the game for J. Lamb,,42-33,,
8:04.0,C. Zeller enters the game for J. O'Bryant,,42-33,,
7:47.0,M. Belinelli misses 3-pt shot from 26 ft,,42-33,,
7:45.0,,,42-33,,Defensive rebound by W. Barton
7:39.0,,,42-33,,W. Barton misses 2-pt shot from 2 ft (block by M. Williams)
7:38.0,,,42-33,,Offensive rebound by W. Barton
7:21.0,Personal foul by C. Zeller (drawn by D. Gallinari),,42-33,,
7:21.0,,,42-34,1,D. Gallinari makes free throw 1 of 2
7:21.0,,,42-35,1,D. Gallinari makes free throw 2 of 2
7:21.0,,,42-34,,N. Jokic enters the game for M. Plumlee
6:56.0,K. Walker misses 2-pt shot from 17 ft,,42-35,,
6:55.0,Offensive rebound by M. Williams,,42-35,,
6:55.0,Shooting foul by W. Barton (drawn by M. Williams),,42-35,,
6:55.0,M. Williams makes free throw 1 of 2,1,43-35,,
6:55.0,M. Williams makes free throw 2 of 2,1,44-35,,
6:55.0,,,43-35,,W. Chandler enters the game for D. Gallinari
6:34.0,,,44-35,,N. Jokic misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by M. Williams,,44-35,,
6:23.0,N. Batum makes 3-pt shot from 23 ft (assist by M. Belinelli),3,47-35,,
6:10.0,,,47-37,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
5:46.0,M. Williams makes 2-pt shot from 5 ft (assist by N. Batum),2,49-37,,
5:32.0,,,49-37,,G. Harris misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by M. Belinelli,,49-37,,
5:24.0,Shooting foul by J. Murray (drawn by C. Zeller),,49-37,,
5:24.0,Official timeout,,49-37,,
5:24.0,C. Zeller makes free throw 1 of 2,1,50-37,,
5:24.0,C. Zeller makes free throw 2 of 2,1,51-37,,
5:24.0,M. Kidd-Gilchrist enters the game for M. Williams,,49-37,,
5:24.0,,,49-37,,J. Nelson enters the game for J. Murray
5:00.0,,,51-40,3,W. Chandler makes 3-pt shot from 24 ft
4:44.0,,,51-40,,Violation by G. Harris (kicked ball)
4:38.0,Turnover by N. Batum (bad pass; steal by G. Harris),,51-40,,
4:32.0,,,51-40,,J. Nelson misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by C. Zeller,,51-40,,
4:31.0,,,51-40,,Loose ball foul by W. Barton (drawn by C. Zeller)
4:31.0,,,51-40,,D. Gallinari enters the game for W. Barton
4:19.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,51-40,,
4:19.0,,,51-40,,Defensive rebound by N. Jokic
4:10.0,,,51-42,2,D. Gallinari makes 2-pt shot from 21 ft (assist by N. Jokic)
3:58.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,51-42,,
3:57.0,,,51-42,,Defensive rebound by W. Chandler
3:45.0,,,51-44,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson)
3:33.0,,,51-44,,Def 3 sec tech foul by W. Chandler
3:33.0,N. Batum makes technical free throw,1,52-44,,
3:33.0,M. Williams enters the game for C. Zeller,,52-44,,
3:18.0,K. Walker misses 3-pt shot from 22 ft,,52-44,,
3:15.0,Offensive rebound by M. Williams,,52-44,,
3:11.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,55-44,,
2:57.0,,,55-46,2,N. Jokic makes 2-pt shot at rim (assist by W. Chandler)
2:57.0,,,55-46,,Shooting foul by M. Williams (drawn by N. Jokic)
2:57.0,,,55-46,,Denver full timeout
2:57.0,,,55-47,1,N. Jokic makes free throw 1 of 1
2:57.0,J. O'Bryant enters the game for M. Williams,,55-46,,
2:36.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,55-47,,
2:35.0,Offensive rebound by J. O'Bryant,,55-47,,
2:35.0,J. O'Bryant misses 2-pt shot from 1 ft,,55-47,,
2:33.0,,,55-47,,Defensive rebound by N. Jokic
2:13.0,,,55-47,,W. Chandler misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by J. O'Bryant,,55-47,,
1:57.0,J. O'Bryant makes 2-pt shot from 12 ft (assist by K. Walker),2,57-47,,
1:37.0,,,57-50,3,J. Nelson makes 3-pt shot from 26 ft (assist by G. Harris)
1:19.0,K. Walker makes 2-pt shot from 17 ft,2,59-50,,
0:55.0,,,59-50,,J. Nelson misses 2-pt shot from 22 ft
0:53.0,Defensive rebound by J. O'Bryant,,59-50,,
0:41.0,K. Walker misses 2-pt shot from 15 ft,,59-50,,
0:40.0,,,59-50,,Defensive rebound by W. Chandler
0:25.0,,,59-50,,Turnover by N. Jokic (lost ball; steal by M. Kidd-Gilchrist)
0:22.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,61-50,,
0:18.0,,,61-50,,Denver full timeout
0:05.0,,,61-52,2,N. Jokic makes 2-pt shot from 7 ft (assist by J. Nelson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,N. Batum makes 2-pt shot from 16 ft (assist by M. Williams),2,63-52,,
11:24.0,Personal foul by N. Batum (drawn by D. Gallinari),,63-52,,
11:12.0,,,63-52,,D. Gallinari misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by M. Williams,,63-52,,
11:02.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,65-52,,
10:46.0,,,65-52,,Turnover by G. Harris (bad pass; steal by K. Walker)
10:27.0,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams),3,68-52,,
10:27.0,,,68-52,,Denver full timeout
10:15.0,,,68-52,,Turnover by J. Nelson (bad pass; steal by K. Walker)
10:06.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,71-52,,
9:51.0,Violation by N. Batum (def goaltending),,71-52,,
9:51.0,,,71-54,2,N. Jokic makes 2-pt shot from 4 ft (assist by W. Chandler)
9:29.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,71-54,,
9:28.0,,,71-54,,Defensive rebound by N. Jokic
9:18.0,Personal foul by M. Williams (drawn by W. Chandler),,71-54,,
9:02.0,,,71-54,,D. Gallinari misses 2-pt shot from 5 ft (block by M. Williams)
9:00.0,Defensive rebound by C. Zeller,,71-54,,
8:45.0,C. Zeller misses 2-pt shot from 1 ft,,71-54,,
8:43.0,Offensive rebound by M. Kidd-Gilchrist,,71-54,,
8:43.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,73-54,,
8:27.0,,,73-56,2,N. Jokic makes 2-pt shot from 2 ft
8:08.0,Turnover by M. Williams (lost ball; steal by D. Gallinari),,73-56,,
7:58.0,,,73-56,,Turnover by J. Nelson (traveling)
7:40.0,K. Walker makes 3-pt shot from 26 ft (assist by C. Zeller),3,76-56,,
7:32.0,,,76-56,,Turnover by N. Jokic (bad pass; steal by M. Kidd-Gilchrist)
7:31.0,,,76-56,,Personal foul by N. Jokic (drawn by K. Walker)
7:31.0,,,76-56,,W. Barton enters the game for G. Harris
7:16.0,,,76-56,,Personal foul by D. Gallinari (drawn by M. Williams)
6:59.0,K. Walker misses 2-pt shot from 15 ft,,76-56,,
6:58.0,,,76-56,,Defensive rebound by W. Barton
6:48.0,,,76-56,,W. Chandler misses 3-pt shot from 23 ft
6:47.0,,,76-56,,Offensive rebound by Team
6:39.0,,,76-58,2,N. Jokic makes 2-pt shot at rim
6:20.0,N. Batum makes 2-pt shot from 19 ft,2,78-58,,
6:01.0,,,78-58,,W. Barton misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist)
5:59.0,Defensive rebound by C. Zeller,,78-58,,
5:53.0,K. Walker misses 3-pt shot from 26 ft,,78-58,,
5:51.0,,,78-58,,Defensive rebound by N. Jokic
5:45.0,Shooting block foul by C. Zeller (drawn by D. Gallinari),,78-58,,
5:45.0,,,78-59,1,D. Gallinari makes free throw 1 of 2
5:45.0,,,78-60,1,D. Gallinari makes free throw 2 of 2
5:45.0,J. Lamb enters the game for M. Williams,,78-59,,
5:29.0,Turnover by N. Batum (bad pass; steal by N. Jokic),,78-60,,
5:13.0,,,78-60,,Shooting foul by C. Zeller (drawn by N. Jokic)
5:13.0,,,78-61,1,N. Jokic makes free throw 1 of 2
5:13.0,,,78-62,1,N. Jokic makes free throw 2 of 2
5:13.0,J. O'Bryant enters the game for C. Zeller,,78-61,,
4:50.0,J. O'Bryant makes 2-pt shot from 3 ft (assist by N. Batum),2,80-62,,
4:39.0,,,80-65,3,J. Nelson makes 3-pt shot from 25 ft
4:20.0,N. Batum misses 2-pt shot from 11 ft,,80-65,,
4:19.0,,,80-65,,Defensive rebound by N. Jokic
4:16.0,Personal foul by J. Lamb (drawn by W. Chandler),,80-65,,
4:16.0,,,80-65,,W. Chandler misses free throw 1 of 2
4:16.0,,,80-65,,Offensive rebound by Team
4:16.0,,,80-66,1,W. Chandler makes free throw 2 of 2
4:16.0,,,80-65,,J. Murray enters the game for J. Nelson
4:01.0,K. Walker misses 2-pt shot from 3 ft,,80-66,,
4:01.0,,,80-66,,Defensive rebound by D. Gallinari
3:50.0,,,80-69,3,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton)
3:49.0,Charlotte full timeout,,80-69,,
3:49.0,M. Williams enters the game for M. Kidd-Gilchrist,,80-69,,
3:49.0,,,80-69,,D. Arthur enters the game for W. Chandler
3:28.0,N. Batum misses 3-pt shot from 23 ft,,80-69,,
3:27.0,,,80-69,,Defensive rebound by D. Gallinari
3:14.0,,,80-71,2,N. Jokic makes 2-pt shot from 4 ft
2:59.0,K. Walker makes 3-pt shot from 24 ft,3,83-71,,
2:38.0,,,83-71,,D. Gallinari misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by M. Williams,,83-71,,
2:29.0,K. Walker misses 2-pt shot from 2 ft (block by W. Barton),,83-71,,
2:27.0,,,83-71,,Defensive rebound by N. Jokic
2:22.0,,,83-71,,D. Arthur misses 2-pt shot from 18 ft
2:22.0,,,83-71,,Offensive rebound by N. Jokic
2:18.0,,,83-73,2,N. Jokic makes 2-pt shot from 2 ft
1:57.0,J. O'Bryant makes 2-pt shot at rim (assist by N. Batum),2,85-73,,
1:44.0,,,85-73,,Shooting foul by J. O'Bryant (drawn by N. Jokic)
1:44.0,,,85-74,1,N. Jokic makes free throw 1 of 3
1:44.0,,,85-74,,N. Jokic misses free throw 2 of 3
1:44.0,,,85-74,,Offensive rebound by Team
1:44.0,,,85-75,1,N. Jokic makes free throw 3 of 3
1:44.0,M. Belinelli enters the game for N. Batum,,85-74,,
1:44.0,,,85-74,,J. Hernangomez enters the game for D. Gallinari
1:30.0,K. Walker makes 2-pt shot from 2 ft,2,87-75,,
1:23.0,Personal foul by J. O'Bryant (drawn by W. Barton),,87-75,,
1:23.0,,,87-76,1,W. Barton makes free throw 1 of 2
1:23.0,,,87-77,1,W. Barton makes free throw 2 of 2
1:23.0,,,87-76,,M. Plumlee enters the game for N. Jokic
1:04.0,J. Lamb misses 3-pt shot from 25 ft,,87-77,,
1:04.0,,,87-77,,Defensive rebound by W. Barton
0:55.0,,,87-79,2,D. Arthur makes 2-pt shot at rim (assist by J. Murray)
0:31.0,J. Lamb makes 3-pt shot from 30 ft (assist by J. O'Bryant),3,90-79,,
0:14.0,,,90-79,,W. Barton misses 2-pt shot from 1 ft
0:13.0,,,90-79,,Offensive rebound by M. Plumlee
0:12.0,,,90-79,,M. Plumlee misses 2-pt shot from 1 ft
0:11.0,Defensive rebound by J. O'Bryant,,90-79,,
0:10.0,,,90-79,,Personal foul by M. Plumlee (drawn by J. O'Bryant)
0:00.0,K. Walker misses 2-pt shot from 2 ft,,90-79,,
0:00.0,Offensive rebound by Team,,90-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,90-79,,Offensive foul by M. Plumlee
11:51.0,,,90-79,,Turnover by M. Plumlee (offensive foul)
11:38.0,,,90-79,,Personal foul by M. Plumlee (drawn by M. Belinelli)
11:28.0,J. O'Bryant makes 3-pt shot from 25 ft (assist by B. Roberts),3,93-79,,
11:15.0,,,93-81,2,M. Plumlee makes 2-pt shot from 2 ft
11:15.0,,,93-81,,Shooting foul by M. Williams (drawn by M. Plumlee)
11:15.0,,,93-81,,Turnover by J. Hernangomez (lane violation.)
10:57.0,J. Lamb misses 2-pt shot from 12 ft,,93-81,,
10:57.0,Offensive rebound by J. O'Bryant,,93-81,,
10:36.0,B. Roberts misses 2-pt shot from 21 ft,,93-81,,
10:35.0,,,93-81,,Defensive rebound by D. Arthur
10:25.0,,,93-81,,W. Barton misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by M. Williams,,93-81,,
10:10.0,M. Belinelli misses 2-pt shot from 15 ft,,93-81,,
10:10.0,,,93-81,,Defensive rebound by D. Arthur
10:00.0,,,93-83,2,J. Murray makes 2-pt shot from 2 ft
9:41.0,J. Lamb misses 2-pt shot from 3 ft (block by M. Plumlee),,93-83,,
9:39.0,Offensive rebound by J. O'Bryant,,93-83,,
9:38.0,J. O'Bryant makes 2-pt shot from 2 ft,2,95-83,,
9:29.0,,,95-83,,J. Murray misses 2-pt shot from 15 ft
9:27.0,,,95-83,,Offensive rebound by M. Plumlee
9:19.0,,,95-83,,D. Arthur misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by J. Lamb,,95-83,,
9:03.0,B. Roberts misses 3-pt shot from 25 ft,,95-83,,
9:01.0,,,95-83,,Defensive rebound by D. Arthur
8:54.0,,,95-83,,Turnover by M. Plumlee (lost ball; steal by J. Lamb)
8:48.0,,,95-83,,Personal foul by D. Arthur (drawn by M. Belinelli)
8:48.0,Official timeout,,95-83,,
8:48.0,K. Walker enters the game for B. Roberts,,95-83,,
8:37.0,J. Lamb misses 2-pt shot from 11 ft,,95-83,,
8:37.0,,,95-83,,Defensive rebound by J. Hernangomez
8:22.0,,,95-83,,Turnover by J. Murray (bad pass; steal by M. Belinelli)
8:03.0,J. O'Bryant makes 2-pt shot from 22 ft (assist by K. Walker),2,97-83,,
7:39.0,,,97-86,3,J. Hernangomez makes 3-pt shot from 28 ft (assist by W. Barton)
7:22.0,J. O'Bryant misses 3-pt shot from 26 ft,,97-86,,
7:21.0,,,97-86,,Defensive rebound by M. Plumlee
7:13.0,,,97-86,,Shooting foul by J. O'Bryant (drawn by M. Plumlee)
7:13.0,,,97-88,2,M. Plumlee makes 2-pt shot from 7 ft
7:13.0,,,97-89,1,M. Plumlee makes free throw 1 of 1
7:13.0,C. Zeller enters the game for J. Lamb,,97-88,,
7:13.0,J. Lamb enters the game for J. O'Bryant,,97-88,,
7:13.0,,,97-88,,J. Nelson enters the game for J. Hernangomez
6:59.0,M. Belinelli makes 3-pt shot from 24 ft (assist by C. Zeller),3,100-89,,
6:59.0,,,100-89,,Denver full timeout
6:59.0,N. Batum enters the game for J. Lamb,,100-89,,
6:59.0,,,100-89,,W. Chandler enters the game for D. Arthur
6:59.0,,,100-89,,N. Jokic enters the game for M. Plumlee
6:44.0,Violation by M. Belinelli (kicked ball),,100-89,,
6:31.0,,,100-89,,W. Chandler misses 2-pt shot from 21 ft
6:30.0,Defensive rebound by K. Walker,,100-89,,
6:14.0,N. Batum misses 3-pt shot from 25 ft,,100-89,,
6:14.0,,,100-89,,Defensive rebound by J. Murray
6:01.0,,,100-89,,W. Chandler misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by M. Williams,,100-89,,
5:38.0,K. Walker misses 2-pt shot from 15 ft,,100-89,,
5:37.0,Offensive rebound by M. Williams,,100-89,,
5:36.0,Turnover by Team (shot clock),,100-89,,
5:15.0,,,100-92,3,W. Barton makes 3-pt shot from 26 ft (assist by J. Murray)
4:59.0,Turnover by K. Walker (bad pass; steal by J. Murray),,100-92,,
4:54.0,,,100-94,2,J. Murray makes 2-pt shot from 1 ft
4:54.0,Charlotte full timeout,,100-94,,
4:54.0,,,100-94,,D. Gallinari enters the game for W. Chandler
4:41.0,C. Zeller misses 2-pt shot from 2 ft,,100-94,,
4:41.0,,,100-94,,Defensive rebound by N. Jokic
4:33.0,,,100-96,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
4:19.0,M. Belinelli misses 2-pt shot from 15 ft,,100-96,,
4:18.0,Offensive rebound by Team,,100-96,,
4:18.0,,,100-96,,Personal foul by J. Nelson (drawn by C. Zeller)
4:10.0,K. Walker makes 3-pt shot from 25 ft,3,103-96,,
3:44.0,,,103-96,,N. Jokic misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by M. Belinelli,,103-96,,
3:27.0,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum),2,105-96,,
3:11.0,,,105-96,,W. Barton misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by N. Batum,,105-96,,
3:05.0,Shooting foul by J. Murray (drawn by K. Walker),,105-96,,
3:05.0,K. Walker makes free throw 1 of 2,1,106-96,,
3:05.0,K. Walker makes free throw 2 of 2,1,107-96,,
2:43.0,,,107-96,,D. Gallinari misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by N. Batum,,107-96,,
2:25.0,N. Batum misses 2-pt shot from 16 ft,,107-96,,
2:25.0,,,107-96,,Defensive rebound by D. Gallinari
2:19.0,,,107-96,,J. Murray misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by C. Zeller,,107-96,,
1:58.0,C. Zeller misses 2-pt shot from 3 ft,,107-96,,
1:56.0,Offensive rebound by K. Walker,,107-96,,
1:54.0,,,107-96,,Personal foul by D. Gallinari (drawn by K. Walker)
1:54.0,K. Walker makes free throw 1 of 2,1,108-96,,
