time,New Orleans,pts.away,score,pts.home,Denver
7:23.0,,,7-9,,G. Harris misses 2-pt shot from 2 ft
7:22.0,,,7-9,,Offensive rebound by N. Jokic
7:21.0,,,7-9,,N. Jokic misses 2-pt shot from 2 ft
7:20.0,,,7-9,,Offensive rebound by N. Jokic
7:20.0,,,7-9,,Shooting foul by D. Cunningham (drawn by N. Jokic)
7:20.0,,,7-10,1,N. Jokic makes free throw 1 of 2
7:20.0,,,7-10,,N. Jokic misses free throw 2 of 2
7:20.0,A. Ajinca enters the game for D. Cunningham,,7-10,,
7:18.0,,,7-10,,Offensive rebound by J. Murray
7:11.0,,,7-12,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
6:50.0,A. Davis makes 2-pt shot from 10 ft,2,9-12,,
6:40.0,,,9-12,,N. Jokic misses 2-pt shot from 2 ft
6:40.0,Defensive rebound by Team,,9-12,,
6:40.0,,,9-12,,Loose ball foul by K. Faried (drawn by A. Davis)
6:40.0,,,9-12,,M. Plumlee enters the game for K. Faried
6:26.0,A. Davis misses 2-pt shot from 5 ft,,9-12,,
6:24.0,Offensive rebound by A. Ajinca,,9-12,,
6:23.0,A. Ajinca makes 2-pt shot at rim,2,11-12,,
6:04.0,,,11-14,2,D. Gallinari makes 2-pt shot at rim
5:50.0,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday),3,14-14,,
5:32.0,,,14-16,2,N. Jokic makes 2-pt shot from 4 ft (assist by D. Gallinari)
5:22.0,A. Davis misses 3-pt shot from 28 ft,,14-16,,
5:21.0,Offensive rebound by A. Ajinca,,14-16,,
5:16.0,J. Holiday misses 3-pt shot from 26 ft,,14-16,,
5:14.0,Offensive rebound by A. Davis,,14-16,,
5:14.0,A. Davis misses 2-pt shot at rim,,14-16,,
5:12.0,,,14-16,,Defensive rebound by N. Jokic
5:11.0,Personal foul by A. Davis (drawn by N. Jokic),,14-16,,
5:11.0,,,14-16,,Denver full timeout
5:11.0,,,14-17,1,N. Jokic makes free throw 1 of 2
5:11.0,,,14-18,1,N. Jokic makes free throw 2 of 2
5:11.0,,,14-17,,E. Mudiay enters the game for J. Murray
5:11.0,,,14-17,,W. Chandler enters the game for D. Gallinari
5:11.0,D. Motiejunas enters the game for A. Davis,,14-17,,
4:57.0,E. Moore misses 3-pt shot from 23 ft,,14-18,,
4:56.0,,,14-18,,Defensive rebound by W. Chandler
4:43.0,,,14-21,3,N. Jokic makes 3-pt shot from 27 ft (assist by M. Plumlee)
4:28.0,E. Moore makes 3-pt shot from 25 ft (assist by J. Holiday),3,17-21,,
4:04.0,,,17-21,,Turnover by N. Jokic (bad pass; steal by S. Hill)
3:51.0,A. Ajinca misses 2-pt shot from 3 ft (block by M. Plumlee),,17-21,,
3:49.0,,,17-21,,Defensive rebound by G. Harris
3:41.0,,,17-21,,E. Mudiay misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by S. Hill,,17-21,,
3:32.0,S. Hill misses 2-pt shot from 14 ft,,17-21,,
3:30.0,,,17-21,,Defensive rebound by G. Harris
3:24.0,,,17-21,,W. Chandler misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by E. Moore,,17-21,,
3:07.0,J. Holiday makes 2-pt shot from 6 ft,2,19-21,,
2:46.0,,,19-21,,G. Harris misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by S. Hill,,19-21,,
2:40.0,Turnover by S. Hill (lost ball; steal by G. Harris),,19-21,,
2:35.0,,,19-23,2,G. Harris makes 2-pt shot at rim
2:20.0,Turnover by E. Moore (bad pass; steal by N. Jokic),,19-23,,
2:18.0,New Orleans full timeout,,19-23,,
2:18.0,Q. Cook enters the game for J. Holiday,,19-23,,
2:18.0,D. Cunningham enters the game for S. Hill,,19-23,,
2:18.0,J. Crawford enters the game for E. Moore,,19-23,,
2:18.0,,,19-23,,J. Murray enters the game for N. Jokic
2:18.0,,,19-23,,D. Gallinari enters the game for G. Harris
2:06.0,,,19-26,3,D. Gallinari makes 3-pt shot from 29 ft (assist by M. Plumlee)
1:53.0,J. Crawford misses 3-pt shot from 27 ft,,19-26,,
1:52.0,,,19-26,,Defensive rebound by M. Plumlee
1:39.0,,,19-26,,E. Mudiay misses 2-pt shot from 16 ft
1:37.0,,,19-26,,Offensive rebound by E. Mudiay
1:27.0,,,19-28,2,J. Murray makes 2-pt shot at rim (assist by M. Plumlee)
1:11.0,D. Motiejunas misses 2-pt shot from 7 ft,,19-28,,
1:11.0,,,19-28,,Defensive rebound by D. Gallinari
1:03.0,,,19-28,,D. Gallinari misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by Q. Cook,,19-28,,
0:57.0,,,19-28,,Personal foul by W. Chandler (drawn by D. Motiejunas)
0:42.0,J. Crawford makes 2-pt shot from 11 ft,2,21-28,,
0:37.0,,,21-30,2,J. Murray makes 2-pt shot at rim (assist by E. Mudiay)
0:23.0,A. Ajinca makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,23-30,,
0:06.0,,,23-30,,Turnover by M. Plumlee (bad pass; steal by A. Ajinca)
0:02.0,J. Crawford makes 2-pt shot from 2 ft,2,25-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,25-32,2,J. Murray makes 2-pt shot from 1 ft
11:14.0,J. Crawford misses 2-pt shot from 6 ft,,25-32,,
11:13.0,,,25-32,,Defensive rebound by Team
10:58.0,,,25-34,2,W. Chandler makes 2-pt shot from 5 ft (assist by J. Murray)
10:43.0,D. Cunningham makes 2-pt shot from 20 ft (assist by Q. Cook),2,27-34,,
10:31.0,,,27-36,2,M. Plumlee makes 2-pt shot at rim (assist by E. Mudiay)
10:27.0,New Orleans full timeout,,27-36,,
10:18.0,Q. Cook misses 2-pt shot from 18 ft,,27-36,,
10:17.0,,,27-36,,Defensive rebound by W. Chandler
10:04.0,,,27-38,2,M. Plumlee makes 2-pt shot at rim (assist by J. Murray)
9:47.0,D. Motiejunas misses 3-pt shot from 25 ft,,27-38,,
9:47.0,,,27-38,,Defensive rebound by W. Chandler
9:38.0,,,27-38,,Turnover by J. Murray (bad pass; steal by S. Hill)
9:35.0,,,27-38,,Personal take foul by D. Gallinari (drawn by S. Hill)
9:35.0,A. Davis enters the game for D. Motiejunas,,27-38,,
9:25.0,A. Davis misses 2-pt shot from 19 ft,,27-38,,
9:24.0,,,27-38,,Defensive rebound by M. Plumlee
9:04.0,,,27-38,,M. Plumlee misses 2-pt shot from 3 ft (block by D. Cunningham)
9:03.0,Defensive rebound by J. Crawford,,27-38,,
8:58.0,J. Crawford makes 2-pt shot from 4 ft,2,29-38,,
8:58.0,,,29-38,,Denver full timeout
8:58.0,,,29-38,,G. Harris enters the game for D. Gallinari
8:58.0,,,29-38,,K. Faried enters the game for J. Murray
8:43.0,,,29-38,,G. Harris misses 2-pt shot from 7 ft
8:43.0,Defensive rebound by A. Davis,,29-38,,
8:37.0,J. Crawford makes 2-pt shot from 17 ft,2,31-38,,
8:37.0,Shooting foul by G. Harris (drawn by J. Crawford),,31-38,,
8:37.0,J. Crawford misses free throw 1 of 1,,31-38,,
8:36.0,,,31-38,,Defensive rebound by K. Faried
8:20.0,,,31-38,,Shooting foul by A. Davis (drawn by M. Plumlee)
8:20.0,,,31-38,,M. Plumlee misses free throw 1 of 2
8:20.0,,,31-38,,Offensive rebound by Team
8:20.0,,,31-38,,M. Plumlee misses free throw 2 of 2
8:19.0,Defensive rebound by A. Davis,,31-38,,
7:57.0,A. Davis makes 2-pt shot at rim,2,33-38,,
7:38.0,,,33-40,2,K. Faried makes 2-pt shot from 2 ft (assist by G. Harris)
7:22.0,Shooting foul by M. Plumlee (drawn by A. Davis),,33-40,,
7:22.0,A. Davis makes 2-pt shot from 3 ft (assist by Q. Cook),2,35-40,,
7:22.0,A. Davis makes free throw 1 of 1,1,36-40,,
7:22.0,,,35-40,,N. Jokic enters the game for M. Plumlee
7:06.0,Violation by A. Davis (kicked ball),,36-40,,
7:06.0,A. Ajinca enters the game for D. Cunningham,,36-40,,
7:03.0,,,36-40,,G. Harris misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by A. Ajinca,,36-40,,
6:45.0,A. Davis misses 2-pt shot from 18 ft,,36-40,,
6:44.0,,,36-40,,Defensive rebound by W. Chandler
6:37.0,,,36-40,,Turnover by E. Mudiay (bad pass; steal by J. Crawford)
6:29.0,Q. Cook makes 2-pt shot from 2 ft (assist by J. Crawford),2,38-40,,
6:16.0,,,38-40,,Turnover by N. Jokic (bad pass)
6:16.0,J. Holiday enters the game for Q. Cook,,38-40,,
5:52.0,A. Davis misses 2-pt shot from 14 ft,,38-40,,
5:51.0,,,38-40,,Defensive rebound by K. Faried
5:48.0,,,38-40,,Turnover by K. Faried (bad pass)
5:48.0,Official timeout,,38-40,,
5:48.0,,,38-40,,D. Gallinari enters the game for E. Mudiay
5:48.0,,,38-40,,J. Murray enters the game for W. Chandler
5:37.0,A. Davis misses 2-pt shot from 12 ft,,38-40,,
5:36.0,,,38-40,,Defensive rebound by N. Jokic
5:35.0,Personal foul by S. Hill (drawn by N. Jokic),,38-40,,
5:35.0,,,38-40,,Turnover by N. Jokic (traveling)
5:25.0,J. Crawford misses 3-pt shot from 26 ft,,38-40,,
5:24.0,,,38-40,,Defensive rebound by K. Faried
5:06.0,,,38-40,,K. Faried misses 2-pt shot from 15 ft
5:05.0,Defensive rebound by J. Holiday,,38-40,,
5:00.0,S. Hill misses 3-pt shot from 26 ft,,38-40,,
4:59.0,Offensive rebound by Team,,38-40,,
4:50.0,J. Holiday makes 3-pt shot from 26 ft,3,41-40,,
4:35.0,,,41-42,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray)
4:19.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Crawford),2,43-42,,
4:05.0,,,43-42,,Turnover by J. Murray (lost ball; steal by A. Davis)
4:01.0,Turnover by A. Davis (lost ball; steal by J. Murray),,43-42,,
3:55.0,E. Moore enters the game for J. Crawford,,43-42,,
3:47.0,,,43-42,,D. Gallinari misses 2-pt shot from 15 ft
3:47.0,,,43-42,,Offensive rebound by K. Faried
3:43.0,,,43-42,,N. Jokic misses 2-pt shot from 8 ft
3:42.0,Defensive rebound by A. Ajinca,,43-42,,
3:27.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,45-42,,
3:27.0,,,45-42,,Denver full timeout
3:27.0,,,45-42,,W. Chandler enters the game for K. Faried
3:11.0,,,45-44,2,N. Jokic makes 2-pt shot from 2 ft
3:00.0,Turnover by E. Moore (bad pass; steal by W. Chandler),,45-44,,
2:51.0,,,45-44,,J. Murray misses 3-pt shot from 23 ft
2:50.0,Defensive rebound by A. Davis,,45-44,,
2:42.0,J. Holiday misses 3-pt shot from 24 ft,,45-44,,
2:41.0,Offensive rebound by A. Davis,,45-44,,
2:35.0,Shooting foul by W. Chandler (drawn by A. Davis),,45-44,,
2:35.0,A. Davis makes free throw 1 of 2,1,46-44,,
2:35.0,A. Davis misses free throw 2 of 2,,46-44,,
2:35.0,D. Cunningham enters the game for A. Ajinca,,46-44,,
2:34.0,,,46-44,,Defensive rebound by D. Gallinari
2:16.0,,,46-47,3,D. Gallinari makes 3-pt shot from 24 ft (assist by N. Jokic)
1:59.0,J. Holiday makes 2-pt shot at rim,2,48-47,,
1:48.0,,,48-49,2,N. Jokic makes 2-pt shot at rim (assist by G. Harris)
1:29.0,A. Davis makes 2-pt shot from 14 ft,2,50-49,,
1:16.0,,,50-49,,D. Gallinari misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by D. Cunningham,,50-49,,
1:09.0,Turnover by J. Holiday (lost ball; steal by W. Chandler),,50-49,,
1:00.0,,,50-51,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
0:41.0,S. Hill misses 3-pt shot from 24 ft,,50-51,,
0:40.0,Offensive rebound by D. Cunningham,,50-51,,
0:30.0,A. Davis misses 2-pt shot from 3 ft,,50-51,,
0:30.0,,,50-51,,Defensive rebound by N. Jokic
0:27.0,,,50-51,,Turnover by N. Jokic (traveling)
0:27.0,J. Crawford enters the game for D. Cunningham,,50-51,,
0:05.0,J. Holiday misses 2-pt shot from 19 ft,,50-51,,
0:03.0,,,50-51,,Defensive rebound by W. Chandler
0:00.0,,,50-51,,W. Chandler misses 3-pt shot from 40 ft
0:00.0,,,50-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by E. Moore (drawn by G. Harris),,50-51,,
11:45.0,,,50-51,,G. Harris misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by A. Davis,,50-51,,
11:26.0,A. Davis makes 2-pt shot from 17 ft (assist by S. Hill),2,52-51,,
11:13.0,,,52-51,,D. Gallinari misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by J. Holiday,,52-51,,
11:06.0,E. Moore misses 2-pt shot from 20 ft,,52-51,,
11:05.0,,,52-51,,Defensive rebound by Team
10:56.0,,,52-51,,N. Jokic misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by J. Holiday,,52-51,,
10:37.0,A. Davis misses 2-pt shot from 12 ft,,52-51,,
10:36.0,,,52-51,,Defensive rebound by N. Jokic
10:25.0,,,52-54,3,G. Harris makes 3-pt shot from 23 ft (assist by N. Jokic)
10:07.0,J. Holiday misses 3-pt shot from 24 ft,,52-54,,
10:06.0,,,52-54,,Defensive rebound by G. Harris
9:57.0,,,52-54,,G. Harris misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by S. Hill,,52-54,,
9:44.0,A. Davis misses 2-pt shot from 10 ft,,52-54,,
9:44.0,,,52-54,,Defensive rebound by K. Faried
9:33.0,,,52-56,2,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray)
9:13.0,D. Cunningham makes 2-pt shot from 3 ft (assist by J. Holiday),2,54-56,,
9:06.0,,,54-58,2,K. Faried makes 2-pt shot from 2 ft
9:06.0,,,54-58,,Shooting foul by D. Cunningham (drawn by K. Faried)
9:06.0,,,54-58,,K. Faried misses free throw 1 of 1
9:06.0,Defensive rebound by Team,,54-58,,
8:53.0,Turnover by D. Cunningham (bad pass; steal by K. Faried),,54-58,,
8:48.0,,,54-60,2,G. Harris makes 2-pt shot at rim (assist by K. Faried)
8:34.0,A. Davis misses 2-pt shot from 17 ft,,54-60,,
8:33.0,,,54-60,,Defensive rebound by N. Jokic
8:29.0,,,54-60,,Turnover by D. Gallinari (bad pass; steal by E. Moore)
8:22.0,E. Moore makes 2-pt shot from 1 ft,2,56-60,,
8:07.0,,,56-60,,Shooting foul by D. Cunningham (drawn by J. Murray)
8:07.0,,,56-61,1,J. Murray makes free throw 1 of 2
8:07.0,,,56-62,1,J. Murray makes free throw 2 of 2
8:07.0,A. Ajinca enters the game for D. Cunningham,,56-61,,
7:49.0,A. Ajinca makes 2-pt shot from 9 ft (assist by J. Holiday),2,58-62,,
7:35.0,,,58-65,3,J. Murray makes 3-pt shot from 26 ft (assist by G. Harris)
7:21.0,A. Davis misses 3-pt shot from 26 ft,,58-65,,
7:20.0,,,58-65,,Defensive rebound by N. Jokic
7:12.0,,,58-65,,Shooting foul by S. Hill (drawn by G. Harris)
7:12.0,New Orleans full timeout,,58-65,,
7:12.0,,,58-66,1,G. Harris makes free throw 1 of 2
7:12.0,,,58-67,1,G. Harris makes free throw 2 of 2
7:12.0,J. Crawford enters the game for E. Moore,,58-65,,
6:51.0,A. Davis makes 2-pt shot from 13 ft,2,60-67,,
6:30.0,,,60-69,2,J. Murray makes 2-pt shot from 7 ft
6:19.0,J. Crawford misses 3-pt shot from 26 ft,,60-69,,
6:17.0,,,60-69,,Defensive rebound by K. Faried
6:05.0,Personal foul by J. Holiday (drawn by J. Murray),,60-69,,
6:05.0,,,60-70,1,J. Murray makes free throw 1 of 2
6:05.0,,,60-71,1,J. Murray makes free throw 2 of 2
6:05.0,,,60-70,,M. Plumlee enters the game for K. Faried
5:52.0,Turnover by J. Crawford (bad pass; steal by J. Murray),,60-71,,
5:46.0,,,60-73,2,G. Harris makes 2-pt shot from 1 ft (assist by J. Murray)
5:26.0,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday),2,62-73,,
5:04.0,,,62-73,,Turnover by N. Jokic (bad pass)
5:04.0,,,62-73,,W. Chandler enters the game for D. Gallinari
4:38.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,64-73,,
4:28.0,,,64-73,,E. Mudiay enters the game for J. Murray
4:28.0,D. Motiejunas enters the game for A. Davis,,64-73,,
4:20.0,,,64-76,3,N. Jokic makes 3-pt shot from 26 ft (assist by E. Mudiay)
4:15.0,Turnover by J. Crawford (step out of bounds),,64-76,,
4:00.0,,,64-79,3,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Chandler)
3:48.0,J. Holiday misses 3-pt shot from 22 ft,,64-79,,
3:47.0,,,64-79,,Defensive rebound by W. Chandler
3:33.0,,,64-81,2,E. Mudiay makes 2-pt shot at rim (assist by G. Harris)
3:33.0,New Orleans full timeout,,64-81,,
3:33.0,Q. Cook enters the game for J. Holiday,,64-81,,
3:20.0,Turnover by Q. Cook (bad pass; steal by E. Mudiay),,64-81,,
3:09.0,,,64-84,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
2:54.0,J. Crawford makes 2-pt shot from 6 ft,2,66-84,,
2:38.0,Jump ball: N. Jokic vs. D. Motiejunas (S. Hill gains possession),,,,Jump ball: N. Jokic vs. D. Motiejunas (S. Hill gains possession)
2:38.0,,,66-84,,Turnover by N. Jokic (lost ball; steal by D. Motiejunas)
2:28.0,S. Hill makes 2-pt shot from 2 ft,2,68-84,,
2:28.0,Shooting foul by M. Plumlee (drawn by S. Hill),,68-84,,
2:28.0,S. Hill makes free throw 1 of 1,1,69-84,,
2:06.0,,,69-86,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
1:58.0,,,69-86,,Personal take foul by E. Mudiay (drawn by D. Motiejunas)
1:48.0,S. Hill misses 2-pt shot from 9 ft,,69-86,,
1:48.0,,,69-86,,Defensive rebound by W. Chandler
1:39.0,,,69-89,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Chandler)
1:28.0,A. Ajinca misses 3-pt shot from 25 ft,,69-89,,
1:27.0,Offensive rebound by D. Motiejunas,,69-89,,
1:26.0,,,69-89,,Loose ball foul by W. Chandler (drawn by D. Motiejunas)
1:26.0,D. Motiejunas makes free throw 1 of 2,1,70-89,,
1:26.0,D. Motiejunas misses free throw 2 of 2,,70-89,,
1:24.0,,,70-89,,Defensive rebound by N. Jokic
1:14.0,,,70-89,,G. Harris misses 2-pt shot from 2 ft (block by A. Ajinca)
1:13.0,,,70-89,,Offensive rebound by Team
1:00.0,,,70-91,2,N. Jokic makes 2-pt shot from 9 ft (assist by G. Harris)
0:57.0,S. Hill makes 2-pt shot at rim,2,72-91,,
0:37.0,,,72-91,,Turnover by M. Plumlee (lost ball; steal by D. Motiejunas)
0:28.0,J. Crawford misses 2-pt shot from 1 ft,,72-91,,
0:28.0,,,72-91,,Defensive rebound by E. Mudiay
0:18.0,,,72-91,,Shooting foul by A. Ajinca (drawn by E. Mudiay)
0:18.0,,,72-91,,E. Mudiay misses free throw 1 of 2
0:18.0,,,72-91,,Offensive rebound by Team
0:18.0,,,72-92,1,E. Mudiay makes free throw 2 of 2
0:18.0,,,72-91,,J. Murray enters the game for G. Harris
0:03.0,Q. Cook misses 2-pt shot from 1 ft,,72-92,,
0:03.0,Offensive rebound by A. Ajinca,,72-92,,
0:02.0,A. Ajinca makes 2-pt shot at rim,2,74-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by Q. Cook),2,76-92,,
11:48.0,Shooting foul by E. Mudiay (drawn by D. Motiejunas),,76-92,,
11:48.0,D. Motiejunas makes free throw 1 of 1,1,77-92,,
11:31.0,,,77-92,,D. Gallinari misses 2-pt shot from 22 ft
11:30.0,,,77-92,,Offensive rebound by M. Plumlee
11:22.0,,,77-92,,J. Murray misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by C. Diallo,,77-92,,
11:06.0,C. Diallo misses 2-pt shot from 21 ft,,77-92,,
11:05.0,,,77-92,,Defensive rebound by D. Gallinari
10:45.0,,,77-92,,M. Plumlee misses 2-pt shot from 1 ft (block by C. Diallo)
10:44.0,,,77-92,,Offensive rebound by M. Plumlee
10:44.0,,,77-94,2,M. Plumlee makes 2-pt shot from 2 ft
10:25.0,D. Motiejunas misses 3-pt shot from 26 ft,,77-94,,
10:24.0,,,77-94,,Defensive rebound by Team
10:24.0,D. Cunningham enters the game for S. Hill,,77-94,,
10:03.0,,,77-96,2,J. Murray makes 2-pt shot at rim (assist by E. Mudiay)
9:52.0,J. Crawford makes 2-pt shot from 9 ft,2,79-96,,
9:47.0,,,79-96,,G. Harris enters the game for E. Mudiay
9:35.0,,,79-98,2,D. Gallinari makes 2-pt shot from 2 ft
9:22.0,Q. Cook makes 2-pt shot from 15 ft,2,81-98,,
9:08.0,,,81-98,,D. Gallinari misses 2-pt shot from 20 ft
9:07.0,,,81-98,,Offensive rebound by J. Murray
9:07.0,,,81-100,2,J. Murray makes 2-pt shot at rim
9:07.0,,,81-100,,Shooting foul by C. Diallo (drawn by J. Murray)
9:07.0,,,81-101,1,J. Murray makes free throw 1 of 1
8:52.0,J. Crawford makes 2-pt shot from 9 ft,2,83-101,,
8:43.0,,,83-101,,Turnover by J. Murray (bad pass)
8:43.0,Official timeout,,83-101,,
8:31.0,Shooting foul by W. Chandler (drawn by C. Diallo),,83-101,,
8:31.0,C. Diallo makes free throw 1 of 2,1,84-101,,
8:31.0,C. Diallo makes free throw 2 of 2,1,85-101,,
8:17.0,,,85-103,2,J. Murray makes 2-pt shot from 17 ft
7:57.0,C. Diallo makes 2-pt shot from 17 ft,2,87-103,,
7:43.0,,,87-103,,Shooting foul by Q. Cook (drawn by J. Murray)
7:43.0,,,87-104,1,J. Murray makes free throw 1 of 3
7:43.0,,,87-105,1,J. Murray makes free throw 2 of 3
7:43.0,,,87-106,1,J. Murray makes free throw 3 of 3
7:43.0,A. Ajinca enters the game for D. Motiejunas,,87-105,,
7:33.0,C. Diallo misses 2-pt shot from 22 ft,,87-106,,
7:32.0,,,87-106,,Defensive rebound by G. Harris
7:20.0,,,87-109,3,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris)
7:19.0,New Orleans full timeout,,87-109,,
7:04.0,A. Ajinca misses 2-pt shot at rim (block by M. Plumlee),,87-109,,
7:02.0,,,87-109,,Defensive rebound by M. Plumlee
6:50.0,,,87-109,,W. Chandler misses 3-pt shot from 27 ft
6:49.0,Defensive rebound by D. Cunningham,,87-109,,
6:38.0,J. Crawford makes 2-pt shot from 20 ft,2,89-109,,
6:17.0,,,89-109,,M. Plumlee misses 2-pt shot from 7 ft
6:16.0,Defensive rebound by Team,,89-109,,
6:04.0,A. Ajinca makes 2-pt shot from 2 ft (assist by J. Crawford),2,91-109,,
6:04.0,Shooting foul by M. Plumlee (drawn by A. Ajinca),,91-109,,
6:04.0,A. Ajinca makes free throw 1 of 1,1,92-109,,
5:48.0,,,92-109,,Shooting foul by A. Ajinca (drawn by M. Plumlee)
5:48.0,,,92-110,1,M. Plumlee makes free throw 1 of 2
5:48.0,Violation by D. Cunningham (lane),,92-110,,
5:48.0,,,92-111,1,M. Plumlee makes free throw 2 of 2
5:48.0,S. Hill enters the game for D. Cunningham,,92-110,,
5:38.0,J. Crawford misses 2-pt shot from 3 ft,,92-111,,
5:37.0,Offensive rebound by C. Diallo,,92-111,,
5:29.0,S. Hill misses 2-pt shot from 3 ft (block by M. Plumlee),,92-111,,
5:28.0,,,92-111,,Defensive rebound by Team
5:06.0,,,92-111,,J. Murray misses 3-pt shot from 24 ft
5:05.0,,,92-111,,Offensive rebound by M. Plumlee
4:58.0,,,92-113,2,G. Harris makes 2-pt shot at rim
4:58.0,,,92-113,,Shooting foul by C. Diallo (drawn by G. Harris)
4:58.0,,,92-114,1,G. Harris makes free throw 1 of 1
4:45.0,C. Diallo misses 2-pt shot from 20 ft,,92-114,,
4:43.0,,,92-114,,Defensive rebound by J. Murray
4:31.0,,,92-117,3,J. Murray makes 3-pt shot from 25 ft
4:20.0,Q. Cook makes 2-pt shot from 6 ft,2,94-117,,
