time,LA Clippers,pts.away,score,pts.home,Milwaukee
0:30.0,,,19-34,2,G. Monroe makes 2-pt shot from 13 ft (assist by J. Terry)
0:09.0,M. Speights misses 3-pt shot from 23 ft,,19-34,,
0:08.0,,,19-34,,Defensive rebound by M. Teletovic
0:01.0,,,19-34,,K. Middleton misses 3-pt shot from 25 ft
0:00.0,,,19-34,,Offensive rebound by M. Dellavedova
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-36,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova)
11:27.0,A. Rivers makes 2-pt shot from 4 ft,2,21-36,,
11:14.0,,,21-36,,Shooting foul by A. Rivers (drawn by M. Dellavedova)
11:14.0,,,21-37,1,M. Dellavedova makes free throw 1 of 2
11:14.0,,,21-38,1,M. Dellavedova makes free throw 2 of 2
11:08.0,Shooting foul by M. Brogdon (drawn by A. Rivers),,21-38,,
11:08.0,A. Rivers makes free throw 1 of 2,1,22-38,,
11:08.0,A. Rivers makes free throw 2 of 2,1,23-38,,
10:51.0,,,23-38,,M. Teletovic misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by J. Crawford,,23-38,,
10:37.0,R. Felton misses 3-pt shot from 28 ft,,23-38,,
10:36.0,,,23-38,,Defensive rebound by Team
10:24.0,,,23-38,,M. Brogdon misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by B. Griffin,,23-38,,
10:15.0,M. Speights makes 2-pt shot from 4 ft (assist by B. Griffin),2,25-38,,
10:03.0,Personal block foul by M. Speights (drawn by G. Monroe),,25-38,,
9:58.0,,,25-40,2,M. Dellavedova makes 2-pt shot at rim (assist by G. Monroe)
9:39.0,A. Rivers misses 2-pt shot from 7 ft,,25-40,,
9:39.0,,,25-40,,Defensive rebound by Team
9:39.0,Loose ball foul by A. Rivers (drawn by M. Dellavedova),,25-40,,
9:28.0,,,25-42,2,G. Monroe makes 2-pt shot from 18 ft (assist by M. Dellavedova)
9:06.0,R. Felton misses 2-pt shot from 2 ft,,25-42,,
9:04.0,,,25-42,,Defensive rebound by G. Monroe
8:48.0,,,25-42,,G. Monroe misses 2-pt shot from 3 ft
8:48.0,Defensive rebound by M. Speights,,25-42,,
8:40.0,Turnover by J. Crawford (lost ball),,25-42,,
8:40.0,Official timeout,,25-42,,
8:40.0,D. Jordan enters the game for M. Speights,,25-42,,
8:40.0,C. Paul enters the game for R. Felton,,25-42,,
8:24.0,,,25-45,3,J. Terry makes 3-pt shot from 24 ft (assist by M. Dellavedova)
8:06.0,J. Crawford misses 2-pt shot from 17 ft,,25-45,,
8:05.0,,,25-45,,Defensive rebound by M. Brogdon
7:59.0,,,25-45,,M. Dellavedova misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by B. Griffin,,25-45,,
7:52.0,Shooting foul by G. Monroe (drawn by B. Griffin),,25-45,,
7:52.0,B. Griffin makes 2-pt shot from 1 ft,2,27-45,,
7:52.0,B. Griffin makes free throw 1 of 1,1,28-45,,
7:52.0,J. Redick enters the game for J. Crawford,,27-45,,
7:52.0,,,27-45,,G. Antetokounmpo enters the game for M. Teletovic
7:52.0,,,27-45,,T. Maker enters the game for G. Monroe
7:31.0,,,28-47,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
7:17.0,B. Griffin misses 2-pt shot from 4 ft,,28-47,,
7:16.0,Offensive rebound by D. Jordan,,28-47,,
7:16.0,D. Jordan makes 2-pt shot from 1 ft,2,30-47,,
7:03.0,,,30-47,,M. Brogdon misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by D. Jordan,,30-47,,
6:59.0,,,30-47,,Personal foul by G. Antetokounmpo (drawn by B. Griffin)
6:59.0,,,30-47,,K. Middleton enters the game for M. Brogdon
6:48.0,Turnover by A. Rivers (bad pass; steal by J. Terry),,30-47,,
6:39.0,,,30-49,2,K. Middleton makes 2-pt shot from 4 ft (assist by G. Antetokounmpo)
6:39.0,,,30-49,,Shooting foul by C. Paul (drawn by K. Middleton)
6:39.0,,,30-50,1,K. Middleton makes free throw 1 of 1
6:39.0,,,30-49,,T. Snell enters the game for J. Terry
6:31.0,Turnover by B. Griffin (dbl dribble),,30-50,,
6:21.0,,,30-50,,T. Maker misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by C. Paul,,30-50,,
6:14.0,Turnover by A. Rivers (bad pass),,30-50,,
6:02.0,,,30-52,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
5:48.0,,,30-52,,Personal block foul by G. Antetokounmpo (drawn by C. Paul)
5:48.0,,,30-52,,Milwaukee full timeout
5:48.0,L. Mbah a Moute enters the game for A. Rivers,,30-52,,
5:48.0,,,30-52,,G. Monroe enters the game for G. Antetokounmpo
5:33.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,32-52,,
5:10.0,,,32-55,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Snell)
4:59.0,,,32-55,,Personal block foul by M. Dellavedova (drawn by C. Paul)
4:59.0,C. Paul makes free throw 1 of 2,1,33-55,,
4:59.0,C. Paul makes free throw 2 of 2,1,34-55,,
4:47.0,,,34-55,,Turnover by K. Middleton (bad pass; steal by L. Mbah a Moute)
4:34.0,D. Jordan makes 2-pt shot from 5 ft (assist by J. Redick),2,36-55,,
4:20.0,,,36-55,,K. Middleton misses 2-pt shot from 19 ft
4:18.0,Defensive rebound by B. Griffin,,36-55,,
4:13.0,Offensive foul by C. Paul,,36-55,,
4:13.0,Turnover by C. Paul (offensive foul),,36-55,,
4:09.0,Technical foul by C. Paul,,36-55,,
4:09.0,,,36-56,1,K. Middleton makes technical free throw
3:56.0,,,36-56,,K. Middleton misses 3-pt shot from 27 ft
3:55.0,Defensive rebound by B. Griffin,,36-56,,
3:42.0,J. Redick misses 2-pt shot from 5 ft (block by T. Maker),,36-56,,
3:41.0,,,36-56,,Defensive rebound by T. Snell
3:35.0,,,36-56,,T. Maker misses 2-pt shot from 12 ft
3:34.0,Defensive rebound by C. Paul,,36-56,,
3:30.0,,,36-56,,Shooting block foul by K. Middleton (drawn by B. Griffin)
3:30.0,B. Griffin makes free throw 1 of 2,1,37-56,,
3:30.0,B. Griffin makes free throw 2 of 2,1,38-56,,
3:30.0,A. Rivers enters the game for C. Paul,,37-56,,
3:07.0,,,38-56,,G. Monroe misses 2-pt shot from 3 ft
3:06.0,,,38-56,,Offensive rebound by Team
2:57.0,,,38-58,2,G. Monroe makes 2-pt shot at rim (assist by T. Maker)
2:50.0,,,38-58,,Personal take foul by M. Dellavedova (drawn by D. Jordan)
2:50.0,LA Clippers full timeout,,38-58,,
2:50.0,D. Jordan misses free throw 1 of 2,,38-58,,
2:50.0,Offensive rebound by Team,,38-58,,
2:50.0,D. Jordan makes free throw 2 of 2,1,39-58,,
2:26.0,,,39-58,,Turnover by Team (shot clock)
2:14.0,Turnover by J. Redick (bad pass),,39-58,,
2:13.0,Loose ball foul by D. Jordan (drawn by K. Middleton),,39-58,,
2:13.0,,,39-59,1,K. Middleton makes free throw 1 of 2
2:13.0,,,39-60,1,K. Middleton makes free throw 2 of 2
2:13.0,B. Bass enters the game for D. Jordan,,39-59,,
1:59.0,B. Griffin makes 2-pt shot from 18 ft,2,41-60,,
1:39.0,,,41-60,,T. Maker misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by B. Bass,,41-60,,
1:26.0,Turnover by B. Griffin (bad pass; steal by K. Middleton),,41-60,,
1:22.0,,,41-62,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
1:02.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,44-62,,
0:50.0,,,44-64,2,M. Dellavedova makes 2-pt shot from 17 ft
0:50.0,LA Clippers full timeout,,44-64,,
0:50.0,J. Crawford enters the game for L. Mbah a Moute,,44-64,,
0:36.0,B. Griffin makes 2-pt shot from 19 ft,2,46-64,,
0:24.0,,,46-66,2,G. Monroe makes 2-pt shot at rim (assist by M. Dellavedova)
0:03.0,,,46-66,,Shooting block foul by M. Dellavedova (drawn by A. Rivers)
0:03.0,A. Rivers misses free throw 1 of 2,,46-66,,
0:03.0,Offensive rebound by Team,,46-66,,
0:03.0,A. Rivers makes free throw 2 of 2,1,47-66,,
0:03.0,L. Mbah a Moute enters the game for J. Crawford,,46-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,47-66,,T. Maker misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by B. Griffin,,47-66,,
11:25.0,,,47-66,,Def 3 sec tech foul by K. Middleton
11:25.0,J. Redick makes technical free throw,1,48-66,,
11:16.0,B. Griffin makes 2-pt shot from 21 ft,2,50-66,,
11:07.0,Personal foul by B. Griffin (drawn by T. Snell),,50-66,,
10:57.0,,,50-66,,T. Snell misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by D. Jordan,,50-66,,
10:43.0,Shooting foul by T. Maker (drawn by D. Jordan),,50-66,,
10:43.0,D. Jordan misses free throw 1 of 2,,50-66,,
10:43.0,Offensive rebound by Team,,50-66,,
10:43.0,D. Jordan misses free throw 2 of 2,,50-66,,
10:42.0,,,50-66,,Defensive rebound by K. Middleton
10:17.0,,,50-66,,K. Middleton misses 3-pt shot from 28 ft
10:16.0,Defensive rebound by D. Jordan,,50-66,,
9:53.0,C. Paul misses 2-pt shot from 19 ft (block by G. Antetokounmpo),,50-66,,
9:51.0,,,50-66,,Defensive rebound by T. Snell
9:51.0,,,50-66,,Turnover by T. Snell (bad pass)
9:41.0,D. Jordan misses 2-pt shot from 2 ft,,50-66,,
9:39.0,,,50-66,,Defensive rebound by T. Snell
9:28.0,,,50-66,,G. Antetokounmpo misses 2-pt shot from 10 ft
9:27.0,,,50-66,,Offensive rebound by Team
9:18.0,,,50-66,,Turnover by M. Brogdon (bad pass)
9:04.0,B. Griffin makes 2-pt shot at rim (assist by J. Redick),2,52-66,,
8:36.0,,,52-66,,Turnover by Team (shot clock)
8:36.0,,,52-66,,M. Dellavedova enters the game for M. Brogdon
8:36.0,,,52-66,,G. Monroe enters the game for T. Maker
8:20.0,J. Redick makes 2-pt shot at rim (assist by C. Paul),2,54-66,,
8:20.0,,,54-66,,Milwaukee full timeout
8:10.0,,,54-66,,T. Snell misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by D. Jordan,,54-66,,
7:59.0,J. Redick misses 2-pt shot from 14 ft,,54-66,,
7:58.0,Offensive rebound by L. Mbah a Moute,,54-66,,
7:46.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,54-66,,
7:45.0,,,54-66,,Defensive rebound by G. Antetokounmpo
7:35.0,,,54-66,,Turnover by G. Monroe (traveling)
7:17.0,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul),2,56-66,,
7:02.0,,,56-68,2,M. Dellavedova makes 2-pt shot at rim (assist by G. Monroe)
6:57.0,LA Clippers full timeout,,56-68,,
6:43.0,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin),2,58-68,,
6:19.0,,,58-70,2,M. Dellavedova makes 2-pt shot from 10 ft
5:54.0,C. Paul makes 3-pt shot from 25 ft,3,61-70,,
5:41.0,,,61-70,,Shooting foul by C. Paul (drawn by G. Antetokounmpo)
5:41.0,,,61-70,,G. Antetokounmpo misses free throw 1 of 2
5:41.0,,,61-70,,Offensive rebound by Team
5:41.0,,,61-71,1,G. Antetokounmpo makes free throw 2 of 2
5:25.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Redick),2,63-71,,
5:05.0,,,63-73,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
4:39.0,C. Paul makes 3-pt shot from 29 ft (assist by B. Griffin),3,66-73,,
4:21.0,,,66-75,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by G. Monroe)
3:57.0,B. Griffin misses 2-pt shot from 21 ft,,66-75,,
3:56.0,Offensive rebound by L. Mbah a Moute,,66-75,,
3:52.0,Offensive charge foul by J. Redick,,66-75,,
3:52.0,Turnover by J. Redick (offensive foul),,66-75,,
3:39.0,,,66-75,,G. Monroe misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by J. Redick,,66-75,,
3:17.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,69-75,,
2:51.0,,,69-77,2,G. Monroe makes 2-pt shot from 11 ft (assist by M. Dellavedova)
2:34.0,,,69-77,,Personal foul by T. Snell (drawn by J. Redick)
2:34.0,,,69-77,,J. Terry enters the game for T. Snell
2:34.0,,,69-77,,M. Brogdon enters the game for K. Middleton
2:19.0,C. Paul makes 2-pt shot from 14 ft,2,71-77,,
1:58.0,,,71-77,,M. Dellavedova misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by B. Griffin,,71-77,,
1:41.0,C. Paul makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,74-77,,
1:41.0,,,74-77,,Milwaukee full timeout
1:41.0,A. Rivers enters the game for J. Redick,,74-77,,
1:41.0,J. Crawford enters the game for C. Paul,,74-77,,
1:29.0,,,74-77,,Turnover by G. Antetokounmpo (bad pass; steal by L. Mbah a Moute)
1:20.0,,,74-77,,Personal foul by M. Brogdon (drawn by B. Griffin)
1:13.0,Turnover by B. Griffin (bad pass; steal by G. Monroe),,74-77,,
1:07.0,,,74-80,3,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:48.0,Turnover by J. Crawford (bad pass; steal by G. Monroe),,74-80,,
0:45.0,Personal foul by B. Griffin (drawn by G. Antetokounmpo),,74-80,,
0:45.0,R. Felton enters the game for L. Mbah a Moute,,74-80,,
0:38.0,,,74-82,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:25.0,Shooting foul by G. Monroe (drawn by B. Griffin),,74-82,,
0:25.0,B. Griffin makes free throw 1 of 2,1,75-82,,
0:25.0,B. Griffin makes free throw 2 of 2,1,76-82,,
0:07.0,,,76-84,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
0:07.0,,,76-84,,Shooting foul by D. Jordan (drawn by G. Antetokounmpo)
0:07.0,,,76-85,1,G. Antetokounmpo makes free throw 1 of 1
0:07.0,C. Paul enters the game for D. Jordan,,76-84,,
0:00.0,C. Paul misses 2-pt shot at rim (block by G. Antetokounmpo),,76-85,,
0:00.0,,,76-85,,Defensive rebound by M. Brogdon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,76-85,,Personal foul by G. Monroe (drawn by B. Griffin)
11:47.0,Turnover by A. Rivers (dbl dribble),,76-85,,
11:38.0,,,76-85,,Turnover by M. Dellavedova (lost ball)
11:38.0,,,76-85,,Loose ball foul by M. Dellavedova (drawn by R. Felton)
11:12.0,M. Speights misses 3-pt shot from 29 ft,,76-85,,
11:10.0,,,76-85,,Defensive rebound by G. Monroe
10:59.0,,,76-87,2,K. Middleton makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
10:35.0,A. Rivers misses 2-pt shot from 2 ft,,76-87,,
10:33.0,,,76-87,,Defensive rebound by K. Middleton
10:30.0,,,76-89,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
10:29.0,LA Clippers full timeout,,76-89,,
10:13.0,R. Felton misses 2-pt shot from 8 ft,,76-89,,
10:10.0,Offensive rebound by R. Felton,,76-89,,
10:02.0,B. Griffin misses 3-pt shot from 26 ft,,76-89,,
10:00.0,,,76-89,,Defensive rebound by K. Middleton
9:47.0,,,76-92,3,J. Terry makes 3-pt shot from 24 ft (assist by K. Middleton)
9:19.0,J. Crawford makes 2-pt shot from 10 ft,2,78-92,,
8:51.0,,,78-95,3,K. Middleton makes 3-pt shot from 24 ft (assist by M. Dellavedova)
8:26.0,R. Felton makes 2-pt shot from 4 ft,2,80-95,,
8:13.0,,,80-95,,Offensive foul by K. Middleton
8:13.0,,,80-95,,Turnover by K. Middleton (offensive foul)
8:13.0,Official timeout,,80-95,,
8:13.0,C. Paul enters the game for A. Rivers,,80-95,,
8:13.0,J. Redick enters the game for M. Speights,,80-95,,
8:13.0,D. Jordan enters the game for R. Felton,,80-95,,
8:13.0,,,80-95,,M. Teletovic enters the game for G. Antetokounmpo
8:04.0,Turnover by J. Crawford (bad pass; steal by K. Middleton),,80-95,,
7:56.0,Personal foul by C. Paul (drawn by K. Middleton),,80-95,,
7:56.0,L. Mbah a Moute enters the game for B. Griffin,,80-95,,
7:50.0,,,80-95,,Shooting foul by J. Crawford (drawn by G. Monroe)
7:50.0,,,80-96,1,G. Monroe makes free throw 1 of 2
7:50.0,,,80-97,1,G. Monroe makes free throw 2 of 2
7:50.0,A. Rivers enters the game for J. Crawford,,80-96,,
7:34.0,A. Rivers misses 2-pt shot from 2 ft (block by G. Monroe),,80-97,,
7:33.0,,,80-97,,Defensive rebound by M. Teletovic
7:10.0,,,80-97,,K. Middleton misses 2-pt shot from 12 ft
7:09.0,Defensive rebound by J. Redick,,80-97,,
6:55.0,Turnover by C. Paul (bad pass; steal by M. Teletovic),,80-97,,
6:39.0,,,80-99,2,M. Dellavedova makes 2-pt shot from 2 ft
6:13.0,J. Redick misses 2-pt shot from 5 ft,,80-99,,
6:12.0,,,80-99,,Defensive rebound by K. Middleton
6:00.0,,,80-99,,G. Monroe misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by A. Rivers,,80-99,,
5:49.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,82-99,,
5:49.0,Shooting foul by M. Teletovic (drawn by D. Jordan),,82-99,,
5:49.0,,,82-99,,Milwaukee full timeout
5:49.0,D. Jordan misses free throw 1 of 1,,82-99,,
5:49.0,,,82-99,,M. Brogdon enters the game for K. Middleton
5:49.0,,,82-99,,T. Maker enters the game for G. Monroe
5:49.0,,,82-99,,G. Antetokounmpo enters the game for M. Teletovic
5:47.0,,,82-99,,Defensive rebound by T. Maker
5:38.0,,,82-99,,Turnover by M. Dellavedova (bad pass; steal by C. Paul)
5:36.0,,,82-99,,Shooting block foul by M. Brogdon (drawn by A. Rivers)
5:36.0,A. Rivers misses free throw 1 of 2,,82-99,,
5:36.0,Offensive rebound by Team,,82-99,,
5:36.0,A. Rivers makes free throw 2 of 2,1,83-99,,
5:22.0,,,83-99,,T. Maker misses 3-pt shot from 27 ft
5:21.0,Defensive rebound by J. Redick,,83-99,,
5:15.0,Shooting foul by T. Maker (drawn by D. Jordan),,83-99,,
5:15.0,D. Jordan misses free throw 1 of 2,,83-99,,
5:15.0,Offensive rebound by Team,,83-99,,
5:15.0,D. Jordan makes free throw 2 of 2,1,84-99,,
5:15.0,,,83-99,,G. Monroe enters the game for T. Maker
5:15.0,B. Griffin enters the game for L. Mbah a Moute,,83-99,,
5:04.0,,,84-99,,J. Terry misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by B. Griffin,,84-99,,
4:55.0,C. Paul misses 3-pt shot from 29 ft,,84-99,,
4:54.0,Offensive rebound by D. Jordan,,84-99,,
4:54.0,D. Jordan misses 2-pt shot from 1 ft,,84-99,,
4:52.0,Offensive rebound by D. Jordan,,84-99,,
4:51.0,Turnover by D. Jordan (lost ball),,84-99,,
4:46.0,,,84-101,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:34.0,,,84-101,,Technical foul by G. Monroe
4:34.0,Technical foul by B. Griffin,,84-101,,
4:34.0,,,84-101,,Personal foul by G. Monroe
4:34.0,B. Griffin misses free throw 1 of 2,,84-101,,
4:34.0,Offensive rebound by Team,,84-101,,
4:34.0,B. Griffin makes free throw 2 of 2,1,85-101,,
4:34.0,R. Felton enters the game for A. Rivers,,84-101,,
4:10.0,,,85-104,3,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
3:54.0,Shooting foul by G. Antetokounmpo (drawn by B. Griffin),,85-104,,
3:54.0,B. Griffin misses free throw 1 of 2,,85-104,,
3:54.0,Offensive rebound by Team,,85-104,,
3:54.0,B. Griffin makes free throw 2 of 2,1,86-104,,
3:54.0,B. Bass enters the game for D. Jordan,,85-104,,
3:54.0,A. Rivers enters the game for C. Paul,,85-104,,
3:47.0,,,86-104,,Offensive foul by M. Dellavedova
3:47.0,,,86-104,,Turnover by M. Dellavedova (offensive foul)
3:47.0,W. Johnson enters the game for B. Griffin,,86-104,,
3:35.0,B. Bass misses 2-pt shot from 14 ft,,86-104,,
3:35.0,,,86-104,,Defensive rebound by Team
