time,Philadelphia,pts.away,score,pts.home,Minnesota
1:41.0,,,32-54,2,A. Wiggins makes 2-pt shot from 1 ft
1:19.0,S. Rodriguez misses 3-pt shot from 23 ft,,32-54,,
1:19.0,,,32-54,,Defensive rebound by K. Towns
1:09.0,Personal foul by N. Stauskas (drawn by G. Dieng),,32-54,,
1:09.0,,,32-55,1,G. Dieng makes free throw 1 of 2
1:09.0,,,32-56,1,G. Dieng makes free throw 2 of 2
0:59.0,J. Okafor misses 2-pt shot from 6 ft,,32-56,,
0:58.0,Offensive rebound by Team,,32-56,,
0:58.0,,,32-56,,Loose ball foul by G. Dieng (drawn by J. Okafor)
0:58.0,,,32-56,,C. Aldrich enters the game for G. Dieng
0:47.0,,,32-56,,Personal block foul by C. Aldrich (drawn by J. Okafor)
0:47.0,J. Okafor misses free throw 1 of 2,,32-56,,
0:47.0,Offensive rebound by Team,,32-56,,
0:47.0,J. Okafor makes free throw 2 of 2,1,33-56,,
0:33.0,,,33-56,,Z. LaVine misses 3-pt shot from 24 ft
0:32.0,,,33-56,,Offensive rebound by K. Towns
0:31.0,,,33-58,2,K. Towns makes 2-pt shot from 2 ft
0:07.0,Turnover by Team (shot clock),,33-58,,
0:01.0,,,33-61,3,A. Wiggins makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,33-61,,Technical foul by Z. LaVine
11:38.0,Technical foul by J. Embiid,,33-61,,
11:36.0,,,33-61,,Shooting foul by J. Embiid (drawn by R. Rubio)
11:36.0,,,33-62,1,R. Rubio makes free throw 1 of 2
11:36.0,,,33-63,1,R. Rubio makes free throw 2 of 2
11:19.0,J. Embiid misses 2-pt shot from 1 ft,,33-63,,
11:17.0,,,33-63,,Defensive rebound by K. Towns
10:59.0,,,33-63,,Z. LaVine misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by E. Ilyasova,,33-63,,
10:52.0,Turnover by E. Ilyasova (lost ball; steal by A. Wiggins),,33-63,,
10:46.0,,,33-66,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
10:17.0,R. Covington misses 3-pt shot from 26 ft,,33-66,,
10:16.0,Offensive rebound by J. Embiid,,33-66,,
10:16.0,J. Embiid misses 2-pt shot from 1 ft,,33-66,,
10:13.0,Offensive rebound by J. Embiid,,33-66,,
10:11.0,J. Embiid makes 2-pt shot at rim,2,35-66,,
9:59.0,,,35-66,,K. Towns misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by J. Embiid,,35-66,,
9:52.0,R. Covington makes 2-pt shot from 1 ft,2,37-66,,
9:52.0,,,37-66,,Minnesota full timeout
9:52.0,N. Stauskas enters the game for G. Henderson,,37-66,,
9:29.0,,,37-68,2,A. Wiggins makes 2-pt shot from 16 ft (assist by G. Dieng)
9:20.0,R. Covington misses 3-pt shot from 25 ft,,37-68,,
9:19.0,Offensive rebound by T. McConnell,,37-68,,
9:16.0,,,37-68,,Personal block foul by R. Rubio (drawn by J. Embiid)
9:06.0,T. McConnell makes 2-pt shot from 1 ft,2,39-68,,
8:44.0,,,39-68,,Turnover by R. Rubio (back court)
8:29.0,J. Embiid misses 2-pt shot from 5 ft,,39-68,,
8:28.0,,,39-68,,Defensive rebound by K. Towns
8:06.0,,,39-70,2,G. Dieng makes 2-pt shot from 12 ft
7:57.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,41-70,,
7:37.0,,,41-70,,K. Towns misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by T. McConnell,,41-70,,
7:27.0,E. Ilyasova misses 3-pt shot from 25 ft,,41-70,,
7:26.0,,,41-70,,Defensive rebound by G. Dieng
7:16.0,,,41-72,2,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio)
7:05.0,J. Embiid makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,43-72,,
6:36.0,,,43-72,,G. Dieng misses 2-pt shot from 20 ft
6:35.0,,,43-72,,Offensive rebound by A. Wiggins
6:25.0,,,43-72,,A. Wiggins misses 2-pt shot from 18 ft
6:25.0,,,43-72,,Offensive rebound by G. Dieng
6:21.0,,,43-72,,R. Rubio misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by E. Ilyasova,,43-72,,
6:08.0,E. Ilyasova misses 3-pt shot from 24 ft (block by K. Towns),,43-72,,
6:07.0,,,43-72,,Defensive rebound by A. Wiggins
6:04.0,,,43-74,2,A. Wiggins makes 2-pt shot at rim
6:04.0,Philadelphia full timeout,,43-74,,
6:04.0,D. Saric enters the game for E. Ilyasova,,43-74,,
6:04.0,J. Okafor enters the game for J. Embiid,,43-74,,
5:40.0,D. Saric makes 3-pt shot from 23 ft (assist by N. Stauskas),3,46-74,,
5:26.0,,,46-74,,Turnover by A. Wiggins (bad pass; steal by D. Saric)
5:15.0,R. Covington misses 3-pt shot from 25 ft,,46-74,,
5:14.0,,,46-74,,Defensive rebound by A. Wiggins
5:05.0,H. Thompson enters the game for R. Covington,,46-74,,
5:05.0,S. Rodriguez enters the game for T. McConnell,,46-74,,
4:56.0,,,46-74,,Z. LaVine misses 2-pt shot from 1 ft
4:54.0,,,46-74,,Offensive rebound by G. Dieng
4:54.0,,,46-74,,G. Dieng misses 2-pt shot from 1 ft
4:53.0,,,46-74,,Offensive rebound by G. Dieng
4:53.0,,,46-74,,G. Dieng misses 2-pt shot from 1 ft
4:47.0,Defensive rebound by H. Thompson,,46-74,,
4:29.0,S. Rodriguez misses 3-pt shot from 25 ft,,46-74,,
4:27.0,,,46-74,,Defensive rebound by Team
4:06.0,,,46-76,2,K. Towns makes 2-pt shot from 1 ft
3:51.0,Shooting foul by G. Dieng (drawn by J. Okafor),,46-76,,
3:51.0,J. Okafor makes free throw 1 of 2,1,47-76,,
3:51.0,J. Okafor makes free throw 2 of 2,1,48-76,,
3:51.0,,,47-76,,C. Aldrich enters the game for G. Dieng
3:39.0,,,48-76,,R. Rubio misses 3-pt shot from 25 ft
3:39.0,,,48-76,,Offensive rebound by Z. LaVine
3:39.0,,,48-76,,Z. LaVine misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by J. Okafor,,48-76,,
3:16.0,D. Saric misses 3-pt shot from 26 ft,,48-76,,
3:15.0,,,48-76,,Defensive rebound by Team
2:55.0,,,48-76,,A. Wiggins misses 2-pt shot from 10 ft
2:54.0,Defensive rebound by J. Okafor,,48-76,,
2:42.0,H. Thompson misses 3-pt shot from 23 ft,,48-76,,
2:41.0,,,48-76,,Defensive rebound by K. Towns
2:35.0,Personal foul by S. Rodriguez (drawn by R. Rubio),,48-76,,
2:22.0,,,48-78,2,K. Towns makes 2-pt shot from 7 ft
2:03.0,N. Stauskas misses 3-pt shot from 24 ft,,48-78,,
2:02.0,,,48-78,,Defensive rebound by K. Towns
1:50.0,,,48-78,,Turnover by A. Wiggins (bad pass; steal by D. Saric)
1:40.0,N. Stauskas makes 3-pt shot from 24 ft (assist by S. Rodriguez),3,51-78,,
1:20.0,,,51-80,2,Z. LaVine makes 2-pt shot from 1 ft
1:05.0,,,51-80,,Violation by K. Towns (def goaltending)
1:05.0,J. Okafor makes 2-pt shot from 2 ft,2,53-80,,
0:50.0,Personal foul by D. Saric (drawn by K. Towns),,53-80,,
0:50.0,,,53-80,,K. Dunn enters the game for R. Rubio
0:50.0,,,53-80,,N. Bjelica enters the game for Z. LaVine
0:42.0,,,53-82,2,C. Aldrich makes 2-pt shot from 1 ft (assist by A. Wiggins)
0:42.0,,,53-82,,Shooting foul by J. Okafor (drawn by C. Aldrich)
0:42.0,,,53-83,1,C. Aldrich makes free throw 1 of 1
0:25.0,Shooting foul by K. Towns (drawn by D. Saric),,53-83,,
0:25.0,D. Saric makes free throw 1 of 2,1,54-83,,
0:25.0,D. Saric makes free throw 2 of 2,1,55-83,,
0:05.0,,,55-83,,Shooting foul by H. Thompson (drawn by A. Wiggins)
0:05.0,,,55-84,1,A. Wiggins makes free throw 1 of 2
0:05.0,,,55-85,1,A. Wiggins makes free throw 2 of 2
0:05.0,,,55-84,,A. Payne enters the game for K. Towns
0:00.0,N. Stauskas makes 3-pt shot from 32 ft,3,58-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,Shooting foul by K. Dunn (drawn by N. Stauskas),,58-85,,
11:37.0,N. Stauskas makes free throw 1 of 2,1,59-85,,
11:37.0,N. Stauskas makes free throw 2 of 2,1,60-85,,
11:28.0,,,60-85,,Turnover by K. Dunn (lost ball)
11:17.0,,,60-85,,Personal foul by C. Aldrich (drawn by J. Embiid)
11:17.0,,,60-85,,G. Dieng enters the game for C. Aldrich
11:04.0,Turnover by N. Stauskas (lost ball; steal by A. Payne),,60-85,,
10:53.0,,,60-85,,A. Wiggins misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by N. Stauskas,,60-85,,
10:45.0,,,60-85,,Z. LaVine enters the game for A. Wiggins
10:37.0,S. Rodriguez misses 2-pt shot from 19 ft,,60-85,,
10:36.0,Offensive rebound by Team,,60-85,,
10:36.0,,,60-85,,Loose ball foul by A. Payne (drawn by J. Embiid)
10:28.0,J. Embiid misses 3-pt shot from 25 ft,,60-85,,
10:27.0,Offensive rebound by D. Saric,,60-85,,
10:22.0,D. Saric misses 2-pt shot from 1 ft (block by A. Payne),,60-85,,
10:20.0,Offensive rebound by J. Embiid,,60-85,,
10:19.0,Shooting foul by G. Dieng (drawn by J. Embiid),,60-85,,
10:19.0,J. Embiid makes free throw 1 of 2,1,61-85,,
10:19.0,J. Embiid makes free throw 2 of 2,1,62-85,,
10:19.0,,,61-85,,K. Towns enters the game for G. Dieng
10:12.0,,,62-85,,Z. LaVine misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by N. Stauskas,,62-85,,
10:00.0,Jump ball: K. Dunn vs. S. Rodriguez (K. Towns gains possession),,,,Jump ball: K. Dunn vs. S. Rodriguez (K. Towns gains possession)
10:00.0,Turnover by S. Rodriguez (lost ball; steal by K. Dunn),,62-85,,
9:36.0,,,62-87,2,K. Towns makes 2-pt shot from 2 ft
9:19.0,Shooting foul by A. Payne (drawn by J. Embiid),,62-87,,
9:19.0,J. Embiid misses free throw 1 of 2,,62-87,,
9:19.0,Offensive rebound by Team,,62-87,,
9:19.0,J. Embiid misses free throw 2 of 2,,62-87,,
9:19.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,62-87,,
9:18.0,,,62-87,,Defensive rebound by N. Bjelica
8:58.0,,,62-89,2,A. Payne makes 2-pt shot from 5 ft (assist by N. Bjelica)
8:49.0,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft (block by A. Payne),,62-89,,
8:48.0,Offensive rebound by D. Saric,,62-89,,
8:46.0,D. Saric makes 2-pt shot from 1 ft,2,64-89,,
8:46.0,Shooting foul by K. Dunn (drawn by D. Saric),,64-89,,
8:46.0,Official timeout,,64-89,,
8:46.0,D. Saric misses free throw 1 of 1,,64-89,,
8:46.0,R. Covington enters the game for H. Thompson,,64-89,,
8:45.0,,,64-89,,Defensive rebound by A. Payne
8:27.0,,,64-91,2,K. Towns makes 2-pt shot at rim
8:11.0,,,64-91,,Personal block foul by A. Payne (drawn by T. Luwawu-Cabarrot)
8:11.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,65-91,,
8:11.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,66-91,,
8:11.0,T. McConnell enters the game for S. Rodriguez,,65-91,,
7:54.0,,,66-91,,A. Payne misses 2-pt shot from 6 ft
7:53.0,Defensive rebound by J. Embiid,,66-91,,
7:51.0,,,66-91,,Technical foul by A. Payne
7:51.0,,,66-91,,Technical foul by Team
7:51.0,R. Covington makes technical free throw,1,67-91,,
7:51.0,R. Covington makes technical free throw,1,68-91,,
7:47.0,Jump ball: J. Embiid vs. A. Payne (D. Saric gains possession),,,,Jump ball: J. Embiid vs. A. Payne (D. Saric gains possession)
7:30.0,Turnover by R. Covington (bad pass; steal by A. Payne),,68-91,,
7:28.0,,,68-91,,Shooting foul by T. McConnell (drawn by A. Payne)
7:28.0,,,68-92,1,A. Payne makes free throw 1 of 2
7:28.0,,,68-93,1,A. Payne makes free throw 2 of 2
7:28.0,J. Okafor enters the game for J. Embiid,,68-92,,
7:05.0,J. Okafor misses 2-pt shot from 3 ft,,68-93,,
7:04.0,,,68-93,,Defensive rebound by K. Dunn
6:58.0,,,68-93,,N. Bjelica misses 3-pt shot from 22 ft
6:57.0,,,68-93,,Offensive rebound by Team
6:57.0,Loose ball foul by D. Saric (drawn by K. Towns),,68-93,,
6:57.0,,,68-93,,A. Wiggins enters the game for N. Bjelica
6:57.0,,,68-93,,G. Dieng enters the game for A. Payne
6:41.0,,,68-95,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
6:27.0,D. Saric makes 2-pt shot from 22 ft (assist by T. McConnell),2,70-95,,
6:09.0,,,70-98,3,A. Wiggins makes 3-pt shot from 26 ft
6:09.0,Philadelphia full timeout,,70-98,,
6:08.0,Turnover by T. McConnell (lost ball),,70-98,,
5:55.0,,,70-100,2,A. Wiggins makes 2-pt shot from 13 ft
5:29.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,70-100,,
5:28.0,,,70-100,,Defensive rebound by A. Wiggins
5:10.0,,,70-100,,Z. LaVine misses 2-pt shot from 2 ft
5:09.0,,,70-100,,Offensive rebound by K. Towns
5:09.0,,,70-102,2,K. Towns makes 2-pt shot from 2 ft
4:49.0,T. McConnell makes 2-pt shot from 1 ft,2,72-102,,
4:40.0,,,72-102,,Turnover by K. Dunn (bad pass; steal by T. McConnell)
4:36.0,D. Saric makes 2-pt shot at rim (assist by T. McConnell),2,74-102,,
4:18.0,,,74-104,2,A. Wiggins makes 2-pt shot from 21 ft
4:04.0,D. Saric makes 2-pt shot from 22 ft (assist by T. McConnell),2,76-104,,
3:48.0,,,76-104,,A. Wiggins misses 3-pt shot from 25 ft
